ENTRY            14347   20121106                             13871434700000001 
SUBENT        14347001   20121106                             13871434700100001 
BIB                 10         38                                 1434700100002 
TITLE      Measurement of neutron-induced proton-production       1434700100003 
           energy spectra with NE213 scintillator                 1434700100004 
AUTHOR     (T.Kajimoto,N.Shigyo,K.Ishibashi,H.Arakawa,R.C.Haight, 1434700100005 
           N.Fotiades)                                            1434700100006 
INSTITUTE  (2JPNKYU,1USALAS)                                      1434700100007 
REFERENCE  (J,RM,47,596,2012)                                     1434700100008 
FACILITY   (LINAC,1USALAS) Experiment was performed at the        1434700100009 
           4FP15L beam line at the Weapons Neutron Research       1434700100010 
           facility of the Los Alamos Neutron Science Center.     1434700100011 
DETECTOR   (TELES,SCIN,SCIN) Protons emitted from the target      1434700100012 
           were measured with three DE-E detectors. Each DE-E     1434700100013 
           detector was constructed with a 15 15 cm2 and 1.0 cm   1434700100014 
           thick NE102A scintillator and a NE213 scintillator     1434700100015 
           with diameter of 12.7 cm and 12.7 cm thickness.The     1434700100016 
           dE-E detectors were placed at 15, 30, and 60deg        1434700100017 
           with respect to the neutron beam direction.            1434700100018 
           (IOCH) A fission ionization chamber with 238U target   1434700100019 
            was used to determine incident neutron flux.          1434700100020 
METHOD     (TOF) Time of flight method was used to measure        1434700100021 
           incident neutron energy                                1434700100022 
           (EDE) Emitted protons were identified using E-dE method1434700100023 
INC-SOURCE (SPALL) Incident neutrons were produced by a pulsed    1434700100024 
           800 MeV proton beam from a linear accelerator on a     1434700100025 
           thick water-cooled tungsten spallation target (Target- 1434700100026 
           4). Continuous energetic neutrons from Target-4 were   1434700100027 
           delivered at 15deg with respect to the proton beam.    1434700100028 
           An absorber consisting of 10.2 cm thick polyethylene   1434700100029 
           and 3.8 cm thick copper was inserted in the beam just  1434700100030 
           downstream of the shutter to reduce the number of low  1434700100031 
           energy neutrons                                        1434700100032 
ERR-ANALYS (ERR-T) Total uncertainty                              1434700100033 
           (ERR-1) Systematic uncertainty caused by neutrons      1434700100034 
                   from preceding micropulses                     1434700100035 
           (ERR-2) Systematic uncertainty in 238U fission cross   1434700100036 
                   section used for incident neutron flux         1434700100037 
                   determination                                  1434700100038 
           (ERR-3) Systematic uncertainty in detection efficiency 1434700100039 
HISTORY    (20121106C) Compiled by S.H.                           1434700100040 
ENDBIB              38          0                                 1434700100041 
COMMON               3          3                                 1434700100042 
ERR-1      ERR-2      ERR-3                                       1434700100043 
PER-CENT   PER-CENT   PER-CENT                                    1434700100044 
  1.0        10.0       10.0                                      1434700100045 
ENDCOMMON            3          0                                 1434700100046 
ENDSUBENT           45          0                                 1434700199999 
SUBENT        14347002   20121106                             13871434700200001 
BIB                  3          6                                 1434700200002 
REACTION   (6-C-12(N,X)1-H-1,,PY/DA/DE,,AV)                       1434700200003 
STATUS     (TABLE) Data presented in fig. 13,14 sent by           1434700200004 
           author (T.K.) Not all incident neutron energy          1434700200005 
           intervals are shown in fig. 13,14                      1434700200006 
SAMPLE     Graphite sample with density of 1.86g/cm3 and          1434700200007 
           thickness of 0.76 cm.                                  1434700200008 
ENDBIB               6          0                                 1434700200009 
COMMON               1          3                                 1434700200010 
ANG                                                               1434700200011 
ADEG                                                              1434700200012 
15.0                                                              1434700200013 
ENDCOMMON            3          0                                 1434700200014 
DATA                 6        174                                 1434700200015 
EN-MIN     EN-MAX     E-MIN      E-MAX      DATA       ERR-T      1434700200016 
MEV        MEV        MEV        MEV        P/IN/MEVSR P/IN/MEVSR 1434700200017 
      112.5      117.5      100.0      110.0   9.34E-06   2.09E-061434700200066 
      112.5      117.5      110.0      120.0   7.13E-07   1.62E-061434700200067 
      117.5      122.5       40.0       50.0   4.23E-05   5.55E-061434700200068 
      117.5      122.5       50.0       60.0   5.39E-05   6.76E-061434700200069 
      117.5      122.5       60.0       70.0   6.09E-05   7.67E-061434700200070 
      117.5      122.5       70.0       80.0   7.56E-05   9.23E-061434700200071 
      117.5      122.5       80.0       90.0   8.11E-05   1.00E-051434700200072 
      117.5      122.5       90.0      100.0   9.36E-05   1.14E-051434700200073 
      117.5      122.5      100.0      110.0   4.03E-05   5.55E-061434700200074 
      122.5      127.5       40.0       50.0   4.63E-05   5.86E-061434700200075 
      122.5      127.5       50.0       60.0   5.61E-05   6.95E-061434700200076 
      122.5      127.5       60.0       70.0   5.74E-05   7.19E-061434700200077 
      122.5      127.5       70.0       80.0   6.53E-05   8.13E-061434700200078 
      122.5      127.5       80.0       90.0   8.67E-05   1.06E-051434700200079 
      122.5      127.5       90.0      100.0   8.88E-05   1.09E-051434700200080 
      122.5      127.5      100.0      110.0   8.41E-05   1.03E-051434700200081 
      122.5      127.5      110.0      120.0   9.55E-06   2.52E-061434700200082 
      122.5      127.5      120.0      130.0   4.87E-07   1.52E-061434700200083 
      127.5      132.5       40.0       50.0   3.38E-05   4.48E-061434700200084 
      127.5      132.5       50.0       60.0   3.88E-05   4.96E-061434700200085 
      127.5      132.5       60.0       70.0   3.98E-05   5.12E-061434700200086 
      127.5      132.5       70.0       80.0   5.10E-05   6.41E-061434700200087 
      127.5      132.5       80.0       90.0   6.29E-05   7.94E-061434700200088 
      127.5      132.5       90.0      100.0   6.12E-05   7.62E-061434700200089 
      127.5      132.5      100.0      110.0   6.71E-05   8.39E-061434700200090 
      127.5      132.5      110.0      120.0   3.93E-05   5.36E-061434700200091 
      127.5      132.5      120.0      130.0   9.23E-07   1.21E-061434700200092 
      145.0      155.0       40.0       50.0   2.24E-05   2.91E-061434700200093 
      145.0      155.0       50.0       60.0   2.71E-05   3.44E-061434700200094 
      145.0      155.0       60.0       70.0   3.00E-05   3.81E-061434700200095 
      145.0      155.0       70.0       80.0   3.40E-05   4.25E-061434700200096 
      145.0      155.0       80.0       90.0   3.74E-05   4.69E-061434700200097 
      145.0      155.0       90.0      100.0   4.82E-05   5.97E-061434700200098 
      145.0      155.0      100.0      110.0   5.42E-05   6.64E-061434700200099 
      145.0      155.0      110.0      120.0   5.50E-05   6.77E-061434700200100 
      145.0      155.0      120.0      130.0   4.85E-05   6.06E-061434700200101 
      190.0      210.0       40.0       50.0   1.36E-05   1.73E-061434700200102 
      190.0      210.0       50.0       60.0   1.50E-05   1.90E-061434700200103 
      190.0      210.0       60.0       70.0   1.64E-05   2.07E-061434700200104 
      190.0      210.0       70.0       80.0   1.64E-05   2.09E-061434700200105 
      190.0      210.0       80.0       90.0   1.80E-05   2.27E-061434700200106 
      190.0      210.0       90.0      100.0   1.91E-05   2.38E-061434700200107 
      190.0      210.0      100.0      110.0   1.87E-05   2.38E-061434700200108 
      190.0      210.0      110.0      120.0   2.37E-05   2.99E-061434700200109 
      190.0      210.0      120.0      130.0   2.08E-05   2.67E-061434700200110 
      240.0      260.0       40.0       50.0   1.00E-05   1.82E-061434700200111 
      240.0      260.0       50.0       60.0   1.02E-05   1.86E-061434700200112 
      240.0      260.0       60.0       70.0   1.01E-05   1.94E-061434700200113 
      240.0      260.0       70.0       80.0   1.11E-05   2.01E-061434700200114 
      240.0      260.0       80.0       90.0   1.09E-05   2.05E-061434700200115 
      240.0      260.0       90.0      100.0   1.12E-05   2.06E-061434700200116 
      240.0      260.0      100.0      110.0   1.07E-05   1.95E-061434700200117 
      240.0      260.0      110.0      120.0   1.17E-05   2.19E-061434700200118 
      240.0      260.0      120.0      130.0   1.08E-05   1.97E-061434700200119 
      290.0      310.0       40.0       50.0   8.95E-06   1.70E-061434700200120 
      290.0      310.0       50.0       60.0   8.84E-06   1.69E-061434700200121 
      290.0      310.0       60.0       70.0   8.33E-06   1.68E-061434700200122 
      290.0      310.0       70.0       80.0   8.56E-06   1.68E-061434700200123 
      290.0      310.0       80.0       90.0   9.06E-06   1.79E-061434700200124 
      290.0      310.0       90.0      100.0   8.43E-06   1.66E-061434700200125 
      290.0      310.0      100.0      110.0   1.04E-05   1.94E-061434700200126 
      290.0      310.0      110.0      120.0   7.61E-06   1.69E-061434700200127 
      290.0      310.0      120.0      130.0   8.63E-06   1.65E-061434700200128 
      340.0      360.0       40.0       50.0   9.99E-06   1.88E-061434700200129 
      340.0      360.0       50.0       60.0   1.10E-05   2.02E-061434700200130 
      340.0      360.0       60.0       70.0   1.00E-05   1.96E-061434700200131 
      340.0      360.0       70.0       80.0   1.10E-05   2.02E-061434700200132 
      340.0      360.0       80.0       90.0   8.88E-06   1.89E-061434700200133 
      340.0      360.0       90.0      100.0   1.00E-05   1.94E-061434700200134 
      340.0      360.0      100.0      110.0   9.86E-06   1.95E-061434700200135 
      340.0      360.0      110.0      120.0   9.98E-06   2.03E-061434700200136 
      340.0      360.0      120.0      130.0   8.70E-06   1.75E-061434700200137 
      385.0      415.0       40.0       50.0   9.29E-06   1.75E-061434700200138 
      385.0      415.0       50.0       60.0   9.31E-06   1.76E-061434700200139 
      385.0      415.0       60.0       70.0   1.02E-05   1.82E-061434700200140 
      385.0      415.0       70.0       80.0   1.02E-05   1.88E-061434700200141 
      385.0      415.0       80.0       90.0   1.13E-05   2.06E-061434700200142 
      385.0      415.0       90.0      100.0   9.65E-06   1.86E-061434700200143 
      385.0      415.0      100.0      110.0   9.37E-06   1.80E-061434700200144 
      385.0      415.0      110.0      120.0   9.59E-06   1.86E-061434700200145 
      385.0      415.0      120.0      130.0   8.25E-06   1.74E-061434700200146 
      435.0      465.0       40.0       50.0   8.11E-06   1.61E-061434700200147 
      435.0      465.0       50.0       60.0   7.62E-06   1.57E-061434700200148 
      435.0      465.0       60.0       70.0   8.44E-06   1.63E-061434700200149 
      435.0      465.0       70.0       80.0   8.24E-06   1.68E-061434700200150 
      435.0      465.0       80.0       90.0   8.72E-06   1.71E-061434700200151 
      435.0      465.0       90.0      100.0   8.10E-06   1.70E-061434700200152 
      435.0      465.0      100.0      110.0   8.52E-06   1.71E-061434700200153 
      435.0      465.0      110.0      120.0   8.28E-06   1.73E-061434700200154 
      435.0      465.0      120.0      130.0   6.14E-06   1.37E-061434700200155 
      480.0      520.0       40.0       50.0   9.63E-06   1.88E-061434700200156 
      480.0      520.0       50.0       60.0   9.82E-06   1.91E-061434700200157 
      480.0      520.0       60.0       70.0   1.11E-05   2.04E-061434700200158 
      480.0      520.0       70.0       80.0   9.57E-06   1.89E-061434700200159 
      480.0      520.0       80.0       90.0   9.85E-06   1.96E-061434700200160 
      480.0      520.0       90.0      100.0   1.11E-05   2.05E-061434700200161 
      480.0      520.0      100.0      110.0   9.91E-06   1.99E-061434700200162 
      480.0      520.0      110.0      120.0   1.01E-05   2.04E-061434700200163 
      480.0      520.0      120.0      130.0   7.52E-06   1.59E-061434700200164 
      530.0      570.0       40.0       50.0   1.26E-05   2.25E-061434700200165 
      530.0      570.0       50.0       60.0   1.33E-05   2.40E-061434700200166 
      530.0      570.0       60.0       70.0   1.51E-05   2.58E-061434700200167 
      530.0      570.0       70.0       80.0   1.35E-05   2.53E-061434700200168 
      530.0      570.0       80.0       90.0   1.46E-05   2.64E-061434700200169 
      530.0      570.0       90.0      100.0   1.47E-05   2.62E-061434700200170 
      530.0      570.0      100.0      110.0   1.32E-05   2.51E-061434700200171 
      530.0      570.0      110.0      120.0   1.42E-05   2.66E-061434700200172 
      530.0      570.0      120.0      130.0   1.18E-05   2.24E-061434700200173 
      580.0      620.0       40.0       50.0   9.57E-06   1.72E-061434700200174 
      580.0      620.0       50.0       60.0   1.03E-05   1.82E-061434700200175 
      580.0      620.0       60.0       70.0   1.11E-05   1.99E-061434700200176 
      580.0      620.0       70.0       80.0   1.12E-05   2.02E-061434700200177 
      580.0      620.0       80.0       90.0   1.14E-05   2.07E-061434700200178 
      580.0      620.0       90.0      100.0   1.10E-05   2.09E-061434700200179 
      580.0      620.0      100.0      110.0   1.13E-05   2.22E-061434700200180 
      580.0      620.0      110.0      120.0   1.09E-05   2.09E-061434700200181 
      580.0      620.0      120.0      130.0   1.09E-05   2.09E-061434700200182 
      630.0      670.0       40.0       50.0   7.38E-06   1.27E-061434700200183 
      630.0      670.0       50.0       60.0   7.07E-06   1.30E-061434700200184 
      630.0      670.0       60.0       70.0   8.42E-06   1.45E-061434700200185 
      630.0      670.0       70.0       80.0   1.03E-05   1.64E-061434700200186 
      630.0      670.0       80.0       90.0   1.01E-05   1.73E-061434700200187 
      630.0      670.0       90.0      100.0   9.41E-06   1.65E-061434700200188 
      630.0      670.0      100.0      110.0   1.00E-05   1.74E-061434700200189 
      630.0      670.0      110.0      120.0   9.45E-06   1.71E-061434700200190 
      630.0      670.0      120.0      130.0   9.24E-06   1.66E-061434700200191 
ENDDATA            176          0                                 1434700200192 
ENDSUBENT          191          0                                 1434700299999 
SUBENT        14347003   20121106                             13871434700300001 
BIB                  3          6                                 1434700300002 
REACTION   (6-C-12(N,X)1-H-1,,PY/DA/DE,,AV)                       1434700300003 
STATUS     (TABLE) Data presented in fig. 13,14 sent by           1434700300004 
            author (T.K.) Not all incident neutron energy         1434700300005 
           intervals are shown in fig. 13,14                      1434700300006 
SAMPLE     Graphite sample with density of 1.86g/cm3 and          1434700300007 
           thickness of 0.76 cm.                                  1434700300008 
ENDBIB               6          0                                 1434700300009 
COMMON               1          3                                 1434700300010 
ANG                                                               1434700300011 
ADEG                                                              1434700300012 
30.0                                                              1434700300013 
ENDCOMMON            3          0                                 1434700300014 
DATA                 6        175                                 1434700300015 
EN-MIN     EN-MAX     E-MIN      E-MAX      DATA       ERR-T      1434700300016 
MEV        MEV        MEV        MEV        P/IN/MEVSR P/IN/MEVSR 1434700300017 
       72.5       77.5       40.0       50.0   4.56E-05   5.66E-061434700300018 
       72.5       77.5       50.0       60.0   2.92E-05   3.99E-061434700300019 
       72.5       77.5       60.0       70.0   4.09E-06   1.16E-061434700300020 
       72.5       77.5       70.0       80.0   3.17E-06   1.43E-061434700300021 
       77.5       82.5       40.0       50.0   4.19E-05   5.30E-061434700300022 
       77.5       82.5       50.0       60.0   3.62E-05   4.71E-061434700300023 
       77.5       82.5       60.0       70.0   1.67E-05   2.69E-061434700300024 
       77.5       82.5       70.0       80.0   9.09E-07   9.89E-071434700300025 
       82.5       87.5       40.0       50.0   3.70E-05   4.68E-061434700300026 
       82.5       87.5       50.0       60.0   4.08E-05   5.12E-061434700300027 
       82.5       87.5       60.0       70.0   2.95E-05   3.92E-061434700300028 
       82.5       87.5       70.0       80.0   3.63E-06   1.07E-061434700300029 
       87.5       92.5       40.0       50.0   4.03E-05   5.01E-061434700300030 
       87.5       92.5       50.0       60.0   3.62E-05   4.69E-061434700300031 
       87.5       92.5       60.0       70.0   3.67E-05   4.67E-061434700300032 
       87.5       92.5       70.0       80.0   1.67E-05   2.65E-061434700300033 
       87.5       92.5       80.0       90.0   1.84E-06   9.86E-071434700300034 
       92.5       97.5       40.0       50.0   4.74E-05   5.84E-061434700300035 
       92.5       97.5       50.0       60.0   4.43E-05   5.49E-061434700300036 
       92.5       97.5       60.0       70.0   3.66E-05   4.77E-061434700300037 
       92.5       97.5       70.0       80.0   3.41E-05   4.40E-061434700300038 
       92.5       97.5       80.0       90.0   5.59E-06   1.48E-061434700300039 
       92.5       97.5       90.0      100.0   7.78E-07   1.22E-061434700300040 
       97.5      102.5       40.0       50.0   4.34E-05   5.33E-061434700300041 
       97.5      102.5       50.0       60.0   4.06E-05   5.05E-061434700300042 
       97.5      102.5       60.0       70.0   3.94E-05   4.94E-061434700300043 
       97.5      102.5       70.0       80.0   4.00E-05   5.03E-061434700300044 
       97.5      102.5       80.0       90.0   2.45E-05   3.42E-061434700300045 
       97.5      102.5       90.0      100.0   2.71E-06   1.04E-061434700300046 
      102.5      107.5       40.0       50.0   3.34E-05   4.17E-061434700300047 
      102.5      107.5       50.0       60.0   3.58E-05   4.56E-061434700300048 
      102.5      107.5       60.0       70.0   3.42E-05   4.42E-061434700300049 
      102.5      107.5       70.0       80.0   3.27E-05   4.21E-061434700300050 
      102.5      107.5       80.0       90.0   2.86E-05   3.74E-061434700300051 
      102.5      107.5       90.0      100.0   7.10E-06   1.52E-061434700300052 
      102.5      107.5      100.0      110.0   4.77E-07   1.03E-061434700300053 
      107.5      112.5       40.0       50.0   3.34E-05   4.18E-061434700300054 
      107.5      112.5       50.0       60.0   3.35E-05   4.22E-061434700300055 
      107.5      112.5       60.0       70.0   3.85E-05   4.75E-061434700300056 
      107.5      112.5       70.0       80.0   3.44E-05   4.39E-061434700300057 
      107.5      112.5       80.0       90.0   2.66E-05   3.55E-061434700300058 
      107.5      112.5       90.0      100.0   1.84E-05   2.73E-061434700300059 
      112.5      117.5       40.0       50.0   3.07E-05   3.85E-061434700300060 
      112.5      117.5       50.0       60.0   3.29E-05   4.12E-061434700300061 
      112.5      117.5       60.0       70.0   3.90E-05   4.78E-061434700300062 
      112.5      117.5       70.0       80.0   3.90E-05   4.83E-061434700300063 
      112.5      117.5       80.0       90.0   2.71E-05   3.57E-061434700300064 
      112.5      117.5       90.0      100.0   2.68E-05   3.49E-061434700300065 
      112.5      117.5      100.0      110.0   9.83E-06   1.68E-061434700300066 
      112.5      117.5      110.0      120.0   8.40E-07   8.47E-071434700300067 
      117.5      122.5       40.0       50.0   3.09E-05   3.81E-061434700300068 
      117.5      122.5       50.0       60.0   3.30E-05   4.11E-061434700300069 
      117.5      122.5       60.0       70.0   4.08E-05   5.02E-061434700300070 
      117.5      122.5       70.0       80.0   3.72E-05   4.65E-061434700300071 
      117.5      122.5       80.0       90.0   3.21E-05   4.06E-061434700300072 
      117.5      122.5       90.0      100.0   2.64E-05   3.57E-061434700300073 
      117.5      122.5      100.0      110.0   2.08E-05   2.92E-061434700300074 
      117.5      122.5      110.0      120.0   2.27E-06   9.40E-071434700300075 
      122.5      127.5       40.0       50.0   3.10E-05   3.82E-061434700300076 
      122.5      127.5       50.0       60.0   3.35E-05   4.14E-061434700300077 
      122.5      127.5       60.0       70.0   3.78E-05   4.65E-061434700300078 
      122.5      127.5       70.0       80.0   4.03E-05   4.92E-061434700300079 
      122.5      127.5       80.0       90.0   3.88E-05   4.81E-061434700300080 
      122.5      127.5       90.0      100.0   2.85E-05   3.64E-061434700300081 
      122.5      127.5      100.0      110.0   2.52E-05   3.41E-061434700300082 
      122.5      127.5      110.0      120.0   1.16E-05   1.94E-061434700300083 
      122.5      127.5      120.0      130.0   8.99E-07   8.90E-071434700300084 
      127.5      132.5       40.0       50.0   2.57E-05   3.24E-061434700300085 
      127.5      132.5       50.0       60.0   2.61E-05   3.24E-061434700300086 
      127.5      132.5       60.0       70.0   3.15E-05   3.90E-061434700300087 
      127.5      132.5       70.0       80.0   3.57E-05   4.38E-061434700300088 
      127.5      132.5       80.0       90.0   3.00E-05   3.82E-061434700300089 
      127.5      132.5       90.0      100.0   2.49E-05   3.25E-061434700300090 
      127.5      132.5      100.0      110.0   2.07E-05   2.76E-061434700300091 
      127.5      132.5      110.0      120.0   1.73E-05   2.46E-061434700300092 
      127.5      132.5      120.0      130.0   2.78E-06   9.76E-071434700300093 
      145.0      155.0       40.0       50.0   1.71E-05   2.11E-061434700300094 
      145.0      155.0       50.0       60.0   2.02E-05   2.47E-061434700300095 
      145.0      155.0       60.0       70.0   2.19E-05   2.69E-061434700300096 
      145.0      155.0       70.0       80.0   2.54E-05   3.07E-061434700300097 
      145.0      155.0       80.0       90.0   2.60E-05   3.16E-061434700300098 
      145.0      155.0       90.0      100.0   2.88E-05   3.50E-061434700300099 
      145.0      155.0      100.0      110.0   2.69E-05   3.30E-061434700300100 
      145.0      155.0      110.0      120.0   2.00E-05   2.54E-061434700300101 
      145.0      155.0      120.0      130.0   1.66E-05   2.17E-061434700300102 
      190.0      210.0       40.0       50.0   1.19E-05   1.43E-061434700300103 
      190.0      210.0       50.0       60.0   1.15E-05   1.42E-061434700300104 
      190.0      210.0       60.0       70.0   1.21E-05   1.49E-061434700300105 
      190.0      210.0       70.0       80.0   1.33E-05   1.63E-061434700300106 
      190.0      210.0       80.0       90.0   1.42E-05   1.73E-061434700300107 
      190.0      210.0       90.0      100.0   1.51E-05   1.84E-061434700300108 
      190.0      210.0      100.0      110.0   1.78E-05   2.12E-061434700300109 
      190.0      210.0      110.0      120.0   1.83E-05   2.20E-061434700300110 
      190.0      210.0      120.0      130.0   1.82E-05   2.18E-061434700300111 
      240.0      260.0       40.0       50.0   8.09E-06   1.34E-061434700300112 
      240.0      260.0       50.0       60.0   8.30E-06   1.36E-061434700300113 
      240.0      260.0       60.0       70.0   8.72E-06   1.48E-061434700300114 
      240.0      260.0       70.0       80.0   8.95E-06   1.47E-061434700300115 
      240.0      260.0       80.0       90.0   9.38E-06   1.55E-061434700300116 
      240.0      260.0       90.0      100.0   1.04E-05   1.71E-061434700300117 
      240.0      260.0      100.0      110.0   1.04E-05   1.68E-061434700300118 
      240.0      260.0      110.0      120.0   1.07E-05   1.74E-061434700300119 
      240.0      260.0      120.0      130.0   1.00E-05   1.65E-061434700300120 
      290.0      310.0       40.0       50.0   6.04E-06   1.08E-061434700300121 
