ENTRY            10739   20101108                             13701073900000001 
SUBENT        10739001   20101108                             13701073900100001 
BIB                 10         15                                 1073900100002 
INSTITUTE  (1USABNL)                                              1073900100003 
REFERENCE  (J,PR/C,9,1839,197405)                                 1073900100004 
AUTHOR     (R.E.Chrien,D.I.Garber,J.L.Holm,K.Rimawi)              1073900100005 
TITLE      Radioactive decay of neutron resonances in             1073900100006 
            73Ge(n,gamma)74Ge.                                    1073900100007 
FACILITY   (CHOPF,1USABNL) High flux beam reactor fast chopper.   1073900100008 
METHOD     (TOF) Time of flight                                   1073900100009 
DETECTOR   (GELI)  Germanium-lithium detector.                    1073900100010 
SAMPLE     The target consisted of 500 gram of natural germanium. 1073900100011 
STATUS     (APRVD) Approved by R.E.Chrien, 1978/7/17.             1073900100012 
HISTORY    (19780619C)                                            1073900100013 
           (20091105A) VM:Updated to new date formats,lower case. 1073900100014 
                       BIB updates.                               1073900100015 
           (20101108A) VM: BIB update.                            1073900100016 
           (20101114A)S.H. Added sub. 3                           1073900100017 
ENDBIB              15          0                                 1073900100018 
NOCOMMON             0          0                                 1073900100019 
ENDSUBENT           18          0                                 1073900199999 
SUBENT        10739002   20101108                             13701073900200001 
BIB                  5          7                                 1073900200002 
REACTION  1(32-GE-73(N,0),,J)                                     1073900200003 
          2(32-GE-73(N,0),,PTY)                                   1073900200004 
ANALYSIS   Spin assignments based on high and low-energy gamma-ray1073900200005 
            spectra.                                              1073900200006 
ERR-ANALYS No information.                                        1073900200007 
FLAG       (1.) Assignments probable but not certain.             1073900200008 
STATUS     (TABLE) Data taken from Table III of reference.        1073900200009 
ENDBIB               7          0                                 1073900200010 
NOCOMMON             0          0                                 1073900200011 
DATA                 4          7                                 1073900200012 
EN-RES     DATA      1DATA      2FLAG                             1073900200013 
EV         NO-DIM     NO-DIM     NO-DIM                           1073900200014 
102.6      4.0        +1.0                                        1073900200015 
204.       5.0        +1.0                                        1073900200016 
224.7      4.0        +1.0                                        1073900200017 
320.6      4.0        +1.0       1.                               1073900200018 
332.0      5.0        +1.0       1.                               1073900200019 
367.1      4.0        +1.0       1.                               1073900200020 
408.2      4.0        +1.0       1.                               1073900200021 
ENDDATA              9          0                                 1073900200022 
ENDSUBENT           21          0                                 1073900299999 
SUBENT        10739003   20101114                             13701073900300001 
BIB                  4          4                                 1073900300002 
REACTION   (32-GE-73(N,G)32-GE-74,,SPC,,RES)                      1073900300003 
ERR-ANALYS (DATA-ERR) No information on source of uncertainty.    1073900300004 
STATUS     (TABLE) Data taken from Table II of reference.         1073900300005 
HISTORY    (20101114C) Compiled by S.H.                           1073900300006 
ENDBIB               4          0                                 1073900300007 
NOCOMMON             0          0                                 1073900300008 
DATA                 5        225                                 1073900300009 
EN-RES     E          E-ERR      DATA       DATA-ERR              1073900300010 
   102.0      5899.0     0.4        0.18      0.05                1073900300059 
   102.0      5878.4     0.8        0.18      0.17                1073900300060 
   102.0      5830.2     0.6        0.03      0.04                1073900300061 
   102.0      5780.7     0.5        0.18      0.13                1073900300062 
   102.0      5746.2     0.8        0.29      0.26                1073900300063 
   102.0      5692.8     0.5        0.35      0.26                1073900300064 
   102.0      5673.0     0.7        0.16      0.14                1073900300065 
   102.0      5663.8     0.3        0.55      0.14                1073900300066 
   102.0      5635.6     0.3        0.24      0.12                1073900300067 
   102.0      5594.2     0.3        0.09      0.12                1073900300068 
   102.0      5560.9     0.4        0.51      0.18                1073900300069 
   102.0      5514.4     0.6        0.37      0.16                1073900300070 
   102.0      5474.6     0.6        0.33      0.18                1073900300071 
   102.0      5437.7     0.6        0.18      0.17                1073900300072 
   102.0      5349.8     0.8        0.73      0.42                1073900300073 
   102.0      5205.3     0.5        0.45      0.12                1073900300074 
   102.0      5158.7     0.3        0.72      0.28                1073900300075 
   102.0      5114.5     0.7        0.18      0.18                1073900300076 
   102.0      5061.9     0.9        0.37      0.24                1073900300077 
   102.0      5018.2     0.7        0.45      0.21                1073900300078 
   102.0      4950.8     0.8        0.51      0.25                1073900300079 
   102.0      4902.7     0.6        0.10      0.08                1073900300080 
   102.0      4893.1     0.5        0.14      0.08                1073900300081 
   102.0      4835.3     0.7        0.41      0.17                1073900300082 
   102.0      4829.0     0.5        0.21      0.17                1073900300083 
   102.0      4804.7     0.4        0.52      0.14                1073900300084 
   102.0      4772.9     1.6        0.35      0.28                1073900300085 
   102.0      4721.5     0.9        0.41      0.26                1073900300086 
   102.0      4711.8     1.0        0.41      0.26                1073900300087 
   102.0      4681.9     0.3        0.59      0.13                1073900300088 
   102.0      4637.8     0.6        0.71      0.29                1073900300089 
   204.0      7626.8     0.4        4.60      1.70                1073900300090 
   204.0      7365.7     0.3        3.10      1.60                1073900300091 
   204.0      7090.8     0.2        8.90      3.00                1073900300092 
   204.0      6823.7     1.3        3.80      2.30                1073900300093 
   204.0      6759.8     0.7        1.68      0.78                1073900300094 
   204.0      6497.4     0.5        1.20      1.10                1073900300095 
   204.0      6487.5     0.3        6.90      1.80                1073900300096 
   204.0      6366.8     0.7        0.83      0.59                1073900300097 
   204.0      5852.6     0.3        1.99      0.90                1073900300098 
   204.0      5692.8     0.5        0.80      0.72                1073900300099 
   204.0      5594.2     0.3        1.10      1.10                1073900300100 
   224.0      9603.2     0.6        0.15      0.15                1073900300101 
   224.0      8732.1     0.3        0.31      0.13                1073900300102 
   224.0      8499.7     0.2        0.41      0.25                1073900300103 
   224.0      8030.6     0.3        0.23      0.13                1073900300104 
   224.0      8011.4     0.7        0.18      0.12                1073900300105 
   224.0      7996.7     1.2        0.21      0.13                1073900300106 
   224.0      7844.6     0.7        0.17      0.17                1073900300107 
   224.0      7811.6     0.7        0.35      0.20                1073900300108 
   224.0      7626.8     0.4        0.59      0.30                1073900300109 
   224.0      7523.8     1.0        0.07      0.08                1073900300110 
   224.0      7501.5     0.4        0.68      0.38                1073900300111 
   224.0      7365.7     0.3        0.43      0.26                1073900300112 
   224.0      7260.2     0.3        1.34      0.31                1073900300113 
   224.0      7160.6     0.7        1.39      0.53                1073900300114 
   224.0      7112.3     0.5        0.61      0.51                1073900300115 
   224.0      7090.8     0.2        0.53      0.50                1073900300116 
   224.0      7053.2     0.6        0.43      0.23                1073900300117 
   224.0      6923.9     0.4        0.58      0.17                1073900300118 
   224.0      6823.7     1.3        0.33      0.26                1073900300119 
   224.0      6784.2     0.5        0.48      0.33                1073900300120 
   224.0      6772.3     0.6        0.46      0.23                1073900300121 
   224.0      6715.2     0.5        0.53      0.33                1073900300122 
   224.0      6680.7     0.9        1.67      0.96                1073900300123 
   224.0      6611.2     0.3        0.41      0.21                1073900300124 
   224.0      6516.3     1.0        0.45      0.35                1073900300125 
   224.0      6487.5     0.3        0.46      0.31                1073900300126 
   224.0      6402.8     1.5        0.51      0.30                1073900300127 
   224.0      6359.6     0.4        0.73      0.30                1073900300128 
   224.0      6342.0     1.1        0.56      0.33                1073900300129 
   224.0      6238.8     0.6        0.35      0.33                1073900300130 
   224.0      6199.4     0.4        0.51      0.17                1073900300131 
   224.0      6180.3     1.3        0.18      0.15                1073900300132 
   224.0      6111.9     0.3        0.58      0.20                1073900300133 
   224.0      6026.5     0.5        0.28      0.28                1073900300134 
   224.0      5899.0     0.4        0.61      0.31                1073900300135 
   224.0      5878.4     0.8        0.46      0.31                1073900300136 
   224.0      5852.6     0.3        0.18      0.15                1073900300137 
   224.0      5830.2     0.6        0.33      0.28                1073900300138 
   224.0      5780.7     0.5        0.25      0.15                1073900300139 
   224.0      5692.8     0.5        0.25      0.26                1073900300140 
   224.0      5663.8     0.3        0.40      0.21                1073900300141 
   224.0      5635.6     0.3        0.59      0.36                1073900300142 
   224.0      5594.2     0.3        0.43      0.23                1073900300143 
   224.0      5580.2     0.6        0.26      0.23                1073900300144 
   224.0      5474.6     0.6        0.20      0.23                1073900300145 
   290.0      8993.7     0.8        0.36      0.18                1073900300146 
   290.0      8732.1     0.3        0.70      0.36                1073900300147 
   290.0      7658.6     0.4        2.34      0.92                1073900300148 
   290.0      7523.8     1.0        0.99      0.77                1073900300149 
   290.0      7365.7     0.3        1.04      0.88                1073900300150 
   290.0      7260.2     0.3        1.53      0.68                1073900300151 
   290.0      7221.7     0.3        2.48      0.70                1073900300152 
   290.0      7146.1     0.9        0.45      0.36                1073900300153 
   290.0      7136.2     0.9        0.74      0.36                1073900300154 
   290.0      7053.2     0.6        1.06      0.38                1073900300155 
   290.0      6923.9     0.4        1.89      0.81                1073900300156 
   290.0      6803.8     0.9        0.47      0.47                1073900300157 
   290.0      6680.7     0.9        0.81      0.65                1073900300158 
   290.0      6497.4     0.5        3.30      1.80                1073900300159 
   290.0      6359.6     0.4        1.40      0.54                1073900300160 
   290.0      6268.9     0.6        0.83      0.81                1073900300161 
   290.0      6040.7     0.6        0.63      0.63                1073900300162 
   290.0      5990.3     0.7        0.63      0.41                1073900300163 
   290.0      5663.8     0.3        0.77      0.74                1073900300164 
   290.0      5158.7     0.3        0.68      0.50                1073900300165 
   290.0      5114.5     0.7        0.59      0.36                1073900300166 
   290.0      4902.7     0.6        0.41      0.18                1073900300167 
   290.0      4893.1     0.5        0.50      0.18                1073900300168 
   290.0      4829.0     0.5        0.63      0.27                1073900300169 
   290.0      4790.7     0.7        0.83      0.43                1073900300170 
   290.0      4772.9     1.6        0.50      0.43                1073900300171 
   332.0      8732.1     0.3        1.58      0.31                1073900300172 
   332.0      8499.7     0.2        0.35      0.18                1073900300173 
   332.0      8030.6     0.3        0.74      0.57                1073900300174 
   332.0      7658.6     0.4        0.43      0.20                1073900300175 
   332.0      7365.7     0.3        2.54      0.76                1073900300176 
   332.0      7260.2     0.3        2.13      0.68                1073900300177 
   332.0      7221.7     0.3        2.01      0.74                1073900300178 
   332.0      7112.3     0.5        1.05      0.43                1073900300179 
   332.0      7090.8     0.2        0.66      0.55                1073900300180 
   332.0      6923.9     0.4        0.62      0.31                1073900300181 
   332.0      6837.6     1.2        0.41      0.33                1073900300182 
   332.0      6715.2     0.5        0.47      0.49                1073900300183 
   332.0      6694.7     1.0        0.68      0.53                1073900300184 
   332.0      6542.0     0.9        0.68      0.39                1073900300185 
   332.0      6516.3     1.0        0.23      0.27                1073900300186 
   332.0      6497.4     0.5        0.35      0.31                1073900300187 
   332.0      6421.6     1.0        0.29      0.29                1073900300188 
   332.0      6359.6     0.4        0.86      0.35                1073900300189 
   332.0      6268.9     0.6        0.72      0.39                1073900300190 
   332.0      6238.8     0.6        0.78      0.37                1073900300191 
   332.0      6166.2     0.9        0.94      0.43                1073900300192 
   332.0      6040.7     0.6        0.43      0.23                1073900300193 
   332.0      5990.3     0.7        0.47      0.45                1073900300194 
   332.0      5960.3     0.9        0.23      0.20                1073900300195 
   332.0      5899.0     0.4        0.60      0.39                1073900300196 
   332.0      5852.6     0.3        0.99      0.20                1073900300197 
   332.0      5780.7     0.5        0.43      0.35                1073900300198 
   332.0      5692.8     0.5        0.29      0.33                1073900300199 
   332.0      5673.0     0.7        0.35      0.06                1073900300200 
   332.0      5594.2     0.3        0.90      0.23                1073900300201 
   332.0      5580.2     0.6        0.47      0.21                1073900300202 
   332.0      5158.7     0.3        0.72      0.55                1073900300203 
   380.0      9603.2     0.6        0.57      0.36                1073900300204 
   380.0      8732.1     0.3        0.52      0.52                1073900300205 
   380.0      8144.9     0.7        0.39      0.26                1073900300206 
   380.0      8030.6     0.3        0.80      0.44                1073900300207 
   380.0      8011.4     0.7        0.62      0.44                1073900300208 
   380.0      7811.6     0.7        0.34      0.28                1073900300209 
   380.0      7658.6     0.4        2.90      1.10                1073900300210 
   380.0      7365.7     0.3        3.30      1.40                1073900300211 
   380.0      7260.2     0.3        1.26      0.39                1073900300212 
   380.0      7160.6     0.7        0.52      0.41                1073900300213 
   380.0      7136.2     0.9        0.28      0.31                1073900300214 
   380.0      7112.3     0.5        0.80      0.62                1073900300215 
   380.0      7090.8     0.2        0.88      0.34                1073900300216 
   380.0      6823.7     1.3        0.59      0.52                1073900300217 
   380.0      6803.8     0.9        0.88      0.44                1073900300218 
   380.0      6772.3     0.6        0.44      0.21                1073900300219 
   380.0      6694.7     1.0        0.44      0.41                1073900300220 
   380.0      6469.3     0.9        0.93      0.88                1073900300221 
   380.0      6129.5     0.7        0.95      0.85                1073900300222 
   380.0      6111.9     0.3        1.01      0.85                1073900300223 
   380.0      6026.5     0.5        0.62      0.21                1073900300224 
   380.0      5878.4     0.8        0.41      0.26                1073900300225 
   380.0      5852.6     0.3        0.59      0.26                1073900300226 
   380.0      5830.2     0.6        0.80      0.36                1073900300227 
   380.0      5746.2     0.8        0.39      0.21                1073900300228 
   380.0      5635.6     0.3        0.36      0.26                1073900300229 
   380.0      5594.2     0.3        0.46      0.49                1073900300230 
   380.0      5580.2     0.6        0.77      0.59                1073900300231 
   380.0      5560.9     0.4        0.85      0.62                1073900300232 
   380.0      5437.7     0.6        1.44      0.62                1073900300233 
   380.0      5158.7     0.3        1.06      0.36                1073900300234 
   380.0      4807.8     0.8        0.90      0.46                1073900300235 
   380.0      4772.9     1.6        0.85      0.62                1073900300236 
ENDDATA            227          0                                 1073900300237 
ENDSUBENT          236          0                                 1073900399999 
ENDENTRY             3          0                                 1073999999999 
