ENTRY            10077   19991022                             00001007700000001 
SUBENT        10077001   19991022                             00001007700100001 
BIB                 11         16                                 1007700100002 
INSTITUTE  (1USABNL,1USAALB)                                      1007700100003 
REFERENCE  (J,PR/C,2,1793,197011)                                 1007700100004 
AUTHOR     (K.RIMAWI,J.B.GARG,R.E.CHRIEN,R.G.GRAVES)              1007700100005 
TITLE      Resonance Neutron Capture in Rh103.                    1007700100006 
FACILITY   (CHOPF) Fast chopper. 22-m flight path.                1007700100007 
INC-SOURCE (REAC) Reactor                                         1007700100008 
SAMPLE     Powdered sample of natural rhodium wrapped in          1007700100009 
            aluminum foil.                                        1007700100010 
DETECTOR   (GELI) Ge(Li) planar diode detector.                   1007700100011 
CORRECTION Corrected for background and for system nonlinearity   1007700100012 
            over energy range.                                    1007700100013 
STATUS     (APRVD) Approved by author                             1007700100014 
HISTORY    (19701209C)                                            1007700100015 
           (19811118A) Converted to REACTION formalism            1007700100016 
           (19991012A) Converted to new data fromalism, lower     1007700100017 
            case. BIB updates.                                    1007700100018 
ENDBIB              16          0                                 1007700100019 
NOCOMMON             0          0                                 1007700100020 
ENDSUBENT           19          0                                 1007700199999 
SUBENT        10077002   19991022                             00001007700200001 
BIB                  3          6                                 1007700200002 
REACTION  1(45-RH-103(N,0),,J)                                    1007700200003 
          2(45-RH-103(N,0),,PTY)                                  1007700200004 
METHOD     Capture measurement. Spin value based on observation   1007700200005 
            of transitions to state with spin J=2.                1007700200006 
HISTORY    (19991012A) Parity inserted. 2 spins deleted; from     1007700200007 
            earlier works.                                        1007700200008 
ENDBIB               6          0                                 1007700200009 
NOCOMMON             0          0                                 1007700200010 
DATA                 3          1                                 1007700200011 
EN-RES     DATA      1DATA      2                                 1007700200012 
EV         NO-DIM     NO-DIM                                      1007700200013 
95.6       1.          1.                                         1007700200014 
ENDDATA              3          0                                 1007700200015 
ENDSUBENT           14          0                                 1007700299999 
SUBENT        10077003   19991022                             00001007700300001 
BIB                  5         12                                 1007700300002 
REACTION   (45-RH-103(N,G)45-RH-104,,SPC)                         1007700300003 
MONITOR    Gamma intensities normalized to Rasmussen et al.,      1007700300004 
            Cambridge report AFCRL-69-0071 (1969).                1007700300005 
           Energy scale calibrated using 7100.2 and 6644.5-keV    1007700300006 
            chromium gamma lines from the 53Cr(n,gamma) reaction, 1007700300007 
            Kane and Mariscotti, private communication.           1007700300008 
ERR-ANALYS (E-ERR) Includes only uncertainty in peak position.    1007700300009 
            Uncertainty in absolute energy scale not included     1007700300010 
            (believed to be about 1.5 keV).                       1007700300011 
           (DATA-ERR) No information on source of uncertainties.  1007700300012 
STATUS     Data taken from Table I in reference.                  1007700300013 
HISTORY    (19991012C)                                            1007700300014 
ENDBIB              12          0                                 1007700300015 
NOCOMMON             0          0                                 1007700300016 
DATA                 6        611                                 1007700300017 
EN-MIN     EN-MAX     E          E-ERR      DATA       DATA-ERR   1007700300018 
  0.14       0.487    6011.3       0.6        0.13       0.14     1007700300063 
  0.14       0.487    5989.8       0.2        1.38       0.13     1007700300064 
  0.14       0.487    5966.6       0.4        0.39       0.16     1007700300065 
  0.14       0.487    5948.6       0.2        0.86       0.21     1007700300066 
  0.14       0.487    5934.9                  0.54       0.23     1007700300067 
  0.14       0.487    5927.1       0.4        1.11       0.28     1007700300068 
  0.14       0.487    5916.5       0.0       12.85       0.29     1007700300069 
  0.14       0.487    5906.5       0.4        1.30       0.25     1007700300070 
  0.14       0.487    5880.9       0.2        1.18       0.12     1007700300071 
  0.14       0.487    5847.7       0.4        0.02       0.20     1007700300072 
  0.14       0.487    5836.5       0.8        0.54       0.22     1007700300073 
  0.14       0.487    5820.4       0.7        0.00       0.20     1007700300074 
  0.14       0.487    5812.2       0.3        3.48       0.13     1007700300075 
  0.14       0.487    5803.4       0.7        0.26       0.14     1007700300076 
  0.14       0.487    5797.8       0.2        5.21       0.15     1007700300077 
  0.14       0.487    5786.8       1.0        0.25       0.13     1007700300078 
  0.14       0.487    5766.6       0.4        0.61       0.19     1007700300079 
  0.14       0.487    5757.7       0.4        0.86       0.20     1007700300080 
  0.14       0.487    5743.0       0.3        0.33       0.14     1007700300081 
  0.14       0.487    5734.0       0.3       -0.06       0.14     1007700300082 
  0.14       0.487    5713.5       0.5        0.37       0.20     1007700300083 
  0.14       0.487    5708.4       0.8        1.42       0.20     1007700300084 
  0.14       0.487    5695.1       0.4        1.11       0.14     1007700300085 
  0.14       0.487    5688.8       0.9       -0.16       0.16     1007700300086 
  0.14       0.487    5674.1       0.2        1.61       0.19     1007700300087 
  0.14       0.487    5656.0       1.0        0.37       0.13     1007700300088 
  0.14       0.487    5648.3       1.0        0.01       0.14     1007700300089 
  0.14       0.487    5634.4       0.4        0.48       0.10     1007700300090 
  0.14       0.487    5616.5       0.2        2.89       0.21     1007700300091 
  0.14       0.487    5604.4       0.3        1.27       0.28     1007700300092 
  0.14       0.487    5587.9       0.3        0.63       0.16     1007700300093 
  0.14       0.487    5574.8       0.6        0.00       0.22     1007700300094 
  0.14       0.487    5566.1       0.6        0.06       0.22     1007700300095 
  0.14       0.487    5546.6       0.2        2.44       0.20     1007700300096 
  0.14       0.487    5527.0       0.3        1.69       0.24     1007700300097 
  0.14       0.487    5521.0       0.2        5.16       0.25     1007700300098 
  0.14       0.487    5507.6       0.2        1.33       0.23     1007700300099 
  0.14       0.487    5493.6       0.5        0.19       0.24     1007700300100 
  0.14       0.487    5476.2       0.6        0.12       0.17     1007700300101 
  0.14       0.487    5472.5       0.4        1.25       0.13     1007700300102 
  0.14       0.487    5463.3       0.3        1.98       0.23     1007700300103 
  0.14       0.487    5456.8       0.6        0.78       0.22     1007700300104 
  0.14       0.487    5453.3       0.7       -0.19       0.20     1007700300105 
  0.14       0.487    5441.4       0.7        0.00       0.17     1007700300106 
  0.14       0.487    5434.5       0.3        2.79       0.20     1007700300107 
  0.14       0.487    5422.9       0.2        1.66       0.16     1007700300108 
  0.14       0.487    5413.5       0.3        1.59       0.17     1007700300109 
  0.14       0.487    5399.2       0.6        0.46       0.18     1007700300110 
  0.14       0.487    5391.5       0.7        0.65       0.17     1007700300111 
  0.14       0.487    5364.5       0.4        0.21       0.28     1007700300112 
  0.14       0.487    5354.9       0.5        0.68       0.24     1007700300113 
  0.14       0.487    5346.5       0.2       14.48       0.29     1007700300114 
  0.14       0.487    5333.7       0.9        0.71       0.25     1007700300115 
  0.14       0.487    5323.0       0.4        1.99       0.18     1007700300116 
  0.14       0.487    5311.5       0.4        0.70       0.17     1007700300117 
  0.14       0.487    5298.0       0.7        0.39       0.17     1007700300118 
  0.14       0.487    5266.4       0.1        9.06       0.30     1007700300119 
  0.14       0.487    5257.3       0.6        1.15       0.26     1007700300120 
  0.14       0.487    5251.0       0.4        1.19       0.26     1007700300121 
  0.14       0.487    5237.7       0.2        2.04       0.15     1007700300122 
  0.14       0.487    5223.1       0.5        1.03       0.15     1007700300123 
  0.14       0.487    5217.6       0.4        1.13       0.16     1007700300124 
  0.14       0.487    5203.8       0.2        5.22       0.23     1007700300125 
  0.14       0.487    5186.8       0.6        0.44       0.35     1007700300126 
  0.14       0.487    5180.2       0.6        1.04       0.34     1007700300127 
  0.14       0.487    5173.1       0.7        1.09       0.35     1007700300128 
  0.14       0.487    5152.8       0.2        5.68       0.29     1007700300129 
  0.14       0.487    5142.9       0.4        0.95       0.24     1007700300130 
  0.14       0.487    5133.6       0.3        1.20       0.19     1007700300131 
  0.14       0.487    5123.4       0.5        0.02       0.20     1007700300132 
  0.14       0.487    5106.9       0.4        1.57       0.41     1007700300133 
  0.14       0.487    5094.0       0.3        1.30       0.42     1007700300134 
  0.14       0.487    5082.2       0.5        0.88       0.20     1007700300135 
  0.14       0.487    5070.0       0.4        1.00       0.21     1007700300136 
  0.14       0.487    5060.2       0.3        0.80       0.32     1007700300137 
  0.14       0.487    5036.9       0.7        0.37       0.29     1007700300138 
  0.14       0.487    5031.4       0.6        0.52       0.21     1007700300139 
  0.14       0.487    5020.9       0.3        2.76       0.33     1007700300140 
  0.14       0.487    5004.3       0.3        2.32       0.32     1007700300141 
  0.14       0.487    4978.3       0.8        0.86       0.21     1007700300142 
  0.14       0.487    4972.7       0.5        1.08       0.23     1007700300143 
  0.14       0.487    4960.8       0.6        1.25       0.19     1007700300144 
  0.14       0.487    4950.0       1.2        0.18       0.29     1007700300145 
  0.14       0.487    4923.0       0.6        2.27       0.21     1007700300146 
  0.14       0.487    4913.6       0.3        4.04       0.20     1007700300147 
  0.14       0.487    4900.6       0.3        2.46       0.23     1007700300148 
  0.14       0.487    4890.8       0.6        0.18       0.29     1007700300149 
  0.14       0.487    4863.2       1.1        0.57       0.40     1007700300150 
  0.14       0.487    4858.2       0.9        2.02       0.35     1007700300151 
  0.14       0.487    4848.2       0.4        1.59       0.27     1007700300152 
  0.14       0.487    4838.7       0.8        0.31       0.26     1007700300153 
  0.14       0.487    4834.1       0.2        3.84       0.26     1007700300154 
  0.14       0.487    4824.3       0.5        0.90       0.26     1007700300155 
  0.14       0.487    4811.8       0.8        0.56       0.22     1007700300156 
  0.14       0.487    4800.6       0.6        0.92       0.22     1007700300157 
  0.14       0.487    4778.6       0.6        0.79       0.28     1007700300158 
  0.14       0.487    4773.4       0.7        0.80       0.27     1007700300159 
  0.14       0.487    4765.5       0.5        0.86       0.34     1007700300160 
  0.14       0.487    4751.1       0.6        0.31       0.23     1007700300161 
  0.14       0.487    4743.3       0.5        1.47       0.24     1007700300162 
  0.14       0.487    4735.2       0.8        0.00       0.31     1007700300163 
  0.14       0.487    4724.9       0.3        2.73       0.32     1007700300164 
  0.14       0.487    4709.3       0.5        0.46       0.36     1007700300165 
  0.14       0.487    4697.4       0.6        1.40       0.36     1007700300166 
  0.14       0.487    4690.4       0.4        2.12       0.35     1007700300167 
  0.14       0.487    4671.0       0.5        1.39       0.30     1007700300168 
  0.14       0.487    4665.0       0.5        2.05       0.31     1007700300169 
  0.14       0.487    4649.2       0.6        0.73       0.38     1007700300170 
  0.14       0.487    4642.9       0.8        0.75       0.46     1007700300171 
  0.14       0.487    4628.9       0.6        5.26       0.51     1007700300172 
  0.14       0.487    4614.2       0.5        1.05       0.27     1007700300173 
  0.14       0.487    4601.9       0.9        1.17       0.22     1007700300174 
  0.14       0.487    4595.1       0.6        1.68       0.21     1007700300175 
  0.14       0.487    4586.8       0.4        0.44       0.20     1007700300176 
  0.14       0.487    4579.5       0.3        1.66       0.37     1007700300177 
  0.14       0.487    4568.1       0.9        0.25       0.45     1007700300178 
  0.14       0.487    4563.0       0.9        0.45       0.45     1007700300179 
  0.14       0.487    4549.3       0.7        1.05       0.40     1007700300180 
  0.14       0.487    4542.8       0.6        2.24       0.40     1007700300181 
  0.14       0.487    4536.4       0.6        1.58       0.39     1007700300182 
  0.14       0.487    4522.2       1.0        0.42       0.58     1007700300183 
  0.14       0.487    4515.4       0.4        1.29       0.46     1007700300184 
  0.14       0.487    4502.2       0.4        1.65       0.49     1007700300185 
  0.14       0.487    4483.9       0.4        0.96       0.42     1007700300186 
  0.14       0.487    4478.7       0.3        3.15       0.34     1007700300187 
  0.14       0.487    4455.9       0.6        0.55       0.28     1007700300188 
  0.14       0.487    4444.6       0.2        2.94       0.25     1007700300189 
  0.14       0.487    4429.1       0.6        0.35       0.37     1007700300190 
  0.14       0.487    4417.7       0.3        0.35       0.37     1007700300191 
  0.14       0.487    4407.7       0.4       -0.28       0.33     1007700300192 
  0.14       0.487    4398.1       0.3        1.50       0.31     1007700300193 
  0.14       0.487    4392.0       0.6        0.64       0.31     1007700300194 
  0.14       0.487    4384.2       0.6        0.07       0.32     1007700300195 
  0.14       0.487    4377.4       0.5        0.06       0.32     1007700300196 
  0.14       0.487    4368.7       0.9        0.24       0.29     1007700300197 
  0.14       0.487    4360.3       0.5        1.28       0.30     1007700300198 
  0.14       0.487    4354.3       0.3        1.73       0.32     1007700300199 
  0.14       0.487    4343.5       0.4        1.04       0.21     1007700300200 
  0.14       0.487    4334.9       0.4        0.68       0.23     1007700300201 
  0.14       0.487    4326.9       0.6        1.33       0.37     1007700300202 
  0.14       0.487    4321.8       0.3        1.39       0.41     1007700300203 
  0.14       0.487    4310.1       0.5        0.14       0.32     1007700300204 
  0.14       0.487    4302.6       0.2        2.74       0.31     1007700300205 
  0.14       0.487    4294.5       0.5        0.94       0.29     1007700300206 
  0.14       0.487    4287.9       0.8        0.00       0.40     1007700300207 
  0.14       0.487    4282.9       0.7        0.82       0.54     1007700300208 
  0.14       0.487    4270.2       0.5        0.76       0.40     1007700300209 
  0.14       0.487    4256.8       0.4        1.26       0.38     1007700300210 
  0.14       0.487    4248.8       0.5        1.43       0.36     1007700300211 
  0.14       0.487    4241.9       0.9        0.54       0.37     1007700300212 
  0.14       0.487    4233.9       0.5        1.12       0.39     1007700300213 
  0.14       0.487    4222.6       0.6        0.44       0.37     1007700300214 
  0.14       0.487    4216.2       0.4        0.91       0.36     1007700300215 
  0.14       0.487    4198.8       0.8        0.10       0.35     1007700300216 
  0.14       0.487    4187.2       1.0        0.56       0.34     1007700300217 
  0.14       0.487    4181.4       1.5        0.87       0.35     1007700300218 
  0.14       0.487    4171.6       0.8        0.09       0.38     1007700300219 
  0.14       0.487    4165.3       0.8        1.16       0.38     1007700300220 
  0.14       0.487    4158.6       0.4        1.47       0.36     1007700300221 
  0.14       0.487    4146.3       0.6        0.00       0.43     1007700300222 
  0.14       0.487    4132.1       0.4        1.10       0.35     1007700300223 
  0.14      15.       6999.3       0.2        1.63       0.06     1007700300224 
  0.14      15.       6948.0       0.3        0.51       0.05     1007700300225 
  0.14      15.       6902.3       0.6        0.33       0.05     1007700300226 
  0.14      15.       6820.2       0.4        0.24       0.05     1007700300227 
  0.14      15.       6814.3       0.3        0.49       0.06     1007700300228 
  0.14      15.       6801.9       1.0        0.39       0.07     1007700300229 
  0.14      15.       6785.6       0.1        5.40       0.12     1007700300230 
  0.14      15.       6768.0       0.8        0.24       0.06     1007700300231 
  0.14      15.       6762.6       0.6        0.32       0.05     1007700300232 
  0.14      15.       6753.4       0.8        0.07       0.07     1007700300233 
  0.14      15.       6731.3       0.5        0.00       0.11     1007700300234 
  0.14      15.       6726.6       1.0        0.33       0.11     1007700300235 
  0.14      15.       6657.5       1.1        0.20       0.06     1007700300236 
  0.14      15.       6615.3       0.3        0.67       0.07     1007700300237 
  0.14      15.       6576.8       0.5        0.09       0.12     1007700300238 
  0.14      15.       6514.5       0.3        0.46       0.05     1007700300239 
  0.14      15.       6484.0       0.4        0.27       0.14     1007700300240 
  0.14      15.       6476.6       0.3        0.28       0.07     1007700300241 
  0.14      15.       6459.6       0.3        0.40       0.06     1007700300242 
  0.14      15.       6419.9       0.3        1.19       0.08     1007700300243 
  0.14      15.       6413.5       1.5        0.31       0.14     1007700300244 
  0.14      15.       6406.9       0.5        0.37       0.07     1007700300245 
  0.14      15.       6397.1       0.8        0.36       0.07     1007700300246 
  0.14      15.       6379.7       0.7        0.43       0.07     1007700300247 
  0.14      15.       6354.4       0.3        4.11       0.17     1007700300248 
  0.14      15.       6302.4       0.2        1.77       0.07     1007700300249 
  0.14      15.       6287.1       0.2        0.90       0.17     1007700300250 
  0.14      15.       6210.8       0.2        7.41       0.20     1007700300251 
  0.14      15.       6206.5       0.3        1.20       0.18     1007700300252 
  0.14      15.       6193.2       0.3        1.60       0.11     1007700300253 
  0.14      15.       6182.5       0.3        1.37       0.12     1007700300254 
  0.14      15.       6171.8       0.1        6.90       0.31     1007700300255 
  0.14      15.       6163.9       0.5        0.97       0.26     1007700300256 
  0.14      15.       6133.5       0.2        0.67       0.08     1007700300257 
  0.14      15.       6109.2       0.1        3.86       0.09     1007700300258 
  0.14      15.       6100.6       0.3        0.83       0.08     1007700300259 
  0.14      15.       6092.1       0.9        0.77       0.08     1007700300260 
  0.14      15.       6082.8       0.1        6.40       0.13     1007700300261 
  0.14      15.       6067.4       0.5        0.72       0.09     1007700300262 
  0.14      15.       6056.3       0.8        0.50       0.13     1007700300263 
  0.14      15.       6046.0       0.1        8.22       0.15     1007700300264 
  0.14      15.       6026.0       0.3        0.45       0.09     1007700300265 
  0.14      15.       6017.0       0.4        0.39       0.09     1007700300266 
  0.14      15.       6011.3       0.6        0.51       0.09     1007700300267 
  0.14      15.       5989.8       0.2        1.84       0.09     1007700300268 
  0.14      15.       5966.6       0.4        0.70       0.11     1007700300269 
  0.14      15.       5948.6       0.2        1.06       0.09     1007700300270 
  0.14      15.       5934.9                  0.44       0.09     1007700300271 
  0.14      15.       5927.1       0.4        1.06       0.15     1007700300272 
  0.14      15.       5916.5       0.0       11.92       0.19     1007700300273 
  0.14      15.       5906.5       0.4        1.81       0.35     1007700300274 
  0.14      15.       5880.9       0.2        1.33       0.10     1007700300275 
  0.14      15.       5847.7       0.4        0.49       0.11     1007700300276 
  0.14      15.       5836.5       0.8        0.96       0.22     1007700300277 
  0.14      15.       5820.4       0.7        0.25       0.16     1007700300278 
  0.14      15.       5812.2       0.3        3.35       0.12     1007700300279 
  0.14      15.       5803.4       0.7        0.20       0.14     1007700300280 
  0.14      15.       5797.8       0.2        4.84       0.10     1007700300281 
  0.14      15.       5786.8       1.0        0.37       0.16     1007700300282 
  0.14      15.       5766.6       0.4        0.88       0.10     1007700300283 
  0.14      15.       5757.7       0.4        0.94       0.10     1007700300284 
  0.14      15.       5743.0       0.3        0.67       0.10     1007700300285 
  0.14      15.       5734.0       0.3        0.35       0.10     1007700300286 
  0.14      15.       5713.5       0.5        0.78       0.14     1007700300287 
  0.14      15.       5708.4       0.8        1.12       0.22     1007700300288 
  0.14      15.       5695.1       0.4        1.35       0.11     1007700300289 
  0.14      15.       5688.8       0.9        0.56       0.11     1007700300290 
  0.14      15.       5674.1       0.2        2.55       0.18     1007700300291 
  0.14      15.       5656.0       1.0        0.52       0.11     1007700300292 
  0.14      15.       5648.3       1.0        0.33       0.11     1007700300293 
  0.14      15.       5634.4       0.4        0.79       0.13     1007700300294 
  0.14      15.       5616.5       0.2        3.35       0.11     1007700300295 
  0.14      15.       5604.4       0.3        2.55       0.16     1007700300296 
  0.14      15.       5587.9       0.3        1.24       0.13     1007700300297 
  0.14      15.       5574.8       0.6        0.25       0.11     1007700300298 
  0.14      15.       5566.1       0.6        0.35       0.13     1007700300299 
  0.14      15.       5546.6       0.2        2.82       0.13     1007700300300 
  0.14      15.       5527.0       0.3        2.36       0.22     1007700300301 
  0.14      15.       5521.0       0.2        5.61       0.23     1007700300302 
  0.14      15.       5507.6       0.2        2.02       0.15     1007700300303 
  0.14      15.       5493.6       0.5        0.85       0.16     1007700300304 
  0.14      15.       5476.2       0.6        0.63       0.16     1007700300305 
  0.14      15.       5472.5       0.4        1.77       0.14     1007700300306 
  0.14      15.       5463.3       0.3        2.76       0.16     1007700300307 
  0.14      15.       5456.8       0.6        0.75       0.16     1007700300308 
  0.14      15.       5453.3       0.7        0.49       0.17     1007700300309 
  0.14      15.       5441.4       0.7        0.60       0.18     1007700300310 
  0.14      15.       5434.5       0.3        2.41       0.14     1007700300311 
  0.14      15.       5422.9       0.2        2.14       0.11     1007700300312 
  0.14      15.       5413.5       0.3        1.99       0.12     1007700300313 
  0.14      15.       5399.2       0.6        1.19       0.15     1007700300314 
  0.14      15.       5391.5       0.7        0.89       0.13     1007700300315 
  0.14      15.       5364.5       0.4        1.65       0.51     1007700300316 
  0.14      15.       5354.9       0.5        1.64       0.22     1007700300317 
  0.14      15.       5346.5       0.2       13.99       0.22     1007700300318 
  0.14      15.       5333.7       0.9        2.46       0.33     1007700300319 
  0.14      15.       5323.0       0.4        2.23       0.19     1007700300320 
  0.14      15.       5311.5       0.4        1.26       0.18     1007700300321 
  0.14      15.       5298.0       0.7        0.72       0.18     1007700300322 
  0.14      15.       5266.4       0.1        8.82       0.15     1007700300323 
  0.14      15.       5257.3       0.6        1.69       0.13     1007700300324 
  0.14      15.       5251.0       0.4        1.53       0.13     1007700300325 
  0.14      15.       5237.7       0.2        2.41       0.11     1007700300326 
  0.14      15.       5223.1       0.5        1.20       0.11     1007700300327 
  0.14      15.       5217.6       0.4        1.44       0.12     1007700300328 
  0.14      15.       5203.8       0.2        4.83       0.23     1007700300329 
  0.14      15.       5186.8       0.6        0.85       0.14     1007700300330 
  0.14      15.       5180.2       0.6        1.29       0.14     1007700300331 
  0.14      15.       5173.1       0.7        1.23       0.25     1007700300332 
  0.14      15.       5152.8       0.2        4.81       0.27     1007700300333 
  0.14      15.       5142.9       0.4        1.19       0.12     1007700300334 
  0.14      15.       5133.6       0.3        1.57       0.12     1007700300335 
  0.14      15.       5123.4       0.5        0.44       0.12     1007700300336 
  0.14      15.       5106.9       0.4        1.99       0.22     1007700300337 
  0.14      15.       5094.0       0.3        1.46       0.17     1007700300338 
  0.14      15.       5082.2       0.5        0.43       0.13     1007700300339 
  0.14      15.       5070.0       0.4        1.28       0.13     1007700300340 
  0.14      15.       5060.2       0.3        1.08       0.12     1007700300341 
  0.14      15.       5036.9       0.7        0.45       0.12     1007700300342 
  0.14      15.       5031.4       0.6        0.57       0.12     1007700300343 
  0.14      15.       5020.9       0.3        2.46       0.26     1007700300344 
  0.14      15.       5004.3       0.3        2.56       0.13     1007700300345 
  0.14      15.       4978.3       0.8        0.16       0.12     1007700300346 
  0.14      15.       4972.7       0.5        1.70       0.18     1007700300347 
  0.14      15.       4960.8       0.6        1.10       0.19     1007700300348 
  0.14      15.       4950.0       1.2        0.68       0.21     1007700300349 
  0.14      15.       4923.0       0.6        2.45       0.38     1007700300350 
  0.14      15.       4913.6       0.3        4.54       0.26     1007700300351 
  0.14      15.       4900.6       0.3        2.19       0.26     1007700300352 
  0.14      15.       4890.8       0.6        1.09       0.29     1007700300353 
  0.14      15.       4863.2       1.1        0.85       0.12     1007700300354 
  0.14      15.       4858.2       0.9        1.70       0.21     1007700300355 
  0.14      15.       4848.2       0.4        1.77       0.19     1007700300356 
  0.14      15.       4838.7       0.8        0.76       0.18     1007700300357 
