ENTRY            D8060   20230309                             D139D806000000001 
SUBENT        D8060001   20230309                             D139D806000100001 
BIB                 10         22                                 D806000100002 
TITLE      Transfer reactions in 206Pb+118Sn: From quasielastic   D806000100003 
            to deep-inelastic processes                           D806000100004 
AUTHOR     (J.Diklic, S.Szilner, L.Corradi, T.Mijatovic,          D806000100005 
            G.Pollarolo, P.Colovic, G.Colucci, E.Fioretto,        D806000100006 
            F.Galtarossa, A.Goasduff, A.Gottardo, J.Grebosz,      D806000100007 
            A.Illana, G.Jaworski, M.Jurado Gomez, T.Marchi,       D806000100008 
            D.Mengoni, G.Montagnoli, D.Nurkic, M.Siciliano,       D806000100009 
            N.Soic, A.M.Stefanini, D.Testov, J.J.Valiente-Dobon,  D806000100010 
            N.Vukman)                                             D806000100011 
INSTITUTE  (3CRORBZ,2ITYPAD,2ITYTUR,2ITYUPV,3POLWWA,3POLIFJ,      D806000100012 
            2SF JYV,3CROZAG,1USAANL)                              D806000100013 
           (2SPNSPN) Instituto de Fisica Corpuscular, Valencia    D806000100014 
REFERENCE  (J,PR/C,107,014619,2023)                               D806000100015 
SAMPLE     (50-SN-118,ENR=0.996)                                  D806000100016 
           118Sn (200 ug/cm2) sandwiched between 15 ug/cm2        D806000100017 
            carbon layers                                         D806000100018 
METHOD     (TOF,EDE)                                              D806000100019 
FACILITY   (VDGT,2ITYPAD) ALPI post-accelerator                   D806000100020 
DETECTOR   (MAGSP,MCPLT,IOCH) PRISMA                              D806000100021 
STATUS     (APRVD) Proof-read by Suzana Szilner (2023-03-14)      D806000100022 
HISTORY    (20230220R) Received by e-mail from S.Szilner          D806000100023 
           (20230228C) M.Odsuren, N.Otsuka                        D806000100024 
ENDBIB              22          0                                 D806000100025 
COMMON               1          3                                 D806000100026 
EN                                                                D806000100027 
MEV                                                               D806000100028 
 1200.                                                            D806000100029 
ENDCOMMON            3          0                                 D806000100030 
ENDSUBENT           29          0                                 D806000199999 
SUBENT        D8060002   20230309                             D139D806000200001 
BIB                  4          4                                 D806000200002 
REACTION   (50-SN-118(82-PB-206,X)ELEM/MASS,,DA)                  D806000200003 
ANALYSIS   Cross section integrated over the full Q-value range   D806000200004 
ERR-ANALYS (ERR-S) Statistical uncertainty                        D806000200005 
STATUS     (TABLE,,J.Diklic+,J,PR/C,107,014619,2023) Fig.7        D806000200006 
ENDBIB               4          0                                 D806000200007 
NOCOMMON             0          0                                 D806000200008 
DATA                 5        144                                 D806000200009 
ELEMENT    MASS       ANG-CM     DATA-CM    ERR-S                 D806000200010 
 49.        115.       108.50     10.0       0.2                  D806000200057 
 49.        115.       106.50      7.7       0.2                  D806000200058 
 49.        115.       104.50      6.4       0.2                  D806000200059 
 49.        116.       118.10      8.7       0.2                  D806000200060 
 49.        116.       116.10     11.4       0.2                  D806000200061 
 49.        116.       114.10     13.2       0.3                  D806000200062 
 49.        116.       112.20     14.2       0.3                  D806000200063 
 49.        116.       110.20     15.3       0.3                  D806000200064 
 49.        116.       108.20     12.6       0.3                  D806000200065 
 49.        116.       106.20     10.1       0.2                  D806000200066 
 49.        116.       104.20      7.9       0.2                  D806000200067 
 49.        117.       118.00      8.0       0.2                  D806000200068 
 49.        117.       116.00     11.5       0.2                  D806000200069 
 49.        117.       114.00     15.0       0.3                  D806000200070 
 49.        117.       112.00     15.6       0.3                  D806000200071 
 49.        117.       110.00     17.1       0.3                  D806000200072 
 49.        117.       108.00     15.4       0.3                  D806000200073 
 49.        117.       106.00     11.8       0.2                  D806000200074 
 49.        117.       104.00     10.1       0.2                  D806000200075 
 49.        118.       117.70      5.5       0.2                  D806000200076 
 49.        118.       115.70      8.9       0.2                  D806000200077 
 49.        118.       113.65     11.0       0.2                  D806000200078 
 49.        118.       111.60     11.2       0.2                  D806000200079 
 49.        118.       109.60     11.9       0.2                  D806000200080 
 49.        118.       107.60     10.8       0.2                  D806000200081 
 49.        118.       105.60      7.1       0.2                  D806000200082 
 49.        118.       103.60      5.7       0.2                  D806000200083 
 49.        119.       117.50      2.3       0.1                  D806000200084 
 49.        119.       115.50      3.4       0.1                  D806000200085 
 49.        119.       113.50      4.1       0.1                  D806000200086 
 49.        119.       111.40      4.0       0.1                  D806000200087 
 49.        119.       109.40      4.3       0.1                  D806000200088 
 49.        119.       107.40      3.8       0.1                  D806000200089 
 49.        119.       105.40      2.4       0.1                  D806000200090 
 49.        119.       103.35      1.9       0.1                  D806000200091 
 50.        116.       118.20     15.1       0.3                  D806000200092 
 50.        116.       116.20     16.3       0.3                  D806000200093 
 50.        116.       114.20     17.0       0.3                  D806000200094 
 50.        116.       112.20     16.7       0.3                  D806000200095 
 50.        116.       110.20     17.9       0.3                  D806000200096 
 50.        116.       108.20     16.9       0.3                  D806000200097 
 50.        116.       106.20     13.9       0.3                  D806000200098 
 50.        116.       104.20     12.6       0.3                  D806000200099 
 50.        117.       118.10     48.1       0.5                  D806000200100 
 50.        117.       116.10     54.9       0.5                  D806000200101 
 50.        117.       114.10     48.6       0.5                  D806000200102 
 50.        117.       112.10     45.9       0.5                  D806000200103 
 50.        117.       110.15     51.6       0.5                  D806000200104 
 50.        117.       108.15     52.3       0.5                  D806000200105 
 50.        117.       106.20     46.9       0.5                  D806000200106 
 50.        117.       104.20     46.4       0.5                  D806000200107 
 50.        119.       117.70     29.7       0.4                  D806000200108 
 50.        119.       115.70     41.8       0.5                  D806000200109 
 50.        119.       113.70     57.5       0.5                  D806000200110 
 50.        119.       111.70     69.4       0.6                  D806000200111 
 50.        119.       109.65     84.0       0.6                  D806000200112 
 50.        119.       107.60     84.0       0.7                  D806000200113 
 50.        119.       105.60     80.3       0.6                  D806000200114 
 50.        119.       103.60     71.4       0.6                  D806000200115 
 50.        120.       117.60     15.1       0.3                  D806000200116 
 50.        120.       115.55     17.7       0.3                  D806000200117 
 50.        120.       113.50     21.7       0.3                  D806000200118 
 50.        120.       111.50     24.6       0.3                  D806000200119 
 50.        120.       109.50     29.7       0.4                  D806000200120 
 50.        120.       107.50     27.8       0.4                  D806000200121 
 50.        120.       105.45     24.4       0.4                  D806000200122 
 50.        120.       103.40     19.9       0.3                  D806000200123 
 51.        117.       118.00      5.7       0.2                  D806000200124 
 51.        117.       116.00      7.7       0.2                  D806000200125 
 51.        117.       114.00      7.8       0.2                  D806000200126 
 51.        117.       112.00      6.9       0.2                  D806000200127 
 51.        117.       110.00      5.9       0.2                  D806000200128 
 51.        117.       108.00      6.0       0.2                  D806000200129 
 51.        117.       106.00      6.4       0.2                  D806000200130 
 51.        117.       104.00      4.8       0.2                  D806000200131 
 51.        119.       117.70      7.3       0.2                  D806000200132 
 51.        119.       115.65     10.5       0.2                  D806000200133 
 51.        119.       113.60     12.4       0.2                  D806000200134 
 51.        119.       111.60     12.0       0.2                  D806000200135 
 51.        119.       109.60     13.1       0.3                  D806000200136 
 51.        119.       107.60      9.9       0.2                  D806000200137 
 51.        119.       105.60      9.2       0.2                  D806000200138 
 51.        119.       103.60      7.0       0.2                  D806000200139 
 51.        120.       117.50      6.1       0.2                  D806000200140 
 51.        120.       115.50      8.4       0.2                  D806000200141 
 51.        120.       113.50      9.7       0.2                  D806000200142 
 51.        120.       111.50      9.5       0.2                  D806000200143 
 51.        120.       109.45      9.9       0.2                  D806000200144 
 51.        120.       107.40      7.5       0.2                  D806000200145 
 51.        120.       105.40      5.9       0.2                  D806000200146 
 51.        120.       103.40      4.2       0.1                  D806000200147 
 51.        121.       117.30      4.7       0.1                  D806000200148 
 51.        121.       115.20      5.6       0.2                  D806000200149 
 51.        121.       113.20      6.8       0.2                  D806000200150 
 51.        121.       111.20      6.3       0.2                  D806000200151 
 51.        121.       109.10      6.5       0.2                  D806000200152 
 51.        121.       107.10      5.0       0.2                  D806000200153 
 51.        121.       105.10      4.6       0.2                  D806000200154 
 51.        121.       103.00      3.1       0.1                  D806000200155 
ENDDATA            146          0                                 D806000200156 
ENDSUBENT          155          0                                 D806000299999 
SUBENT        D8060003   20230309                             D139D806000300001 
BIB                  3          5                                 D806000300002 
REACTION   (50-SN-118(82-PB-206,X)ELEM/MASS,PAR,DA,,MSC)          D806000300003 
           Cross section integrated over the Q-value range from   D806000300004 
            Qg.s. to ~-35 MeV                                     D806000300005 
ERR-ANALYS (ERR-S) Statistical uncertainty                        D806000300006 
STATUS     (TABLE,,J.Diklic+,J,PR/C,107,014619,2023) Fig.7        D806000300007 
ENDBIB               5          0                                 D806000300008 
COMMON               1          3                                 D806000300009 
Q-VAL-MIN                                                         D806000300010 
MEV                                                               D806000300011 
 -35.                                                             D806000300012 
ENDCOMMON            3          0                                 D806000300013 
DATA                 5         61                                 D806000300014 
ELEMENT    MASS       ANG-CM     DATA-CM    ERR-S                 D806000300015 
NO-DIM     NO-DIM     ADEG       MB/SR      MB/SR                 D806000300016 
 50.        116.       138.10      0.04      0.03                 D806000300017 
 50.        116.       136.10      0.07      0.04                 D806000300018 
 50.        116.       134.11      0.14      0.05                 D806000300019 
 50.        116.       132.11      0.29      0.07                 D806000300020 
 50.        116.       130.12      0.46      0.09                 D806000300021 
 50.        116.       128.12      0.37      0.08                 D806000300022 
 50.        116.       126.10      0.52      0.10                 D806000300023 
 50.        116.       124.10      0.83      0.13                 D806000300024 
 50.        116.       118.20      5.23      0.15                 D806000300025 
 50.        116.       116.20      8.29      0.20                 D806000300026 
 50.        116.       114.20      9.32      0.22                 D806000300027 
 50.        116.       112.20     10.00      0.22                 D806000300028 
 50.        116.       110.80     11.58      0.24                 D806000300029 
 50.        116.       108.20     11.44      0.24                 D806000300030 
 50.        116.       106.20     10.31      0.23                 D806000300031 
 50.        116.       104.30     10.66      0.23                 D806000300032 
 50.        117.       136.09      0.09      0.04                 D806000300033 
 50.        117.       134.09      0.16      0.05                 D806000300034 
 50.        117.       132.09      0.40      0.09                 D806000300035 
 50.        117.       130.10      0.70      0.11                 D806000300036 
 50.        117.       128.10      0.89      0.13                 D806000300037 
 50.        117.       126.10      1.20      0.15                 D806000300038 
 50.        117.       124.10      1.42      0.16                 D806000300039 
 50.        117.       118.10     10.36      0.22                 D806000300040 
 50.        117.       116.10     18.19      0.30                 D806000300041 
 50.        117.       114.10     22.67      0.33                 D806000300042 
 50.        117.       112.10     24.96      0.35                 D806000300043 
 50.        117.       110.15     30.64      0.39                 D806000300044 
 50.        117.       108.15     34.45      0.42                 D806000300045 
 50.        117.       106.20     33.42      0.41                 D806000300046 
 50.        117.       104.20     35.71      0.43                 D806000300047 
 50.        119.       135.80      0.20      0.06                 D806000300048 
 50.        119.       133.80      0.73      0.11                 D806000300049 
 50.        119.       131.80      1.44      0.16                 D806000300050 
 50.        119.       129.80      1.78      0.18                 D806000300051 
 50.        119.       127.80      1.79      0.18                 D806000300052 
 50.        119.       125.80      2.73      0.22                 D806000300053 
 50.        119.       123.70      4.00      0.27                 D806000300054 
 50.        119.       117.70     13.44      0.25                 D806000300055 
 50.        119.       115.70     20.24      0.31                 D806000300056 
 50.        119.       113.70     29.71      0.38                 D806000300057 
 50.        119.       111.70     40.53      0.45                 D806000300058 
 50.        119.       109.70     53.01      0.52                 D806000300059 
 50.        119.       107.60     58.15      0.54                 D806000300060 
 50.        119.       105.60     61.84      0.56                 D806000300061 
 50.        119.       103.60     59.35      0.56                 D806000300062 
 50.        120.       135.71      0.09      0.04                 D806000300063 
 50.        120.       133.70      0.21      0.06                 D806000300064 
 50.        120.       131.70      0.52      0.10                 D806000300065 
 50.        120.       129.70      1.05      0.14                 D806000300066 
 50.        120.       127.65      1.13      0.14                 D806000300067 
 50.        120.       125.60      1.29      0.15                 D806000300068 
 50.        120.       123.60      1.71      0.18                 D806000300069 
 50.        120.       117.60      6.65      0.18                 D806000300070 
 50.        120.       115.55      9.41      0.21                 D806000300071 
 50.        120.       113.50     12.78      0.25                 D806000300072 
 50.        120.       111.50     16.45      0.29                 D806000300073 
 50.        120.       109.50     21.92      0.33                 D806000300074 
 50.        120.       107.50     21.37      0.34                 D806000300075 
 50.        120.       105.50     20.20      0.32                 D806000300076 
 50.        120.       103.40     17.43      0.30                 D806000300077 
ENDDATA             63          0                                 D806000300078 
ENDSUBENT           77          0                                 D806000399999 
SUBENT        D8060004   20230309                             D139D806000400001 
BIB                  3          5                                 D806000400002 
REACTION   (50-SN-118(82-PB-206,X)50-SN-118,PAR,DA,,RTH/MSC)      D806000400003 
           Rutherford ratio integrated over the Q-value range fromD806000400004 
            Qg.s. to ~-35 MeV                                     D806000400005 
ERR-ANALYS (ERR-S) Statistical uncertainty                        D806000400006 
STATUS     (TABLE,,J.Diklic+,J,PR/C,107,014619,2023) Fig.7        D806000400007 
ENDBIB               5          0                                 D806000400008 
COMMON               1          3                                 D806000400009 
Q-VAL-MIN                                                         D806000400010 
MEV                                                               D806000400011 
 -35.                                                             D806000400012 
ENDCOMMON            3          0                                 D806000400013 
DATA                 3         15                                 D806000400014 
ANG-CM     DATA       ERR-S                                       D806000400015 
ADEG       NO-DIM     NO-DIM                                      D806000400016 
 136.00      0.0007    0.0003                                     D806000400017 
 134.00      0.0041    0.0007                                     D806000400018 
 132.00      0.0100    0.0010                                     D806000400019 
 130.00      0.0090    0.0010                                     D806000400020 
 128.00      0.0150    0.0010                                     D806000400021 
 126.00      0.0150    0.0010                                     D806000400022 
 124.00      0.0216    0.0015                                     D806000400023 
 118.00      0.0870    0.0010                                     D806000400024 
 116.00      0.1350    0.0020                                     D806000400025 
 114.00      0.2200    0.0020                                     D806000400026 
 112.00      0.3000    0.0025                                     D806000400027 
 110.00      0.3730    0.0030                                     D806000400028 
 108.00      0.4360    0.0030                                     D806000400029 
 106.00      0.5100    0.0030                                     D806000400030 
 104.00      0.5510    0.0030                                     D806000400031 
ENDDATA             17          0                                 D806000400032 
ENDSUBENT           31          0                                 D806000499999 
SUBENT        D8060005   20230309                             D139D806000500001 
BIB                  4          4                                 D806000500002 
REACTION   (50-SN-118(82-PB-206,X)ELEM/MASS,,SIG)                 D806000500003 
ANALYSIS   (INTAD)                                                D806000500004 
ERR-ANALYS (DATA-ERR) Error due to angular distribution fitting   D806000500005 
STATUS     (TABLE,,J.Diklic+,J,PR/C,107,014619,2023) Fig.8        D806000500006 
ENDBIB               4          0                                 D806000500007 
NOCOMMON             0          0                                 D806000500008 
DATA                 4         28                                 D806000500009 
ELEMENT    MASS       DATA       DATA-ERR                         D806000500010 
NO-DIM     NO-DIM     MB         MB                               D806000500011 
 48.        110.         4.2       1.5                            D806000500012 
 48.        111.         5.6       0.5                            D806000500013 
 48.        112.        10.1       0.9                            D806000500014 
 48.        113.        14.0       1.8                            D806000500015 
 48.        114.        16.8       2.4                            D806000500016 
 48.        115.        14.6       1.8                            D806000500017 
 48.        116.        10.3       1.0                            D806000500018 
 48.        117.         5.4       0.4                            D806000500019 
 48.        118.         2.2       0.3                            D806000500020 
 49.        112.         6.4       0.4                            D806000500021 
 49.        113.        11.9       0.8                            D806000500022 
 49.        114.        22.1       2.0                            D806000500023 
 49.        115.        36.9       4.9                            D806000500024 
 49.        116.        43.0       6.8                            D806000500025 
 49.        117.        46.8       8.0                            D806000500026 
 49.        118.        30.9       5.0                            D806000500027 
 49.        119.        11.4       1.2                            D806000500028 
 50.        116.        41.9       4.1                            D806000500029 
 50.        117.       127.0      22.0                            D806000500030 
 50.        119.       188.0      53.0                            D806000500031 
 50.        120.        61.0      11.0                            D806000500032 
 51.        116.        12.5       0.3                            D806000500033 
 51.        117.        33.0       0.9                            D806000500034 
 51.        119.        38.5       3.2                            D806000500035 
 51.        120.        28.0       2.8                            D806000500036 
 51.        121.        21.1       1.8                            D806000500037 
 51.        122.         9.3       0.7                            D806000500038 
 51.        123.         4.4       0.7                            D806000500039 
ENDDATA             30          0                                 D806000500040 
ENDSUBENT           39          0                                 D806000599999 
ENDENTRY             5          0                                 D806099999999 
