ENTRY            D0247   20041208                             0000D024700000001 
SUBENT        D0247001   20041208                             0000D024700100001 
BIB                 10         18                                 D024700100002 
TITLE      Further measurements and zero-range DWBA calculations  D024700100003 
           for the 52Cr(d, p)53Cr Reaction                        D024700100004 
AUTHOR     (J.L.Alty,L.L.Green, G.D.Jones,J.F.Sharpey-Schafer)    D024700100005 
INSTITUTE  (2UK LVP)                                              D024700100006 
REFERENCE  (J,NP,86,65,1966)                                      D024700100007 
           (J,NP,56,422,1964) Technical details                   D024700100008 
FACILITY   (CYCLO)                                                D024700100009 
SAMPLE     The 52Cr tarets were self-supporting and made from     D024700100010 
           material containing 99.97% 52Cr.                       D024700100011 
DETECTOR   (TELES,SIBAR,SIBAR) A counter telescope consisting of  D024700100012 
           a thin and a thick surface barrier detector.           D024700100013 
ERR-ANALYS (DATA-ERR) The errors in the relative differential     D024700100014 
           cross sections which are mainly due to counting        D024700100015 
           statistics vary between 2 % to 5 % depending on the    D024700100016 
           final state.                                           D024700100017 
           (ERR-1) The uncertainty in the thickness of the target.D024700100018 
STATUS     (TABLE) Tables from the article                        D024700100019 
HISTORY    (20041208C) SD                                         D024700100020 
ENDBIB              18          0                                 D024700100021 
COMMON               1          3                                 D024700100022 
ERR-1                                                             D024700100023 
PER-CENT                                                          D024700100024 
  5.                                                              D024700100025 
ENDCOMMON            3          0                                 D024700100026 
ENDSUBENT           25          0                                 D024700199999 
SUBENT        D0247002   20041208                             0000D024700200001 
BIB                  1          1                                 D024700200002 
REACTION   (24-CR-52(D,P)24-CR-53,PAR,DA)                         D024700200003 
ENDBIB               1          0                                 D024700200004 
NOCOMMON             0          0                                 D024700200005 
DATA                 5        439                                 D024700200006 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              D024700200007 
  11.18       0.0       155.53      0.082      0.001              D024700200039 
  11.18       0.0       160.43      0.089      0.001              D024700200040 
  11.18       0.0       165.33      0.078      0.001              D024700200041 
  11.18       0.57       10.22      5.210      0.200              D024700200042 
  11.18       0.57       12.77      5.400      0.160              D024700200043 
  11.18       0.57       15.33      5.220      0.160              D024700200044 
  11.18       0.57       20.44      3.930      0.120              D024700200045 
  11.18       0.57       25.54      1.915      0.060              D024700200046 
  11.18       0.57       30.64      0.745      0.020              D024700200047 
  11.18       0.57       35.73      0.547      0.015              D024700200048 
  11.18       0.57       40.82      0.731      0.020              D024700200049 
  11.18       0.57       45.91      0.799      0.020              D024700200050 
  11.18       0.57       50.98      0.622      0.015              D024700200051 
  11.18       0.57       56.05      0.401      0.010              D024700200052 
  11.18       0.57       61.11      0.277      0.010              D024700200053 
  11.18       0.57       66.16      0.212      0.005              D024700200054 
  11.18       0.57       71.20      0.215      0.005              D024700200055 
  11.18       0.57       76.24      0.177      0.005              D024700200056 
  11.18       0.57       81.26      0.133      0.003              D024700200057 
  11.18       0.57       86.28      0.087      0.002              D024700200058 
  11.18       0.57       91.28      0.070      0.002              D024700200059 
  11.18       0.57       96.28      0.079      0.002              D024700200060 
  11.18       0.57      101.26      0.095      0.002              D024700200061 
  11.18       0.57      106.24      0.103      0.002              D024700200062 
  11.18       0.57      111.20      0.097      0.002              D024700200063 
  11.18       0.57      116.16      0.078      0.002              D024700200064 
  11.18       0.57      121.11      0.051      0.001              D024700200065 
  11.18       0.57      126.05      0.029      0.001              D024700200066 
  11.18       0.57      130.98      0.024      0.001              D024700200067 
  11.18       0.57      135.91      0.028      0.001              D024700200068 
  11.18       0.57      140.82      0.043      0.001              D024700200069 
  11.18       0.57      145.73      0.058      0.001              D024700200070 
  11.18       0.57      150.64      0.077      0.002              D024700200071 
  11.18       0.57      155.54      0.072      0.002              D024700200072 
  11.18       0.57      160.44      0.078      0.002              D024700200073 
  11.18       0.57      165.33      0.073      0.002              D024700200074 
  11.18       1.0        15.34      0.504      0.050              D024700200075 
  11.18       1.0        20.44      0.574      0.040              D024700200076 
  11.18       1.0        25.55      0.802      0.040              D024700200077 
  11.18       1.0        30.65      0.906      0.030              D024700200078 
  11.18       1.0        35.74      0.871      0.025              D024700200079 
  11.18       1.0        40.83      0.716      0.020              D024700200080 
  11.18       1.0        45.92      0.473      0.015              D024700200081 
  11.18       1.0        50.99      0.284      0.010              D024700200082 
  11.18       1.0        56.06      0.174      0.006              D024700200083 
  11.18       1.0        61.12      0.165      0.006              D024700200084 
  11.18       1.0        66.18      0.195      0.006              D024700200085 
  11.18       1.0        71.22      0.208      0.006              D024700200086 
  11.18       1.0        76.25      0.193      0.006              D024700200087 
  11.18       1.0        81.28      0.151      0.005              D024700200088 
  11.18       1.0        86.29      0.117      0.003              D024700200089 
  11.18       1.0        91.30      0.078      0.002              D024700200090 
  11.18       1.0        96.29      0.056      0.002              D024700200091 
  11.18       1.0       101.28      0.045      0.001              D024700200092 
  11.18       1.0       106.25      0.043      0.001              D024700200093 
  11.18       1.0       111.22      0.047      0.001              D024700200094 
  11.18       1.0       116.18      0.051      0.001              D024700200095 
  11.18       1.0       121.12      0.056      0.001              D024700200096 
  11.18       1.0       126.06      0.058      0.001              D024700200097 
  11.18       1.0       130.99      0.061      0.001              D024700200098 
  11.18       1.0       135.92      0.059      0.001              D024700200099 
  11.18       1.0       140.83      0.056      0.001              D024700200100 
  11.18       1.0       145.74      0.053      0.001              D024700200101 
  11.18       1.0       150.65      0.051      0.001              D024700200102 
  11.18       1.0       155.55      0.046      0.001              D024700200103 
  11.18       1.0       160.44      0.042      0.001              D024700200104 
  11.18       1.0       165.34      0.033      0.001              D024700200105 
  11.18       2.32       10.24      8.790      0.270              D024700200106 
  11.18       2.32       12.79      8.740      0.270              D024700200107 
  11.18       2.32       15.35      8.050      0.250              D024700200108 
  11.18       2.32       20.46      6.850      0.200              D024700200109 
  11.18       2.32       25.57      3.790      0.120              D024700200110 
  11.18       2.32       30.68      1.895      0.040              D024700200111 
  11.18       2.32       35.78      1.485      0.030              D024700200112 
  11.18       2.32       40.87      1.679      0.030              D024700200113 
  11.18       2.32       45.96      1.694      0.030              D024700200114 
  11.18       2.32       51.04      1.393      0.030              D024700200115 
  11.18       2.32       56.11      0.930      0.020              D024700200116 
  11.18       2.32       61.17      0.616      0.015              D024700200117 
  11.18       2.32       66.23      0.522      0.010              D024700200118 
  11.18       2.32       71.28      0.420      0.008              D024700200119 
  11.18       2.32       76.31      0.410      0.008              D024700200120 
  11.18       2.32       81.34      0.410      0.008              D024700200121 
  11.18       2.32       86.35      0.338      0.006              D024700200122 
  11.18       2.32       91.36      0.291      0.005              D024700200123 
  11.18       2.32       96.35      0.234      0.004              D024700200124 
  11.18       2.32      101.34      0.186      0.004              D024700200125 
  11.18       2.32      106.31      0.159      0.003              D024700200126 
  11.18       2.32      111.28      0.144      0.003              D024700200127 
  11.18       2.32      116.23      0.114      0.002              D024700200128 
  11.18       2.32      121.18      0.108      0.002              D024700200129 
  11.18       2.32      126.11      0.099      0.002              D024700200130 
  11.18       2.32      131.04      0.110      0.002              D024700200131 
  11.18       2.32      135.96      0.101      0.002              D024700200132 
  11.18       2.32      140.87      0.105      0.002              D024700200133 
  11.18       2.32      145.78      0.109      0.002              D024700200134 
  11.18       2.32      150.68      0.106      0.002              D024700200135 
  11.18       2.32      155.57      0.082      0.002              D024700200136 
  11.18       2.32      160.46      0.083      0.002              D024700200137 
  11.18       2.32      165.35      0.065      0.001              D024700200138 
  11.18       3.61       10.25      9.120      0.450              D024700200139 
  11.18       3.61       12.81      8.960      0.450              D024700200140 
  11.18       3.61       15.37      8.150      0.400              D024700200141 
  11.18       3.61       20.49      6.180      0.300              D024700200142 
  11.18       3.61       25.60      3.630      0.200              D024700200143 
  11.18       3.61       30.71      1.940      0.100              D024700200144 
  11.18       3.61       35.82      1.460      0.070              D024700200145 
  11.18       3.61       40.91      1.560      0.070              D024700200146 
  11.18       3.61       51.09      1.140      0.060              D024700200147 
  11.18       3.61       56.16      0.920      0.050              D024700200148 
  11.18       3.61       61.23      0.714      0.035              D024700200149 
  11.18       3.61       66.29      0.516      0.025              D024700200150 
  11.18       3.61       71.34      0.526      0.025              D024700200151 
  11.18       3.61       76.37      0.442      0.025              D024700200152 
  11.18       3.61       81.40      0.365      0.020              D024700200153 
  11.18       3.61       86.42      0.282      0.015              D024700200154 
  11.18       3.61       91.42      0.220      0.010              D024700200155 
  11.18       3.61       96.42      0.158      0.010              D024700200156 
  11.18       3.61      101.40      0.188      0.010              D024700200157 
  11.18       3.61      106.37      0.176      0.010              D024700200158 
  11.18       3.61      111.34      0.208      0.010              D024700200159 
  11.18       3.61      116.29      0.175      0.010              D024700200160 
  11.18       3.61      121.23      0.180      0.010              D024700200161 
  11.18       3.61      126.16      0.123      0.006              D024700200162 
  11.18       3.61      131.09      0.090      0.005              D024700200163 
  11.18       3.61      136.00      0.109      0.005              D024700200164 
  11.18       3.61      140.91      0.080      0.004              D024700200165 
  11.18       3.61      145.82      0.081      0.004              D024700200166 
  11.18       3.61      150.71      0.089      0.004              D024700200167 
  11.18       3.61      155.60      0.154      0.008              D024700200168 
  11.18       3.61      160.49      0.129      0.007              D024700200169 
  11.18       3.61      165.37      0.123      0.006              D024700200170 
  11.18       3.70       20.49      1.059      0.060              D024700200171 
  11.18       3.70       25.60      1.221      0.070              D024700200172 
  11.18       3.70       30.71      1.469      0.080              D024700200173 
  11.18       3.70       35.82      1.703      0.090              D024700200174 
  11.18       3.70       40.92      1.799      0.090              D024700200175 
  11.18       3.70       51.09      1.307      0.070              D024700200176 
  11.18       3.70       56.17      1.143      0.060              D024700200177 
  11.18       3.70       61.23      0.918      0.050              D024700200178 
  11.18       3.70       71.34      0.604      0.030              D024700200179 
  11.18       3.70       76.38      0.615      0.030              D024700200180 
  11.18       3.70       81.40      0.610      0.030              D024700200181 
  11.18       3.70       86.42      0.597      0.030              D024700200182 
  11.18       3.70       91.34      0.568      0.030              D024700200183 
  11.18       3.70       96.42      0.540      0.030              D024700200184 
  11.18       3.70      101.40      0.431      0.025              D024700200185 
  11.18       3.70      106.38      0.332      0.020              D024700200186 
  11.18       3.70      111.34      0.265      0.015              D024700200187 
  11.18       3.70      116.29      0.239      0.015              D024700200188 
  11.18       3.70      121.23      0.206      0.010              D024700200189 
  11.18       3.70      126.17      0.171      0.010              D024700200190 
  11.18       3.70      131.09      0.167      0.010              D024700200191 
  11.18       3.70      136.01      0.184      0.010              D024700200192 
  11.18       3.70      140.92      0.174      0.010              D024700200193 
  11.18       3.70      145.82      0.170      0.010              D024700200194 
  11.18       3.70      150.71      0.154      0.008              D024700200195 
  11.18       3.70      155.60      0.091      0.005              D024700200196 
  11.18       3.70      160.49      0.085      0.005              D024700200197 
  11.18       3.70      165.37      0.087      0.005              D024700200198 
  11.18       4.12       10.25      2.520      0.150              D024700200199 
  11.18       4.12       15.38      3.120      0.150              D024700200200 
  11.18       4.12       20.50      3.550      0.150              D024700200201 
  11.18       4.12       25.61      3.060      0.150              D024700200202 
  11.18       4.12       30.73      2.560      0.130              D024700200203 
  11.18       4.12       46.03      0.615      0.030              D024700200204 
  11.18       4.12       51.11      0.587      0.030              D024700200205 
  11.18       4.12       56.19      0.649      0.030              D024700200206 
  11.18       4.12       66.32      0.498      0.025              D024700200207 
  11.18       4.12       71.37      0.387      0.020              D024700200208 
  11.18       4.12       76.40      0.298      0.015              D024700200209 
  11.18       4.12       81.43      0.246      0.013              D024700200210 
  11.18       4.12       86.45      0.180      0.010              D024700200211 
  11.18       4.12       91.45      0.158      0.008              D024700200212 
  11.18       4.12       96.45      0.136      0.008              D024700200213 
  11.18       4.12      101.43      0.144      0.008              D024700200214 
  11.18       4.12      106.40      0.135      0.007              D024700200215 
  11.18       4.12      111.37      0.126      0.007              D024700200216 
  11.18       4.12      116.32      0.112      0.006              D024700200217 
  11.18       4.12      121.26      0.103      0.005              D024700200218 
  11.18       4.12      126.19      0.095      0.005              D024700200219 
  11.18       4.12      131.11      0.089      0.005              D024700200220 
  11.18       4.12      136.03      0.083      0.005              D024700200221 
  11.18       4.12      140.93      0.079      0.004              D024700200222 
  11.18       4.12      145.83      0.075      0.004              D024700200223 
  11.18       4.12      150.73      0.074      0.004              D024700200224 
  11.18       4.12      155.61      0.052      0.003              D024700200225 
  11.18       4.12      160.50      0.047      0.003              D024700200226 
  11.18       4.12      165.38      0.040      0.002              D024700200227 
  10.15       0.0        10.22     10.440      0.350              D024700200228 
  10.15       0.0        15.32     12.230      0.350              D024700200229 
  10.15       0.0        20.42     10.150      0.300              D024700200230 
  10.15       0.0        25.52      5.960      0.150              D024700200231 
  10.15       0.0        30.62      2.629      0.050              D024700200232 
  10.15       0.0        35.71      1.740      0.030              D024700200233 
  10.15       0.0        40.80      2.035      0.030              D024700200234 
  10.15       0.0        45.87      2.322      0.030              D024700200235 
  10.15       0.0        50.95      2.079      0.030              D024700200236 
  10.15       0.0        56.01      1.519      0.015              D024700200237 
  10.15       0.0        61.07      0.989      0.015              D024700200238 
  10.15       0.0        66.12      0.753      0.010              D024700200239 
  10.15       0.0        71.16      0.686      0.010              D024700200240 
  10.15       0.0        76.19      0.701      0.010              D024700200241 
  10.15       0.0        81.22      0.619      0.010              D024700200242 
  10.15       0.0        86.23      0.512      0.008              D024700200243 
  10.15       0.0        91.24      0.382      0.006              D024700200244 
  10.15       0.57       10.22      4.500      0.200              D024700200245 
  10.15       0.57       15.33      5.270      0.180              D024700200246 
  10.15       0.57       20.43      3.990      0.120              D024700200247 
  10.15       0.57       25.53      2.010      0.060              D024700200248 
  10.15       0.57       30.63      0.880      0.030              D024700200249 
  10.15       0.57       35.72      0.459      0.015              D024700200250 
  10.15       0.57       40.81      0.704      0.025              D024700200251 
  10.15       0.57       45.89      0.844      0.025              D024700200252 
  10.15       0.57       50.97      0.764      0.025              D024700200253 
  10.15       0.57       56.03      0.569      0.020              D024700200254 
  10.15       0.57       61.09      0.368      0.015              D024700200255 
  10.15       0.57       66.14      0.271      0.010              D024700200256 
  10.15       0.57       71.18      0.221      0.008              D024700200257 
  10.15       0.57       76.22      0.179      0.006              D024700200258 
  10.15       0.57       81.24      0.157      0.005              D024700200259 
  10.15       0.57       86.26      0.127      0.004              D024700200260 
  10.15       0.57       91.26      0.098      0.004              D024700200261 
  10.15       1.0        25.54      0.611      0.030              D024700200262 
  10.15       1.0        30.64      0.759      0.030              D024700200263 
  10.15       1.0        35.73      0.768      0.030              D024700200264 
  10.15       1.0        40.82      0.716      0.030              D024700200265 
  10.15       1.0        45.90      0.544      0.020              D024700200266 
  10.15       1.0        50.98      0.314      0.010              D024700200267 
  10.15       1.0        56.04      0.196      0.008              D024700200268 
  10.15       1.0        61.10      0.154      0.006              D024700200269 
  10.15       1.0        66.16      0.175      0.008              D024700200270 
  10.15       1.0        71.20      0.214      0.008              D024700200271 
  10.15       1.0        76.23      0.211      0.008              D024700200272 
  10.15       1.0        81.26      0.187      0.008              D024700200273 
  10.15       1.0        86.27      0.157      0.006              D024700200274 
  10.15       1.0        91.27      0.116      0.005              D024700200275 
  10.15       2.32       10.23      7.350      0.300              D024700200276 
  10.15       2.32       15.35      8.340      0.250              D024700200277 
  10.15       2.32       20.46      6.710      0.220              D024700200278 
  10.15       2.32       25.57      4.230      0.100              D024700200279 
  10.15       2.32       30.67      2.370      0.060              D024700200280 
  10.15       2.32       35.77      1.810      0.050              D024700200281 
  10.15       2.32       40.86      1.858      0.050              D024700200282 
  10.15       2.32       45.95      1.912      0.050              D024700200283 
  10.15       2.32       51.03      1.736      0.050              D024700200284 
  10.15       2.32       56.10      1.270      0.035              D024700200285 
  10.15       2.32       61.16      0.896      0.025              D024700200286 
  10.15       2.32       66.22      0.595      0.015              D024700200287 
  10.15       2.32       71.26      0.487      0.010              D024700200288 
  10.15       2.32       76.30      0.429      0.010              D024700200289 
  10.15       2.32       81.32      0.445      0.010              D024700200290 
  10.15       2.32       86.34      0.411      0.010              D024700200291 
  10.15       2.32       91.34      0.391      0.010              D024700200292 
  10.15       3.61       10.25      7.140      0.250              D024700200293 
  10.15       3.61       15.37      8.300      0.250              D024700200294 
  10.15       3.61       20.48      6.450      0.200              D024700200295 
  10.15       3.61       25.60      4.140      0.150              D024700200296 
  10.15       3.61       30.71      2.460      0.080              D024700200297 
  10.15       3.61       35.81      1.520      0.080              D024700200298 
  10.15       3.61       40.91      1.650      0.050              D024700200299 
  10.15       3.61       46.00      1.660      0.050              D024700200300 
  10.15       3.61       56.16      1.420      0.040              D024700200301 
  10.15       3.61       61.22      1.115      0.030              D024700200302 
  10.15       3.61       66.28      0.806      0.020              D024700200303 
  10.15       3.61       71.33      0.660      0.020              D024700200304 
  10.15       3.61       76.36      0.551      0.015              D024700200305 
  10.15       3.61       81.39      0.453      0.015              D024700200306 
  10.15       3.61       86.41      0.364      0.010              D024700200307 
  10.15       3.61       91.41      0.328      0.010              D024700200308 
  10.15       3.70       20.48      0.939      0.040              D024700200309 
  10.15       3.70       25.60      0.922      0.035              D024700200310 
  10.15       3.70       30.71      1.114      0.035              D024700200311 
  10.15       3.70       35.81      1.242      0.035              D024700200312 
  10.15       3.70       40.91      1.661      0.035              D024700200313 
  10.15       3.70       46.00      1.618      0.035              D024700200314 
  10.15       3.70       56.16      1.197      0.020              D024700200315 
  10.15       3.70       61.23      0.870      0.020              D024700200316 
  10.15       3.70       66.29      0.686      0.015              D024700200317 
  10.15       3.70       71.33      0.593      0.012              D024700200318 
  10.15       3.70       76.37      0.566      0.012              D024700200319 
  10.15       3.70       81.40      0.610      0.012              D024700200320 
  10.15       3.70       86.41      0.590      0.012              D024700200321 
  10.15       3.70       91.41      0.589      0.012              D024700200322 
  10.15       4.12       10.25      2.760      0.120              D024700200323 
  10.15       4.12       15.37      3.230      0.120              D024700200324 
  10.15       4.12       20.49      3.350      0.100              D024700200325 
  10.15       4.12       25.61      3.060      0.100              D024700200326 
  10.15       4.12       30.72      2.500      0.070              D024700200327 
  10.15       4.12       46.02      0.660      0.020              D024700200328 
  10.15       4.12       51.11      0.575      0.020              D024700200329 
  10.15       4.12       56.18      0.700      0.020              D024700200330 
  10.15       4.12       61.25      0.715      0.020              D024700200331 
  10.15       4.12       71.36      0.551      0.015              D024700200332 
  10.15       4.12       76.39      0.438      0.012              D024700200333 
  10.15       4.12       81.42      0.320      0.009              D024700200334 
  10.15       4.12       86.44      0.241      0.007              D024700200335 
  10.15       4.12       91.44      0.185      0.005              D024700200336 
   9.14       0.0        10.21      8.300      0.250              D024700200337 
   9.14       0.0        15.31     10.540      0.250              D024700200338 
   9.14       0.0        20.41      9.480      0.200              D024700200339 
   9.14       0.0        25.51      6.470      0.100              D024700200340 
   9.14       0.0        30.61      3.218      0.050              D024700200341 
   9.14       0.0        35.70      1.723      0.025              D024700200342 
   9.14       0.0        40.78      1.797      0.025              D024700200343 
   9.14       0.0        45.86      2.256      0.025              D024700200344 
   9.14       0.0        50.93      2.236      0.025              D024700200345 
   9.14       0.0        55.99      1.891      0.025              D024700200346 
   9.14       0.0        61.05      1.320      0.020              D024700200347 
   9.14       0.0        66.10      0.965      0.015              D024700200348 
   9.14       0.0        71.14      0.796      0.015              D024700200349 
   9.14       0.0        76.17      0.713      0.010              D024700200350 
   9.14       0.0        81.19      0.686      0.010              D024700200351 
   9.14       0.0        86.21      0.643      0.010              D024700200352 
   9.14       0.0        91.21      0.619      0.010              D024700200353 
   9.14       0.57       10.22      3.750      0.150              D024700200354 
   9.14       0.57       15.32      4.260      0.150              D024700200355 
   9.14       0.57       20.42      3.800      0.120              D024700200356 
   9.14       0.57       25.52      2.345      0.075              D024700200357 
   9.14       0.57       30.62      1.091      0.030              D024700200358 
   9.14       0.57       35.71      0.530      0.015              D024700200359 
   9.14       0.57       40.80      0.573      0.015              D024700200360 
   9.14       0.57       45.87      0.804      0.020              D024700200361 
   9.14       0.57       50.95      0.870      0.020              D024700200362 
   9.14       0.57       56.01      0.717      0.020              D024700200363 
   9.14       0.57       61.07      0.534      0.015              D024700200364 
   9.14       0.57       66.12      0.362      0.010              D024700200365 
   9.14       0.57       71.16      0.268      0.010              D024700200366 
   9.14       0.57       76.20      0.204      0.005              D024700200367 
   9.14       0.57       81.22      0.201      0.005              D024700200368 
   9.14       0.57       86.23      0.181      0.007              D024700200369 
   9.14       0.57       91.24      0.160      0.007              D024700200370 
   9.14       1.0        15.33      0.270      0.025              D024700200371 
   9.14       1.0        20.43      0.405      0.020              D024700200372 
   9.14       1.0        25.53      0.495      0.025              D024700200373 
   9.14       1.0        30.63      0.680      0.020              D024700200374 
   9.14       1.0        35.72      0.802      0.020              D024700200375 
   9.14       1.0        40.81      0.759      0.020              D024700200376 
   9.14       1.0        45.89      0.665      0.020              D024700200377 
   9.14       1.0        50.96      0.416      0.012              D024700200378 
   9.14       1.0        56.03      0.255      0.010              D024700200379 
   9.14       1.0        61.09      0.171      0.006              D024700200380 
   9.14       1.0        66.14      0.196      0.006              D024700200381 
   9.14       1.0        71.18      0.225      0.007              D024700200382 
   9.14       1.0        76.21      0.239      0.007              D024700200383 
   9.14       1.0        81.24      0.237      0.007              D024700200384 
   9.14       1.0        86.25      0.227      0.007              D024700200385 
   9.14       1.0        91.26      0.201      0.007              D024700200386 
   9.14       2.32       10.23      6.740      0.200              D024700200387 
   9.14       2.32       15.34      7.630      0.200              D024700200388 
   9.14       2.32       20.45      7.240      0.200              D024700200389 
   9.14       2.32       25.56      5.030      0.100              D024700200390 
   9.14       2.32       30.66      3.190      0.050              D024700200391 
   9.14       2.32       35.76      2.080      0.040              D024700200392 
   9.14       2.32       40.85      1.900      0.040              D024700200393 
   9.14       2.32       45.94      2.070      0.040              D024700200394 
   9.14       2.32       51.01      2.080      0.040              D024700200395 
   9.14       2.32       56.08      1.757      0.035              D024700200396 
   9.14       2.32       61.14      1.320      0.025              D024700200397 
   9.14       2.32       66.20      0.918      0.020              D024700200398 
   9.14       2.32       71.24      0.708      0.010              D024700200399 
   9.14       2.32       76.28      0.550      0.010              D024700200400 
   9.14       2.32       81.30      0.569      0.010              D024700200401 
   9.14       2.32       86.32      0.594      0.010              D024700200402 
   9.14       2.32       91.32      0.605      0.010              D024700200403 
   9.14       3.61       10.24      5.950      0.300              D024700200404 
   9.14       3.61       15.36      7.350      0.300              D024700200405 
   9.14       3.61       20.48      6.700      0.300              D024700200406 
   9.14       3.61       25.59      4.800      0.250              D024700200407 
   9.14       3.61       30.70      3.010      0.150              D024700200408 
   9.14       3.61       35.80      2.150      0.100              D024700200409 
   9.14       3.61       40.90      1.780      0.100              D024700200410 
   9.14       3.61       56.15      1.808      0.100              D024700200411 
   9.14       3.61       61.21      1.333      0.070              D024700200412 
   9.14       3.61       66.27      1.167      0.060              D024700200413 
   9.14       3.61       71.31      0.958      0.050              D024700200414 
   9.14       3.61       76.35      0.684      0.035              D024700200415 
   9.14       3.61       81.38      0.612      0.030              D024700200416 
   9.14       3.61       86.39      0.586      0.030              D024700200417 
   9.14       3.61       91.40      0.504      0.025              D024700200418 
   9.14       3.70       15.36      0.714      0.071              D024700200419 
   9.14       3.70       20.48      0.792      0.050              D024700200420 
   9.14       3.70       25.59      0.856      0.050              D024700200421 
   9.14       3.70       30.70      1.057      0.050              D024700200422 
   9.14       3.70       35.80      1.134      0.050              D024700200423 
   9.14       3.70       40.90      1.559      0.080              D024700200424 
   9.14       3.70       45.99      1.639      0.080              D024700200425 
   9.14       3.70       51.08      1.662      0.080              D024700200426 
   9.14       3.70       61.22      1.204      0.060              D024700200427 
   9.14       3.70       66.27      0.880      0.042              D024700200428 
   9.14       3.70       71.32      0.749      0.040              D024700200429 
   9.14       3.70       76.36      0.653      0.035              D024700200430 
   9.14       3.70       81.38      0.721      0.035              D024700200431 
   9.14       3.70       86.40      0.742      0.035              D024700200432 
   9.14       3.70       91.40      0.746      0.035              D024700200433 
   9.14       4.12       10.25      2.047      0.120              D024700200434 
   9.14       4.12       15.37      2.352      0.120              D024700200435 
   9.14       4.12       20.49      3.012      0.120              D024700200436 
   9.14       4.12       25.61      3.175      0.120              D024700200437 
   9.14       4.12       30.72      2.859      0.120              D024700200438 
   9.14       4.12       35.82      2.001      0.080              D024700200439 
   9.14       4.12       51.10      0.763      0.030              D024700200440 
   9.14       4.12       56.17      0.800      0.030              D024700200441 
   9.14       4.12       61.24      0.861      0.030              D024700200442 
