EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR              D027000200015 
MEV        MEV        ADEG       MB/SR      MB/SR                 D027000200016 
 21.700      0.280     62.085     25.803     1.3088               D027000200103 
 21.700      0.280     64.757     19.502     1.0457               D027000200104 
 21.700      0.280     67.109     12.076    0.61046               D027000200105 
 21.700      0.280     69.476     17.811    0.90645               D027000200106 
 21.700      0.280     74.132     21.851     1.2838               D027000200107 
 21.700      0.280     76.139     24.420     1.2387               D027000200108 
 21.700      0.280     78.941     23.738     1.5917               D027000200109 
 21.700      0.280     82.727     19.047    0.80531               D027000200110 
 21.700      0.280     84.521     9.2540    0.54683               D027000200111 
 21.700      0.280     86.051     6.2539    0.31615               D027000200112 
 21.700      0.280     88.844     1.6972    0.75560E-01           D027000200113 
 21.700      0.280     92.178     1.9959    0.68077E-01           D027000200114 
 21.700      0.280     94.801     4.8271    0.20492               D027000200115 
 21.700      0.280     97.479     8.5409    0.64010               D027000200116 
 21.700      0.280     99.633     19.278    0.81836               D027000200117 
 21.700      0.280     102.52     22.289     1.3096               D027000200118 
 21.700      0.280     105.02     27.874     1.4138               D027000200119 
 21.700      0.280     107.64     28.796     1.2274               D027000200120 
 21.700      0.280     109.95     24.798     1.2578               D027000200121 
 21.700      0.280     112.67     13.713    0.69554               D027000200122 
 21.700      0.280     115.26     8.8657    0.52089               D027000200123 
 21.700      0.280     117.06     9.9963    0.82905               D027000200124 
 21.700      0.280     119.35     19.297    0.97880               D027000200125 
 21.700      0.280     121.79     32.985     1.4059               D027000200126 
 21.700      0.280     126.13     76.276     3.8689               D027000200127 
 21.700      0.280     128.35     85.229     4.3231               D027000200128 
 21.700      0.280     130.55     91.191     5.3578               D027000200129 
 21.700      0.280     133.25     72.606     3.0697               D027000200130 
 21.700      0.280     135.21     48.627     1.6670               D027000200131 
 21.700      0.280     138.27     33.686     1.7087               D027000200132 
 21.700      0.280     138.95     15.550     1.1654               D027000200133 
 21.700      0.280     141.17     11.258    0.57104               D027000200134 
 21.700      0.280     143.76     25.623     1.2997               D027000200135 
 21.700      0.280     146.14     58.835     2.5077               D027000200136 
 21.700      0.280     147.45     91.496     3.8841               D027000200137 
 21.700      0.280     148.74     136.25     5.7839               D027000200138 
 21.700      0.280     151.49     181.02     6.1742               D027000200139 
 21.700      0.280     153.22     179.20     10.529               D027000200140 
 21.700      0.280     155.28     147.80     12.258               D027000200141 
 21.700      0.280     157.07     107.04     8.0400               D027000200142 
 21.700      0.280     159.01     69.244     2.9514               D027000200143 
 21.700      0.280     161.44     14.239    0.60445               D027000200144 
 21.700      0.280     163.14     8.7452    0.29828               D027000200145 
 21.700      0.280     164.27     33.545     1.4183               D027000200146 
 21.700      0.280     165.78     115.91     3.9533               D027000200147 
 21.700      0.280     166.99     348.65     20.543               D027000200148 
 21.700      0.280     168.78     586.02     34.530               D027000200149 
 21.700      0.280     170.95     584.97     24.833               D027000200150 
 23.400      0.270     13.046     4593.5     195.02               D027000200151 
 23.400      0.270     15.592     2519.1     127.79               D027000200152 
