ENTRY            D0182   20040929                             0000D018200000001 
SUBENT        D0182001   20040929                             0000D018200100001 
BIB                 10         20                                 D018200100002 
TITLE      Interplay of mean field and nucleon-nucleon            D018200100003 
           interactions in the production of Carbon fragments     D018200100004 
           in 16O induced reactions at incident energies          D018200100005 
           up to 25 MeV/amu                                       D018200100006 
AUTHOR     (E.Gadioli,G.F.Steyn,C.Birattari,C.Catarisano,         D018200100007 
           M.Cavinato,S.H.Connell,A.A.Cowley,E.Fabrici,           D018200100008 
           S.V.Fortsch,E.Gadioli Erba,J.J.Lawrie,                 D018200100009 
           J.P.F.Sellschop,E.Sideras Haddad)                      D018200100010 
INSTITUTE  (3SAFITH,2ITYMIL,3SAFWIT,3SAFSTL)                      D018200100011 
REFERENCE  (J,NP/A,708,391,2002)                                  D018200100012 
FACILITY   (CYCLO,3SAFITH)                                        D018200100013 
METHOD     (EDE)                                                  D018200100014 
DETECTOR   (TELES,SIBAR,SIBAR) Two identical detector telescopes  D018200100015 
           mounted in a 1.5 m diameter scattering chamber. Each   D018200100016 
           telescope consisted of a 25 mu-m thick Si surface      D018200100017 
           barrier dE detector, followed by a 2 mm thick Si       D018200100018 
           surface barrier stopping (E) detector.                 D018200100019 
ERR-ANALYS (ERR-SYS) systematic error of the cross sections       D018200100020 
STATUS     (TABLE)Tables received from Dr. E.Gadioli              D018200100021 
HISTORY    (20040929C) SD                                         D018200100022 
ENDBIB              20          0                                 D018200100023 
COMMON               1          3                                 D018200100024 
ERR-SYS                                                           D018200100025 
PER-CENT                                                          D018200100026 
  10.                                                             D018200100027 
ENDCOMMON            3          0                                 D018200100028 
ENDSUBENT           27          0                                 D018200199999 
SUBENT        D0182002   20040929                             0000D018200200001 
BIB                  2          3                                 D018200200002 
REACTION   (27-CO-59(8-O-16,X)6-C-12,,SIG)                        D018200200003 
           The cross section production of 12C in 16O break-up    D018200200004 
SAMPLE     59Co target with thicknesses of 1.0 mg/cm2.            D018200200005 
ENDBIB               3          0                                 D018200200006 
NOCOMMON             0          0                                 D018200200007 
DATA                 2          3                                 D018200200008 
EN         DATA                                                   D018200200009 
MEV        MB                                                     D018200200010 
   100.      147.                                                 D018200200011 
   250.      181.                                                 D018200200012 
   400.      288.                                                 D018200200013 
ENDDATA              5          0                                 D018200200014 
ENDSUBENT           13          0                                 D018200299999 
SUBENT        D0182003   20040929                             0000D018200300001 
BIB                  2          3                                 D018200300002 
REACTION   (41-NB-93(8-O-16,X)6-C-12,,SIG)                        D018200300003 
           The cross section production of 12C in 16O break-up    D018200300004 
SAMPLE     93Nb target with thicknesses of 2.7 mg/cm2.            D018200300005 
ENDBIB               3          0                                 D018200300006 
NOCOMMON             0          0                                 D018200300007 
DATA                 2          2                                 D018200300008 
EN         DATA                                                   D018200300009 
MEV        MB                                                     D018200300010 
   250.     150.                                                  D018200300011 
   400.     339.                                                  D018200300012 
ENDDATA              4          0                                 D018200300013 
ENDSUBENT           12          0                                 D018200399999 
SUBENT        D0182004   20040929                             0000D018200400001 
BIB                  3          3                                 D018200400002 
REACTION   (27-CO-59(8-O-16,X)5-B-11,,DA/DE)                      D018200400003 
SAMPLE     59Co target with thicknesses of 1.0 mg/cm2.            D018200400004 
ERR-ANALYS (ERR-T) Total error                                    D018200400005 
ENDBIB               3          0                                 D018200400006 
NOCOMMON             0          0                                 D018200400007 
DATA                 5       3626                                 D018200400008 
EN         ANG-CM     E-EXC      DATA-CM    ERR-T                 D018200400009 
MEV        ADEG       MEV        MUB/SR/MEV MUB/SR/MEV            D018200400010 
  100.0        8.0        29.00  .697221E+02.402541E+02           D018200400065 
  100.0        8.0        31.00  .139444E+03.569278E+02           D018200400066 
  100.0        8.0        33.00  .929628E+02.464814E+02           D018200400067 
  100.0        8.0        35.00  .697221E+02.402541E+02           D018200400068 
  100.0        8.0        37.00  .139444E+03.569278E+02           D018200400069 
  100.0        8.0        39.00  .395092E+03.958238E+02           D018200400070 
  100.0        8.0        41.00  .395092E+03.958238E+02           D018200400071 
  100.0        8.0        43.00  .441573E+03.101304E+03           D018200400072 
  100.0        8.0        45.00  .464814E+03.103936E+03           D018200400073 
  100.0        8.0        47.00  .836665E+03.139444E+03           D018200400074 
  100.0        8.0        49.00  .929628E+03.146987E+03           D018200400075 
  100.0        8.0        51.00  .109231E+04.159330E+03           D018200400076 
  100.0        8.0        53.00  .113879E+04.162685E+03           D018200400077 
  100.0        8.0        55.00  .102259E+04.154161E+03           D018200400078 
  100.0        8.0        57.00  .153389E+04.188808E+03           D018200400079 
  100.0        8.0        59.00  .137120E+04.178515E+03           D018200400080 
  100.0        8.0        61.00  .118528E+04.165972E+03           D018200400081 
  100.0        8.0        63.00  .123176E+04.169195E+03           D018200400082 
  100.0        8.0        65.00  .111555E+04.161016E+03           D018200400083 
  100.0        8.0        67.00  .952869E+03.148813E+03           D018200400084 
  100.0        8.0        69.00  .836665E+03.139444E+03           D018200400085 
  100.0        8.0        71.00  .557777E+03.113856E+03           D018200400086 
  100.0        8.0        73.00  .488055E+03.106502E+03           D018200400087 
  100.0        8.0        75.00  .232407E+03.734935E+02           D018200400088 
  100.0        8.0        77.00  .929628E+02.464814E+02           D018200400089 
  100.0        8.0        81.00  .232407E+02.232407E+02           D018200400090 
  100.0       10.0        21.00  .180456E+02.127602E+02           D018200400091 
  100.0       10.0        25.00  .902282E+01.902282E+01           D018200400092 
  100.0       10.0        27.00  .180456E+02.127602E+02           D018200400093 
  100.0       10.0        29.00  .360913E+02.180456E+02           D018200400094 
  100.0       10.0        31.00  .812054E+02.270685E+02           D018200400095 
  100.0       10.0        33.00  .992510E+02.299253E+02           D018200400096 
  100.0       10.0        35.00  .117297E+03.325322E+02           D018200400097 
  100.0       10.0        37.00  .252639E+03.477443E+02           D018200400098 
  100.0       10.0        39.00  .324821E+03.541369E+02           D018200400099 
  100.0       10.0        41.00  .415050E+03.611957E+02           D018200400100 
  100.0       10.0        43.00  .496255E+03.669150E+02           D018200400101 
  100.0       10.0        45.00  .514301E+03.681208E+02           D018200400102 
  100.0       10.0        47.00  .703780E+03.796874E+02           D018200400103 
  100.0       10.0        49.00  .748894E+03.822018E+02           D018200400104 
  100.0       10.0        51.00  .947396E+03.924564E+02           D018200400105 
  100.0       10.0        53.00  .992510E+03.946321E+02           D018200400106 
  100.0       10.0        55.00  .105567E+04.975967E+02           D018200400107 
  100.0       10.0        57.00  .103762E+04.967589E+02           D018200400108 
  100.0       10.0        59.00  .983487E+03.942010E+02           D018200400109 
  100.0       10.0        61.00  .106469E+04.980129E+02           D018200400110 
  100.0       10.0        63.00  .929350E+03.915716E+02           D018200400111 
  100.0       10.0        65.00  .821076E+03.860722E+02           D018200400112 
  100.0       10.0        67.00  .559415E+03.710457E+02           D018200400113 
  100.0       10.0        69.00  .487232E+03.663039E+02           D018200400114 
  100.0       10.0        71.00  .315799E+03.533797E+02           D018200400115 
  100.0       10.0        73.00  .162411E+03.382806E+02           D018200400116 
  100.0       10.0        75.00  .171434E+03.393295E+02           D018200400117 
  100.0       10.0        77.00  .721825E+02.255204E+02           D018200400118 
  100.0       10.0        79.00  .541369E+02.221013E+02           D018200400119 
  100.0       10.0        81.00  .360913E+02.180456E+02           D018200400120 
  100.0       10.0        83.00  .902282E+01.902282E+01           D018200400121 
  100.0       12.0        21.00  .100003E+02.100003E+02           D018200400122 
  100.0       12.0        25.00  .100003E+02.100003E+02           D018200400123 
  100.0       12.0        27.00  .500017E+02.223614E+02           D018200400124 
  100.0       12.0        29.00  .200007E+02.141426E+02           D018200400125 
  100.0       12.0        31.00  .700023E+02.264584E+02           D018200400126 
  100.0       12.0        33.00  .130004E+03.360567E+02           D018200400127 
  100.0       12.0        35.00  .100003E+03.316238E+02           D018200400128 
  100.0       12.0        37.00  .110004E+03.331673E+02           D018200400129 
  100.0       12.0        39.00  .330011E+03.574475E+02           D018200400130 
  100.0       12.0        41.00  .360012E+03.600020E+02           D018200400131 
  100.0       12.0        43.00  .310010E+03.556795E+02           D018200400132 
  100.0       12.0        45.00  .490016E+03.700023E+02           D018200400133 
  100.0       12.0        47.00  .440015E+03.663347E+02           D018200400134 
  100.0       12.0        49.00  .560019E+03.748356E+02           D018200400135 
  100.0       12.0        51.00  .750025E+03.866054E+02           D018200400136 
  100.0       12.0        53.00  .710023E+03.842643E+02           D018200400137 
  100.0       12.0        55.00  .720024E+03.848556E+02           D018200400138 
  100.0       12.0        57.00  .950031E+03.974712E+02           D018200400139 
  100.0       12.0        59.00  .790026E+03.888849E+02           D018200400140 
  100.0       12.0        61.00  .640021E+03.800026E+02           D018200400141 
  100.0       12.0        63.00  .750025E+03.866054E+02           D018200400142 
  100.0       12.0        65.00  .430014E+03.655766E+02           D018200400143 
  100.0       12.0        67.00  .490016E+03.700023E+02           D018200400144 
  100.0       12.0        69.00  .320011E+03.565704E+02           D018200400145 
  100.0       12.0        71.00  .240008E+03.489914E+02           D018200400146 
  100.0       12.0        73.00  .240008E+03.489914E+02           D018200400147 
  100.0       12.0        75.00  .800026E+02.282852E+02           D018200400148 
  100.0       12.0        77.00  .600020E+02.244957E+02           D018200400149 
  100.0       12.0        81.00  .300010E+02.173211E+02           D018200400150 
  100.0       12.0        83.00  .100003E+02.100003E+02           D018200400151 
  100.0       14.0        25.00  .100524E+02.100524E+02           D018200400152 
  100.0       14.0        27.00  .301571E+02.174112E+02           D018200400153 
  100.0       14.0        29.00  .703666E+02.265961E+02           D018200400154 
  100.0       14.0        31.00  .703666E+02.265961E+02           D018200400155 
  100.0       14.0        33.00  .904714E+02.301571E+02           D018200400156 
  100.0       14.0        35.00  .120628E+03.348224E+02           D018200400157 
  100.0       14.0        37.00  .170890E+03.414470E+02           D018200400158 
  100.0       14.0        39.00  .231205E+03.482095E+02           D018200400159 
  100.0       14.0        41.00  .211100E+03.460658E+02           D018200400160 
  100.0       14.0        43.00  .251309E+03.502619E+02           D018200400161 
  100.0       14.0        45.00  .482514E+03.696449E+02           D018200400162 
  100.0       14.0        47.00  .482514E+03.696449E+02           D018200400163 
  100.0       14.0        49.00  .552881E+03.745504E+02           D018200400164 
  100.0       14.0        51.00  .472462E+03.689156E+02           D018200400165 
  100.0       14.0        53.00  .462409E+03.681785E+02           D018200400166 
  100.0       14.0        55.00  .593090E+03.772138E+02           D018200400167 
  100.0       14.0        57.00  .733823E+03.858875E+02           D018200400168 
  100.0       14.0        59.00  .552881E+03.745504E+02           D018200400169 
  100.0       14.0        61.00  .492566E+03.703666E+02           D018200400170 
  100.0       14.0        63.00  .593090E+03.772138E+02           D018200400171 
  100.0       14.0        65.00  .311624E+03.559693E+02           D018200400172 
  100.0       14.0        67.00  .351833E+03.594707E+02           D018200400173 
  100.0       14.0        69.00  .281466E+03.531922E+02           D018200400174 
  100.0       14.0        71.00  .150786E+03.389327E+02           D018200400175 
  100.0       14.0        73.00  .140733E+03.376125E+02           D018200400176 
  100.0       14.0        75.00  .603142E+02.246232E+02           D018200400177 
  100.0       14.0        77.00  .301571E+02.174112E+02           D018200400178 
  100.0       14.0        79.00  .201047E+02.142162E+02           D018200400179 
  100.0       14.0        81.00  .301571E+02.174112E+02           D018200400180 
  100.0       14.0        83.00  .100524E+02.100524E+02           D018200400181 
  100.0       16.0        21.00  .876346E+01.619670E+01           D018200400182 
  100.0       16.0        23.00  .876346E+01.619670E+01           D018200400183 
  100.0       16.0        25.00  .438173E+01.438173E+01           D018200400184 
  100.0       16.0        27.00  .175269E+02.876346E+01           D018200400185 
  100.0       16.0        29.00  .481990E+02.145326E+02           D018200400186 
  100.0       16.0        31.00  .306721E+02.115930E+02           D018200400187 
  100.0       16.0        33.00  .109543E+03.219087E+02           D018200400188 
  100.0       16.0        35.00  .131452E+03.239997E+02           D018200400189 
  100.0       16.0        37.00  .166506E+03.270108E+02           D018200400190 
  100.0       16.0        39.00  .197178E+03.293936E+02           D018200400191 
  100.0       16.0        41.00  .240995E+03.324958E+02           D018200400192 
  100.0       16.0        43.00  .306721E+03.366602E+02           D018200400193 
  100.0       16.0        45.00  .236614E+03.321990E+02           D018200400194 
  100.0       16.0        47.00  .438173E+03.438173E+02           D018200400195 
  100.0       16.0        49.00  .398738E+03.417991E+02           D018200400196 
  100.0       16.0        51.00  .403119E+03.420281E+02           D018200400197 
  100.0       16.0        53.00  .490754E+03.463719E+02           D018200400198 
  100.0       16.0        55.00  .525808E+03.479995E+02           D018200400199 
  100.0       16.0        57.00  .460082E+03.448994E+02           D018200400200 
  100.0       16.0        59.00  .438173E+03.438173E+02           D018200400201 
  100.0       16.0        61.00  .311103E+03.369211E+02           D018200400202 
  100.0       16.0        63.00  .376829E+03.406345E+02           D018200400203 
  100.0       16.0        65.00  .346157E+03.389457E+02           D018200400204 
  100.0       16.0        67.00  .170888E+03.273639E+02           D018200400205 
  100.0       16.0        69.00  .131452E+03.239997E+02           D018200400206 
  100.0       16.0        71.00  .109543E+03.219087E+02           D018200400207 
  100.0       16.0        73.00  .438173E+02.138563E+02           D018200400208 
  100.0       16.0        75.00  .350539E+02.123934E+02           D018200400209 
  100.0       16.0        77.00  .876346E+01.619670E+01           D018200400210 
  100.0       16.0        79.00  .131452E+02.758938E+01           D018200400211 
  100.0       16.0        81.00  .876346E+01.619670E+01           D018200400212 
  100.0       16.0        83.00  .438173E+01.438173E+01           D018200400213 
  100.0       16.0        87.00  .438173E+01.438173E+01           D018200400214 
  100.0       18.0        21.00  .135469E+02.677346E+01           D018200400215 
  100.0       18.0        23.00  .338673E+01.338673E+01           D018200400216 
  100.0       18.0        25.00  .338673E+01.338673E+01           D018200400217 
  100.0       18.0        27.00  .169336E+02.757295E+01           D018200400218 
  100.0       18.0        29.00  .406407E+02.117320E+02           D018200400219 
  100.0       18.0        31.00  .440275E+02.122110E+02           D018200400220 
  100.0       18.0        33.00  .948284E+02.179209E+02           D018200400221 
  100.0       18.0        35.00  .880549E+02.172690E+02           D018200400222 
  100.0       18.0        37.00  .982151E+02.182381E+02           D018200400223 
  100.0       18.0        39.00  .186270E+03.251166E+02           D018200400224 
  100.0       18.0        41.00  .209977E+03.266671E+02           D018200400225 
  100.0       18.0        43.00  .213364E+03.268813E+02           D018200400226 
  100.0       18.0        45.00  .287872E+03.312241E+02           D018200400227 
  100.0       18.0        47.00  .311579E+03.324844E+02           D018200400228 
  100.0       18.0        49.00  .362380E+03.350326E+02           D018200400229 
  100.0       18.0        51.00  .335286E+03.336975E+02           D018200400230 
  100.0       18.0        53.00  .362380E+03.350326E+02           D018200400231 
  100.0       18.0        55.00  .392860E+03.364762E+02           D018200400232 
  100.0       18.0        57.00  .396247E+03.366331E+02           D018200400233 
  100.0       18.0        59.00  .314966E+03.326604E+02           D018200400234 
  100.0       18.0        61.00  .274325E+03.304806E+02           D018200400235 
  100.0       18.0        63.00  .220137E+03.273047E+02           D018200400236 
  100.0       18.0        65.00  .155789E+03.229699E+02           D018200400237 
  100.0       18.0        67.00  .159176E+03.232182E+02           D018200400238 
  100.0       18.0        69.00  .111762E+03.194553E+02           D018200400239 
  100.0       18.0        71.00  .677346E+02.151459E+02           D018200400240 
  100.0       18.0        73.00  .508009E+02.131167E+02           D018200400241 
  100.0       18.0        75.00  .270938E+02.957911E+01           D018200400242 
  100.0       18.0        77.00  .169336E+02.757295E+01           D018200400243 
  100.0       18.0        79.00  .135469E+02.677346E+01           D018200400244 
  100.0       18.0        81.00  .338673E+01.338673E+01           D018200400245 
  100.0       20.0        21.00  .721802E+01.322800E+01           D018200400246 
  100.0       20.0        23.00  .288721E+01.204156E+01           D018200400247 
  100.0       20.0        25.00  .115488E+02.408313E+01           D018200400248 
  100.0       20.0        27.00  .144360E+02.456507E+01           D018200400249 
  100.0       20.0        29.00  .274285E+02.629252E+01           D018200400250 
  100.0       20.0        31.00  .505261E+02.854047E+01           D018200400251 
  100.0       20.0        33.00  .461953E+02.816625E+01           D018200400252 
  100.0       20.0        35.00  .952778E+02.117279E+02           D018200400253 
  100.0       20.0        37.00  .111157E+03.126676E+02           D018200400254 
  100.0       20.0        39.00  .128481E+03.136189E+02           D018200400255 
  100.0       20.0        41.00  .177563E+03.160103E+02           D018200400256 
  100.0       20.0        43.00  .203548E+03.171418E+02           D018200400257 
  100.0       20.0        45.00  .223759E+03.179727E+02           D018200400258 
  100.0       20.0        47.00  .258405E+03.193141E+02           D018200400259 
  100.0       20.0        49.00  .319036E+03.214607E+02           D018200400260 
  100.0       20.0        51.00  .337803E+03.220829E+02           D018200400261 
  100.0       20.0        53.00  .278615E+03.200552E+02           D018200400262 
  100.0       20.0        55.00  .293051E+03.205682E+02           D018200400263 
  100.0       20.0        57.00  .275728E+03.199510E+02           D018200400264 
  100.0       20.0        59.00  .254074E+03.191516E+02           D018200400265 
  100.0       20.0        61.00  .285833E+03.203133E+02           D018200400266 
  100.0       20.0        63.00  .181894E+03.162044E+02           D018200400267 
  100.0       20.0        65.00  .127037E+03.135422E+02           D018200400268 
  100.0       20.0        67.00  .116932E+03.129924E+02           D018200400269 
  100.0       20.0        69.00  .736238E+02.103094E+02           D018200400270 
  100.0       20.0        71.00  .519697E+02.866162E+01           D018200400271 
  100.0       20.0        73.00  .317593E+02.677110E+01           D018200400272 
  100.0       20.0        75.00  .187668E+02.520499E+01           D018200400273 
  100.0       20.0        77.00  .866162E+01.353609E+01           D018200400274 
  100.0       20.0        79.00  .288721E+01.204156E+01           D018200400275 
  100.0       20.0        81.00  .144360E+01.144360E+01           D018200400276 
  100.0       22.0        21.00  .123528E+02.356593E+01           D018200400277 
  100.0       22.0        23.00  .720577E+01.272353E+01           D018200400278 
  100.0       22.0        25.00  .617638E+01.252150E+01           D018200400279 
  100.0       22.0        27.00  .185291E+02.436736E+01           D018200400280 
  100.0       22.0        29.00  .370583E+02.617638E+01           D018200400281 
  100.0       22.0        31.00  .504404E+02.720577E+01           D018200400282 
  100.0       22.0        33.00  .586756E+02.777177E+01           D018200400283 
  100.0       22.0        35.00  .844105E+02.932158E+01           D018200400284 
  100.0       22.0        37.00  .111175E+03.106978E+02           D018200400285 
  100.0       22.0        39.00  .133822E+03.117369E+02           D018200400286 
  100.0       22.0        41.00  .198674E+03.143008E+02           D018200400287 
  100.0       22.0        43.00  .194556E+03.141519E+02           D018200400288 
  100.0       22.0        45.00  .234702E+03.155435E+02           D018200400289 
  100.0       22.0        47.00  .254261E+03.161782E+02           D018200400290 
  100.0       22.0        49.00  .255290E+03.162110E+02           D018200400291 
  100.0       22.0        51.00  .270731E+03.166940E+02           D018200400292 
  100.0       22.0        53.00  .242938E+03.158139E+02           D018200400293 
  100.0       22.0        55.00  .251173E+03.160797E+02           D018200400294 
  100.0       22.0        57.00  .226467E+03.152684E+02           D018200400295 
  100.0       22.0        59.00  .198674E+03.143008E+02           D018200400296 
  100.0       22.0        61.00  .169850E+03.132228E+02           D018200400297 
  100.0       22.0        63.00  .146174E+03.122667E+02           D018200400298 
  100.0       22.0        65.00  .998514E+02.101384E+02           D018200400299 
  100.0       22.0        67.00  .813223E+02.914948E+01           D018200400300 
  100.0       22.0        69.00  .360289E+02.608999E+01           D018200400301 
  100.0       22.0        71.00  .308819E+02.563824E+01           D018200400302 
  100.0       22.0        73.00  .236761E+02.493681E+01           D018200400303 
  100.0       22.0        75.00  .720577E+01.272353E+01           D018200400304 
  100.0       22.0        77.00  .411759E+01.205879E+01           D018200400305 
  100.0       22.0        79.00  .102940E+01.102940E+01           D018200400306 
  100.0       24.0        21.00  .473071E+01.167256E+01           D018200400307 
  100.0       24.0        23.00  .295670E+01.132227E+01           D018200400308 
  100.0       24.0        25.00  .112354E+02.257759E+01           D018200400309 
  100.0       24.0        27.00  .183315E+02.329244E+01           D018200400310 
  100.0       24.0        29.00  .331150E+02.442518E+01           D018200400311 
  100.0       24.0        31.00  .520379E+02.554725E+01           D018200400312 
  100.0       24.0        33.00  .697780E+02.642359E+01           D018200400313 
  100.0       24.0        35.00  .869269E+02.716961E+01           D018200400314 
  100.0       24.0        37.00  .940230E+02.745651E+01           D018200400315 
  100.0       24.0        39.00  .132460E+03.885036E+01           D018200400316 
  100.0       24.0        41.00  .138373E+03.904575E+01           D018200400317 
  100.0       24.0        43.00  .157296E+03.964445E+01           D018200400318 
  100.0       24.0        45.00  .176219E+03.102081E+02           D018200400319 
  100.0       24.0        47.00  .211699E+03.111887E+02           D018200400320 
  100.0       24.0        49.00  .205786E+03.110313E+02           D018200400321 
  100.0       24.0        51.00  .191594E+03.106441E+02           D018200400322 
  100.0       24.0        53.00  .208743E+03.111103E+02           D018200400323 
  100.0       24.0        55.00  .201055E+03.109038E+02           D018200400324 
  100.0       24.0        57.00  .167940E+03.996543E+01           D018200400325 
