ENTRY            D0429   20110913                             D079D042900000001 
SUBENT        D0429001   20110913                             D079D042900100001 
BIB                 10         26                                 D042900100002 
TITLE      Precise measurement of the differential cross section  D042900100003 
           from the 16O(alpha,alpha)160 elastic reaction at 165   D042900100004 
           and 170 degr. between 2.4 and  6.0 MeV                 D042900100005 
AUTHOR     (J.Demarche,G.Terwagne)                                D042900100006 
INSTITUTE  (2BLGNAM)                                              D042900100007 
REFERENCE  (J,JAP,100,124909,2006)                                D042900100008 
FACILITY   (DYNAM,2BLGNAM) Accelerator Lineaire Tandetron pour    D042900100009 
           l'Analyse l'Implantation des Solides (ALTAlS),         D042900100010 
           the 2 MV Tandetron accelerator installed al            D042900100011 
           LARN (Namur,Belgium)                                   D042900100012 
SAMPLE     The measurements were realized with the thin Ta2O5     D042900100013 
           standard in regions  were the cross section varied     D042900100014 
           rapidly. The thicker Ta2O5 standard was  used to       D042900100015 
           explore the regions where the cross section varied     D042900100016 
           slowly.                                                D042900100017 
DETECTOR   (SI) Backscattered alpha particles were detected in    D042900100018 
           two passivated  implanted planar silicon (PIPS)        D042900100019 
           detectors with an active area of 25 mm2  and a         D042900100020 
ERR-ANALYS (ANG-ERR) Scale error                                  D042900100021 
           (DATA-ERR) Uncertainty in cross section                D042900100022 
           (EN-ERR) Scale error                                   D042900100023 
STATUS     (TABLE) Data were taken from DB IBANDL                 D042900100024 
            (http://www-nds.iaea.org/ibandl/). (Originally from   D042900100025 
           the author).                                           D042900100026 
           (APRVD) Entry approved by Dr. J.Demarche               D042900100027 
HISTORY    (20070109C)                                            D042900100028 
ENDBIB              26          0                                 D042900100029 
COMMON               1          3                                 D042900100030 
ANG-ERR                                                           D042900100031 
ADEG                                                              D042900100032 
  0.5                                                             D042900100033 
ENDCOMMON            3          0                                 D042900100034 
ENDSUBENT           33          0                                 D042900199999 
SUBENT        D0429002   20110913                             D079D042900200001 
BIB                  2          2                                 D042900200002 
REACTION   (8-O-16(A,EL)8-O-16,,DA)                               D042900200003 
HISTORY    (20110909A) VS. EN: MEV -> KEV.                        D042900200004 
ENDBIB               2          0                                 D042900200005 
NOCOMMON             0          0                                 D042900200006 
DATA                 5        590                                 D042900200007 
ANG        EN         EN-ERR     DATA       DATA-ERR              D042900200008 
  165.0     3038.800      0.500     169.310     9.160             D042900200066 
  165.0     3038.800      0.500     175.520     9.490             D042900200067 
  165.0     3039.800      0.500     117.590     7.530             D042900200068 
  165.0     3041.000      0.500      92.690     6.200             D042900200069 
  165.0     3042.800      0.500      70.090     3.260             D042900200070 
  165.0     3043.500      0.500      57.670     2.610             D042900200071 
  165.0     3046.500      0.500      47.150     2.280             D042900200072 
  165.0     3047.400      0.500      38.350     1.950             D042900200073 
  165.0     3048.100      0.500      23.390     1.620             D042900200074 
  165.0     3049.900      0.500      17.200     1.300             D042900200075 
  165.0     3051.800      0.500      16.530     1.300             D042900200076 
  165.0     3053.600      0.500      12.950     0.970             D042900200077 
  165.0     3055.400      0.500      10.020     0.970             D042900200078 
  165.0     3060.300      0.500      11.600     0.970             D042900200079 
  165.0     3061.900      0.500       6.760     0.640             D042900200080 
  165.0     3065.100      0.500       8.670     0.960             D042900200081 
  165.0     3066.700      0.500       7.700     0.960             D042900200082 
  165.0     3071.600      0.500      10.240     0.960             D042900200083 
  165.0     3076.400      0.500      29.340     1.590             D042900200084 
  165.0     3081.200      0.500      35.290     1.910             D042900200085 
  165.0     3086.000      0.500      19.970     1.270             D042900200086 
  165.0     3094.500      0.500      23.010     1.450             D042900200087 
  165.0     3143.800      0.500      24.740     0.610             D042900200088 
  165.0     3193.430      0.500      28.120     0.590             D042900200089 
  165.0     3193.700      0.500      27.220     0.560             D042900200090 
  165.0     3243.040      0.500      30.130     0.580             D042900200091 
  165.0     3243.300      0.500      29.270     0.550             D042900200092 
  165.0     3292.680      0.500      32.010     0.560             D042900200093 
  165.0     3293.000      0.500      33.400     0.600             D042900200094 
  165.0     3304.300      0.500      39.810     1.940             D042900200095 
  165.0     3314.100      0.500      44.520     1.920             D042900200096 
  165.0     3323.900      0.500      45.900     2.190             D042900200097 
  165.0     3333.700      0.500      58.120     2.440             D042900200098 
  165.0     3344.300      0.500      72.590     4.320             D042900200099 
  165.0     3345.200      0.500      59.610     4.050             D042900200100 
  165.0     3346.100      0.500      53.910     3.390             D042900200101 
  165.0     3347.000      0.500      56.580     3.520             D042900200102 
  165.0     3349.000      0.500      82.080     4.900             D042900200103 
  165.0     3350.900      0.500      79.570     4.350             D042900200104 
  165.0     3352.800      0.500      88.070     5.410             D042900200105 
  165.0     3354.800      0.500      97.080     5.350             D042900200106 
  165.0     3356.700      0.500     122.690     7.150             D042900200107 
  165.0     3358.600      0.500     146.360     8.820             D042900200108 
  165.0     3360.600      0.500     178.790     10.680            D042900200109 
  165.0     3362.500      0.500     185.260     11.910            D042900200110 
  165.0     3364.400      0.500     159.720     9.930             D042900200111 
  165.0     3364.500      0.500     156.510     4.530             D042900200112 
  165.0     3365.400      0.500     128.450     4.000             D042900200113 
  165.0     3366.200      0.500     108.410     3.460             D042900200114 
  165.0     3366.400      0.500     124.380     4.160             D042900200115 
  165.0     3368.100      0.500      74.760     2.660             D042900200116 
  165.0     3368.900      0.500      61.170     2.390             D042900200117 
  165.0     3369.200      0.500      91.730     3.580             D042900200118 
  165.0     3369.700      0.500      54.490     2.130             D042900200119 
  165.0     3370.700      0.500      43.040     1.860             D042900200120 
  165.0     3371.400      0.500      39.300     1.860             D042900200121 
  165.0     3372.000      0.500      41.680     1.720             D042900200122 
  165.0     3373.900      0.500      31.020     1.550             D042900200123 
  165.0     3375.500      0.500      24.640     0.990             D042900200124 
  165.0     3377.200      0.500      25.400     1.070             D042900200125 
  165.0     3382.200      0.500      23.220     1.320             D042900200126 
  165.0     3392.100      0.500      23.870     1.310             D042900200127 
  165.0     3440.800      0.500      21.920     1.530             D042900200128 
  165.0     3441.640      0.500      21.400     0.510             D042900200129 
  165.0     3491.280      0.500      24.020     0.500             D042900200130 
  165.0     3543.770      0.500      24.510     0.480             D042900200131 
  165.0     3593.410      0.500      25.010     0.470             D042900200132 
  165.0     3643.040      0.500      25.240     0.450             D042900200133 
  165.0     3692.290      0.500      24.570     0.440             D042900200134 
  165.0     3742.350      0.500      24.780     0.430             D042900200135 
  165.0     3842.840      0.500      25.750     0.410             D042900200136 
  165.0     3843.500      0.500      30.240     1.840             D042900200137 
  165.0     3845.400      0.500      28.170     1.840             D042900200138 
  165.0     3849.400      0.500      33.000     2.040             D042900200139 
  165.0     3851.300      0.500      31.540     1.830             D042900200140 
  165.0     3856.300      0.500      32.270     2.030             D042900200141 
  165.0     3860.700      0.500      40.900     2.230             D042900200142 
  165.0     3865.700      0.500      59.380     2.630             D042900200143 
  165.0     3870.600      0.500      89.250     3.420             D042900200144 
  165.0     3872.500      0.500      58.370     2.620             D042900200145 
  165.0     3873.500      0.500      35.200     2.010             D042900200146 
  165.0     3875.600      0.500      29.140     1.810             D042900200147 
  165.0     3893.300      0.500      21.510     1.590             D042900200148 
  165.0     3941.540      0.500      21.950     0.390             D042900200149 
  165.0     4042.940      0.500      23.640     0.370             D042900200150 
  165.0     4142.530      0.500      24.800     0.350             D042900200151 
  165.0     4242.220      0.500      25.660     0.340             D042900200152 
  165.0     4341.710      0.500      27.380     0.320             D042900200153 
  165.0     4441.330      0.500      31.670     0.310             D042900200154 
  165.0     4542.020      0.500      39.790     0.290             D042900200155 
  165.0     4641.730      0.500      52.250     0.280             D042900200156 
  165.0     4741.350      0.500      67.000     0.270             D042900200157 
  165.0     4840.940      0.500      83.460     0.260             D042900200158 
  165.0     4901.400      0.500     110.810     5.790             D042900200159 
  165.0     4911.400      0.500     120.620     6.010             D042900200160 
  165.0     4921.400      0.500     117.260     5.860             D042900200161 
  165.0     4931.300      0.500     124.990     6.080             D042900200162 
  165.0     4940.580      0.500     105.850     0.250             D042900200163 
  165.0     4948.200      0.500     155.690     6.910             D042900200164 
  165.0     4950.200      0.500     153.100     6.660             D042900200165 
  165.0     4952.200      0.500     182.760     7.510             D042900200166 
  165.0     4954.200      0.500     223.690     8.490             D042900200167 
  165.0     4956.100      0.500     266.150     9.340             D042900200168 
  165.0     4958.100      0.500     186.380     7.490             D042900200169 
  165.0     4960.000      0.500     117.410     5.640             D042900200170 
  165.0     4962.000      0.500      81.890     4.540             D042900200171 
  165.0     4963.900      0.500      78.880     4.530             D042900200172 
  165.0     4977.900      0.500     100.240     5.120             D042900200173 
  165.0     4991.400      0.500     111.820     5.810             D042900200174 
  165.0     4996.400      0.500      99.620     5.320             D042900200175 
  165.0     5001.300      0.500      99.430     5.320             D042900200176 
  165.0     5011.300      0.500     112.970     5.650             D042900200177 
  165.0     5021.200      0.500     117.800     5.750             D042900200178 
  165.0     5031.200      0.500     113.870     5.720             D042900200179 
  165.0     5041.100      0.500     104.400     5.340             D042900200180 
  165.0     5044.690      0.500     102.470     0.240             D042900200181 
  165.0     5051.100      0.500     109.070     5.560             D042900200182 
  165.0     5061.000      0.500     144.000     6.360             D042900200183 
  165.0     5071.000      0.500     146.720     6.570             D042900200184 
  165.0     5081.000      0.500     144.270     6.430             D042900200185 
  165.0     5090.800      0.500     162.110     6.870             D042900200186 
  165.0     5100.800      0.500     167.740     7.080             D042900200187 
  165.0     5112.100      0.500     187.560     10.160            D042900200188 
  165.0     5120.800      0.500     230.550     8.520             D042900200189 
  165.0     5131.000      0.500     322.840     13.760            D042900200190 
  165.0     5140.700      0.500     308.370     10.280            D042900200191 
  165.0     5141.900      0.500     311.770     13.360            D042900200192 
  165.0     5143.000      0.500     301.480     13.240            D042900200193 
  165.0     5143.900      0.500     263.390     11.870            D042900200194 
  165.0     5145.000      0.500     249.020     11.750            D042900200195 
  165.0     5146.900      0.500     204.400     10.480            D042900200196 
  165.0     5149.000      0.500     163.370     9.110             D042900200197 
  165.0     5150.900      0.500     165.070     9.330             D042900200198 
  165.0     5159.000      0.500     109.210     7.140             D042900200199 
  165.0     5170.700      0.500     125.530     7.790             D042900200200 
  165.0     5170.800      0.500      94.490     4.970             D042900200201 
  165.0     5180.800      0.500     113.460     5.620             D042900200202 
  165.0     5190.800      0.500      88.380     4.820             D042900200203 
  165.0     5210.700      0.500     102.830     5.340             D042900200204 
  165.0     5224.400      0.500      84.590     4.420             D042900200205 
  165.0     5230.700      0.500      93.220     4.960             D042900200206 
  165.0     5250.500      0.500      95.470     5.040             D042900200207 
  165.0     5270.500      0.500     103.870     5.320             D042900200208 
  165.0     5290.400      0.500      98.240     5.070             D042900200209 
  165.0     5316.400      0.500      95.150     5.020             D042900200210 
  165.0     5326.500      0.500     100.960     4.790             D042900200211 
  165.0     5327.400      0.500     104.960     4.900             D042900200212 
  165.0     5328.400      0.500      92.170     4.460             D042900200213 
  165.0     5329.300      0.500     103.720     4.790             D042900200214 
  165.0     5330.300      0.500     100.600     5.210             D042900200215 
  165.0     5350.200      0.500     121.470     5.690             D042900200216 
  165.0     5359.600      0.500     141.320     8.510             D042900200217 
  165.0     5360.100      0.500     128.270     7.770             D042900200218 
  165.0     5365.100      0.500     175.320     9.230             D042900200219 
  165.0     5366.300      0.500     163.500     6.500             D042900200220 
  165.0     5367.100      0.500     175.190     9.650             D042900200221 
  165.0     5368.100      0.500     197.850     9.950             D042900200222 
  165.0     5370.000      0.500     252.770     11.520            D042900200223 
  165.0     5370.100      0.500     271.810     11.940            D042900200224 
  165.0     5370.300      0.500     256.820     10.370            D042900200225 
  165.0     5371.200      0.500     285.820     11.930            D042900200226 
  165.0     5371.700      0.500     364.740     14.960            D042900200227 
  165.0     5372.000      0.500     368.670     14.440            D042900200228 
  165.0     5372.200      0.500     372.930     14.020            D042900200229 
  165.0     5373.100      0.500     415.780     15.060            D042900200230 
  165.0     5373.300      0.500     449.510     16.740            D042900200231 
  165.0     5373.900      0.500     465.920     18.920            D042900200232 
  165.0     5374.100      0.500     460.140     18.020            D042900200233 
  165.0     5374.800      0.500     339.870     14.210            D042900200234 
  165.0     5375.100      0.500     438.550     15.460            D042900200235 
  165.0     5376.000      0.500     349.740     13.370            D042900200236 
  165.0     5376.100      0.500     306.710     16.730            D042900200237 
  165.0     5377.000      0.500     253.260     11.690            D042900200238 
  165.0     5377.900      0.500      75.970     6.060             D042900200239 
  165.0     5378.100      0.500     135.860     8.350             D042900200240 
  165.0     5379.200      0.500      97.630     7.000             D042900200241 
  165.0     5379.400      0.500      28.890     3.650             D042900200242 
  165.0     5380.100      0.500      47.860     4.590             D042900200243 
  165.0     5390.100      0.500      45.710     3.320             D042900200244 
  165.0     5390.200      0.500      44.570     3.530             D042900200245 
  165.0     5405.300      0.500      67.350     4.340             D042900200246 
  165.0     5410.700      0.500      71.760     4.330             D042900200247 
  165.0     5425.400      0.500      66.240     4.310             D042900200248 
  165.0     5430.600      0.500      76.860     4.400             D042900200249 
  165.0     5435.300      0.500      72.030     4.500             D042900200250 
  165.0     5445.200      0.500      68.100     4.380             D042900200251 
  165.0     5450.700      0.500      35.050     2.030             D042900200252 
  165.0     5455.100      0.500      64.810     4.260             D042900200253 
  165.0     5465.100      0.500      56.590     3.940             D042900200254 
  165.0     5467.400      0.500      46.750     3.540             D042900200255 
  165.0     5468.900      0.500      45.610     3.530             D042900200256 
  165.0     5469.000      0.500      52.570     3.730             D042900200257 
  165.0     5470.500      0.500      79.470     4.540             D042900200258 
  165.0     5471.400      0.500      57.770     4.030             D042900200259 
  165.0     5471.800      0.500      72.680     4.540             D042900200260 
  165.0     5472.300      0.500     129.210     5.750             D042900200261 
  165.0     5473.000      0.500     138.950     6.450             D042900200262 
  165.0     5474.200      0.500     137.480     6.050             D042900200263 
  165.0     5475.500      0.500     138.120     6.540             D042900200264 
  165.0     5476.200      0.500     134.760     5.940             D042900200265 
  165.0     5477.000      0.500     133.320     6.340             D042900200266 
  165.0     5478.200      0.500     125.920     5.630             D042900200267 
  165.0     5479.500      0.500     125.960     6.230             D042900200268 
  165.0     5480.300      0.500     116.470     5.530             D042900200269 
  165.0     5481.700      0.500     106.770     5.830             D042900200270 
  165.0     5482.100      0.500     107.060     5.130             D042900200271 
  165.0     5483.600      0.500      90.240     5.220             D042900200272 
  165.0     5484.100      0.500     108.690     5.220             D042900200273 
  165.0     5485.700      0.500     103.110     5.620             D042900200274 
  165.0     5486.100      0.500     106.200     5.110             D042900200275 
  165.0     5487.600      0.500      86.300     5.120             D042900200276 
  165.0     5489.600      0.500      89.640     5.210             D042900200277 
  165.0     5490.400      0.500      95.020     5.010             D042900200278 
  165.0     5491.600      0.500      91.480     5.300             D042900200279 
  165.0     5492.000      0.500      96.260     4.900             D042900200280 
  165.0     5493.600      0.500      93.810     5.300             D042900200281 
  165.0     5494.000      0.500     101.390     5.000             D042900200282 
  165.0     5495.300      0.500      97.950     5.300             D042900200283 
  165.0     5496.000      0.500      93.730     4.700             D042900200284 
  165.0     5500.300      0.500      98.470     4.990             D042900200285 
  165.0     5505.300      0.500      86.240     4.980             D042900200286 
  165.0     5510.600      0.500      93.830     5.050             D042900200287 
  165.0     5525.300      0.500      84.040     4.840             D042900200288 
  165.0     5545.300      0.500      85.390     4.910             D042900200289 
  165.0     5565.800      0.500      86.420     5.160             D042900200290 
  165.0     5585.800      0.500      89.480     5.130             D042900200291 
  165.0     5605.800      0.500      79.720     4.800             D042900200292 
  165.0     5625.800      0.500      86.590     4.960             D042900200293 
  165.0     5645.800      0.500      82.570     4.830             D042900200294 
  165.0     5665.800      0.500      85.940     4.890             D042900200295 
  165.0     5685.800      0.500      85.150     4.860             D042900200296 
  165.0     5705.800      0.500      82.970     4.830             D042900200297 
  165.0     5725.800      0.500      75.310     4.510             D042900200298 
  165.0     5745.700      0.500      90.880     5.030             D042900200299 
  165.0     5765.800      0.500      84.520     4.820             D042900200300 
  165.0     5785.800      0.500      81.330     4.690             D042900200301 
  165.0     5798.900      0.500      84.460     4.760             D042900200302 
  165.0     5805.900      0.500      80.680     4.660             D042900200303 
  165.0     5824.500      0.500      98.490     5.160             D042900200304 
  165.0     5845.100      0.500      98.680     5.220             D042900200305 
  165.0     5865.700      0.500      79.210     4.650             D042900200306 
  165.0     5885.800      0.500      70.400     4.360             D042900200307 
  165.0     5906.200      0.500      60.740     4.330             D042900200308 
  165.0     5915.900      0.500      59.510     2.670             D042900200309 
  165.0     5926.200      0.500      37.040     2.150             D042900200310 
  165.0     5936.000      0.500      16.790     1.370             D042900200311 
  165.0     5946.200      0.500      45.410     2.390             D042900200312 
  165.0     5956.200      0.500      85.760     3.410             D042900200313 
  165.0     5966.100      0.500      96.840     3.650             D042900200314 
  165.0     5976.200      0.500      94.730     3.720             D042900200315 
  165.0     5976.300      0.500     101.150     5.580             D042900200316 
  165.0     5986.100      0.500      97.960     3.710             D042900200317 
  165.0     5996.300      0.500      99.980     5.540             D042900200318 
  165.0     6006.000      0.500      98.400     5.270             D042900200319 
  170.0     2433.000      0.600      29.930     1.000             D042900200320 
  170.0     2453.200      0.510      25.030     0.980             D042900200321 
  170.0     2468.600      0.810      39.250     0.970             D042900200322 
  170.0     2473.400      1.280      61.790     1.930             D042900200323 
  170.0     2478.500      1.620      77.880     2.400             D042900200324 
  170.0     2483.400      2.130     102.000     2.870             D042900200325 
  170.0     2488.300      1.860      88.720     2.860             D042900200326 
  170.0     2493.200      2.300     109.270     3.330             D042900200327 
  170.0     2503.000      1.820      85.790     2.830             D042900200328 
  170.0     2545.600      1.400      63.800     1.370             D042900200329 
  170.0     2595.300      1.210      53.050     1.320             D042900200330 
  170.0     2645.100      1.290      54.450     1.270             D042900200331 
  170.0     2645.100      1.260      53.180     1.270             D042900200332 
  170.0     2694.600      1.280      52.060     1.220             D042900200333 
  170.0     2694.800      1.260      51.240     1.220             D042900200334 
  170.0     2744.200      1.300      50.980     1.180             D042900200335 
  170.0     2744.600      1.170      45.870     1.180             D042900200336 
  170.0     2793.800      1.310      49.570     1.140             D042900200337 
  170.0     2794.300      1.220      46.140     1.130             D042900200338 
  170.0     2843.400      1.350      49.310     1.100             D042900200339 
  170.0     2844.100      1.390      50.750     1.100             D042900200340 
  170.0     2893.900      1.420      50.070     1.060             D042900200341 
  170.0     2895.000      1.390      48.980     1.410             D042900200342 
  170.0     2952.200      2.000      67.770     2.710             D042900200343 
  170.0     2992.300      3.270     107.850     4.950             D042900200344 
  170.0     3002.300      4.040     132.360     4.590             D042900200345 
  170.0     3007.200      4.820     157.400     5.230             D042900200346 
  170.0     3014.800      6.020     195.600     8.120             D042900200347 
  170.0     3015.800      6.140     199.370     8.440             D042900200348 
  170.0     3016.800      6.200     201.180     8.110             D042900200349 
  170.0     3017.800      6.580     213.370     8.430             D042900200350 
  170.0     3018.700      7.870     255.050     9.720             D042900200351 
  170.0     3019.700      8.660     280.470     10.690            D042900200352 
  170.0     3020.600      8.830     285.810     10.680            D042900200353 
  170.0     3021.600      9.580     309.880     11.000            D042900200354 
  170.0     3022.600     10.950     353.960     12.280            D042900200355 
  170.0     3023.500     12.480     403.170     13.570            D042900200356 
  170.0     3024.500     13.510     436.160     14.210            D042900200357 
  170.0     3025.400     15.310     493.980     15.810            D042900200358 
  170.0     3026.300     19.100     615.890     18.380            D042900200359 
  170.0     3027.300     20.390     657.060     19.330            D042900200360 
  170.0     3028.300     21.450     690.760     20.290            D042900200361 
  170.0     3029.200     23.670     761.800     21.890            D042900200362 
  170.0     3030.200     25.550     821.760     22.840            D042900200363 
  170.0     3031.100     25.640     824.160     23.140            D042900200364 
  170.0     3032.000     23.890     767.460     21.840            D042900200365 
  170.0     3032.800     23.960     769.300     22.800            D042900200366 
  170.0     3033.000     20.470     657.160     19.260            D042900200367 
  170.0     3033.900     17.680     567.250     17.330            D042900200368 
  170.0     3034.000     18.440     591.600     17.970            D042900200369 
  170.0     3034.900     16.370     524.870     15.390            D042900200370 
  170.0     3034.900     15.150     485.760     17.310            D042900200371 
  170.0     3035.900     12.050     386.110     12.820            D042900200372 
  170.0     3036.900     10.130     324.370     10.890            D042900200373 
  170.0     3036.900      9.670     309.640     12.170            D042900200374 
  170.0     3037.900      7.500     240.000     8.960             D042900200375 
  170.0     3038.800      5.910     189.010     7.680             D042900200376 
  170.0     3038.800      5.730     183.250     7.360             D042900200377 
  170.0     3039.800      4.570     146.060     6.070             D042900200378 
  170.0     3041.000      2.910      92.930     4.470             D042900200379 
  170.0     3042.800      2.680      85.480     2.550             D042900200380 
  170.0     3043.500      2.020      64.400     1.910             D042900200381 
  170.0     3046.500      1.290      41.050     1.270             D042900200382 
  170.0     3047.400      1.320      41.980     1.270             D042900200383 
  170.0     3048.100      0.740      23.520     0.640             D042900200384 
  170.0     3049.900      0.610      19.370     0.630             D042900200385 
  170.0     3051.800      0.470      14.900     0.630             D042900200386 
  170.0     3053.600      0.360      11.400     0.320             D042900200387 
  170.0     3055.400      0.260       8.220     0.320             D042900200388 
  170.0     3060.300      0.280       8.830     0.320             D042900200389 
  170.0     3061.900      0.330      10.400     0.320             D042900200390 
  170.0     3065.100      0.430      13.520     0.310             D042900200391 
  170.0     3066.700      0.440      13.820     0.310             D042900200392 
  170.0     3076.400      0.930      29.020     0.940             D042900200393 
  170.0     3081.200      1.020      31.730     0.930             D042900200394 
  170.0     3086.000      0.630      19.540     0.620             D042900200395 
  170.0     3094.500      0.610      18.810     0.620             D042900200396 
  170.0     3143.800      0.790      23.610     0.600             D042900200397 
  170.0     3144.100      0.640      19.120     0.600             D042900200398 
  170.0     3193.400      0.950      27.510     0.580             D042900200399 
  170.0     3193.700      0.940      27.220     0.580             D042900200400 
  170.0     3243.000      1.040      29.200     0.560             D042900200401 
  170.0     3243.300      1.020      28.640     0.560             D042900200402 
  170.0     3292.700      1.150      31.320     0.540             D042900200403 
  170.0     3293.000      1.150      31.320     0.540             D042900200404 
  170.0     3304.300      1.610      43.550     1.350             D042900200405 
  170.0     3314.100      1.640      44.100     1.340             D042900200406 
  170.0     3323.900      1.660      44.370     1.340             D042900200407 
  170.0     3333.700      1.900      50.490     1.590             D042900200408 
  170.0     3344.300      2.330      61.520     2.640             D042900200409 
  170.0     3345.200      2.070      54.630     2.380             D042900200410 
  170.0     3346.100      2.180      57.500     4.750             D042900200411 
