ENTRY            D1000   20230813                             D139D100000000001 
SUBENT        D1000001   20230813                             D139D100000100001 
BIB                 10         16                                 D100000100002 
TITLE      Measurement of neutron production from an 18O target   D100000100003 
AUTHOR     (P.Z.Ngcobo, R.A.Bark, A.Buffler, P.Papka, D.R.Geduld, D100000100004 
            P.Jones, L.Makhathini, P.Maleka, N.Mantengu,          D100000100005 
            S.S.Ntshangase, F.D.Smit)                             D100000100006 
INSTITUTE  (3SAFITH,3SAFSCT,3SAFSTL)                              D100000100007 
           (3SAFSAF) University of Zululand, Kwadlangezwa         D100000100008 
REFERENCE  (J,NIM/B,513,21,2022)                                  D100000100009 
           #doi:10.1016/j.nimb.2021.12.007                        D100000100010 
FACILITY   (CYCLO,3SAFITH)                                        D100000100011 
DETECTOR   (SCIN) BC501A liquid scintillation detector (5.08 cm   D100000100012 
            diam., 10.16 cm long) for neutron yields measurement. D100000100013 
           NE102A detector as a neutron fluence monitor.          D100000100014 
METHOD     (TOF,PSD)                                              D100000100015 
ADD-RES    (N-SPC) Double differential neutron thick target yieldsD100000100016 
STATUS     Original data were lost (R.A.Bark, 2022-02-15)         D100000100017 
HISTORY    (20230813C) VS                                         D100000100018 
ENDBIB              16          0                                 D100000100019 
NOCOMMON             0          0                                 D100000100020 
ENDSUBENT           19          0                                 D100000199999 
SUBENT        D1000002   20230813                             D139D100000200001 
BIB                  4          9                                 D100000200002 
REACTION   (8-O-18(P,X)0-NN-1,,PY/DA/DE,,TT/CH/MSC)               D100000200003 
            Thin target neutron yields                            D100000200004 
SAMPLE     (8-O-18,ENR=0.97)                                      D100000200005 
            Thin (2 mm thick) H2O target (1.11 g/mL at 20 deg-C)  D100000200006 
ERR-ANALYS Typical uncertainties of 10% due mainly to             D100000200007 
            uncertainties in                                      D100000200008 
           (ERR-1) efficiency       (5%)                          D100000200009 
           (ERR-2) target thickness (7%)                          D100000200010 
STATUS     (CURVE,,P.Z.Ngcobo+,J,NIM/B,513,21,2022) Fig.2         D100000200011 
ENDBIB               9          0                                 D100000200012 
COMMON               3          3                                 D100000200013 
ERR-1      ERR-2      ERR-DIG                                     D100000200014 
PER-CENT   PER-CENT   P/MEVMUCSR                                  D100000200015 
 5.         7.         0.15                                       D100000200016 
ENDCOMMON            3          0                                 D100000200017 
DATA                 5        302                                 D100000200018 
ANG        EN         E-MIN      E-MAX      DATA                  D100000200019 
  0.        42.        38.        39.             17.06           D100000200069 
  0.        42.        39.        40.             10.08           D100000200070 
  0.        42.        40.        41.              2.06           D100000200071 
  0.        54.         9.        10.              5.61           D100000200072 
  0.        54.        10.        11.              4.75           D100000200073 
  0.        54.        11.        12.              4.41           D100000200074 
  0.        54.        12.        13.              4.20           D100000200075 
  0.        54.        13.        14.              4.52           D100000200076 
  0.        54.        14.        15.              4.29           D100000200077 
  0.        54.        15.        16.              3.95           D100000200078 
  0.        54.        16.        17.              4.24           D100000200079 
  0.        54.        17.        18.              3.84           D100000200080 
  0.        54.        18.        19.              4.24           D100000200081 
  0.        54.        19.        20.              3.98           D100000200082 
  0.        54.        20.        21.              4.35           D100000200083 
  0.        54.        21.        22.              4.55           D100000200084 
  0.        54.        22.        23.              4.87           D100000200085 
  0.        54.        23.        24.              4.81           D100000200086 
  0.        54.        24.        25.              4.47           D100000200087 
  0.        54.        25.        26.              4.92           D100000200088 
  0.        54.        26.        27.              4.69           D100000200089 
  0.        54.        27.        28.              4.81           D100000200090 
  0.        54.        28.        29.              4.64           D100000200091 
  0.        54.        29.        30.              4.47           D100000200092 
  0.        54.        30.        31.              4.35           D100000200093 
  0.        54.        31.        32.              4.24           D100000200094 
  0.        54.        32.        33.              3.95           D100000200095 
  0.        54.        33.        34.              3.66           D100000200096 
  0.        54.        34.        35.              3.78           D100000200097 
  0.        54.        35.        36.              3.44           D100000200098 
  0.        54.        36.        37.              3.09           D100000200099 
  0.        54.        37.        38.              2.69           D100000200100 
  0.        54.        38.        39.              2.69           D100000200101 
  0.        54.        39.        40.              2.61           D100000200102 
  0.        54.        40.        41.              1.95           D100000200103 
  0.        54.        41.        42.              1.55           D100000200104 
  0.        54.        42.        43.              1.32           D100000200105 
  0.        54.        43.        44.              1.43           D100000200106 
  0.        54.        44.        45.              1.32           D100000200107 
  0.        54.        45.        46.              1.77           D100000200108 
  0.        54.        46.        47.              2.52           D100000200109 
  0.        54.        47.        48.              3.09           D100000200110 
  0.        54.        48.        49.             10.42           D100000200111 
  0.        54.        49.        50.             22.10           D100000200112 
  0.        54.        50.        51.             21.07           D100000200113 
  0.        54.        51.        52.              7.79           D100000200114 
  0.        54.        52.        53.              0.63           D100000200115 
  0.        66.         9.        10.              4.87           D100000200116 
  0.        66.        10.        11.              4.12           D100000200117 
  0.        66.        11.        12.              3.72           D100000200118 
  0.        66.        12.        13.              3.55           D100000200119 
  0.        66.        13.        14.              3.87           D100000200120 
  0.        66.        14.        15.              3.68           D100000200121 
  0.        66.        15.        16.              3.32           D100000200122 
  0.        66.        16.        17.              3.44           D100000200123 
  0.        66.        17.        18.              3.55           D100000200124 
  0.        66.        18.        19.              3.44           D100000200125 
  0.        66.        19.        20.              3.32           D100000200126 
  0.        66.        20.        21.              3.66           D100000200127 
  0.        66.        21.        22.              3.78           D100000200128 
  0.        66.        22.        23.              3.86           D100000200129 
  0.        66.        23.        24.              3.95           D100000200130 
  0.        66.        24.        25.              4.15           D100000200131 
  0.        66.        25.        26.              4.24           D100000200132 
  0.        66.        26.        27.              4.58           D100000200133 
  0.        66.        27.        28.              4.47           D100000200134 
  0.        66.        28.        29.              4.78           D100000200135 
  0.        66.        29.        30.              4.64           D100000200136 
  0.        66.        30.        31.              4.77           D100000200137 
  0.        66.        31.        32.              4.92           D100000200138 
  0.        66.        32.        33.              4.75           D100000200139 
  0.        66.        33.        34.              4.98           D100000200140 
  0.        66.        34.        35.               5.1           D100000200141 
  0.        66.        35.        36.               5.1           D100000200142 
  0.        66.        36.        37.              4.98           D100000200143 
  0.        66.        37.        38.              5.15           D100000200144 
  0.        66.        38.        39.              5.28           D100000200145 
  0.        66.        39.        40.              5.38           D100000200146 
  0.        66.        40.        42.              4.92           D100000200147 
  0.        66.        42.        43.              4.81           D100000200148 
  0.        66.        43.        44.              4.64           D100000200149 
  0.        66.        44.        45.              4.52           D100000200150 
  0.        66.        45.        48.              4.24           D100000200151 
  0.        66.        48.        49.              4.01           D100000200152 
  0.        66.        49.        50.              3.61           D100000200153 
  0.        66.        50.        51.              3.44           D100000200154 
  0.        66.        51.        52.              3.26           D100000200155 
  0.        66.        52.        53.              2.95           D100000200156 
  0.        66.        53.        54.              2.49           D100000200157 
  0.        66.        54.        55.              1.75           D100000200158 
  0.        66.        55.        56.              1.26           D100000200159 
  0.        66.        56.        57.              1.37           D100000200160 
  0.        66.        57.        58.               1.8           D100000200161 
  0.        66.        58.        59.                2.           D100000200162 
  0.        66.        59.        60.              2.95           D100000200163 
  0.        66.        60.        61.              3.53           D100000200164 
  0.        66.        61.        62.              9.66           D100000200165 
  0.        66.        62.        63.              23.8           D100000200166 
  0.        66.        63.        64.               30.           D100000200167 
  0.        66.        64.        65.              17.2           D100000200168 
  0.        66.        65.        66.              3.55           D100000200169 
 16.        30.         9.        10.              5.77           D100000200170 
 16.        30.        10.        11.              4.63           D100000200171 
 16.        30.        11.        12.                4.           D100000200172 
 16.        30.        12.        13.              3.66           D100000200173 
 16.        30.        13.        14.              3.66           D100000200174 
 16.        30.        14.        15.              3.14           D100000200175 
 16.        30.        15.        16.              2.57           D100000200176 
 16.        30.        16.        17.              2.46           D100000200177 
 16.        30.        17.        18.              2.36           D100000200178 
 16.        30.        18.        19.              2.06           D100000200179 
 16.        30.        19.        20.               1.6           D100000200180 
 16.        30.        20.        21.              1.49           D100000200181 
 16.        30.        21.        22.              1.31           D100000200182 
 16.        30.        22.        23.              1.96           D100000200183 
 16.        30.        23.        24.              3.14           D100000200184 
 16.        30.        24.        25.               3.2           D100000200185 
 16.        30.        25.        26.              2.86           D100000200186 
 16.        30.        26.        27.              1.14           D100000200187 
 16.        30.        27.        28.              0.11           D100000200188 
 16.        42.         9.        10.              4.69           D100000200189 
 16.        42.        10.        11.              3.89           D100000200190 
 16.        42.        11.        12.              3.71           D100000200191 
 16.        42.        12.        13.              3.71           D100000200192 
 16.        42.        13.        14.              3.89           D100000200193 
 16.        42.        14.        15.              3.77           D100000200194 
 16.        42.        15.        16.              3.31           D100000200195 
 16.        42.        16.        17.              3.31           D100000200196 
 16.        42.        17.        18.              3.23           D100000200197 
 16.        42.        18.        19.              3.14           D100000200198 
 16.        42.        19.        20.              2.74           D100000200199 
 16.        42.        20.        21.              2.86           D100000200200 
 16.        42.        21.        22.              2.69           D100000200201 
 16.        42.        22.        23.               2.8           D100000200202 
 16.        42.        23.        24.              2.74           D100000200203 
 16.        42.        24.        25.              2.63           D100000200204 
 16.        42.        25.        26.               2.4           D100000200205 
 16.        42.        26.        27.              2.26           D100000200206 
 16.        42.        27.        28.              2.57           D100000200207 
 16.        42.        28.        29.              2.17           D100000200208 
 16.        42.        29.        30.              2.08           D100000200209 
 16.        42.        30.        31.              2.08           D100000200210 
 16.        42.        31.        32.              2.08           D100000200211 
 16.        42.        32.        33.              1.43           D100000200212 
 16.        42.        33.        34.               1.2           D100000200213 
 16.        42.        34.        35.              1.49           D100000200214 
 16.        42.        35.        36.              1.37           D100000200215 
 16.        42.        36.        37.              2.69           D100000200216 
 16.        42.        37.        38.              4.63           D100000200217 
 16.        42.        38.        39.              4.63           D100000200218 
 16.        42.        39.        40.              2.34           D100000200219 
 16.        42.        40.        41.              0.17           D100000200220 
 16.        54.         9.        10.               3.6           D100000200221 
 16.        54.        10.        11.              2.97           D100000200222 
 16.        54.        11.        12.               2.8           D100000200223 
 16.        54.        12.        13.               2.8           D100000200224 
 16.        54.        13.        14.              3.03           D100000200225 
 16.        54.        14.        15.               2.8           D100000200226 
 16.        54.        15.        16.              2.51           D100000200227 
 16.        54.        16.        17.               2.8           D100000200228 
 16.        54.        17.        18.              2.69           D100000200229 
 16.        54.        18.        19.              2.69           D100000200230 
 16.        54.        19.        20.               2.6           D100000200231 
 16.        54.        20.        21.               2.8           D100000200232 
 16.        54.        21.        22.              2.91           D100000200233 
 16.        54.        22.        23.              3.09           D100000200234 
 16.        54.        23.        24.              3.09           D100000200235 
 16.        54.        24.        25.              3.09           D100000200236 
 16.        54.        25.        26.              3.31           D100000200237 
 16.        54.        26.        27.              3.31           D100000200238 
 16.        54.        27.        28.              3.31           D100000200239 
 16.        54.        28.        29.              3.43           D100000200240 
 16.        54.        29.        30.              3.43           D100000200241 
 16.        54.        30.        31.              3.26           D100000200242 
 16.        54.        31.        32.              3.09           D100000200243 
 16.        54.        32.        33.              2.83           D100000200244 
 16.        54.        33.        34.              2.69           D100000200245 
 16.        54.        34.        35.              2.86           D100000200246 
 16.        54.        35.        36.              2.57           D100000200247 
 16.        54.        36.        37.              2.29           D100000200248 
 16.        54.        37.        38.              2.06           D100000200249 
 16.        54.        38.        39.              2.29           D100000200250 
 16.        54.        39.        40.              2.09           D100000200251 
 16.        54.        40.        41.              1.83           D100000200252 
 16.        54.        41.        42.              1.83           D100000200253 
 16.        54.        42.        43.              1.83           D100000200254 
 16.        54.        43.        44.              1.37           D100000200255 
 16.        54.        44.        45.              1.03           D100000200256 
 16.        54.        45.        46.              1.23           D100000200257 
 16.        54.        46.        47.              1.54           D100000200258 
 16.        54.        47.        48.              1.54           D100000200259 
 16.        54.        48.        49.              3.66           D100000200260 
 16.        54.        49.        50.              5.43           D100000200261 
 16.        54.        50.        51.              3.66           D100000200262 
 16.        54.        51.        52.              0.63           D100000200263 
 16.        54.        52.        53.              0.11           D100000200264 
 16.        54.        53.        53.              0.11           D100000200265 
 16.        66.         9.        10.              3.54           D100000200266 
 16.        66.        10.        11.              3.03           D100000200267 
 16.        66.        11.        12.              2.74           D100000200268 
 16.        66.        12.        13.              2.74           D100000200269 
 16.        66.        13.        14.              3.03           D100000200270 
 16.        66.        14.        15.               2.8           D100000200271 
 16.        66.        15.        16.              2.51           D100000200272 
 16.        66.        16.        17.              2.51           D100000200273 
 16.        66.        17.        18.              2.63           D100000200274 
 16.        66.        18.        19.              2.63           D100000200275 
 16.        66.        19.        20.              2.63           D100000200276 
 16.        66.        20.        21.              2.57           D100000200277 
 16.        66.        21.        22.              2.91           D100000200278 
 16.        66.        22.        23.              2.91           D100000200279 
 16.        66.        23.        24.              2.91           D100000200280 
 16.        66.        24.        25.              2.91           D100000200281 
 16.        66.        25.        26.              3.09           D100000200282 
 16.        66.        26.        27.              3.37           D100000200283 
 16.        66.        27.        28.              3.43           D100000200284 
 16.        66.        28.        29.              3.31           D100000200285 
 16.        66.        29.        30.               3.6           D100000200286 
 16.        66.        30.        31.              3.54           D100000200287 
 16.        66.        31.        32.              3.66           D100000200288 
 16.        66.        32.        33.               3.6           D100000200289 
 16.        66.        33.        34.               3.6           D100000200290 
 16.        66.        34.        35.              3.77           D100000200291 
 16.        66.        35.        36.              3.89           D100000200292 
 16.        66.        36.        37.              3.89           D100000200293 
 16.        66.        37.        38.              4.06           D100000200294 
 16.        66.        38.        39.              4.06           D100000200295 
 16.        66.        39.        40.              4.17           D100000200296 
 16.        66.        40.        41.                4.           D100000200297 
 16.        66.        41.        42.              4.11           D100000200298 
 16.        66.        42.        43.              4.06           D100000200299 
 16.        66.        43.        44.                4.           D100000200300 
 16.        66.        44.        45.              3.83           D100000200301 
 16.        66.        45.        46.              3.49           D100000200302 
 16.        66.        46.        47.              3.31           D100000200303 
 16.        66.        47.        48.              3.37           D100000200304 
 16.        66.        48.        49.              3.09           D100000200305 
 16.        66.        49.        50.              2.74           D100000200306 
 16.        66.        50.        51.              2.46           D100000200307 
 16.        66.        51.        52.              2.69           D100000200308 
 16.        66.        52.        53.              2.46           D100000200309 
 16.        66.        53.        54.              2.17           D100000200310 
 16.        66.        54.        55.              2.29           D100000200311 
 16.        66.        55.        56.              2.06           D100000200312 
 16.        66.        56.        57.              1.66           D100000200313 
 16.        66.        57.        58.              1.43           D100000200314 
 16.        66.        58.        59.               1.6           D100000200315 
 16.        66.        59.        60.              1.94           D100000200316 
 16.        66.        60.        61.              1.94           D100000200317 
 16.        66.        61.        62.              3.49           D100000200318 
 16.        66.        62.        63.              5.77           D100000200319 
 16.        66.        63.        64.               4.8           D100000200320 
 16.        66.        64.        65.              1.54           D100000200321 
 16.        66.        65.        66.              0.17           D100000200322 
ENDDATA            304          0                                 D100000200323 
ENDSUBENT          322          0                                 D100000299999 
SUBENT        D1000003   20230815                             D139D100000300001 
BIB                  4          5                                 D100000300002 
REACTION   (8-O-18(P,N)9-F-18,PAR,DA)                             D100000300003 
ANALYSIS   (INTED) Integration of the spectra over the peak area  D100000300004 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   D100000300005 
STATUS     (CURVE,,P.Z.Ngcobo+,J,NIM/B,513,21,2022) Figs.4+5      D100000300006 
           (DEP,D1000002) thin target double differential yield   D100000300007 
ENDBIB               5          0                                 D100000300008 
COMMON               2          3                                 D100000300009 
E-LVL      ERR-DIG                                                D100000300010 
MEV        MB/SR                                                  D100000300011 
 0.         0.5                                                   D100000300012 
ENDCOMMON            3          0                                 D100000300013 
DATA                 4          8                                 D100000300014 
ANG        EN         DATA       DATA-ERR                         D100000300015 
ADEG       MEV        MB/SR      MB/SR                            D100000300016 
  0.        30.         8.14      0.89                            D100000300017 
  0.        42.        14.03      1.48                            D100000300018 
  0.        54.        19.2       1.97                            D100000300019 
  0.        66.        23.1      2.3                              D100000300020 
 16.        30.         3.70      0.38                            D100000300021 
 16.        42.         4.54      0.47                            D100000300022 
 16.        54.         4.26      0.44                            D100000300023 
 16.        66.         5.10      0.53                            D100000300024 
ENDDATA             10          0                                 D100000300025 
ENDSUBENT           24          0                                 D100000399999 
SUBENT        D1000004   20230815                             D139D100000400001 
BIB                  4          8                                 D100000400002 
REACTION   (3-LI-7(P,X)0-NN-1,,PY/DA/DE,,TT/CH/MSC)               D100000400003 
             Thin target neutron yields                           D100000400004 
SAMPLE     2.5(4) mm 7Li target                                   D100000400005 
ERR-ANALYS Typical uncertainties of 10% due mainly to             D100000400006 
            uncertainties in                                      D100000400007 
           (ERR-1) efficiency       (5%)                          D100000400008 
           (ERR-2) target thickness (7%)                          D100000400009 
STATUS     (CURVE,,P.Z.Ngcobo+,J,NIM/B,513,21,2022) Fig.1         D100000400010 
ENDBIB               8          0                                 D100000400011 
COMMON               3          3                                 D100000400012 
ERR-1      ERR-2      ERR-DIG                                     D100000400013 
PER-CENT   PER-CENT   P/MEVMUCSR                                  D100000400014 
 5.         7.         0.15                                       D100000400015 
ENDCOMMON            3          0                                 D100000400016 
DATA                 5        312                                 D100000400017 
ANG        EN         E-MIN      E-MAX      DATA                  D100000400018 
ADEG       MEV        MEV        MEV        P/MEVMUCSR            D100000400019 
  0.        30.         9.        10.              11.6           D100000400020 
  0.        30.        10.        11.              9.61           D100000400021 
  0.        30.        11.        12.              8.61           D100000400022 
  0.        30.        12.        13.              7.81           D100000400023 
  0.        30.        13.        14.              7.82           D100000400024 
  0.        30.        14.        15.              6.82           D100000400025 
  0.        30.        15.        16.              5.83           D100000400026 
  0.        30.        16.        17.              5.63           D100000400027 
  0.        30.        17.        18.              4.83           D100000400028 
  0.        30.        18.        19.              4.24           D100000400029 
  0.        30.        19.        20.              3.64           D100000400030 
  0.        30.        20.        21.              4.24           D100000400031 
  0.        30.        21.        22.              3.84           D100000400032 
  0.        30.        22.        23.               3.5           D100000400033 
  0.        30.        23.        24.              2.45           D100000400034 
  0.        30.        24.        25.             21.42           D100000400035 
  0.        30.        25.        26.             49.96           D100000400036 
  0.        30.        26.        27.             54.16           D100000400037 
  0.        30.        27.        28.             42.18           D100000400038 
  0.        30.        28.        29.              2.07           D100000400039 
  0.        42.         9.        10.              10.2           D100000400040 
  0.        42.        10.        11.              9.21           D100000400041 
  0.        42.        11.        12.              9.21           D100000400042 
  0.        42.        12.        13.              9.61           D100000400043 
  0.        42.        13.        14.             10.21           D100000400044 
  0.        42.        14.        15.              9.82           D100000400045 
  0.        42.        15.        16.               9.2           D100000400046 
  0.        42.        16.        17.               9.2           D100000400047 
  0.        42.        17.        18.               8.8           D100000400048 
  0.        42.        18.        19.              8.63           D100000400049 
  0.        42.        19.        20.              8.03           D100000400050 
  0.        42.        20.        21.              8.84           D100000400051 
  0.        42.        21.        22.              8.84           D100000400052 
  0.        42.        22.        23.              8.84           D100000400053 
  0.        42.        23.        24.              8.24           D100000400054 
  0.        42.        24.        25.              7.64           D100000400055 
  0.        42.        25.        26.              7.45           D100000400056 
  0.        42.        26.        27.              7.05           D100000400057 
  0.        42.        27.        28.              6.85           D100000400058 
  0.        42.        28.        29.              6.46           D100000400059 
  0.        42.        29.        30.              5.86           D100000400060 
  0.        42.        30.        31.              4.87           D100000400061 
  0.        42.        31.        32.              4.27           D100000400062 
  0.        42.        32.        33.              3.47           D100000400063 
  0.        42.        33.        34.              2.88           D100000400064 
  0.        42.        34.        35.              3.48           D100000400065 
  0.        42.        35.        36.              5.08           D100000400066 
  0.        42.        36.        37.              3.88           D100000400067 
  0.        42.        37.        38.              5.28           D100000400068 
  0.        42.        38.        39.               53.           D100000400069 
  0.        42.        39.        40.              87.3           D100000400070 
  0.        42.        40.        41.              60.6           D100000400071 
  0.        42.        41.        42.              6.29           D100000400072 
  0.        42.        42.        43.               0.7           D100000400073 
  0.        54.         9.        10.              8.61           D100000400074 
  0.        54.        10.        11.              7.61           D100000400075 
  0.        54.        11.        12.              7.21           D100000400076 
  0.        54.        12.        13.              7.62           D100000400077 
  0.        54.        13.        14.              8.42           D100000400078 
  0.        54.        14.        15.              8.22           D100000400079 
  0.        54.        15.        16.              7.62           D100000400080 
  0.        54.        16.        17.              8.42           D100000400081 
  0.        54.        17.        18.              8.42           D100000400082 
  0.        54.        18.        19.              8.83           D100000400083 
  0.        54.        19.        20.              8.83           D100000400084 
  0.        54.        20.        21.              9.03           D100000400085 
  0.        54.        21.        22.              9.03           D100000400086 
  0.        54.        22.        23.              9.44           D100000400087 
  0.        54.        23.        24.              8.84           D100000400088 
  0.        54.        24.        25.              8.84           D100000400089 
  0.        54.        25.        26.              8.84           D100000400090 
  0.        54.        26.        27.              9.25           D100000400091 
  0.        54.        27.        28.              9.25           D100000400092 
  0.        54.        28.        29.              8.66           D100000400093 
  0.        54.        29.        30.              8.66           D100000400094 
  0.        54.        30.        31.              8.47           D100000400095 
  0.        54.        31.        32.              8.07           D100000400096 
  0.        54.        32.        33.              8.47           D100000400097 
  0.        54.        33.        34.              8.47           D100000400098 
  0.        54.        34.        35.              8.07           D100000400099 
  0.        54.        35.        36.              8.07           D100000400100 
  0.        54.        36.        37.              7.67           D100000400101 
  0.        54.        37.        38.              7.28           D100000400102 
  0.        54.        38.        39.              6.68           D100000400103 
  0.        54.        39.        40.              6.28           D100000400104 
  0.        54.        40.        41.              5.89           D100000400105 
  0.        54.        41.        42.              5.29           D100000400106 
  0.        54.        42.        43.               4.3           D100000400107 
  0.        54.        43.        44.               3.9           D100000400108 
  0.        54.        44.        45.               2.9           D100000400109 
  0.        54.        45.        46.              4.51           D100000400110 
  0.        54.        46.        47.              4.51           D100000400111 
  0.        54.        47.        48.               5.5           D100000400112 
  0.        54.        48.        49.               3.9           D100000400113 
  0.        54.        49.        50.              21.1           D100000400114 
  0.        54.        50.        51.             88.15           D100000400115 
  0.        54.        51.        52.             85.76           D100000400116 
  0.        54.        52.        53.             23.68           D100000400117 
  0.        54.        53.        54.              1.13           D100000400118 
  0.        66.         9.        10.              6.41           D100000400119 
  0.        66.        10.        11.              5.81           D100000400120 
  0.        66.        11.        12.              5.42           D100000400121 
  0.        66.        12.        13.              5.42           D100000400122 
  0.        66.        13.        14.              6.22           D100000400123 
  0.        66.        14.        15.              6.22           D100000400124 
  0.        66.        15.        16.              5.63           D100000400125 
  0.        66.        16.        18.              6.23           D100000400126 
  0.        66.        17.        18.              6.23           D100000400127 
  0.        66.        18.        19.              6.43           D100000400128 
  0.        66.        19.        20.              6.43           D100000400129 
  0.        66.        20.        21.              6.84           D100000400130 
  0.        66.        21.        22.              7.24           D100000400131 
  0.        66.        22.        23.              7.64           D100000400132 
  0.        66.        23.        24.              8.04           D100000400133 
  0.        66.        24.        25.              8.85           D100000400134 
  0.        66.        25.        26.              8.85           D100000400135 
  0.        66.        26.        27.              9.45           D100000400136 
  0.        66.        27.        28.              9.45           D100000400137 
  0.        66.        28.        29.              9.65           D100000400138 
  0.        66.        29.        30.              9.45           D100000400139 
  0.        66.        30.        31.              9.66           D100000400140 
  0.        66.        31.        32.              9.26           D100000400141 
  0.        66.        32.        33.              9.06           D100000400142 
  0.        66.        33.        34.              9.06           D100000400143 
  0.        66.        34.        35.              8.87           D100000400144 
  0.        66.        35.        36.              8.67           D100000400145 
  0.        66.        36.        37.              8.67           D100000400146 
  0.        66.        37.        38.              8.48           D100000400147 
