ENTRY            D6151   20120321                             D082D615100000001 
SUBENT        D6151001   20120321                             D082D615100100001 
BIB                 11         25                                 D615100100002 
TITLE      Fragment spin as a function of the mass asymmetry in   D615100100003 
            heavy ion induced fission reactions                   D615100100004 
AUTHOR     (R.K.Choudhury, A.Saxena, A.Chatterjee, D.V.Shetty,    D615100100005 
            S.S.Kapoor, M.Cinausero, L.Corradi, E.Farnea,         D615100100006 
            E.Fioretto, A.Gadea, D.Napoli, G.Prete,               D615100100007 
            A.M.Stefanini, D.Bazzaco, S.Beghini, D.Fabris,        D615100100008 
            G.Montagnoli, G.Nebbia, C.Rossi-Alvarez,              D615100100009 
            F.Scarlassara, C.Ur, G.Viesti)                        D615100100010 
INSTITUTE  (3INDTRM,2ITYPAD)                                      D615100100011 
REFERENCE  (J,PR/C,60,054609,1999)                                D615100100012 
FACILITY   (VDGT,2ITYPAD) XTU Tandem of Lab. Naz. di Legnaro      D615100100013 
SAMPLE     Self-supporting 1.5 mg/cm2 232Th and 500 ug/cm2 209Bi  D615100100014 
DETECTOR   (GE,BGO) 40 large volume Compton suppressed Ge         D615100100015 
            detectors and an inner ball of 80 bismuth germanate   D615100100016 
              (BGO) crystals.                                     D615100100017 
           The BGO detectors were used for the determination of   D615100100018 
            gamma ray multiplicity in the fission process.        D615100100019 
           (MWPC) To detect fission fragments in coincidence      D615100100020 
METHOD     (PSD) Discrimination of fission fragments from         D615100100021 
            elastically scattered particles                       D615100100022 
ERR-ANALYS (DATA-ERR) No information on sources of uncertainties  D615100100023 
STATUS     (TABLE) Fig.4 of Phys.Rev.C60(1999)054609 from authors D615100100024 
HISTORY    (20110405C),S.Mahadevan, S.Subramanian,                D615100100025 
            V.O.Chindambaram, M.Balasubramaniam, G.Pandikumar     D615100100026 
           (20120321U) On. Finalized                              D615100100027 
ENDBIB              25          0                                 D615100100028 
NOCOMMON             0          0                                 D615100100029 
ENDSUBENT           28          0                                 D615100199999 
SUBENT        D6151002   20120321                             D082D615100200001 
BIB                  1          1                                 D615100200002 
REACTION   (90-TH-232(6-C-12,F)MASS,,FY,G)                        D615100200003 
ENDBIB               1          0                                 D615100200004 
NOCOMMON             0          0                                 D615100200005 
DATA                 5         60                                 D615100200006 
EN         MASS-MIN   MASS-MAX   DATA       DATA-ERR              D615100200007 
 78.        110.       120.       11.82      0.03                 D615100200052 
 78.        120.       130.       11.82      0.03                 D615100200053 
 82.         60.        80.       11.80      0.04                 D615100200054 
 82.         80.       100.       11.89      0.03                 D615100200055 
 82.        100.       110.       12.09      0.03                 D615100200056 
 82.        110.       120.       12.28      0.02                 D615100200057 
 82.        120.       130.       12.33      0.02                 D615100200058 
 86.         60.        80.       11.68      0.03                 D615100200059 
 86.         80.       100.       12.17      0.02                 D615100200060 
 86.        100.       110.       12.48      0.03                 D615100200061 
 86.        110.       120.       12.60      0.02                 D615100200062 
 86.        120.       130.       12.65      0.02                 D615100200063 
 90.         60.        80.       11.89      0.02                 D615100200064 
 90.         80.       100.       12.38      0.03                 D615100200065 
 90.        100.       110.       12.78      0.02                 D615100200066 
 90.        110.       120.       12.89      0.02                 D615100200067 
 90.        120.       130.       12.92      0.02                 D615100200068 
ENDDATA             62          0                                 D615100200069 
ENDSUBENT           68          0                                 D615100299999 
SUBENT        D6151003   20120321                             D082D615100300001 
BIB                  1          1                                 D615100300002 
REACTION   (90-TH-232(8-O-16,F)MASS,,FY,G)                        D615100300003 
ENDBIB               1          0                                 D615100300004 
NOCOMMON             0          0                                 D615100300005 
DATA                 5         50                                 D615100300006 
EN         MASS-MIN   MASS-MAX   DATA       DATA-ERR              D615100300007 
MEV        NO-DIM     NO-DIM     PRT/FIS    PRT/FIS               D615100300008 
  81.        60.        80.       10.95      0.07                 D615100300009 
  81.        80.       100.       10.94      0.07                 D615100300010 
  81.       100.       110.       11.27      0.06                 D615100300011 
  81.       110.       120.       11.49      0.06                 D615100300012 
  81.       120.       130.       11.40      0.06                 D615100300013 
  84.        60.        80.       11.06      0.07                 D615100300014 
  84.        80.       100.       11.33      0.06                 D615100300015 
  84.       100.       110.       11.79      0.06                 D615100300016 
  84.       110.       120.       11.61      0.05                 D615100300017 
  84.       120.       130.       11.56      0.05                 D615100300018 
  87.        60.        80.       11.48      0.07                 D615100300019 
  87.        80.       100.       11.57      0.06                 D615100300020 
  87.       100.       110.       11.79      0.06                 D615100300021 
  87.       110.       120.       11.84      0.05                 D615100300022 
  87.       120.       130.       11.81      0.04                 D615100300023 
  90.        60.        80.       11.63      0.06                 D615100300024 
  90.        80.       100.       11.95      0.06                 D615100300025 
  90.       100.       110.       12.10      0.06                 D615100300026 
  90.       110.       120.       12.17      0.05                 D615100300027 
  90.       120.       130.       12.16      0.04                 D615100300028 
  95.        60.        80.       11.72      0.06                 D615100300029 
  95.        80.       100.       12.22      0.06                 D615100300030 
  95.       100.       110.       12.36      0.05                 D615100300031 
  95.       110.       120.       12.40      0.05                 D615100300032 
  95.       120.       130.       12.40      0.04                 D615100300033 
 100.        60.        80.       12.10      0.06                 D615100300034 
 100.        80.       100.       12.59      0.05                 D615100300035 
 100.       100.       110.       12.86      0.05                 D615100300036 
 100.       110.       120.       12.96      0.04                 D615100300037 
 100.       120.       130.       12.90      0.04                 D615100300038 
 105.        60.        80.       12.50      0.05                 D615100300039 
 105.        80.       100.       13.06      0.05                 D615100300040 
 105.       100.       110.       13.50      0.04                 D615100300041 
 105.       110.       120.       13.56      0.03                 D615100300042 
 105.       120.       130.       13.48      0.03                 D615100300043 
 110.        60.        80.       12.90      0.05                 D615100300044 
 110.        80.       100.       13.48      0.04                 D615100300045 
 110.       100.       110.       14.01      0.04                 D615100300046 
 110.       110.       120.       14.01      0.04                 D615100300047 
 110.       120.       130.       13.97      0.03                 D615100300048 
 115.        60.        80.       13.30      0.04                 D615100300049 
 115.        80.       100.       14.03      0.04                 D615100300050 
 115.       100.       110.       14.46      0.04                 D615100300051 
 115.       110.       120.       14.51      0.03                 D615100300052 
 115.       120.       130.       14.42      0.03                 D615100300053 
 120.        60.        80.       13.91      0.03                 D615100300054 
 120.        80.       100.       14.55      0.03                 D615100300055 
 120.       100.       110.       14.87      0.02                 D615100300056 
 120.       110.       120.       14.85      0.02                 D615100300057 
 120.       120.       130.       14.84      0.02                 D615100300058 
ENDDATA             52          0                                 D615100300059 
ENDSUBENT           58          0                                 D615100399999 
SUBENT        D6151004   20120321                             D082D615100400001 
BIB                  1          1                                 D615100400002 
REACTION   (83-BI-209(6-C-12,F)MASS,,FY,G)                        D615100400003 
ENDBIB               1          0                                 D615100400004 
NOCOMMON             0          0                                 D615100400005 
DATA                 5         30                                 D615100400006 
EN         MASS-MIN   MASS-MAX   DATA       DATA-ERR              D615100400007 
MEV        NO-DIM     NO-DIM     PRT/FIS    PRT/FIS               D615100400008 
 62.         50.        70.        8.74      0.06                 D615100400009 
 62.         70.        90.        8.61      0.06                 D615100400010 
 62.         90.       100.        9.03      0.05                 D615100400011 
 62.        100.       110.        9.01      0.05                 D615100400012 
 62.        110.       120.        9.00      0.05                 D615100400013 
 65.         50.        70.        8.93      0.05                 D615100400014 
 65.         70.        90.        8.90      0.05                 D615100400015 
 65.         90.       100.        9.03      0.05                 D615100400016 
 65.        100.       110.        9.30      0.04                 D615100400017 
 65.        110.       120.        9.30      0.04                 D615100400018 
 70.         50.        70.        9.48      0.05                 D615100400019 
 70.         70.        90.        9.33      0.04                 D615100400020 
 70.         90.       100.        9.46      0.04                 D615100400021 
 70.        100.       110.        9.72      0.04                 D615100400022 
 70.        110.       120.        9.73      0.03                 D615100400023 
 75.         50.        70.        9.87      0.04                 D615100400024 
 75.         70.        90.        9.86      0.04                 D615100400025 
 75.         90.       100.        9.90      0.04                 D615100400026 
 75.        100.       110.       10.13      0.03                 D615100400027 
 75.        110.       120.       10.08      0.03                 D615100400028 
 80.         50.        70.       10.30      0.04                 D615100400029 
 80.         70.        90.       10.25      0.04                 D615100400030 
 80.         90.       100.       10.28      0.03                 D615100400031 
 80.        100.       110.       10.47      0.03                 D615100400032 
 80.        110.       120.       10.47      0.03                 D615100400033 
 90.         50.        70.       10.97      0.03                 D615100400034 
 90.         70.        90.       11.05      0.03                 D615100400035 
 90.         90.       100.       11.05      0.03                 D615100400036 
 90.        100.       110.       11.22      0.02                 D615100400037 
 90.        110.       120.       11.10      0.02                 D615100400038 
ENDDATA             32          0                                 D615100400039 
ENDSUBENT           38          0                                 D615100499999 
SUBENT        D6151005   20120321                             D082D615100500001 
BIB                  1          1                                 D615100500002 
REACTION   (83-BI-209(8-O-16,F)MASS,,FY,G)                        D615100500003 
ENDBIB               1          0                                 D615100500004 
NOCOMMON             0          0                                 D615100500005 
DATA                 5         30                                 D615100500006 
EN         MASS-MIN   MASS-MAX   DATA       DATA-ERR              D615100500007 
MEV        NO-DIM     NO-DIM     PRT/FIS    PRT/FIS               D615100500008 
  81.        50.        70.        9.30      0.07                 D615100500009 
  81.        70.        90.        9.50      0.07                 D615100500010 
  81.        90.       100.        9.39      0.07                 D615100500011 
  81.       100.       110.        9.63      0.06                 D615100500012 
  81.       110.       120.        9.88      0.06                 D615100500013 
  85.        50.        70.        9.90      0.06                 D615100500014 
  85.        70.        90.        9.89      0.06                 D615100500015 
  85.        90.       100.        9.99      0.06                 D615100500016 
  85.       100.       110.       10.19      0.05                 D615100500017 
  85.       110.       120.       10.30      0.05                 D615100500018 
  90.        50.        70.       10.60      0.06                 D615100500019 
  90.        70.        90.       10.49      0.06                 D615100500020 
  90.        90.       100.       10.53      0.05                 D615100500021 
  90.       100.       110.       10.64      0.05                 D615100500022 
  90.       110.       120.       10.82      0.04                 D615100500023 
 100.        50.        70.       11.52      0.05                 D615100500024 
 100.        70.        90.       11.49      0.05                 D615100500025 
 100.        90.       100.       11.50      0.04                 D615100500026 
 100.       100.       110.       11.54      0.04                 D615100500027 
 100.       110.       120.       11.69      0.04                 D615100500028 
 110.        50.        70.       12.34      0.04                 D615100500029 
 110.        70.        90.       12.32      0.04                 D615100500030 
 110.        90.       100.       12.33      0.04                 D615100500031 
 110.       100.       110.       12.31      0.03                 D615100500032 
 110.       110.       120.       12.47      0.03                 D615100500033 
 120.        50.        70.       13.00      0.04                 D615100500034 
 120.        70.        90.       12.96      0.04                 D615100500035 
 120.        90.       100.       13.04      0.03                 D615100500036 
 120.       100.       110.       13.05      0.03                 D615100500037 
 120.       110.       120.       13.16      0.03                 D615100500038 
ENDDATA             32          0                                 D615100500039 
ENDSUBENT           38          0                                 D615100599999 
ENDENTRY             5          0                                 D615199999999 
