ENTRY            D6224   20250305                             D146D622400000001 
SUBENT        D6224001   20250305                             D146D622400100001 
BIB                 11         20                                 D622400100002 
TITLE      Deformation in 28Si produced via the 16O+12C reaction  D622400100003 
AUTHOR     (S.Kundu, C.Bhattacharya, S.Bhattacharya, T.K.Rana,    D622400100004 
            K.Banerjee, S.Muhkopadhayay, D.Gupta, A.Dey, R.Saha)  D622400100005 
INSTITUTE  (3INDVEC)                                              D622400100006 
REFERENCE  (J,PR/C,87,024602,2013)                                D622400100007 
FACILITY   (CYCLO,3INDVEC)                                        D622400100008 
SAMPLE     Self-supporting 12C target of thickness ~514 ug/cm2    D622400100009 
DETECTOR   (TELES,SIBAR,SIBAR) Alpha particles were detected      D622400100010 
           using a Si(SB) telescope (~10 um delta E, ~5 mm E)     D622400100011 
           with a solid angle of ~0.3 msr. The telescope was      D622400100012 
           calibrated using elastically scattered 16O from an     D622400100013 
           Au target and a 229Th-alpha source.                    D622400100014 
METHOD     (EDE)                                                  D622400100015 
ERR-ANALYS (DATA-ERR) No information on source of the uncertainty D622400100016 
STATUS     (TABLE,,S.Kundu+,J,PR/C,87,024602,2013) Fig.1          D622400100017 
HISTORY    (20150215R) Data received from S.Kundu                 D622400100018 
           (20150708C)Compiled by Gopal Mukherjee                 D622400100019 
           (20250305A) VT. Revision in 002                        D622400100020 
           (20250305D) VT. Subents 003-019 deleted, data merged   D622400100021 
           in 002                                                 D622400100022 
ENDBIB              20          0                                 D622400100023 
NOCOMMON             0          0                                 D622400100024 
ENDSUBENT           23          0                                 D622400199999 
SUBENT        D6224002   20250305                             D146D622400200001 
BIB                  2          3                                 D622400200002 
REACTION   (6-C-12(8-O-16,X)2-HE-4,,DA/DE,,REL)                   D622400200003 
HISTORY    (20250306A) VT. Data at EN=117,125 MeV for             D622400200004 
            ANG=21 degrees has been replaced with correct values. D622400200005 
ENDBIB               3          0                                 D622400200006 
NOCOMMON             0          0                                 D622400200007 
DATA                 5        560                                 D622400200008 
EN         ANG        E-CM       DATA-CM    DATA-ERR              D622400200009 
       117.        15.        4.5     2.9442     0.1654           D622400200047 
       117.        15.        5.5     3.0117     0.1718           D622400200048 
       117.        15.        6.5     2.9873     0.1748           D622400200049 
       117.        15.        7.5     3.0677     0.1803           D622400200050 
       117.        15.        8.5      2.698     0.1717           D622400200051 
       117.        15.        9.5     2.4351     0.1652           D622400200052 
       117.        15.       10.5     2.1906     0.1585           D622400200053 
       117.        15.       11.5     1.9975     0.1529           D622400200054 
       117.        15.       12.5      1.663     0.1408           D622400200055 
       117.        15.       13.5     1.4191     0.1312           D622400200056 
       117.        15.       14.5     1.1467     0.1188           D622400200057 
       117.        15.       15.5     0.9784     0.1105           D622400200058 
       117.        15.       16.5     0.8256     0.1022           D622400200059 
       117.        15.       17.5     0.7465     0.0977           D622400200060 
       117.        15.       18.5     0.5154     0.0816           D622400200061 
       117.        15.       19.5      0.468     0.0782           D622400200062 
       117.        15.       20.5     0.3191     0.0649           D622400200063 
       117.        15.       21.5     0.3063     0.0639           D622400200064 
       117.        15.       22.5     0.2128     0.0535           D622400200065 
       117.        15.       23.5     0.1716     0.0482           D622400200066 
       117.        15.       24.5      0.166     0.0476           D622400200067 
       117.        15.       25.5     0.1282      0.042           D622400200068 
       117.        15.       26.5     0.1018     0.0375           D622400200069 
       117.        15.       27.5      0.083      0.034           D622400200070 
       117.        15.       28.5     0.0818     0.0338           D622400200071 
       117.        15.       29.5     0.0436     0.0248           D622400200072 
       117.        15.       30.5     0.0402     0.0239           D622400200073 
       117.        15.       31.5     0.0356     0.0225           D622400200074 
       117.        15.       32.5     0.0215     0.0175           D622400200075 
       117.        17.        0.5     2.1393     0.2556           D622400200076 
       117.        17.        1.5    10.0653     0.7641           D622400200077 
       117.        17.        2.5    16.0919     1.0115           D622400200078 
       117.        17.        3.5    21.5672     1.2176           D622400200079 
       117.        17.        4.5    25.9133     1.3748           D622400200080 
       117.        17.        5.5    26.7639     1.4303           D622400200081 
       117.        17.        6.5    27.2467      1.471           D622400200082 
       117.        17.        7.5    26.5618     1.4759           D622400200083 
       117.        17.        8.5    23.9598     1.4212           D622400200084 
       117.        17.        9.5    21.6911     1.3685           D622400200085 
       117.        17.       10.5    19.2844     1.3041           D622400200086 
       117.        17.       11.5    16.8158     1.2293           D622400200087 
       117.        17.       12.5    14.2479     1.1412           D622400200088 
       117.        17.       13.5    11.9627     1.0538           D622400200089 
       117.        17.       14.5    10.5159      0.995           D622400200090 
       117.        17.       15.5     8.6308     0.9072           D622400200091 
       117.        17.       16.5     7.1648     0.8316           D622400200092 
       117.        17.       17.5     5.6285     0.7411           D622400200093 
       117.        17.       18.5     5.0745     0.7073           D622400200094 
       117.        17.       19.5     3.8238      0.617           D622400200095 
       117.        17.       20.5      3.379     0.5826           D622400200096 
       117.        17.       21.5     2.7508     0.5279           D622400200097 
       117.        17.       22.5     1.8496     0.4346           D622400200098 
       117.        17.       23.5     1.5499     0.3993           D622400200099 
       117.        17.       24.5     1.2724     0.3631           D622400200100 
       117.        17.       25.5     0.9156     0.3091           D622400200101 
       117.        17.       26.5     0.8349     0.2961           D622400200102 
       117.        17.       27.5     0.5157     0.2334           D622400200103 
       117.        17.       28.5     0.3104     0.1816           D622400200104 
       117.        17.       29.5     0.2934     0.1771           D622400200105 
       117.        17.       30.5     0.3313     0.1887           D622400200106 
       117.        17.       31.5     0.2045     0.1486           D622400200107 
       117.        17.       32.5     0.1585     0.1312           D622400200108 
       117.        21.        0.5    21.3933     2.8266           D622400200109 
       117.        21.        1.5    100.653     7.7819           D622400200110 
       117.        21.        2.5   160.9185     10.543           D622400200111 
       117.        21.        3.5    215.672     12.775           D622400200112 
       117.        21.        4.5   259.1334    14.4749           D622400200113 
       117.        21.        5.5   267.6385    15.0928           D622400200114 
       117.        21.        6.5   272.4673    15.5475           D622400200115 
       117.        21.        7.5    265.618    15.6184           D622400200116 
       117.        21.        8.5    239.598    15.0537           D622400200117 
       117.        21.        9.5    216.911    14.5073           D622400200118 
       117.        21.       10.5   192.8435    13.8333           D622400200119 
       117.        21.       11.5   168.1575    13.0473           D622400200120 
       117.        21.       12.5    142.479    12.1181           D622400200121 
       117.        21.       13.5    119.627    11.1945           D622400200122 
       117.        21.       14.5    105.159    10.5737           D622400200123 
       117.        21.       15.5     86.308     9.6445           D622400200124 
       117.        21.       16.5    71.6475     8.8425           D622400200125 
       117.        21.       17.5     56.285      7.883           D622400200126 
       117.        21.       18.5     50.745     7.5255           D622400200127 
       117.        21.       19.5    38.2375     6.5656           D622400200128 
       117.        21.       20.5      33.79     6.2012           D622400200129 
       117.        21.       21.5     27.508       5.62           D622400200130 
       117.        21.       22.5     18.496     4.6276           D622400200131 
       117.        21.       23.5     15.499     4.2529           D622400200132 
       117.        21.       24.5     12.724     3.8678           D622400200133 
       117.        21.       25.5     9.1555     3.2926           D622400200134 
       117.        21.       26.5      8.349     3.1548           D622400200135 
       117.        21.       27.5      5.157     2.4874           D622400200136 
       117.        21.       28.5      3.104     1.9357           D622400200137 
       117.        21.       29.5     2.9335     1.8873           D622400200138 
       117.        21.       30.5      3.313     2.0113           D622400200139 
       117.        21.       31.5     2.0445     1.5842           D622400200140 
       117.        21.       32.5      1.585     1.3985           D622400200141 
       125.        11.        0.5      0.056   3.60E-03           D622400200142 
       125.        11.        1.5     0.1362   6.75E-03           D622400200143 
       125.        11.        2.5     0.2042   8.97E-03           D622400200144 
       125.        11.        3.5     0.2765      0.011           D622400200145 
       125.        11.        4.5     0.3341     0.0125           D622400200146 
       125.        11.        5.5     0.3553     0.0133           D622400200147 
       125.        11.        6.5     0.3524     0.0135           D622400200148 
       125.        11.        7.5     0.3346     0.0134           D622400200149 
       125.        11.        8.5     0.3134     0.0132           D622400200150 
       125.        11.        9.5     0.2925     0.0129           D622400200151 
       125.        11.       10.5      0.263     0.0124           D622400200152 
       125.        11.       11.5     0.2354     0.0119           D622400200153 
       125.        11.       12.5     0.1995      0.011           D622400200154 
       125.        11.       13.5     0.1683     0.0102           D622400200155 
       125.        11.       14.5     0.1441   9.55E-03           D622400200156 
       125.        11.       15.5     0.1241   8.92E-03           D622400200157 
       125.        11.       16.5     0.0989   8.02E-03           D622400200158 
       125.        11.       17.5     0.0905   7.72E-03           D622400200159 
       125.        11.       18.5     0.0685   6.76E-03           D622400200160 
       125.        11.       19.5     0.0527   5.96E-03           D622400200161 
       125.        11.       20.5     0.0474   5.68E-03           D622400200162 
       125.        11.       21.5     0.0377   5.09E-03           D622400200163 
       125.        11.       22.5     0.0322   4.73E-03           D622400200164 
       125.        11.       23.5     0.0276   4.39E-03           D622400200165 
       125.        11.       24.5     0.0213   3.88E-03           D622400200166 
       125.        11.       25.5     0.0143   3.18E-03           D622400200167 
       125.        11.       26.5     0.0144   3.21E-03           D622400200168 
       125.        11.       27.5     0.0112   2.84E-03           D622400200169 
       125.        11.       28.5   7.81E-03   2.38E-03           D622400200170 
       125.        11.       29.5   5.84E-03   2.06E-03           D622400200171 
       125.        11.       30.5   4.73E-03   1.86E-03           D622400200172 
       125.        11.       31.5   3.57E-03   1.62E-03           D622400200173 
       125.        15.        0.5     0.5271     0.0298           D622400200174 
       125.        15.        1.5     1.3119      0.058           D622400200175 
       125.        15.        2.5     1.9998     0.0772           D622400200176 
       125.        15.        3.5     2.6825     0.0938           D622400200177 
       125.        15.        4.5     3.3102     0.1079           D622400200178 
       125.        15.        5.5     3.2466     0.1098           D622400200179 
       125.        15.        6.5     3.2203     0.1117           D622400200180 
       125.        15.        7.5     3.0467     0.1106           D622400200181 
       125.        15.        8.5     2.8145      0.108           D622400200182 
       125.        15.        9.5     2.5531     0.1042           D622400200183 
       125.        15.       10.5     2.2523      0.099           D622400200184 
       125.        15.       11.5     1.9506     0.0931           D622400200185 
       125.        15.       12.5     1.6827     0.0873           D622400200186 
       125.        15.       13.5      1.395     0.0802           D622400200187 
       125.        15.       14.5     1.1783     0.0742           D622400200188 
       125.        15.       15.5     1.0232     0.0697           D622400200189 
       125.        15.       16.5     0.8411     0.0636           D622400200190 
       125.        15.       17.5     0.6989     0.0583           D622400200191 
       125.        15.       18.5     0.5395     0.0515           D622400200192 
       125.        15.       19.5     0.4578     0.0477           D622400200193 
       125.        15.       20.5     0.3853      0.044           D622400200194 
       125.        15.       21.5     0.3013     0.0391           D622400200195 
       125.        15.       22.5     0.2553     0.0361           D622400200196 
       125.        15.       23.5     0.1916     0.0314           D622400200197 
       125.        15.       24.5     0.1524     0.0281           D622400200198 
       125.        15.       25.5       0.13     0.0261           D622400200199 
       125.        15.       26.5     0.0911     0.0219           D622400200200 
       125.        15.       27.5     0.0809     0.0207           D622400200201 
       125.        15.       28.5     0.0534     0.0169           D622400200202 
       125.        15.       29.5     0.0528     0.0168           D622400200203 
       125.        15.       30.5     0.0332     0.0134           D622400200204 
       125.        15.       31.5     0.0203     0.0105           D622400200205 
       125.        17.        0.5     1.5791     0.1421           D622400200206 
       125.        17.        1.5    12.4465     0.5124           D622400200207 
       125.        17.        2.5    19.5196     0.6873           D622400200208 
       125.        17.        3.5    25.7671     0.8266           D622400200209 
       125.        17.        4.5    30.3023     0.9268           D622400200210 
       125.        17.        5.5    32.1293     0.9794           D622400200211 
       125.        17.        6.5    30.7844      0.979           D622400200212 
       125.        17.        7.5    29.4946     0.9752           D622400200213 
       125.        17.        8.5     27.119     0.9491           D622400200214 
       125.        17.        9.5    24.2524     0.9093           D622400200215 
       125.        17.       10.5     21.538     0.8667           D622400200216 
       125.        17.       11.5    18.4614     0.8106           D622400200217 
       125.        17.       12.5    15.7207     0.7548           D622400200218 
       125.        17.       13.5    13.5316     0.7061           D622400200219 
       125.        17.       14.5    11.1494     0.6458           D622400200220 
       125.        17.       15.5     9.1451     0.5889           D622400200221 
       125.        17.       16.5     8.2015     0.5613           D622400200222 
       125.        17.       17.5     6.5131     0.5032           D622400200223 
       125.        17.       18.5     5.1005     0.4477           D622400200224 
       125.        17.       19.5     4.3206     0.4142           D622400200225 
       125.        17.       20.5     3.5158     0.3754           D622400200226 
       125.        17.       21.5      2.751     0.3336           D622400200227 
       125.        17.       22.5      2.294     0.3059           D622400200228 
       125.        17.       23.5     1.7389     0.2674           D622400200229 
       125.        17.       24.5     1.3985     0.2407           D622400200230 
       125.        17.       25.5      1.121     0.2163           D622400200231 
       125.        17.       26.5     0.7919     0.1824           D622400200232 
       125.        17.       27.5     0.7347     0.1763           D622400200233 
       125.        17.       28.5     0.5837     0.1576           D622400200234 
       125.        17.       29.5     0.4687     0.1417           D622400200235 
       125.        17.       30.5     0.3802      0.128           D622400200236 
       125.        17.       31.5     0.2632     0.1068           D622400200237 
       125.        17.       32.5     0.1655     0.0849           D622400200238 
       125.        21.        0.5    15.7913     1.5792           D622400200239 
       125.        21.        1.5   124.4648     6.2192           D622400200240 
       125.        21.        2.5    195.196     8.1061           D622400200241 
       125.        21.        3.5   257.6713      9.679           D622400200242 
       125.        21.        4.5   303.0225    10.8121           D622400200243 
       125.        21.        5.5   321.2927    11.3983           D622400200244 
       125.        21.        6.5   307.8435    11.3745           D622400200245 
       125.        21.        7.5    294.946    11.3157           D622400200246 
       125.        21.        8.5     271.19    11.0025           D622400200247 
       125.        21.        9.5    242.524    10.5317           D622400200248 
       125.        21.       10.5   215.3795    10.0317           D622400200249 
       125.        21.       11.5   184.6135     9.3768           D622400200250 
       125.        21.       12.5    157.207     8.7276           D622400200251 
       125.        21.       13.5   135.3155     8.1607           D622400200252 
       125.        21.       14.5    111.494     7.4607           D622400200253 
       125.        21.       15.5    91.4505     6.8014           D622400200254 
       125.        21.       16.5     82.015     6.4801           D622400200255 
       125.        21.       17.5    65.1305     5.8072           D622400200256 
       125.        21.       18.5    51.0045     5.1659           D622400200257 
       125.        21.       19.5    43.2055     4.7779           D622400200258 
       125.        21.       20.5     35.158     4.3298           D622400200259 
       125.        21.       21.5    27.5095     3.8466           D622400200260 
       125.        21.       22.5    22.9395     3.5269           D622400200261 
       125.        21.       23.5     17.389     3.0825           D622400200262 
       125.        21.       24.5     13.985     2.7745           D622400200263 
       125.        21.       25.5      11.21     2.4926           D622400200264 
       125.        21.       26.5      7.919     2.1019           D622400200265 
       125.        21.       27.5      7.347     2.0309           D622400200266 
       125.        21.       28.5      5.837     1.8157           D622400200267 
       125.        21.       29.5     4.6865     1.6316           D622400200268 
       125.        21.       30.5      3.802     1.4736           D622400200269 
       125.        21.       31.5      2.632     1.2293           D622400200270 
       125.        21.       32.5     1.6545     0.9771           D622400200271 
       145.        11.        0.5     0.0664   4.30E-03           D622400200272 
       145.        11.        1.5     0.1415   7.51E-03           D622400200273 
       145.        11.        2.5     0.2136       0.01           D622400200274 
       145.        11.        3.5     0.2542     0.0115           D622400200275 
       145.        11.        4.5     0.2929     0.0129           D622400200276 
       145.        11.        5.5     0.3292      0.014           D622400200277 
       145.        11.        6.5     0.3113      0.014           D622400200278 
       145.        11.        7.5     0.3037     0.0141           D622400200279 
       145.        11.        8.5     0.2888     0.0139           D622400200280 
       145.        11.        9.5     0.2754     0.0138           D622400200281 
       145.        11.       10.5     0.2436     0.0132           D622400200282 
       145.        11.       11.5     0.2218     0.0127           D622400200283 
       145.        11.       12.5     0.1987     0.0121           D622400200284 
       145.        11.       13.5     0.1696     0.0113           D622400200285 
       145.        11.       14.5     0.1518     0.0108           D622400200286 
       145.        11.       15.5     0.1221   9.75E-03           D622400200287 
       145.        11.       16.5     0.1089   9.27E-03           D622400200288 
       145.        11.       17.5     0.0944   8.68E-03           D622400200289 
       145.        11.       18.5     0.0818   8.13E-03           D622400200290 
       145.        11.       19.5     0.0619   7.11E-03           D622400200291 
       145.        11.       20.5     0.0559   6.80E-03           D622400200292 
       145.        11.       21.5      0.045   6.13E-03           D622400200293 
       145.        11.       22.5     0.0384   5.69E-03           D622400200294 
       145.        11.       23.5     0.0308   5.11E-03           D622400200295 
       145.        11.       24.5     0.0261   4.73E-03           D622400200296 
       145.        11.       25.5     0.0224   4.40E-03           D622400200297 
       145.        11.       26.5     0.0167   3.81E-03           D622400200298 
       145.        11.       27.5     0.0133   3.42E-03           D622400200299 
       145.        11.       28.5     0.0107   3.07E-03           D622400200300 
       145.        11.       29.5   6.46E-03   2.40E-03           D622400200301 
       145.        15.        0.5     0.6174     0.0403           D622400200302 
       145.        15.        1.5     1.3232     0.0747           D622400200303 
       145.        15.        2.5     1.9679     0.0982           D622400200304 
       145.        15.        3.5     2.3783     0.1133           D622400200305 
       145.        15.        4.5     2.6853     0.1248           D622400200306 
       145.        15.        5.5     3.0176     0.1359           D622400200307 
       145.        15.        6.5     2.8005     0.1339           D622400200308 
       145.        15.        7.5     2.6986     0.1339           D622400200309 
       145.        15.        8.5     2.5187     0.1314           D622400200310 
       145.        15.        9.5     2.3753     0.1294           D622400200311 
       145.        15.       10.5     2.1578     0.1248           D622400200312 
       145.        15.       11.5     1.8652     0.1173           D622400200313 
       145.        15.       12.5      1.637     0.1109           D622400200314 
       145.        15.       13.5     1.3902     0.1031           D622400200315 
       145.        15.       14.5     1.1944     0.0964           D622400200316 
       145.        15.       15.5     1.0525     0.0911           D622400200317 
       145.        15.       16.5     0.8597     0.0829           D622400200318 
       145.        15.       17.5     0.7616     0.0785           D622400200319 
       145.        15.       18.5      0.642     0.0725           D622400200320 
       145.        15.       19.5     0.5494     0.0675           D622400200321 
       145.        15.       20.5     0.4105     0.0586           D622400200322 
       145.        15.       21.5     0.3654     0.0556           D622400200323 
       145.        15.       22.5     0.2859     0.0494           D622400200324 
       145.        15.       23.5     0.2363     0.0451           D622400200325 
       145.        15.       24.5      0.215     0.0432           D622400200326 
       145.        15.       25.5     0.1849     0.0402           D622400200327 
       145.        15.       26.5     0.1425     0.0354           D622400200328 
       145.        15.       27.5     0.1169     0.0322           D622400200329 
       145.        15.       28.5     0.0859     0.0277           D622400200330 
       145.        15.       29.5     0.0718     0.0254           D622400200331 
       145.        15.       30.5     0.0415     0.0194           D622400200332 
       145.        17.        0.5        0.0        0.0           D622400200333 
       145.        17.        1.5    10.5075     0.6498           D622400200334 
       145.        17.        2.5    19.9351     0.9563           D622400200335 
       145.        17.        3.5      24.06        1.1           D622400200336 
       145.        17.        4.5    26.9948     1.2053           D622400200337 
       145.        17.        5.5    29.7792     1.2999           D622400200338 
       145.        17.        6.5    27.2185     1.2697           D622400200339 
       145.        17.        7.5    26.0678     1.2651           D622400200340 
       145.        17.        8.5    23.8024     1.2275           D622400200341 
       145.        17.        9.5    22.0822     1.1982           D622400200342 
       145.        17.       10.5    19.6442     1.1435           D622400200343 
       145.        17.       11.5    17.5108      1.091           D622400200344 
       145.        17.       12.5    15.5711     1.0385           D622400200345 
       145.        17.       13.5    12.9673     0.9558           D622400200346 
       145.        17.       14.5    11.2408     0.8969           D622400200347 
       145.        17.       15.5     9.6704     0.8379           D622400200348 
       145.        17.       16.5     8.0168      0.768           D622400200349 
       145.        17.       17.5     6.9789     0.7209           D622400200350 
       145.        17.       18.5     5.6273     0.6511           D622400200351 
       145.        17.       19.5     4.6349      0.594           D622400200352 
       145.        17.       20.5     3.9121     0.5485           D622400200353 
       145.        17.       21.5     3.5056     0.5217           D622400200354 
       145.        17.       22.5     2.9472     0.4804           D622400200355 
       145.        17.       23.5     2.3407     0.4299           D622400200356 
       145.        17.       24.5     1.7674     0.3751           D622400200357 
       145.        17.       25.5     1.5674     0.3546           D622400200358 
       145.        17.       26.5     1.3005     0.3241           D622400200359 
       145.        17.       27.5     0.9315     0.2753           D622400200360 
       145.        17.       28.5     0.7774     0.2523           D622400200361 
       145.        17.       29.5     0.6836     0.2373           D622400200362 
       145.        17.       30.5     0.4391     0.1908           D622400200363 
       145.        19.        0.5        0.0        0.0           D622400200364 
       145.        19.        1.5    101.706     6.6399           D622400200365 
       145.        19.        2.5   177.6722     9.2362           D622400200366 
       145.        19.        3.5   214.6775    10.5897           D622400200367 
       145.        19.        4.5    246.493    11.7153           D622400200368 
       145.        19.        5.5   263.2817    12.4165           D622400200369 
       145.        19.        6.5   255.5843    12.4881           D622400200370 
       145.        19.        7.5   246.1312    12.4687           D622400200371 
       145.        19.        8.5   215.9204    11.8528           D622400200372 
       145.        19.        9.5   204.6229    11.6885           D622400200373 
       145.        19.       10.5   180.0375    11.0896           D622400200374 
       145.        19.       11.5   156.2262    10.4359           D622400200375 
       145.        19.       12.5   133.6447     9.7411           D622400200376 
       145.        19.       13.5   123.6047     9.4463           D622400200377 
       145.        19.       14.5   102.1296      8.652           D622400200378 
       145.        19.       15.5    86.2624     8.0073           D622400200379 
       145.        19.       16.5    75.4003     7.5346           D622400200380 
       145.        19.       17.5    63.9873     6.9827           D622400200381 
       145.        19.       18.5    53.7853     6.4376           D622400200382 
       145.        19.       19.5    43.8042       5.84           D622400200383 
       145.        19.       20.5    35.2243     5.2626           D622400200384 
       145.        19.       21.5    29.9901     4.8783           D622400200385 
       145.        19.       22.5     23.715     4.3568           D622400200386 
       145.        19.       23.5    20.5751     4.0748           D622400200387 
       145.        19.       24.5    16.8498     3.7019           D622400200388 
       145.        19.       25.5    13.9264     3.3779           D622400200389 
       145.        19.       26.5    11.3961     3.0664           D622400200390 
       145.        19.       27.5      7.972     2.5733           D622400200391 
       145.        19.       28.5     5.0976     2.0643           D622400200392 
       145.        24.        2.5    1375.16    83.6679           D622400200393 
       145.        24.        3.5   1902.119   100.6763           D622400200394 
       145.        24.        4.5   2143.225   109.4794           D622400200395 
       145.        24.        5.5   2242.586   114.3298           D622400200396 
       145.        24.        6.5     2255.9   116.7005           D622400200397 
       145.        24.        7.5   2096.726   114.2168           D622400200398 
       145.        24.        8.5   1919.461   110.7239           D622400200399 
       145.        24.        9.5   1720.552   106.0465           D622400200400 
       145.        24.       10.5   1513.657   100.4925           D622400200401 
       145.        24.       11.5   1301.601    94.0505           D622400200402 
       145.        24.       12.5   1145.513    88.9701           D622400200403 
       145.        24.       13.5   1011.797    84.2542           D622400200404 
       145.        24.       14.5   835.3351    77.0905           D622400200405 
       145.        24.       15.5     739.56    73.0038           D622400200406 
       145.        24.       16.5   627.8475    67.6656           D622400200407 
       145.        24.       17.5     497.33    60.5569           D622400200408 
       145.        24.       18.5   444.2873    57.5325           D622400200409 
       145.        24.       19.5   355.5055    51.7133           D622400200410 
       145.        24.       20.5   312.5691    48.7105           D622400200411 
       145.        24.       21.5   247.7654    43.5538           D622400200412 
       145.        24.       22.5    198.294    39.1213           D622400200413 
       145.        24.       23.5   164.0009    35.7142           D622400200414 
       145.        24.       24.5    132.372    32.2025           D622400200415 
       145.        24.       25.5   116.8555    30.3607           D622400200416 
       145.        24.       26.5     82.542    25.6005           D622400200417 
       145.        24.       27.5     63.919    22.5988           D622400200418 
       145.        24.       28.5    59.1727    21.8086           D622400200419 
       145.        24.       29.5     36.369    17.1465           D622400200420 
       145.        24.       30.5     30.877    15.8422           D622400200421 
       145.        29.        3.5   17785.11   943.5407           D622400200422 
       145.        29.        4.5   19571.16   995.8316           D622400200423 
       145.        29.        5.5   19932.92  1017.6435           D622400200424 
       145.        29.        6.5   20080.75  1034.3789           D622400200425 
       145.        29.        7.5   18488.34  1004.1664           D622400200426 
       145.        29.        8.5   16850.65   968.8555           D622400200427 
       145.        29.        9.5   15541.42   939.3971           D622400200428 
       145.        29.       10.5   13561.68   885.1661           D622400200429 
       145.        29.       11.5   11533.82   822.7749           D622400200430 
       145.        29.       12.5   9959.761   770.1099           D622400200431 
       145.        29.       13.5   8666.791   723.1646           D622400200432 
       145.        29.       14.5   7178.337    662.183           D622400200433 
