ENTRY            D0265   20050127                             D039D026500000001 
SUBENT        D0265001   20050127                             D039D026500100001 
BIB                 10         23                                 D026500100002 
TITLE      A Study of the Cr52(d,p)Cr53 Reaction                  D026500100003 
AUTHOR     (P.T.Andrews,R.W.Clifft,L.L.Green,J.F.Sharpey-Schafer) D026500100004 
INSTITUTE  (2UK LVP)                                              D026500100005 
REFERENCE  (J,NP,56,465,1964)                                     D026500100006 
FACILITY   (CYCLO)                                                D026500100007 
SAMPLE     The 52Cr targets were self-supporting and made from    D026500100008 
           material containing 99.97% 52Cr.                       D026500100009 
DETECTOR   (SIBAR) Silicon surface barrier were used to detect theD026500100010 
           protons from the (d,p) reaction and a thin solid-state D026500100011 
           counter used to identify the particles thus eliminatingD026500100012 
           the background due to elastic deuteron scattering.     D026500100013 
ERR-ANALYS (DATA-ERR) The errors in the measurements of the       D026500100014 
           differential cross-sections were almost entirely due   D026500100015 
           to counting statistics except in the cases where there D026500100016 
           was overlapping of the proton peaks. Where this        D026500100017 
           occurred, as in the case of the 3.61 MeV and 3.70 MeV  D026500100018 
           states, the biggest error was the estimated error in   D026500100019 
           separating the contribution to each proton group from  D026500100020 
           the region of overlap. Estimates of background contri- D026500100021 
           butions in the spectra gave values that were much      D026500100022 
           smaller than the errors due to counting statistics.    D026500100023 
STATUS     (TABLE) Tables from the article                        D026500100024 
HISTORY    (20050127C) SD                                         D026500100025 
ENDBIB              23          0                                 D026500100026 
NOCOMMON             0          0                                 D026500100027 
ENDSUBENT           26          0                                 D026500199999 
SUBENT        D0265002   20050127                             D039D026500200001 
BIB                  2          2                                 D026500200002 
REACTION   (24-CR-52(D,P)24-CR-53,PAR,DA,,REL)                    D026500200003 
EN-SEC     (E-LVL,24-CR-53)                                       D026500200004 
ENDBIB               2          0                                 D026500200005 
NOCOMMON             0          0                                 D026500200006 
DATA                 5        354                                 D026500200007 
EN         E-LVL      ANG        DATA       DATA-ERR              D026500200008 
   7.0       0.57      111.10       314.        8.                D026500200063 
   7.0       0.57      116.06       302.        7.                D026500200064 
   7.0       0.57      121.02       269.        7.                D026500200065 
   7.0       0.57      125.96       235.        5.                D026500200066 
   7.0       0.57      130.90       208.        6.                D026500200067 
   7.0       0.57      135.83       181.        5.                D026500200068 
   7.0       0.57      140.75       167.        4.                D026500200069 
   7.0       0.57      145.67       179.        5.                D026500200070 
   7.0       0.57      150.59       187.        4.                D026500200071 
   7.0       0.57      155.50       213.        5.                D026500200072 
   7.0       0.57      160.40       245.        4.                D026500200073 
   7.0       0.57      165.30       242.        4.                D026500200074 
   7.0       0.57      170.20       255.        5.                D026500200075 
   7.0       1.0        15.31       459.       45.                D026500200076 
   7.0       1.0        20.41       579.       35.                D026500200077 
   7.0       1.0        25.50       666.       38.                D026500200078 
   7.0       1.0        30.60       783.       33.                D026500200079 
   7.0       1.0        35.69       965.       23.                D026500200080 
   7.0       1.0        40.77      1074.       29.                D026500200081 
   7.0       1.0        45.84      1033.       20.                D026500200082 
   7.0       1.0        50.92       938.       26.                D026500200083 
   7.0       1.0        55.98       770.       18.                D026500200084 
   7.0       1.0        61.03       597.       18.                D026500200085 
   7.0       1.0        66.08       476.       16.                D026500200086 
   7.0       1.0        71.12       398.       10.                D026500200087 
   7.0       1.0        76.15       426.       13.                D026500200088 
   7.0       1.0        81.18       418.        9.                D026500200089 
   7.0       1.0        86.19       432.       12.                D026500200090 
   7.0       1.0        91.19       371.        9.                D026500200091 
   7.0       1.0        96.19       350.        9.                D026500200092 
   7.0       1.0       101.18       299.        8.                D026500200093 
   7.0       1.0       106.15       255.        8.                D026500200094 
   7.0       1.0       111.12       208.        7.                D026500200095 
   7.0       1.0       116.08       193.        5.                D026500200096 
   7.0       1.0       121.03       170.        5.                D026500200097 
   7.0       1.0       125.98       160.        4.                D026500200098 
   7.0       1.0       130.92       160.        5.                D026500200099 
   7.0       1.0       135.84       158.        4.                D026500200100 
   7.0       1.0       140.77       155.        4.                D026500200101 
   7.0       1.0       145.69       145.        4.                D026500200102 
   7.0       1.0       150.60       141.        4.                D026500200103 
   7.0       1.0       155.50       128.        4.                D026500200104 
   7.0       1.0       160.41       121.        3.                D026500200105 
   7.0       1.0       165.31        92.        3.                D026500200106 
   7.0       1.0       170.21        74.        3.                D026500200107 
   7.0       2.32       10.22      6292.      234.                D026500200108 
   7.0       2.32       15.33      8821.      197.                D026500200109 
   7.0       2.32       20.43     10509.      150.                D026500200110 
   7.0       2.32       25.54      9035.      140.                D026500200111 
   7.0       2.32       30.64      7141.       99.                D026500200112 
   7.0       2.32       35.73      4566.       51.                D026500200113 
   7.0       2.32       40.82      3464.       53.                D026500200114 
   7.0       2.32       45.90      2975.       33.                D026500200115 
   7.0       2.32       50.97      3218.       49.                D026500200116 
   7.0       2.32       56.04      3227.       37.                D026500200117 
   7.0       2.32       61.10      3275.       42.                D026500200118 
   7.0       2.32       66.15      2984.       41.                D026500200119 
   7.0       2.32       71.19      2200.       24.                D026500200120 
   7.0       2.32       76.23      1825.       27.                D026500200121 
   7.0       2.32       81.25      1426.       17.                D026500200122 
   7.0       2.32       86.27      1247.       20.                D026500200123 
   7.0       2.32       91.27      1080.       15.                D026500200124 
   7.0       2.32       96.27      1060.       15.                D026500200125 
   7.0       2.32      101.25      1024.       14.                D026500200126 
   7.0       2.32      106.23       987.       15.                D026500200127 
   7.0       2.32      111.19       985.       14.                D026500200128 
   7.0       2.32      116.15       900.       11.                D026500200129 
   7.0       2.32      121.10       821.       12.                D026500200130 
   7.0       2.32      126.04       738.       10.                D026500200131 
   7.0       2.32      130.97       684.       10.                D026500200132 
   7.0       2.32      135.90       612.        9.                D026500200133 
   7.0       2.32      140.82       601.        8.                D026500200134 
   7.0       2.32      145.73       570.        8.                D026500200135 
   7.0       2.32      150.64       551.        7.                D026500200136 
   7.0       2.32      155.54       518.        8.                D026500200137 
   7.0       2.32      160.43       543.        7.                D026500200138 
   7.0       2.32      165.33       499.        6.                D026500200139 
   7.0       2.32      170.22       467.        7.                D026500200140 
   8.0       0.0        10.20     16195.      350.                D026500200141 
   8.0       0.0        15.30     22080.      240.                D026500200142 
   8.0       0.0        20.40     21426.      200.                D026500200143 
   8.0       0.0        25.49     15772.      160.                D026500200144 
   8.0       0.0        30.59      9063.      140.                D026500200145 
   8.0       0.0        35.67      4979.       60.                D026500200146 
   8.0       0.0        40.75      4114.       60.                D026500200147 
   8.0       0.0        48.83      5133.       60.                D026500200148 
   8.0       0.0        50.90      5421.       70.                D026500200149 
   8.0       0.0        55.96      5338.       80.                D026500200150 
   8.0       0.0        61.01      4425.       60.                D026500200151 
   8.0       0.0        66.06      3380.       40.                D026500200152 
   8.0       0.0        71.10      2375.       40.                D026500200153 
   8.0       0.0        76.13      1840.       30.                D026500200154 
   8.0       0.0        81.15      1558.       30.                D026500200155 
   8.0       0.0        86.17      1405.       25.                D026500200156 
   8.0       0.0        91.17      1233.       25.                D026500200157 
   8.0       0.0        96.17      1071.       20.                D026500200158 
   8.0       0.0       101.15       963.       15.                D026500200159 
   8.0       0.0       106.13       793.       15.                D026500200160 
   8.0       0.0       111.10       762.       15.                D026500200161 
   8.0       0.0       116.06       685.       15.                D026500200162 
   8.0       0.0       121.01       730.       15.                D026500200163 
   8.0       0.0       125.96       738.       15.                D026500200164 
   8.0       0.0       130.90       758.       15.                D026500200165 
   8.0       0.0       138.83       726.       15.                D026500200166 
   8.0       0.0       140.75       686.       15.                D026500200167 
   8.0       0.0       145.67       652.       15.                D026500200168 
   8.0       0.0       150.59       628.       15.                D026500200169 
   8.0       0.0       155.49       575.       15.                D026500200170 
   8.0       0.0       160.40       512.       15.                D026500200171 
   8.0       0.0       165.30       462.       15.                D026500200172 
   8.0       0.0       170.20       403.       15.                D026500200173 
   8.0       0.57       10.21      7205.      240.                D026500200174 
   8.0       0.57       15.13      9467.      160.                D026500200175 
   8.0       0.57       20.41      9264.      110.                D026500200176 
   8.0       0.57       25.50      6661.       90.                D026500200177 
   8.0       0.57       30.60      3543.       90.                D026500200178 
   8.0       0.57       35.68      1732.       40.                D026500200179 
   8.0       0.57       40.77      1321.       40.                D026500200180 
   8.0       0.57       45.84      1704.       40.                D026500200181 
   8.0       0.57       50.91      2059.       50.                D026500200182 
   8.0       0.57       55.98      2015.       50.                D026500200183 
   8.0       0.57       61.03      1786.       45.                D026500200184 
   8.0       0.57       66.08      1299.       25.                D026500200185 
   8.0       0.57       71.12       909.       25.                D026500200186 
   8.0       0.57       76.15       621.       20.                D026500200187 
   8.0       0.57       81.17       440.       20.                D026500200188 
   8.0       0.57       86.19       368.       15.                D026500200189 
   8.0       0.57       91.19       340.       15.                D026500200190 
   8.0       0.57       96.19       333.       10.                D026500200191 
   8.0       0.57      101.17       383.       10.                D026500200192 
   8.0       0.57      106.15       383.       10.                D026500200193 
   8.0       0.57      111.12       381.       10.                D026500200194 
   8.0       0.57      116.08       331.       10.                D026500200195 
   8.0       0.57      121.03       306.        8.                D026500200196 
   8.0       0.57      125.98       232.        6.                D026500200197 
   8.0       0.57      130.91       167.        6.                D026500200198 
   8.0       0.57      135.84       149.        6.                D026500200199 
   8.0       0.57      140.77       133.        6.                D026500200200 
   8.0       0.57      145.68       156.        6.                D026500200201 
   8.0       0.57      150.60       201.        6.                D026500200202 
   8.0       0.57      155.50       260.        7.                D026500200203 
   8.0       0.57      160.41       294.        7.                D026500200204 
   8.0       0.57      165.31       328.       10.                D026500200205 
   8.0       0.57      170.21       373.       10.                D026500200206 
   8.0       1.0        15.32       665.       50.                D026500200207 
   8.0       1.0        20.42       877.       35.                D026500200208 
   8.0       1.0        25.51      1109.       35.                D026500200209 
   8.0       1.0        30.61      1383.       55.                D026500200210 
   8.0       1.0        35.70      1596.       35.                D026500200211 
   8.0       1.0        40.78      1683.       35.                D026500200212 
   8.0       1.0        45.86      1591.       35.                D026500200213 
   8.0       1.0        50.93      1162.       35.                D026500200214 
   8.0       1.0        56.00       864.       30.                D026500200215 
   8.0       1.0        61.05       676.       25.                D026500200216 
   8.0       1.0        66.10       596.       15.                D026500200217 
   8.0       1.0        71.14       571.       15.                D026500200218 
   8.0       1.0        76.17       580.       15.                D026500200219 
   8.0       1.0        81.20       617.       15.                D026500200220 
   8.0       1.0        86.21       571.       15.                D026500200221 
   8.0       1.0        91.22       522.       15.                D026500200222 
   8.0       1.0        96.21       451.       12.                D026500200223 
   8.0       1.0       101.20       372.       10.                D026500200224 
   8.0       1.0       106.17       296.        9.                D026500200225 
   8.0       1.0       111.14       237.        7.                D026500200226 
   8.0       1.0       116.10       219.        6.                D026500200227 
   8.0       1.0       121.05       206.        6.                D026500200228 
   8.0       1.0       126.00       196.        5.                D026500200229 
   8.0       1.0       130.93       208.        6.                D026500200230 
   8.0       1.0       135.86       226.        5.                D026500200231 
   8.0       1.0       140.78       229.        6.                D026500200232 
   8.0       1.0       145.70       220.        6.                D026500200233 
   8.0       1.0       150.61       227.        6.                D026500200234 
   8.0       1.0       155.51       201.        6.                D026500200235 
   8.0       1.0       160.42       188.        6.                D026500200236 
   8.0       1.0       165.32       163.        5.                D026500200237 
   8.0       1.0       170.21       147.        5.                D026500200238 
   8.0       2.32       10.22     10959.      260.                D026500200239 
   8.0       2.32       15.33     16722.      200.                D026500200240 
   8.0       2.32       20.44     16791.      200.                D026500200241 
   8.0       2.32       25.54     13784.      200.                D026500200242 
   8.0       2.32       30.64      9176.      140.                D026500200243 
   8.0       2.32       35.74      5627.       80.                D026500200244 
   8.0       2.32       40.83      4604.       70.                D026500200245 
   8.0       2.32       45.91      4998.       70.                D026500200246 
   8.0       2.32       50.99      5637.      100.                D026500200247 
   8.0       2.32       56.05      5237.       80.                D026500200248 
   8.0       2.32       61.11      4342.       60.                D026500200249 
   8.0       2.32       61.17      3469.       50.                D026500200250 
   8.0       2.32       71.21      2662.       40.                D026500200251 
   8.0       2.32       76.24      1987.       30.                D026500200252 
   8.0       2.32       81.27      1634.       30.                D026500200253 
   8.0       2.32       86.28      1489.       30.                D026500200254 
   8.0       2.32       91.29      1387.       25.                D026500200255 
   8.0       2.32       96.28      1339.       25.                D026500200256 
   8.0       2.32      101.27      1360.       25.                D026500200257 
   8.0       2.32      106.24      1224.       20.                D026500200258 
   8.0       2.32      111.17      1007.       20.                D026500200259 
   8.0       2.32      111.21      1118.       20.                D026500200260 
   8.0       2.32      121.11       905.       17.                D026500200261 
   8.0       2.32      126.05       761.       17.                D026500200262 
   8.0       2.32      130.99       723.       14.                D026500200263 
   8.0       2.32      135.91       708.       14.                D026500200264 
   8.0       2.32      140.83       715.       12.                D026500200265 
   8.0       2.32      145.74       701.       12.                D026500200266 
   8.0       2.32      150.64       680.       12.                D026500200267 
   8.0       2.32      155.54       690.       10.                D026500200268 
   8.0       2.32      160.44       655.       10.                D026500200269 
   8.0       2.32      165.33       662.       10.                D026500200270 
   8.0       2.32      170.22       687.       10.                D026500200271 
   8.0       3.61       10.24     16734.      450.                D026500200272 
   8.0       3.61       15.35     17867.      500.                D026500200273 
   8.0       3.61       20.47     16454.      330.                D026500200274 
   8.0       3.61       25.58     12626.      250.                D026500200275 
   8.0       3.61       30.68      9347.      160.                D026500200276 
   8.0       3.61       35.78      6018.      130.                D026500200277 
   8.0       3.61       40.88      4797.      150.                D026500200278 
   8.0       3.61       45.97      4652.      100.                D026500200279 
   8.0       3.61       56.12      5415.       90.                D026500200280 
   8.0       3.61       61.18      4255.      200.                D026500200281 
   8.0       3.61       66.24      3782.       70.                D026500200282 
   8.0       3.61       71.29      2990.       80.                D026500200283 
   8.0       3.61       76.32      2385.       50.                D026500200284 
   8.0       3.61       81.35      1775.       50.                D026500200285 
   8.0       3.61       86.36      1443.       40.                D026500200286 
   8.0       3.61       91.37      1242.       35.                D026500200287 
   8.0       3.61       96.36      1125.       30.                D026500200288 
   8.0       3.61      101.35      1013.       40.                D026500200289 
   8.0       3.61      106.32      1105.       30.                D026500200290 
   8.0       3.61      111.29      1087.       40.                D026500200291 
   8.0       3.61      116.24      1167.       30.                D026500200292 
   8.0       3.61      121.18      1094.       25.                D026500200293 
   8.0       3.61      126.12      1095.       30.                D026500200294 
   8.0       3.61      131.12       998.       20.                D026500200295 
   8.0       3.61      135.97       900.       30.                D026500200296 
   8.0       3.61      140.88       768.       20.                D026500200297 
   8.0       3.61      145.78       609.       20.                D026500200298 
   8.0       3.61      150.68       489.       20.                D026500200299 
   8.0       3.61      155.58       472.       20.                D026500200300 
   8.0       3.61      160.47       309.       20.                D026500200301 
   8.0       3.61      165.35       364.       20.                D026500200302 
   8.0       3.61      170.24       302.       20.                D026500200303 
   8.0       3.70       15.36      1643.      300.                D026500200304 
   8.0       3.70       20.47      1406.      150.                D026500200305 
   8.0       3.70       25.58      1959.      200.                D026500200306 
   8.0       3.70       30.69      1645.      160.                D026500200307 
   8.0       3.70       35.79      2428.      120.                D026500200308 
   8.0       3.70       40.88      2871.      150.                D026500200309 
   8.0       3.70       45.97      3324.       85.                D026500200310 
   8.0       3.70       51.05      3352.      170.                D026500200311 
   8.0       3.70       61.19      2824.      200.                D026500200312 
   8.0       3.70       66.25      2251.       60.                D026500200313 
   8.0       3.70       71.29      1867.       80.                D026500200314 
   8.0       3.70       76.33      1577.       50.                D026500200315 
   8.0       3.70       81.35      1643.       50.                D026500200316 
   8.0       3.70       86.37      1564.       45.                D026500200317 
   8.0       3.70       91.37      1728.       40.                D026500200318 
   8.0       3.70       96.37      1668.       35.                D026500200319 
   8.0       3.70      101.35      1649.       40.                D026500200320 
   8.0       3.70      106.33      1551.       30.                D026500200321 
   8.0       3.70      111.29      1472.       40.                D026500200322 
   8.0       3.70      116.25      1179.       30.                D026500200323 
   8.0       3.70      121.19      1112.       25.                D026500200324 
   8.0       3.70      126.13       898.       30.                D026500200325 
   8.0       3.70      131.05       772.       20.                D026500200326 
   8.0       3.70      135.97       639.       30.                D026500200327 
   8.0       3.70      140.88       642.       20.                D026500200328 
   8.0       3.70      145.79       612.       20.                D026500200329 
   8.0       3.70      150.69       588.       20.                D026500200330 
   8.0       3.70      155.58       720.       20.                D026500200331 
   8.0       3.70      160.47       690.       20.                D026500200332 
   8.0       3.70      165.36       694.       20.                D026500200333 
   8.0       3.70      170.24       725.       20.                D026500200334 
   8.0       4.12       10.24      4580.      480.                D026500200335 
   8.0       4.12       15.36      5490.      270.                D026500200336 
   8.0       4.12       20.48      6270.      330.                D026500200337 
   8.0       4.12       25.59      7090.      200.                D026500200338 
   8.0       4.12       30.70      6960.      140.                D026500200339 
   8.0       4.12       35.81      5590.      120.                D026500200340 
   8.0       4.12       56.15      1858.       60.                D026500200341 
   8.0       4.12       61.22      1768.      100.                D026500200342 
   8.0       4.12       66.27      1734.       60.                D026500200343 
   8.0       4.12       71.32      1886.       80.                D026500200344 
   8.0       4.12       81.38      1334.       50.                D026500200345 
   8.0       4.12       86.40      1127.       40.                D026500200346 
   8.0       4.12       91.40       863.       30.                D026500200347 
   8.0       4.12       96.40       646.       20.                D026500200348 
   8.0       4.12      101.38       541.       50.                D026500200349 
   8.0       4.12      106.36       533.       15.                D026500200350 
   8.0       4.12      111.32       548.       25.                D026500200351 
   8.0       4.12      116.27       541.       20.                D026500200352 
   8.0       4.12      121.22       521.       30.                D026500200353 
   8.0       4.12      126.15       521.       20.                D026500200354 
   8.0       4.12      131.08       497.       20.                D026500200355 
   8.0       4.12      135.99       452.       20.                D026500200356 
   8.0       4.12      140.90       395.       15.                D026500200357 
   8.0       4.12      145.81       373.       15.                D026500200358 
   8.0       4.12      150.70       376.       15.                D026500200359 
   8.0       4.12      155.59       409.       20.                D026500200360 
   8.0       4.12      160.48       341.       15.                D026500200361 
   8.0       4.12      165.36       320.       20.                D026500200362 
   8.0       4.12      170.24       351.       15.                D026500200363 
ENDDATA            356          0                                 D026500200364 
ENDSUBENT          363          0                                 D026500299999 
ENDENTRY             2          0                                 D026599999999 
