ENTRY            D0611   20100519                             D073D061100000001 
SUBENT        D0611001   20100519                             D073D061100100001 
BIB                 11         34                                 D061100100002 
TITLE      Determination of differential cross-sections for the   D061100100003 
           natK(p,p0) and 39K(p,alpha0) reactions in the          D061100100004 
           backscattering geometry                                D061100100005 
AUTHOR     (M.Kokkoris,A.Tsaris,P.Misaelides,D.Sokaras,           D061100100006 
           A.Lagoyannis,S.Harissopulos,R.Vlastou,C.T.Papadopoulos)D061100100007 
INSTITUTE  (2GRCTUA,2GRCARU,2GRCATH)                              D061100100008 
REFERENCE  (J,NIM/B,268,1797,2010)                                D061100100009 
FACILITY   (VDGT,2GRCATH) the 5.5 MV TN11 Tandem Accelerator      D061100100010 
                      of N.C.S.R. 'Demokritos', Athens, Greece.   D061100100011 
SAMPLE     A highly pure (>99.9%) minimal quantity of dehydrated  D061100100012 
           potassium fluoride (K: 19.6 +- 1.3 mu-g/cm2) was       D061100100013 
           evaporated on a thin (~10 mu-g/cm2) carbon (machine,   D061100100014 
            stripping) foil. The target was subsequently covered  D061100100015 
           by an ultra thin evaporated Au layer                   D061100100016 
                                           (10.7 +- 0.7 mu-g/cm2) D061100100017 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA,,RTH)                    D061100100018 
DETECTOR   (SIBAR) The detection system consisted of four Si      D061100100019 
           surface barrier detectors (thickness: 300-1000 mu-m;   D061100100020 
           set at 10.degr. intervals)  along with the             D061100100021 
           corresponding electronics.                             D061100100022 
ERR-ANALYS (ERR-S) Statistical error                              D061100100023 
           (DATA-ERR) the overall experimental uncertainty was    D061100100024 
           dominated by the error in the determination of the     D061100100025 
           areal density ratio of potassium to  gold, which was   D061100100026 
           of the order of ~10%, including mainly the             D061100100027 
           uncertainties in the (accumulated charge) x (solid     D061100100028 
           angle covered by the detector) product, and in the     D061100100029 
           adopted stopping power values, as well as, the         D061100100030 
           deviations between the obtained X-ray fluorescence     D061100100031 
           analysis and p-Rutherford Backscattering               D061100100032 
           Spectrometry results.                                  D061100100033 
STATUS     (TABLE) data from tbl.1,2 of NIM/B,268,1797,2010       D061100100034 
           (APRVD) Entr approved by Dr. M.Kokkoris                D061100100035 
HISTORY    (20100519C) SD                                         D061100100036 
ENDBIB              34          0                                 D061100100037 
COMMON               1          3                                 D061100100038 
DATA-ERR                                                          D061100100039 
PER-CENT                                                          D061100100040 
  10.                                                             D061100100041 
ENDCOMMON            3          0                                 D061100100042 
ENDSUBENT           41          0                                 D061100199999 
SUBENT        D0611002   20100519                             D073D061100200001 
BIB                  1          1                                 D061100200002 
REACTION   (19-K-0(P,EL)19-K-0,,DA) tbl.1                         D061100200003 
ENDBIB               1          0                                 D061100200004 
NOCOMMON             0          0                                 D061100200005 
DATA                 5        323                                 D061100200006 
ANG        EN         EN-ERR     DATA       ERR-S                 D061100200007 
      140.0     4197.0        6.0      109.0        1.5           D061100200057 
      140.0     4222.0        6.0       88.5        1.4           D061100200058 
      140.0     4247.0        6.0       69.8        1.2           D061100200059 
      140.0     4272.0        6.0       64.9        1.1           D061100200060 
      140.0     4297.0        6.0       72.0        1.0           D061100200061 
      140.0     4322.0        6.0       82.6        1.3           D061100200062 
      140.0     4347.0        7.0       74.9        1.1           D061100200063 
      140.0     4372.0        7.0       81.0        1.2           D061100200064 
      140.0     4397.0        7.0       78.0        1.3           D061100200065 
      140.0     4422.0        7.0       76.1        1.3           D061100200066 
      140.0     4447.0        7.0       78.3        1.3           D061100200067 
      140.0     4472.0        7.0       61.9        1.1           D061100200068 
      140.0     4497.0        7.0       78.6        1.2           D061100200069 
      140.0     4522.0        7.0       81.4        1.3           D061100200070 
      140.0     4547.0        7.0       68.2        1.1           D061100200071 
      140.0     4572.0        7.0       71.4        1.2           D061100200072 
      140.0     4597.0        7.0       71.0        1.2           D061100200073 
      140.0     4622.0        7.0       66.5        1.1           D061100200074 
      140.0     4647.0        7.0       67.5        1.1           D061100200075 
      140.0     4672.0        7.0       69.3        1.1           D061100200076 
      140.0     4697.0        7.0       67.7        1.0           D061100200077 
      140.0     4722.0        7.0       72.3        1.1           D061100200078 
      140.0     4747.0        7.0       66.4        1.0           D061100200079 
      140.0     4772.0        7.0       62.0        1.0           D061100200080 
      140.0     4797.0        7.0       65.1        1.0           D061100200081 
      140.0     4822.0        7.0       65.4        1.1           D061100200082 
      140.0     4847.0        7.0       75.0        1.2           D061100200083 
      140.0     4872.0        7.0       57.6        0.9           D061100200084 
      140.0     4897.0        7.0       50.7        0.8           D061100200085 
      140.0     4922.0        7.0       65.7        1.0           D061100200086 
      140.0     4942.0        7.0       60.3        1.0           D061100200087 
      140.0     4972.0        7.0       66.8        1.0           D061100200088 
      140.0     4997.0        7.0       75.9        1.0           D061100200089 
      150.0     2996.0        4.0       85.6        1.3           D061100200090 
      150.0     3021.0        5.0       91.8        1.3           D061100200091 
      150.0     3046.0        5.0       87.1        1.1           D061100200092 
      150.0     3071.0        5.0       57.2        0.8           D061100200093 
      150.0     3096.0        5.0       56.2        0.8           D061100200094 
      150.0     3121.0        5.0       71.0        1.0           D061100200095 
      150.0     3146.0        5.0       99.9        1.4           D061100200096 
      150.0     3171.0        5.0       90.9        1.2           D061100200097 
      150.0     3196.0        5.0       76.0        1.0           D061100200098 
      150.0     3221.0        5.0       87.0        1.2           D061100200099 
      150.0     3246.0        5.0       72.0        1.0           D061100200100 
      150.0     3271.0        5.0       61.8        1.2           D061100200101 
      150.0     3296.0        5.0       37.5        0.6           D061100200102 
      150.0     3321.0        5.0       70.2        1.5           D061100200103 
      150.0     3346.0        5.0       83.1        1.9           D061100200104 
      150.0     3371.0        5.0       71.3        1.5           D061100200105 
      150.0     3397.0        5.0       82.1        1.4           D061100200106 
      150.0     3422.0        5.0       99.8        1.9           D061100200107 
      150.0     3447.0        5.0       80.0        1.6           D061100200108 
      150.0     3472.0        5.0       67.3        1.5           D061100200109 
      150.0     3497.0        5.0       65.2        1.4           D061100200110 
      150.0     3522.0        5.0       66.2        1.3           D061100200111 
      150.0     3547.0        5.0       63.7        1.4           D061100200112 
      150.0     3572.0        5.0       80.6        1.7           D061100200113 
      150.0     3597.0        5.0       86.4        1.7           D061100200114 
      150.0     3622.0        5.0       68.4        1.5           D061100200115 
      150.0     3647.0        5.0       63.3        1.3           D061100200116 
      150.0     3672.0        6.0       68.6        1.5           D061100200117 
      150.0     3697.0        6.0       85.9        1.8           D061100200118 
      150.0     3722.0        6.0       87.5        2.0           D061100200119 
      150.0     3747.0        6.0       77.1        1.7           D061100200120 
      150.0     3772.0        6.0       74.0        1.7           D061100200121 
      150.0     3797.0        6.0       73.1        1.6           D061100200122 
      150.0     3822.0        6.0       79.3        1.9           D061100200123 
      150.0     3842.0        6.0       69.4        1.5           D061100200124 
      150.0     3872.0        6.0       83.2        1.9           D061100200125 
      150.0     3897.0        6.0       93.9        1.7           D061100200126 
      150.0     3922.0        6.0       99.7        1.2           D061100200127 
      150.0     3947.0        6.0       83.5        1.5           D061100200128 
      150.0     3972.0        6.0       86.2        1.5           D061100200129 
      150.0     3997.0        6.0       78.7        1.4           D061100200130 
      150.0     4022.0        6.0       92.7        1.6           D061100200131 
      150.0     4047.0        6.0       73.7        1.4           D061100200132 
      150.0     4072.0        6.0       67.2        1.2           D061100200133 
      150.0     4097.0        6.0       79.3        1.4           D061100200134 
      150.0     4122.0        6.0       96.7        1.7           D061100200135 
      150.0     4147.0        6.0       79.3        1.4           D061100200136 
      150.0     4172.0        6.0       88.9        1.5           D061100200137 
      150.0     4197.0        6.0      129.2        2.1           D061100200138 
      150.0     4222.0        6.0       98.4        1.6           D061100200139 
      150.0     4247.0        6.0       79.2        1.5           D061100200140 
      150.0     4272.0        6.0       83.9        1.5           D061100200141 
      150.0     4297.0        6.0       94.1        1.3           D061100200142 
      150.0     4322.0        6.0      101.2        1.7           D061100200143 
      150.0     4347.0        7.0       80.6        1.3           D061100200144 
      150.0     4372.0        7.0       93.1        1.4           D061100200145 
      150.0     4397.0        7.0      100.6        1.8           D061100200146 
      150.0     4422.0        7.0       94.6        1.6           D061100200147 
      150.0     4447.0        7.0       86.7        1.6           D061100200148 
      150.0     4472.0        7.0       78.5        1.5           D061100200149 
      150.0     4497.0        7.0       87.3        1.4           D061100200150 
      150.0     4522.0        7.0       96.0        1.6           D061100200151 
      150.0     4547.0        7.0       78.5        1.3           D061100200152 
      150.0     4572.0        7.0       84.3        1.5           D061100200153 
      150.0     4597.0        7.0       91.8        1.6           D061100200154 
      150.0     4622.0        7.0       82.0        1.4           D061100200155 
      150.0     4647.0        7.0       78.9        1.3           D061100200156 
      150.0     4672.0        7.0       83.6        1.3           D061100200157 
      150.0     4697.0        7.0       83.6        1.3           D061100200158 
      150.0     4722.0        7.0       92.2        1.5           D061100200159 
      150.0     4747.0        7.0       83.3        1.3           D061100200160 
      150.0     4772.0        7.0       82.4        1.4           D061100200161 
      150.0     4797.0        7.0       81.2        1.3           D061100200162 
      150.0     4822.0        7.0       77.0        1.3           D061100200163 
      150.0     4847.0        7.0       84.8        1.4           D061100200164 
      150.0     4872.0        7.0       76.8        1.3           D061100200165 
      150.0     4897.0        7.0       66.5        1.1           D061100200166 
      150.0     4922.0        7.0       91.0        1.5           D061100200167 
      150.0     4942.0        7.0       80.7        1.3           D061100200168 
      150.0     4972.0        7.0       85.4        1.3           D061100200169 
      150.0     4997.0        7.0       95.2        1.5           D061100200170 
      160.0     2996.0        4.0       97.4        1.2           D061100200171 
      160.0     3021.0        5.0       97.1        1.1           D061100200172 
      160.0     3046.0        5.0       92.6        1.0           D061100200173 
      160.0     3071.0        5.0       60.3        0.7           D061100200174 
      160.0     3096.0        5.0       50.2        0.6           D061100200175 
      160.0     3121.0        5.0       67.5        0.7           D061100200176 
      160.0     3146.0        5.0      104.4        1.2           D061100200177 
      160.0     3171.0        5.0       94.0        1.0           D061100200178 
      160.0     3196.0        5.0       84.5        0.9           D061100200179 
      160.0     3221.0        5.0       77.1        0.9           D061100200180 
      160.0     3246.0        5.0       72.3        0.8           D061100200181 
      160.0     3271.0        5.0       56.3        0.9           D061100200182 
      160.0     3296.0        5.0       25.9        0.4           D061100200183 
      160.0     3321.0        5.0       74.7        1.2           D061100200184 
      160.0     3346.0        5.0       89.2        1.5           D061100200185 
      160.0     3371.0        5.0       81.3        1.3           D061100200186 
      160.0     3397.0        5.0       85.8        1.1           D061100200187 
      160.0     3422.0        5.0       95.1        1.5           D061100200188 
      160.0     3447.0        5.0       85.9        1.4           D061100200189 
      160.0     3472.0        5.0       64.7        1.1           D061100200190 
      160.0     3497.0        5.0       59.0        1.0           D061100200191 
      160.0     3522.0        5.0       65.0        1.0           D061100200192 
      160.0     3547.0        5.0       60.0        1.0           D061100200193 
      160.0     3572.0        5.0       79.6        1.5           D061100200194 
      160.0     3597.0        5.0       68.1        1.2           D061100200195 
      160.0     3622.0        5.0       72.2        1.3           D061100200196 
      160.0     3647.0        5.0       60.0        1.0           D061100200197 
      160.0     3672.0        6.0       73.8        1.3           D061100200198 
      160.0     3697.0        6.0       92.7        1.5           D061100200199 
      160.0     3722.0        6.0       91.4        1.7           D061100200200 
      160.0     3747.0        6.0       81.5        1.5           D061100200201 
      160.0     3772.0        6.0       80.7        1.4           D061100200202 
      160.0     3797.0        6.0       79.0        1.4           D061100200203 
      160.0     3822.0        6.0       78.5        1.4           D061100200204 
      160.0     3842.0        6.0       69.0        1.2           D061100200205 
      160.0     3872.0        6.0       82.7        1.6           D061100200206 
      160.0     3897.0        6.0       94.5        1.3           D061100200207 
      160.0     3922.0        6.0      106.2        1.0           D061100200208 
      160.0     3947.0        6.0       93.0        1.3           D061100200209 
      160.0     3972.0        6.0       90.3        1.3           D061100200210 
      160.0     3997.0        6.0       91.3        1.3           D061100200211 
      160.0     4022.0        6.0       98.4        1.4           D061100200212 
      160.0     4047.0        6.0       83.7        1.3           D061100200213 
      160.0     4072.0        6.0       76.4        1.1           D061100200214 
      160.0     4097.0        6.0       88.2        1.2           D061100200215 
      160.0     4122.0        6.0      101.7        1.4           D061100200216 
      160.0     4147.0        6.0       86.6        1.2           D061100200217 
      160.0     4172.0        6.0       89.4        1.3           D061100200218 
      160.0     4197.0        6.0      137.5        1.8           D061100200219 
      160.0     4222.0        6.0       96.9        1.3           D061100200220 
      160.0     4247.0        6.0       76.9        1.2           D061100200221 
      160.0     4272.0        6.0       88.8        1.3           D061100200222 
      160.0     4297.0        6.0       93.0        1.0           D061100200223 
      160.0     4322.0        6.0       96.1        1.4           D061100200224 
      160.0     4347.0        7.0       77.2        1.1           D061100200225 
      160.0     4372.0        7.0       82.0        1.0           D061100200226 
      160.0     4397.0        7.0       99.6        1.6           D061100200227 
      160.0     4422.0        7.0      100.6        1.4           D061100200228 
      160.0     4447.0        7.0       86.6        1.3           D061100200229 
      160.0     4472.0        7.0       69.3        1.1           D061100200230 
      160.0     4497.0        7.0       80.7        1.2           D061100200231 
      160.0     4522.0        7.0       97.8        1.4           D061100200232 
      160.0     4547.0        7.0       80.0        1.0           D061100200233 
      160.0     4572.0        7.0       88.7        1.3           D061100200234 
      160.0     4597.0        7.0       98.2        1.4           D061100200235 
      160.0     4622.0        7.0       88.7        1.3           D061100200236 
      160.0     4647.0        7.0       78.5        1.2           D061100200237 
      160.0     4672.0        7.0       84.7        1.1           D061100200238 
      160.0     4697.0        7.0       89.7        1.2           D061100200239 
      160.0     4722.0        7.0       97.2        1.3           D061100200240 
      160.0     4747.0        7.0       95.1        1.3           D061100200241 
      160.0     4772.0        7.0       73.8        1.1           D061100200242 
      160.0     4797.0        7.0       83.9        1.1           D061100200243 
      160.0     4822.0        7.0       86.0        1.2           D061100200244 
      160.0     4847.0        7.0       87.0        1.2           D061100200245 
      160.0     4872.0        7.0       80.4        1.1           D061100200246 
      160.0     4897.0        7.0       72.7        1.0           D061100200247 
      160.0     4922.0        7.0       95.7        1.3           D061100200248 
      160.0     4942.0        7.0       86.5        1.2           D061100200249 
      160.0     4972.0        7.0       96.5        1.2           D061100200250 
      160.0     4997.0        7.0      101.7        1.3           D061100200251 
      170.0     2996.0        4.0       96.5        1.6           D061100200252 
      170.0     3021.0        5.0      102.1        1.6           D061100200253 
      170.0     3046.0        5.0       94.2        2.0           D061100200254 
      170.0     3071.0        5.0       53.2        0.9           D061100200255 
      170.0     3121.0        5.0       71.9        1.1           D061100200256 
      170.0     3146.0        5.0      109.2        1.7           D061100200257 
      170.0     3171.0        5.0      103.2        1.5           D061100200258 
      170.0     3196.0        5.0       88.9        1.3           D061100200259 
      170.0     3221.0        5.0       94.4        1.5           D061100200260 
      170.0     3246.0        5.0       80.5        1.3           D061100200261 
      170.0     3271.0        5.0       57.0        1.2           D061100200262 
      170.0     3296.0        5.0       23.2        0.5           D061100200263 
      170.0     3321.0        5.0       86.0        2.0           D061100200264 
      170.0     3346.0        5.0       96.4        2.3           D061100200265 
      170.0     3371.0        5.0       81.1        1.8           D061100200266 
      170.0     3397.0        5.0       94.2        1.8           D061100200267 
      170.0     3422.0        5.0      112.6        2.4           D061100200268 
      170.0     3447.0        5.0       88.0        2.0           D061100200269 
      170.0     3472.0        5.0       80.7        1.8           D061100200270 
      170.0     3497.0        5.0       71.1        1.5           D061100200271 
      170.0     3522.0        5.0       75.0        1.6           D061100200272 
      170.0     3547.0        5.0       71.1        1.6           D061100200273 
      170.0     3572.0        5.0       91.8        2.1           D061100200274 
      170.0     3597.0        5.0       91.5        2.0           D061100200275 
      170.0     3622.0        5.0       75.1        1.7           D061100200276 
      170.0     3647.0        5.0       69.2        1.5           D061100200277 
      170.0     3672.0        6.0       83.2        1.9           D061100200278 
      170.0     3697.0        6.0       94.7        2.1           D061100200279 
      170.0     3722.0        6.0       96.0        2.4           D061100200280 
      170.0     3747.0        6.0       93.7        2.3           D061100200281 
      170.0     3772.0        6.0       86.0        2.0           D061100200282 
      170.0     3797.0        6.0       90.0        2.0           D061100200283 
      170.0     3822.0        6.0       91.4        2.2           D061100200284 
      170.0     3842.0        6.0       76.4        1.9           D061100200285 
      170.0     3872.0        6.0       92.3        2.3           D061100200286 
      170.0     3897.0        6.0      101.1        1.9           D061100200287 
      170.0     3922.0        6.0      117.1        1.5           D061100200288 
      170.0     3947.0        6.0      101.0        1.9           D061100200289 
      170.0     3972.0        6.0      110.4        2.1           D061100200290 
      170.0     3997.0        6.0      102.0        2.0           D061100200291 
      170.0     4022.0        6.0      115.0        2.3           D061100200292 
      170.0     4047.0        6.0       89.3        1.8           D061100200293 
      170.0     4072.0        6.0       88.0        1.8           D061100200294 
      170.0     4097.0        6.0       87.3        1.4           D061100200295 
      170.0     4122.0        6.0      112.3        2.2           D061100200296 
      170.0     4147.0        6.0      107.2        2.1           D061100200297 
      170.0     4172.0        6.0      102.7        2.0           D061100200298 
      170.0     4197.0        6.0      159.1        2.7           D061100200299 
      170.0     4222.0        6.0      108.0        1.9           D061100200300 
      170.0     4247.0        6.0      104.5        1.8           D061100200301 
      170.0     4272.0        6.0      103.0        1.9           D061100200302 
      170.0     4297.0        6.0       98.8        1.4           D061100200303 
      170.0     4322.0        6.0      115.7        2.0           D061100200304 
      170.0     4347.0        7.0       85.1        1.4           D061100200305 
      170.0     4372.0        7.0      106.7        1.7           D061100200306 
      170.0     4397.0        7.0      117.4        2.1           D061100200307 
      170.0     4422.0        7.0      116.0        2.0           D061100200308 
      170.0     4447.0        7.0       90.0        1.6           D061100200309 
      170.0     4472.0        7.0       82.8        1.6           D061100200310 
      170.0     4497.0        7.0       92.1        1.6           D061100200311 
      170.0     4522.0        7.0      106.8        2.0           D061100200312 
      170.0     4547.0        7.0       89.1        1.6           D061100200313 
      170.0     4572.0        7.0      103.6        1.7           D061100200314 
      170.0     4597.0        7.0      108.6        1.9           D061100200315 
      170.0     4622.0        7.0       99.3        1.8           D061100200316 
      170.0     4647.0        7.0      113.0        2.0           D061100200317 
      170.0     4672.0        7.0      112.4        1.8           D061100200318 
      170.0     4697.0        7.0      106.6        1.7           D061100200319 
      170.0     4722.0        7.0      108.0        1.8           D061100200320 
      170.0     4747.0        7.0      112.2        2.0           D061100200321 
      170.0     4772.0        7.0       88.8        1.7           D061100200322 
      170.0     4797.0        7.0      104.1        2.0           D061100200323 
      170.0     4822.0        7.0       96.5        1.8           D061100200324 
      170.0     4847.0        7.0       96.2        1.7           D061100200325 
      170.0     4872.0        7.0       96.0        1.7           D061100200326 
      170.0     4897.0        7.0       83.9        1.4           D061100200327 
      170.0     4922.0        7.0      105.2        1.8           D061100200328 
      170.0     4942.0        7.0      107.3        1.9           D061100200329 
      170.0     4972.0        7.0      106.1        1.6           D061100200330 
      170.0     4997.0        7.0      113.8        2.0           D061100200331 
ENDDATA            325          0                                 D061100200332 
ENDSUBENT          331          0                                 D061100299999 
SUBENT        D0611003   20100519                             D073D061100300001 
BIB                  1          1                                 D061100300002 
REACTION   (19-K-39(P,A)18-AR-36,PAR,DA) tbl.2                    D061100300003 
ENDBIB               1          0                                 D061100300004 
COMMON               1          3                                 D061100300005 
E-LVL                                                             D061100300006 
KEV                                                               D061100300007 
  0.0                                                             D061100300008 
ENDCOMMON            3          0                                 D061100300009 
DATA                 5        163                                 D061100300010 
ANG        EN         EN-ERR     DATA       ERR-S                 D061100300011 
ADEG       KEV        KEV        MB/SR      MB/SR                 D061100300012 
      140.0     3997.0        6.0      0.793      0.013           D061100300013 
      140.0     4022.0        6.0      1.058      0.017           D061100300014 
      140.0     4047.0        6.0      2.130      0.030           D061100300015 
      140.0     4072.0        6.0      0.964      0.015           D061100300016 
      140.0     4097.0        6.0      1.491      0.022           D061100300017 
      140.0     4122.0        6.0      2.030      0.030           D061100300018 
      140.0     4147.0        6.0      0.811      0.013           D061100300019 
      140.0     4172.0        6.0      2.060      0.030           D061100300020 
      140.0     4197.0        6.0      3.970      0.060           D061100300021 
      140.0     4222.0        6.0      1.000      0.015           D061100300022 
      140.0     4247.0        6.0      0.901      0.015           D061100300023 
      140.0     4272.0        6.0      1.380      0.024           D061100300024 
      140.0     4297.0        6.0      0.421      0.006           D061100300025 
      140.0     4322.0        6.0      1.496      0.023           D061100300026 
      140.0     4347.0        7.0      1.684      0.025           D061100300027 
      140.0     4372.0        7.0      0.892      0.013           D061100300028 
      140.0     4397.0        7.0      1.577      0.027           D061100300029 
      140.0     4422.0        7.0      0.607      0.010           D061100300030 
      140.0     4447.0        7.0      1.525      0.026           D061100300031 
      140.0     4472.0        7.0      1.198      0.021           D061100300032 
      140.0     4497.0        7.0      0.847      0.013           D061100300033 
      140.0     4522.0        7.0      3.560      0.060           D061100300034 
      140.0     4547.0        7.0      3.050      0.050           D061100300035 
      140.0     4572.0        7.0      1.790      0.030           D061100300036 
      140.0     4597.0        7.0      0.756      0.012           D061100300037 
      140.0     4622.0        7.0      1.116      0.018           D061100300038 
      140.0     4647.0        7.0      2.370      0.029           D061100300039 
      140.0     4672.0        7.0      0.786      0.012           D061100300040 
      140.0     4697.0        7.0      0.680      0.010           D061100300041 
      140.0     4722.0        7.0      2.400      0.040           D061100300042 
      140.0     4747.0        7.0      1.630      0.025           D061100300043 
      140.0     4772.0        7.0      0.594      0.010           D061100300044 
      140.0     4797.0        7.0      1.747      0.027           D061100300045 
      140.0     4822.0        7.0      0.628      0.010           D061100300046 
      140.0     4847.0        7.0      1.450      0.022           D061100300047 
      140.0     4872.0        7.0      1.542      0.024           D061100300048 
      140.0     4897.0        7.0      2.880      0.050           D061100300049 
      140.0     4922.0        7.0      1.930      0.030           D061100300050 
      140.0     4942.0        7.0      1.026      0.017           D061100300051 
      140.0     4972.0        7.0      1.370      0.020           D061100300052 
      150.0     3972.0        6.0      1.180      0.020           D061100300053 
      150.0     3997.0        6.0      0.964      0.018           D061100300054 
      150.0     4022.0        6.0      1.337      0.024           D061100300055 
      150.0     4047.0        6.0      2.560      0.050           D061100300056 
      150.0     4072.0        6.0      1.047      0.019           D061100300057 
      150.0     4097.0        6.0      1.519      0.026           D061100300058 
      150.0     4122.0        6.0      3.280      0.060           D061100300059 
      150.0     4147.0        6.0      1.366      0.024           D061100300060 
      150.0     4172.0        6.0      2.990      0.050           D061100300061 
