ENTRY            D0275   20120502                             D083D027500000001 
SUBENT        D0275001   20120502                             D083D027500100001 
BIB                  9         18                                 D027500100002 
TITLE      Nuclear structure of 159Gd                             D027500100003 
AUTHOR     (C.Granja, S.Pospisil, A.Aprahamian, H.Borner,         D027500100004 
            H.Lehmann, T.von Egidy, H.-F.Wirth, G.Graw,           D027500100005 
            R.Hertenberger, Y.Eisermann, D.Nosek,                 D027500100006 
            L.Rubacek, S.A.Telezhnikov)                           D027500100007 
INSTITUTE  (2GERMUN,1USANOT,2FR ILL,2GERGAR,3CZRCHU,3CZRCTI)      D027500100008 
REFERENCE  (J,PR/C,70,034316,2004)                                D027500100009 
           (T,GRANJA,2001) Tables from thesis (partly)            D027500100010 
REL-REF    (O,22768002,C.Granja+,J,PR/C,70,034316,2004)           D027500100011 
            158Gd(n,g)159Gd spectra from the same work given      D027500100012 
METHOD     Faraday cup                                            D027500100013 
ERR-ANALYS (E-LVL-ERR) A systematic error                         D027500100014 
           (ERR-S) Statistical uncertainties                      D027500100015 
STATUS     (TABLE) Tables were received from Dr. C.Granja         D027500100016 
           (APRVD) Entry approved by Dr. C.Granja                 D027500100017 
HISTORY    (20060614C) SD                                         D027500100018 
           (20080124U) SD. Entry number for ADD-RES was added.    D027500100019 
           (20120502U) On. REL-REF added and ADD-RES removed      D027500100020 
ENDBIB              18          0                                 D027500100021 
NOCOMMON             0          0                                 D027500100022 
ENDSUBENT           21          0                                 D027500199999 
SUBENT        D0275002   20120502                             D083D027500200001 
BIB                  5         15                                 D027500200002 
REACTION   (64-GD-158(D,P)64-GD-159,PAR,DA)                       D027500200003 
FACILITY   (VDGT,2GERMUN)                                         D027500200004 
SAMPLE     (64-GD-158,ENR=0.970)                                  D027500200005 
           The target consisted of a 130 ug/cm2 thick layer of    D027500200006 
            Gd2O3 (enriched in 158Gd to 97.0%) evaporated on a    D027500200007 
            5.6 ug/cm2 thick carbon foil.                         D027500200008 
DETECTOR   (TELES,PROPC,SCIN) The reaction products were analysed D027500200009 
            with the Q3D magnetic spectrograph and detected in    D027500200010 
            its 1.8 m long focal plane.                           D027500200011 
           A long position sensitive detector consisting of two   D027500200012 
            single wire proportional chambers, a multiwire        D027500200013 
            proportional chamber and a plastic scintillator with  D027500200014 
            dE/Erest particle identification for background       D027500200015 
            suppression.                                          D027500200016 
HISTORY    (20120502U) On. SAMPLE: Irrelevant information removed D027500200017 
ENDBIB              15          0                                 D027500200018 
COMMON               1          3                                 D027500200019 
EN                                                                D027500200020 
MEV                                                               D027500200021 
 18.0                                                             D027500200022 
ENDCOMMON            3          0                                 D027500200023 
DATA                 5        819                                 D027500200024 
E-LVL      E-LVL-ERR  ANG        DATA       ERR-S                 D027500200025 
   185.60    0.25       30.       0.084817   0.002551             D027500200073 
   185.60    0.25       35.       0.071200   0.001963             D027500200074 
   185.60    0.25       40.       0.047408   0.002183             D027500200075 
   185.60    0.25       45.       0.033055   0.001266             D027500200076 
   185.60    0.25       55.       0.037382   0.001376             D027500200077 
   212.82    0.15       13.       0.010878   0.003231             D027500200078 
   212.82    0.15       17.       0.016053   0.001950             D027500200079 
   212.82    0.15       21.       0.021243   0.001667             D027500200080 
   212.82    0.15       25.       0.020798   0.001712             D027500200081 
   212.82    0.15       30.       0.023588   0.001399             D027500200082 
   212.82    0.15       35.       0.029953   0.001270             D027500200083 
   212.82    0.15       40.       0.033510   0.001871             D027500200084 
   212.82    0.15       45.       0.025660   0.001114             D027500200085 
   212.82    0.15       55.       0.016665   0.000969             D027500200086 
   227.31    0.13       13.       0.284896   0.007809             D027500200087 
   227.31    0.13       17.       0.313083   0.006081             D027500200088 
   227.31    0.13       21.       0.371177   0.005879             D027500200089 
   227.31    0.13       25.       0.344499   0.006527             D027500200090 
   227.31    0.13       30.       0.327783   0.005020             D027500200091 
   227.31    0.13       35.       0.254969   0.003637             D027500200092 
   227.31    0.13       40.       0.235437   0.004678             D027500200093 
   227.31    0.13       45.       0.191107   0.002937             D027500200094 
   227.31    0.13       55.       0.138370   0.002549             D027500200095 
   274.03    0.37       30.       0.003789   0.000658             D027500200096 
   274.03    0.37       35.       0.005684   0.000635             D027500200097 
   274.03    0.37       40.       0.005731   0.000936             D027500200098 
   274.03    0.37       45.       0.004423   0.000506             D027500200099 
   274.03    0.37       55.       0.003353   0.000510             D027500200100 
   324.92    0.60       21.       0.006680   0.001667             D027500200101 
   324.92    0.60       25.       0.008597   0.001391             D027500200102 
   324.92    0.60       30.       0.007772   0.001317             D027500200103 
   324.92    0.60       35.       0.008537   0.000981             D027500200104 
   324.92    0.60       40.       0.004456   0.001663             D027500200105 
   324.92    0.60       45.       0.008922   0.001216             D027500200106 
   324.92    0.60       55.       0.005912   0.001020             D027500200107 
   330.98    0.23       13.       0.025245   0.003770             D027500200108 
   330.98    0.23       17.       0.023936   0.002295             D027500200109 
   330.98    0.23       21.       0.029148   0.002194             D027500200110 
   330.98    0.23       25.       0.031172   0.002033             D027500200111 
   330.98    0.23       30.       0.034712   0.001893             D027500200112 
   330.98    0.23       35.       0.038325   0.001559             D027500200113 
   330.98    0.23       40.       0.043665   0.002495             D027500200114 
   330.98    0.23       45.       0.024788   0.001469             D027500200115 
   330.98    0.23       55.       0.019993   0.001325             D027500200116 
   372.82    0.15       13.       0.019072   0.003635             D027500200117 
   372.82    0.15       17.       0.021955   0.002180             D027500200118 
   372.82    0.15       21.       0.028546   0.002018             D027500200119 
   372.82    0.15       25.       0.029191   0.001819             D027500200120 
   372.82    0.15       30.       0.044357   0.001893             D027500200121 
   372.82    0.15       35.       0.064213   0.001847             D027500200122 
   372.82    0.15       40.       0.083356   0.002807             D027500200123 
   372.82    0.15       45.       0.080502   0.001925             D027500200124 
   372.82    0.15       55.       0.052616   0.001529             D027500200125 
   456.47    0.61       17.       0.018732   0.002180             D027500200126 
   456.47    0.61       21.       0.022176   0.001755             D027500200127 
   456.47    0.61       25.       0.027009   0.001819             D027500200128 
   456.47    0.61       30.       0.027777   0.001564             D027500200129 
   456.47    0.61       35.       0.029688   0.001443             D027500200130 
   456.47    0.61       40.       0.032050   0.001767             D027500200131 
   456.47    0.61       45.       0.025377   0.001114             D027500200132 
   456.47    0.61       55.       0.021130   0.001020             D027500200133 
   507.86    0.36       13.       0.952265   0.012386             D027500200134 
   507.86    0.36       17.       0.765651   0.009637             D027500200135 
   507.86    0.36       21.       0.609102   0.007898             D027500200136 
   507.86    0.36       25.       0.597341   0.007918             D027500200137 
   507.86    0.36       30.       0.625942   0.006913             D027500200138 
   507.86    0.36       35.       0.517340   0.005773             D027500200139 
   507.86    0.36       40.       0.388907   0.005926             D027500200140 
   507.86    0.36       45.       0.299055   0.003647             D027500200141 
   507.86    0.36       55.       0.244186   0.003823             D027500200142 
   557.90    0.42       13.       0.176603   0.006328             D027500200143 
   557.90    0.42       17.       0.141508   0.004474             D027500200144 
   557.90    0.42       21.       0.118724   0.003686             D027500200145 
   557.90    0.42       25.       0.089183   0.003424             D027500200146 
   557.90    0.42       30.       0.066483   0.002304             D027500200147 
   557.90    0.42       35.       0.061398   0.002078             D027500200148 
   557.90    0.42       40.       0.062147   0.002495             D027500200149 
   557.90    0.42       45.       0.051712   0.001621             D027500200150 
   557.90    0.42       55.       0.024405   0.001274             D027500200151 
   589.03    0.22       13.       0.258553   0.007270             D027500200152 
   589.03    0.22       17.       0.227375   0.005392             D027500200153 
   589.03    0.22       21.       0.252471   0.005177             D027500200154 
   589.03    0.22       25.       0.234208   0.005350             D027500200155 
   589.03    0.22       30.       0.182417   0.003703             D027500200156 
   589.03    0.22       35.       0.139221   0.003060             D027500200157 
   589.03    0.22       40.       0.121979   0.003431             D027500200158 
   589.03    0.22       45.       0.099948   0.002228             D027500200159 
   589.03    0.22       55.       0.065298   0.001988             D027500200160 
   601.76    1.05       17.       0.015775   0.002180             D027500200161 
   601.76    1.05       21.       0.009017   0.001580             D027500200162 
   601.76    1.05       25.       0.008451   0.001498             D027500200163 
   601.76    1.05       35.       0.004067   0.000866             D027500200164 
   601.76    1.05       45.       0.005421   0.000760             D027500200165 
   632.89    0.71       17.       0.007514   0.001836             D027500200166 
   632.89    0.71       21.       0.009018   0.001492             D027500200167 
   632.89    0.71       25.       0.008340   0.001498             D027500200168 
   632.89    0.71       30.       0.010042   0.001070             D027500200169 
   632.89    0.71       35.       0.008607   0.000924             D027500200170 
   632.89    0.71       40.       0.007875   0.001040             D027500200171 
   632.89    0.71       45.       0.006489   0.000658             D027500200172 
   632.89    0.71       55.       0.005837   0.000714             D027500200173 
   684.13    0.49       21.       0.008311   0.001316             D027500200174 
   684.13    0.49       25.       0.007871   0.001498             D027500200175 
   684.13    0.49       30.       0.011886   0.001070             D027500200176 
   684.13    0.49       35.       0.010221   0.000866             D027500200177 
   684.13    0.49       40.       0.005587   0.000936             D027500200178 
   684.13    0.49       45.       0.005319   0.000608             D027500200179 
   684.13    0.49       55.       0.008612   0.000816             D027500200180 
   704.97    0.42       13.       0.254887   0.007809             D027500200181 
   704.97    0.42       17.       0.300681   0.006195             D027500200182 
   704.97    0.42       21.       0.368332   0.006143             D027500200183 
   704.97    0.42       25.       0.359576   0.006634             D027500200184 
   704.97    0.42       30.       0.332296   0.005102             D027500200185 
   704.97    0.42       35.       0.264352   0.003810             D027500200186 
   704.97    0.42       40.       0.233096   0.004782             D027500200187 
   704.97    0.42       45.       0.194820   0.003039             D027500200188 
   704.97    0.42       55.       0.149296   0.003008             D027500200189 
   744.69    0.22       13.       0.077536   0.005251             D027500200190 
   744.69    0.22       17.       0.114300   0.004016             D027500200191 
   744.69    0.22       21.       0.116578   0.003510             D027500200192 
   744.69    0.22       25.       0.086781   0.003317             D027500200193 
   744.69    0.22       30.       0.061374   0.002222             D027500200194 
   744.69    0.22       35.       0.051784   0.001732             D027500200195 
   744.69    0.22       40.       0.055973   0.002391             D027500200196 
   744.69    0.22       45.       0.045130   0.001519             D027500200197 
   744.69    0.22       55.       0.029653   0.001223             D027500200198 
   759.79    0.42       17.       0.018419   0.002180             D027500200199 
   759.79    0.42       21.       0.026358   0.001931             D027500200200 
   759.79    0.42       25.       0.024409   0.002033             D027500200201 
   759.79    0.42       30.       0.029143   0.001646             D027500200202 
   759.79    0.42       35.       0.032796   0.001385             D027500200203 
   759.79    0.42       40.       0.035662   0.001975             D027500200204 
   759.79    0.42       45.       0.028147   0.001216             D027500200205 
   759.79    0.42       55.       0.023113   0.001070             D027500200206 
   781.58    0.27       13.       0.022628   0.004174             D027500200207 
   781.58    0.27       21.       0.013282   0.001492             D027500200208 
   781.58    0.27       25.       0.026859   0.002140             D027500200209 
   781.58    0.27       30.       0.037691   0.001811             D027500200210 
   781.58    0.27       35.       0.028393   0.001270             D027500200211 
   781.58    0.27       40.       0.021445   0.001559             D027500200212 
   781.58    0.27       45.       0.013402   0.000861             D027500200213 
   781.58    0.27       55.       0.015950   0.000918             D027500200214 
   819.52    0.52       30.       0.001285   0.000658             D027500200215 
   819.52    0.52       35.       0.002212   0.000462             D027500200216 
   819.52    0.52       40.       0.001903   0.000832             D027500200217 
   819.52    0.52       45.       0.002316   0.000405             D027500200218 
   819.52    0.52       55.       0.001235   0.000357             D027500200219 
   835.54    0.51       17.       0.008079   0.001836             D027500200220 
   835.54    0.51       21.       0.011459   0.001404             D027500200221 
   835.54    0.51       25.       0.015587   0.001819             D027500200222 
   835.54    0.51       30.       0.015523   0.001234             D027500200223 
   835.54    0.51       35.       0.017568   0.001039             D027500200224 
   835.54    0.51       40.       0.008499   0.001144             D027500200225 
   835.54    0.51       45.       0.007248   0.000658             D027500200226 
   835.54    0.51       55.       0.007485   0.000612             D027500200227 
   858.39    0.51       17.       0.005133   0.001721             D027500200228 
   858.39    0.51       30.       0.003952   0.000741             D027500200229 
   858.39    0.51       35.       0.004093   0.000577             D027500200230 
   858.39    0.51       40.       0.003297   0.000832             D027500200231 
   858.39    0.51       45.       0.003032   0.000456             D027500200232 
   858.39    0.51       55.       0.001735   0.000357             D027500200233 
   874.54    0.90       21.       0.010345   0.001316             D027500200234 
   874.54    0.90       25.       0.009999   0.001498             D027500200235 
   874.54    0.90       30.       0.006437   0.000988             D027500200236 
   874.54    0.90       35.       0.006175   0.000635             D027500200237 
   874.54    0.90       40.       0.003297   0.000728             D027500200238 
   874.54    0.90       45.       0.002023   0.000405             D027500200239 
   938.55    0.47       17.       0.009651   0.001950             D027500200240 
   938.55    0.47       21.       0.014304   0.001667             D027500200241 
   938.55    0.47       25.       0.015278   0.001712             D027500200242 
   938.55    0.47       30.       0.010227   0.001152             D027500200243 
   938.55    0.47       35.       0.010889   0.000924             D027500200244 
   938.55    0.47       40.       0.010014   0.001248             D027500200245 
   938.55    0.47       45.       0.010076   0.000861             D027500200246 
   938.55    0.47       55.       0.010230   0.000816             D027500200247 
   948.89    0.15       13.       0.338      0.008                D027500200248 
   948.89    0.15       17.       0.349      0.007                D027500200249 
   948.89    0.15       21.       0.380      0.006                D027500200250 
   948.89    0.15       25.       0.390      0.007                D027500200251 
   948.89    0.15       30.       0.360      0.006                D027500200252 
   948.89    0.15       35.       0.291      0.004                D027500200253 
   948.89    0.15       40.       0.274      0.005                D027500200254 
   948.89    0.15       45.       0.219      0.003                D027500200255 
   948.89    0.15       55.       0.166      0.003                D027500200256 
   974.30    0.21       13.       0.057435   0.004174             D027500200257 
   974.30    0.21       17.       0.013912   0.001950             D027500200258 
   974.30    0.21       21.       0.018770   0.001667             D027500200259 
   974.30    0.21       25.       0.038671   0.002354             D027500200260 
   974.30    0.21       30.       0.058104   0.002304             D027500200261 
   974.30    0.21       35.       0.058865   0.001847             D027500200262 
   974.30    0.21       40.       0.041567   0.001975             D027500200263 
   974.30    0.21       45.       0.024175   0.001114             D027500200264 
   974.30    0.21       55.       0.025460   0.001121             D027500200265 
  1001.16    0.55       17.       0.010572   0.001950             D027500200266 
  1001.16    0.55       21.       0.009132   0.001316             D027500200267 
  1001.16    0.55       25.       0.007472   0.001391             D027500200268 
  1001.16    0.55       30.       0.006738   0.000905             D027500200269 
  1001.16    0.55       35.       0.005385   0.000693             D027500200270 
  1001.16    0.55       40.       0.007856   0.001040             D027500200271 
  1001.16    0.55       45.       0.004840   0.000608             D027500200272 
  1043.12    0.33       21.       0.007510   0.001229             D027500200273 
  1043.12    0.33       25.       0.007728   0.001391             D027500200274 
  1043.12    0.33       30.       0.011644   0.001152             D027500200275 
  1043.12    0.33       35.       0.014959   0.000981             D027500200276 
  1043.12    0.33       40.       0.013680   0.001248             D027500200277 
  1043.12    0.33       45.       0.012026   0.000810             D027500200278 
  1043.12    0.33       55.       0.005849   0.000663             D027500200279 
  1060.75    0.97       13.       0.009974   0.003366             D027500200280 
  1060.75    0.97       17.       0.010205   0.001836             D027500200281 
  1060.75    0.97       21.       0.011367   0.001404             D027500200282 
  1060.75    0.97       25.       0.008101   0.001498             D027500200283 
  1060.75    0.97       30.       0.007582   0.000988             D027500200284 
  1060.75    0.97       35.       0.008965   0.000808             D027500200285 
  1060.75    0.97       40.       0.007599   0.001040             D027500200286 
  1060.75    0.97       45.       0.005627   0.000608             D027500200287 
  1060.75    0.97       55.       0.006927   0.000714             D027500200288 
  1079.88    0.51       13.       0.030999   0.003770             D027500200289 
  1079.88    0.51       17.       0.026625   0.002409             D027500200290 
  1079.88    0.51       21.       0.025171   0.001843             D027500200291 
  1079.88    0.51       25.       0.022108   0.001926             D027500200292 
  1079.88    0.51       30.       0.024422   0.001564             D027500200293 
  1079.88    0.51       35.       0.019288   0.001097             D027500200294 
  1079.88    0.51       40.       0.015070   0.001352             D027500200295 
  1079.88    0.51       45.       0.012459   0.000810             D027500200296 
  1079.88    0.51       55.       0.009587   0.000816             D027500200297 
  1092.97    0.39       17.       0.006853   0.001721             D027500200298 
  1092.97    0.39       21.       0.008221   0.001316             D027500200299 
  1092.97    0.39       25.       0.009216   0.001498             D027500200300 
  1092.97    0.39       30.       0.013234   0.001234             D027500200301 
  1092.97    0.39       35.       0.016527   0.001097             D027500200302 
  1092.97    0.39       40.       0.020008   0.001456             D027500200303 
  1092.97    0.39       45.       0.018817   0.000962             D027500200304 
  1092.97    0.39       55.       0.017425   0.001020             D027500200305 
  1111.47    0.54       13.       0.047829   0.004039             D027500200306 
  1111.47    0.54       17.       0.035708   0.002639             D027500200307 
  1111.47    0.54       21.       0.035933   0.002106             D027500200308 
  1111.47    0.54       25.       0.037378   0.002247             D027500200309 
  1111.47    0.54       30.       0.033980   0.001811             D027500200310 
  1111.47    0.54       35.       0.030977   0.001385             D027500200311 
  1111.47    0.54       40.       0.022537   0.001663             D027500200312 
  1111.47    0.54       45.       0.019368   0.000962             D027500200313 
  1111.47    0.54       55.       0.018273   0.001070             D027500200314 
  1134.56    0.28       13.       0.262179   0.006866             D027500200315 
  1134.56    0.28       17.       0.248582   0.007687             D027500200316 
  1134.56    0.28       21.       0.288502   0.005616             D027500200317 
  1134.56    0.28       25.       0.282768   0.006099             D027500200318 
  1134.56    0.28       30.       0.260065   0.005102             D027500200319 
  1134.56    0.28       35.       0.225661   0.003695             D027500200320 
  1134.56    0.28       40.       0.182932   0.004782             D027500200321 
  1134.56    0.28       45.       0.171199   0.002937             D027500200322 
  1134.56    0.28       55.       0.122048   0.002600             D027500200323 
  1145.22    1.51       13.       0.044089   0.005385             D027500200324 
  1145.22    1.51       17.       0.041705   0.004245             D027500200325 
  1145.22    1.51       21.       0.030861   0.003861             D027500200326 
  1145.22    1.51       25.       0.036802   0.003531             D027500200327 
  1145.22    1.51       30.       0.020574   0.002963             D027500200328 
  1145.22    1.51       35.       0.019114   0.002136             D027500200329 
  1145.22    1.51       40.       0.027976   0.003535             D027500200330 
  1145.22    1.51       45.       0.012906   0.002077             D027500200331 
  1145.22    1.51       55.       0.009825   0.001529             D027500200332 
  1150.98    0.70       13.       0.043944   0.005385             D027500200333 
  1150.98    0.70       17.       0.025260   0.004016             D027500200334 
  1150.98    0.70       21.       0.035633   0.003861             D027500200335 
  1150.98    0.70       25.       0.050600   0.002782             D027500200336 
  1150.98    0.70       30.       0.034110   0.002963             D027500200337 
  1150.98    0.70       35.       0.026344   0.002194             D027500200338 
  1150.98    0.70       40.       0.032912   0.003743             D027500200339 
  1150.98    0.70       45.       0.019572   0.002127             D027500200340 
  1150.98    0.70       55.       0.015791   0.001580             D027500200341 
  1160.35    0.36       13.       0.037439   0.003904             D027500200342 
  1160.35    0.36       17.       0.047294   0.002983             D027500200343 
  1160.35    0.36       21.       0.030863   0.003510             D027500200344 
  1160.35    0.36       25.       0.026356   0.002033             D027500200345 
  1160.35    0.36       30.       0.028093   0.001811             D027500200346 
  1160.35    0.36       35.       0.022904   0.001501             D027500200347 
  1160.35    0.36       40.       0.027720   0.001975             D027500200348 
  1160.35    0.36       45.       0.015254   0.001013             D027500200349 
  1160.35    0.36       55.       0.009392   0.001020             D027500200350 
  1194.19    0.48       21.       0.004366   0.001141             D027500200351 
  1194.19    0.48       25.       0.008014   0.001391             D027500200352 
  1194.19    0.48       30.       0.008074   0.001070             D027500200353 
  1194.19    0.48       35.       0.007099   0.000808             D027500200354 
  1194.19    0.48       45.       0.004449   0.000608             D027500200355 
  1194.19    0.48       55.       0.003181   0.000561             D027500200356 
  1203.52    0.36       17.       0.020240   0.002180             D027500200357 
  1203.52    0.36       21.       0.021323   0.001667             D027500200358 
  1203.52    0.36       25.       0.029230   0.002033             D027500200359 
  1203.52    0.36       30.       0.033789   0.001893             D027500200360 
  1203.52    0.36       35.       0.034085   0.001501             D027500200361 
  1203.52    0.36       40.       0.034419   0.001871             D027500200362 
  1203.52    0.36       45.       0.025439   0.001114             D027500200363 
  1203.52    0.36       55.       0.018909   0.001070             D027500200364 
  1229.79    0.52       17.       0.017140   0.002180             D027500200365 
  1229.79    0.52       21.       0.016349   0.001492             D027500200366 
  1229.79    0.52       25.       0.021356   0.001819             D027500200367 
  1229.79    0.52       30.       0.022480   0.001564             D027500200368 
  1229.79    0.52       35.       0.018609   0.001097             D027500200369 
  1229.79    0.52       40.       0.015309   0.001456             D027500200370 
  1229.79    0.52       45.       0.008487   0.000760             D027500200371 
  1229.79    0.52       55.       0.009632   0.000867             D027500200372 
  1239.14    0.70       17.       0.008572   0.001950             D027500200373 
  1239.14    0.70       21.       0.006601   0.001141             D027500200374 
  1239.14    0.70       25.       0.012101   0.001498             D027500200375 
  1239.14    0.70       30.       0.007805   0.001152             D027500200376 
  1239.14    0.70       35.       0.010152   0.000924             D027500200377 
  1239.14    0.70       40.       0.006452   0.001248             D027500200378 
  1239.14    0.70       45.       0.008369   0.000760             D027500200379 
  1239.14    0.70       55.       0.007851   0.000867             D027500200380 
  1283.83    0.15       21.       0.039204   0.002106             D027500200381 
  1283.83    0.15       25.       0.050084   0.002568             D027500200382 
  1283.83    0.15       30.       0.043910   0.002222             D027500200383 
  1283.83    0.15       35.       0.037058   0.001501             D027500200384 
  1283.83    0.15       40.       0.026434   0.001663             D027500200385 
  1283.83    0.15       45.       0.019655   0.001013             D027500200386 
  1283.83    0.15       55.       0.018061   0.000969             D027500200387 
  1296.55    0.38       21.       0.007719   0.001316             D027500200388 
  1296.55    0.38       25.       0.012124   0.001605             D027500200389 
  1296.55    0.38       30.       0.005956   0.001234             D027500200390 
  1296.55    0.38       35.       0.005557   0.000808             D027500200391 
  1296.55    0.38       45.       0.003197   0.000608             D027500200392 
  1296.55    0.38       55.       0.004295   0.000663             D027500200393 
  1303.72    0.30       21.       0.008431   0.001316             D027500200394 
  1303.72    0.30       25.       0.017200   0.001819             D027500200395 
  1303.72    0.30       30.       0.011263   0.001399             D027500200396 
  1303.72    0.30       35.       0.010031   0.000924             D027500200397 
  1303.72    0.30       40.       0.009991   0.001144             D027500200398 
  1303.72    0.30       45.       0.005611   0.000709             D027500200399 
  1303.72    0.30       55.       0.005837   0.000714             D027500200400 
  1322.22    0.83       21.       0.004063   0.001141             D027500200401 
  1322.22    0.83       35.       0.003729   0.000577             D027500200402 
  1322.22    0.83       40.       0.004299   0.000832             D027500200403 
  1322.22    0.83       45.       0.004044   0.000506             D027500200404 
  1322.22    0.83       55.       0.002248   0.000459             D027500200405 
  1344.77    0.41       21.       0.007416   0.001316             D027500200406 
  1344.77    0.41       25.       0.006815   0.001284             D027500200407 
  1344.77    0.41       30.       0.006989   0.001070             D027500200408 
