ENTRY            D5191   20211209                             D135D519100000001 
SUBENT        D5191001   20211209                             D135D519100100001 
BIB                 13         33                                 D519100100002 
TITLE      14C(11B,10B)15C reaction at Elab = 45 MeV and          D519100100003 
           the 10B+15C optical potential                          D519100100004 
AUTHOR     (S.Yu.Mezhevych,A.T.Rudchik,A.A.Rudchik,K.W.Kemper,    D519100100005 
            K.Rusek,O.A.Ponkratenko,E.I.Koshchy,S.B.Sakuta)       D519100100006 
INSTITUTE  (4UKRIJD,3POLWWA,1USAFSU,4RUSKUR)                      D519100100007 
FACILITY   (CYCLO,3POLWWA) Cyclotron U-200P                       D519100100008 
REFERENCE  (J,APP/B,52,109,2021)                                  D519100100009 
           #doi:10.5506/APhysPolB.52.109                          D519100100010 
           (J,YFE,21,231,2020) The same data                      D519100100011 
           #doi:10.15407/jnpae2020.03.231                         D519100100012 
SAMPLE     A self-supporting 280 mu-g/cm2 foil of carbon          D519100100013 
           (6-C-14,ENR=0.86)                                      D519100100014 
DETECTOR   (TELES,SI,IOCH) Three dE-E telescope were used:        D519100100015 
           a silicon dE-E telescope with a 40mu-m silicon dE      D519100100016 
           detector and two telescopes with an ionization chamber D519100100017 
           as the dE detector. The three 1mm silicon E detectors  D519100100018 
           were used in the telescopes.                           D519100100019 
REL-REF    (I,D5094001,S.Yu.Mezhevych+,J,EPJ/A,50,4,2014)         D519100100020 
METHOD     (EXTB,EDE)                                             D519100100021 
ADD-RES    (POT,COMP) Spectroscopic amplitudes, parameters of the D519100100022 
           nucleus-nucleus potentials were determined. Optical    D519100100023 
           model and the coupled-reaction-channels method were    D519100100024 
           used.                                                  D519100100025 
ERR-ANALYS (DATA-ERR) Errors include both the statistical errors  D519100100026 
           and uncertainties from the spectrum fitting procedure. D519100100027 
           The area errors of the peaks were estimated to be aboutD519100100028 
           20%, if the peaks were well resolved and 30-40% for    D519100100029 
           poorly resolved peaks.                                 D519100100030 
           The overall absolute error was estimated to be less    D519100100031 
           than 20%.                                              D519100100032 
HISTORY    (20211209C) UkrNDC                                     D519100100033 
STATUS     Data were digitized as the authors did not provide     D519100100034 
           numerical data.                                        D519100100035 
ENDBIB              33          0                                 D519100100036 
COMMON               1          3                                 D519100100037 
EN                                                                D519100100038 
MEV                                                               D519100100039 
45.                                                               D519100100040 
ENDCOMMON            3          0                                 D519100100041 
ENDSUBENT           40          0                                 D519100199999 
SUBENT        D5191002   20211209                             D135D519100200001 
BIB                  6         15                                 D519100200002 
REACTION   (6-C-14(5-B-11,5-B-10)6-C-15,PAR,DA)                   D519100200003 
EN-SEC     (E-LVL1,5-B-10)                                        D519100200004 
           (E-LVL2,6-C-15)                                        D519100200005 
LEVEL-PROP (5-B-10,E-LVL=0.72,SPIN=1.,PARITY=+1.)                 D519100200006 
           (5-B-10,E-LVL=1.740,SPIN=0.,PARITY=+1.)                D519100200007 
           (5-B-10,E-LVL=2.154,SPIN=1.,PARITY=+1.)                D519100200008 
           (5-B-10,E-LVL=3.587,SPIN=2.,PARITY=+1.)                D519100200009 
           (6-C-15,E-LVL=0.74,SPIN=2.5,PARITY=+1.)                D519100200010 
           (6-C-15,E-LVL=3.103,SPIN=0.5,PARITY=-1.)               D519100200011 
           (6-C-15,E-LVL=4.22,SPIN=2.5,PARITY=-1.)                D519100200012 
           (6-C-15,E-LVL=4.66,SPIN=1.5,PARITY=-1.)                D519100200013 
MONITOR    (6-C-14(5-B-11,EL)6-C-14,,DA)                          D519100200014 
MONIT-REF  (D5094002,S.Yu.Mezhevych+,J,EPJ/A,50,4,2014)           D519100200015 
STATUS     (CURVE) Figs.4-7 in Acta Phys.Pol.B.52.109,2921        D519100200016 
           was digitized by GSYS2.4.7.                            D519100200017 
ENDBIB              15          0                                 D519100200018 
NOCOMMON             0          0                                 D519100200019 
DATA                 5        247                                 D519100200020 
E-LVL1     E-LVL2     ANG-CM     DATA-CM    DATA-ERR              D519100200021 
       0.72       0.74     65.839  7.807E-02  2.245E-02           D519100200142 
       0.72       0.74     67.721  9.783E-02  2.970E-02           D519100200143 
       0.72       0.74     69.692  7.978E-02  2.546E-02           D519100200144 
       0.72       0.74     71.573  7.621E-02  2.314E-02           D519100200145 
       0.72       0.74     73.633  5.940E-02  1.986E-02           D519100200146 
       0.72       0.74     75.515  7.115E-02  2.379E-02           D519100200147 
       0.72       0.74    117.537  5.744E-02  1.907E-02           D519100200148 
       0.72       0.74    120.136  7.036E-02  2.408E-02           D519100200149 
       0.72       0.74    122.734  5.868E-02  2.036E-02           D519100200150 
       0.72       0.74    125.423  7.352E-02  2.221E-02           D519100200151 
       0.72       0.74    128.041  6.060E-02  1.985E-02           D519100200152 
       0.72       0.74    130.620  6.708E-02  1.793E-02           D519100200153 
       0.72       0.74    133.128  6.554E-02  2.221E-02           D519100200154 
       0.72       0.74    135.728  8.591E-02  2.790E-02           D519100200155 
       0.72       0.74    138.147  8.023E-02  2.462E-02           D519100200156 
       0.72       0.74    143.164  7.156E-02  2.153E-02           D519100200157 
       0.72       0.74    145.763  8.008E-02  2.340E-02           D519100200158 
       0.72       0.74    148.272  9.809E-02  2.974E-02           D519100200159 
       0.72       0.74    150.692  1.073E-01  2.988E-02           D519100200160 
       0.72       0.74    153.202  1.314E-01  3.567E-02           D519100200161 
      1.740         0.     21.960  4.769E-02  1.647E-02           D519100200162 
      1.740         0.     23.877  2.430E-02  7.449E-03           D519100200163 
      1.740         0.     25.929  3.062E-02  1.019E-02           D519100200164 
      1.740         0.     27.845  2.781E-02  7.377E-03           D519100200165 
      1.740         0.     30.036  1.287E-02  4.607E-03           D519100200166 
      1.740         0.     33.871  1.563E-02  4.997E-03           D519100200167 
      1.740         0.     35.861  1.929E-02  6.393E-03           D519100200168 
      1.740         0.     37.975  2.988E-02  8.455E-03           D519100200169 
      1.740         0.     39.964  3.437E-02  1.015E-02           D519100200170 
      1.740         0.     41.954  3.687E-02  1.134E-02           D519100200171 
      1.740         0.     43.944  2.181E-02  6.442E-03           D519100200172 
      1.740         0.     45.934  2.219E-02  7.356E-03           D519100200173 
      1.740         0.     47.924  2.422E-02  8.858E-03           D519100200174 
      1.740         0.     49.914  2.033E-02  5.754E-03           D519100200175 
      1.740         0.     51.904  1.433E-02  4.408E-03           D519100200176 
      1.740         0.     54.888  2.259E-02  7.221E-03           D519100200177 
      1.740         0.     57.002  2.299E-02  6.505E-03           D519100200178 
      1.740         0.     58.992  2.554E-02  8.852E-03           D519100200179 
      1.740         0.     60.982  1.564E-02  5.544E-03           D519100200180 
      1.740         0.     62.971  2.340E-02  7.479E-03           D519100200181 
      1.740         0.     64.961  2.070E-02  6.617E-03           D519100200182 
      1.740         0.     66.951  1.964E-02  5.802E-03           D519100200183 
      1.740         0.     68.941  1.768E-02  5.224E-03           D519100200184 
      1.740         0.     71.055  1.459E-02  4.835E-03           D519100200185 
      1.740         0.     73.045  1.537E-02  4.542E-03           D519100200186 
      1.740         0.    115.701  9.261E-03  2.849E-03           D519100200187 
      1.740         0.    118.437  1.410E-02  3.811E-03           D519100200188 
      1.740         0.    121.173  8.788E-03  2.809E-03           D519100200189 
      1.740         0.    123.909  1.143E-02  3.234E-03           D519100200190 
      1.740         0.    129.256  1.512E-02  4.653E-03           D519100200191 
      1.740         0.    131.868  2.001E-02  6.866E-03           D519100200192 
      1.740         0.    134.480  1.338E-02  4.277E-03           D519100200193 
      1.740         0.    137.091  1.622E-02  5.378E-03           D519100200194 
      1.740         0.    142.190  9.429E-03  3.014E-03           D519100200195 
      1.740         0.    144.802  9.938E-03  3.177E-03           D519100200196 
      1.740         0.    147.414  8.198E-03  2.522E-03           D519100200197 
      1.740         0.    149.901  1.164E-02  3.437E-03           D519100200198 
      1.740         0.    152.512  2.074E-02  5.482E-03           D519100200199 
      2.154         0.     22.235  6.635E-02  2.082E-02           D519100200200 
