ENTRY            D0907   20230222                             D138D090700000001 
SUBENT        D0907001   20230222                             D138D090700100001 
BIB                 10         20                                 D090700100002 
TITLE      Elastic and inelastic scattering of 4He-particles by   D090700100003 
            20Ne nuclei at energy of 48.8 MeV                     D090700100004 
AUTHOR     (N.Burtebayev, A.Duisebayev, B.A.Duisebayev,           D090700100005 
            T.Zholdybayev, Marzhan Nassurlla, B.M.Sadykov,        D090700100006 
            S.B.Sakuta, Maulen Nassurlla)                         D090700100007 
INSTITUTE  (4KASKAZ,4RUSKUR,4KASAFU)                              D090700100008 
REFERENCE  (J,IMP/E,27,1850042,2018)                              D090700100009 
           (R,IYFK-P-88-01,1988)                                  D090700100010 
            Numerical data in table                               D090700100011 
FACILITY   (ISOCY,4KASKAZ) U-150M                                 D090700100012 
SAMPLE     (10-NE-20,ENR=0.9092)                                  D090700100013 
           Effective thickness of 1-5 mg/cm2 determined by the    D090700100014 
            gas pressure in the container                         D090700100015 
METHOD     (EDE)                                                  D090700100016 
DETECTOR   (TELES,SI,SI) 100 um dE detector and 2 mm E detector   D090700100017 
ERR-ANALYS (ERR-S) Statistical error was 1-5%.                    D090700100018 
           (ERR-1,,5.) Effective sample thickness                 D090700100019 
HISTORY    (20180618C) T.Zholdybayev                              D090700100020 
           (20180618R) Received from T.Zholdybayev                D090700100021 
           (20230222A) On. Major revisions in 002-003             D090700100022 
ENDBIB              20          0                                 D090700100023 
COMMON               3          3                                 D090700100024 
EN         EN-ERR     EN-RSL                                      D090700100025 
MEV        MEV        PER-CENT                                    D090700100026 
 48.8       0.6        1.                                         D090700100027 
ENDCOMMON            3          0                                 D090700100028 
ENDSUBENT           27          0                                 D090700199999 
SUBENT        D0907002   20230222                             D138D090700200001 
BIB                  3          4                                 D090700200002 
REACTION  1(10-NE-20(A,EL)10-NE-20,,DA)                           D090700200003 
          2(10-NE-20(A,EL)10-NE-20,,DA,,RTH)                      D090700200004 
STATUS     (TABLE) Table 13 of Preprint IYaF 88-01 (1988)         D090700200005 
HISTORY    (20230222T) On. D0925.016 data adopted.                D090700200006 
ENDBIB               4          0                                 D090700200007 
NOCOMMON             0          0                                 D090700200008 
DATA                 4         71                                 D090700200009 
ANG-CM     DATA-CM   1ERR-S     1DATA      2                      D090700200010 
ADEG       MB/SR      MB/SR      NO-DIM                           D090700200011 
 126.4        0.020     0.002     0.0404                          D090700200058 
 128.2        0.028     0.003     0.0635                          D090700200059 
 131.8        0.022     0.002     0.0476                          D090700200060 
 135.3        0.015     0.002     0.0233                          D090700200061 
 137.1        0.011     0.002     0.0269                          D090700200062 
 138.8        0.028     0.003     0.0676                          D090700200063 
 140.5        0.054     0.006     0.0797                          D090700200064 
 143.1        0.032     0.004     0.0814                          D090700200065 
 145.7        0.022     0.003     0.0596                          D090700200066 
 147.4        0.016     0.002     0.0422                          D090700200067 
 149.9        0.032     0.004     0.0888                          D090700200068 
 151.6        0.048     0.005     0.136                           D090700200069 
 153.2        0.073     0.008     0.200                           D090700200070 
 154.1        0.037     0.004     0.130                           D090700200071 
 155.7        0.039     0.005     0.114                           D090700200072 
 157.3        0.038     0.004     0.110                           D090700200073 
 159.0        0.035     0.004     0.104                           D090700200074 
 159.8        0.037     0.005     0.111                           D090700200075 
 162.3        0.075     0.008     0.229                           D090700200076 
 163.9        0.167     0.020     0.512                           D090700200077 
 166.4        0.141     0.015     0.437                           D090700200078 
 167.2        0.145     0.015     0.451                           D090700200079 
 168.8        0.079     0.008     0.248                           D090700200080 
 170.4        0.029     0.004     0.083                           D090700200081 
 172.0        0.012     0.003     0.037                           D090700200082 
ENDDATA             73          0                                 D090700200083 
ENDSUBENT           82          0                                 D090700299999 
SUBENT        D0907003   20230222                             D138D090700300001 
BIB                  3          3                                 D090700300002 
REACTION   (10-NE-20(A,INL)10-NE-20,PAR,DA)                       D090700300003 
STATUS     (TABLE) Table 13,14 of Preprint IYaF 88-01 (1988)      D090700300004 
HISTORY    (20230222T) On. D0925.017 data adopted.                D090700300005 
ENDBIB               3          0                                 D090700300006 
NOCOMMON             0          0                                 D090700300007 
DATA                 4        130                                 D090700300008 
E-LVL      ANG-CM     DATA-CM    ERR-S                            D090700300009 
MEV        ADEG       MB/SR      MB/SR                            D090700300010 
 1.63        12.0      72.0       3.1                             D090700300011 
 1.63        14.5      36.0       1.2                             D090700300012 
 1.63        17.0      25.0       1.2                             D090700300013 
 1.63        19.0       5.40      0.44                            D090700300014 
 1.63        21.3      15.0       0.62                            D090700300015 
 1.63        24.0      21.0       0.39                            D090700300016 
 1.63        26.2      19.0       0.54                            D090700300017 
 1.63        28.7       9.1       0.20                            D090700300018 
 1.63        31.0       3.2       0.11                            D090700300019 
 1.63        33.5       4.2       0.12                            D090700300020 
 1.63        35.8       8.8       0.17                            D090700300021 
 1.63        38.1       9.3       0.15                            D090700300022 
 1.63        40.4       7.0       0.12                            D090700300023 
 1.63        42.8       4.1       0.090                           D090700300024 
 1.63        45.1       2.6       0.067                           D090700300025 
 1.63        47.4       3.35      0.073                           D090700300026 
 1.63        49.7       4.10      0.077                           D090700300027 
 1.63        53.1       4.10      0.072                           D090700300028 
 1.63        54.3       3.2       0.056                           D090700300029 
 1.63        56.5       1.9       0.045                           D090700300030 
 1.63        58.8       1.2       0.034                           D090700300031 
 1.63        61.1       0.84      0.026                           D090700300032 
 1.63        63.3       0.86      0.025                           D090700300033 
 1.63        65.5       0.98      0.026                           D090700300034 
 1.63        67.8       0.87      0.023                           D090700300035 
 1.63        70.1       0.74      0.020                           D090700300036 
 1.63        72.2       0.54      0.015                           D090700300037 
 1.63        74.4       0.46      0.015                           D090700300038 
 1.63        76.5       0.45      0.015                           D090700300039 
 1.63        78.7       0.58      0.016                           D090700300040 
 1.63        80.8       0.67      0.018                           D090700300041 
 1.63        83.0       0.68      0.018                           D090700300042 
 1.63        85.1       0.73      0.017                           D090700300043 
 1.63        87.2       0.71      0.019                           D090700300044 
 1.63        92.4       0.52      0.015                           D090700300045 
 1.63        95.6       0.66      0.020                           D090700300046 
 1.63        98.5       0.73      0.019                           D090700300047 
 1.63       101.5       0.72      0.019                           D090700300048 
 1.63       106.5       0.68      0.016                           D090700300049 
 1.63       109.4       0.41      0.012                           D090700300050 
 1.63       113.5       0.42      0.012                           D090700300051 
 1.63       117.2       0.39      0.011                           D090700300052 
 1.63       121.0       0.36      0.011                           D090700300053 
 1.63       123.0       0.31      0.010                           D090700300054 
 1.63       126.4       0.24      0.008                           D090700300055 
 1.63       128.5       0.27      0.009                           D090700300056 
 1.63       132.0       0.19      0.006                           D090700300057 
 1.63       133.8       0.105     0.004                           D090700300058 
 1.63       135.5       0.140     0.004                           D090700300059 
 1.63       137.2       0.115     0.004                           D090700300060 
 1.63       139.0       0.190     0.006                           D090700300061 
 1.63       141.0       0.180     0.006                           D090700300062 
 1.63       143.2       0.170     0.006                           D090700300063 
 1.63       145.7       0.145     0.005                           D090700300064 
 1.63       150.0       0.170     0.005                           D090700300065 
 1.63       151.6       0.180     0.006                           D090700300066 
 1.63       154.1       0.195     0.006                           D090700300067 
 1.63       155.7       0.180     0.006                           D090700300068 
 1.63       157.3       0.135     0.004                           D090700300069 
 1.63       159.0       0.115     0.003                           D090700300070 
 1.63       162.5       0.130     0.004                           D090700300071 
 1.63       164.0       0.165     0.005                           D090700300072 
 1.63       166.5       0.260     0.007                           D090700300073 
 1.63       168.7       0.28      0.007                           D090700300074 
 1.63       170.6       0.28      0.007                           D090700300075 
 1.63       172.0       0.26      0.007                           D090700300076 
 4.25        12.0       1.80      0.28                            D090700300077 
 4.25        14.4       2.7       0.27                            D090700300078 
 4.25        16.9       3.1       0.27                            D090700300079 
 4.25        19.0       3.5       0.29                            D090700300080 
 4.25        21.6       2.8       0.22                            D090700300081 
 4.25        24.0       1.5       0.088                           D090700300082 
 4.25        26.2       0.75      0.059                           D090700300083 
 4.25        28.7       0.60      0.043                           D090700300084 
 4.25        31.0       0.91      0.051                           D090700300085 
 4.25        33.6       0.84      0.043                           D090700300086 
 4.25        35.8       0.51      0.033                           D090700300087 
 4.25        38.5       0.37      0.023                           D090700300088 
 4.25        40.5       0.30      0.019                           D090700300089 
 4.25        42.8       0.52      0.028                           D090700300090 
 4.25        45.3       0.73      0.032                           D090700300091 
 4.25        47.4       0.71      0.020                           D090700300092 
 4.25        49.8       0.72      0.027                           D090700300093 
 4.25        52.5       0.63      0.025                           D090700300094 
 4.25        54.5       0.56      0.021                           D090700300095 
 4.25        56.9       0.61      0.021                           D090700300096 
 4.25        59.3       0.63      0.021                           D090700300097 
 4.25        61.5       0.61      0.020                           D090700300098 
 4.25        63.8       0.55      0.018                           D090700300099 
 4.25        65.7       0.49      0.016                           D090700300100 
 4.25        68.1       0.46      0.015                           D090700300101 
 4.25        70.4       0.39      0.013                           D090700300102 
 4.25        72.8       0.38      0.011                           D090700300103 
 4.25        74.9       0.43      0.013                           D090700300104 
 4.25        77.0       0.34      0.011                           D090700300105 
 4.25        79.1       0.39      0.012                           D090700300106 
 4.25        81.4       0.36      0.012                           D090700300107 
 4.25        83.6       0.27      0.099                           D090700300108 
 4.25        85.7       0.34      0.011                           D090700300109 
 4.25        87.8       0.22      0.009                           D090700300110 
 4.25        92.8       0.24      0.009                           D090700300111 
 4.25        96.0       0.36      0.015                           D090700300112 
 4.25        99.1       0.34      0.074                           D090700300113 
 4.25       102.0       0.36      0.069                           D090700300114 
 4.25       106.0       0.32      0.036                           D090700300115 
 4.25       110.0       0.26      0.027                           D090700300116 
 4.25       114.0       0.28      0.033                           D090700300117 
 4.25       118.0       0.27      0.010                           D090700300118 
 4.25       121.6       0.26      0.010                           D090700300119 
 4.25       123.2       0.25      0.009                           D090700300120 
 4.25       127.0       0.16      0.006                           D090700300121 
 4.25       128.8       0.21      0.007                           D090700300122 
 4.25       132.1       0.19      0.006                           D090700300123 
 4.25       134.0       0.16      0.005                           D090700300124 
 4.25       135.8       0.205     0.006                           D090700300125 
 4.25       137.3       0.12      0.004                           D090700300126 
 4.25       139.1       0.19      0.006                           D090700300127 
 4.25       141.0       0.18      0.006                           D090700300128 
 4.25       143.6       0.16      0.005                           D090700300129 
 4.25       146.0       0.13      0.004                           D090700300130 
 4.25       147.8       0.105     0.005                           D090700300131 
 4.25       150.0       0.140     0.007                           D090700300132 
 4.25       151.8       0.22      0.011                           D090700300133 
 4.25       153.6       0.30      0.013                           D090700300134 
 4.25       154.4       0.35      0.015                           D090700300135 
 4.25       156.0       0.35      0.017                           D090700300136 
 4.25       158.0       0.35      0.020                           D090700300137 
 4.25       159.2       0.40      0.032                           D090700300138 
 4.25       160.0       0.30      0.013                           D090700300139 
 4.25       163.5       0.28      0.011                           D090700300140 
ENDDATA            132          0                                 D090700300141 
ENDSUBENT          140          0                                 D090700399999 
ENDENTRY             3          0                                 D090799999999 
