ENTRY            D6165   20121201                             D088D616500000001 
SUBENT        D6165001   20121201                             D088D616500100001 
BIB                 12         32                                 D616500100002 
TITLE      Study of statistical emissions in 28Si+natSi and       D616500100003 
           28Si+27Al reactions at 4-5 MeV/A incident energies     D616500100004 
AUTHOR     (C.Basu,S.Adhikari,S.K.Ghosh,P.Basu,S.Ray, B.R.Behera, D616500100005 
           S.K.Datta)                                             D616500100006 
INSTITUTE  (3INDSAH,3INDNSD)                                      D616500100007 
           (3INDIND) Physics Department, Kalyani University,      D616500100008 
           Kalyani, West Bengal                                   D616500100009 
           (3INDIND) Physics Department, Utkal University,        D616500100010 
           Bhubaneswar, Orissa                                    D616500100011 
REFERENCE  (J,IMP/E,14,(7),1063,2005) All data given in fig.2 to  D616500100012 
           fig.4                                                  D616500100013 
           (J,EPJ/A,25,(S1),277,2005) Part of data given in fig.1 D616500100014 
SAMPLE     Spectroscopically pure, 1 mg/cm2, self-supporting      D616500100015 
           natSi and 0.8 mg/cm2 27Al were used as targets.        D616500100016 
FACILITY   (VDGT,3INDNSD) 14 UD Pelletron                         D616500100017 
DETECTOR   (TELES,SOLST,SOLST) Two counter telescopes consisting  D616500100018 
           of two element, dE-E, Si solid state detectors, were   D616500100019 
           used for particle identification and energy            D616500100020 
           measurements. The thickness of dE and E were 50        D616500100021 
           microns and 3150 microns for T1 and 35 microns and     D616500100022 
           3050 microns for T2. T1 covered 54 degree, 66 degree,  D616500100023 
           102 degree and T2 covered 114 degree, 126 degree, 138  D616500100024 
           degree for natSi and 27Al targets. Monitor detectors   D616500100025 
           were setup at +/- 9.6 degree for normalization.        D616500100026 
METHOD     (EDE)                                                  D616500100027 
ERR-ANALYS (DATA-ERR) No information on the sources of            D616500100028 
           uncertainty is given in the article.                   D616500100029 
ADD-RES    (COMP) The theoretical analysis of the data has been   D616500100030 
           done using the statistical model code CASCADE.         D616500100031 
STATUS     (UNOBT) Request sent to Chinmay Basu by e-mail on      D616500100032 
           2012-12-01 and no reply is received.                   D616500100033 
HISTORY    (20121201C) Compiled by R.Ghosh,B.Jyrwa,NEHU,INDIA.    D616500100034 
ENDBIB              32          0                                 D616500100035 
COMMON               1          3                                 D616500100036 
EN                                                                D616500100037 
MEV                                                               D616500100038 
130.                                                              D616500100039 
ENDCOMMON            3          0                                 D616500100040 
ENDSUBENT           39          0                                 D616500199999 
SUBENT        D6165002   20121201                             D088D616500200001 
BIB                  2          2                                 D616500200002 
REACTION   (14-SI-0(14-SI-28,X)2-HE-4,,DA/DE)                     D616500200003 
STATUS     (CURVE) Figure 2 of J,IMP/E,14,(7),1063,2005           D616500200004 
ENDBIB               2          0                                 D616500200005 
NOCOMMON             0          0                                 D616500200006 
DATA                 5         97                                 D616500200007 
ANG        E          DATA       +DATA-ERR  -DATA-ERR             D616500200008 
       102.      21.09   3.33E-03   1.06E-03   1.14E-03           D616500300063 
       114.       4.80   1.59E+00   2.36E-02   3.86E-02           D616500300064 
       114.       4.88   2.05E+00   3.05E-02   3.01E-02           D616500300065 
       114.       6.11   1.42E+00   2.12E-02   2.78E-02           D616500300066 
       114.       8.35   6.05E-01   9.00E-03   1.47E-02           D616500300067 
       114.      10.21   2.99E-01   5.95E-03   1.01E-02           D616500300068 
       114.      12.22   1.13E-01   4.37E-03   4.52E-03           D616500300069 
       114.      14.48   3.91E-02   2.38E-03   3.14E-03           D616500300070 
       114.      16.85   1.33E-02   1.40E-03   1.58E-03           D616500300071 
       114.      19.30   3.01E-03   6.73E-04   7.59E-04           D616500300072 
       114.      21.41   7.18E-04   3.26E-04   3.71E-04           D616500300073 
       114.      22.41   8.83E-04   3.88E-04   4.04E-04           D616500300074 
       126.       1.89   1.10E-01   4.46E-03   7.95E-03           D616500300075 
       126.       2.09   1.58E+00   2.11E-02   3.45E-02           D616500300076 
       126.       2.21   2.07E+00   2.76E-02   5.40E-02           D616500300077 
       126.       3.36   1.54E+00   2.05E-02   4.02E-02           D616500300078 
       126.       4.83   1.03E+00   1.37E-02   2.25E-02           D616500300079 
       126.       6.30   6.26E-01   1.11E-02   2.17E-02           D616500300080 
       126.       7.56   4.34E-01   7.91E-03   1.49E-02           D616500300081 
       126.       9.17   2.56E-01   6.86E-03   1.21E-02           D616500300082 
       126.      10.78   1.49E-01   5.34E-03   7.67E-03           D616500300083 
       126.      12.64   8.57E-02   4.66E-03   5.13E-03           D616500300084 
       126.      13.65   5.14E-02   3.27E-03   4.55E-03           D616500300085 
       126.      14.84   3.50E-02   2.90E-03   3.79E-03           D616500300086 
       126.      15.63   1.94E-02   2.34E-03   2.71E-03           D616500300087 
       126.      16.77   1.49E-02   1.96E-03   2.18E-03           D616500300088 
       126.      17.51   9.83E-03   1.54E-03   1.91E-03           D616500300089 
       126.      18.32   2.41E-03   7.85E-04   8.92E-04           D616500300090 
       126.      18.71   1.19E-03   5.95E-04   6.04E-04           D616500300091 
       138.       1.77   3.07E-03   7.99E-04   8.77E-04           D616500300092 
       138.       1.90   6.71E-02   2.85E-03   4.36E-03           D616500300093 
       138.       2.08   1.04E+00   8.26E-03   2.84E-02           D616500300094 
       138.       2.32   1.35E+00   1.62E-02   3.18E-02           D616500300095 
       138.       3.50   9.50E-01   1.52E-02   2.23E-02           D616500300096 
       138.       4.76   6.44E-01   1.29E-02   1.76E-02           D616500300097 
       138.       5.71   5.00E-01   7.99E-03   1.18E-02           D616500300098 
       138.       6.60   3.57E-01   1.08E-02   1.31E-02           D616500300099 
       138.       7.37   2.82E-01   9.10E-03   1.21E-02           D616500300100 
       138.       8.23   1.94E-01   4.47E-03   8.48E-03           D616500300101 
       138.       9.42   1.39E-01   3.34E-03   8.02E-03           D616500300102 
       138.      10.47   1.01E-01   2.96E-03   6.46E-03           D616500300103 
       138.      11.42   6.86E-02   2.49E-03   5.23E-03           D616500300104 
       138.      12.31   4.23E-02   3.08E-03   3.03E-03           D616500300105 
       138.      13.37   2.99E-02   2.18E-03   3.05E-03           D616500300106 
       138.      14.27   2.56E-02   2.09E-03   2.70E-03           D616500300107 
       138.      15.30   1.56E-02   1.77E-03   2.15E-03           D616500300108 
       138.      16.08   1.23E-02   1.50E-03   1.78E-03           D616500300109 
       138.      17.17   7.09E-03   1.24E-03   1.37E-03           D616500300110 
       138.      18.27   3.79E-03   8.68E-04   9.74E-04           D616500300111 
       138.      19.47   2.14E-03   6.74E-04   7.46E-04           D616500300112 
       138.      20.02   1.89E-03   6.34E-04   6.77E-04           D616500300113 
       138.      20.53   9.50E-04   4.51E-04   4.85E-04           D616500300114 
ENDDATA            107          0                                 D616500300115 
ENDSUBENT          114          0                                 D616500399999 
SUBENT        D6165004   20130109                             D088D616500400001 
BIB                  2          2                                 D616500400002 
REACTION   (13-AL-27(14-SI-28,X)2-HE-4,,DA/DE)                    D616500400003 
STATUS     (CURVE) Figure 4 of J,IMP/E,14,(7),1063,2005           D616500400004 
ENDBIB               2          0                                 D616500400005 
NOCOMMON             0          0                                 D616500400006 
DATA                 5        133                                 D616500400007 
ANG        E          DATA       +DATA-ERR  -DATA-ERR             D616500400008 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV  MB/SR/MEV             D616500400009 
        54.       8.04   1.83E-03   5.36E-04   6.38E-04           D616500400010 
        54.       8.11   8.45E-03   1.16E-03   1.40E-03           D616500400011 
        54.       8.35   1.25E-01   4.77E-03   5.87E-03           D616500400012 
        54.       8.97   4.34E-01   4.67E-03   1.37E-02           D616500400013 
        54.      10.15   6.99E-01   1.13E-02   1.48E-02           D616500400014 
        54.      11.22   9.54E-01   1.40E-02   2.65E-02           D616500400015 
        54.      13.18   1.27E+00   1.49E-02   2.57E-02           D616500400016 
        54.      15.23   1.34E+00   2.25E-02   3.45E-02           D616500400017 
        54.      17.41   1.25E+00   1.34E-02   3.95E-02           D616500400018 
        54.      19.03   1.05E+00   1.69E-02   1.67E-02           D616500400019 
        54.      20.93   8.93E-01   1.43E-02   1.91E-02           D616500400020 
        54.      21.49   7.90E-01   1.71E-02   1.67E-02           D616500400021 
        54.      22.88   6.29E-01   8.48E-03   1.49E-02           D616500400022 
        54.      23.77   5.12E-01   1.11E-02   1.08E-02           D616500400023 
        54.      25.17   4.38E-01   7.09E-03   1.16E-02           D616500400024 
        54.      25.72   3.62E-01   7.82E-03   9.54E-03           D616500400025 
        54.      27.00   2.67E-01   7.22E-03   7.03E-03           D616500400026 
        54.      28.24   2.11E-01   5.46E-03   7.99E-03           D616500400027 
        54.      29.23   1.64E-01   5.34E-03   6.86E-03           D616500400028 
        54.      30.68   1.17E-01   4.46E-03   4.90E-03           D616500400029 
        54.      31.74   8.68E-02   3.31E-03   3.63E-03           D616500400030 
        54.      32.74   7.27E-02   3.58E-03   3.42E-03           D616500400031 
        54.      33.41   5.11E-02   3.09E-03   2.66E-03           D616500400032 
        54.      34.86   3.81E-02   2.74E-03   3.49E-03           D616500400033 
        54.      36.03   2.73E-02   1.97E-03   1.84E-03           D616500400034 
        54.      36.99   1.84E-02   1.97E-03   2.21E-03           D616500400035 
        54.      37.59   1.43E-02   1.96E-03   2.06E-03           D616500400036 
        54.      38.53   7.87E-03   1.08E-03   9.47E-04           D616500400037 
        54.      39.54   8.28E-03   1.05E-03   1.40E-03           D616500400038 
        54.      40.87   5.24E-03   8.79E-04   1.08E-03           D616500400039 
        54.      41.71   5.65E-03   9.47E-04   1.14E-03           D616500400040 
        54.      43.83   2.99E-03   7.12E-04   7.61E-04           D616500400041 
        54.      45.11   1.42E-03   4.96E-04   5.57E-04           D616500400042 
        54.      45.88   6.04E-04   3.37E-04   3.54E-04           D616500400043 
        54.      46.66   6.04E-04   3.37E-04   3.56E-04           D616500400044 
        66.       7.95   2.46E-03   8.00E-04   9.00E-04           D616500400045 
        66.       8.14   2.14E-02   2.44E-03   3.07E-03           D616500400046 
        66.       8.34   7.24E-02   3.84E-03   5.24E-03           D616500400047 
        66.       8.58   3.23E-01   1.08E-02   1.19E-02           D616500400048 
        66.       9.32   9.83E-01   1.39E-02   3.17E-02           D616500400049 
        66.      10.20   1.15E+00   1.09E-02   5.28E-02           D616500400050 
        66.      11.86   1.19E+00   1.69E-02   3.85E-02           D616500400051 
        66.      13.28   1.12E+00   1.06E-02   2.60E-02           D616500400052 
        66.      14.70   1.03E+00   9.66E-03   1.91E-02           D616500400053 
        66.      15.37   9.36E-01   1.51E-02   2.85E-02           D616500400054 
        66.      16.42   7.74E-01   1.10E-02   1.79E-02           D616500400055 
        66.      17.15   6.85E-01   1.30E-02   2.83E-02           D616500400056 
        66.      18.27   5.85E-01   1.03E-02   2.23E-02           D616500400057 
        66.      19.45   4.71E-01   1.11E-02   1.74E-02           D616500400058 
        66.      20.78   3.37E-01   8.00E-03   7.82E-03           D616500400059 
        66.      22.29   2.41E-01   8.03E-03   9.95E-03           D616500400060 
        66.      23.67   1.59E-01   6.87E-03   8.01E-03           D616500400061 
        66.      25.48   1.15E-01   4.97E-03   5.79E-03           D616500400062 
        66.      26.65   8.82E-02   4.67E-03   5.99E-03           D616500400063 
        66.      27.44   6.23E-02   3.30E-03   3.96E-03           D616500400064 
        66.      28.17   5.14E-02   2.22E-03   5.26E-03           D616500400065 
        66.      29.10   4.47E-02   3.26E-03   4.00E-03           D616500400066 
        66.      30.42   2.89E-02   2.69E-03   3.08E-03           D616500400067 
        66.      31.60   2.09E-02   2.71E-03   3.16E-03           D616500400068 
        66.      33.17   1.29E-02   1.88E-03   2.16E-03           D616500400069 
        66.      34.88   1.11E-02   1.56E-03   2.04E-03           D616500400070 
        66.      36.50   5.54E-03   1.21E-03   1.36E-03           D616500400071 
        66.      38.60   3.40E-03   9.40E-04   1.08E-03           D616500400072 
        66.      41.59   6.11E-04   4.13E-04   4.37E-04           D616500400073 
       102.       8.98   6.62E-01   9.07E-03   2.65E-02           D616500400074 
       102.      10.12   6.16E-01   1.70E-02   1.92E-02           D616500400075 
       102.      11.01   5.40E-01   1.74E-02   1.92E-02           D616500400076 
       102.      12.24   4.69E-01   1.29E-02   1.88E-02           D616500400077 
       102.      13.28   3.92E-01   1.26E-02   1.73E-02           D616500400078 
       102.      14.70   2.90E-01   1.07E-02   1.54E-02           D616500400079 
       102.      15.84   2.28E-01   8.43E-03   1.21E-02           D616500400080 
       102.      17.35   1.57E-01   7.27E-03   1.10E-02           D616500400081 
       102.      18.53   1.12E-01   5.18E-03   6.86E-03           D616500400082 
       102.      19.34   1.13E-01   5.43E-03   8.68E-03           D616500400083 
       102.      20.23   7.33E-02   5.15E-03   6.95E-03           D616500400084 
       102.      21.60   5.46E-02   5.18E-03   5.62E-03           D616500400085 
       102.      23.07   3.32E-02   3.81E-03   4.60E-03           D616500400086 
       102.      25.10   1.73E-02   2.60E-03   3.12E-03           D616500400087 
       102.      27.04   6.43E-03   1.63E-03   1.85E-03           D616500400088 
       102.      29.35   4.97E-03   1.43E-03   1.63E-03           D616500400089 
       102.      30.06   3.91E-03   1.39E-03   1.39E-03           D616500400090 
       102.      30.63   1.96E-03   9.61E-04   9.90E-04           D616500400091 
       102.      31.15   1.46E-03   8.07E-04   8.46E-04           D616500400092 
       114.       7.36   2.06E-01   4.17E-03   8.09E-03           D616500400093 
       114.       8.23   1.43E-01   3.89E-03   6.55E-03           D616500400094 
       114.       9.34   9.91E-02   4.06E-03   4.54E-03           D616500400095 
       114.      10.33   6.16E-02   3.39E-03   3.60E-03           D616500400096 
       114.      11.50   3.47E-02   1.66E-03   2.68E-03           D616500400097 
       114.      12.54   2.22E-02   1.37E-03   1.98E-03           D616500400098 
