ENTRY            D1003   20210716                             D135D100300000001 
SUBENT        D1003001   20210716                             D135D100300100001 
BIB                  8         22                                 D100300100002 
TITLE      Isoscalar monopole and dipole transitions in 24Mg,     D100300100003 
            26Mg, and 28Si                                        D100300100004 
AUTHOR     (P.Adsley, V.O.Nesterenko, M.Kimura, L.M.Donaldson,    D100300100005 
            R.Neveling, J.W.Bruemmer, D.G.Jenkins, N.Y.Kheswa,    D100300100006 
            J.Kvasil, K.C.W.Li, D.J.Marin-Lambarri, Z.Mabika,     D100300100007 
            P.Papka, L.Pellegri, V.Pesudo, B.Rebeiro,             D100300100008 
            P.-G.Reinhard, F.D.Smit, W.Yahia-Cherif)              D100300100009 
REFERENCE  (J,PR/C,103,044315,2021)                               D100300100010 
REL-REF    (I,D0903001,P.Adsley+,J,PR/C,96,055802,2017)           D100300100011 
            Experimental details                                  D100300100012 
INSTITUTE  (3SAFWIT,3SAFSTL,3SAFITH,2FR PAR,4ZZZDUB,4RUSMFT,      D100300100013 
            2JPNHOK,2UK YRK,3CZRCHU,3SAFUWC,3MEXUMX,2SPNPCM,      D100300100014 
            2GERUEN,3ALGUHB)                                      D100300100015 
           (4RUSRUS) State University "Dubna", Dubna              D100300100016 
FACILITY   (CYCLO,3SAFITH)                                        D100300100017 
DETECTOR   (MAGSP) K600 Q2D magnetic spectrometer                 D100300100018 
           (SCIN) Plastic scintillator at the focal plane to      D100300100019 
            trigger data acquisition and to measure the energy    D100300100020 
            deposited by the particle hitting the focal plane     D100300100021 
           (DRFTC) To measure particle positions and trajectories D100300100022 
            at the focal plane                                    D100300100023 
HISTORY    (20210716C) On                                         D100300100024 
ENDBIB              22          0                                 D100300100025 
COMMON               1          3                                 D100300100026 
EN                                                                D100300100027 
MEV                                                               D100300100028 
 200.                                                             D100300100029 
ENDCOMMON            3          0                                 D100300100030 
ENDSUBENT           29          0                                 D100300199999 
SUBENT        D1003002   20210716                             D135D100300200001 
BIB                  4          6                                 D100300200002 
REACTION   (12-MG-24(A,INL)12-MG-24,ICL,DA/DE,A/RSD)              D100300200003 
ERR-ANALYS (ERR-S) Statistical uncertainty                        D100300200004 
           (ERR-1) Target thickness (10%)                         D100300200005 
STATUS     (TABLE) Data (not shown in the article) received from  D100300200006 
                   Philip Adsley.                                 D100300200007 
HISTORY    (20210715R) On. Data received from Philip Adsley       D100300200008 
ENDBIB               6          0                                 D100300200009 
COMMON               1          3                                 D100300200010 
ERR-1                                                             D100300200011 
PER-CENT                                                          D100300200012 
 10.                                                              D100300200013 
ENDCOMMON            3          0                                 D100300200014 
DATA                 5       4300                                 D100300200015 
ANG-MIN    ANG-MAX    E-EXC      DATA       ERR-S                 D100300200016 
 0.         2.          9.475      1.29784   0.250843             D100300200065 
 0.         2.          9.485      1.95251   0.275648             D100300200066 
 0.         2.          9.495      2.04439   0.266895             D100300200067 
 0.         2.          9.505      1.42418   0.315794             D100300200068 
 0.         2.          9.515      3.59491   0.353069             D100300200069 
 0.         2.          9.525      2.74499   0.339352             D100300200070 
 0.         2.          9.535      3.29629   0.338184             D100300200071 
 0.         2.          9.545      3.9165    0.372699             D100300200072 
 0.         2.          9.555      2.74499   0.329891             D100300200073 
 0.         2.          9.565      1.56201   0.301695             D100300200074 
 0.         2.          9.575      1.78023   0.255533             D100300200075 
 0.         2.          9.585      0.941797  0.235379             D100300200076 
 0.         2.          9.595      0.528325  0.204813             D100300200077 
 0.         2.          9.605      0.953283  0.263162             D100300200078 
 0.         2.          9.615      0.551296  0.221521             D100300200079 
 0.         2.          9.625      1.19447   0.228555             D100300200080 
 0.         2.          9.635      0.229707  0.233692             D100300200081 
 0.         2.          9.645      1.69983   0.281332             D100300200082 
 0.         2.          9.655      1.47012   0.272762             D100300200083 
 0.         2.          9.665      1.68834   0.264662             D100300200084 
 0.         2.          9.675      2.17073   0.307541             D100300200085 
 0.         2.          9.685      1.42418   0.263913             D100300200086 
 0.         2.          9.695      0.712091  0.248466             D100300200087 
 0.         2.          9.705      1.82617   0.277793             D100300200088 
 0.         2.          9.715      1.34378   0.247668             D100300200089 
 0.         2.          9.725      0.803973  0.233692             D100300200090 
 0.         2.          9.735      0.310104  0.225943             D100300200091 
 0.         2.          9.745      0.677635  0.209588             D100300200092 
 0.         2.          9.755      0.51684   0.272035             D100300200093 
 0.         2.          9.765      1.42418   0.251631             D100300200094 
 0.         2.          9.775      0.608723  0.218825             D100300200095 
 0.         2.          9.785      1.59646   0.273486             D100300200096 
 0.         2.          9.795      1.83765   0.282735             D100300200097 
 0.         2.          9.805      2.30855   0.288965             D100300200098 
 0.         2.          9.815      1.61943   0.253979             D100300200099 
 0.         2.          9.825      2.32004   0.312012             D100300200100 
 0.         2.          9.835      2.83688   0.313909             D100300200101 
 0.         2.          9.845      2.25113   0.306897             D100300200102 
 0.         2.          9.855      1.34378   0.276365             D100300200103 
 0.         2.          9.865      1.18299   0.277793             D100300200104 
 0.         2.          9.875      0.206736  0.248466             D100300200105 
 0.         2.          9.885      2.05587   0.282035             D100300200106 
 0.         2.          9.895      1.2519    0.258611             D100300200107 
 0.         2.          9.905      1.38973   0.257077             D100300200108 
 0.         2.          9.915      0.539811  0.244451             D100300200109 
 0.         2.          9.925      0.252677  0.238718             D100300200110 
 0.         2.          9.935      1.35527   0.253199             D100300200111 
 0.         2.          9.945      0.183765  0.202871             D100300200112 
 0.         2.          9.955      0.849915  0.23028              D100300200113 
 0.         2.          9.965      1.30933   0.253199             D100300200114 
 0.         2.          9.975      0.17228   0.225943             D100300200115 
 0.         2.          9.985      0.585752  0.222413             D100300200116 
 0.         2.          9.995      0.803973  0.225066             D100300200117 
 0.         2.         10.005      1.13705   0.236218             D100300200118 
 0.         2.         10.015      1.7228    0.263913             D100300200119 
 0.         2.         10.025      1.63092   0.286904             D100300200120 
 0.         2.         10.035      2.72202   0.307541             D100300200121 
 0.         2.         10.045      2.95173   0.326272             D100300200122 
 0.         2.         10.055      3.3652    0.340516             D100300200123 
 0.         2.         10.065      1.84914   0.290331             D100300200124 
 0.         2.         10.075      2.0329    0.298398             D100300200125 
 0.         2.         10.085      1.97548   0.292369             D100300200126 
 0.         2.         10.095      2.64163   0.331686             D100300200127 
 0.         2.         10.105      2.95173   0.318912             D100300200128 
 0.         2.         10.115      2.53826   0.298398             D100300200129 
 0.         2.         10.125      1.58498   0.269844             D100300200130 
 0.         2.         10.135      2.72202   0.32015              D100300200131 
 0.         2.         10.145      1.58498   0.275648             D100300200132 
 0.         2.         10.155      1.68834   0.246065             D100300200133 
 0.         2.         10.165      1.6424    0.31642              D100300200134 
 0.         2.         10.175      0.781003  0.266895             D100300200135 
 0.         2.         10.185      0.976253  0.231138             D100300200136 
 0.         2.         10.195      1.05665   0.217919             D100300200137 
 0.         2.         10.205      0.183765  0.242011             D100300200138 
 0.         2.         10.215      0.229707  0.221521             D100300200139 
 0.         2.         10.225      1.2519    0.252416             D100300200140 
 0.         2.         10.235     -0.149309  0.169967             D100300200141 
 0.         2.         10.245      0.758032  0.23028              D100300200142 
 0.         2.         10.255      0.390501  0.200911             D100300200143 
 0.         2.         10.265      0.712091  0.217919             D100300200144 
 0.         2.         10.275      1.12556   0.259375             D100300200145 
 0.         2.         10.285      1.59646   0.273486             D100300200146 
 0.         2.         10.295      2.56123   0.30235              D100300200147 
 0.         2.         10.305      6.05277   0.456677             D100300200148 
 0.         2.         10.315      8.614     0.548417             D100300200149 
 0.         2.         10.325     11.6232    0.632841             D100300200150 
 0.         2.         10.335     17.8942    0.785214             D100300200151 
 0.         2.         10.345     20.8688    0.847972             D100300200152 
 0.         2.         10.355     20.6162    0.842823             D100300200153 
 0.         2.         10.365     19.1805    0.812947             D100300200154 
 0.         2.         10.375     12.3927    0.653454             D100300200155 
 0.         2.         10.385      8.94707   0.55523              D100300200156 
 0.         2.         10.395      8.2235    0.532305             D100300200157 
 0.         2.         10.405      6.01831   0.4597               D100300200158 
 0.         2.         10.415      5.5589    0.43765              D100300200159 
 0.         2.         10.425      4.36443   0.387789             D100300200160 
 0.         2.         10.435      1.26339   0.275648             D100300200161 
 0.         2.         10.445      1.4127    0.272035             D100300200162 
 0.         2.         10.455      1.57349   0.284827             D100300200163 
 0.         2.         10.465      1.28636   0.253199             D100300200164 
 0.         2.         10.475      2.1133    0.297734             D100300200165 
 0.         2.         10.485      1.45864   0.241192             D100300200166 
 0.         2.         10.495      0.229707  0.231992             D100300200167 
 0.         2.         10.505      0.068912  0.228555             D100300200168 
 0.         2.         10.515      0.907341  0.224185             D100300200169 
 0.         2.         10.525      0.918827  0.23028              D100300200170 
 0.         2.         10.535     -0.0574268 0.260137             D100300200171 
 0.         2.         10.545      0.275648  0.246868             D100300200172 
 0.         2.         10.555      0.987739  0.24037              D100300200173 
 0.         2.         10.565      2.22815   0.281332             D100300200174 
 0.         2.         10.575      1.67686   0.262409             D100300200175 
 0.         2.         10.585      1.76874   0.262409             D100300200176 
 0.         2.         10.595      2.33152   0.286213             D100300200177 
 0.         2.         10.605      2.98619   0.326878             D100300200178 
 0.         2.         10.615      2.23964   0.299721             D100300200179 
 0.         2.         10.625      3.18144   0.351946             D100300200180 
 0.         2.         10.635      6.9716    0.490116             D100300200181 
 0.         2.         10.645     11.3705    0.625924             D100300200182 
 0.         2.         10.655     16.8375    0.761678             D100300200183 
 0.         2.         10.665     24.257     0.914221             D100300200184 
 0.         2.         10.675     30.172     1.01961              D100300200185 
 0.         2.         10.685     34.2033    1.08559              D100300200186 
 0.         2.         10.695     29.1153    1.0016               D100300200187 
 0.         2.         10.705     22.4998    0.880484             D100300200188 
 0.         2.         10.715     17.3199    0.772511             D100300200189 
 0.         2.         10.725     13.323     0.677537             D100300200190 
 0.         2.         10.735      7.33913   0.502869             D100300200191 
 0.         2.         10.745      5.78861   0.446601             D100300200192 
 0.         2.         10.755      3.59491   0.351946             D100300200193 
 0.         2.         10.765      2.98619   0.325665             D100300200194 
 0.         2.         10.775      2.17073   0.279214             D100300200195 
 0.         2.         10.785      2.37746   0.295733             D100300200196 
 0.         2.         10.795      1.44715   0.250053             D100300200197 
 0.         2.         10.805      1.55052   0.249261             D100300200198 
 0.         2.         10.815      1.79171   0.257845             D100300200199 
 0.         2.         10.825      2.09033   0.271307             D100300200200 
 0.         2.         10.835      2.12479   0.276365             D100300200201 
 0.         2.         10.845      1.47012   0.235379             D100300200202 
 0.         2.         10.855      1.36675   0.244451             D100300200203 
 0.         2.         10.865      2.88282   0.332282             D100300200204 
 0.         2.         10.875      3.61788   0.355304             D100300200205 
 0.         2.         10.885      5.7197    0.443935             D100300200206 
 0.         2.         10.895      7.69517   0.514922             D100300200207 
 0.         2.         10.905     10.4976    0.601419             D100300200208 
 0.         2.         10.915     11.0144    0.616047             D100300200209 
 0.         2.         10.925     10.153     0.60339              D100300200210 
 0.         2.         10.935      9.26866   0.56512              D100300200211 
 0.         2.         10.945      5.38662   0.433562             D100300200212 
 0.         2.         10.955      5.68524   0.44438              D100300200213 
 0.         2.         10.965      3.48006   0.346279             D100300200214 
 0.         2.         10.975      5.01909   0.415858             D100300200215 
 0.         2.         10.985      5.89198   0.450571             D100300200216 
 0.         2.         10.995      5.2488    0.426197             D100300200217 
 0.         2.         11.005      4.08878   0.379538             D100300200218 
 0.         2.         11.015      3.74422   0.363561             D100300200219 
 0.         2.         11.025      3.95095   0.368964             D100300200220 
 0.         2.         11.035      1.94102   0.283434             D100300200221 
 0.         2.         11.045      2.48083   0.295064             D100300200222 
 0.         2.         11.055      1.07962   0.262409             D100300200223 
 0.         2.         11.065      2.28558   0.286213             D100300200224 
 0.         2.         11.075      3.61788   0.353069             D100300200225 
 0.         2.         11.085      2.25113   0.29906              D100300200226 
 0.         2.         11.095      4.307     0.396369             D100300200227 
 0.         2.         11.105      5.51296   0.435838             D100300200228 
 0.         2.         11.115     10.0956    0.589792             D100300200229 
 0.         2.         11.125     12.921     0.667238             D100300200230 
 0.         2.         11.135     14.7472    0.712831             D100300200231 
 0.         2.         11.145     15.0573    0.720287             D100300200232 
 0.         2.         11.155     17.3773    0.773791             D100300200233 
 0.         2.         11.165     17.1131    0.767887             D100300200234 
 0.         2.         11.175     16.9868    0.765047             D100300200235 
 0.         2.         11.185     17.1935    0.769689             D100300200236 
 0.         2.         11.195     18.4225    0.796721             D100300200237 
 0.         2.         11.205     16.1828    0.746723             D100300200238 
 0.         2.         11.215     15.3903    0.72821              D100300200239 
 0.         2.         11.225     11.3705    0.625924             D100300200240 
 0.         2.         11.235      9.4754    0.571388             D100300200241 
 0.         2.         11.245      6.5811    0.476191             D100300200242 
 0.         2.         11.255      3.30778   0.338769             D100300200243 
 0.         2.         11.265      3.43411   0.354188             D100300200244 
 0.         2.         11.275      2.21667   0.286213             D100300200245 
 0.         2.         11.285      2.02142   0.266895             D100300200246 
 0.         2.         11.295      1.69983   0.281332             D100300200247 
 0.         2.         11.305      2.0329    0.266153             D100300200248 
 0.         2.         11.315      2.21667   0.294392             D100300200249 
 0.         2.         11.325      1.69983   0.259375             D100300200250 
 0.         2.         11.335      2.61866   0.303004             D100300200251 
 0.         2.         11.345      2.52677   0.301695             D100300200252 
 0.         2.         11.355      5.66227   0.4417               D100300200253 
 0.         2.         11.365      7.69517   0.514922             D100300200254 
 0.         2.         11.375      8.29241   0.53601              D100300200255 
 0.         2.         11.385      9.05044   0.558428             D100300200256 
 0.         2.         11.395      7.23576   0.502475             D100300200257 
 0.         2.         11.405      7.89042   0.521414             D100300200258 
 0.         2.         11.415      7.74111   0.516457             D100300200259 
 0.         2.         11.425      8.90113   0.553803             D100300200260 
 0.         2.         11.435      9.57877   0.574496             D100300200261 
 0.         2.         11.445     12.7143    0.661878             D100300200262 
 0.         2.         11.455     16.068     0.744069             D100300200263 
 0.         2.         11.465     15.9646    0.741672             D100300200264 
 0.         2.         11.475     20.2716    0.83575              D100300200265 
 0.         2.         11.485     29.4714    1.0077               D100300200266 
 0.         2.         11.495     35.5586    1.10689              D100300200267 
 0.         2.         11.505     41.129     1.19044              D100300200268 
 0.         2.         11.515     39.9919    1.17387              D100300200269 
 0.         2.         11.525     35.8917    1.11206              D100300200270 
 0.         2.         11.535     29.4829    1.0079               D100300200271 
 0.         2.         11.545     26.6       0.957356             D100300200272 
 0.         2.         11.555     19.5366    0.820458             D100300200273 
 0.         2.         11.565     14.4256    0.705016             D100300200274 
 0.         2.         11.575     12.0137    0.643384             D100300200275 
 0.         2.         11.585      7.79854   0.518369             D100300200276 
 0.         2.         11.595      5.89198   0.450571             D100300200277 
 0.         2.         11.605      5.22583   0.424336             D100300200278 
 0.         2.         11.615      4.31849   0.392859             D100300200279 
 0.         2.         11.625      2.73351   0.33049              D100300200280 
 0.         2.         11.635      3.27332   0.335836             D100300200281 
 0.         2.         11.645      3.18144   0.331089             D100300200282 
 0.         2.         11.655      4.34146   0.386768             D100300200283 
 0.         2.         11.665      6.20208   0.462276             D100300200284 
 0.         2.         11.675     10.7618    0.608939             D100300200285 
 0.         2.         11.685     19.0886    0.810998             D100300200286 
 0.         2.         11.695     33.273     1.07073              D100300200287 
 0.         2.         11.705     51.7644    1.33551              D100300200288 
 0.         2.         11.715     68.0965    1.53177              D100300200289 
 0.         2.         11.725     75.7917    1.61601              D100300200290 
 0.         2.         11.735     71.5766    1.57043              D100300200291 
 0.         2.         11.745     58.7475    1.42274              D100300200292 
 0.         2.         11.755     39.4177    1.16541              D100300200293 
 0.         2.         11.765     23.7057    0.903772             D100300200294 
 0.         2.         11.775     15.241     0.724669             D100300200295 
 0.         2.         11.785      9.92333   0.584738             D100300200296 
 0.         2.         11.795      8.0627    0.527075             D100300200297 
 0.         2.         11.805      9.44094   0.570348             D100300200298 
 0.         2.         11.815     13.3689    0.678704             D100300200299 
 0.         2.         11.825     19.95      0.829095             D100300200300 
 0.         2.         11.835     34.1229    1.08432              D100300200301 
 0.         2.         11.845     46.0677    1.25988              D100300200302 
 0.         2.         11.855     58.9887    1.42566              D100300200303 
 0.         2.         11.865     63.043     1.47384              D100300200304 
 0.         2.         11.875     52.7751    1.34849              D100300200305 
 0.         2.         11.885     40.6696    1.18377              D100300200306 
 0.         2.         11.895     30.6773    1.02811              D100300200307 
 0.         2.         11.905     18.9623    0.80831              D100300200308 
 0.         2.         11.915     12.5879    0.658581             D100300200309 
 0.         2.         11.925      9.61322   0.575529             D100300200310 
 0.         2.         11.935      8.12013   0.528949             D100300200311 
 0.         2.         11.945      7.60329   0.511839             D100300200312 
 0.         2.         11.955      7.63775   0.512997             D100300200313 
 0.         2.         11.965      8.54509   0.542614             D100300200314 
 0.         2.         11.975      8.72885   0.548417             D100300200315 
 0.         2.         11.985     10.176     0.592135             D100300200316 
 0.         2.         11.995      9.36055   0.567915             D100300200317 
 0.         2.         12.005      9.10787   0.560197             D100300200318 
 0.         2.         12.015      9.02747   0.557719             D100300200319 
 0.         2.         12.025      7.54586   0.509902             D100300200320 
 0.         2.         12.035      6.98308   0.490519             D100300200321 
 0.         2.         12.045      6.44327   0.471179             D100300200322 
 0.         2.         12.055      7.3621    0.503655             D100300200323 
 0.         2.         12.065      7.32764   0.502475             D100300200324 
 0.         2.         12.075      6.76486   0.482794             D100300200325 
 0.         2.         12.085      6.96011   0.489712             D100300200326 
 0.         2.         12.095      7.07497   0.493736             D100300200327 
 0.         2.         12.105      8.39578   0.537852             D100300200328 
 0.         2.         12.115      6.99457   0.490922             D100300200329 
 0.         2.         12.125      7.13239   0.49733              D100300200330 
 0.         2.         12.135      5.04206   0.416808             D100300200331 
 0.         2.         12.145      3.16995   0.33049              D100300200332 
 0.         2.         12.155      2.34301   0.296402             D100300200333 
 0.         2.         12.165      0.987738  0.265408             D100300200334 
 0.         2.         12.175      1.18299   0.26911              D100300200335 
 0.         2.         12.185      0.803973  0.228555             D100300200336 
 0.         2.         12.195      1.11408   0.266153             D100300200337 
 0.         2.         12.205      1.36675   0.255533             D100300200338 
 0.         2.         12.215      2.22815   0.279922             D100300200339 
 0.         2.         12.225      1.94102   0.290331             D100300200340 
 0.         2.         12.235      2.80242   0.312012             D100300200341 
 0.         2.         12.245      3.64085   0.354188             D100300200342 
 0.         2.         12.255      3.64085   0.356416             D100300200343 
 0.         2.         12.265      4.10026   0.375871             D100300200344 
 0.         2.         12.275      2.46935   0.30235              D100300200345 
 0.         2.         12.285      1.49309   0.251631             D100300200346 
 0.         2.         12.295      1.04517   0.234537             D100300200347 
 0.         2.         12.305      0.298619  0.186615             D100300200348 
 0.         2.         12.315      1.36675   0.244451             D100300200349 
 0.         2.         12.325      0.838429  0.229419             D100300200350 
 0.         2.         12.335      0.528325  0.233692             D100300200351 
 0.         2.         12.345      0.482384  0.257845             D100300200352 
 0.         2.         12.355      1.29784   0.215178             D100300200353 
 0.         2.         12.365      0.459413  0.198932             D100300200354 
 0.         2.         12.375      1.21745   0.257845             D100300200355 
 0.         2.         12.385      1.99845   0.263913             D100300200356 
 0.         2.         12.395      3.15847   0.329891             D100300200357 
 0.         2.         12.405      1.75726   0.293045             D100300200358 
 0.         2.         12.415      3.65234   0.368964             D100300200359 
 0.         2.         12.425      4.42185   0.402315             D100300200360 
 0.         2.         12.435      5.19137   0.422935             D100300200361 
 0.         2.         12.445      7.08645   0.494136             D100300200362 
 0.         2.         12.455      7.55735   0.514922             D100300200363 
 0.         2.         12.465      7.45398   0.508348             D100300200364 
 0.         2.         12.475      8.09716   0.5282               D100300200365 
 0.         2.         12.485      6.38585   0.470759             D100300200366 
 0.         2.         12.495      6.15614   0.46056              D100300200367 
 0.         2.         12.505      4.53671   0.395369             D100300200368 
 0.         2.         12.515      4.86978   0.413472             D100300200369 
 0.         2.         12.525      3.72125   0.363561             D100300200370 
 0.         2.         12.535      5.92643   0.458839             D100300200371 
 0.         2.         12.545      7.08645   0.496533             D100300200372 
 0.         2.         12.555      8.9241    0.554517             D100300200373 
 0.         2.         12.565      9.73956   0.579298             D100300200374 
 0.         2.         12.575      8.82074   0.551296             D100300200375 
 0.         2.         12.585      9.85442   0.582704             D100300200376 
 0.         2.         12.595      8.60252   0.548056             D100300200377 
 0.         2.         12.605      5.75415   0.44527              D100300200378 
 0.         2.         12.615      4.88127   0.410108             D100300200379 
 0.         2.         12.625      3.90501   0.371102             D100300200380 
 0.         2.         12.635      4.28403   0.384201             D100300200381 
 0.         2.         12.645      4.70899   0.402806             D100300200382 
 0.         2.         12.655      4.307     0.392355             D100300200383 
 0.         2.         12.665      3.74422   0.360281             D100300200384 
 0.         2.         12.675      3.0551    0.329291             D100300200385 
 0.         2.         12.685      3.62937   0.358077             D100300200386 
 0.         2.         12.695      5.29474   0.431732             D100300200387 
 0.         2.         12.705      5.4785    0.434474             D100300200388 
 0.         2.         12.715      6.9716    0.491728             D100300200389 
 0.         2.         12.725      9.81996   0.581684             D100300200390 
 0.         2.         12.735     13.1277    0.672554             D100300200391 
 0.         2.         12.745     14.2878    0.70164              D100300200392 
 0.         2.         12.755     17.9516    0.786473             D100300200393 
 0.         2.         12.765     27.4729    0.972937             D100300200394 
 0.         2.         12.775     42.4383    1.20924              D100300200395 
 0.         2.         12.785     55.9221    1.38811              D100300200396 
 0.         2.         12.795     65.3056    1.50006              D100300200397 
 0.         2.         12.805     65.9373    1.50729              D100300200398 
 0.         2.         12.815     64.226     1.48761              D100300200399 
 0.         2.         12.825     54.6357    1.37205              D100300200400 
 0.         2.         12.835     43.2767    1.22112              D100300200401 
 0.         2.         12.845     33.1122    1.06814              D100300200402 
 0.         2.         12.855     24.3719    0.916383             D100300200403 
 0.         2.         12.865     14.6553    0.710607             D100300200404 
 0.         2.         12.875     10.4172    0.599112             D100300200405 
 0.         2.         12.885      7.14388   0.496134             D100300200406 
 0.         2.         12.895      6.3399    0.467384             D100300200407 
 0.         2.         12.905      4.01987   0.380579             D100300200408 
 0.         2.         12.915      3.03213   0.328087             D100300200409 
 0.         2.         12.925      3.33075   0.347989             D100300200410 
 0.         2.         12.935      3.93947   0.368427             D100300200411 
 0.         2.         12.945      5.12246   0.420118             D100300200412 
 0.         2.         12.955      5.74267   0.444825             D100300200413 
 0.         2.         12.965      6.53515   0.474526             D100300200414 
 0.         2.         12.975      8.15459   0.53007              D100300200415 
 0.         2.         12.985      8.24647   0.533048             D100300200416 
 0.         2.         12.995      9.96927   0.58609              D100300200417 
 0.         2.         13.005     10.6699    0.606334             D100300200418 
 0.         2.         13.015     10.3827    0.59812              D100300200419 
