ENTRY            D1046   20230503                             D139D104600000001 
SUBENT        D1046001   20230503                             D139D104600100001 
BIB                 11         25                                 D104600100002 
TITLE      Determination and benchmarking of 27Al(d,alpha) and    D104600100003 
            27Al(d,p) reaction cross sections for energies and    D104600100004 
            angles relevant to NRA                                D104600100005 
AUTHOR     (M.Salimi, O.Kakuee, S.F.Masoudi, H.Rafi-Kheiri,       D104600100006 
            E.Briand, J.-J.Ganem, I.Vickridge)                    D104600100007 
INSTITUTE  (3IRNNRT)                                              D104600100008 
           (3IRNIRN) K.N. Toosi University of Technology, Tehran  D104600100009 
           (2FR FR) Sorbonne Universite, Institut des NanoSciencesD104600100010 
           de Paris, Paris                                        D104600100011 
REFERENCE  (J,SCR,11,18036,2021)                                  D104600100012 
           #doi:10.1038/s41598-021-97372-7                        D104600100013 
FACILITY   (VDGT,3IRNNRT)                                         D104600100014 
DETECTOR   (SIBAR) Three 25 mm2 x 300 um thick surface barrier    D104600100015 
           detectors.                                             D104600100016 
SAMPLE     A thin Al target. A 10 +- 0.5 nm Ag film was           D104600100017 
           deposited onto the thin self-supporting vacuum         D104600100018 
           evaporated Al target as an internal reference.         D104600100019 
           The thickness and stoichiometry of the Al/Au target    D104600100020 
           were measured by alpha particle beams of 1.8 MeV.      D104600100021 
MONITOR    (47-AG-0(D,EL)47-AG-0,,DA,,RTH)                        D104600100022 
ANALYSIS   (NTRTH) Ag+d elastic scattering                        D104600100023 
ERR-ANALYS (ERR-S) Estimated uncertainties from counting          D104600100024 
           statistics.                                            D104600100025 
HISTORY    (20210630R) Data received from M.Salimi for IBANDL     D104600100026 
           (20230503C) VS                                         D104600100027 
ENDBIB              25          0                                 D104600100028 
NOCOMMON             0          0                                 D104600100029 
ENDSUBENT           28          0                                 D104600199999 
SUBENT        D1046002   20230503                             D139D104600200001 
BIB                  3          5                                 D104600200002 
REACTION   (13-AL-27(D,A)12-MG-25,PAR,DA)                         D104600200003 
REL-REF    (O,O2572002,M.Salimi+,J,SCR,11,18036,2021)             D104600200004 
STATUS     (TABLE) Figs. 4, 6a), and 7a) of                       D104600200005 
           Scient.Rep.11(2012)18036                               D104600200006 
           Converted by R33toX4 from R33 files.                   D104600200007 
ENDBIB               5          0                                 D104600200008 
NOCOMMON             0          0                                 D104600200009 
DATA                 5        647                                 D104600200010 
Q-VAL      ANG        EN         DATA       ERR-S                 D104600200011 
    6706.73       135.   1506.282     0.0888     0.0025           D104600200054 
    6706.73       135.  1496.1395     0.0939     0.0026           D104600200055 
    6706.73       135.  1485.9955     0.0941     0.0026           D104600200056 
    6706.73       135.  1475.8515     0.0953     0.0037           D104600200057 
    6706.73       135.  1465.7064     0.0954     0.0037           D104600200058 
    6706.73       135.  1455.5609     0.0975     0.0037           D104600200059 
    6706.73       135.  1445.4824     0.0834     0.0034           D104600200060 
    6706.73       135.  1435.3363     0.0854     0.0034           D104600200061 
    6706.73       135.  1425.1888     0.0888     0.0035           D104600200062 
    6706.73       135.  1415.0418     0.0739     0.0032           D104600200063 
    6706.73       135.  1404.8927     0.0785     0.0033           D104600200064 
    6706.73       135.  1394.7437     0.0818     0.0034           D104600200065 
    6706.73       135.  1384.5937     0.0752     0.0032           D104600200066 
    6706.73       150.  1921.6528     0.3424     0.0064           D104600200067 
    6706.73       150.  1911.5312     0.3346     0.0066           D104600200068 
    6706.73       150.  1901.4042      0.302     0.0061           D104600200069 
    6706.73       150.  1891.2772      0.285     0.0062           D104600200070 
    6706.73       150.  1881.1497     0.2831     0.0061           D104600200071 
    6706.73       150.  1871.0216     0.2801      0.006           D104600200072 
    6706.73       150.  1860.8931     0.2745      0.006           D104600200073 
    6706.73       150.  1850.7651     0.2603     0.0058           D104600200074 
    6706.73       150.   1840.636     0.2158     0.0053           D104600200075 
    6706.73       150.   1830.507     0.1897     0.0048           D104600200076 
    6706.73       150.  1820.3775     0.1623     0.0045           D104600200077 
    6706.73       150.  1810.2474     0.1545     0.0044           D104600200078 
    6706.73       150.  1800.1379     0.1482     0.0058           D104600200079 
    6706.73       150.  1790.0074     0.1511     0.0057           D104600200080 
    6706.73       150.  1779.8759     0.1715      0.006           D104600200081 
    6706.73       150.  1769.7448     0.1667     0.0053           D104600200082 
    6706.73       150.  1759.6138      0.183     0.0055           D104600200083 
    6706.73       150.  1749.4818     0.1719     0.0054           D104600200084 
    6706.73       150.  1739.3489     0.1702     0.0053           D104600200085 
    6706.73       150.  1729.2167     0.1485      0.005           D104600200086 
    6706.73       150.  1719.0831     0.1418     0.0048           D104600200087 
    6706.73       150.  1708.9501     0.1228     0.0045           D104600200088 
    6706.73       150.  1698.8166     0.1115     0.0043           D104600200089 
    6706.73       150.  1688.6818     0.1195      0.004           D104600200090 
    6706.73       150.  1678.5469     0.1348     0.0045           D104600200091 
    6706.73       150.  1668.4124     0.1185      0.004           D104600200092 
    6706.73       150.   1658.277      0.129     0.0042           D104600200093 
    6706.73       150.    1648.14     0.1307     0.0042           D104600200094 
    6706.73       150.  1638.0054     0.1291     0.0042           D104600200095 
    6706.73       150.  1627.8664     0.1351     0.0043           D104600200096 
    6706.73       150.  1617.7289     0.1457     0.0043           D104600200097 
    6706.73       150.  1607.5908      0.147     0.0044           D104600200098 
    6706.73       150.  1597.4528     0.1381     0.0043           D104600200099 
    6706.73       150.  1587.3143     0.1334     0.0042           D104600200100 
    6706.73       150.  1577.1453     0.1323      0.003           D104600200101 
    6706.73       150.  1567.0047     0.1213     0.0028           D104600200102 
    6706.73       150.  1556.8942     0.1112     0.0027           D104600200103 
    6706.73       150.  1546.7532     0.0978     0.0025           D104600200104 
    6706.73       150.  1536.6121     0.0816     0.0023           D104600200105 
    6706.73       150.  1526.4696     0.0729     0.0022           D104600200106 
    6706.73       150.  1516.3281     0.0706     0.0022           D104600200107 
    6706.73       150.  1506.1845      0.069     0.0022           D104600200108 
    6706.73       150.   1496.041     0.0732     0.0022           D104600200109 
    6706.73       150.   1485.897      0.076     0.0023           D104600200110 
    6706.73       150.   1475.807      0.082     0.0033           D104600200111 
    6706.73       150.  1465.6069     0.0842     0.0034           D104600200112 
    6706.73       150.  1455.4614     0.0817     0.0034           D104600200113 
    6706.73       150.  1445.2809     0.0787     0.0032           D104600200114 
    6706.73       150.  1435.1328     0.0753     0.0032           D104600200115 
    6706.73       150.  1424.9848     0.0688      0.003           D104600200116 
    6706.73       150.  1414.8363     0.0649      0.003           D104600200117 
    6706.73       150.  1404.6877     0.0621     0.0029           D104600200118 
    6706.73       150.  1394.5377     0.0556     0.0027           D104600200119 
    6706.73       150.  1384.3872     0.0487     0.0026           D104600200120 
    6706.73       165.  1921.2813     0.3716     0.0064           D104600200121 
    6706.73       165.  1911.1542     0.3638     0.0065           D104600200122 
    6706.73       165.  1901.0262     0.3348     0.0063           D104600200123 
    6706.73       165.  1890.8977     0.3108      0.006           D104600200124 
    6706.73       165.  1880.7692     0.2879     0.0058           D104600200125 
    6706.73       165.  1870.6401     0.2804     0.0056           D104600200126 
    6706.73       165.  1860.5106      0.268     0.0055           D104600200127 
    6706.73       165.  1850.3811     0.2576     0.0054           D104600200128 
    6706.73       165.  1840.2495     0.2052     0.0048           D104600200129 
    6706.73       165.  1830.1195     0.1572     0.0041           D104600200130 
    6706.73       165.  1819.9885     0.1291     0.0037           D104600200131 
    6706.73       165.  1809.8574     0.1257     0.0037           D104600200132 
    6706.73       165.  1799.9594      0.122     0.0049           D104600200133 
    6706.73       165.  1789.8284     0.1242     0.0049           D104600200134 
    6706.73       165.  1779.6974     0.1383     0.0051           D104600200135 
    6706.73       165.  1769.5648     0.1467     0.0047           D104600200136 
    6706.73       165.  1759.4333     0.1535     0.0047           D104600200137 
    6706.73       165.  1749.3013      0.163     0.0049           D104600200138 
    6706.73       165.  1739.1677     0.1632     0.0049           D104600200139 
    6706.73       165.  1729.0352     0.1443     0.0046           D104600200140 
    6706.73       165.  1718.9012      0.138     0.0045           D104600200141 
    6706.73       165.  1708.7666     0.1197     0.0042           D104600200142 
    6706.73       165.  1698.6326     0.1079      0.004           D104600200143 
    6706.73       165.  1688.4976     0.1095     0.0036           D104600200144 
    6706.73       165.  1678.3621     0.1092     0.0036           D104600200145 
    6706.73       165.   1668.226     0.1218     0.0038           D104600200146 
    6706.73       165.  1658.0895     0.1303      0.004           D104600200147 
    6706.73       165.   1647.953     0.1342     0.0041           D104600200148 
    6706.73       165.  1637.8154     0.1382     0.0041           D104600200149 
    6706.73       165.  1627.6779     0.1415     0.0042           D104600200150 
    6706.73       165.  1617.5399     0.1459     0.0041           D104600200151 
    6706.73       165.  1607.4008     0.1389      0.004           D104600200152 
    6706.73       165.  1597.2618     0.1285     0.0039           D104600200153 
    6706.73       165.  1587.1228     0.1195     0.0038           D104600200154 
    6706.73       165.  1576.7223     0.1241     0.0027           D104600200155 
    6706.73       165.  1566.5807      0.125     0.0027           D104600200156 
    6706.73       165.  1556.7007      0.121     0.0027           D104600200157 
    6706.73       165.  1546.5597     0.1034     0.0025           D104600200158 
    6706.73       165.  1536.4171     0.0788     0.0022           D104600200159 
    6706.73       165.  1526.2746     0.0663      0.002           D104600200160 
    6706.73       165.  1516.1311     0.0679      0.002           D104600200161 
    6706.73       165.  1505.9875     0.0625     0.0019           D104600200162 
    6706.73       165.   1495.843     0.0668      0.002           D104600200163 
    6706.73       165.  1485.6985     0.0709     0.0021           D104600200164 
    6706.73       165.   1475.553     0.0714     0.0029           D104600200165 
    6706.73       165.  1465.4074     0.0757      0.003           D104600200166 
    6706.73       165.  1455.2609     0.0757      0.003           D104600200167 
    6706.73       165.  1444.9014     0.0767      0.003           D104600200168 
    6706.73       165.  1434.6868     0.0707     0.0029           D104600200169 
    6706.73       165.  1424.5368     0.0685     0.0029           D104600200170 
    6706.73       165.  1414.3863      0.061     0.0027           D104600200171 
    6706.73       165.  1404.2352     0.0547     0.0025           D104600200172 
    6706.73       165.  1394.0832     0.0484     0.0024           D104600200173 
    6706.73       165.  1383.9312     0.0455     0.0023           D104600200174 
    6121.73       135.  1921.8298     0.0957     0.0034           D104600200175 
    6121.73       135.  1911.7032     0.0993     0.0036           D104600200176 
    6121.73       135.  1901.5777     0.1039     0.0035           D104600200177 
    6121.73       135.  1891.4507     0.1023     0.0037           D104600200178 
    6121.73       135.  1881.3237     0.0982     0.0036           D104600200179 
    6121.73       135.  1871.1961     0.0947     0.0035           D104600200180 
    6121.73       135.  1861.0686     0.0876     0.0033           D104600200181 
    6121.73       135.  1850.9406     0.0876     0.0033           D104600200182 
    6121.73       135.   1840.813     0.0831     0.0032           D104600200183 
    6121.73       135.   1830.684     0.0724      0.003           D104600200184 
    6121.73       135.   1820.555     0.0692     0.0029           D104600200185 
    6121.73       135.  1810.4254     0.0731      0.003           D104600200186 
    6121.73       135.  1800.2269     0.0754     0.0041           D104600200187 
    6121.73       135.  1790.0969     0.0793     0.0042           D104600200188 
    6121.73       135.  1779.9664      0.076      0.004           D104600200189 
    6121.73       135.  1769.8353     0.0683     0.0034           D104600200190 
    6121.73       135.  1759.7038      0.054      0.003           D104600200191 
    6121.73       135.  1749.5723     0.0449     0.0027           D104600200192 
    6121.73       135.  1739.4402     0.0378     0.0025           D104600200193 
    6121.73       135.  1729.3082     0.0318     0.0023           D104600200194 
    6121.73       135.  1719.1757     0.0341     0.0024           D104600200195 
    6121.73       135.  1709.0416     0.0395     0.0025           D104600200196 
    6121.73       135.  1698.9081      0.047     0.0028           D104600200197 
    6121.73       135.  1688.7741     0.0623     0.0028           D104600200198 
    6121.73       135.  1678.6391     0.0734     0.0031           D104600200199 
    6121.73       135.  1668.5045     0.0785     0.0032           D104600200200 
    6121.73       135.    1658.37      0.085     0.0034           D104600200201 
    6121.73       135.  1648.2335     0.0779     0.0032           D104600200202 
    6121.73       135.  1638.0969     0.0684      0.003           D104600200203 
    6121.73       135.  1628.0609     0.0559     0.0027           D104600200204 
    6121.73       135.  1617.8234     0.0508     0.0026           D104600200205 
    6121.73       135.  1607.6853     0.0407     0.0023           D104600200206 
    6121.73       135.  1597.5483     0.0326     0.0021           D104600200207 
    6121.73       135.  1587.4098     0.0284      0.002           D104600200208 
    6121.73       135.  1577.3378     0.0339     0.0015           D104600200209 
    6121.73       135.  1567.1982     0.0351     0.0015           D104600200210 
    6121.73       135.  1556.9907     0.0345     0.0015           D104600200211 
    6121.73       135.  1546.8507     0.0301     0.0014           D104600200212 
    6121.73       135.  1536.7086     0.0263     0.0013           D104600200213 
    6121.73       135.  1526.5671     0.0258     0.0013           D104600200214 
    6121.73       135.  1516.4256     0.0284     0.0014           D104600200215 
    6121.73       135.   1506.282      0.031     0.0015           D104600200216 
    6121.73       135.  1496.1395     0.0321     0.0015           D104600200217 
    6121.73       135.  1485.9955      0.036     0.0016           D104600200218 
    6121.73       135.  1475.8515     0.0387     0.0023           D104600200219 
    6121.73       135.  1465.7064     0.0385     0.0023           D104600200220 
    6121.73       135.  1455.5609     0.0351     0.0022           D104600200221 
    6121.73       135.  1445.4824     0.0286      0.002           D104600200222 
    6121.73       135.  1435.3363     0.0292      0.002           D104600200223 
    6121.73       135.  1425.1888     0.0324     0.0021           D104600200224 
    6121.73       135.  1415.0418      0.035     0.0022           D104600200225 
    6121.73       135.  1404.8927       0.03      0.002           D104600200226 
    6121.73       135.  1394.7437     0.0261     0.0019           D104600200227 
    6121.73       135.  1384.5937     0.0233     0.0018           D104600200228 
    6121.73       150.  1921.6528     0.0922     0.0032           D104600200229 
    6121.73       150.  1911.5312     0.0991     0.0035           D104600200230 
    6121.73       150.  1901.4042     0.0944     0.0033           D104600200231 
    6121.73       150.  1891.2772     0.1142     0.0038           D104600200232 
    6121.73       150.  1881.1497     0.1073     0.0037           D104600200233 
    6121.73       150.  1871.0216     0.0958     0.0035           D104600200234 
    6121.73       150.  1860.8931     0.0926     0.0034           D104600200235 
    6121.73       150.  1850.7651     0.1076     0.0037           D104600200236 
    6121.73       150.   1840.636     0.0999     0.0036           D104600200237 
    6121.73       150.   1830.507     0.0906     0.0033           D104600200238 
    6121.73       150.  1820.3775     0.0881     0.0033           D104600200239 
    6121.73       150.  1810.2474     0.0801     0.0031           D104600200240 
    6121.73       150.  1800.1379     0.0861     0.0044           D104600200241 
    6121.73       150.  1790.0074     0.0837     0.0043           D104600200242 
    6121.73       150.  1779.8759     0.0796     0.0041           D104600200243 
    6121.73       150.  1769.7448     0.0728     0.0035           D104600200244 
    6121.73       150.  1759.6138     0.0518     0.0029           D104600200245 
    6121.73       150.  1749.4818     0.0394     0.0025           D104600200246 
    6121.73       150.  1739.3489      0.031     0.0022           D104600200247 
    6121.73       150.  1729.2167     0.0298     0.0022           D104600200248 
    6121.73       150.  1719.0831     0.0294     0.0022           D104600200249 
    6121.73       150.  1708.9501     0.0373     0.0025           D104600200250 
    6121.73       150.  1698.8166     0.0526     0.0029           D104600200251 
    6121.73       150.  1688.6818      0.069      0.003           D104600200252 
    6121.73       150.  1678.5469     0.1046     0.0039           D104600200253 
    6121.73       150.  1668.4124     0.1023     0.0037           D104600200254 
    6121.73       150.   1658.277     0.0967     0.0036           D104600200255 
    6121.73       150.    1648.14     0.0911     0.0035           D104600200256 
    6121.73       150.  1638.0054     0.0801     0.0033           D104600200257 
    6121.73       150.  1627.8664     0.0687      0.003           D104600200258 
    6121.73       150.  1617.7289     0.0576     0.0027           D104600200259 
    6121.73       150.  1607.5908     0.0432     0.0024           D104600200260 
    6121.73       150.  1597.4528     0.0414     0.0023           D104600200261 
    6121.73       150.  1587.3143     0.0412     0.0023           D104600200262 
    6121.73       150.  1577.1453     0.0356     0.0015           D104600200263 
    6121.73       150.  1567.0047     0.0353     0.0015           D104600200264 
    6121.73       150.  1556.8942     0.0318     0.0014           D104600200265 
    6121.73       150.  1546.7532     0.0286     0.0013           D104600200266 
    6121.73       150.  1536.6121     0.0237     0.0012           D104600200267 
    6121.73       150.  1526.4696     0.0241     0.0012           D104600200268 
    6121.73       150.  1516.3281     0.0337     0.0015           D104600200269 
    6121.73       150.  1506.1845     0.0313     0.0014           D104600200270 
    6121.73       150.   1496.041     0.0322     0.0015           D104600200271 
    6121.73       150.   1485.897      0.036     0.0015           D104600200272 
    6121.73       150.   1475.807     0.0339     0.0021           D104600200273 
    6121.73       150.  1465.6069     0.0342     0.0022           D104600200274 
    6121.73       150.  1455.4614     0.0358     0.0022           D104600200275 
    6121.73       150.  1445.2809     0.0303      0.002           D104600200276 
    6121.73       150.  1435.1328     0.0278     0.0019           D104600200277 
    6121.73       150.  1424.9848     0.0278     0.0019           D104600200278 
    6121.73       150.  1414.8363     0.0254     0.0018           D104600200279 
    6121.73       150.  1404.6877     0.0293      0.002           D104600200280 
    6121.73       150.  1394.5377     0.0248     0.0018           D104600200281 
    6121.73       150.  1384.3872     0.0248     0.0018           D104600200282 
    6121.73       165.  1921.2813     0.0968     0.0031           D104600200283 
    6121.73       165.  1911.1542     0.1025     0.0034           D104600200284 
    6121.73       165.  1901.0262     0.1058     0.0036           D104600200285 
    6121.73       165.  1890.8977     0.1046     0.0034           D104600200286 
    6121.73       165.  1880.7692     0.1018     0.0034           D104600200287 
    6121.73       165.  1870.6401     0.1008     0.0033           D104600200288 
    6121.73       165.  1860.5106     0.0993     0.0033           D104600200289 
    6121.73       165.  1850.3811     0.0982     0.0033           D104600200290 
    6121.73       165.  1840.2495     0.0996     0.0033           D104600200291 
    6121.73       165.  1830.1195     0.0948     0.0032           D104600200292 
    6121.73       165.  1819.9885     0.0909     0.0031           D104600200293 
    6121.73       165.  1809.8574     0.0866      0.003           D104600200294 
    6121.73       165.  1799.9594     0.0857     0.0041           D104600200295 
    6121.73       165.  1789.8284     0.0886     0.0041           D104600200296 
    6121.73       165.  1779.6974     0.0873      0.004           D104600200297 
    6121.73       165.  1769.5648     0.0732     0.0033           D104600200298 
    6121.73       165.  1759.4333     0.0475     0.0026           D104600200299 
    6121.73       165.  1749.3013      0.036     0.0023           D104600200300 
    6121.73       165.  1739.1677     0.0279      0.002           D104600200301 
    6121.73       165.  1729.0352     0.0263     0.0019           D104600200302 
    6121.73       165.  1718.9012     0.0332     0.0022           D104600200303 
    6121.73       165.  1708.7666      0.043     0.0025           D104600200304 
    6121.73       165.  1698.6326     0.0572     0.0029           D104600200305 
    6121.73       165.  1688.4976     0.0786      0.003           D104600200306 
    6121.73       165.  1678.3621     0.0939     0.0033           D104600200307 
    6121.73       165.   1668.226     0.1029     0.0035           D104600200308 
    6121.73       165.  1658.0895     0.1067     0.0036           D104600200309 
    6121.73       165.   1647.953     0.0996     0.0035           D104600200310 
    6121.73       165.  1637.8154     0.0857     0.0032           D104600200311 
    6121.73       165.  1627.6779     0.0748      0.003           D104600200312 
    6121.73       165.  1617.5399     0.0647     0.0027           D104600200313 
    6121.73       165.  1607.4008      0.051     0.0024           D104600200314 
    6121.73       165.  1597.2618     0.0462     0.0023           D104600200315 
    6121.73       165.  1587.1228     0.0441     0.0023           D104600200316 
    6121.73       165.  1576.7223     0.0409     0.0015           D104600200317 
    6121.73       165.  1566.5807     0.0373     0.0015           D104600200318 
    6121.73       165.  1556.7007     0.0334     0.0014           D104600200319 
    6121.73       165.  1546.5597     0.0258     0.0012           D104600200320 
    6121.73       165.  1536.4171     0.0213     0.0011           D104600200321 
    6121.73       165.  1526.2746     0.0227     0.0011           D104600200322 
    6121.73       165.  1516.1311     0.0256     0.0012           D104600200323 
    6121.73       165.  1505.9875     0.0283     0.0013           D104600200324 
    6121.73       165.   1495.843     0.0284     0.0013           D104600200325 
    6121.73       165.  1485.6985      0.028     0.0013           D104600200326 
    6121.73       165.   1475.553     0.0316     0.0019           D104600200327 
    6121.73       165.  1465.4074     0.0348      0.002           D104600200328 
    6121.73       165.  1455.2609     0.0305     0.0019           D104600200329 
    6121.73       165.  1444.9014     0.0267     0.0018           D104600200330 
    6121.73       165.  1434.6868     0.0275     0.0018           D104600200331 
    6121.73       165.  1424.5368     0.0306     0.0019           D104600200332 
    6121.73       165.  1414.3863     0.0274     0.0018           D104600200333 
    6121.73       165.  1404.2352     0.0258     0.0017           D104600200334 
    6121.73       165.  1394.0832     0.0253     0.0017           D104600200335 
    6121.73       165.  1383.9312     0.0187     0.0015           D104600200336 
    5731.86       135.  1921.8298      0.178     0.0046           D104600200337 
    5731.86       135.  1911.7032     0.1711     0.0047           D104600200338 
    5731.86       135.  1901.5777     0.1624     0.0044           D104600200339 
    5731.86       135.  1891.4507      0.139     0.0043           D104600200340 
    5731.86       135.  1881.3237     0.1151     0.0039           D104600200341 
    5731.86       135.  1871.1961     0.1186     0.0039           D104600200342 
    5731.86       135.  1861.0686     0.1285     0.0041           D104600200343 
    5731.86       135.  1850.9406     0.1368     0.0042           D104600200344 
    5731.86       135.   1840.813     0.1458     0.0043           D104600200345 
    5731.86       135.   1830.684     0.1596     0.0045           D104600200346 
    5731.86       135.   1820.555     0.1605     0.0045           D104600200347 
    5731.86       135.  1810.4254     0.1656     0.0046           D104600200348 
    5731.86       135.  1800.2269      0.174     0.0063           D104600200349 
    5731.86       135.  1790.0969     0.1938     0.0066           D104600200350 
    5731.86       135.  1779.9664     0.2086     0.0068           D104600200351 
    5731.86       135.  1769.8353     0.2061      0.006           D104600200352 
    5731.86       135.  1759.7038     0.1991     0.0058           D104600200353 
    5731.86       135.  1749.5723     0.1824     0.0055           D104600200354 
    5731.86       135.  1739.4402     0.1627     0.0052           D104600200355 
    5731.86       135.  1729.3082     0.1519      0.005           D104600200356 
    5731.86       135.  1719.1757     0.1415     0.0049           D104600200357 
    5731.86       135.  1709.0416     0.1346     0.0047           D104600200358 
    5731.86       135.  1698.9081     0.1343     0.0047           D104600200359 
    5731.86       135.  1688.7741     0.1254     0.0041           D104600200360 
    5731.86       135.  1678.6391     0.1221      0.004           D104600200361 
    5731.86       135.  1668.5045       0.12      0.004           D104600200362 
    5731.86       135.    1658.37     0.1156      0.004           D104600200363 
    5731.86       135.  1648.2335     0.1088     0.0038           D104600200364 
    5731.86       135.  1638.0969     0.1016     0.0037           D104600200365 
    5731.86       135.  1628.0609       0.11     0.0039           D104600200366 
    5731.86       135.  1617.8234     0.1181     0.0039           D104600200367 
    5731.86       135.  1607.6853     0.1038     0.0037           D104600200368 
    5731.86       135.  1597.5483     0.0984     0.0036           D104600200369 
    5731.86       135.  1587.4098      0.088     0.0035           D104600200370 
    5731.86       135.  1577.3378     0.0863     0.0024           D104600200371 
    5731.86       135.  1567.1982     0.0863     0.0024           D104600200372 
    5731.86       135.  1556.9907     0.0925     0.0025           D104600200373 
    5731.86       135.  1546.8507     0.0963     0.0026           D104600200374 
    5731.86       135.  1536.7086     0.0957     0.0026           D104600200375 
    5731.86       135.  1526.5671     0.0944     0.0025           D104600200376 
    5731.86       135.  1516.4256     0.0948     0.0026           D104600200377 
