ENTRY            D6424   20231114                             D141D642400000001 
SUBENT        D6424001   20231114                             D141D642400100001 
BIB                 11         26                                 D642400100002 
TITLE      Inclusive alpha production for the 6Li + 51V system    D642400100003 
AUTHOR     (C.Joshi, H.Kumawat, V.V.Parkar, D.Dutta,              D642400100004 
           S.V.Suryanarayana, V.Jha, R.K.Singh, N.L.Singh,        D642400100005 
           S.Kailas)                                              D642400100006 
INSTITUTE  (3INDBDA,3INDTRM)                                      D642400100007 
           (3INDIND) Homi Bhabha Institute, Mumbai                D642400100008 
           (3INDIND) UM-DAE, Centre for Excellence in Basic       D642400100009 
              Science, Mumbai                                     D642400100010 
REFERENCE  (J,PR/C,105,034615,2022)                               D642400100011 
FACILITY   (VDGT,3INDTAT) 14-UD BARC-TIFR Pelletron-Linac facilityD642400100012 
SAMPLE     Self-supported 51V target of thickness 1.17 mg/cm2.    D642400100013 
DETECTOR   (TELES,SIBAR,SIBAR) A set of four solid state silicon  D642400100014 
           surface barrier telescope detectors in dE + E          D642400100015 
           arrangement.                                           D642400100016 
           (SIBAR) Two surface barrier detectors mounted at       D642400100017 
           +/- 10 degree for beam monitoring and absolute         D642400100018 
           normalization.                                         D642400100019 
METHOD     (EDE)                                                  D642400100020 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty D642400100021 
           -Statistical errors were ~ 1% at forward angles and    D642400100022 
            ~ 10% above 70 degree for 19.7, 22.7, and 25.7 MeV.   D642400100023 
            In case of 13.6 MeV the statistical error < 5%  at allD642400100024 
           angles.                                                D642400100025 
STATUS     (APRVD) Proof-read by H.Kumawat (2024-01-02)           D642400100026 
HISTORY    (20221103R) Data received from C.Joshi                 D642400100027 
           (20231114C) B.SATHEESH                                 D642400100028 
ENDBIB              26          0                                 D642400100029 
NOCOMMON             0          0                                 D642400100030 
ENDSUBENT           29          0                                 D642400199999 
SUBENT        D6424002   20231114                             D141D642400200001 
BIB                  2          3                                 D642400200002 
REACTION   (23-V-51(3-LI-6,X)2-HE-4,,DA/DE)                       D642400200003 
STATUS     (TABLE,,C.Joshi+,J,PR/C,105,034615,2022) Fig.2(a-f) +  D642400200004 
            Fig.3(a-f)                                            D642400200005 
ENDBIB               3          0                                 D642400200006 
NOCOMMON             0          0                                 D642400200007 
DATA                 5        274                                 D642400200008 
EN-CM      ANG        E          DATA       DATA-ERR              D642400200009 
       19.7       100.        15.     0.5102     0.0401           D642400200133 
       19.7       100.        16.     0.2902     0.0283           D642400200134 
       19.7       100.        17.     0.1837     0.0218           D642400200135 
       19.7       100.        18.      0.093      0.015           D642400200136 
       19.7       100.        19.     0.0612     0.0121           D642400200137 
       19.7       100.        20.     0.0385   9.48E-03           D642400200138 
       19.7       100.        21.     0.0113   5.09E-03           D642400200139 
       19.7       100.        22.     0.0113   5.09E-03           D642400200140 
       19.7       100.        23.   9.07E-03   4.55E-03           D642400200141 
       19.7       100.        24.   6.80E-03   3.94E-03           D642400200142 
       19.7       100.        25.   2.27E-03   2.27E-03           D642400200143 
       25.7        30.         6.     0.2143     0.0447           D642400200144 
       25.7        30.         7.     1.1272     0.1025           D642400200145 
       25.7        30.         8.     1.8445     0.1312           D642400200146 
       25.7        30.         9.     3.2884     0.1754           D642400200147 
       25.7        30.        10.     5.1794     0.2204           D642400200148 
       25.7        30.        11.     5.9992     0.2373           D642400200149 
       25.7        30.        12.     9.6975     0.3023           D642400200150 
       25.7        30.        13.    13.0045     0.3508           D642400200151 
       25.7        30.        14.    18.3143     0.4177           D642400200152 
       25.7        30.        15.    24.7234     0.4871           D642400200153 
       25.7        30.        16.    28.8315     0.5273           D642400200154 
       25.7        30.        17.    28.9806     0.5287           D642400200155 
       25.7        30.        18.    26.9405     0.5092           D642400200156 
       25.7        30.        19.    22.4131     0.4632           D642400200157 
       25.7        30.        20.    17.9231     0.4131           D642400200158 
       25.7        30.        21.    12.9858     0.3506           D642400200159 
       25.7        30.        22.    10.1167     0.3089           D642400200160 
       25.7        30.        23.     7.3779     0.2633           D642400200161 
       25.7        30.        24.     4.8813     0.2139           D642400200162 
       25.7        30.        25.     3.5958     0.1834           D642400200163 
       25.7        30.        26.     1.5371     0.1198           D642400200164 
       25.7        30.        27.     0.5124     0.0691           D642400200165 
       25.7        50.         4.       0.07     0.0231           D642400200166 
       25.7        50.         5.       0.16     0.0354           D642400200167 
       25.7        50.         6.       0.33     0.0508           D642400200168 
       25.7        50.         7.       0.55      0.066           D642400200169 
       25.7        50.         8.       1.35     0.1046           D642400200170 
       25.7        50.         9.        2.2      0.136           D642400200171 
       25.7        50.        10.       3.56     0.1775           D642400200172 
       25.7        50.        11.       4.55     0.2043           D642400200173 
       25.7        50.        12.       6.03     0.2412           D642400200174 
       25.7        50.        13.        6.1     0.2428           D642400200175 
       25.7        50.        14.       7.45     0.2743           D642400200176 
       25.7        50.        15.       7.63     0.2785           D642400200177 
       25.7        50.        16.       7.86     0.2837           D642400200178 
       25.7        50.        17.       7.22      0.269           D642400200179 
       25.7        50.        18.       6.03     0.2412           D642400200180 
       25.7        50.        19.       4.72     0.2085           D642400200181 
       25.7        50.        20.       3.25     0.1687           D642400200182 
       25.7        50.        21.       2.23      0.137           D642400200183 
       25.7        50.        22.       1.44     0.1083           D642400200184 
       25.7        50.        23.       1.23     0.0998           D642400200185 
       25.7        50.        24.       0.81     0.0802           D642400200186 
       25.7        50.        25.       0.47     0.0607           D642400200187 
       25.7        50.        26.       0.21     0.0401           D642400200188 
       25.7        50.        27.       0.08     0.0244           D642400200189 
       25.7        50.        28.       0.21     0.0401           D642400200190 
       25.7        50.        29.        0.1     0.0278           D642400200191 
       25.7        60.         5.     0.1831     0.0302           D642400200192 
       25.7        60.         6.     0.9298     0.0722           D642400200193 
       25.7        60.         7.     1.5368      0.097           D642400200194 
       25.7        60.         8.      2.009     0.1144           D642400200195 
       25.7        60.         9.     2.9484     0.1469           D642400200196 
       25.7        60.        10.     3.5747     0.1675           D642400200197 
       25.7        60.        11.     3.7963     0.1746           D642400200198 
       25.7        60.        12.     4.2781       0.19           D642400200199 
       25.7        60.        13.     4.3793     0.1932           D642400200200 
       25.7        60.        14.     4.5093     0.1973           D642400200201 
       25.7        60.        15.     4.2877     0.1903           D642400200202 
       25.7        60.        16.     3.7433     0.1729           D642400200203 
       25.7        60.        17.     3.0255     0.1494           D642400200204 
       25.7        60.        18.     2.5245     0.1325           D642400200205 
       25.7        60.        19.     1.9078     0.1108           D642400200206 
       25.7        60.        20.      1.426     0.0927           D642400200207 
       25.7        60.        21.     0.8479     0.0685           D642400200208 
       25.7        60.        22.     0.5299     0.0528           D642400200209 
       25.7        60.        23.     0.3661     0.0433           D642400200210 
       25.7        60.        24.     0.3421     0.0418           D642400200211 
       25.7        60.        25.     0.2072     0.0322           D642400200212 
       25.7        60.        26.     0.1012     0.0223           D642400200213 
       25.7        60.        27.     0.0482     0.0153           D642400200214 
       25.7        60.        28.     0.0482     0.0153           D642400200215 
       25.7        60.        29.     0.0193   9.65E-03           D642400200216 
       25.7        60.        30.     0.0385     0.0137           D642400200217 
       25.7        70.         6.      0.882     0.0835           D642400200218 
       25.7        70.         7.     2.4548     0.1805           D642400200219 
       25.7        70.         8.     2.9839     0.2122           D642400200220 
       25.7        70.         9.     3.3122     0.2317           D642400200221 
       25.7        70.        10.     3.2534     0.2282           D642400200222 
       25.7        70.        11.     3.1358     0.2212           D642400200223 
       25.7        70.        12.     2.9398     0.2095           D642400200224 
       25.7        70.        13.     2.6018     0.1893           D642400200225 
       25.7        70.        14.     2.4058     0.1776           D642400200226 
       25.7        70.        15.     1.8913     0.1465           D642400200227 
       25.7        70.        16.     1.6806     0.1337           D642400200228 
       25.7        70.        17.     1.0975     0.0974           D642400200229 
       25.7        70.        18.     0.7595     0.0754           D642400200230 
       25.7        70.        19.     0.4802      0.056           D642400200231 
       25.7        70.        20.     0.3283     0.0445           D642400200232 
       25.7        70.        21.     0.2695     0.0396           D642400200233 
       25.7        70.        22.     0.1715     0.0307           D642400200234 
       25.7        70.        23.     0.0931      0.022           D642400200235 
       25.7        70.        24.      0.049     0.0158           D642400200236 
       25.7        70.        25.      0.049     0.0158           D642400200237 
       25.7        70.        26.     0.0392      0.014           D642400200238 
       25.7        70.        27.     0.0147   8.53E-03           D642400200239 
       25.7        90.         4.       0.24      0.048           D642400200240 
       25.7        90.         5.        0.5     0.0889           D642400200241 
       25.7        90.         6.       1.04     0.1713           D642400200242 
       25.7        90.         7.       1.77     0.2828           D642400200243 
       25.7        90.         8.        2.3     0.3642           D642400200244 
       25.7        90.         9.       2.73     0.4297           D642400200245 
       25.7        90.        10.       3.34     0.5225           D642400200246 
       25.7        90.        11.       2.69     0.4233           D642400200247 
       25.7        90.        12.       2.47     0.3902           D642400200248 
       25.7        90.        13.       1.91     0.3044           D642400200249 
       25.7        90.        14.       1.43     0.2306           D642400200250 
       25.7        90.        15.       1.14     0.1873           D642400200251 
       25.7        90.        16.       0.73     0.1235           D642400200252 
       25.7        90.        17.       0.55     0.0959           D642400200253 
       25.7        90.        18.       0.39     0.0721           D642400200254 
       25.7        90.        19.        0.2     0.0413           D642400200255 
       25.7        90.        20.       0.14     0.0318           D642400200256 
       25.7        90.        21.       0.13     0.0311           D642400200257 
       25.7        90.        22.       0.07     0.0195           D642400200258 
       25.7        90.        23.       0.05     0.0163           D642400200259 
       25.7        90.        24.       0.01   7.46E-03           D642400200260 
       25.7        90.        25.       0.03     0.0119           D642400200261 
       25.7        90.        26.       0.01   6.03E-03           D642400200262 
       25.7        90.        27.       0.01   6.03E-03           D642400200263 
       25.7       100.         5.     0.1231     0.0429           D642400200264 
       25.7       100.         6.     1.1756     0.3255           D642400200265 
       25.7       100.         7.     1.7603     0.4818           D642400200266 
       25.7       100.         8.     2.5358     0.6892           D642400200267 
       25.7       100.         9.     2.7143     0.7369           D642400200268 
       25.7       100.        10.     2.6959     0.7319           D642400200269 
       25.7       100.        11.     2.3943     0.6513           D642400200270 
       25.7       100.        12.     1.9634     0.5361           D642400200271 
       25.7       100.        13.     1.4772     0.4061           D642400200272 
       25.7       100.        14.     1.2002     0.3321           D642400200273 
       25.7       100.        15.     1.0648     0.2959           D642400200274 
       25.7       100.        16.     0.6647     0.1888           D642400200275 
       25.7       100.        17.     0.4432     0.1294           D642400200276 
       25.7       100.        18.     0.2647     0.0814           D642400200277 
       25.7       100.        19.     0.0923     0.0343           D642400200278 
       25.7       100.        20.     0.1231     0.0429           D642400200279 
       25.7       100.        21.     0.1108     0.0395           D642400200280 
       25.7       100.        22.     0.0369      0.018           D642400200281 
       25.7       100.        23.     0.0554     0.0237           D642400200282 
       25.7       100.        24.     0.0123   9.31E-03           D642400200283 
       25.7       100.        25.     0.0246      0.014           D642400200284 
ENDDATA            276          0                                 D642400200285 
ENDSUBENT          284          0                                 D642400299999 
SUBENT        D6424003   20231114                             D141D642400300001 
BIB                  2          2                                 D642400300002 
REACTION   (23-V-51(3-LI-6,X)2-HE-4,,DA)                          D642400300003 
STATUS     (TABLE,,C.Joshi+,J,PR/C,105,034615,2022) Fig.4(a-d)    D642400300004 
ENDBIB               2          0                                 D642400300005 
NOCOMMON             0          0                                 D642400300006 
DATA                 4         70                                 D642400300007 
EN-CM      ANG        DATA       DATA-ERR                         D642400300008 
MEV        ADEG       MB/SR      MB/SR                            D642400300009 
       13.6        20.    19.3825     1.1036                      D642400300010 
       13.6        25.     20.037     1.1036                      D642400300011 
       13.6        30.     21.129     1.6367                      D642400300012 
       13.6        35.    20.6909     1.1512                      D642400300013 
       13.6        40.    24.5419     1.8596                      D642400300014 
       13.6        45.    28.5735     1.3166                      D642400300015 
       13.6        50.     29.004     2.0269                      D642400300016 
       13.6        55.    32.8417     1.4506                      D642400300017 
       13.6        60.    33.7451     2.3059                      D642400300018 
       13.6        65.    33.4345     1.4868                      D642400300019 
       13.6        75.    35.4305     1.0862                      D642400300020 
       13.6        85.    30.5072     1.1099                      D642400300021 
       13.6        95.    25.7544     1.0637                      D642400300022 
       13.6       105.     20.814     0.9307                      D642400300023 
       13.6       130.    14.5365     0.8833                      D642400300024 
       13.6       140.    12.2303     0.9164                      D642400300025 
       13.6       150.    10.6748     0.9237                      D642400300026 
       13.6       160.    11.5471     1.1429                      D642400300027 
       13.6       170.    11.4886     0.7788                      D642400300028 
       19.7        20.   159.7896     1.0041                      D642400300029 
       19.7        30.   184.6473     1.0861                      D642400300030 
       19.7        40.   129.1787     0.9476                      D642400300031 
       19.7        50.   108.7557     0.7764                      D642400300032 
       19.7        60.    69.4377     0.5859                      D642400300033 
       19.7        70.    41.1053     1.0393                      D642400300034 
       19.7        80.    25.4886     0.6691                      D642400300035 
       19.7        90.    20.8317     0.7866                      D642400300036 
       19.7       100.    20.9883     0.8844                      D642400300037 
       19.7       120.    14.1021     1.3305                      D642400300038 
       19.7       130.    13.7566     1.3856                      D642400300039 
       22.7        14.   392.2225     2.5726                      D642400300040 
       22.7        20.   480.8694     7.4502                      D642400300041 
       22.7        24.    384.378     2.4886                      D642400300042 
       22.7        30.   374.9458     6.4617                      D642400300043 
       22.7        34.   289.6527      2.204                      D642400300044 
       22.7        40.    283.899     6.4539                      D642400300045 
       22.7        44.   176.9455     1.4967                      D642400300046 
       22.7        50.   134.2855     4.2233                      D642400300047 
       22.7        60.    62.7698     0.8188                      D642400300048 
       22.7        70.    40.9642     0.9832                      D642400300049 
       22.7        80.    34.1677     1.5694                      D642400300050 
       22.7        90.      24.16     1.3506                      D642400300051 
       22.7       100.      25.07     2.6878                      D642400300052 
       22.7       110.     22.056     3.7281                      D642400300053 
       22.7       120.    18.8517     4.2154                      D642400300054 
       22.7       130.    20.1996     5.3986                      D642400300055 
       25.7        14.   512.5267     5.7313                      D642400300056 
       25.7       16.5   507.7145     4.2919                      D642400300057 
       25.7        20.   481.7495     2.3758                      D642400300058 
       25.7       21.5   467.2893     3.3179                      D642400300059 
       25.7        24.    420.186     5.1372                      D642400300060 
       25.7       26.5   376.3879     3.6582                      D642400300061 
       25.7        30.   310.7739      1.889                      D642400300062 
       25.7       31.5   288.3416     2.5801                      D642400300063 
       25.7        34.   233.7691     3.9092                      D642400300064 
       25.7       36.5   193.3219     2.6747                      D642400300065 
       25.7        40.   148.5889     1.3326                      D642400300066 
       25.7       41.5   137.6679     1.9577                      D642400300067 
       25.7        44.   125.0015     3.2793                      D642400300068 
       25.7       46.5   109.6499     2.5795                      D642400300069 
       25.7        50.    87.0168     1.5659                      D642400300070 
       25.7       51.5    83.8082     2.2577                      D642400300071 
       25.7        60.    54.7236     1.5924                      D642400300072 
       25.7        70.    33.3192     1.9465                      D642400300073 
       25.7        80.    22.8796     2.6964                      D642400300074 
       25.7        90.    23.7282     3.6185                      D642400300075 
       25.7       100.    24.4094     6.5237                      D642400300076 
       25.7       110.    22.4968     7.9538                      D642400300077 
       25.7       120.    19.2848      7.289                      D642400300078 
       25.7       130.    20.1631     7.1287                      D642400300079 
ENDDATA             72          0                                 D642400300080 
ENDSUBENT           79          0                                 D642400399999 
SUBENT        D6424004   20231114                             D141D642400400001 
BIB                  2          2                                 D642400400002 
REACTION   (23-V-51(3-LI-6,X)1-H-2,,DA/DE)                        D642400400003 
STATUS     (TABLE,,C.Joshi+,J,PR/C,105,034615,2022) Fig.5(c-d)    D642400400004 
ENDBIB               2          0                                 D642400400005 
NOCOMMON             0          0                                 D642400400006 
DATA                 5         42                                 D642400400007 
EN-CM      ANG        E          DATA       DATA-ERR              D642400400008 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D642400400009 
       25.7        30.        3.0     0.0182     0.0129           D642400400010 
       25.7        30.        3.5     0.1004     0.0303           D642400400011 
       25.7        30.        4.0     0.2737       0.05           D642400400012 
       25.7        30.        4.5     0.6296     0.0758           D642400400013 
       25.7        30.        5.0      2.564      0.153           D642400400014 
       25.7        30.        5.5     4.3981     0.2003           D642400400015 
       25.7        30.        6.0      6.661     0.2465           D642400400016 
       25.7        30.        6.5     9.9002     0.3006           D642400400017 
       25.7        30.        7.0     9.7907     0.2989           D642400400018 
       25.7        30.        7.5     9.9915     0.3019           D642400400019 
       25.7        30.        8.0     9.4258     0.2933           D642400400020 
       25.7        30.        8.5     8.5133     0.2787           D642400400021 
       25.7        30.        9.0      7.026     0.2532           D642400400022 
       25.7        30.        9.5     5.9949     0.2339           D642400400023 
       25.7        30.       10.0     3.8871     0.1883           D642400400024 
       25.7        30.       10.5     2.7648     0.1588           D642400400025 
       25.7        30.       11.0     2.7556     0.1586           D642400400026 
       25.7        30.       11.5     2.2812     0.1443           D642400400027 
       25.7        30.       12.0     1.6698     0.1234           D642400400028 
       25.7        30.       12.5      1.241     0.1064           D642400400029 
       25.7        30.       13.0     0.2555     0.0483           D642400400030 
       25.7        30.       13.5     0.0182     0.0129           D642400400031 
       25.7        70.        4.5     0.0256     0.0104           D642400400032 
       25.7        70.        5.0     0.0682      0.017           D642400400033 
       25.7        70.        5.5     0.1107     0.0217           D642400400034 
       25.7        70.        6.0     0.2769     0.0343           D642400400035 
       25.7        70.        6.5     0.6176     0.0513           D642400400036 
       25.7        70.        7.0     1.0137     0.0657           D642400400037 
       25.7        70.        7.5     0.9158     0.0625           D642400400038 
       25.7        70.        8.0     1.1032     0.0685           D642400400039 
       25.7        70.        8.5     0.7071     0.0549           D642400400040 
       25.7        70.        9.0     0.8263     0.0593           D642400400041 
       25.7        70.        9.5     0.6134     0.0511           D642400400042 
       25.7        70.       10.0     0.4345      0.043           D642400400043 
       25.7        70.       10.5     0.3833     0.0404           D642400400044 
       25.7        70.       11.0     0.3024     0.0359           D642400400045 
       25.7        70.       11.5     0.2002     0.0292           D642400400046 
       25.7        70.       12.0     0.1576     0.0259           D642400400047 
       25.7        70.       12.5     0.1917     0.0286           D642400400048 
       25.7        70.       13.0     0.1406     0.0245           D642400400049 
       25.7        70.       13.5     0.0724     0.0176           D642400400050 
       25.7        70.       14.0     0.0596     0.0159           D642400400051 
ENDDATA             44          0                                 D642400400052 
ENDSUBENT           51          0                                 D642400499999 
SUBENT        D6424005   20231120                             D141D642400500001 
BIB                  2          3                                 D642400500002 
REACTION   (23-V-51(3-LI-6,X)2-HE-4,,SIG)                         D642400500003 
STATUS     (TABLE,,C.Joshi+,J,PR/C,105,034615,2022) Table I       D642400500004 
           (DEP,D6424003) Angular distribution                    D642400500005 
ENDBIB               3          0                                 D642400500006 
NOCOMMON             0          0                                 D642400500007 
DATA                 3          4                                 D642400500008 
EN         DATA       DATA-ERR                                    D642400500009 
MEV        MB         MB                                          D642400500010 
       25.7       510.        46.                                 D642400500011 
