ENTRY            D0443   20141125                             D096D044300000001 
SUBENT        D0443001   20141125                             D096D044300100001 
BIB                 11         28                                 D044300100002 
TITLE      Multistep direct mechanism in the (p,3He) inclusive    D044300100003 
            reaction on 59Co and 93Nb at incident energies        D044300100004 
            between 100 and 160 MeV                               D044300100005 
AUTHOR     (A.A.Cowley, J.Bezuidenhout, S.S.Dimitrova,            D044300100006 
            P.E.Hodgson, S.V.Fortsch, G.C.Hillhouse, N.M.Jacobs,  D044300100007 
            R.Neveling, F.D.Smit, J.A.Stander, G.F.Steyn,         D044300100008 
            J.J.Van Zyl)                                          D044300100009 
INSTITUTE  (3SAFSTL,3SAFITH,3BULBLA,2UK OXF)                      D044300100010 
REFERENCE  (J,PR/C,75,054617,2007)                                D044300100011 
           (J,PR/C,62,064605,2000) Data for 100 MeV               D044300100012 
           (C,2007TOKYO,2,473,2008) analysis                      D044300100013 
FACILITY   (CYCLO,3SAFITH)                                        D044300100014 
SAMPLE     Self-supporting metals of natural elements with        D044300100015 
            thicknesses in the range of 1 to 5 mg/cm2.            D044300100016 
DETECTOR   (TELES,SIBAR,SIBAR) Two detector telescopes, each      D044300100017 
            consisting of a 500 um Si surface barrier detector    D044300100018 
            followed by a NaI(Tl) crystal.                        D044300100019 
METHOD     (EDE)                                                  D044300100020 
ERR-ANALYS (ERR-SYS,,8.) Uncertainty in the thicknesses (<8%)     D044300100021 
           (ERR-S) Statistical error                              D044300100022 
STATUS     (TABLE) Data were received from Prof. A.A.Cowley       D044300100023 
           (APRVD) Entry was approved by Prof. A.A.Cowley         D044300100024 
HISTORY    (20070620C) SD                                         D044300100025 
           (20080407A) Second reference was added.                D044300100026 
           (20090306A) SD. Reference on publication in Conf.      D044300100027 
                       Proceedings was added.                     D044300100028 
           (20091021A) SD: correction in author's name was made.  D044300100029 
           (20141125A) On. REACTION corrected in 002-005          D044300100030 
ENDBIB              28          0                                 D044300100031 
NOCOMMON             0          0                                 D044300100032 
ENDSUBENT           31          0                                 D044300199999 
SUBENT        D0443002   20141125                             D096D044300200001 
BIB                  2          2                                 D044300200002 
REACTION   (27-CO-59(P,X)2-HE-3,,DA/DE)                           D044300200003 
HISTORY    (20141125A) On. REACTION (SF3,SF4) corrected           D044300200004 
ENDBIB               2          0                                 D044300200005 
NOCOMMON             0          0                                 D044300200006 
DATA                 5        521                                 D044300200007 
EN         ANG        E          DATA       ERR-S                 D044300200008 
       100.        40.        50.       16.5     0.0964           D044300200104 
       100.        40.        54.       14.4     0.0899           D044300200105 
       100.        40.        58.       12.6     0.0843           D044300200106 
       100.        40.        62.       10.9     0.0782           D044300200107 
       100.        40.        66.       9.35     0.0725           D044300200108 
       100.        40.        70.       7.78     0.0662           D044300200109 
       100.        40.        74.       6.56     0.0607           D044300200110 
       100.        40.        78.       4.99      0.053           D044300200111 
       100.        40.        82.       4.18     0.0485           D044300200112 
       100.        40.        86.       3.47     0.0442           D044300200113 
       100.        40.        90.       1.52     0.0292           D044300200114 
       100.        50.        34.       19.5     0.0591           D044300200115 
       100.        50.        38.       16.9     0.0549           D044300200116 
       100.        50.        42.       14.8     0.0514           D044300200117 
       100.        50.        46.       12.7     0.0476           D044300200118 
       100.        50.        50.        11.     0.0443           D044300200119 
       100.        50.        54.       9.34     0.0409           D044300200120 
       100.        50.        58.       8.03     0.0379           D044300200121 
       100.        50.        62.       6.69     0.0346           D044300200122 
       100.        50.        66.        5.7     0.0319           D044300200123 
       100.        50.        70.       4.77     0.0292           D044300200124 
       100.        50.        74.       3.81     0.0261           D044300200125 
       100.        50.        78.       3.13     0.0237           D044300200126 
       100.        50.        82.       2.62     0.0216           D044300200127 
       100.        50.        86.       2.05     0.0191           D044300200128 
       100.        50.        90.       1.21     0.0147           D044300200129 
       100.        60.        34.       13.7     0.0586           D044300200130 
       100.        60.        38.       11.5     0.0536           D044300200131 
       100.        60.        42.       9.72     0.0494           D044300200132 
       100.        60.        46.       8.04     0.0449           D044300200133 
       100.        60.        50.       6.65     0.0408           D044300200134 
       100.        60.        54.       5.55     0.0373           D044300200135 
       100.        60.        58.       4.52     0.0337           D044300200136 
       100.        60.        62.       3.72     0.0306           D044300200137 
       100.        60.        66.       3.04     0.0276           D044300200138 
       100.        60.        70.       2.36     0.0243           D044300200139 
       100.        60.        74.       1.89     0.0218           D044300200140 
       100.        60.        78.       1.49     0.0193           D044300200141 
       100.        60.        82.       1.19     0.0172           D044300200142 
       100.        60.        86.       0.88     0.0148           D044300200143 
       100.        60.        90.      0.519     0.0114           D044300200144 
       100.        80.        34.       6.11     0.0153           D044300200145 
       100.        80.        38.       4.68     0.0134           D044300200146 
       100.        80.        42.       3.55     0.0117           D044300200147 
       100.        80.        46.       2.71     0.0102           D044300200148 
       100.        80.        50.       2.03   8.820E-3           D044300200149 
       100.        80.        54.       1.53   7.640E-3           D044300200150 
       100.        80.        58.       1.14   6.600E-3           D044300200151 
       100.        80.        62.      0.816   5.590E-3           D044300200152 
       100.        80.        66.      0.596   4.780E-3           D044300200153 
       100.        80.        70.      0.417   3.990E-3           D044300200154 
       100.        80.        74.      0.298   3.380E-3           D044300200155 
       100.        80.        78.      0.211   2.840E-3           D044300200156 
       100.        80.        82.      0.147   2.370E-3           D044300200157 
       100.        80.        86.     0.0878   1.830E-3           D044300200158 
       100.        80.        90.     0.0566   1.470E-3           D044300200159 
       100.       100.        34.       2.61   8.890E-3           D044300200160 
       100.       100.        38.       1.81   7.390E-3           D044300200161 
       100.       100.        42.       1.25   6.160E-3           D044300200162 
       100.       100.        46.      0.864   5.110E-3           D044300200163 
       100.       100.        50.      0.598   4.250E-3           D044300200164 
       100.       100.        54.      0.406   3.500E-3           D044300200165 
       100.       100.        58.      0.277   2.890E-3           D044300200166 
       100.       100.        62.      0.185   2.370E-3           D044300200167 
       100.       100.        66.      0.124   1.930E-3           D044300200168 
       100.       100.        70.     0.0845   1.600E-3           D044300200169 
       100.       100.        74.     0.0574   1.320E-3           D044300200170 
       100.       100.        78.      0.038   1.070E-3           D044300200171 
       100.       100.        82.     0.0262   8.900E-4           D044300200172 
       100.       100.        86.     0.0168   7.120E-4           D044300200173 
       100.       100.        90.     0.0122   6.080E-4           D044300200174 
       130.        15.        30.     0.0461   1.420E-3           D044300200175 
       130.        15.        34.     0.0422   1.360E-3           D044300200176 
       130.        15.        38.     0.0397   1.320E-3           D044300200177 
       130.        15.        42.     0.0369   1.270E-3           D044300200178 
       130.        15.        46.     0.0352   1.240E-3           D044300200179 
       130.        15.        50.     0.0335   1.210E-3           D044300200180 
       130.        15.        54.     0.0321   1.180E-3           D044300200181 
       130.        15.        58.      0.031   1.160E-3           D044300200182 
       130.        15.        62.     0.0288   1.120E-3           D044300200183 
       130.        15.        66.      0.028   1.100E-3           D044300200184 
       130.        15.        70.      0.027   1.080E-3           D044300200185 
       130.        15.        74.     0.0251   1.050E-3           D044300200186 
       130.        15.        78.     0.0245   1.030E-3           D044300200187 
       130.        15.        82.     0.0229   9.990E-4           D044300200188 
       130.        15.        86.     0.0232   1.010E-3           D044300200189 
       130.        15.        90.     0.0225   9.900E-4           D044300200190 
       130.        15.        94.     0.0222   9.850E-4           D044300200191 
       130.        15.        98.     0.0212   9.610E-4           D044300200192 
       130.        15.       102.     0.0214   9.660E-4           D044300200193 
       130.        15.       106.     0.0211   9.600E-4           D044300200194 
       130.        15.       110.     0.0224   9.880E-4           D044300200195 
       130.        15.       114.     0.0175   8.610E-4           D044300200196 
       130.        15.       118.   6.060E-3   4.760E-4           D044300200197 
       130.        15.       122.   7.090E-4   1.720E-4           D044300200198 
       130.        20.        30.     0.0423   1.340E-3           D044300200199 
       130.        20.        34.     0.0376   1.260E-3           D044300200200 
       130.        20.        38.     0.0347   1.210E-3           D044300200201 
       130.        20.        42.     0.0338   1.200E-3           D044300200202 
       130.        20.        46.     0.0312   1.150E-3           D044300200203 
       130.        20.        50.     0.0297   1.120E-3           D044300200204 
       130.        20.        54.     0.0272   1.070E-3           D044300200205 
       130.        20.        58.     0.0261   1.050E-3           D044300200206 
       130.        20.        62.     0.0244   1.020E-3           D044300200207 
       130.        20.        66.     0.0225   9.770E-4           D044300200208 
       130.        20.        70.     0.0213   9.500E-4           D044300200209 
       130.        20.        74.     0.0201   9.240E-4           D044300200210 
       130.        20.        78.     0.0185   8.860E-4           D044300200211 
       130.        20.        82.     0.0175   8.600E-4           D044300200212 
       130.        20.        86.     0.0168   8.430E-4           D044300200213 
       130.        20.        90.     0.0146   7.870E-4           D044300200214 
       130.        20.        94.     0.0139   7.670E-4           D044300200215 
       130.        20.        98.      0.013   7.410E-4           D044300200216 
       130.        20.       102.     0.0123   7.220E-4           D044300200217 
       130.        20.       106.     0.0114   6.950E-4           D044300200218 
       130.        20.       110.     0.0117   7.040E-4           D044300200219 
       130.        20.       114.   9.020E-3   6.120E-4           D044300200220 
       130.        25.        30.     0.0398   1.170E-3           D044300200221 
       130.        25.        34.      0.036   1.110E-3           D044300200222 
       130.        25.        38.     0.0326   1.060E-3           D044300200223 
       130.        25.        42.     0.0302   1.020E-3           D044300200224 
       130.        25.        46.     0.0284   9.930E-4           D044300200225 
       130.        25.        50.     0.0259   9.460E-4           D044300200226 
       130.        25.        54.     0.0242   9.160E-4           D044300200227 
       130.        25.        58.      0.022   8.730E-4           D044300200228 
       130.        25.        62.     0.0206   8.450E-4           D044300200229 
       130.        25.        66.      0.019   8.120E-4           D044300200230 
       130.        25.        70.     0.0169   7.650E-4           D044300200231 
       130.        25.        74.      0.016   7.450E-4           D044300200232 
       130.        25.        78.     0.0143   7.030E-4           D044300200233 
       130.        25.        82.     0.0125   6.580E-4           D044300200234 
       130.        25.        86.     0.0114   6.300E-4           D044300200235 
       130.        25.        90.     0.0102   5.930E-4           D044300200236 
       130.        25.        94.   8.610E-3   5.460E-4           D044300200237 
       130.        25.        98.   7.940E-3   5.250E-4           D044300200238 
       130.        25.       102.   6.360E-3   4.700E-4           D044300200239 
       130.        25.       106.   5.720E-3   4.450E-4           D044300200240 
       130.        25.       110.   5.240E-3   4.260E-4           D044300200241 
       130.        25.       114.   3.160E-3   3.280E-4           D044300200242 
       130.        25.       118.   9.700E-4   1.760E-4           D044300200243 
       130.        25.       122.   1.560E-4   7.160E-5           D044300200244 
       130.        30.        30.     0.0369   8.740E-4           D044300200245 
       130.        30.        34.     0.0326   8.220E-4           D044300200246 
       130.        30.        38.     0.0298   7.860E-4           D044300200247 
       130.        30.        42.     0.0272   7.510E-4           D044300200248 
       130.        30.        46.     0.0251   7.220E-4           D044300200249 
       130.        30.        50.     0.0232   6.930E-4           D044300200250 
       130.        30.        54.     0.0209   6.590E-4           D044300200251 
       130.        30.        58.     0.0189   6.260E-4           D044300200252 
       130.        30.        62.     0.0177   6.070E-4           D044300200253 
       130.        30.        66.     0.0155   5.680E-4           D044300200254 
       130.        30.        70.      0.014   5.390E-4           D044300200255 
       130.        30.        74.     0.0127   5.130E-4           D044300200256 
       130.        30.        78.     0.0111   4.810E-4           D044300200257 
       130.        30.        82.   9.990E-3   4.560E-4           D044300200258 
       130.        30.        86.   8.540E-3   4.210E-4           D044300200259 
       130.        30.        90.   7.240E-3   3.880E-4           D044300200260 
       130.        30.        94.   6.100E-3   3.560E-4           D044300200261 
       130.        30.        98.   5.280E-3   3.310E-4           D044300200262 
       130.        30.       102.   4.450E-3   3.040E-4           D044300200263 
       130.        30.       106.   3.630E-3   2.750E-4           D044300200264 
       130.        30.       110.   2.890E-3   2.450E-4           D044300200265 
       130.        30.       114.   1.780E-3   1.910E-4           D044300200266 
       130.        30.       118.   5.240E-4   9.970E-5           D044300200267 
       130.        30.       122.   1.510E-4   5.590E-5           D044300200268 
       130.        35.        30.     0.0338   8.830E-4           D044300200269 
       130.        35.        34.     0.0302   8.350E-4           D044300200270 
       130.        35.        38.     0.0269   7.900E-4           D044300200271 
       130.        35.        42.     0.0241   7.470E-4           D044300200272 
       130.        35.        46.     0.0219   7.130E-4           D044300200273 
       130.        35.        50.     0.0199   6.790E-4           D044300200274 
       130.        35.        54.     0.0175   6.370E-4           D044300200275 
       130.        35.        58.      0.016   6.090E-4           D044300200276 
       130.        35.        62.      0.014   5.700E-4           D044300200277 
       130.        35.        66.      0.013   5.490E-4           D044300200278 
       130.        35.        70.     0.0115   5.170E-4           D044300200279 
       130.        35.        74.   9.790E-3   4.760E-4           D044300200280 
       130.        35.        78.   8.490E-3   4.440E-4           D044300200281 
       130.        35.        82.   7.240E-3   4.100E-4           D044300200282 
       130.        35.        86.   5.970E-3   3.720E-4           D044300200283 
       130.        35.        90.   5.170E-3   3.460E-4           D044300200284 
       130.        35.        94.   3.890E-3   3.000E-4           D044300200285 
       130.        35.        98.   3.500E-3   2.850E-4           D044300200286 
       130.        35.       102.   2.870E-3   2.580E-4           D044300200287 
       130.        35.       106.   1.890E-3   2.090E-4           D044300200288 
       130.        35.       110.   1.640E-3   1.950E-4           D044300200289 
       130.        35.       114.   9.280E-4   1.450E-4           D044300200290 
       130.        35.       118.   2.580E-4   7.540E-5           D044300200291 
       130.        35.       122.   7.540E-5   4.180E-5           D044300200292 
       130.        40.        30.     0.0312   7.650E-4           D044300200293 
       130.        40.        34.     0.0265   7.050E-4           D044300200294 
       130.        40.        38.     0.0236   6.660E-4           D044300200295 
       130.        40.        42.     0.0212   6.320E-4           D044300200296 
       130.        40.        46.     0.0189   5.970E-4           D044300200297 
       130.        40.        50.     0.0165   5.570E-4           D044300200298 
       130.        40.        54.     0.0148   5.290E-4           D044300200299 
       130.        40.        58.     0.0132   4.980E-4           D044300200300 
       130.        40.        62.     0.0113   4.620E-4           D044300200301 
       130.        40.        66.   9.860E-3   4.310E-4           D044300200302 
       130.        40.        70.   8.500E-3   4.000E-4           D044300200303 
       130.        40.        74.   7.460E-3   3.750E-4           D044300200304 
       130.        40.        78.   5.980E-3   3.360E-4           D044300200305 
       130.        40.        82.   5.290E-3   3.160E-4           D044300200306 
       130.        40.        86.   4.250E-3   2.830E-4           D044300200307 
       130.        40.        90.   3.420E-3   2.540E-4           D044300200308 
       130.        40.        94.   2.920E-3   2.350E-4           D044300200309 
       130.        40.        98.   2.000E-3   1.940E-4           D044300200310 
       130.        40.       102.   1.630E-3   1.750E-4           D044300200311 
       130.        40.       106.   1.120E-3   1.450E-4           D044300200312 
       130.        40.       110.   8.570E-4   1.270E-4           D044300200313 
       130.        40.       114.   3.460E-4   8.040E-5           D044300200314 
       130.        50.        30.     0.0241   9.100E-4           D044300200315 
       130.        50.        34.     0.0205   8.410E-4           D044300200316 
       130.        50.        38.     0.0171   7.690E-4           D044300200317 
       130.        50.        42.     0.0151   7.220E-4           D044300200318 
       130.        50.        46.     0.0127   6.630E-4           D044300200319 
       130.        50.        50.     0.0108   6.110E-4           D044300200320 
       130.        50.        54.   9.530E-3   5.740E-4           D044300200321 
       130.        50.        58.   7.930E-3   5.240E-4           D044300200322 
       130.        50.        62.   6.800E-3   4.850E-4           D044300200323 
       130.        50.        66.   5.860E-3   4.500E-4           D044300200324 
       130.        50.        70.   4.720E-3   4.040E-4           D044300200325 
       130.        50.        74.   3.760E-3   3.610E-4           D044300200326 
       130.        50.        78.   2.990E-3   3.210E-4           D044300200327 
       130.        50.        82.   2.570E-3   2.980E-4           D044300200328 
       130.        50.        86.   1.810E-3   2.500E-4           D044300200329 
       130.        50.        90.   1.580E-3   2.340E-4           D044300200330 
       130.        50.        94.   9.610E-4   1.820E-4           D044300200331 
       130.        50.        98.   7.010E-4   1.560E-4           D044300200332 
       130.        50.       102.   4.680E-4   1.270E-4           D044300200333 
       130.        50.       106.   3.810E-4   1.120E-4           D044300200334 
       130.        50.       110.   2.510E-4   9.310E-5           D044300200335 
       130.        60.        30.      0.018   5.010E-4           D044300200336 
       130.        60.        34.     0.0144   4.470E-4           D044300200337 
       130.        60.        38.      0.012   4.080E-4           D044300200338 
       130.        60.        42.   9.870E-3   3.710E-4           D044300200339 
       130.        60.        46.   8.240E-3   3.390E-4           D044300200340 
       130.        60.        50.   6.950E-3   3.110E-4           D044300200341 
       130.        60.        54.   5.650E-3   2.810E-4           D044300200342 
       130.        60.        58.   4.680E-3   2.560E-4           D044300200343 
       130.        60.        62.   3.670E-3   2.260E-4           D044300200344 
       130.        60.        66.   2.980E-3   2.040E-4           D044300200345 
       130.        60.        70.   2.520E-3   1.880E-4           D044300200346 
       130.        60.        74.   1.760E-3   1.570E-4           D044300200347 
       130.        60.        78.   1.450E-3   1.420E-4           D044300200348 
       130.        60.        82.   1.180E-3   1.280E-4           D044300200349 
       130.        60.        86.   7.750E-4   1.040E-4           D044300200350 
       130.        60.        90.   5.710E-4   8.890E-5           D044300200351 
       130.        60.        94.   3.730E-4   7.220E-5           D044300200352 
       130.        60.        98.   2.690E-4   6.110E-5           D044300200353 
       130.        60.       102.   1.450E-4   4.490E-5           D044300200354 
       130.        60.       106.    -0.0911      0.155           D044300200355 
       130.        60.       110.     -0.338      0.218           D044300200356 
       130.        80.        30.   8.370E-3   2.540E-4           D044300200357 
       130.        80.        34.   6.070E-3   2.170E-4           D044300200358 
       130.        80.        38.   4.670E-3   1.900E-4           D044300200359 
       130.        80.        42.   3.610E-3   1.670E-4           D044300200360 
       130.        80.        46.   2.760E-3   1.460E-4           D044300200361 
       130.        80.        50.   2.150E-3   1.290E-4           D044300200362 
       130.        80.        54.   1.510E-3   1.080E-4           D044300200363 
       130.        80.        58.   1.130E-3   9.400E-5           D044300200364 
       130.        80.        62.   8.440E-4   8.110E-5           D044300200365 
       130.        80.        66.   6.460E-4   7.100E-5           D044300200366 
       130.        80.        70.   4.030E-4   5.600E-5           D044300200367 
       130.        80.        74.   2.530E-4   4.430E-5           D044300200368 
       130.        80.        78.   1.710E-4   3.610E-5           D044300200369 
       130.        80.        82.   1.160E-4   3.010E-5           D044300200370 
       130.        80.        86.   8.480E-5   2.570E-5           D044300200371 
       130.        80.        90.   5.170E-5   2.010E-5           D044300200372 
       130.        80.        94.   3.410E-5   1.610E-5           D044300200373 
       130.       100.        30.   3.550E-3   1.310E-4           D044300200374 
       130.       100.        34.   2.440E-3   1.090E-4           D044300200375 
       130.       100.        38.   1.680E-3   9.030E-5           D044300200376 
       130.       100.        42.   1.170E-3   7.580E-5           D044300200377 
       130.       100.        46.   8.490E-4   6.440E-5           D044300200378 
       130.       100.        50.   6.040E-4   5.440E-5           D044300200379 
       130.       100.        54.   4.310E-4   4.600E-5           D044300200380 
       130.       100.        58.   2.750E-4   3.670E-5           D044300200381 
       130.       100.        62.   1.930E-4   3.080E-5           D044300200382 
       130.       100.        66.   1.200E-4   2.420E-5           D044300200383 
       130.       100.        70.   6.630E-5   1.800E-5           D044300200384 
       130.       100.        74.   5.530E-5   1.640E-5           D044300200385 
       130.       100.        78.   3.070E-5   1.230E-5           D044300200386 
       130.       100.        82.   1.600E-5   8.830E-6           D044300200387 
       130.       100.        86.   1.110E-5   7.370E-6           D044300200388 
       160.        25.        30.     0.0397   1.010E-3           D044300200389 
       160.        25.        34.     0.0334   9.300E-4           D044300200390 
       160.        25.        38.     0.0312   8.980E-4           D044300200391 
       160.        25.        42.     0.0283   8.560E-4           D044300200392 
       160.        25.        46.     0.0263   8.260E-4           D044300200393 
       160.        25.        50.     0.0245   7.980E-4           D044300200394 
       160.        25.        54.     0.0231   7.740E-4           D044300200395 
       160.        25.        58.     0.0212   7.420E-4           D044300200396 
       160.        25.        62.     0.0199   7.200E-4           D044300200397 
       160.        25.        66.     0.0182   6.880E-4           D044300200398 
       160.        25.        70.     0.0167   6.590E-4           D044300200399 
       160.        25.        74.     0.0156   6.360E-4           D044300200400 
       160.        25.        78.     0.0139   6.020E-4           D044300200401 
       160.        25.        82.     0.0135   5.940E-4           D044300200402 
       160.        25.        86.     0.0122   5.640E-4           D044300200403 
       160.        25.        90.      0.011   5.350E-4           D044300200404 
       160.        25.        94.     0.0103   5.180E-4           D044300200405 
       160.        25.        98.   9.060E-3   4.860E-4           D044300200406 
       160.        25.       102.   8.140E-3   4.610E-4           D044300200407 
       160.        25.       106.   7.190E-3   4.330E-4           D044300200408 
       160.        25.       110.   6.260E-3   4.040E-4           D044300200409 
       160.        25.       114.   5.830E-3   3.900E-4           D044300200410 
       160.        25.       118.   4.850E-3   3.560E-4           D044300200411 
       160.        25.       122.   4.230E-3   3.320E-4           D044300200412 
       160.        25.       126.   3.490E-3   3.020E-4           D044300200413 
       160.        25.       130.   2.970E-3   2.790E-4           D044300200414 
       160.        25.       134.   2.350E-3   2.480E-4           D044300200415 
       160.        25.       138.     0.0397   1.010E-3           D044300200416 
