ENTRY            D0071   20040203                             0000D007100000001 
SUBENT        D0071001   20040203                             0000D007100100001 
BIB                 12         20                                 D007100100002 
TITLE      The (d,a) reaction on 19F                              D007100100003 
AUTHOR     (A.Z.El-Behay,M.A.Farouk,M.H.Nassef,I.I.Zaloubovsky)   D007100100004 
INSTITUTE  (3EGYCAI)                                              D007100100005 
REFERENCE  (J,NP,61,282,1965)                                     D007100100006 
FACILITY   (VDG)                                                  D007100100007 
DETECTOR   (SIBAR) Two n-silicon semiconductor detectors which    D007100100008 
           were able to rotate independently in the horizontal    D007100100009 
           plane from 20 to 160 degr. One of the detectors was    D007100100010 
           used as a monitor and was placed at the angle of       D007100100011 
           150 degr. with respect to beam.                        D007100100012 
SAMPLE     A layer of Ca F2 evaporated on a thin silver backing   D007100100013 
           aerved as a target. The thickness of the target was    D007100100014 
           about 0.7 mg/cm2.                                      D007100100015 
MONITOR    (20-CA-0(D,EL)20-CA-0,,DA)                             D007100100016 
           (47-AG-0(D,EL)47-AG-0,,DA)                             D007100100017 
EN-SEC     (E-LVL,8-O-17) The values for the levels compiler      D007100100018 
           took from the DB ENSDF. They are absent in the article D007100100019 
STATUS     (CURVE) Digitized curves from the article              D007100100020 
ERR-ANALYS (ERR-DIG)   Digitizing error                           D007100100021 
HISTORY    (20040203C) SD                                         D007100100022 
ENDBIB              20          0                                 D007100100023 
NOCOMMON             0          0                                 D007100100024 
ENDSUBENT           23          0                                 D007100199999 
SUBENT        D0071002   20040203                             0000D007100200001 
BIB                  3          5                                 D007100200002 
REACTION   (9-F-19(D,A)8-O-17,PAR,DA)                             D007100200003 
ERR-ANALYS (EN-ERR-DIG)    Digitizing error                       D007100200004 
           (DATA-ERR) Experimental error                          D007100200005 
STATUS     (CURVE) fig. 3,4 The data are given as function of     D007100200006 
           the energy                                             D007100200007 
ENDBIB               5          0                                 D007100200008 
COMMON               2          3                                 D007100200009 
EN-ERR-DIG ERR-DIG                                                D007100200010 
MEV        MB/SR                                                  D007100200011 
 0.002        0.005                                               D007100200012 
ENDCOMMON            3          0                                 D007100200013 
DATA                 5        405                                 D007100200014 
ANG        E-LVL      EN         DATA       DATA-ERR              D007100200015 
 30.000     0.0000     1.7490     2.1585    0.11235               D007100200047 
 30.000     0.0000     1.7785     2.3450    0.11865               D007100200048 
 30.000     0.0000     1.8007     2.3382    0.11235               D007100200049 
 30.000     0.0000     1.8253     2.3874    0.10617               D007100200050 
 30.000     0.0000     1.8498     2.4118    0.11235               D007100200051 
 30.000     0.0000     1.8781     2.2300    0.99929E-01           D007100200052 
 30.000     0.0000     1.9006     2.3105    0.13108               D007100200053 
 30.000     0.0000     1.9288     2.0913    0.12490               D007100200054 
 30.000     0.0000     1.9530     2.0220    0.11241               D007100200055 
 30.000     0.0000     1.9761     2.2648    0.93628E-01           D007100200056 
 30.000     0.0000     2.0011     2.4265    0.11860               D007100200057 
 30.000     0.0000     2.0282     2.5506    0.10617               D007100200058 
 30.000     0.0000     2.0489     2.7561    0.12484               D007100200059 
 30.000     0.0000     2.0739     2.9177    0.12484               D007100200060 
 30.000     0.0000     2.0990     3.1168    0.12484               D007100200061 
 30.000     0.0000     2.1238     3.2223    0.11235               D007100200062 
 30.000     0.0000     2.1487     3.3527    0.13732               D007100200063 
 30.000     0.0000     2.1761     3.5767    0.12490               D007100200064 
 30.000     0.0000     2.1989     3.7447    0.13114               D007100200065 
 30.000     0.0000     2.2227     3.5380    0.17471               D007100200066 
 30.000     0.0000     2.2487     3.3501    0.15605               D007100200067 
 30.000     0.0000     2.2730     3.2995    0.13102               D007100200068 
 30.000     0.0000     2.2971     3.2052    0.14350               D007100200069 
 30.000     0.0000     2.3242     3.3293    0.10617               D007100200070 
 30.000     0.0000     2.3483     3.1976    0.12484               D007100200071 
 30.000     0.0000     2.3744     3.0409    0.14980               D007100200072 
 30.000     0.0000     2.4005     2.8529    0.13738               D007100200073 
 30.000     0.0000     2.4223     2.7337    0.14350               D007100200074 
 30.000    0.87100    0.99758    0.16471    0.68060E-01           D007100200075 
 30.000    0.87100     1.0263    0.15799    0.61873E-01           D007100200076 
 30.000    0.87100     1.0508    0.21941    0.55685E-01           D007100200077 
 30.000    0.87100     1.0731    0.26230    0.55685E-01           D007100200078 
 30.000    0.87100     1.1018    0.23702    0.80517E-01           D007100200079 
 30.000    0.87100     1.1284    0.24890    0.61914E-01           D007100200080 
 30.000    0.87100     1.1505    0.24230    0.55727E-01           D007100200081 
 30.000    0.87100     1.1749    0.23566    0.55727E-01           D007100200082 
 30.000    0.87100     1.1995    0.35276    0.43311E-01           D007100200083 
 30.000    0.87100     1.2262    0.40795    0.55727E-01           D007100200084 
 30.000    0.87100     1.2482    0.34567    0.61873E-01           D007100200085 
 30.000    0.87100     1.2727    0.40090    0.61831E-01           D007100200086 
 30.000    0.87100     1.3016    0.47461    0.55727E-01           D007100200087 
 30.000    0.87100     1.3238    0.50513    0.55686E-01           D007100200088 
 30.000    0.87100     1.3460    0.52947    0.55644E-01           D007100200089 
 30.000    0.87100     1.3727    0.54753    0.55685E-01           D007100200090 
 30.000    0.87100     1.3972    0.63370    0.80476E-01           D007100200091 
 30.000    0.87100     1.4217    0.70749    0.68101E-01           D007100200092 
 30.000    0.87100     1.4505    0.70696    0.68101E-01           D007100200093 
 30.000    0.87100     1.4729    0.81173    0.74289E-01           D007100200094 
 30.000    0.87100     1.4993    0.74936    0.74289E-01           D007100200095 
 30.000    0.87100     1.5239    0.84790    0.74206E-01           D007100200096 
 30.000    0.87100     1.5487     1.0145    0.68060E-01           D007100200097 
 30.000    0.87100     1.5735     1.2182    0.74247E-01           D007100200098 
 30.000    0.87100     1.5981     1.2982    0.80435E-01           D007100200099 
 30.000    0.87100     1.6231     1.6009    0.80435E-01           D007100200100 
 30.000    0.87100     1.6478     1.7366    0.80435E-01           D007100200101 
 30.000    0.87100     1.6706     2.0084    0.92850E-01           D007100200102 
 30.000    0.87100     1.6994     2.0265    0.99038E-01           D007100200103 
 30.000    0.87100     1.7238     2.0446    0.86622E-01           D007100200104 
 30.000    0.87100     1.7502     1.9698    0.80476E-01           D007100200105 
 30.000    0.87100     1.7746     1.9817    0.99038E-01           D007100200106 
 30.000    0.87100     1.7986     1.8390    0.92850E-01           D007100200107 
 30.000    0.87100     1.8226     1.7086    0.80476E-01           D007100200108 
 30.000    0.87100     1.8472     1.7886    0.86663E-01           D007100200109 
 30.000    0.87100     1.8736     1.7448    0.74247E-01           D007100200110 
 30.000    0.87100     1.8982     1.8247    0.98996E-01           D007100200111 
 30.000    0.87100     1.9248     1.8304    0.80435E-01           D007100200112 
 30.000    0.87100     1.9512     1.7866    0.92850E-01           D007100200113 
 30.000    0.87100     1.9711     1.7429    0.86622E-01           D007100200114 
 30.000    0.87100     1.9975     1.6991    0.80434E-01           D007100200115 
 30.000    0.87100     2.0221     1.7853    0.92809E-01           D007100200116 
 30.000    0.87100     2.0483     1.6611    0.86622E-01           D007100200117 
 30.000    0.87100     2.0726     1.6173    0.92809E-01           D007100200118 
 30.000    0.87100     2.0967     1.5178    0.92809E-01           D007100200119 
 30.000    0.87100     2.1231     1.4555    0.92809E-01           D007100200120 
 30.000    0.87100     2.1473     1.3622    0.86663E-01           D007100200121 
 30.000    0.87100     2.1694     1.3494    0.80435E-01           D007100200122 
 30.000    0.87100     2.1982     1.3860    0.92809E-01           D007100200123 
 30.000    0.87100     2.2205     1.4289    0.74247E-01           D007100200124 
 30.000    0.87100     2.2467     1.2923    0.92809E-01           D007100200125 
 30.000    0.87100     2.2733     1.3042    0.92850E-01           D007100200126 
 30.000    0.87100     2.2977     1.3161    0.86581E-01           D007100200127 
 30.000    0.87100     2.3245     1.4084    0.98996E-01           D007100200128 
 30.000    0.87100     2.3467     1.4389    0.12379               D007100200129 
 30.000    0.87100     2.3735     1.5251    0.11137               D007100200130 
 30.000    0.87100     2.4003     1.6359    0.11141               D007100200131 
 150.00     0.0000    0.99876    0.20498    0.30952E-01           D007100200132 
 150.00     0.0000     1.0238    0.19816    0.30952E-01           D007100200133 
 150.00     0.0000     1.0486    0.23002    0.30952E-01           D007100200134 
 150.00     0.0000     1.0701    0.30047    0.38690E-01           D007100200135 
 150.00     0.0000     1.0981    0.32471    0.30952E-01           D007100200136 
 150.00     0.0000     1.1263    0.31026    0.30952E-01           D007100200137 
 150.00     0.0000     1.1445    0.39606    0.30952E-01           D007100200138 
 150.00     0.0000     1.1728    0.36614    0.30952E-01           D007100200139 
 150.00     0.0000     1.1944    0.40563    0.30952E-01           D007100200140 
 150.00     0.0000     1.2225    0.42213    0.38690E-01           D007100200141 
 150.00     0.0000     1.2473    0.44626    0.30952E-01           D007100200142 
 150.00     0.0000     1.2749    0.53240    0.23214E-01           D007100200143 
 150.00     0.0000     1.2966    0.57189    0.30952E-01           D007100200144 
 150.00     0.0000     1.3214    0.60376    0.30952E-01           D007100200145 
 150.00     0.0000     1.3487    0.74407    0.77379E-01           D007100200146 
 150.00     0.0000     1.3742    0.65986    0.30952E-01           D007100200147 
 150.00     0.0000     1.3955    0.76126    0.38690E-01           D007100200148 
 150.00     0.0000     1.4232    0.81645    0.30838E-01           D007100200149 
 150.00     0.0000     1.4481    0.84831    0.38690E-01           D007100200150 
 150.00     0.0000     1.4759    0.90351    0.30952E-01           D007100200151 
 150.00     0.0000     1.4973    0.97395    0.31066E-01           D007100200152 
 150.00     0.0000     1.5223    0.97486    0.30952E-01           D007100200153 
 150.00     0.0000     1.5501     1.0223    0.30952E-01           D007100200154 
 150.00     0.0000     1.5783     1.0156    0.30952E-01           D007100200155 
 150.00     0.0000     1.6005    0.96224    0.46428E-01           D007100200156 
 150.00     0.0000     1.6249     1.0560    0.30952E-01           D007100200157 
 150.00     0.0000     1.6493     1.1653    0.46428E-01           D007100200158 
 150.00     0.0000     1.6765     1.3133    0.61789E-01           D007100200159 
 150.00     0.0000     1.6979     1.3915    0.46428E-01           D007100200160 
 150.00     0.0000     1.7258     1.4389    0.46428E-01           D007100200161 
 150.00     0.0000     1.7498     1.6101    0.46428E-01           D007100200162 
 150.00     0.0000     1.7748     1.6033    0.38690E-01           D007100200163 
 150.00     0.0000     1.7993     1.6893    0.46428E-01           D007100200164 
 150.00     0.0000     1.8243     1.6902    0.54166E-01           D007100200165 
 150.00     0.0000     1.8523     1.7144    0.46314E-01           D007100200166 
 150.00     0.0000     1.8747     1.6301    0.38690E-01           D007100200167 
 150.00     0.0000     1.9004     1.5072    0.38690E-01           D007100200168 
 150.00     0.0000     1.9225     1.4616    0.38690E-01           D007100200169 
 150.00     0.0000     1.9506     1.4781    0.61904E-01           D007100200170 
 150.00     0.0000     1.9734     1.3242    0.46428E-01           D007100200171 
 150.00     0.0000     1.9988     1.2477    0.54166E-01           D007100200172 
 150.00     0.0000     2.0268     1.2719    0.54166E-01           D007100200173 
 150.00     0.0000     2.0494     1.1567    0.46428E-01           D007100200174 
 150.00     0.0000     2.0744     1.1498    0.46542E-01           D007100200175 
 150.00     0.0000     2.0998     1.0734    0.69756E-01           D007100200176 
 150.00     0.0000     2.1242     1.1826    0.54166E-01           D007100200177 
 150.00     0.0000     2.1514     1.3384    0.54166E-01           D007100200178 
 150.00     0.0000     2.1764     1.3316    0.54166E-01           D007100200179 
 150.00     0.0000     2.2014     1.3325    0.54166E-01           D007100200180 
 150.00     0.0000     2.2267     1.2870    0.46428E-01           D007100200181 
 150.00     0.0000     2.2486     1.2800    0.38690E-01           D007100200182 
 150.00     0.0000     2.2744     1.1494    0.46542E-01           D007100200183 
 150.00     0.0000     2.2993     1.1735    0.61904E-01           D007100200184 
 150.00     0.0000     2.3217     1.0815    0.46428E-01           D007100200185 
 150.00     0.0000     2.3492     1.1831    0.46542E-01           D007100200186 
 150.00     0.0000     2.3708     1.2226    0.69756E-01           D007100200187 
 150.00     0.0000     2.3979     1.4016    0.10071               D007100200188 
 150.00     0.0000     2.4227     1.4334    0.69641E-01           D007100200189 
 150.00    0.87100     1.0008    0.15303    0.30953E-01           D007100200190 
 150.00    0.87100     1.0286    0.20026    0.30953E-01           D007100200191 
 150.00    0.87100     1.0504    0.16994    0.38692E-01           D007100200192 
 150.00    0.87100     1.0783    0.19395    0.30864E-01           D007100200193 
 150.00    0.87100     1.1000    0.19458    0.30953E-01           D007100200194 
 150.00    0.87100     1.1251    0.14886    0.30953E-01           D007100200195 
 150.00    0.87100     1.1499    0.16506    0.30953E-01           D007100200196 
 150.00    0.87100     1.1745    0.20446    0.38692E-01           D007100200197 
 150.00    0.87100     1.1995    0.17422    0.30953E-01           D007100200198 
 150.00    0.87100     1.2303    0.23702    0.38692E-01           D007100200199 
 150.00    0.87100     1.2519    0.26086    0.38692E-01           D007100200200 
 150.00    0.87100     1.2767    0.27706    0.30953E-01           D007100200201 
 150.00    0.87100     1.3014    0.29325    0.30953E-01           D007100200202 
 150.00    0.87100     1.3263    0.29396    0.38692E-01           D007100200203 
 150.00    0.87100     1.3512    0.27920    0.38692E-01           D007100200204 
 150.00    0.87100     1.3791    0.28000    0.38781E-01           D007100200205 
 150.00    0.87100     1.4008    0.28837    0.30953E-01           D007100200206 
 150.00    0.87100     1.4257    0.28134    0.38692E-01           D007100200207 
 150.00    0.87100     1.4537    0.27441    0.30864E-01           D007100200208 
 150.00    0.87100     1.4785    0.27512    0.30864E-01           D007100200209 
 150.00    0.87100     1.5004    0.25253    0.38781E-01           D007100200210 
 150.00    0.87100     1.5283    0.25334    0.30953E-01           D007100200211 
 150.00    0.87100     1.5499    0.28492    0.30864E-01           D007100200212 
 150.00    0.87100     1.5747    0.30885    0.46430E-01           D007100200213 
 150.00    0.87100     1.5996    0.27861    0.30953E-01           D007100200214 
 150.00    0.87100     1.6242    0.33349    0.46430E-01           D007100200215 
 150.00    0.87100     1.6488    0.38837    0.38692E-01           D007100200216 
 150.00    0.87100     1.6733    0.47421    0.38602E-01           D007100200217 
 150.00    0.87100     1.6975    0.60648    0.38781E-01           D007100200218 
 150.00    0.87100     1.7248    0.74657    0.54079E-01           D007100200219 
 150.00    0.87100     1.7488    0.93301    0.38781E-01           D007100200220 
 150.00    0.87100     1.7763     1.0344    0.54168E-01           D007100200221 
 150.00    0.87100     1.8036     1.1745    0.54079E-01           D007100200222 
 150.00    0.87100     1.8251     1.2138    0.54258E-01           D007100200223 
 150.00    0.87100     1.8531     1.2146    0.46430E-01           D007100200224 
 150.00    0.87100     1.8782     1.1457    0.46430E-01           D007100200225 
 150.00    0.87100     1.9030     1.1541    0.54168E-01           D007100200226 
 150.00    0.87100     1.9255    0.99227    0.54258E-01           D007100200227 
 150.00    0.87100     1.9505    0.96977    0.54168E-01           D007100200228 
 150.00    0.87100     1.9755    0.93953    0.61996E-01           D007100200229 
 150.00    0.87100     2.0003    0.93250    0.69645E-01           D007100200230 
 150.00    0.87100     2.0254    0.89453    0.54168E-01           D007100200231 
 150.00    0.87100     2.0500    0.94941    0.46430E-01           D007100200232 
 150.00    0.87100     2.0805     1.0509    0.61817E-01           D007100200233 
 150.00    0.87100     2.0993     1.0282    0.61996E-01           D007100200234 
 150.00    0.87100     2.1233     1.2069    0.77473E-01           D007100200235 
 150.00    0.87100     2.1507     1.3238    0.69645E-01           D007100200236 
 150.00    0.87100     2.1751     1.4174    0.69734E-01           D007100200237 
 150.00    0.87100     2.2004     1.3330    0.61996E-01           D007100200238 
 150.00    0.87100     2.2251     1.3646    0.77473E-01           D007100200239 
 150.00    0.87100     2.2501     1.3267    0.54168E-01           D007100200240 
 150.00    0.87100     2.2745     1.4202    0.69645E-01           D007100200241 
 150.00    0.87100     2.2998     1.3281    0.85211E-01           D007100200242 
 150.00    0.87100     2.3216     1.3132    0.77473E-01           D007100200243 
 150.00    0.87100     2.3497     1.2831    0.77383E-01           D007100200244 
 150.00    0.87100     2.3745     1.2915    0.54168E-01           D007100200245 
 150.00    0.87100     2.3989     1.3696    0.69645E-01           D007100200246 
 150.00    0.87100     2.4241     1.3084    0.85122E-01           D007100200247 
 150.00     3.0550    0.99929    0.14575    0.77268E-01           D007100200248 
 150.00     3.0550     1.0274    0.19400    0.46361E-01           D007100200249 
 150.00     3.0550     1.0490    0.28818    0.46361E-01           D007100200250 
 150.00     3.0550     1.0742    0.25895    0.61814E-01           D007100200251 
 150.00     3.0550     1.0961    0.27587    0.46361E-01           D007100200252 
 150.00     3.0550     1.1212    0.26209    0.61814E-01           D007100200253 
 150.00     3.0550     1.1492    0.31033    0.61814E-01           D007100200254 
 150.00     3.0550     1.1742    0.32746    0.46361E-01           D007100200255 
 150.00     3.0550     1.1962    0.32893    0.77477E-01           D007100200256 
 150.00     3.0550     1.2271    0.48556    0.77268E-01           D007100200257 
 150.00     3.0550     1.2488    0.54883    0.62024E-01           D007100200258 
 150.00     3.0550     1.2737    0.61232    0.61814E-01           D007100200259 
 150.00     3.0550     1.2984    0.73763    0.77268E-01           D007100200260 
 150.00     3.0550     1.3262    0.89405    0.77477E-01           D007100200261 
 150.00     3.0550     1.3510    0.97299    0.77059E-01           D007100200262 
 150.00     3.0550     1.3760    0.99012    0.77268E-01           D007100200263 
 150.00     3.0550     1.4045    0.89928    0.10797               D007100200264 
 150.00     3.0550     1.4261     1.0089    0.92512E-01           D007100200265 
 150.00     3.0550     1.4514    0.93332    0.92722E-01           D007100200266 
 150.00     3.0550     1.4731    0.99660    0.61814E-01           D007100200267 
 150.00     3.0550     1.5010     1.1067    0.92721E-01           D007100200268 
 150.00     3.0550     1.5260     1.1238    0.92722E-01           D007100200269 
 150.00     3.0550     1.5510     1.1718    0.92721E-01           D007100200270 
 150.00     3.0550     1.5755     1.3589    0.10818               D007100200271 
 150.00     3.0550     1.5997     1.6851    0.10818               D007100200272 
 150.00     3.0550     1.6264     2.2434    0.10818               D007100200273 
 150.00     3.0550     1.6506     2.5386    0.92721E-01           D007100200274 
 150.00     3.0550     1.6772     3.1278    0.10818               D007100200275 
 150.00     3.0550     1.6992     3.1138    0.13908               D007100200276 
 150.00     3.0550     1.7280     2.8839    0.13908               D007100200277 
 150.00     3.0550     1.7530     2.9010    0.13908               D007100200278 
 150.00     3.0550     1.7765     2.3152    0.13908               D007100200279 
 150.00     3.0550     1.8026     1.9460    0.12363               D007100200280 
 150.00     3.0550     1.8254     1.6229    0.10818               D007100200281 
 150.00     3.0550     1.8513     1.3310    0.12384               D007100200282 
 150.00     3.0550     1.8794     1.3638    0.10797               D007100200283 
 150.00     3.0550     1.9011     1.4425    0.92721E-01           D007100200284 
 150.00     3.0550     1.9259     1.5524    0.12363               D007100200285 
 150.00     3.0550     1.9536     1.7242    0.15454               D007100200286 
 150.00     3.0550     1.9743     2.1584    0.12363               D007100200287 
 150.00     3.0550     2.0016     2.5003    0.92721E-01           D007100200288 
 150.00     3.0550     2.0260     2.7338    0.12363               D007100200289 
 150.00     3.0550     2.0506     2.9054    0.77268E-01           D007100200290 
 150.00     3.0550     2.0774     3.4173    0.10797               D007100200291 
 150.00     3.0550     2.0989     3.5887    0.12384               D007100200292 
 150.00     3.0550     2.1271     3.5597    0.10818               D007100200293 
 150.00     3.0550     2.1520     3.6386    0.10818               D007100200294 
 150.00     3.0550     2.1772     3.5630    0.15454               D007100200295 
 150.00     3.0550     2.2041     2.9157    0.20090               D007100200296 
 150.00     3.0550     2.2297     2.7010    0.12363               D007100200297 
 150.00     3.0550     2.2526     2.3470    0.12363               D007100200298 
 150.00     3.0550     2.2757     1.9158    0.92931E-01           D007100200299 
 150.00     3.0550     2.3022     1.4230    0.10818               D007100200300 
 150.00     3.0550     2.3247     1.1926    0.61814E-01           D007100200301 
 150.00     3.0550     2.3500     1.1016    0.77268E-01           D007100200302 
 150.00     3.0550     2.3785    0.99527    0.92721E-01           D007100200303 
 150.00     3.0550     2.4000     1.1667    0.77268E-01           D007100200304 
 150.00     3.0550     2.4250     1.1684    0.77268E-01           D007100200305 
 150.00     3.8430    0.99823    0.35414    0.61623E-01           D007100200306 
 150.00     3.8430     1.0232    0.35561    0.61806E-01           D007100200307 
 150.00     3.8430     1.0478    0.48032    0.61623E-01           D007100200308 
 150.00     3.8430     1.0757    0.55900    0.92435E-01           D007100200309 
 150.00     3.8430     1.1005    0.62209    0.61440E-01           D007100200310 
 150.00     3.8430     1.1250    0.80842    0.61623E-01           D007100200311 
 150.00     3.8430     1.1501    0.76367    0.61440E-01           D007100200312 
 150.00     3.8430     1.1748    0.84217    0.77029E-01           D007100200313 
 150.00     3.8430     1.1996    0.93607    0.61623E-01           D007100200314 
 150.00     3.8430     1.2243     1.0146    0.61623E-01           D007100200315 
 150.00     3.8430     1.2493     1.0160    0.61623E-01           D007100200316 
 150.00     3.8430     1.2740     1.0945    0.92618E-01           D007100200317 
 150.00     3.8430     1.2991     1.0652    0.92435E-01           D007100200318 
 150.00     3.8430     1.3244    0.92799    0.61440E-01           D007100200319 
 150.00     3.8430     1.3490     1.0373    0.77029E-01           D007100200320 
 150.00     3.8430     1.3776    0.85408    0.12325               D007100200321 
 150.00     3.8430     1.3993    0.87077    0.61623E-01           D007100200322 
 150.00     3.8430     1.4241    0.93386    0.61623E-01           D007100200323 
 150.00     3.8430     1.4457     1.0584    0.77029E-01           D007100200324 
 150.00     3.8430     1.4736     1.1371    0.61623E-01           D007100200325 
 150.00     3.8430     1.4983     1.2464    0.77029E-01           D007100200326 
 150.00     3.8430     1.5231     1.2786    0.92435E-01           D007100200327 
 150.00     3.8430     1.5474     1.5574    0.10784               D007100200328 
 150.00     3.8430     1.5718     1.7746    0.92435E-01           D007100200329 
 150.00     3.8430     1.5962     2.0225    0.13865               D007100200330 
 150.00     3.8430     1.6237     2.2553    0.10784               D007100200331 
 150.00     3.8430     1.6478     2.5957    0.12325               D007100200332 
 150.00     3.8430     1.6749     3.0287    0.12325               D007100200333 
 150.00     3.8430     1.6996     3.1226    0.18487               D007100200334 
 150.00     3.8430     1.7218     2.9698    0.15406               D007100200335 
 150.00     3.8430     1.7493     3.1871    0.13884               D007100200336 
 150.00     3.8430     1.7747     3.0037    0.20028               D007100200337 
 150.00     3.8430     1.7998     2.9590    0.15406               D007100200338 
 150.00     3.8430     1.8271     3.2687    0.13865               D007100200339 
 150.00     3.8430     1.8496     3.0235    0.92618E-01           D007100200340 
 150.00     3.8430     1.8741     3.2099    0.13865               D007100200341 
 150.00     3.8430     1.8991     3.1651    0.16946               D007100200342 
 150.00     3.8430     1.9237     3.3206    0.16946               D007100200343 
 150.00     3.8430     1.9516     3.3839    0.18487               D007100200344 
 150.00     3.8430     1.9760     3.6319    0.12343               D007100200345 
 150.00     3.8430     2.0037     3.7876    0.12325               D007100200346 
 150.00     3.8430     2.0246     4.1586    0.15406               D007100200347 
 150.00     3.8430     2.0530     4.0370    0.16946               D007100200348 
 150.00     3.8430     2.0742     4.2694    0.16965               D007100200349 
 150.00     3.8430     2.1057     4.1788    0.18487               D007100200350 
 150.00     3.8430     2.1268     4.4728    0.18487               D007100200351 
 150.00     3.8430     2.1519     4.4126    0.13865               D007100200352 
 150.00     3.8430     2.1744     4.1212    0.18487               D007100200353 
 150.00     3.8430     2.2009     3.4910    0.15406               D007100200354 
 150.00     3.8430     2.2268     3.0765    0.18487               D007100200355 
 150.00     3.8430     2.2495     2.7389    0.15406               D007100200356 
 150.00     3.8430     2.2754     2.3244    0.15406               D007100200357 
 150.00     3.8430     2.3007     2.1872    0.13847               D007100200358 
 150.00     3.8430     2.3232     1.9266    0.12306               D007100200359 
