ENTRY            D0506   20080823                             D063D050600000001 
SUBENT        D0506001   20080823                             D063D050600100001 
BIB                 13         34                                 D050600100002 
TITLE      Nuclear structure of 187W studied with (n,gamma)       D050600100003 
           and (d,p) reactions                                    D050600100004 
AUTHOR     (V.Bondarenko,I.Tomandl,H.-F.Wirth,J.Honzatko,         D050600100005 
           A.M.Sukhovoj,L.A.Malov,L.I.Simonova,R.Hertenberger,    D050600100006 
           T.von Egidy,J.Berzins)                                 D050600100007 
INSTITUTE  (4LATULR,3CZRUJV,2GERMUN,2GERLMU,3CZRUJF,4ZZZDUB)      D050600100008 
REFERENCE  (J,NP/A,811,28,2008)                                   D050600100009 
           (J,NP/A,619,1,1997) results on polarised beam are      D050600100010 
           given only in relative units and measurements were     D050600100011 
           made on sample with relatively big additions of W+Te   D050600100012 
FACILITY   (VDGT,2GERMUN) Tandem Van de Graaff accelerator of     D050600100013 
           the University and the Technical University of Munich. D050600100014 
           An unpolarized deuteron beam.                          D050600100015 
METHOD     (BCINT) The integration of the beam current in a       D050600100016 
           Faraday cup allowed the determination of absolute      D050600100017 
           cross sections.                                        D050600100018 
SAMPLE     The isotopically enriched target (99.8%) with a        D050600100019 
           thickness 120 mu-g/cm2 was prepared by vacuum          D050600100020 
           evaporation on a 4 mu-g/cm2 thick carbon backing.      D050600100021 
DETECTOR   (MAGSP,PS) Reaction products were momentum-separated   D050600100022 
           by the Q3D spectrograph within a solid angle           D050600100023 
           acceptance of up to 7 msr and detected in a 890 mm     D050600100024 
           long position sensitive cathode strip detector         D050600100025 
ERR-ANALYS (E-EXC-ERR) Statistical uncertainty in the energy levelD050600100026 
           (ERR-S) The accuracy of absolute intensity  calibrationD050600100027 
           (DATA-ERR) Estimated uncertainties on absolute cross   D050600100028 
           sections should not be greater than +-20% according    D050600100029 
           to the beam current integrated method.                 D050600100030 
EN-SEC     (E-EXC,74-W-187)                                       D050600100031 
STATUS     (TABLE) Data were received from Dr. V.Bondarenko       D050600100032 
           (APRVD) Entry approved by Dr. V.Bondarenko             D050600100033 
ADD-RES    Results from (n,g) reaction are                        D050600100034 
           included in Entry 31650                                D050600100035 
HISTORY    (20080823C)                                            D050600100036 
ENDBIB              34          0                                 D050600100037 
COMMON               1          3                                 D050600100038 
DATA-ERR                                                          D050600100039 
PER-CENT                                                          D050600100040 
  20.0                                                            D050600100041 
ENDCOMMON            3          0                                 D050600100042 
ENDSUBENT           41          0                                 D050600199999 
SUBENT        D0506002   20080823                             D063D050600200001 
BIB                  1          1                                 D050600200002 
REACTION   (74-W-186(D,P)74-W-187,PAR,DA)                         D050600200003 
ENDBIB               1          0                                 D050600200004 
COMMON               1          3                                 D050600200005 
EN                                                                D050600200006 
MEV                                                               D050600200007 
  22.0                                                            D050600200008 
ENDCOMMON            3          0                                 D050600200009 
DATA                 5        549                                 D050600200010 
ANG        E-EXC      E-EXC-ERR  DATA       ERR-S                 D050600200011 
       10.0     1588.9        0.2      295.0        5.0           D050600200063 
       10.0     1600.4        0.2       34.0        3.0           D050600200064 
       10.0     1611.3        0.8        7.0        2.2           D050600200065 
       10.0     1620.0        0.2       13.0        2.0           D050600200066 
       10.0     1633.4        0.2       20.0        2.0           D050600200067 
       10.0     1641.7        0.5        5.5        1.1           D050600200068 
       10.0     1648.2        0.4        7.6        1.2           D050600200069 
       10.0     1657.1        0.3        4.3        1.1           D050600200070 
       10.0     1667.0        0.4        2.3        1.7           D050600200071 
       10.0     1674.7        0.4       15.0        2.0           D050600200072 
       10.0     1686.4        0.3       21.0        2.0           D050600200073 
       10.0     1693.4        0.0       25.0        2.0           D050600200074 
       10.0     1708.0        0.0       11.0        2.0           D050600200075 
       10.0     1712.7        0.0       29.0        2.0           D050600200076 
       10.0     1718.6        0.2      127.0        4.0           D050600200077 
       10.0     1729.4        0.2       45.0        3.0           D050600200078 
       10.0     1744.0        0.4       15.0        3.0           D050600200079 
       10.0     1748.5        0.3       43.0        3.0           D050600200080 
       10.0     1771.2        0.3       36.0        2.0           D050600200081 
       10.0     1783.7        0.3       30.0        2.0           D050600200082 
       10.0     1806.6        0.3       16.0        2.0           D050600200083 
       10.0     1816.6        0.4       21.0        2.0           D050600200084 
       10.0     1824.5        0.4       75.0        3.0           D050600200085 
       10.0     1837.5        0.3       10.0        1.0           D050600200086 
       10.0     1845.5        0.4        8.9        1.3           D050600200087 
       10.0     1857.6        0.5       17.0        2.0           D050600200088 
       10.0     1872.1        0.4       24.0        2.0           D050600200089 
       10.0     1876.2        0.5        5.6        1.8           D050600200090 
       10.0     1888.9        0.5        2.4        1.1           D050600200091 
       10.0     1905.7        0.4       89.0        3.0           D050600200092 
       10.0     1916.3        0.4       99.0        3.0           D050600200093 
       10.0     1930.8        0.4       20.0        2.0           D050600200094 
       10.0     1941.1        0.6       57.0        3.0           D050600200095 
       10.0     1946.0        0.8        7.9        1.8           D050600200096 
       10.0     1955.6        0.6       24.0        2.0           D050600200097 
       10.0     1966.0        0.6       27.0        2.0           D050600200098 
       10.0     1973.5        0.7        7.5        1.3           D050600200099 
       10.0     1979.1        0.5       24.0        2.0           D050600200100 
       10.0     1992.1        0.9       16.0        3.0           D050600200101 
       10.0     1997.7        0.9       18.0        3.0           D050600200102 
       13.0        0.3        0.2       71.0        2.0           D050600200103 
       13.0       77.1        0.2      488.0        9.0           D050600200104 
       13.0      145.9        0.2       22.0        1.0           D050600200105 
       13.0      204.8        0.2      594.0        7.0           D050600200106 
       13.0      303.1        0.2       47.0        2.0           D050600200107 
       13.0      330.9        0.2       13.0        1.0           D050600200108 
       13.0      350.4        0.2      509.0        6.0           D050600200109 
       13.0      364.1        0.4       51.0        2.0           D050600200110 
       13.0      432.1        0.3      112.0        3.0           D050600200111 
       13.0      522.3        0.2        1.4        0.4           D050600200112 
       13.0      574.6        0.3        2.4        0.4           D050600200113 
       13.0      597.7        0.2       19.0        1.0           D050600200114 
       13.0      640.4        0.2      236.0       14.0           D050600200115 
       13.0      728.3        0.2        4.7        0.7           D050600200116 
       13.0      762.4        0.3        4.0        0.6           D050600200117 
       13.0      776.1        0.2       25.0        5.0           D050600200118 
       13.0      782.2        0.1      441.0        7.0           D050600200119 
       13.0      797.0        0.4        7.8        1.2           D050600200120 
       13.0      816.1        0.1      428.0       11.0           D050600200121 
       13.0      892.0        0.2       39.0        2.0           D050600200122 
       13.0      914.2        0.2       11.0        1.0           D050600200123 
       13.0      959.9        0.2       40.0        2.0           D050600200124 
       13.0      971.5        0.3        6.3        1.4           D050600200125 
       13.0      978.9        0.1       73.0        2.0           D050600200126 
       13.0      988.9        0.2       15.0        1.0           D050600200127 
       13.0      999.6        0.2        6.4        0.8           D050600200128 
       13.0     1018.8        0.9        1.9        0.6           D050600200129 
       13.0     1033.5        0.2        9.8        0.9           D050600200130 
       13.0     1070.0        0.2       95.0        3.0           D050600200131 
       13.0     1085.8        0.2       49.0        2.0           D050600200132 
       13.0     1114.2        0.2       10.0        1.0           D050600200133 
       13.0     1138.0        0.2       39.0        2.0           D050600200134 
       13.0     1187.5        0.4        4.9        0.9           D050600200135 
       13.0     1192.5        0.2       20.0        1.0           D050600200136 
       13.0     1199.2        0.6        2.7        0.8           D050600200137 
       13.0     1217.5        0.3        8.1        0.8           D050600200138 
       13.0     1234.2        0.1      109.0        3.0           D050600200139 
       13.0     1268.4        0.2       42.0        2.0           D050600200140 
       13.0     1307.0        0.2       31.0        8.0           D050600200141 
       13.0     1312.6        0.1      559.0       12.0           D050600200142 
       13.0     1347.6        0.1      181.0        4.0           D050600200143 
       13.0     1359.3        0.1      226.0        4.0           D050600200144 
       13.0     1374.1        0.2       27.0        2.0           D050600200145 
       13.0     1384.1        0.1      188.0        4.0           D050600200146 
       13.0     1415.5        0.1      129.0        4.0           D050600200147 
       13.0     1424.6        0.1      358.0        5.0           D050600200148 
       13.0     1450.8        0.2        8.5        1.1           D050600200149 
       13.0     1476.8        0.1      108.0        3.0           D050600200150 
       13.0     1492.2        0.8       20.0        1.0           D050600200151 
       13.0     1502.1        0.2       10.0        2.0           D050600200152 
       13.0     1527.6        0.4       19.0       13.0           D050600200153 
       13.0     1534.0        0.1      665.0       18.0           D050600200154 
       13.0     1544.8        0.3       25.0        4.0           D050600200155 
       13.0     1620.0        0.2       16.0        8.0           D050600200156 
       13.0     1633.4        0.2       20.0        2.0           D050600200157 
       13.0     1648.2        0.4        4.9        1.3           D050600200158 
       13.0     1657.1        0.3        6.4        1.3           D050600200159 
       13.0     1667.0        0.4        8.2        1.3           D050600200160 
       13.0     1674.7        0.4       26.0        2.0           D050600200161 
       13.0     1686.4        0.3       29.0        2.0           D050600200162 
       13.0     1693.4        0.3       19.0        2.0           D050600200163 
       13.0     1708.0        0.5       14.0        3.0           D050600200164 
       13.0     1712.7        0.2       27.0        3.0           D050600200165 
       13.0     1718.6        0.2      124.0        4.0           D050600200166 
       13.0     1729.4        0.2       56.0        2.0           D050600200167 
       13.0     1744.0        0.4       16.0        2.0           D050600200168 
       13.0     1748.5        0.3       44.0        3.0           D050600200169 
       13.0     1771.2        0.3       27.0        2.0           D050600200170 
       13.0     1783.7        0.3       29.0        2.0           D050600200171 
       13.0     1806.6        0.3       14.0        1.0           D050600200172 
       13.0     1816.6        0.4       19.0        1.0           D050600200173 
       13.0     1824.5        0.4       60.0        2.0           D050600200174 
       13.0     1837.5        0.3        9.1        1.1           D050600200175 
       13.0     1845.5        0.4        4.8        0.9           D050600200176 
       13.0     1857.6        0.5        9.7        1.1           D050600200177 
       13.0     1872.1        0.4       21.0        2.0           D050600200178 
       13.0     1876.2        0.5        7.5        1.7           D050600200179 
       13.0     1905.7        0.4       70.0        3.0           D050600200180 
       13.0     1916.3        0.4       96.0        3.0           D050600200181 
       13.0     1930.8        0.4       15.0        2.0           D050600200182 
       13.0     1941.1        0.6       42.0        3.0           D050600200183 
       13.0     1946.0        0.8        7.3        2.2           D050600200184 
       13.0     1955.6        0.6       14.0        2.0           D050600200185 
       13.0     1966.0        0.6       21.0        2.0           D050600200186 
       13.0     1979.1        0.5       19.0        2.0           D050600200187 
       16.0        0.3        0.2       54.0        2.0           D050600200188 
       16.0       77.1        0.2      519.0        6.0           D050600200189 
       16.0      145.9        0.2       17.0        1.0           D050600200190 
       16.0      200.7        0.4        5.7        3.6           D050600200191 
       16.0      204.8        0.2      492.0        6.0           D050600200192 
       16.0      303.1        0.2       51.0        2.0           D050600200193 
       16.0      330.9        0.2        9.7        0.8           D050600200194 
       16.0      350.4        0.2      535.0        6.0           D050600200195 
       16.0      364.1        0.4       40.0        5.0           D050600200196 
       16.0      410.4        0.5        1.3        0.4           D050600200197 
       16.0      432.1        0.3      137.0        3.0           D050600200198 
       16.0      510.0        0.5        0.8        0.4           D050600200199 
       16.0      522.3        0.2        1.5        0.4           D050600200200 
       16.0      574.6        0.3        2.3        0.5           D050600200201 
       16.0      597.7        0.2       25.0        1.0           D050600200202 
       16.0      640.4        0.2      244.0        5.0           D050600200203 
       16.0      728.3        0.2        5.4        0.6           D050600200204 
       16.0      776.1        0.2       28.0        5.0           D050600200205 
       16.0      782.2        0.1      357.0        8.0           D050600200206 
       16.0      797.0        0.4       10.0        2.0           D050600200207 
       16.0      816.1        0.1      470.0        6.0           D050600200208 
       16.0      852.1        0.1      150.0        3.0           D050600200209 
       16.0      863.3        0.2       67.0        2.0           D050600200210 
       16.0      959.9        0.2       41.0        3.0           D050600200211 
       16.0      978.9        0.1       61.0        3.0           D050600200212 
       16.0      988.9        0.2       12.0        1.0           D050600200213 
       16.0      999.6        0.2        8.0        1.1           D050600200214 
       16.0     1033.5        0.2        8.2        0.9           D050600200215 
       16.0     1056.8        0.4        3.6        0.8           D050600200216 
       16.0     1070.0        0.2      101.0        3.0           D050600200217 
       16.0     1085.8        0.2       52.0        2.0           D050600200218 
       16.0     1104.9        0.3        3.4        0.8           D050600200219 
       16.0     1114.2        0.2       18.0        1.0           D050600200220 
       16.0     1138.0        0.2       42.0        2.0           D050600200221 
       16.0     1192.5        0.2       24.0        2.0           D050600200222 
       16.0     1199.2        0.6        5.2        1.6           D050600200223 
       16.0     1217.5        0.3        2.4        0.8           D050600200224 
       16.0     1234.2        0.1      102.0        3.0           D050600200225 
       16.0     1268.4        0.2       46.0        2.0           D050600200226 
       16.0     1287.5        0.6        5.7        0.9           D050600200227 
       16.0     1307.0        0.2       24.0        3.0           D050600200228 
       16.0     1312.6        0.1      500.0        7.0           D050600200229 
       16.0     1347.6        0.1      154.0        3.0           D050600200230 
       16.0     1359.3        0.1      243.0        4.0           D050600200231 
       16.0     1374.1        0.2       26.0        2.0           D050600200232 
       16.0     1384.1        0.1      153.0        3.0           D050600200233 
       16.0     1415.5        0.1      119.0        4.0           D050600200234 
       16.0     1424.6        0.1      398.0        6.0           D050600200235 
       16.0     1432.1        0.4        9.0        2.2           D050600200236 
       16.0     1450.8        0.2        6.5        1.1           D050600200237 
       16.0     1476.8        0.1      103.0        2.0           D050600200238 
       16.0     1492.2        0.8       17.0        1.0           D050600200239 
       16.0     1502.1        0.2       11.0        1.0           D050600200240 
       16.0     1527.6        0.4        8.2        2.5           D050600200241 
       16.0     1534.0        0.1      653.0        7.0           D050600200242 
       16.0     1544.8        0.3       29.0        3.0           D050600200243 
       16.0     1555.0        1.0        5.8        1.0           D050600200244 
       16.0     1564.5        0.2       51.0        2.0           D050600200245 
       16.0     1588.9        0.2      272.0       16.0           D050600200246 
       16.0     1674.7        0.4       21.0        3.0           D050600200247 
       16.0     1686.4        0.3       25.0        2.0           D050600200248 
       16.0     1693.4        0.3       19.0        2.0           D050600200249 
       16.0     1708.0        0.5        4.7        5.9           D050600200250 
       16.0     1712.7        0.2       25.0        5.0           D050600200251 
       16.0     1718.6        0.2      131.0        5.0           D050600200252 
       16.0     1729.4        0.2       46.0        2.0           D050600200253 
       16.0     1744.0        0.4       12.0        4.0           D050600200254 
       16.0     1748.5        0.3       48.0        4.0           D050600200255 
       16.0     1771.2        0.3       28.0        2.0           D050600200256 
       16.0     1783.7        0.3       37.0        2.0           D050600200257 
       16.0     1806.6        0.3       14.0        1.0           D050600200258 
       16.0     1816.6        0.4       23.0        2.0           D050600200259 
       16.0     1824.5        0.4       50.0        2.0           D050600200260 
       16.0     1837.5        0.3        8.4        1.2           D050600200261 
       16.0     1845.5        0.4        5.5        1.1           D050600200262 
       16.0     1857.6        0.5        7.7        1.1           D050600200263 
       16.0     1872.1        0.4       29.0        2.0           D050600200264 
       16.0     1905.7        0.4       63.0        3.0           D050600200265 
       16.0     1916.3        0.4       86.0        3.0           D050600200266 
       16.0     1930.8        0.4       17.0        2.0           D050600200267 
       16.0     1941.1        0.6       46.0        3.0           D050600200268 
       16.0     1955.6        0.6       14.0        2.0           D050600200269 
       16.0     1966.0        0.6       24.0        2.0           D050600200270 
       16.0     1979.1        0.5       21.0        2.0           D050600200271 
       20.0        0.3        0.2       51.0        2.0           D050600200272 
       20.0       77.1        0.2      469.0       12.0           D050600200273 
       20.0      145.9        0.2       12.0        1.0           D050600200274 
       20.0      200.7        0.4        9.0        9.0           D050600200275 
       20.0      204.8        0.2      412.0       11.0           D050600200276 
       20.0      303.1        0.2       54.0        2.0           D050600200277 
       20.0      330.9        0.2       13.0        1.0           D050600200278 
       20.0      350.4        0.2      497.0       10.0           D050600200279 
       20.0      364.1        0.4       63.0        3.0           D050600200280 
       20.0      410.4        0.5        0.9        0.3           D050600200281 
       20.0      432.1        0.3      141.0        3.0           D050600200282 
       20.0      510.0        0.5        1.2        0.3           D050600200283 
       20.0      522.3        0.2        2.6        0.4           D050600200284 
       20.0      574.6        0.3        2.2        0.5           D050600200285 
       20.0      597.7        0.2       32.0        2.0           D050600200286 
       20.0      640.4        0.2      231.0        5.0           D050600200287 
       20.0      728.3        0.2        4.9        0.6           D050600200288 
       20.0      762.4        0.3        1.2        0.4           D050600200289 
       20.0      776.1        0.2       18.0        3.0           D050600200290 
       20.0      782.2        0.1      337.0        6.0           D050600200291 
       20.0      797.0        0.4       11.0        2.0           D050600200292 
       20.0      811.1        0.5       12.0        3.0           D050600200293 
       20.0      816.1        0.1      427.0        7.0           D050600200294 
       20.0      852.1        0.1      132.0        4.0           D050600200295 
       20.0      861.7        0.5       34.0       14.0           D050600200296 
       20.0      864.7        0.5       39.0       15.0           D050600200297 
       20.0      892.0        0.2       34.0        2.0           D050600200298 
       20.0      914.2        0.2       13.0        1.0           D050600200299 
       20.0      933.0        0.1        5.9        0.7           D050600200300 
       20.0      959.9        0.2       48.0        5.0           D050600200301 
       20.0     1070.0        0.2       99.0        5.0           D050600200302 
       20.0     1085.8        0.2       49.0        3.0           D050600200303 
       20.0     1104.9        0.3        2.5        0.9           D050600200304 
       20.0     1114.2        0.2       18.0        2.0           D050600200305 
       20.0     1130.0        0.4        3.6        0.7           D050600200306 
       20.0     1138.0        0.2       34.0        2.0           D050600200307 
       20.0     1187.5        0.4        4.6        1.5           D050600200308 
       20.0     1192.5        0.2       19.0        2.0           D050600200309 
       20.0     1199.2        0.6        4.6        0.8           D050600200310 
       20.0     1217.5        0.3        5.4        0.6           D050600200311 
       20.0     1226.1        0.9        3.2        0.7           D050600200312 
       20.0     1234.2        0.1      122.0        3.0           D050600200313 
       20.0     1268.4        0.2       41.0        2.0           D050600200314 
       20.0     1307.0        0.2       21.0        3.0           D050600200315 
       20.0     1312.6        0.1      367.0        6.0           D050600200316 
       20.0     1347.6        0.1      154.0        4.0           D050600200317 
       20.0     1359.3        0.1      289.0        5.0           D050600200318 
       20.0     1374.1        0.2       25.0        2.0           D050600200319 
       20.0     1384.1        0.1      155.0        4.0           D050600200320 
       20.0     1415.5        0.1      118.0        4.0           D050600200321 
       20.0     1424.6        0.1      444.0        9.0           D050600200322 
       20.0     1432.1        0.4       14.0        6.0           D050600200323 
       20.0     1450.8        0.2        7.6        1.2           D050600200324 
       20.0     1458.7        0.6        2.0        1.0           D050600200325 
       20.0     1476.8        0.1       90.0        3.0           D050600200326 
       20.0     1486.9        0.5       17.0        2.0           D050600200327 
       20.0     1502.1        0.2        9.0        1.8           D050600200328 
       20.0     1527.6        0.4       14.0        5.0           D050600200329 
       20.0     1534.0        0.1      495.0        7.0           D050600200330 
       20.0     1555.0        0.1        5.7        1.1           D050600200331 
       20.0     1564.5        0.2       50.0        2.0           D050600200332 
       20.0     1583.5        0.3       12.0        5.0           D050600200333 
       20.0     1588.9        0.2      244.0        8.0           D050600200334 
       20.0     1600.4        0.2       69.0        4.0           D050600200335 
       20.0     1611.3        0.8        4.1        1.6           D050600200336 
       20.0     1620.0        0.2       10.0        2.0           D050600200337 
       20.0     1633.4        0.2       26.0        2.0           D050600200338 
       20.0     1657.1        0.3        7.0        5.0           D050600200339 
       20.0     1667.0        0.4        7.0        6.0           D050600200340 
       20.0     1748.5        0.3       43.0        4.0           D050600200341 
       20.0     1771.2        0.3       22.0        2.0           D050600200342 
       20.0     1783.7        0.3       30.0        2.0           D050600200343 
       20.0     1806.6        0.3       18.0        1.0           D050600200344 
       20.0     1816.6        0.4       22.0        1.0           D050600200345 
       20.0     1824.5        0.4       51.0        2.0           D050600200346 
       20.0     1837.5        0.3       12.0        1.0           D050600200347 
       20.0     1845.5        0.4       12.0        1.0           D050600200348 
       20.0     1857.6        0.5       11.0        1.0           D050600200349 
       20.0     1872.1        0.4       21.0        2.0           D050600200350 
       20.0     1876.2        0.5        5.7        1.3           D050600200351 
       20.0     1888.9        0.5       63.0        2.0           D050600200352 
       20.0     1905.7        0.4       75.0        3.0           D050600200353 
       20.0     1930.8        0.4       16.0        2.0           D050600200354 
       20.0     1941.1        0.6       34.0        3.0           D050600200355 
       20.0     1955.6        0.6       13.0        2.0           D050600200356 
       20.0     1966.0        0.6       18.0        2.0           D050600200357 
       20.0     1979.1        0.5       13.0        2.0           D050600200358 
       20.0     1992.1        0.9       15.0        2.0           D050600200359 
       20.0     1997.7        0.9       13.0        2.0           D050600200360 
       20.0     2008.9        0.4       32.0        7.0           D050600200361 
       20.0     2017.7        0.4       82.0        9.0           D050600200362 
       20.0     2027.5        0.9       19.0        3.0           D050600200363 
       20.0     2038.6        0.5       31.0        6.0           D050600200364 
       20.0     2043.9        0.5       32.0        5.0           D050600200365 
       20.0     2053.0        2.0       11.0        3.0           D050600200366 
       20.0     2060.4        0.7       23.0        5.0           D050600200367 
       20.0     2065.0        2.0       20.0        4.0           D050600200368 
       20.0     2072.5        0.4       33.0        5.0           D050600200369 
       20.0     2083.0        2.0       10.0        3.0           D050600200370 
       20.0     2092.3        0.6       18.0        4.0           D050600200371 
       20.0     2099.7        0.5       35.0        6.0           D050600200372 
       30.0        0.3        0.2       40.0        2.0           D050600200373 
       30.0       77.1        0.2      238.0       19.0           D050600200374 
       30.0      145.9        0.2        2.3        0.5           D050600200375 
       30.0      200.7        0.4       10.0        5.0           D050600200376 
       30.0      204.8        0.2      262.0        6.0           D050600200377 
       30.0      303.1        0.2       27.0        2.0           D050600200378 
       30.0      330.9        0.2       10.0        1.0           D050600200379 
       30.0      350.4        0.2      246.0        5.0           D050600200380 
       30.0      364.1        0.4       64.0        2.0           D050600200381 
       30.0      410.4        0.5        1.5        0.6           D050600200382 
       30.0      432.1        0.3       76.0        3.0           D050600200383 
       30.0      522.3        0.2        4.3        0.6           D050600200384 
       30.0      574.6        0.3        2.6        0.5           D050600200385 
       30.0      597.7        0.2       38.0        2.0           D050600200386 
       30.0      640.4        0.2      112.0        3.0           D050600200387 
       30.0      728.3        0.2        3.7        0.6           D050600200388 
       30.0      762.4        0.3        2.7        0.0           D050600200389 
       30.0      776.1        0.2       11.0        2.0           D050600200390 
       30.0      782.2        0.1      270.0        5.0           D050600200391 
       30.0      797.0        0.4        4.9        1.0           D050600200392 
       30.0      811.1        0.5       13.0        4.0           D050600200393 
       30.0      816.1        0.1      345.0        7.0           D050600200394 
       30.0      852.1        0.1      107.0        4.0           D050600200395 
       30.0      863.3        0.2       34.0        4.0           D050600200396 
