ENTRY            D0845   20170719                             D111D0845  0    1 
SUBENT        D0845001   20170719                             D111D0845  1    1 
BIB                 11         16                                 D0845  1    2 
TITLE      Multinucleon transfer processes in 40Ca+208Pb          D0845  1    3 
AUTHOR     (S.Szilner, L.Corradi, G.Pollarolo, S.Beghini,         D0845  1    4 
            B.R.Behera, E.Fioretto, A.Gadea, F.Haas, A.Latina,    D0845  1    5 
            G.Montagnoli, F.Scarlassara, A.M.Stefanini, M.Trotta, D0845  1    6 
            A.M.Vinodkumar, Y.Wu)                                 D0845  1    7 
INSTITUTE  (2ITYPAD,2ITYTUR,2ITYUPV,2FR ULP,3CRORBZ)              D0845  1    8 
REFERENCE  (J,PR/C,71,044610,2005)                                D0845  1    9 
SAMPLE     200 ug/cm2 208Pb target sandwiched between carbon foilsD0845  1   10 
METHOD     (TOF,EDE)                                              D0845  1   11 
FACILITY   (VDGT,2ITYPAD) Tandem+ALPI accelerator complex.        D0845  1   12 
DETECTOR   (MCPLT,IOCH) Detection of light reaction products      D0845  1   13 
           (SI) Monitor for absolute normalization.               D0845  1   14 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   D0845  1   15 
STATUS     (APRVD) Approved by Suzana Szilner (2017-07-21)        D0845  1   16 
HISTORY    (20170627R) Received by e-mail from S.Szilner          D0845  1   17 
           (20170713C) M.Odsuren, N.Otsuka                        D0845  1   18 
ENDBIB              16          0                                 D0845  1   19 
NOCOMMON             0          0                                 D0845  1   20 
ENDSUBENT           19          0                                 D0845  199999 
SUBENT        D0845002   20170719                             D111D0845  2    1 
BIB                  2          2                                 D0845  2    2 
REACTION   (82-PB-208(20-CA-40,X)ELEM/MASS,,DA)                   D0845  2    3 
STATUS     (TABLE) Fig.6 of Phys.Rev.C71(2005)044610              D0845  2    4 
ENDBIB               2          0                                 D0845  2    5 
NOCOMMON             0          0                                 D0845  2    6 
DATA                 6        172                                 D0845  2    7 
EN         ELEMENT    MASS       ANG-CM     DATA-CM    DATA-ERR   D0845  2    8 
 249.       18.        39.         69.5         4.20    0.03      D0845  2  107 
 249.       18.        39.         74.9         6.61    0.04      D0845  2  108 
 249.       18.        39.         80.3         9.25    0.03      D0845  2  109 
 249.       18.        39.         85.6         7.10    0.04      D0845  2  110 
 249.       18.        39.         90.8         4.46    0.07      D0845  2  111 
 249.       18.        39.         90.8         4.48    0.04      D0845  2  112 
 249.       18.        39.        101.0         1.00    0.06      D0845  2  113 
 249.       18.        39.        110.8         0.29    0.21      D0845  2  114 
 249.       18.        40.         49.9         0.72    0.09      D0845  2  115 
 249.       18.        40.         58.4         1.39    0.08      D0845  2  116 
 249.       18.        40.         69.5         3.76    0.03      D0845  2  117 
 249.       18.        40.         74.9         5.16    0.05      D0845  2  118 
 249.       18.        40.         80.3         5.23    0.04      D0845  2  119 
 249.       18.        40.         85.6         3.91    0.06      D0845  2  120 
 249.       18.        40.         90.8         2.41    0.09      D0845  2  121 
 249.       18.        40.         90.8         2.56    0.05      D0845  2  122 
 249.       18.        40.        101.0         0.57    0.08      D0845  2  123 
 249.       18.        40.        110.8         0.14    0.31      D0845  2  124 
 249.       19.        39.         58.4         0.60    0.13      D0845  2  125 
 249.       19.        39.         69.5         8.32    0.02      D0845  2  126 
 249.       19.        39.         74.9        18.46    0.03      D0845  2  127 
 249.       19.        39.         80.3        22.07    0.02      D0845  2  128 
 249.       19.        39.         85.6        14.36    0.03      D0845  2  129 
 249.       19.        39.         90.8         7.04    0.05      D0845  2  130 
 249.       19.        39.         90.8         8.32    0.03      D0845  2  131 
 249.       19.        39.        101.0         1.13    0.05      D0845  2  132 
 249.       19.        39.        110.8         0.15    0.30      D0845  2  133 
 249.       19.        40.         58.4         0.34    0.17      D0845  2  134 
 249.       19.        40.         69.5         3.54    0.03      D0845  2  135 
 249.       19.        40.         74.9         8.14    0.04      D0845  2  136 
 249.       19.        40.         80.3        12.39    0.02      D0845  2  137 
 249.       19.        40.         85.6         9.53    0.04      D0845  2  138 
