ENTRY            D0977   20200414                             D127D097700000001 
SUBENT        D0977001   20200414                             D127D097700100001 
BIB                 10         25                                 D097700100002 
TITLE      Differential cross section measurements of the         D097700100003 
            9Be(3He,p)11B reaction for NRA applications           D097700100004 
AUTHOR     (G.Provatas, S.Fazinic, N.Soic, N.Vukman, D.Cosic,     D097700100005 
            M.Krmpotic, M.Vuksic, A.Crnjac, R.Popocovski,         D097700100006 
            L.Palada, P.Colovic, D.Dell'Aquila, I.Gasparic,       D097700100007 
            D.Jelavic Malenica, T.Mijatovic, M.Uroic)             D097700100008 
INSTITUTE  (3CRORBZ)                                              D097700100009 
REFERENCE  (J,NIM/B,472,36,2020)                                  D097700100010 
FACILITY   (VDGT,3CRORBZ) 1 MV Tandetron accelerator (TDT)        D097700100011 
SAMPLE     A thin 9Be layer (65(10%) ug/cm2 thick) evaporated on  D097700100012 
            top of a self supporting Au foil (73(10%) ug/cm2      D097700100013 
            thick).                                               D097700100014 
           The nominal thickness was checked by proton-EBS        D097700100015 
            measurement at Ep=2 MeV which also confirmed that     D097700100016 
            C and O impurities were not greater than 5 ug/cm2.    D097700100017 
METHOD     (BCINT)                                                D097700100018 
DETECTOR   (SISD) Two double-sided Si strip detectors (1.5 mm     D097700100019 
            thick 16x16 segments, 50x50 mm2 area) placed 12 cm    D097700100020 
            from the target.                                      D097700100021 
           The solid angle was determined by measurement of       D097700100022 
            elastic scattering by additional irradiation with     D097700100023 
            an accuracy of 3%.                                    D097700100024 
STATUS     (APRVD) Approved by Georgios Provatas (2020-04-14)     D097700100025 
HISTORY    (20190409R) On. Data received from Georgios Provatas.  D097700100026 
           (20190409C) On                                         D097700100027 
ENDBIB              25          0                                 D097700100028 
NOCOMMON             0          0                                 D097700100029 
ENDSUBENT           28          0                                 D097700199999 
SUBENT        D0977002   20200414                             D127D097700200001 
BIB                  3          8                                 D097700200002 
REACTION   (4-BE-9(HE3,P)5-B-11,PAR,DA)                           D097700200003 
ERR-ANALYS (EN-ERR) Energy straggling in the target determined    D097700200004 
            with SRIM                                             D097700200005 
           (ERR-T) Total uncertainty originated from statistics   D097700200006 
            as well as                                            D097700200007 
           (ERR-1) solid angle determination (3%)                 D097700200008 
           (ERR-2) target thickness          (3%)                 D097700200009 
STATUS     (TABLE) On. Data received from Georgios Provatas.      D097700200010 
ENDBIB               8          0                                 D097700200011 
COMMON               2          3                                 D097700200012 
ERR-1      ERR-2                                                  D097700200013 
PER-CENT   PER-CENT                                               D097700200014 
 3.         3.                                                    D097700200015 
ENDCOMMON            3          0                                 D097700200016 
DATA                 6       4680                                 D097700200017 
Q-VAL      ANG        EN         EN-ERR     DATA       ERR-T      D097700200018 
 10321.90   109.00     1843.580   66.860     0.428      0.042     D097700200058 
 10321.90   109.00     1884.150   66.090     0.624      0.056     D097700200059 
 10321.90   109.00     1945.010   64.970     0.632      0.052     D097700200060 
 10321.90   109.00     2005.870   63.890     0.610      0.052     D097700200061 
 10321.90   109.00     2066.730   62.850     0.576      0.055     D097700200062 
 10321.90   109.00     2127.590   61.850     0.559      0.055     D097700200063 
 10321.90   109.00     2188.450   60.880     0.651      0.060     D097700200064 
 10321.90   109.00     2249.310   59.950     0.615      0.062     D097700200065 
 10321.90   109.00     2310.170   59.050     0.624      0.064     D097700200066 
 10321.90   109.00     2371.030   58.190     0.669      0.064     D097700200067 
 10321.90   109.00     2431.890   57.350     0.643      0.062     D097700200068 
 10321.90   109.00     2492.750   56.530     0.659      0.061     D097700200069 
 10321.90   109.00     2553.610   55.750     0.765      0.071     D097700200070 
 10321.90   109.00     2614.470   54.980     0.892      0.083     D097700200071 
 10321.90   109.00     2675.330   54.240     0.721      0.081     D097700200072 
 10321.90   109.00     2736.190   53.520     0.745      0.075     D097700200073 
 10321.90   109.00     2797.050   52.810     0.774      0.073     D097700200074 
 10321.90   109.00     2857.910   52.120     0.816      0.071     D097700200075 
 10321.90   110.00     1275.550   80.010     0.142      0.016     D097700200076 
 10321.90   110.00     1336.410   78.370     0.187      0.020     D097700200077 
 10321.90   110.00     1397.270   76.790     0.154      0.017     D097700200078 
 10321.90   110.00     1458.130   75.270     0.177      0.017     D097700200079 
 10321.90   110.00     1518.990   73.800     0.220      0.022     D097700200080 
 10321.90   110.00     1579.850   72.390     0.345      0.029     D097700200081 
 10321.90   110.00     1640.710   71.030     0.451      0.038     D097700200082 
 10321.90   110.00     1701.570   69.730     0.482      0.043     D097700200083 
 10321.90   110.00     1762.430   68.470     0.456      0.042     D097700200084 
 10321.90   110.00     1823.290   67.260     0.533      0.048     D097700200085 
 10321.90   110.00     1843.580   66.860     0.464      0.050     D097700200086 
 10321.90   110.00     1884.150   66.090     0.569      0.052     D097700200087 
 10321.90   110.00     1945.010   64.970     0.657      0.054     D097700200088 
 10321.90   110.00     2005.870   63.890     0.600      0.051     D097700200089 
 10321.90   110.00     2066.730   62.850     0.625      0.057     D097700200090 
 10321.90   110.00     2127.590   61.850     0.636      0.060     D097700200091 
 10321.90   110.00     2188.450   60.880     0.728      0.066     D097700200092 
 10321.90   110.00     2249.310   59.950     0.672      0.066     D097700200093 
 10321.90   110.00     2310.170   59.050     0.673      0.067     D097700200094 
 10321.90   110.00     2371.030   58.190     0.742      0.071     D097700200095 
 10321.90   110.00     2431.890   57.350     0.675      0.064     D097700200096 
 10321.90   110.00     2492.750   56.530     0.685      0.065     D097700200097 
 10321.90   110.00     2553.610   55.750     0.794      0.073     D097700200098 
 10321.90   110.00     2614.470   54.980     0.670      0.068     D097700200099 
 10321.90   110.00     2675.330   54.240     0.602      0.066     D097700200100 
 10321.90   110.00     2736.190   53.520     0.708      0.068     D097700200101 
 10321.90   110.00     2797.050   52.810     0.788      0.072     D097700200102 
 10321.90   110.00     2857.910   52.120     0.806      0.074     D097700200103 
 10321.90   112.00     1275.550   80.010     0.176      0.017     D097700200104 
 10321.90   112.00     1336.410   78.370     0.190      0.020     D097700200105 
 10321.90   112.00     1397.270   76.790     0.196      0.021     D097700200106 
 10321.90   112.00     1458.130   75.270     0.223      0.020     D097700200107 
 10321.90   112.00     1518.990   73.800     0.229      0.023     D097700200108 
 10321.90   112.00     1579.850   72.390     0.345      0.030     D097700200109 
 10321.90   112.00     1640.710   71.030     0.507      0.042     D097700200110 
 10321.90   112.00     1701.570   69.730     0.524      0.047     D097700200111 
 10321.90   112.00     1762.430   68.470     0.528      0.048     D097700200112 
 10321.90   112.00     1823.290   67.260     0.548      0.051     D097700200113 
 10321.90   112.00     1843.580   66.860     0.496      0.053     D097700200114 
 10321.90   112.00     1884.150   66.090     0.534      0.053     D097700200115 
 10321.90   112.00     1945.010   64.970     0.662      0.056     D097700200116 
 10321.90   112.00     2005.870   63.890     0.602      0.053     D097700200117 
 10321.90   112.00     2066.730   62.850     0.584      0.059     D097700200118 
 10321.90   112.00     2127.590   61.850     0.637      0.063     D097700200119 
 10321.90   112.00     2188.450   60.880     0.762      0.070     D097700200120 
 10321.90   112.00     2249.310   59.950     0.761      0.073     D097700200121 
 10321.90   112.00     2310.170   59.050     0.716      0.072     D097700200122 
 10321.90   112.00     2371.030   58.190     0.744      0.073     D097700200123 
 10321.90   112.00     2431.890   57.350     0.786      0.073     D097700200124 
 10321.90   112.00     2492.750   56.530     0.751      0.069     D097700200125 
 10321.90   112.00     2553.610   55.750     0.894      0.083     D097700200126 
 10321.90   112.00     2614.470   54.980     0.791      0.079     D097700200127 
 10321.90   112.00     2675.330   54.240     0.832      0.091     D097700200128 
 10321.90   112.00     2736.190   53.520     0.855      0.084     D097700200129 
 10321.90   112.00     2797.050   52.810     0.767      0.078     D097700200130 
 10321.90   112.00     2857.910   52.120     0.806      0.082     D097700200131 
 10321.90   114.00     1275.550   80.010     0.149      0.017     D097700200132 
 10321.90   114.00     1336.410   78.370     0.158      0.018     D097700200133 
 10321.90   114.00     1397.270   76.790     0.165      0.018     D097700200134 
 10321.90   114.00     1458.130   75.270     0.208      0.019     D097700200135 
 10321.90   114.00     1518.990   73.800     0.216      0.021     D097700200136 
 10321.90   114.00     1579.850   72.390     0.346      0.029     D097700200137 
 10321.90   114.00     1640.710   71.030     0.478      0.039     D097700200138 
 10321.90   114.00     1701.570   69.730     0.553      0.048     D097700200139 
 10321.90   114.00     1762.430   68.470     0.486      0.043     D097700200140 
 10321.90   114.00     1823.290   67.260     0.604      0.052     D097700200141 
 10321.90   114.00     1843.580   66.860     0.490      0.051     D097700200142 
 10321.90   114.00     1884.150   66.090     0.596      0.054     D097700200143 
 10321.90   114.00     1945.010   64.970     0.695      0.057     D097700200144 
 10321.90   114.00     2005.870   63.890     0.635      0.054     D097700200145 
 10321.90   114.00     2066.730   62.850     0.645      0.058     D097700200146 
 10321.90   114.00     2127.590   61.850     0.675      0.064     D097700200147 
 10321.90   114.00     2188.450   60.880     0.697      0.063     D097700200148 
 10321.90   114.00     2249.310   59.950     0.640      0.064     D097700200149 
 10321.90   114.00     2310.170   59.050     0.813      0.078     D097700200150 
 10321.90   114.00     2371.030   58.190     0.675      0.066     D097700200151 
 10321.90   114.00     2431.890   57.350     0.694      0.068     D097700200152 
 10321.90   114.00     2492.750   56.530     0.757      0.069     D097700200153 
 10321.90   114.00     2553.610   55.750     0.774      0.072     D097700200154 
 10321.90   114.00     2614.470   54.980     0.776      0.074     D097700200155 
 10321.90   114.00     2675.330   54.240     0.759      0.081     D097700200156 
 10321.90   114.00     2736.190   53.520     0.859      0.085     D097700200157 
 10321.90   114.00     2797.050   52.810     0.933      0.083     D097700200158 
 10321.90   114.00     2857.910   52.120     0.856      0.084     D097700200159 
 10321.90   116.00     1275.550   80.010     0.175      0.019     D097700200160 
 10321.90   116.00     1336.410   78.370     0.169      0.020     D097700200161 
 10321.90   116.00     1397.270   76.790     0.193      0.021     D097700200162 
 10321.90   116.00     1458.130   75.270     0.220      0.020     D097700200163 
 10321.90   116.00     1518.990   73.800     0.235      0.023     D097700200164 
 10321.90   116.00     1579.850   72.390     0.385      0.032     D097700200165 
 10321.90   116.00     1640.710   71.030     0.492      0.042     D097700200166 
 10321.90   116.00     1701.570   69.730     0.539      0.049     D097700200167 
 10321.90   116.00     1762.430   68.470     0.531      0.048     D097700200168 
 10321.90   116.00     1823.290   67.260     0.620      0.055     D097700200169 
 10321.90   116.00     1843.580   66.860     0.513      0.053     D097700200170 
 10321.90   116.00     1884.150   66.090     0.631      0.059     D097700200171 
 10321.90   116.00     1945.010   64.970     0.713      0.059     D097700200172 
 10321.90   116.00     2005.870   63.890     0.630      0.055     D097700200173 
 10321.90   116.00     2066.730   62.850     0.655      0.063     D097700200174 
 10321.90   116.00     2127.590   61.850     0.631      0.062     D097700200175 
 10321.90   116.00     2188.450   60.880     0.743      0.069     D097700200176 
 10321.90   116.00     2249.310   59.950     0.754      0.074     D097700200177 
 10321.90   116.00     2310.170   59.050     0.773      0.077     D097700200178 
 10321.90   116.00     2371.030   58.190     0.802      0.076     D097700200179 
 10321.90   116.00     2431.890   57.350     0.806      0.076     D097700200180 
 10321.90   116.00     2492.750   56.530     0.797      0.075     D097700200181 
 10321.90   116.00     2553.610   55.750     0.808      0.077     D097700200182 
 10321.90   116.00     2614.470   54.980     0.826      0.082     D097700200183 
 10321.90   116.00     2675.330   54.240     0.808      0.091     D097700200184 
 10321.90   116.00     2736.190   53.520     0.948      0.092     D097700200185 
 10321.90   116.00     2797.050   52.810     0.982      0.088     D097700200186 
 10321.90   116.00     2857.910   52.120     0.789      0.076     D097700200187 
 10321.90   118.00     1275.550   80.010     0.144      0.016     D097700200188 
 10321.90   118.00     1336.410   78.370     0.192      0.020     D097700200189 
 10321.90   118.00     1397.270   76.790     0.164      0.018     D097700200190 
 10321.90   118.00     1458.130   75.270     0.225      0.020     D097700200191 
 10321.90   118.00     1518.990   73.800     0.243      0.023     D097700200192 
 10321.90   118.00     1579.850   72.390     0.362      0.030     D097700200193 
 10321.90   118.00     1640.710   71.030     0.493      0.040     D097700200194 
 10321.90   118.00     1701.570   69.730     0.498      0.044     D097700200195 
 10321.90   118.00     1762.430   68.470     0.532      0.046     D097700200196 
 10321.90   118.00     1823.290   67.260     0.594      0.051     D097700200197 
 10321.90   118.00     1843.580   66.860     0.520      0.053     D097700200198 
 10321.90   118.00     1884.150   66.090     0.652      0.059     D097700200199 
 10321.90   118.00     1945.010   64.970     0.742      0.058     D097700200200 
 10321.90   118.00     2005.870   63.890     0.678      0.056     D097700200201 
 10321.90   118.00     2066.730   62.850     0.693      0.061     D097700200202 
 10321.90   118.00     2127.590   61.850     0.689      0.064     D097700200203 
 10321.90   118.00     2188.450   60.880     0.720      0.064     D097700200204 
 10321.90   118.00     2249.310   59.950     0.753      0.071     D097700200205 
 10321.90   118.00     2310.170   59.050     0.771      0.073     D097700200206 
 10321.90   118.00     2371.030   58.190     0.837      0.076     D097700200207 
 10321.90   118.00     2431.890   57.350     0.784      0.072     D097700200208 
 10321.90   118.00     2492.750   56.530     0.732      0.066     D097700200209 
 10321.90   118.00     2553.610   55.750     0.759      0.072     D097700200210 
 10321.90   118.00     2614.470   54.980     0.822      0.078     D097700200211 
 10321.90   118.00     2675.330   54.240     0.903      0.093     D097700200212 
 10321.90   118.00     2736.190   53.520     0.896      0.084     D097700200213 
 10321.90   118.00     2797.050   52.810     0.824      0.076     D097700200214 
 10321.90   118.00     2857.910   52.120     0.761      0.073     D097700200215 
 10321.90   120.00     1275.550   80.010     0.168      0.017     D097700200216 
 10321.90   120.00     1336.410   78.370     0.176      0.019     D097700200217 
 10321.90   120.00     1397.270   76.790     0.180      0.019     D097700200218 
 10321.90   120.00     1458.130   75.270     0.203      0.018     D097700200219 
 10321.90   120.00     1518.990   73.800     0.239      0.022     D097700200220 
 10321.90   120.00     1579.850   72.390     0.380      0.031     D097700200221 
 10321.90   120.00     1640.710   71.030     0.513      0.041     D097700200222 
 10321.90   120.00     1701.570   69.730     0.519      0.045     D097700200223 
 10321.90   120.00     1762.430   68.470     0.516      0.045     D097700200224 
 10321.90   120.00     1823.290   67.260     0.636      0.054     D097700200225 
 10321.90   120.00     1843.580   66.860     0.478      0.050     D097700200226 
 10321.90   120.00     1884.150   66.090     0.657      0.057     D097700200227 
 10321.90   120.00     1945.010   64.970     0.725      0.057     D097700200228 
 10321.90   120.00     2005.870   63.890     0.690      0.057     D097700200229 
 10321.90   120.00     2553.610   55.750     0.884      0.077     D097700200230 
 10321.90   120.00     2614.470   54.980     0.879      0.081     D097700200231 
 10321.90   120.00     2675.330   54.240     0.894      0.090     D097700200232 
 10321.90   120.00     2736.190   53.520     0.742      0.072     D097700200233 
 10321.90   120.00     2797.050   52.810     0.884      0.079     D097700200234 
 10321.90   120.00     2857.910   52.120     0.755      0.075     D097700200235 
 10321.90   121.00     1275.550   80.010     0.159      0.017     D097700200236 
 10321.90   121.00     1336.410   78.370     0.147      0.017     D097700200237 
 10321.90   121.00     1397.270   76.790     0.174      0.019     D097700200238 
 10321.90   121.00     1458.130   75.270     0.214      0.019     D097700200239 
 10321.90   121.00     1518.990   73.800     0.241      0.022     D097700200240 
 10321.90   121.00     1579.850   72.390     0.349      0.029     D097700200241 
 10321.90   121.00     1640.710   71.030     0.513      0.041     D097700200242 
 10321.90   121.00     1701.570   69.730     0.512      0.045     D097700200243 
 10321.90   121.00     1762.430   68.470     0.569      0.048     D097700200244 
 10321.90   121.00     1823.290   67.260     0.643      0.055     D097700200245 
 10321.90   121.00     1843.580   66.860     0.559      0.055     D097700200246 
 10321.90   121.00     1884.150   66.090     0.682      0.059     D097700200247 
 10321.90   121.00     1945.010   64.970     0.776      0.061     D097700200248 
 10321.90   121.00     2005.870   63.890     0.750      0.061     D097700200249 
 10321.90   121.00     2066.730   62.850     0.726      0.066     D097700200250 
 10321.90   121.00     2127.590   61.850     0.770      0.072     D097700200251 
 10321.90   121.00     2188.450   60.880     0.803      0.073     D097700200252 
 10321.90   121.00     2249.310   59.950     0.764      0.074     D097700200253 
 10321.90   121.00     2310.170   59.050     0.818      0.080     D097700200254 
 10321.90   121.00     2371.030   58.190     0.924      0.086     D097700200255 
 10321.90   121.00     2431.890   57.350     0.977      0.087     D097700200256 
 10321.90   121.00     2614.470   54.980     0.832      0.079     D097700200257 
 10321.90   121.00     2675.330   54.240     0.905      0.093     D097700200258 
 10321.90   121.00     2736.190   53.520     1.069      0.098     D097700200259 
 10321.90   121.00     2797.050   52.810     0.918      0.082     D097700200260 
 10321.90   121.00     2857.910   52.120     0.917      0.091     D097700200261 
 10321.90   123.00     1275.550   80.010     0.144      0.014     D097700200262 
 10321.90   123.00     1336.410   78.370     0.149      0.015     D097700200263 
 10321.90   123.00     1397.270   76.790     0.142      0.015     D097700200264 
 10321.90   123.00     1458.130   75.270     0.173      0.015     D097700200265 
 10321.90   123.00     1518.990   73.800     0.193      0.018     D097700200266 
 10321.90   123.00     1579.850   72.390     0.303      0.024     D097700200267 
 10321.90   123.00     1640.710   71.030     0.483      0.037     D097700200268 
 10321.90   123.00     1701.570   69.730     0.425      0.037     D097700200269 
 10321.90   123.00     1762.430   68.470     0.470      0.039     D097700200270 
 10321.90   123.00     1823.290   67.260     0.557      0.046     D097700200271 
 10321.90   123.00     1843.580   66.860     0.477      0.046     D097700200272 
 10321.90   123.00     1884.150   66.090     0.602      0.050     D097700200273 
 10321.90   123.00     1945.010   64.970     0.603      0.048     D097700200274 
 10321.90   123.00     2005.870   63.890     0.610      0.048     D097700200275 
 10321.90   123.00     2066.730   62.850     0.527      0.049     D097700200276 
 10321.90   123.00     2188.450   60.880     0.705      0.061     D097700200277 
 10321.90   123.00     2249.310   59.950     0.639      0.057     D097700200278 
 10321.90   123.00     2310.170   59.050     0.612      0.057     D097700200279 
 10321.90   123.00     2371.030   58.190     0.598      0.055     D097700200280 
 10321.90   123.00     2431.890   57.350     0.679      0.063     D097700200281 
 10321.90   123.00     2614.470   54.980     0.782      0.068     D097700200282 
 10321.90   123.00     2675.330   54.240     0.796      0.077     D097700200283 
 10321.90   123.00     2736.190   53.520     0.736      0.067     D097700200284 
 10321.90   123.00     2797.050   52.810     0.702      0.062     D097700200285 
 10321.90   123.00     2857.910   52.120     0.669      0.065     D097700200286 
 10321.90   125.00     1275.550   80.010     0.154      0.016     D097700200287 
 10321.90   125.00     1336.410   78.370     0.188      0.020     D097700200288 
 10321.90   125.00     1397.270   76.790     0.177      0.019     D097700200289 
 10321.90   125.00     1458.130   75.270     0.226      0.020     D097700200290 
 10321.90   125.00     1518.990   73.800     0.230      0.021     D097700200291 
 10321.90   125.00     1579.850   72.390     0.350      0.029     D097700200292 
 10321.90   125.00     1640.710   71.030     0.498      0.040     D097700200293 
 10321.90   125.00     1701.570   69.730     0.540      0.047     D097700200294 
 10321.90   125.00     1762.430   68.470     0.563      0.048     D097700200295 
 10321.90   125.00     1823.290   67.260     0.652      0.055     D097700200296 
 10321.90   125.00     1843.580   66.860     0.534      0.053     D097700200297 
 10321.90   125.00     1884.150   66.090     0.682      0.059     D097700200298 
 10321.90   125.00     1945.010   64.970     0.709      0.058     D097700200299 
 10321.90   125.00     2005.870   63.890     0.744      0.060     D097700200300 
 10321.90   125.00     2066.730   62.850     0.684      0.063     D097700200301 
 10321.90   125.00     2127.590   61.850     0.780      0.071     D097700200302 
 10321.90   125.00     2188.450   60.880     0.858      0.074     D097700200303 
 10321.90   125.00     2249.310   59.950     0.907      0.083     D097700200304 
 10321.90   125.00     2310.170   59.050     0.869      0.082     D097700200305 
 10321.90   125.00     2371.030   58.190     0.889      0.080     D097700200306 
 10321.90   125.00     2431.890   57.350     0.805      0.073     D097700200307 
 10321.90   125.00     2492.750   56.530     0.936      0.080     D097700200308 
 10321.90   125.00     2614.470   54.980     0.773      0.070     D097700200309 
 10321.90   125.00     2675.330   54.240     0.912      0.088     D097700200310 
 10321.90   125.00     2736.190   53.520     0.974      0.090     D097700200311 
 10321.90   125.00     2797.050   52.810     0.779      0.068     D097700200312 
 10321.90   125.00     2857.910   52.120     0.780      0.069     D097700200313 
 10321.90   126.00     1275.550   80.010     0.161      0.016     D097700200314 
 10321.90   126.00     1336.410   78.370     0.191      0.020     D097700200315 
 10321.90   126.00     1397.270   76.790     0.186      0.019     D097700200316 
 10321.90   126.00     1458.130   75.270     0.228      0.019     D097700200317 
 10321.90   126.00     1518.990   73.800     0.252      0.022     D097700200318 
 10321.90   126.00     1579.850   72.390     0.392      0.031     D097700200319 
 10321.90   126.00     1640.710   71.030     0.525      0.040     D097700200320 
 10321.90   126.00     1701.570   69.730     0.554      0.046     D097700200321 
 10321.90   126.00     1762.430   68.470     0.556      0.046     D097700200322 
 10321.90   126.00     1823.290   67.260     0.660      0.054     D097700200323 
 10321.90   126.00     1843.580   66.860     0.582      0.054     D097700200324 
 10321.90   126.00     1884.150   66.090     0.678      0.057     D097700200325 
 10321.90   126.00     1945.010   64.970     0.763      0.058     D097700200326 
 10321.90   126.00     2005.870   63.890     0.758      0.059     D097700200327 
 10321.90   126.00     2066.730   62.850     0.710      0.062     D097700200328 
 10321.90   126.00     2127.590   61.850     0.738      0.066     D097700200329 
 10321.90   126.00     2188.450   60.880     0.780      0.067     D097700200330 
 10321.90   126.00     2249.310   59.950     0.796      0.071     D097700200331 
 10321.90   126.00     2310.170   59.050     0.823      0.074     D097700200332 
 10321.90   126.00     2371.030   58.190     0.928      0.081     D097700200333 
 10321.90   126.00     2431.890   57.350     0.910      0.078     D097700200334 
 10321.90   126.00     2492.750   56.530     0.769      0.066     D097700200335 
 10321.90   126.00     2614.470   54.980     0.770      0.068     D097700200336 
 10321.90   126.00     2675.330   54.240     0.810      0.077     D097700200337 
 10321.90   126.00     2736.190   53.520     0.856      0.076     D097700200338 
 10321.90   126.00     2797.050   52.810     0.850      0.071     D097700200339 
 10321.90   126.00     2857.910   52.120     0.786      0.067     D097700200340 
 10321.90   128.00     1275.550   80.010     0.173      0.017     D097700200341 
 10321.90   128.00     1336.410   78.370     0.180      0.018     D097700200342 
 10321.90   128.00     1397.270   76.790     0.184      0.018     D097700200343 
 10321.90   128.00     1458.130   75.270     0.230      0.019     D097700200344 
 10321.90   128.00     1518.990   73.800     0.250      0.022     D097700200345 
 10321.90   128.00     1579.850   72.390     0.392      0.031     D097700200346 
 10321.90   128.00     1640.710   71.030     0.527      0.041     D097700200347 
 10321.90   128.00     1701.570   69.730     0.554      0.047     D097700200348 
 10321.90   128.00     1762.430   68.470     0.566      0.047     D097700200349 
 10321.90   128.00     1823.290   67.260     0.692      0.056     D097700200350 
