ENTRY            D6308   20180911                             D118D630800000001 
SUBENT        D6308001   20180911                             D118D630800100001 
BIB                 10         26                                 D630800100002 
TITLE      Fragment emission mechanism in the 32S+12C reaction    D630800100003 
AUTHOR     (Ratnesh Pandey, S.Kundu, C.Bhattacharya, K.Banerjee,  D630800100004 
           T.K.Rana, S.Manna, G.Mukherjee, J.K.Meena, A.Chaudhuri,D630800100005 
           T.Roy, Pratap Roy, Md.A.Asgar, V.Srivastava, A.Dey,    D630800100006 
           M.Sinha, T.K.Ghosh, S.Bhattacharya, S.K.Pandit,        D630800100007 
           K.Mahata, P.Patle, S.Pal, A.Shrivastava, V.Nanal)      D630800100008 
INSTITUTE  (3INDVEC,3INDTRM,3INDTAT)                              D630800100009 
           (3INDIND) Homi Bhabha National Institute.              D630800100010 
REFERENCE  (J,PR/C,95,064603,2017)                                D630800100011 
FACILITY   (VDGT,3INDTRM) BARC-TIFR Pelletron-Linac facility.     D630800100012 
SAMPLE     A self-supported 12C target of thickness ~390 ug/cm2.  D630800100013 
DETECTOR   (TELES,SI,SI) Single-sided ~50-um-thick Si(delta E)    D630800100014 
           strip detector (16 vertical strips of 3 mm width) and  D630800100015 
           a double-sided ~525-um-thick Si (E) strip detector     D630800100016 
            (16 strips, width 3 mm, both sides mutually orthogonalD630800100017 
           to each other).                                        D630800100018 
           (CSICR) The Silicon detectors were backed by four      D630800100019 
           CsI(Tl) detectors, each of thickness 6 cm. The solid   D630800100020 
           angle subtended by each detector were ~3 msr.          D630800100021 
ERR-ANALYS (ERR-SYS) The systematic errors in the data, arising   D630800100022 
           from the uncertainties in the measurements of target   D630800100023 
           thickness, solid angle and the calibration of current  D630800100024 
           digitizer, have been estimated to be ~15%              D630800100025 
STATUS     Data request sent to R.Pandey on 19 Feb. 2018 but      D630800100026 
           without success.                                       D630800100027 
HISTORY    (20180911C) VT                                         D630800100028 
ENDBIB              26          0                                 D630800100029 
COMMON               2          3                                 D630800100030 
ERR-SYS    ANG-RSL                                                D630800100031 
PER-CENT   ADEG                                                   D630800100032 
        15.        0.8                                            D630800100033 
ENDCOMMON            3          0                                 D630800100034 
ENDSUBENT           33          0                                 D630800199999 
SUBENT        D6308002   20180911                             D118D630800200001 
BIB                  2          2                                 D630800200002 
REACTION   (6-C-12(16-S-32,X)ELEM/MASS,,DA/DE)                    D630800200003 
STATUS     (UNOBT) Fig. 2(a) of Phys. Rev. C 95 (2017) 064603     D630800200004 
ENDBIB               2          0                                 D630800200005 
NOCOMMON             0          0                                 D630800200006 
NODATA               0          0                                 D630800200007 
ENDSUBENT            6          0                                 D630800299999 
SUBENT        D6308003   20180911                             D118D630800300001 
BIB                  3          4                                 D630800300002 
REACTION   (6-C-12(16-S-32,X)ELEM/MASS,,DA)                       D630800300003 
ERR-ANALYS (DATA-ERR) No information on the source of the         D630800300004 
           uncertainty                                            D630800300005 
STATUS     (CURVE) Fig. 2(b) of Phys. Rev. C 95 (2017) 064603     D630800300006 
ENDBIB               4          0                                 D630800300007 
COMMON               1          3                                 D630800300008 
EN                                                                D630800300009 
MEV                                                               D630800300010 
       220.                                                       D630800300011 
ENDCOMMON            3          0                                 D630800300012 
DATA                 5         83                                 D630800300013 
ELEMENT    MASS       ANG-CM     DATA-CM    DATA-ERR              D630800300014 
       200.         5.     56.959      0.052      0.008           D630800500046 
       200.         5.     59.871      0.058      0.008           D630800500047 
       200.         5.     63.555      0.062      0.010           D630800500048 
       200.         5.     66.235      0.060      0.009           D630800500049 
       200.         5.     69.293      0.062      0.009           D630800500050 
       200.         5.     70.463      0.064      0.009           D630800500051 
       200.         5.     73.112      0.066      0.010           D630800500052 
       200.         5.     75.609      0.060      0.009           D630800500053 
       200.         6.     46.048      0.447      0.070           D630800500054 
       200.         6.     48.180      0.443      0.063           D630800500055 
       200.         6.     51.162      0.429      0.066           D630800500056 
       200.         6.     53.039      0.429      0.066           D630800500057 
       200.         6.     54.996      0.405      0.060           D630800500058 
       200.         6.     57.301      0.418      0.063           D630800500059 
       200.         6.     60.200      0.411      0.063           D630800500060 
       200.         6.     62.673      0.407      0.066           D630800500061 
       200.         6.     65.572      0.406      0.063           D630800500062 
       200.         6.     68.214      0.395      0.060           D630800500063 
       200.         6.     69.666      0.405      0.063           D630800500064 
       200.         6.     71.882      0.395      0.063           D630800500065 
       200.         6.     75.036      0.387      0.060           D630800500066 
       200.         6.     76.143      0.377      0.056           D630800500067 
       200.         7.     50.000      0.080      0.011           D630800500068 
       200.         7.     52.998      0.084      0.012           D630800500069 
       200.         7.     55.324      0.076      0.011           D630800500070 
       200.         7.     56.735      0.068      0.009           D630800500071 
       200.         7.     58.802      0.064      0.009           D630800500072 
       200.         7.     60.934      0.064      0.010           D630800500073 
       200.         7.     65.035      0.071      0.010           D630800500074 
       200.         7.     68.619      0.073      0.010           D630800500075 
       200.         7.     70.831      0.067      0.010           D630800500076 
       200.         7.     73.829      0.065      0.010           D630800500077 
       200.         7.     75.404      0.068      0.010           D630800500078 
       200.         7.     77.049      0.059      0.009           D630800500079 
       200.         7.     81.282      0.061      0.009           D630800500080 
       200.         7.     81.377      0.054      0.009           D630800500081 
       200.         8.     53.401      0.139      0.023           D630800500082 
       200.         8.     55.956      0.132      0.020           D630800500083 
       200.         8.     57.654      0.114      0.017           D630800500084 
       200.         8.     60.641      0.118      0.018           D630800500085 
       200.         8.     62.685      0.110      0.019           D630800500086 
       200.         8.     65.411      0.103      0.017           D630800500087 
       200.         8.     68.480      0.099      0.017           D630800500088 
       200.         8.     71.380      0.100      0.015           D630800500089 
       200.         8.     71.963      0.070      0.011           D630800500090 
       200.         8.     77.174      0.087      0.015           D630800500091 
       200.         8.     77.681      0.077      0.013           D630800500092 
       200.         8.     79.469      0.070      0.011           D630800500093 
       200.         8.     83.123      0.069      0.011           D630800500094 
       200.         8.     83.123      0.069      0.011           D630800500095 
       220.         3.     43.676      0.220      0.033           D630800500096 
       220.         3.     45.453      0.240      0.036           D630800500097 
       220.         3.     49.336      0.214      0.031           D630800500098 
       220.         3.     50.879      0.218      0.032           D630800500099 
       220.         3.     52.938      0.215      0.034           D630800500100 
       220.         3.     54.374      0.209      0.032           D630800500101 
       220.         3.     57.382      0.202      0.030           D630800500102 
       220.         3.     60.582      0.198      0.030           D630800500103 
       220.         3.     62.714      0.193      0.030           D630800500104 
       220.         3.     67.766      0.178      0.028           D630800500105 
       220.         3.     69.894      0.181      0.028           D630800500106 
       220.         3.     73.988      0.176      0.025           D630800500107 
       220.         3.     75.185      0.178      0.028           D630800500108 
       220.         4.     47.178      0.067      0.010           D630800500109 
       220.         4.     50.282      0.079      0.012           D630800500110 
       220.         4.     54.021      0.063      0.009           D630800500111 
       220.         4.     55.926      0.066      0.010           D630800500112 
       220.         4.     57.901      0.063      0.009           D630800500113 
       220.         4.     60.018      0.065      0.009           D630800500114 
       220.         4.     62.487      0.067      0.010           D630800500115 
       220.         4.     66.155      0.059      0.009           D630800500116 
       220.         4.     68.131      0.069      0.010           D630800500117 
       220.         4.     70.760      0.068      0.010           D630800500118 
       220.         4.     72.857      0.067      0.010           D630800500119 
       220.         4.     74.923      0.065      0.010           D630800500120 
       220.         4.     79.648      0.065      0.009           D630800500121 
       220.         4.     80.256      0.066      0.010           D630800500122 
       220.         5.     47.813      0.119      0.017           D630800500123 
       220.         5.     49.929      0.120      0.019           D630800500124 
       220.         5.     53.245      0.109      0.016           D630800500125 
       220.         5.     55.714      0.103      0.016           D630800500126 
       220.         5.     57.901      0.101      0.015           D630800500127 
       220.         5.     59.735      0.120      0.019           D630800500128 
       220.         5.     62.134      0.108      0.016           D630800500129 
       220.         5.     64.885      0.101      0.015           D630800500130 
       220.         5.     68.413      0.110      0.017           D630800500131 
       220.         5.     70.176      0.105      0.016           D630800500132 
       220.         5.     72.081      0.103      0.015           D630800500133 
       220.         5.     75.084      0.106      0.015           D630800500134 
       220.         5.     79.065      0.107      0.017           D630800500135 
       220.         5.     80.899      0.108      0.016           D630800500136 
       220.         6.     46.259      0.647      0.094           D630800500137 
       220.         6.     48.878      0.650      0.094           D630800500138 
       220.         6.     51.993      0.607      0.092           D630800500139 
       220.         6.     54.111      0.588      0.089           D630800500140 
       220.         6.     56.510      0.586      0.086           D630800500141 
       220.         6.     58.909      0.586      0.089           D630800500142 
       220.         6.     62.082      0.595      0.089           D630800500143 
       220.         6.     64.273      0.565      0.086           D630800500144 
       220.         6.     67.517      0.577      0.089           D630800500145 
       220.         6.     69.775      0.571      0.083           D630800500146 
       220.         6.     71.681      0.558      0.083           D630800500147 
       220.         6.     74.194      0.570      0.083           D630800500148 
       220.         6.     77.326      0.545      0.083           D630800500149 
       220.         6.     79.443      0.545      0.083           D630800500150 
       220.         7.     49.928      0.147      0.022           D630800500151 
       220.         7.     52.641      0.141      0.021           D630800500152 
       220.         7.     56.479      0.139      0.021           D630800500153 
       220.         7.     58.865      0.129      0.020           D630800500154 
       220.         7.     60.971      0.129      0.020           D630800500155 
       220.         7.     64.153      0.135      0.021           D630800500156 
       220.         7.     67.475      0.133      0.020           D630800500157 
       220.         7.     70.657      0.125      0.019           D630800500158 
       220.         7.     72.903      0.119      0.020           D630800500159 
       220.         7.     75.289      0.116      0.017           D630800500160 
       220.         7.     77.863      0.116      0.017           D630800500161 
       220.         7.     80.484      0.112      0.016           D630800500162 
       220.         7.     82.963      0.104      0.015           D630800500163 
       220.         7.     85.256      0.101      0.015           D630800500164 
       220.         8.     52.601      0.226      0.035           D630800500165 
       220.         8.     55.315      0.193      0.030           D630800500166 
       220.         8.     59.761      0.205      0.030           D630800500167 
       220.         8.     63.317      0.199      0.030           D630800500168 
       220.         8.     65.142      0.194      0.030           D630800500169 
       220.         8.     66.592      0.152      0.023           D630800500170 
       220.         8.     71.318      0.170      0.028           D630800500171 
       220.         8.     74.266      0.164      0.027           D630800500172 
       220.         8.     76.419      0.147      0.025           D630800500173 
       220.         8.     78.711      0.138      0.020           D630800500174 
       220.         8.     80.302      0.132      0.018           D630800500175 
       220.         8.     83.487      0.126      0.020           D630800500176 
       220.         8.     85.262      0.106      0.016           D630800500177 
       220.         8.     87.933      0.102      0.015           D630800500178 
ENDDATA            169          0                                 D630800500179 
ENDSUBENT          178          0                                 D630800599999 
SUBENT        D6308007   20180911                             D118D630800700001 
BIB                  3          4                                 D630800700002 
REACTION   (6-C-12(16-S-32,X)ELEM,,SIG)                           D630800700003 
ERR-ANALYS (DATA-ERR) No information on the source of the         D630800700004 
           uncertainty                                            D630800700005 
STATUS     (CURVE) Fig. 7 of Phys. Rev. C 95 (2017) 064603        D630800700006 
ENDBIB               4          0                                 D630800700007 
NOCOMMON             0          0                                 D630800700008 
DATA                 4         12                                 D630800700009 
EN         ELEMENT    DATA       DATA-ERR                         D630800700010 
MEV        NO-DIM     MB         MB                               D630800700011 
       200.         3.  2.123E+00  3.576E-01                      D630800700012 
       200.         4.  6.685E-01  8.982E-02                      D630800700013 
       200.         5.  1.030E+00  1.748E-01                      D630800700014 
       200.         6.  6.890E+00  9.257E-01                      D630800700015 
       200.         7.  1.213E+00  1.817E-01                      D630800700016 
       200.         8.  1.792E+00  2.408E-01                      D630800700017 
       220.         3.  3.338E+00  5.866E-01                      D630800700018 
       220.         4.  1.094E+00  1.635E-01                      D630800700019 
       220.         5.  1.826E+00  2.578E-01                      D630800700020 
       220.         6.  1.000E+01  1.795E+00                      D630800700021 
       220.         7.  2.288E+00  3.766E-01                      D630800700022 
       220.         8.  2.943E+00  5.283E-01                      D630800700023 
ENDDATA             14          0                                 D630800700024 
ENDSUBENT           23          0                                 D630800799999 
ENDENTRY             6          0                                 D630899999999 
