EN         ANG        E          DATA       DATA-ERR              D085000200010 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D085000200011 
 30.0       117.6      16.5       0.61       0.09                 D085000200242 
 30.0       117.6      17.5       0.44       0.07                 D085000200243 
 30.0       117.6      18.5       0.25       0.05                 D085000200244 
 30.0       117.6      19.5       0.13       0.04                 D085000200245 
 30.0       117.6      20.5       0.04       0.02                 D085000200246 
 30.0       117.6      21.5       0.04       0.02                 D085000200247 
 30.0       117.6      22.5       0.02       0.02                 D085000200248 
 30.0       117.6      23.5       0.02       0.01                 D085000200249 
 30.0       123.2      11.5       0.08       0.10                 D085000200250 
 30.0       123.2      12.5       0.25       0.10                 D085000200251 
 30.0       123.2      13.5       0.51       0.11                 D085000200252 
 30.0       123.2      14.5       0.61       0.12                 D085000200253 
 30.0       123.2      15.5       0.70       0.12                 D085000200254 
 30.0       123.2      16.5       0.44       0.10                 D085000200255 
 30.0       123.2      17.5       0.21       0.07                 D085000200256 
 30.0       123.2      18.5       0.09       0.04                 D085000200257 
 30.0       123.2      19.5       0.02       0.02                 D085000200258 
 30.0       123.2      20.5       0.04       0.03                 D085000200259 
 30.0       123.2      21.5       0.01       0.02                 D085000200260 
 30.0       126.2      11.5       0.17       0.10                 D085000200261 
 30.0       126.2      12.5       0.56       0.12                 D085000200262 
 30.0       126.2      13.5       0.63       0.12                 D085000200263 
 30.0       126.2      14.5       0.51       0.11                 D085000200264 
 30.0       126.2      15.5       0.43       0.10                 D085000200265 
 30.0       126.2      16.5       0.21       0.07                 D085000200266 
 30.0       126.2      17.5       0.23       0.07                 D085000200267 
 30.0       126.2      18.5       0.11       0.05                 D085000200268 
 30.0       126.2      19.5       0.05       0.03                 D085000200269 
 30.0       126.2      20.5       0.01       0.02                 D085000200270 
 30.0       129.2      11.5       0.12       0.10                 D085000200271 
 30.0       129.2      12.5       0.42       0.11                 D085000200272 
 30.0       129.2      13.5       0.59       0.11                 D085000200273 
 30.0       129.2      14.5       0.57       0.11                 D085000200274 
 30.0       129.2      15.5       0.48       0.10                 D085000200275 
 30.0       129.2      16.5       0.39       0.09                 D085000200276 
 30.0       129.2      17.5       0.19       0.06                 D085000200277 
 30.0       129.2      18.5       0.12       0.05                 D085000200278 
 30.0       129.2      19.5       0.08       0.04                 D085000200279 
 30.0       129.2      20.5       0.01       0.02                 D085000200280 
 30.0       129.2      21.5       0.04       0.03                 D085000200281 
 30.0       135.4      11.5       0.12       0.12                 D085000200282 
 30.0       135.4      12.5       0.63       0.16                 D085000200283 
 30.0       135.4      13.5       0.92       0.18                 D085000200284 
 30.0       135.4      14.5       0.76       0.16                 D085000200285 
 30.0       135.4      15.5       0.46       0.13                 D085000200286 
 30.0       135.4      16.5       0.12       0.07                 D085000200287 
 30.0       135.4      17.5       0.11       0.06                 D085000200288 
 30.0       138.4      10.5       0.07       0.11                 D085000200289 
 30.0       138.4      11.5       0.34       0.14                 D085000200290 
 30.0       138.4      12.5       0.40       0.13                 D085000200291 
 30.0       138.4      13.5       0.60       0.15                 D085000200292 
 30.0       138.4      14.5       0.76       0.16                 D085000200293 
 30.0       138.4      15.5       0.39       0.12                 D085000200294 
 30.0       138.4      16.5       0.12       0.07                 D085000200295 
 30.0       138.4      17.5       0.11       0.06                 D085000200296 
 30.0       138.4      18.5       0.02       0.02                 D085000200297 
ENDDATA            288          0                                 D085000200298 
ENDSUBENT          297          0                                 D085000299999 
SUBENT        D0850003   20171211                             D113D085000300001 
BIB                  3          5                                 D085000300002 
REACTION   (62-SM-144(3-LI-7,X)2-HE-4,,DA)                        D085000300003 
ERR-ANALYS (DATA-ERR) Propagation of uncertainties in obtained    D085000300004 
            double differential cross sections and alpha-particle D085000300005 
            energy determination                                  D085000300006 
STATUS     (DEP,D0850002) Double differential cross section       D085000300007 
ENDBIB               5          0                                 D085000300008 
NOCOMMON             0          0                                 D085000300009 
DATA                 4         33                                 D085000300010 
EN         ANG        DATA       DATA-ERR                         D085000300011 
MEV        ADEG       MB/SR      MB/SR                            D085000300012 
 24.0       114.6      1.21       0.49                            D085000300013 
 24.0       117.6      1.00       0.23                            D085000300014 
 24.0       123.2      1.30       0.27                            D085000300015 
 24.0       126.2      0.94       0.18                            D085000300016 
 24.0       129.2      1.02       0.18                            D085000300017 
 24.0       135.4      0.91       0.25                            D085000300018 
 24.0       138.4      0.79       0.15                            D085000300019 
 30.0        63.2      3.45       1.29                            D085000300020 
