EN         ANG        E          DATA       DATA-ERR              D801100200009 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D801100200010 
 23.         60.       13.25      2.3632E+00  3.078E-01           D801100200115 
 23.         60.       13.75      2.4779E+00  3.206E-01           D801100200116 
 23.         60.       14.25      2.0420E+00  2.719E-01           D801100200117 
 23.         60.       14.75      1.9731E+00  2.642E-01           D801100200118 
 23.         60.       15.25      1.7322E+00  2.371E-01           D801100200119 
 23.         60.       15.75      1.2663E+00  1.877E-01           D801100200120 
 23.         60.       16.25      9.6362E-01  1.493E-01           D801100200121 
 23.         60.       16.75      8.3743E-01  1.345E-01           D801100200122 
 23.         60.       17.25      6.6536E-01  1.140E-01           D801100200123 
 23.         60.       17.75      5.9653E-01  1.056E-01           D801100200124 
 23.         60.       18.25      5.2770E-01  9.709E-02           D801100200125 
 23.         60.       18.75      5.0475E-01  9.421E-02           D801100200126 
 23.         60.       19.25      4.5887E-01  8.840E-02           D801100200127 
 23.         60.       19.75      3.2121E-01  7.024E-02           D801100200128 
 23.         60.       20.25      2.1796E-01  5.546E-02           D801100200129 
 23.         60.       20.75      2.4091E-01  5.888E-02           D801100200130 
 23.         60.       21.25      1.8355E-01  5.014E-02           D801100200131 
 23.         60.       21.75      2.0649E-01  5.371E-02           D801100200132 
 23.         60.       22.25      9.1783E-02  3.398E-02           D801100200133 
 23.         60.       22.75      1.1472E-01  3.841E-02           D801100200134 
 23.         60.       23.25      1.9520E-01  5.194E-02           D801100200135 
 23.         60.       23.75      1.8355E-01  5.014E-02           D801100200136 
 23.         75.        3.25      4.2625E+00  4.072E-01           D801100200137 
 23.         75.        3.75      7.1233E+00  8.124E-01           D801100200138 
 23.         75.        4.25      8.0854E+00  9.183E+00           D801100200139 
 23.         75.        4.75      9.2514E+00  1.847E+00           D801100200140 
 23.         75.        5.25      9.8312E+00  1.110E+00           D801100200141 
 23.         75.        5.75      9.8631E+00  1.114E+00           D801100200142 
 23.         75.        6.25      9.6783E+00  1.094E+00           D801100200143 
 23.         75.        6.75      9.0411E+00  1.024E+00           D801100200144 
 23.         75.        7.25      7.9707E+00  9.057E-01           D801100200145 
 23.         75.        7.75      7.5438E+00  8.587E-01           D801100200146 
 23.         75.        8.25      7.1639E+00  8.173E-01           D801100200147 
 23.         75.        8.75      6.2823E+00  7.197E-01           D801100200148 
 23.         75.        9.25      5.6196E+00  6.467E-01           D801100200149 
 23.         75.        9.75      4.7085E+00  5.464E-01           D801100200150 
 23.         75.       10.25      3.9567E+00  4.635E-01           D801100200151 
 23.         75.       10.75      3.6254E+00  4.269E-01           D801100200152 
 23.         75.       11.25      3.3259E+00  3.939E-01           D801100200153 
 23.         75.       11.75      2.9245E+00  3.495E-01           D801100200154 
 23.         75.       12.25      2.5295E+00  3.060E-01           D801100200155 
 23.         75.       12.75      1.9815E+00  2.453E-01           D801100200156 
 23.         75.       13.25      1.7860E+00  2.234E-01           D801100200157 
 23.         75.       13.75      1.4909E+00  1.908E-01           D801100200158 
 23.         75.       14.25      1.4400E+00  1.852E-01           D801100200159 
 23.         75.       14.75      1.1023E+00  1.474E-01           D801100200160 
 23.         75.       15.25      1.0449E+00  1.410E-01           D801100200161 
 23.         75.       15.75      9.0475E-01  1.252E-01           D801100200162 
 23.         75.       16.25      7.0723E-01  1.028E-01           D801100200163 
 23.         75.       16.75      7.0723E-01  1.028E-01           D801100200164 
 23.         75.       17.25      4.8423E-01  7.697E-02           D801100200165 
 23.         75.       17.75      4.7786E-01  7.623E-02           D801100200166 
 23.         75.       18.25      3.9503E-01  6.638E-02           D801100200167 
 23.         75.       18.75      3.3132E-01  5.866E-02           D801100200168 
 23.         75.       19.25      2.7397E-01  5.152E-02           D801100200169 
 23.         75.       19.75      2.2300E-01  4.498E-02           D801100200170 
 23.         75.       20.25      1.5292E-01  3.546E-02           D801100200171 
 23.         75.       20.75      2.2937E-01  4.581E-02           D801100200172 
 23.         75.       21.25      1.7203E-01  3.814E-02           D801100200173 
 23.         75.       21.75      1.1469E-01  2.983E-02           D801100200174 
 23.         75.       22.25      1.3380E-01  3.278E-02           D801100200175 
 23.         75.       22.75      1.2743E-01  3.176E-02           D801100200176 
 23.         75.       23.25      7.0086E-02  2.250E-02           D801100200177 
 23.         75.       23.75      7.0086E-02  2.250E-02           D801100200178 
 23.         90.        3.25      4.3428E+00  5.004E-01           D801100200179 
 23.         90.        3.75      6.8846E+00  7.804E-01           D801100200180 
 23.         90.        4.25      8.1529E+00  9.200E-01           D801100200181 
 23.         90.        4.75      9.1128E+00  1.026E+00           D801100200182 
 23.         90.        5.25      9.1219E+00  1.027E+00           D801100200183 
 23.         90.        5.75      8.7770E+00  9.887E-01           D801100200184 
 23.         90.        6.25      8.7617E+00  9.870E-01           D801100200185 
 23.         90.        6.75      8.2768E+00  9.340E-01           D801100200186 
 23.         90.        7.25      7.1991E+00  8.150E-01           D801100200187 
 23.         90.        7.75      6.4979E+00  7.373E-01           D801100200188 
 23.         90.        8.25      5.6061E+00  6.396E-01           D801100200189 
 23.         90.        8.75      5.0480E+00  5.781E-01           D801100200190 
 23.         90.        9.25      4.1399E+00  4.781E-01           D801100200191 
 23.         90.        9.75      3.9217E+00  4.541E-01           D801100200192 
 23.         90.       10.25      3.0947E+00  3.629E-01           D801100200193 
 23.         90.       10.75      2.7498E+00  3.248E-01           D801100200194 
 23.         90.       11.25      2.4555E+00  2.924E-01           D801100200195 
 23.         90.       11.75      2.0395E+00  2.464E-01           D801100200196 
 23.         90.       12.25      1.6590E+00  2.043E-01           D801100200197 
 23.         90.       12.75      1.4662E+00  1.830E-01           D801100200198 
 23.         90.       13.25      1.2531E+00  1.593E-01           D801100200199 
 23.         90.       13.75      1.1009E+00  1.424E-01           D801100200200 
 23.         90.       14.25      8.9799E-01  1.197E-01           D801100200201 
 23.         90.       14.75      7.0013E-01  9.741E-02           D801100200202 
 23.         90.       15.25      6.4432E-01  9.109E-02           D801100200203 
 23.         90.       15.75      5.5807E-01  8.126E-02           D801100200204 
 23.         90.       16.25      4.3631E-01  6.722E-02           D801100200205 
 23.         90.       16.75      4.8197E-01  7.252E-02           D801100200206 
 23.         90.       17.25      2.8411E-01  4.918E-02           D801100200207 
