ENTRY            D0797   20220322                             D136D079700000001 
SUBENT        D0797001   20220322                             D136D079700100001 
BIB                 12         30                                 D079700100002 
TITLE      Measurements of the 24Mg(d,p0,1,2,3,4) and             D079700100003 
           natMg(d,d0) reactions cross sections in the energy     D079700100004 
           range of 1.2-2 MeV for NRA and EBS applications        D079700100005 
AUTHOR     (H.Rafi-Kheiri, O.Kakuee, M.Lamehi-Rachti)             D079700100006 
INSTITUTE  (3IRNNRT)                                              D079700100007 
REFERENCE  (J,NIM/B,373,63,2016)                                  D079700100008 
           #doi:10.1016/j.nimb.2016.03.001                        D079700100009 
FACILITY   (VDG,3IRNNRT)                                          D079700100010 
SAMPLE     A thin Mg target (76.7 +/-3.1 ug/cm2) prepared by Mg   D079700100011 
            evaporation on silver backing.                        D079700100012 
INC-SPECT  The energy calibration of the accelerator was          D079700100013 
           performed using the 7Li(p,n) threshold reaction at     D079700100014 
           1880.4 keV. Maximum beam current 50-60 nA.             D079700100015 
DETECTOR   (SIBAR) Four 300 um-thick surface barrier detectors    D079700100016 
           located at 90, 135, 150 and 165 degree relative to the D079700100017 
           incident beam.                                         D079700100018 
REL-REF    (I,,O.Kakuee+,J,NIM/B,371,156,2016) IBA exp. chamber   D079700100019 
MONITOR    (47-AG-0(D,EL)47-AG-0,,DA,,RTH)                        D079700100020 
ERR-ANALYS (ERR-T) The total uncertainty was determined from the  D079700100021 
           following partial uncertainties                        D079700100022 
           Statistical uncertainty of 10% was the dominant unc.   D079700100023 
           for cross sections less than 0.1 mb/sr.                D079700100024 
           (ERR-1) Target Ag to Mg areal density ratio  3%        D079700100025 
           (ERR-2,,1.4) The solid angle ratios between            D079700100026 
           measurement and monitor detectors     <1.4%            D079700100027 
HISTORY    (20160329R) Numerical data received from Dr. O.Kakuee. D079700100028 
           (20160330C) VS.                                        D079700100029 
           (20220322A) VT. Subent 003-006 merged in 002           D079700100030 
           (20220322A) VT. Revision in 002 ERR-ANALYS:            D079700100031 
           ERR-SYS deleted in 001.                                D079700100032 
ENDBIB              30          0                                 D079700100033 
COMMON               4          3                                 D079700100034 
EN-RSL     ANG-NRM    EN-ERR     ERR-1                            D079700100035 
KEV        ADEG       KEV        PER-CENT                         D079700100036 
         1.       165.         7.  3.                             D079700100037 
ENDCOMMON            3          0                                 D079700100038 
ENDSUBENT           37          0                                 D079700199999 
SUBENT        D0797002   20220322                             D136D079700200001 
BIB                  4          5                                 D079700200002 
REACTION   (12-MG-24(D,P)12-MG-25,PAR,DA)                         D079700200003 
SAMPLE     (12-MG-24,NAT=0.7899)                                  D079700200004 
STATUS     (TABLE) Fig.3 of Nucl.Inst.Meth.B373(2016)63           D079700200005 
HISTORY    (20220318A) VT.  E-LVL:MEV->KEV, 16 duplicate data     D079700200006 
           lines removed                                          D079700200007 
ENDBIB               5          0                                 D079700200008 
NOCOMMON             0          0                                 D079700200009 
DATA                 5        752                                 D079700200010 
E-LVL      ANG        EN         DATA       ERR-T                 D079700200011 
         0.       135.      1742.      0.730      0.030           D079700200069 
         0.       135.      1716.      0.610      0.030           D079700200070 
         0.       135.      1691.      0.520      0.020           D079700200071 
         0.       135.      1666.      0.390      0.020           D079700200072 
         0.       135.      1641.      0.260      0.010           D079700200073 
         0.       135.      1615.      0.200      0.010           D079700200074 
         0.       135.      1590.      0.220      0.010           D079700200075 
         0.       135.      1565.      0.190      0.010           D079700200076 
         0.       135.      1540.      0.190      0.010           D079700200077 
         0.       135.      1515.      0.250      0.010           D079700200078 
         0.       135.      1489.      0.250      0.010           D079700200079 
         0.       135.      1463.      0.190      0.010           D079700200080 
         0.       135.      1438.      0.160      0.010           D079700200081 
         0.       135.      1412.      0.150      0.010           D079700200082 
         0.       135.      1387.      0.180      0.010           D079700200083 
         0.       135.      1361.      0.220      0.010           D079700200084 
         0.       135.      1336.      0.220      0.010           D079700200085 
         0.       135.      1310.      0.160      0.010           D079700200086 
         0.       135.      1285.      0.150      0.010           D079700200087 
         0.       135.      1260.      0.180      0.010           D079700200088 
         0.       150.      2000.      1.120      0.040           D079700200089 
         0.       150.      1994.      1.240      0.040           D079700200090 
         0.       150.      1969.      1.140      0.040           D079700200091 
         0.       150.      1944.      1.020      0.040           D079700200092 
         0.       150.      1919.      1.320      0.050           D079700200093 
         0.       150.      1893.      1.220      0.050           D079700200094 
         0.       150.      1888.      1.130      0.040           D079700200095 
         0.       150.      1883.      1.040      0.040           D079700200096 
         0.       150.      1878.      0.990      0.040           D079700200097 
         0.       150.      1868.      0.930      0.040           D079700200098 
         0.       150.      1858.      0.840      0.040           D079700200099 
         0.       150.      1843.      0.720      0.040           D079700200100 
         0.       150.      1818.      0.690      0.040           D079700200101 
         0.       150.      1798.      0.660      0.030           D079700200102 
         0.       150.      1793.      0.670      0.040           D079700200103 
         0.       150.      1782.      0.660      0.030           D079700200104 
         0.       150.      1777.      0.640      0.030           D079700200105 
         0.       150.      1767.      0.610      0.030           D079700200106 
         0.       150.      1742.      0.610      0.030           D079700200107 
         0.       150.      1716.      0.560      0.030           D079700200108 
         0.       150.      1691.      0.430      0.020           D079700200109 
         0.       150.      1666.      0.290      0.020           D079700200110 
         0.       150.      1641.      0.190      0.010           D079700200111 
         0.       150.      1615.      0.150      0.010           D079700200112 
         0.       150.      1590.      0.160      0.010           D079700200113 
         0.       150.      1565.      0.140      0.010           D079700200114 
         0.       150.      1540.      0.140      0.010           D079700200115 
         0.       150.      1515.      0.200      0.010           D079700200116 
         0.       150.      1489.      0.240      0.010           D079700200117 
         0.       150.      1463.      0.180      0.010           D079700200118 
         0.       150.      1438.      0.140      0.010           D079700200119 
         0.       150.      1412.      0.140      0.010           D079700200120 
         0.       150.      1387.      0.150      0.010           D079700200121 
         0.       150.      1361.      0.170      0.010           D079700200122 
         0.       150.      1336.      0.170      0.010           D079700200123 
         0.       150.      1310.      0.140      0.010           D079700200124 
         0.       150.      1285.      0.160      0.010           D079700200125 
         0.       150.      1260.      0.140      0.010           D079700200126 
         0.       165.      2000.      1.020      0.040           D079700200127 
         0.       165.      1994.      1.260      0.040           D079700200128 
         0.       165.      1969.      1.180      0.050           D079700200129 
         0.       165.      1944.      0.900      0.050           D079700200130 
         0.       165.      1919.      1.450      0.060           D079700200131 
         0.       165.      1893.      1.200      0.050           D079700200132 
         0.       165.      1888.      1.110      0.050           D079700200133 
         0.       165.      1883.      0.990      0.050           D079700200134 
         0.       165.      1878.      0.910      0.050           D079700200135 
         0.       165.      1868.      0.870      0.050           D079700200136 
         0.       165.      1858.      0.700      0.040           D079700200137 
         0.       165.      1843.      0.540      0.030           D079700200138 
         0.       165.      1818.      0.430      0.030           D079700200139 
         0.       165.      1798.      0.420      0.030           D079700200140 
         0.       165.      1793.      0.440      0.030           D079700200141 
         0.       165.      1782.      0.520      0.030           D079700200142 
         0.       165.      1777.      0.420      0.030           D079700200143 
         0.       165.      1767.      0.450      0.030           D079700200144 
         0.       165.      1742.      0.500      0.030           D079700200145 
         0.       165.      1716.      0.520      0.030           D079700200146 
         0.       165.      1691.      0.350      0.030           D079700200147 
         0.       165.      1666.      0.200      0.020           D079700200148 
         0.       165.      1641.      0.130      0.010           D079700200149 
         0.       165.      1615.      0.110      0.010           D079700200150 
         0.       165.      1590.      0.110      0.010           D079700200151 
         0.       165.      1565.      0.090      0.010           D079700200152 
         0.       165.      1540.      0.100      0.010           D079700200153 
         0.       165.      1515.      0.150      0.010           D079700200154 
         0.       165.      1489.      0.200      0.020           D079700200155 
         0.       165.      1463.      0.170      0.010           D079700200156 
         0.       165.      1438.      0.120      0.010           D079700200157 
         0.       165.      1412.      0.130      0.010           D079700200158 
         0.       165.      1387.      0.120      0.010           D079700200159 
         0.       165.      1361.      0.120      0.010           D079700200160 
         0.       165.      1336.      0.110      0.010           D079700200161 
         0.       165.      1310.      0.100      0.010           D079700200162 
         0.       165.      1285.      0.170      0.020           D079700200163 
         0.       165.      1260.      0.130      0.020           D079700200164 
     588.05        90.      2000.      0.990      0.030           D079700200165 
     588.05        90.      1994.      0.890      0.030           D079700200166 
     588.05        90.      1969.      0.820      0.030           D079700200167 
     588.05        90.      1944.      1.130      0.040           D079700200168 
     588.05        90.      1919.      1.540      0.050           D079700200169 
     588.05        90.      1893.      1.840      0.060           D079700200170 
     588.05        90.      1888.      1.770      0.060           D079700200171 
     588.05        90.      1883.      1.660      0.060           D079700200172 
     588.05        90.      1878.      1.630      0.060           D079700200173 
     588.05        90.      1868.      1.530      0.050           D079700200174 
     588.05        90.      1858.      1.540      0.050           D079700200175 
     588.05        90.      1843.      1.510      0.050           D079700200176 
     588.05        90.      1818.      1.790      0.060           D079700200177 
     588.05        90.      1798.      1.910      0.070           D079700200178 
     588.05        90.      1793.      1.960      0.070           D079700200179 
     588.05        90.      1782.      2.230      0.080           D079700200180 
     588.05        90.      1777.      2.070      0.070           D079700200181 
     588.05        90.      1767.      2.070      0.070           D079700200182 
     588.05        90.      1742.      1.920      0.070           D079700200183 
     588.05        90.      1716.      1.660      0.060           D079700200184 
     588.05        90.      1691.      1.580      0.060           D079700200185 
     588.05        90.      1666.      1.430      0.050           D079700200186 
     588.05        90.      1641.      1.400      0.050           D079700200187 
     588.05        90.      1615.      1.280      0.040           D079700200188 
     588.05        90.      1590.      1.100      0.040           D079700200189 
     588.05        90.      1565.      0.870      0.030           D079700200190 
     588.05        90.      1540.      0.640      0.020           D079700200191 
     588.05        90.      1515.      0.530      0.020           D079700200192 
     588.05        90.      1489.      0.550      0.020           D079700200193 
     588.05        90.      1463.      0.570      0.020           D079700200194 
     588.05        90.      1438.      0.530      0.020           D079700200195 
     588.05        90.      1412.      0.470      0.020           D079700200196 
     588.05        90.      1387.      0.500      0.020           D079700200197 
     588.05        90.      1361.      0.480      0.020           D079700200198 
     588.05        90.      1336.      0.420      0.020           D079700200199 
     588.05        90.      1310.      0.280      0.010           D079700200200 
     588.05        90.      1285.      0.230      0.010           D079700200201 
     588.05        90.      1260.      0.200      0.010           D079700200202 
     588.05       135.      2000.      0.400      0.020           D079700200203 
     588.05       135.      1994.      0.410      0.020           D079700200204 
     588.05       135.      1969.      0.460      0.020           D079700200205 
     588.05       135.      1944.      0.860      0.030           D079700200206 
     588.05       135.      1919.      1.500      0.060           D079700200207 
     588.05       135.      1893.      1.950      0.070           D079700200208 
     588.05       135.      1888.      1.750      0.060           D079700200209 
     588.05       135.      1883.      1.700      0.060           D079700200210 
     588.05       135.      1878.      1.620      0.060           D079700200211 
     588.05       135.      1868.      1.530      0.060           D079700200212 
     588.05       135.      1858.      1.710      0.060           D079700200213 
     588.05       135.      1843.      1.840      0.070           D079700200214 
     588.05       135.      1818.      2.720      0.100           D079700200215 
     588.05       135.      1798.      2.820      0.100           D079700200216 
     588.05       135.      1793.      2.960      0.100           D079700200217 
     588.05       135.      1782.      3.120      0.110           D079700200218 
     588.05       135.      1777.      2.820      0.100           D079700200219 
     588.05       135.      1767.      2.670      0.090           D079700200220 
     588.05       135.      1742.      2.250      0.080           D079700200221 
     588.05       135.      1716.      1.680      0.060           D079700200222 
     588.05       135.      1691.      1.420      0.050           D079700200223 
     588.05       135.      1666.      0.990      0.040           D079700200224 
     588.05       135.      1641.      0.840      0.030           D079700200225 
     588.05       135.      1615.      1.110      0.040           D079700200226 
     588.05       135.      1590.      1.180      0.040           D079700200227 
     588.05       135.      1565.      0.960      0.040           D079700200228 
     588.05       135.      1540.      0.730      0.030           D079700200229 
     588.05       135.      1515.      0.580      0.020           D079700200230 
     588.05       135.      1489.      0.490      0.020           D079700200231 
     588.05       135.      1463.      0.490      0.020           D079700200232 
     588.05       135.      1438.      0.530      0.020           D079700200233 
     588.05       135.      1412.      0.510      0.020           D079700200234 
     588.05       135.      1387.      0.380      0.020           D079700200235 
     588.05       135.      1361.      0.330      0.020           D079700200236 
     588.05       135.      1336.      0.220      0.010           D079700200237 
     588.05       135.      1310.      0.210      0.010           D079700200238 
     588.05       135.      1285.      0.230      0.010           D079700200239 
     588.05       135.      1260.      0.290      0.020           D079700200240 
     588.05       150.      2000.      0.370      0.020           D079700200241 
     588.05       150.      1994.      0.450      0.020           D079700200242 
     588.05       150.      1969.      0.510      0.020           D079700200243 
     588.05       150.      1944.      0.880      0.030           D079700200244 
     588.05       150.      1919.      1.440      0.060           D079700200245 
     588.05       150.      1893.      1.970      0.070           D079700200246 
     588.05       150.      1888.      1.720      0.060           D079700200247 
     588.05       150.      1883.      1.650      0.060           D079700200248 
     588.05       150.      1878.      1.540      0.060           D079700200249 
     588.05       150.      1868.      1.350      0.060           D079700200250 
     588.05       150.      1858.      1.530      0.060           D079700200251 
     588.05       150.      1843.      1.770      0.070           D079700200252 
     588.05       150.      1818.      2.690      0.100           D079700200253 
     588.05       150.      1798.      2.980      0.100           D079700200254 
     588.05       150.      1793.      3.180      0.100           D079700200255 
     588.05       150.      1782.      3.320      0.110           D079700200256 
     588.05       150.      1777.      2.960      0.100           D079700200257 
     588.05       150.      1767.      2.660      0.090           D079700200258 
     588.05       150.      1742.      2.160      0.080           D079700200259 
     588.05       150.      1716.      1.580      0.060           D079700200260 
     588.05       150.      1691.      1.190      0.050           D079700200261 
     588.05       150.      1666.      0.770      0.040           D079700200262 
     588.05       150.      1641.      0.730      0.030           D079700200263 
     588.05       150.      1615.      0.950      0.040           D079700200264 
     588.05       150.      1590.      1.110      0.040           D079700200265 
     588.05       150.      1565.      0.990      0.040           D079700200266 
     588.05       150.      1540.      0.720      0.030           D079700200267 
     588.05       150.      1515.      0.520      0.020           D079700200268 
     588.05       150.      1489.      0.390      0.020           D079700200269 
     588.05       150.      1463.      0.380      0.020           D079700200270 
     588.05       150.      1438.      0.460      0.020           D079700200271 
     588.05       150.      1412.      0.490      0.020           D079700200272 
     588.05       150.      1387.      0.340      0.020           D079700200273 
     588.05       150.      1361.      0.270      0.020           D079700200274 
     588.05       150.      1336.      0.190      0.010           D079700200275 
     588.05       150.      1310.      0.210      0.010           D079700200276 
     588.05       150.      1285.      0.280      0.010           D079700200277 
     588.05       150.      1260.      0.360      0.020           D079700200278 
     588.05       165.      2000.      0.330      0.030           D079700200279 
     588.05       165.      1994.      0.480      0.030           D079700200280 
     588.05       165.      1969.      0.500      0.030           D079700200281 
     588.05       165.      1944.      0.890      0.050           D079700200282 
     588.05       165.      1919.      1.390      0.060           D079700200283 
     588.05       165.      1893.      1.950      0.080           D079700200284 
     588.05       165.      1888.      1.680      0.070           D079700200285 
     588.05       165.      1883.      1.600      0.070           D079700200286 
     588.05       165.      1878.      1.460      0.060           D079700200287 
     588.05       165.      1868.      1.150      0.060           D079700200288 
     588.05       165.      1858.      1.350      0.070           D079700200289 
     588.05       165.      1843.      1.600      0.070           D079700200290 
     588.05       165.      1818.      2.580      0.110           D079700200291 
     588.05       165.      1798.      2.960      0.120           D079700200292 
     588.05       165.      1793.      3.200      0.120           D079700200293 
     588.05       165.      1782.      3.450      0.130           D079700200294 
     588.05       165.      1777.      3.100      0.120           D079700200295 
     588.05       165.      1767.      2.640      0.110           D079700200296 
     588.05       165.      1742.      2.080      0.090           D079700200297 
     588.05       165.      1716.      1.480      0.070           D079700200298 
     588.05       165.      1691.      0.960      0.050           D079700200299 
     588.05       165.      1666.      0.560      0.030           D079700200300 
     588.05       165.      1641.      0.620      0.030           D079700200301 
     588.05       165.      1615.      0.790      0.040           D079700200302 
     588.05       165.      1590.      1.040      0.050           D079700200303 
     588.05       165.      1565.      1.020      0.050           D079700200304 
     588.05       165.      1540.      0.720      0.040           D079700200305 
     588.05       165.      1515.      0.460      0.030           D079700200306 
     588.05       165.      1489.      0.290      0.020           D079700200307 
     588.05       165.      1463.      0.300      0.020           D079700200308 
     588.05       165.      1438.      0.390      0.020           D079700200309 
     588.05       165.      1412.      0.440      0.030           D079700200310 
     588.05       165.      1387.      0.300      0.020           D079700200311 
     588.05       165.      1361.      0.200      0.020           D079700200312 
     588.05       165.      1336.      0.160      0.010           D079700200313 
     588.05       165.      1310.      0.220      0.020           D079700200314 
     588.05       165.      1285.      0.330      0.020           D079700200315 
     588.05       165.      1260.      0.380      0.030           D079700200316 
     974.76        90.      2000.      1.200      0.040           D079700200317 
     974.76        90.      1994.      1.180      0.040           D079700200318 
     974.76        90.      1969.      1.050      0.040           D079700200319 
     974.76        90.      1944.      0.890      0.030           D079700200320 
     974.76        90.      1919.      0.790      0.030           D079700200321 
     974.76        90.      1893.      0.970      0.040           D079700200322 
     974.76        90.      1888.      1.010      0.040           D079700200323 
     974.76        90.      1883.      1.040      0.040           D079700200324 
     974.76        90.      1878.      1.180      0.040           D079700200325 
     974.76        90.      1868.      1.480      0.050           D079700200326 
     974.76        90.      1858.      1.820      0.070           D079700200327 
     974.76        90.      1843.      1.870      0.070           D079700200328 
     974.76        90.      1818.      1.640      0.060           D079700200329 
     974.76        90.      1798.      1.230      0.050           D079700200330 
     974.76        90.      1793.      1.190      0.040           D079700200331 
     974.76        90.      1782.      1.120      0.040           D079700200332 
     974.76        90.      1777.      1.150      0.040           D079700200333 
     974.76        90.      1767.      0.970      0.040           D079700200334 
     974.76        90.      1742.      0.860      0.030           D079700200335 
     974.76        90.      1716.      0.630      0.030           D079700200336 
     974.76        90.      1691.      0.930      0.040           D079700200337 
     974.76        90.      1666.      1.340      0.050           D079700200338 
     974.76        90.      1641.      1.310      0.050           D079700200339 
     974.76        90.      1615.      1.140      0.040           D079700200340 
     974.76        90.      1590.      1.000      0.040           D079700200341 
     974.76        90.      1565.      0.800      0.030           D079700200342 
     974.76        90.      1540.      0.710      0.030           D079700200343 
     974.76        90.      1515.      0.650      0.020           D079700200344 
     974.76        90.      1489.      0.620      0.020           D079700200345 
     974.76        90.      1463.      0.510      0.020           D079700200346 
     974.76        90.      1438.      0.460      0.020           D079700200347 
     974.76        90.      1412.      0.440      0.020           D079700200348 
     974.76        90.      1387.      0.390      0.020           D079700200349 
     974.76        90.      1361.      0.280      0.010           D079700200350 
     974.76        90.      1336.      0.230      0.010           D079700200351 
     974.76        90.      1310.      0.290      0.010           D079700200352 
     974.76        90.      1285.      0.320      0.010           D079700200353 
     974.76        90.      1260.      0.300      0.020           D079700200354 
     974.76       135.      2000.      1.020      0.040           D079700200355 
     974.76       135.      1994.      1.100      0.040           D079700200356 
     974.76       135.      1969.      1.270      0.040           D079700200357 
     974.76       135.      1944.      1.220      0.050           D079700200358 
     974.76       135.      1919.      1.430      0.050           D079700200359 
     974.76       135.      1893.      1.530      0.060           D079700200360 
     974.76       135.      1888.      1.420      0.050           D079700200361 
     974.76       135.      1883.      1.500      0.060           D079700200362 
     974.76       135.      1878.      1.420      0.050           D079700200363 
     974.76       135.      1868.      1.870      0.060           D079700200364 
     974.76       135.      1858.      1.950      0.070           D079700200365 
     974.76       135.      1843.      1.860      0.070           D079700200366 
     974.76       135.      1818.      1.700      0.070           D079700200367 
     974.76       135.      1798.      1.720      0.060           D079700200368 
     974.76       135.      1793.      1.770      0.070           D079700200369 
     974.76       135.      1782.      1.880      0.070           D079700200370 
     974.76       135.      1777.      1.730      0.060           D079700200371 
     974.76       135.      1767.      1.580      0.060           D079700200372 
     974.76       135.      1742.      1.520      0.060           D079700200373 
     974.76       135.      1716.      1.310      0.050           D079700200374 
     974.76       135.      1691.      1.520      0.050           D079700200375 
     974.76       135.      1666.      1.210      0.050           D079700200376 
     974.76       135.      1641.      0.980      0.040           D079700200377 
     974.76       135.      1615.      0.890      0.030           D079700200378 
     974.76       135.      1590.      0.670      0.030           D079700200379 
     974.76       135.      1565.      0.550      0.020           D079700200380 
     974.76       135.      1540.      0.480      0.020           D079700200381 
     974.76       135.      1515.      0.600      0.020           D079700200382 
     974.76       135.      1489.      0.660      0.020           D079700200383 
     974.76       135.      1463.      0.510      0.020           D079700200384 
     974.76       135.      1438.      0.470      0.020           D079700200385 
     974.76       135.      1412.      0.460      0.020           D079700200386 
     974.76       135.      1387.      0.440      0.020           D079700200387 
     974.76       135.      1361.      0.370      0.020           D079700200388 
     974.76       135.      1336.      0.360      0.020           D079700200389 
     974.76       135.      1310.      0.350      0.020           D079700200390 
     974.76       135.      1285.      0.350      0.020           D079700200391 
     974.76       135.      1260.      0.430      0.020           D079700200392 
     974.76       150.      2000.      0.890      0.040           D079700200393 
     974.76       150.      1994.      1.030      0.040           D079700200394 
     974.76       150.      1969.      1.190      0.040           D079700200395 
     974.76       150.      1944.      1.300      0.050           D079700200396 
     974.76       150.      1919.      1.410      0.050           D079700200397 
     974.76       150.      1893.      1.520      0.060           D079700200398 
     974.76       150.      1888.      1.500      0.050           D079700200399 
     974.76       150.      1883.      1.560      0.060           D079700200400 
     974.76       150.      1878.      1.590      0.050           D079700200401 
     974.76       150.      1868.      1.830      0.060           D079700200402 
     974.76       150.      1858.      2.020      0.070           D079700200403 
     974.76       150.      1843.      1.750      0.070           D079700200404 
     974.76       150.      1818.      1.620      0.070           D079700200405 
     974.76       150.      1798.      1.710      0.060           D079700200406 
     974.76       150.      1793.      1.850      0.070           D079700200407 
     974.76       150.      1782.      1.990      0.070           D079700200408 
     974.76       150.      1777.      1.810      0.060           D079700200409 
     974.76       150.      1767.      1.640      0.060           D079700200410 
     974.76       150.      1742.      1.520      0.060           D079700200411 
     974.76       150.      1716.      1.460      0.050           D079700200412 
     974.76       150.      1691.      1.670      0.050           D079700200413 
     974.76       150.      1666.      1.380      0.050           D079700200414 
     974.76       150.      1641.      0.920      0.040           D079700200415 
     974.76       150.      1615.      0.780      0.030           D079700200416 
     974.76       150.      1590.      0.620      0.030           D079700200417 
     974.76       150.      1565.      0.530      0.020           D079700200418 
     974.76       150.      1540.      0.440      0.020           D079700200419 
     974.76       150.      1515.      0.540      0.020           D079700200420 
     974.76       150.      1489.      0.620      0.020           D079700200421 
     974.76       150.      1463.      0.500      0.020           D079700200422 
     974.76       150.      1438.      0.420      0.020           D079700200423 
