ENTRY            S0144   20151009                             S019S014400000001 
SUBENT        S0144001   20151009                             S019S014400100001 
BIB                 11         20                                 S014400100002 
TITLE      Angular distributions of fission fragments in          S014400100003 
           interactions of 12C ions with various targets          S014400100004 
AUTHOR     (Liu Guoxing,Chen Keliang,Wang Sufang,Cai Wei)         S014400100005 
INSTITUTE  (3CPRIMP)                                              S014400100006 
REFERENCE  (J,PHE,12,379,1988)                                    S014400100007 
FACILITY   (CYCLO,3CPRIMP) heavy ion cyclotron, 1.5 m in diameter.S014400100008 
INC-SOURCE 12C(4+) ions, incident ion beam energy is 72.7 MeV.    S014400100009 
SAMPLE     Self-supporting thin metallic foil of the targets      S014400100010 
           with ~200-500 ug/cm2 in thickness, and set at 45       S014400100011 
           degree with incident beam direction.                   S014400100012 
METHOD     (BCINT,EDEG)                                           S014400100013 
DETECTOR   (TRD) A 4*12 cm2 natural white mica track detector     S014400100014 
           was set at 70-120 deg. with incident beam direction    S014400100015 
           and 10 cm with the center of target to obtain the      S014400100016 
           fission fragment angular distribution.                 S014400100017 
           (SIBAR) A silicon surface barrier detector was set at  S014400100018 
           25 deg. with the incident beam direction to monitor    S014400100019 
           the beam current.                                      S014400100020 
ERR-ANALYS (ERR-S) Statistical uncertainty was given only.        S014400100021 
HISTORY    (20151008C) Compiled by X4 group (CNDC).               S014400100022 
ENDBIB              20          0                                 S014400100023 
NOCOMMON             0          0 3                               S014400100024 
ENDSUBENT           23          0                                 S014400199999 
SUBENT        S0144002   20151009                             S019S014400200001 
BIB                  2          2                                 S014400200002 
REACTION   (79-AU-197(6-C-12,F),,DA,FF,REL)                       S014400200003 
STATUS     (CURVE) Digitized from Fig.1.                          S014400200004 
ENDBIB               2          0                                 S014400200005 
NOCOMMON             0          0                                 S014400200006 
DATA                 5         96                                 S014400200007 
EN         ANG-CM     DATA-CM    +ERR-S     -ERR-S                S014400200008 
       65.4    169.323     22.733      0.736      0.736           S014400200042 
       67.4     93.753     21.804      0.572      0.572           S014400200043 
       67.4     98.557     21.525      0.484      0.543           S014400200044 
       67.4    108.916     21.848      0.396      0.499           S014400200045 
       67.4    118.524     22.199      0.513      0.587           S014400200046 
       67.4    123.628     22.493      0.543      0.645           S014400200047 
       67.4    128.807     24.135      0.499      0.718           S014400200048 
       67.4    133.161     24.912      0.674      0.411           S014400200049 
       67.4    136.163     24.692      0.630      0.469           S014400200050 
       67.4    142.168     26.730      0.616      0.704           S014400200051 
       67.4    145.922     27.434      0.513      0.630           S014400200052 
       67.4    149.600     29.531      0.601      0.557           S014400200053 
       67.4    154.028     30.455      0.718      0.528           S014400200054 
       67.4    155.455     31.393      0.425      0.499           S014400200055 
       67.4    157.481     31.774      0.455      0.601           S014400200056 
       67.4    160.784     31.935      0.660      0.469           S014400200057 
       67.4    162.210     33.431      0.528      0.587           S014400200058 
       67.4    163.711     34.062      0.469      0.660           S014400200059 
       67.4    165.738     34.003      0.601      0.630           S014400200060 
       67.4    167.990     34.487      0.630      0.587           S014400200061 
       67.4    169.641     36.525      0.528      0.601           S014400200062 
       67.4    170.167     33.812      0.543      0.616           S014400200063 
       67.4    172.419     37.918      0.557      0.484           S014400200064 
       69.6     95.291     17.808      0.292      0.378           S014400200065 
       69.6     99.947     17.819      0.378      0.410           S014400200066 
       69.6    109.153     17.829      0.346      0.400           S014400200067 
       69.6    117.407     18.326      0.313      0.367           S014400200068 
       69.6    128.307     18.942      0.324      0.410           S014400200069 
       69.6    131.693     19.471      0.346      0.335           S014400200070 
       69.6    137.196     20.583      0.281      0.324           S014400200071 
       69.6    139.947     20.680      0.378      0.335           S014400200072 
       69.6    145.344     20.713      0.356      0.356           S014400200073 
       69.6    149.788     21.803      0.410      0.346           S014400200074 
       69.6    154.233     22.646      0.270      0.356           S014400200075 
       69.6    156.138     22.408      0.356      0.410           S014400200076 
       69.6    157.196     23.423      0.324      0.335           S014400200077 
       69.6    159.312     23.607      0.259      0.270           S014400200078 
       69.6    161.958     24.352      0.335      0.281           S014400200079 
       69.6    163.122     25.130      0.313      0.302           S014400200080 
       69.6    165.979     25.810      0.259      0.410           S014400200081 
       69.6    167.778     25.184      0.281      0.356           S014400200082 
       69.6    168.942     26.080      0.292      0.162           S014400200083 
       69.6    171.270     26.566      0.346      0.346           S014400200084 
       69.6    174.233     25.972      0.421      0.421           S014400200085 
       72.7     94.723     17.745      0.668      0.856           S014400200086 
       72.7     99.123     17.244      0.626      0.710           S014400200087 
       72.7    109.428     18.413      0.919      0.647           S014400200088 
       72.7    117.478     19.666      0.835      0.689           S014400200089 
       72.7    127.996     19.937      0.814      0.564           S014400200090 
       72.7    131.431     22.610      0.710      0.605           S014400200091 
       72.7    136.369     23.925      0.856      0.772           S014400200092 
       72.7    141.735     26.305      0.689      0.522           S014400200093 
       72.7    145.063     27.933      0.689      0.585           S014400200094 
       72.7    150.215     30.835      0.752      0.564           S014400200095 
       72.7    153.649     32.965      0.814      0.543           S014400200096 
       72.7    156.333     35.428      0.835      0.543           S014400200097 
       72.7    159.553     38.434      0.814      0.564           S014400200098 
       72.7    160.948     39.729      0.689      0.877           S014400200099 
       72.7    163.309     38.956      0.877      0.752           S014400200100 
       72.7    164.705     42.985      0.814      0.585           S014400200101 
       72.7    166.530     41.754      0.835      0.668           S014400200102 
       72.7    169.320     42.944      0.835      0.689           S014400200103 
       72.7    170.716     46.722      0.731      0.564           S014400200104 
       72.7    173.828     47.766      0.835      0.522           S014400200105 
ENDDATA             98          0                                 S014400200106 
ENDSUBENT          105          0                                 S014400299999 
ENDENTRY             2          0                                 S014499999999 
