ANG        E-MIN      E-MAX      DATA                             S000900200017 
ADEG       MEV        MEV        ARB-UNITS                        S000900200018 
90.0        8.5        8.9       0.300                            S000900200168 
90.0        8.9        9.3       0.062                            S000900200169 
90.0        9.3        9.7       0.000                            S000900200170 
90.0        9.7       10.1       0.062                            S000900200171 
90.0       10.1       10.5       0.187                            S000900200172 
90.0       10.5       10.9       0.097                            S000900200173 
90.0       10.9       11.3       0.104                            S000900200174 
90.0       11.3       11.7       0.0                              S000900200175 
90.0       11.7       12.1       0.106                            S000900200176 
90.0       12.1       12.5       0.0                              S000900200177 
90.0       12.5       12.9       0.128                            S000900200178 
90.0       12.9       13.3       0.133                            S000900200179 
90.0       13.3       13.7       0.140                            S000900200180 
90.0       13.7       14.1       0.145                            S000900200181 
90.0       14.1       14.5       0.0                              S000900200182 
90.0       14.5       14.9       0.0                              S000900200183 
90.0       14.9       15.3       0.0                              S000900200184 
90.0       15.3       15.7       0.364                            S000900200185 
90.0       15.7       16.1       0.0                              S000900200186 
90.0       16.1       16.5       0.0                              S000900200187 
90.0       16.5       16.9       0.0                              S000900200188 
90.0       16.9       17.3       0.0                              S000900200189 
90.0       17.3       17.7       0.244                            S000900200190 
90.0       17.7       18.1       0.843                            S000900200191 
90.0       18.1       18.5       0.227                            S000900200192 
90.0       18.5       18.9       0.0                              S000900200193 
90.0       18.9       19.3       0.0                              S000900200194 
90.0       19.3       19.7       0.0                              S000900200195 
90.0       19.7       20.1       0.0                              S000900200196 
90.0       20.1       20.5       0.0                              S000900200197 
90.0       20.5       20.9       0.0                              S000900200198 
90.0       20.9       21.3       0.0                              S000900200199 
90.0       21.3       21.7       0.0                              S000900200200 
90.0       21.7       22.1       0.0                              S000900200201 
90.0       22.1       22.5       0.0                              S000900200202 
90.0       22.5       22.9       0.0                              S000900200203 
90.0       22.9       23.3       0.0                              S000900200204 
90.0       23.3       23.7       0.0                              S000900200205 
90.0       23.7       24.1       0.0                              S000900200206 
90.0       24.1       24.5       0.0                              S000900200207 
90.0       24.5       24.9       0.0                              S000900200208 
90.0       24.9       25.3       0.0                              S000900200209 
90.0       25.3       25.7       0.0                              S000900200210 
110.0       0.1        0.5       0.474                            S000900200211 
110.0       0.5        0.9       1.168                            S000900200212 
110.0       0.9        1.3       0.806                            S000900200213 
110.0       1.3        1.7       1.201                            S000900200214 
110.0       1.7        2.1       1.199                            S000900200215 
110.0       2.1        2.5       2.978                            S000900200216 
110.0       2.5        2.9       1.169                            S000900200217 
110.0       2.9        3.3       2.025                            S000900200218 
110.0       3.3        3.7       1.380                            S000900200219 
110.0       3.7        4.1       1.525                            S000900200220 
110.0       4.1        4.5       1.076                            S000900200221 
110.0       4.5        4.9       0.938                            S000900200222 
110.0       4.9        5.3       0.406                            S000900200223 
110.0       5.3        5.7       0.348                            S000900200224 
110.0       5.7        6.1       0.419                            S000900200225 
110.0       6.1        6.5       0.319                            S000900200226 
110.0       6.5        6.9       0.149                            S000900200227 
110.0       6.9        7.3       0.452                            S000900200228 
110.0       7.3        7.7       0.167                            S000900200229 
110.0       7.7        8.1       0.120                            S000900200230 
110.0       8.1        8.5       0.000                            S000900200231 
110.0       8.5        8.9       0.050                            S000900200232 
110.0       8.9        9.3       0.056                            S000900200233 
110.0       9.3        9.7       0.000                            S000900200234 
110.0       9.7       10.1       0.175                            S000900200235 
110.0      10.1       10.5       0.000                            S000900200236 
110.0      10.5       10.9       0.065                            S000900200237 
110.0      10.9       11.3       0.137                            S000900200238 
110.0      11.3       11.7       0.0                              S000900200239 
110.0      11.7       12.1       0.126                            S000900200240 
110.0      12.1       12.5       0.080                            S000900200241 
110.0      12.5       12.9       0.0                              S000900200242 
110.0      12.9       13.3       0.0                              S000900200243 
110.0      13.3       13.7       0.0                              S000900200244 
110.0      13.7       14.1       0.0                              S000900200245 
110.0      14.1       14.5       0.0                              S000900200246 
110.0      14.5       14.9       0.0                              S000900200247 
110.0      14.9       15.3       0.0                              S000900200248 
110.0      15.3       15.7       0.118                            S000900200249 
110.0      15.7       16.1       0.0                              S000900200250 
110.0      16.1       16.5       0.0                              S000900200251 
110.0      16.5       16.9       0.0                              S000900200252 
110.0      16.9       17.3       0.0                              S000900200253 
110.0      17.3       17.7       0.334                            S000900200254 
110.0      17.7       18.1       0.174                            S000900200255 
110.0      18.1       18.5       0.186                            S000900200256 
110.0      18.5       18.9       0.0                              S000900200257 
110.0      18.9       19.3       0.0                              S000900200258 
110.0      19.3       19.7       0.0                              S000900200259 
110.0      19.7       20.1       0.205                            S000900200260 
110.0      20.1       20.5       0.0                              S000900200261 
110.0      20.5       20.9       0.0                              S000900200262 
110.0      20.9       21.3       0.0                              S000900200263 
110.0      21.3       21.7       0.0                              S000900200264 
110.0      21.7       22.1       0.0                              S000900200265 
110.0      22.1       22.5       0.0                              S000900200266 
110.0      22.5       22.9       0.0                              S000900200267 
110.0      22.9       23.3       0.0                              S000900200268 
110.0      23.3       23.7       0.0                              S000900200269 
110.0      23.7       24.1       0.0                              S000900200270 
110.0      24.1       24.5       0.0                              S000900200271 
110.0      24.5       24.9       0.0                              S000900200272 
110.0      24.9       25.3       0.0                              S000900200273 
110.0      25.3       25.7       0.0                              S000900200274 
130.0       0.1        0.5        0.449                           S000900200275 
130.0       0.5        0.9        2.290                           S000900200276 
130.0       0.9        1.3        1.473                           S000900200277 
