ENTRY            S0250   20211208                             S030S025000000001 
SUBENT        S0250001   20211208                             S030S025000100001 
BIB                 11         31                                 S025000100002 
TITLE      Measurement of (n,f) and (n,xn) cross sections of      S025000100003 
           actinides with the surrogate reaction method           S025000100004 
AUTHOR     (Ma Nanru,Lin Chengjian,Jia Huiming,Xu Xinxing,        S025000100005 
           Yang Feng,Yang Lei,Sun Lijie,Wang Dongxi,Liu Zuhua,    S025000100006 
           Zhang Huanqiao)                                        S025000100007 
INSTITUTE  (3CPRAEP)                                              S025000100008 
REFERENCE  (J,CNPR,34,351,2017) In Chinese                        S025000100009 
           #doi:10.11804/NuclPhysRev.34.03.351                    S025000100010 
FACILITY   (VDGT,3CPRAEP) The HI-13 Tandem Accelerator            S025000100011 
INC-SOURCE The alpha beam intensity was about 100 - 200 enA for   S025000100012 
           the on-line experiment. The alpha beam intensity for   S025000100013 
           the on-line irradiation was about 1.0 euA, and it was  S025000100014 
           monitored by a water-cooling Faraday cup.              S025000100015 
SAMPLE     236U target with a diameter of 5 mm was electroplated  S025000100016 
           onto 2 um thick aluminum foil. Two thick targets of    S025000100017 
           5.0 ug/cm2 were made for on-line experiment and        S025000100018 
           eighteen thin targets of 1.0 ug/cm2 were made for      S025000100019 
           on-line irradiation and off-line measurement.          S025000100020 
DETECTOR   (SIBAR) In the on-line experiment, eight diameter of   S025000100021 
           8 mm Si(Au) detectors were used with a rotatable base  S025000100022 
           for the angular distribution measurement of elastic    S025000100023 
           scattering and fission fragments. Four Si(Au)          S025000100024 
           detectors were placed symmetrically at the forward     S025000100025 
           angle of 25 deg for monitoring the beam quality and    S025000100026 
           cross section normalization. For the off-line          S025000100027 
           measurement of alpha radioactivity, 18 target-detector S025000100028 
           measurement systems were manufactured.                 S025000100029 
METHOD     (ACTIV,STTA)                                           S025000100030 
ERR-ANALYS (DATA-ERR) No information                              S025000100031 
HISTORY    (20211206R) Data received from Ma Nanru                S025000100032 
           (20211208C) Jimin Wang (CNDC)                          S025000100033 
ENDBIB              31          0                                 S025000100034 
NOCOMMON             0          0                                 S025000100035 
ENDSUBENT           34          0                                 S025000199999 
SUBENT        S0250002   20211208                             S030S025000200001 
BIB                  2          3                                 S025000200002 
REACTION   (92-U-236(A,F),,DA,FF)                                 S025000200003 
STATUS     (TABLE) Fig.6 of J,Nucl.Phys.Rev.,34,351,2017          S025000200004 
                   Data obtained from AUTHOR                      S025000200005 
ENDBIB               3          0                                 S025000200006 
NOCOMMON             0          0                                 S025000200007 
DATA                 4        288                                 S025000200008 
      20.03     156.05     1.0254     0.0342                      S025000200060 
      20.03     160.85     1.0682     0.0316                      S025000200061 
      20.03     165.65     1.0661     0.0344                      S025000200062 
      20.03     170.43     1.0385     0.0445                      S025000200063 
      20.03     175.22     1.1340     0.0506                      S025000200064 
      21.06      92.56     2.1112     0.0600                      S025000200065 
      21.06      97.55     2.1833     0.0650                      S025000200066 
      21.06     102.52     2.2678     0.0607                      S025000200067 
      21.06     107.47     2.4066     0.0666                      S025000200068 
      21.06     112.40     2.2519     0.0598                      S025000200069 
      21.06     117.32     2.3630     0.0653                      S025000200070 
      21.06     122.21     2.4922     0.0643                      S025000200071 
      21.06     127.09     2.5820     0.0697                      S025000200072 
      21.06     131.96     2.5315     0.0662                      S025000200073 
      21.06     136.81     2.6691     0.0724                      S025000200074 
      21.06     141.64     2.7474     0.0505                      S025000200075 
      21.06     146.47     2.9281     0.0555                      S025000200076 
      21.06     151.28     2.8253     0.0518                      S025000200077 
      21.06     156.08     2.9900     0.0568                      S025000200078 
      21.06     160.87     2.9291     0.0521                      S025000200079 
      21.06     165.66     3.1284     0.0573                      S025000200080 
      21.06     170.44     3.1481     0.0771                      S025000200081 
      21.06     175.22     3.3786     0.0851                      S025000200082 
      22.06      92.62     4.8292     0.0924                      S025000200083 
      22.06      97.61     5.4694     0.1029                      S025000200084 
      22.06     102.58     5.7717     0.0986                      S025000200085 
      22.06     107.53     5.7230     0.1027                      S025000200086 
      22.06     112.46     5.7445     0.0973                      S025000200087 
      22.06     117.37     6.1000     0.1049                      S025000200088 
      22.06     122.27     6.5018     0.1058                      S025000200089 
      22.06     127.14     6.3704     0.1095                      S025000200090 
      22.06     132.00     6.6684     0.1095                      S025000200091 
      22.06     136.85     6.7518     0.1152                      S025000200092 
      22.06     141.68     6.9556     0.0818                      S025000200093 
      22.06     146.50     6.9994     0.0859                      S025000200094 
      22.06     151.31     7.5639     0.0864                      S025000200095 
      22.06     156.11     7.5735     0.0904                      S025000200096 
      22.06     160.89     8.0432     0.0879                      S025000200097 
      22.06     165.68     8.1379     0.0925                      S025000200098 
      22.06     170.45     8.1025     0.1261                      S025000200099 
      22.06     175.23     8.5625     0.1355                      S025000200100 
      22.56      92.65     7.5656     0.1279                      S025000200101 
      22.56      97.64     7.7320     0.1086                      S025000200102 
      22.56     102.61     7.6642     0.1256                      S025000200103 
      22.56     107.56     7.9634     0.1076                      S025000200104 
      22.56     112.49     8.7229     0.1326                      S025000200105 
      22.56     117.40     8.5646     0.1104                      S025000200106 
      22.56     122.29     9.1360     0.1387                      S025000200107 
      22.56     127.17     9.1228     0.1164                      S025000200108 
      22.56     132.03     9.8871     0.1474                      S025000200109 
      22.56     136.87    10.2645     0.1261                      S025000200110 
      22.56     141.70    10.4378     0.1109                      S025000200111 
      22.56     146.52    10.6490     0.0940                      S025000200112 
      22.56     151.32    10.9452     0.1149                      S025000200113 
      22.56     156.12    11.1366     0.0974                      S025000200114 
      22.56     160.90    11.8417     0.1180                      S025000200115 
      22.56     165.68    11.8953     0.0993                      S025000200116 
      22.56     170.46    12.3237     0.1719                      S025000200117 
      22.56     175.23    12.7983     0.1471                      S025000200118 
      23.05      92.68     9.9738     0.1066                      S025000200119 
      23.05      97.66    10.9781     0.1171                      S025000200120 
      23.05     102.63    11.2971     0.1107                      S025000200121 
      23.05     107.58    11.5914     0.1174                      S025000200122 
      23.05     112.51    11.2510     0.1093                      S025000200123 
      23.05     117.42    11.7032     0.1167                      S025000200124 
      23.05     122.32    11.9883     0.1153                      S025000200125 
      23.05     127.19    12.4767     0.1231                      S025000200126 
      23.05     132.05    13.2230     0.1237                      S025000200127 
      23.05     136.89    13.3927     0.1303                      S025000200128 
      23.05     141.72    13.5945     0.0918                      S025000200129 
      23.05     146.53    13.9394     0.0974                      S025000200130 
      23.05     151.34    14.3420     0.0955                      S025000200131 
      23.05     156.13    14.9597     0.1021                      S025000200132 
      23.05     160.91    16.0009     0.0995                      S025000200133 
      23.05     165.69    16.2999     0.1052                      S025000200134 
      23.05     170.46    16.6883     0.1452                      S025000200135 
      23.05     175.23    16.7848     0.1525                      S025000200136 
      23.55      92.70    14.6207     0.1569                      S025000200137 
      23.55      97.69    15.9287     0.1648                      S025000200138 
      23.55     102.66    15.5943     0.1582                      S025000200139 
      23.55     107.61    16.8832     0.1656                      S025000200140 
      23.55     112.54    16.2048     0.1596                      S025000200141 
      23.55     117.45    16.7668     0.1633                      S025000200142 
      23.55     122.34    17.6894     0.1703                      S025000200143 
      23.55     127.21    18.1180     0.1734                      S025000200144 
      23.55     132.07    19.2384     0.1815                      S025000200145 
      23.55     136.91    19.1717     0.1822                      S025000200146 
      23.55     141.74    20.0233     0.1355                      S025000200147 
      23.55     146.55    20.6272     0.1384                      S025000200148 
      23.55     151.35    21.4963     0.1422                      S025000200149 
      23.55     156.14    21.9831     0.1446                      S025000200150 
      23.55     160.92    23.8517     0.1478                      S025000200151 
      23.55     165.70    23.4924     0.1476                      S025000200152 
      23.55     170.47    25.3334     0.2176                      S025000200153 
      23.55     175.24    24.7219     0.2162                      S025000200154 
      24.03      92.73    18.3001     0.1867                      S025000200155 
      24.03      97.72    18.4243     0.1936                      S025000200156 
      24.03     102.69    18.6347     0.1838                      S025000200157 
      24.03     107.64    19.1239     0.1925                      S025000200158 
      24.03     112.57    18.6882     0.1821                      S025000200159 
      24.03     117.48    19.1039     0.1903                      S025000200160 
      24.03     122.37    20.4009     0.1944                      S025000200161 
      24.03     127.24    21.0953     0.2043                      S025000200162 
      24.03     132.09    21.7992     0.2053                      S025000200163 
      24.03     136.93    22.5378     0.2158                      S025000200164 
      24.03     141.76    23.5988     0.1564                      S025000200165 
      24.03     146.57    23.9043     0.1627                      S025000200166 
      24.03     151.37    25.2234     0.1637                      S025000200167 
      24.03     156.15    25.4587     0.1700                      S025000200168 
      24.03     160.93    27.0063     0.1672                      S025000200169 
      24.03     165.71    27.2900     0.1737                      S025000200170 
      24.03     170.47    28.0968     0.2436                      S025000200171 
      24.03     175.24    28.0490     0.2515                      S025000200172 
      25.09      92.79    29.8174     0.2952                      S025000200173 
      25.09      97.78    32.3457     0.3281                      S025000200174 
      25.09     102.75    31.5478     0.2964                      S025000200175 
      25.09     107.70    32.2341     0.3197                      S025000200176 
      25.09     112.62    30.4696     0.2882                      S025000200177 
      25.09     117.53    31.3030     0.3117                      S025000200178 
      25.09     122.42    34.1220     0.3115                      S025000200179 
      25.09     127.29    34.7274     0.3354                      S025000200180 
      25.09     132.14    35.3744     0.3241                      S025000200181 
      25.09     136.97    36.7905     0.3527                      S025000200182 
      25.09     141.79    38.5791     0.2478                      S025000200183 
      25.09     146.60    40.3896     0.2706                      S025000200184 
      25.09     151.40    41.4597     0.2600                      S025000200185 
      25.09     156.18    42.6284     0.2814                      S025000200186 
      25.09     160.95    44.6542     0.2664                      S025000200187 
      25.09     165.72    44.9270     0.2852                      S025000200188 
      25.09     170.48    46.8816     0.3898                      S025000200189 
      25.09     175.24    47.9412     0.4207                      S025000200190 
      26.11      92.85    33.4907     0.3874                      S025000200191 
      26.11      97.84    34.6417     0.3888                      S025000200192 
      26.11     102.80    36.4340     0.3944                      S025000200193 
      26.11     107.75    38.9991     0.4026                      S025000200194 
      26.11     112.68    38.3242     0.4002                      S025000200195 
      26.11     117.58    37.5358     0.3908                      S025000200196 
      26.11     122.47    41.4839     0.4253                      S025000200197 
      26.11     127.33    42.1495     0.4231                      S025000200198 
      26.11     132.18    43.8429     0.4467                      S025000200199 
      26.11     137.01    45.5413     0.4493                      S025000200200 
      26.11     141.83    48.4601     0.3438                      S025000200201 
      26.11     146.63    47.9117     0.3374                      S025000200202 
      26.11     151.42    51.8303     0.3600                      S025000200203 
      26.11     156.20    52.1437     0.3563                      S025000200204 
      26.11     160.97    57.4217     0.3740                      S025000200205 
      26.11     165.74    57.7852     0.3703                      S025000200206 
      26.11     170.49    59.4156     0.5434                      S025000200207 
      26.11     175.25    59.8616     0.5382                      S025000200208 
      27.13      92.90    40.5079     0.3680                      S025000200209 
      27.13      97.89    41.9022     0.4209                      S025000200210 
      27.13     102.86    47.9271     0.3907                      S025000200211 
      27.13     107.80    46.9029     0.4347                      S025000200212 
      27.13     112.73    47.9195     0.3865                      S025000200213 
      27.13     117.63    48.4539     0.4371                      S025000200214 
      27.13     122.51    51.2921     0.4085                      S025000200215 
      27.13     127.38    53.4733     0.4691                      S025000200216 
      27.13     132.22    55.7920     0.4353                      S025000200217 
      27.13     137.05    55.6378     0.4888                      S025000200218 
      27.13     141.87    60.7084     0.3324                      S025000200219 
      27.13     146.66    60.3868     0.3729                      S025000200220 
      27.13     151.45    66.1257     0.3512                      S025000200221 
      27.13     156.23    67.5677     0.3993                      S025000200222 
      27.13     160.99    71.5162     0.3605                      S025000200223 
      27.13     165.75    72.1111     0.4072                      S025000200224 
      27.13     170.50    75.4793     0.5290                      S025000200225 
      27.13     175.25    75.6248     0.5955                      S025000200226 
      28.12      92.95    51.2957     0.5142                      S025000200227 
      28.12      97.94    52.8489     0.4801                      S025000200228 
      28.12     102.91    58.1625     0.5344                      S025000200229 
      28.12     107.85    60.5612     0.5016                      S025000200230 
      28.12     112.78    58.5314     0.5304                      S025000200231 
      28.12     117.68    58.9541     0.4897                      S025000200232 
      28.12     122.56    63.3635     0.5638                      S025000200233 
      28.12     127.42    65.0371     0.5254                      S025000200234 
      28.12     132.26    67.7155     0.5954                      S025000200235 
      28.12     137.09    69.8884     0.5565                      S025000200236 
      28.12     141.90    74.1186     0.4561                      S025000200237 
      28.12     146.69    75.4478     0.4233                      S025000200238 
      28.12     151.48    80.9436     0.4825                      S025000200239 
      28.12     156.25    82.6428     0.4485                      S025000200240 
      28.12     161.01    87.7039     0.4958                      S025000200241 
      28.12     165.76    88.6220     0.4584                      S025000200242 
      28.12     170.51    92.2422     0.7261                      S025000200243 
      28.12     175.26    93.6994     0.6732                      S025000200244 
      30.11      93.06    66.6515     0.6493                      S025000200245 
      30.11      98.05    69.7287     0.7665                      S025000200246 
      30.11     103.01    78.3719     0.6873                      S025000200247 
      30.11     107.95    78.6881     0.7947                      S025000200248 
      30.11     112.87    74.6364     0.6636                      S025000200249 
      30.11     117.77    76.1630     0.7736                      S025000200250 
      30.11     122.65    85.1551     0.7241                      S025000200251 
      30.11     127.50    86.4887     0.8422                      S025000200252 
      30.11     132.34    91.2079     0.7656                      S025000200253 
      30.11     137.16    91.9938     0.8874                      S025000200254 
      30.11     141.96    97.7417     0.5802                      S025000200255 
      30.11     146.75   100.5599     0.6792                      S025000200256 
      30.11     151.53   108.1006     0.6177                      S025000200257 
      30.11     156.29   111.1579     0.7229                      S025000200258 
      30.11     161.05   117.0403     0.6345                      S025000200259 
      30.11     165.79   117.6301     0.7341                      S025000200260 
      30.11     170.53   124.1052     0.9331                      S025000200261 
      30.11     175.27   127.7374     1.0926                      S025000200262 
      32.00      93.15    70.7623     0.7272                      S025000200263 
      32.00      98.14    71.9613     0.7245                      S025000200264 
      32.00     103.10    73.1604     0.7218                      S025000200265 
      32.00     108.04    75.0907     0.7272                      S025000200266 
      32.00     112.96    77.0211     0.7327                      S025000200267 
      32.00     117.86    80.4263     0.7568                      S025000200268 
      32.00     122.73    83.8316     0.7809                      S025000200269 
      32.00     127.58    87.2701     0.8054                      S025000200270 
      32.00     132.41    90.7085     0.8299                      S025000200271 
      32.00     137.23    94.2003     0.7302                      S025000200272 
      32.00     142.03    97.6920     0.6305                      S025000200273 
      32.00     146.81   103.7376     0.6536                      S025000200274 
      32.00     151.58   109.7832     0.6767                      S025000200275 
      32.00     156.33   114.7622     0.6871                      S025000200276 
      32.00     161.08   119.7412     0.6976                      S025000200277 
      32.00     165.82   123.7929     0.8635                      S025000200278 
      32.00     170.55   127.8446     1.0295                      S025000200279 
      32.00     175.27   127.8446     1.0295                      S025000200280 
      36.00      93.34    90.8418     0.9033                      S025000200281 
      36.00      98.33    90.9691     0.9638                      S025000200282 
      36.00     103.29    94.6478     0.9000                      S025000200283 
      36.00     108.23    95.0340     0.9615                      S025000200284 
      36.00     113.14    97.2891     0.9028                      S025000200285 
      36.00     118.03    96.1051     0.9566                      S025000200286 
      36.00     122.90   103.0386     0.9491                      S025000200287 
      36.00     127.74   105.3110     1.0230                      S025000200288 
      36.00     132.56   112.6901     1.0141                      S025000200289 
      36.00     137.36   115.4520     1.0943                      S025000200290 
      36.00     142.15   120.7072     0.7684                      S025000200291 
      36.00     146.92   126.3987     0.8383                      S025000200292 
      36.00     151.67   135.4719     0.8241                      S025000200293 
      36.00     156.41   141.4782     0.8978                      S025000200294 
      36.00     161.14   151.6291     0.8606                      S025000200295 
      36.00     165.86   152.7269     0.9208                      S025000200296 
      36.00     170.58   161.0700     1.2668                      S025000200297 
      36.00     175.29   159.4742     1.3439                      S025000200298 
ENDDATA            290          0                                 S025000200299 
ENDSUBENT          298          0                                 S025000299999 
SUBENT        S0250003   20211208                             S030S025000300001 
BIB                  2          3                                 S025000300002 
REACTION   (92-U-236(A,F),,SIG)                                   S025000300003 
STATUS     (TABLE) Fig.7 of J,Nucl.Phys.Rev.,34,351,2017          S025000300004 
                   Data obtained from AUTHOR                      S025000300005 
ENDBIB               3          0                                 S025000300006 
NOCOMMON             0          0                                 S025000300007 
DATA                 3         16                                 S025000300008 
EN         DATA       DATA-ERR                                    S025000300009 
MEV        MB         MB                                          S025000300010 
      17.93       0.28       0.09                                 S025000300011 
      19.00       2.23       0.22                                 S025000300012 
      20.03      10.46       0.54                                 S025000300013 
      21.06      31.45       1.20                                 S025000300014 
      22.06      79.06       2.66                                 S025000300015 
      22.56     115.22       3.74                                 S025000300016 
      23.05     155.88       4.87                                 S025000300017 
      23.55     226.76       7.08                                 S025000300018 
      24.03     263.59       8.23                                 S025000300019 
      25.09     437.95      14.06                                 S025000300020 
      26.11     527.18      16.51                                 S025000300021 
      27.13     659.65      20.41                                 S025000300022 
      28.12     815.96      25.56                                 S025000300023 
      30.11    1077.72      35.52                                 S025000300024 
      32.00    1089.75      33.94                                 S025000300025 
      36.00    1355.16      42.12                                 S025000300026 
ENDDATA             18          0                                 S025000300027 
ENDSUBENT           26          0                                 S025000399999 
SUBENT        S0250004   20211208                             S030S025000400001 
BIB                  2          3                                 S025000400002 
REACTION   (92-U-236(A,2N)94-PU-238,,SIG)                         S025000400003 
STATUS     (TABLE) Fig.7 of J,Nucl.Phys.Rev.,34,351,2017          S025000400004 
                   Data obtained from AUTHOR                      S025000400005 
ENDBIB               3          0                                 S025000400006 
NOCOMMON             0          0                                 S025000400007 
DATA                 3         15                                 S025000400008 
EN         DATA       DATA-ERR                                    S025000400009 
MEV        MB         MB                                          S025000400010 
      17.93       0.05       0.05                                 S025000400011 
      19.00       0.34       0.31                                 S025000400012 
      20.03       1.56       1.15                                 S025000400013 
      21.06       3.39       1.57                                 S025000400014 
      22.06       9.42       2.86                                 S025000400015 
      22.56      17.82       5.11                                 S025000400016 
      23.05      24.25       5.45                                 S025000400017 
      23.55      31.84       7.06                                 S025000400018 
      24.03      38.17       4.94                                 S025000400019 
      25.09      41.54       8.61                                 S025000400020 
      26.11      61.97      12.42                                 S025000400021 
      27.13      46.15      10.64                                 S025000400022 
      28.12      83.18      16.15                                 S025000400023 
      30.11      73.25      14.40                                 S025000400024 
      32.00      33.66       6.77                                 S025000400025 
ENDDATA             17          0                                 S025000400026 
ENDSUBENT           25          0                                 S025000499999 
ENDENTRY             4          0                                 S025099999999 
