ENTRY            K2285   20110502                             K010K228500000001 
SUBENT        K2285001   20110502                             K010K228500100001 
BIB                 12         26                                 K228500100002 
TITLE      pi0 photoproduction on deuteron for photon energies    K228500100003 
           from 0.6 to 1.15 GeV                                   K228500100004 
AUTHOR     (F.Miyahara, H.Fukasawa, R.Hashimoto, T.Ishikawa,      K228500100005 
            M.Itoh, T.Iwata, H.Kanda, J.Kasagi, H.Kato,           K228500100006 
            T.Kinoshita, K.Maeda, M.Matsuzawa, T.Michigami,       K228500100007 
            K.Motiduki, K.Murakami, T.Nakabayashi, K.Nawa,        K228500100008 
            T.Nomura, K.Okamura, H.Okamura, H.Okuyama, Y.Onodera, K228500100009 
            Y.Saito, T.Sasaki, H.Shimizu, T.Shishido, S.Suzuki,   K228500100010 
            K.Suzuki, Y.Tajima, S.Takita, T.Takahashi, H.Ueno,    K228500100011 
            S.Yamagushi, H.Yamazaki, H.Y.Yoshida)                 K228500100012 
INSTITUTE  (2JPNTOH) Laboratory of Nuclear Science                K228500100013 
           (2JPNTOH) Cyclotron and Radioisotope Center            K228500100014 
           (2JPNYMG) Department of Physics                        K228500100015 
           (2JPNTOH) Department of Physics                        K228500100016 
           (2JPNOSA) Research Center for Nuclear Physics          K228500100017 
           (2JPNKEK)                                              K228500100018 
REFERENCE  (J,CNPR,26,(S),104,200907)                             K228500100019 
PART-DET   (G)                                                    K228500100020 
INC-SOURCE (TAGD)                                                 K228500100021 
SAMPLE     - Chemical-form of target is element.                  K228500100022 
           - Physical-form of target is solid.                    K228500100023 
METHOD     (COINC) Invariant mass analysis of two gammas          K228500100024 
FACILITY   (SRING,2JPNTOH) Laboratory for Nuclear Science         K228500100025 
DETECTOR   (CSICR,SCIN) Electromagnetic calorimeter SCISSORS II   K228500100026 
STATUS     (PRELM) Indicated by authors in figures                K228500100027 
HISTORY    (20100820C)                                            K228500100028 
ENDBIB              26          0                                 K228500100029 
NOCOMMON             0          0                                 K228500100030 
ENDSUBENT           29          0                                 K228500199999 
SUBENT        K2285002   20110502                             K010K228500200001 
BIB                  3          3                                 K228500200002 
REACTION   (1-H-1(G,PI0)1-H-1,,DA)                                K228500200003 
ERR-ANALYS (ERR-S) Statistical uncertainty                        K228500200004 
STATUS     (TABLE) Plotted in Fig.2 of J,CNPR,26,(S),104,2009     K228500200005 
ENDBIB               3          0                                 K228500200006 
NOCOMMON             0          0                                 K228500200007 
DATA                 4        766                                 K228500200008 
      0.703       0.45       2.87       0.23                      K228500200093 
      0.703       0.55       2.28       0.19                      K228500200094 
      0.703       0.65       2.24       0.20                      K228500200095 
      0.703       0.75       1.60       0.20                      K228500200096 
      0.718      -0.85       2.54       0.91                      K228500200097 
      0.718      -0.75       1.73       0.43                      K228500200098 
      0.718      -0.65       1.93       0.28                      K228500200099 
      0.718      -0.55       3.17       0.34                      K228500200100 
      0.718      -0.45       3.33       0.38                      K228500200101 
      0.718      -0.35       3.74       0.36                      K228500200102 
      0.718      -0.25       3.83       0.34                      K228500200103 
      0.718      -0.15       4.17       0.34                      K228500200104 
      0.718      -0.05       4.41       0.34                      K228500200105 
      0.718       0.05       4.63       0.49                      K228500200106 
      0.718       0.15       3.92       0.34                      K228500200107 
      0.718       0.25       3.63       0.30                      K228500200108 
      0.718       0.35       3.52       0.26                      K228500200109 
      0.718       0.45       3.28       0.24                      K228500200110 
      0.718       0.55       2.57       0.21                      K228500200111 
      0.718       0.65       2.12       0.20                      K228500200112 
      0.718       0.75       2.54       0.27                      K228500200113 
      0.734      -0.85       3.37       0.87                      K228500200114 
      0.734      -0.75       1.82       0.39                      K228500200115 
      0.734      -0.65       3.47       0.41                      K228500200116 
      0.734      -0.55       3.53       0.41                      K228500200117 
      0.734      -0.45       3.52       0.42                      K228500200118 
      0.734      -0.35       3.27       0.37                      K228500200119 
      0.734      -0.25       5.19       0.42                      K228500200120 
      0.734      -0.15       4.53       0.37                      K228500200121 
      0.734      -0.05       4.82       0.35                      K228500200122 
      0.734       0.05       5.18       0.50                      K228500200123 
      0.734       0.15       4.15       0.36                      K228500200124 
      0.734       0.25       3.92       0.33                      K228500200125 
      0.734       0.35       3.59       0.28                      K228500200126 
      0.734       0.45       3.11       0.25                      K228500200127 
      0.734       0.55       3.18       0.25                      K228500200128 
      0.734       0.65       2.45       0.21                      K228500200129 
      0.734       0.75       2.86       0.31                      K228500200130 
      0.734       0.85       1.86       0.51                      K228500200131 
      0.748      -0.85       1.70       0.64                      K228500200132 
      0.748      -0.75       1.48       0.41                      K228500200133 
      0.748      -0.65       3.67       0.40                      K228500200134 
      0.748      -0.55       2.93       0.37                      K228500200135 
      0.748      -0.45       3.38       0.39                      K228500200136 
      0.748      -0.35       3.18       0.34                      K228500200137 
      0.748      -0.25       4.12       0.36                      K228500200138 
      0.748      -0.15       4.89       0.39                      K228500200139 
      0.748      -0.05       4.23       0.32                      K228500200140 
      0.748       0.05       4.69       0.44                      K228500200141 
      0.748       0.15       5.14       0.39                      K228500200142 
      0.748       0.25       4.79       0.34                      K228500200143 
      0.748       0.35       4.24       0.29                      K228500200144 
      0.748       0.45       3.55       0.26                      K228500200145 
      0.748       0.55       3.43       0.24                      K228500200146 
      0.748       0.65       2.91       0.24                      K228500200147 
      0.748       0.75       2.39       0.25                      K228500200148 
      0.748       0.85       1.61       0.50                      K228500200149 
      0.764      -0.85       4.07       0.96                      K228500200150 
      0.764      -0.75       2.22       0.43                      K228500200151 
      0.764      -0.65       2.34       0.36                      K228500200152 
      0.764      -0.55       3.20       0.36                      K228500200153 
      0.764      -0.45       3.50       0.41                      K228500200154 
      0.764      -0.35       3.45       0.35                      K228500200155 
      0.764      -0.25       4.60       0.36                      K228500200156 
      0.764      -0.15       3.90       0.34                      K228500200157 
      0.764      -0.05       4.67       0.33                      K228500200158 
      0.764       0.05       3.82       0.39                      K228500200159 
      0.764       0.15       4.74       0.36                      K228500200160 
      0.764       0.25       3.66       0.29                      K228500200161 
      0.764       0.35       3.84       0.28                      K228500200162 
      0.764       0.45       3.49       0.26                      K228500200163 
      0.764       0.55       3.57       0.25                      K228500200164 
      0.764       0.65       2.93       0.23                      K228500200165 
      0.764       0.75       2.57       0.26                      K228500200166 
      0.778      -0.85       2.18       0.75                      K228500200167 
      0.778      -0.75       3.10       0.56                      K228500200168 
      0.778      -0.65       1.93       0.33                      K228500200169 
      0.778      -0.55       3.14       0.42                      K228500200170 
      0.778      -0.45       3.44       0.43                      K228500200171 
      0.778      -0.35       3.77       0.42                      K228500200172 
      0.778      -0.25       4.61       0.42                      K228500200173 
      0.778      -0.15       3.73       0.37                      K228500200174 
      0.778      -0.05       4.91       0.38                      K228500200175 
      0.778       0.05       4.67       0.46                      K228500200176 
      0.778       0.15       4.73       0.39                      K228500200177 
      0.778       0.25       4.40       0.34                      K228500200178 
      0.778       0.35       3.61       0.30                      K228500200179 
      0.778       0.45       3.37       0.26                      K228500200180 
      0.778       0.55       2.95       0.25                      K228500200181 
      0.778       0.65       2.83       0.25                      K228500200182 
      0.778       0.75       2.71       0.30                      K228500200183 
      0.778       0.85       1.73       0.55                      K228500200184 
      0.796      -0.85       0.92       0.58                      K228500200185 
      0.796      -0.75       2.73       0.59                      K228500200186 
      0.796      -0.65       2.85       0.49                      K228500200187 
      0.796      -0.55       2.47       0.41                      K228500200188 
      0.796      -0.45       2.40       0.42                      K228500200189 
      0.796      -0.35       3.50       0.44                      K228500200190 
      0.796      -0.25       3.89       0.44                      K228500200191 
      0.796      -0.15       4.09       0.44                      K228500200192 
      0.796      -0.05       4.29       0.39                      K228500200193 
      0.796       0.05       4.25       0.50                      K228500200194 
      0.796       0.15       3.56       0.40                      K228500200195 
      0.796       0.25       4.24       0.40                      K228500200196 
      0.796       0.35       3.61       0.34                      K228500200197 
      0.796       0.45       3.13       0.31                      K228500200198 
      0.796       0.55       2.85       0.28                      K228500200199 
      0.796       0.65       2.66       0.28                      K228500200200 
      0.796       0.75       1.78       0.28                      K228500200201 
      0.796       0.85       1.99       0.67                      K228500200202 
      0.807      -0.85       1.89       0.62                      K228500200203 
      0.807      -0.75       3.49       0.57                      K228500200204 
      0.807      -0.65       3.07       0.41                      K228500200205 
      0.807      -0.55       3.31       0.42                      K228500200206 
      0.807      -0.45       3.49       0.43                      K228500200207 
      0.807      -0.35       3.24       0.36                      K228500200208 
      0.807      -0.25       3.64       0.34                      K228500200209 
      0.807      -0.15       4.12       0.36                      K228500200210 
      0.807      -0.05       4.00       0.31                      K228500200211 
      0.807       0.05       3.18       0.35                      K228500200212 
      0.807       0.15       3.86       0.35                      K228500200213 
      0.807       0.25       3.73       0.32                      K228500200214 
      0.807       0.35       3.41       0.27                      K228500200215 
      0.807       0.45       2.99       0.26                      K228500200216 
      0.807       0.55       2.35       0.21                      K228500200217 
      0.807       0.65       2.00       0.20                      K228500200218 
      0.807       0.75       1.58       0.22                      K228500200219 
      0.821      -0.85       2.92       0.76                      K228500200220 
      0.821      -0.75       1.88       0.39                      K228500200221 
      0.821      -0.65       3.07       0.39                      K228500200222 
      0.821      -0.55       2.37       0.32                      K228500200223 
      0.821      -0.45       2.44       0.35                      K228500200224 
      0.821      -0.35       3.24       0.33                      K228500200225 
      0.821      -0.25       3.20       0.29                      K228500200226 
      0.821      -0.15       3.58       0.30                      K228500200227 
      0.821      -0.05       3.53       0.27                      K228500200228 
      0.821       0.05       3.42       0.34                      K228500200229 
      0.821       0.15       3.49       0.30                      K228500200230 
      0.821       0.25       3.30       0.27                      K228500200231 
      0.821       0.35       2.79       0.23                      K228500200232 
      0.821       0.45       2.46       0.21                      K228500200233 
      0.821       0.55       2.69       0.22                      K228500200234 
      0.821       0.65       1.77       0.17                      K228500200235 
      0.821       0.75       1.82       0.22                      K228500200236 
      0.821       0.85       2.39       0.63                      K228500200237 
      0.835      -0.85       2.87       0.39                      K228500200238 
      0.835      -0.75       2.34       0.22                      K228500200239 
      0.835      -0.65       2.54       0.15                      K228500200240 
      0.835      -0.55       2.73       0.15                      K228500200241 
      0.835      -0.45       2.66       0.13                      K228500200242 
      0.835      -0.35       3.14       0.12                      K228500200243 
      0.835      -0.25       3.05       0.12                      K228500200244 
      0.835      -0.15       3.09       0.12                      K228500200245 
      0.835      -0.05       3.21       0.10                      K228500200246 
      0.835       0.05       2.96       0.10                      K228500200247 
      0.835       0.15       2.84       0.09                      K228500200248 
      0.835       0.25       2.74       0.08                      K228500200249 
      0.835       0.35       2.53       0.07                      K228500200250 
      0.835       0.45       2.11       0.06                      K228500200251 
      0.835       0.55       1.78       0.06                      K228500200252 
      0.835       0.65       1.54       0.06                      K228500200253 
      0.835       0.75       1.31       0.06                      K228500200254 
      0.835       0.85       1.63       0.18                      K228500200255 
      0.838      -0.85       3.82       0.83                      K228500200256 
      0.838      -0.75       3.30       0.50                      K228500200257 
      0.838      -0.65       2.97       0.38                      K228500200258 
      0.838      -0.55       3.07       0.37                      K228500200259 
      0.838      -0.45       3.04       0.36                      K228500200260 
      0.838      -0.35       3.01       0.31                      K228500200261 
      0.838      -0.25       3.49       0.30                      K228500200262 
      0.838      -0.15       3.54       0.28                      K228500200263 
      0.838      -0.05       3.25       0.24                      K228500200264 
      0.838       0.05       3.55       0.33                      K228500200265 
      0.838       0.15       3.25       0.28                      K228500200266 
      0.838       0.25       3.13       0.26                      K228500200267 
      0.838       0.35       2.42       0.20                      K228500200268 
      0.838       0.45       1.69       0.18                      K228500200269 
      0.838       0.55       1.85       0.18                      K228500200270 
      0.838       0.65       1.57       0.16                      K228500200271 
      0.838       0.75       1.03       0.17                      K228500200272 
      0.838       0.85       0.58       0.30                      K228500200273 
      0.849      -0.85       2.44       0.41                      K228500200274 
      0.849      -0.75       2.13       0.24                      K228500200275 
      0.849      -0.65       2.57       0.16                      K228500200276 
      0.849      -0.55       2.92       0.17                      K228500200277 
      0.849      -0.45       2.65       0.14                      K228500200278 
      0.849      -0.35       2.96       0.14                      K228500200279 
      0.849      -0.25       2.74       0.13                      K228500200280 
      0.849      -0.15       2.54       0.12                      K228500200281 
      0.849      -0.05       2.99       0.11                      K228500200282 
      0.849       0.05       2.60       0.10                      K228500200283 
      0.849       0.15       2.55       0.09                      K228500200284 
      0.849       0.25       2.43       0.08                      K228500200285 
      0.849       0.35       2.20       0.07                      K228500200286 
      0.849       0.45       1.83       0.06                      K228500200287 
      0.849       0.55       1.65       0.06                      K228500200288 
      0.849       0.65       1.46       0.06                      K228500200289 
      0.849       0.75       1.33       0.07                      K228500200290 
      0.849       0.85       1.60       0.20                      K228500200291 
      0.854      -0.85       2.92       0.95                      K228500200292 
      0.854      -0.75       3.19       0.64                      K228500200293 
      0.854      -0.65       3.35       0.53                      K228500200294 
      0.854      -0.55       2.68       0.41                      K228500200295 
      0.854      -0.45       2.42       0.38                      K228500200296 
      0.854      -0.35       2.48       0.33                      K228500200297 
      0.854      -0.25       2.69       0.32                      K228500200298 
      0.854      -0.15       2.69       0.31                      K228500200299 
      0.854      -0.05       2.41       0.25                      K228500200300 
      0.854       0.05       2.82       0.34                      K228500200301 
      0.854       0.15       2.52       0.31                      K228500200302 
      0.854       0.25       2.04       0.25                      K228500200303 
      0.854       0.35       2.13       0.23                      K228500200304 
      0.854       0.45       2.22       0.24                      K228500200305 
      0.854       0.55       1.76       0.20                      K228500200306 
      0.854       0.65       1.39       0.18                      K228500200307 
      0.854       0.75       1.38       0.22                      K228500200308 
      0.854       0.85       0.66       0.39                      K228500200309 
      0.861      -0.85       2.19       0.39                      K228500200310 
      0.861      -0.75       2.56       0.25                      K228500200311 
      0.861      -0.65       2.57       0.17                      K228500200312 
      0.861      -0.55       2.56       0.16                      K228500200313 
      0.861      -0.45       2.51       0.14                      K228500200314 
      0.861      -0.35       2.71       0.14                      K228500200315 
      0.861      -0.25       2.77       0.13                      K228500200316 
      0.861      -0.15       2.48       0.12                      K228500200317 
      0.861      -0.05       2.47       0.10                      K228500200318 
      0.861       0.05       2.47       0.10                      K228500200319 
      0.861       0.15       2.29       0.09                      K228500200320 
      0.861       0.25       2.20       0.08                      K228500200321 
      0.861       0.35       1.91       0.07                      K228500200322 
      0.861       0.45       1.76       0.06                      K228500200323 
      0.861       0.55       1.50       0.06                      K228500200324 
      0.861       0.65       1.17       0.05                      K228500200325 
      0.861       0.75       1.12       0.07                      K228500200326 
      0.861       0.85       1.16       0.18                      K228500200327 
      0.873      -0.85       2.55       0.40                      K228500200328 
      0.873      -0.75       2.53       0.25                      K228500200329 
      0.873      -0.65       2.68       0.18                      K228500200330 
      0.873      -0.55       2.62       0.17                      K228500200331 
      0.873      -0.45       2.37       0.14                      K228500200332 
      0.873      -0.35       2.48       0.13                      K228500200333 
      0.873      -0.25       2.42       0.12                      K228500200334 
      0.873      -0.15       2.55       0.13                      K228500200335 
      0.873      -0.05       2.36       0.10                      K228500200336 
      0.873       0.05       2.23       0.10                      K228500200337 
      0.873       0.15       2.36       0.10                      K228500200338 
      0.873       0.25       1.81       0.07                      K228500200339 
      0.873       0.35       1.70       0.07                      K228500200340 
      0.873       0.45       1.52       0.06                      K228500200341 
      0.873       0.55       1.23       0.05                      K228500200342 
      0.873       0.65       1.11       0.05                      K228500200343 
      0.873       0.75       1.10       0.07                      K228500200344 
      0.873       0.85       0.94       0.17                      K228500200345 
      0.874      -0.85       1.75       0.51                      K228500200346 
      0.874      -0.75       3.16       0.44                      K228500200347 
      0.874      -0.65       2.87       0.37                      K228500200348 
      0.874      -0.55       2.75       0.32                      K228500200349 
      0.874      -0.45       2.65       0.30                      K228500200350 
      0.874      -0.35       2.48       0.26                      K228500200351 
      0.874      -0.25       2.65       0.24                      K228500200352 
      0.874      -0.15       2.41       0.24                      K228500200353 
      0.874      -0.05       2.35       0.18                      K228500200354 
      0.874       0.05       2.59       0.24                      K228500200355 
      0.874       0.15       2.12       0.20                      K228500200356 
      0.874       0.25       2.10       0.18                      K228500200357 
      0.874       0.35       1.83       0.15                      K228500200358 
      0.874       0.45       1.43       0.14                      K228500200359 
      0.874       0.55       1.48       0.14                      K228500200360 
      0.874       0.65       1.18       0.13                      K228500200361 
      0.874       0.75       1.22       0.17                      K228500200362 
      0.882      -0.85       2.33       0.40                      K228500200363 
      0.882      -0.75       2.31       0.23                      K228500200364 
      0.882      -0.65       2.44       0.17                      K228500200365 
      0.882      -0.55       2.58       0.16                      K228500200366 
      0.882      -0.45       2.35       0.13                      K228500200367 
      0.882      -0.35       2.70       0.21                      K228500200368 
      0.882      -0.25       2.42       0.12                      K228500200369 
      0.882      -0.15       2.44       0.12                      K228500200370 
      0.882      -0.05       2.28       0.09                      K228500200371 
      0.882       0.05       2.19       0.09                      K228500200372 
      0.882       0.15       1.98       0.08                      K228500200373 
      0.882       0.25       1.78       0.07                      K228500200374 
      0.882       0.35       1.53       0.06                      K228500200375 
      0.882       0.45       1.53       0.06                      K228500200376 
      0.882       0.55       1.29       0.05                      K228500200377 
      0.882       0.65       1.19       0.06                      K228500200378 
      0.882       0.75       1.14       0.07                      K228500200379 
      0.882       0.85       1.12       0.17                      K228500200380 
      0.894      -0.85       2.46       0.41                      K228500200381 
      0.894      -0.75       2.23       0.24                      K228500200382 
      0.894      -0.65       2.74       0.18                      K228500200383 
      0.894      -0.55       2.08       0.15                      K228500200384 
      0.894      -0.45       2.39       0.14                      K228500200385 
      0.894      -0.35       2.33       0.13                      K228500200386 
      0.894      -0.25       2.33       0.13                      K228500200387 
      0.894      -0.15       2.40       0.12                      K228500200388 
      0.894      -0.05       2.25       0.09                      K228500200389 
      0.894       0.05       2.08       0.09                      K228500200390 
      0.894       0.15       1.92       0.08                      K228500200391 
      0.894       0.25       1.64       0.07                      K228500200392 
      0.894       0.35       1.50       0.06                      K228500200393 
      0.894       0.45       1.37       0.06                      K228500200394 
      0.894       0.55       1.20       0.05                      K228500200395 
      0.894       0.65       1.15       0.05                      K228500200396 
      0.894       0.75       1.14       0.07                      K228500200397 
      0.894       0.85       1.20       0.20                      K228500200398 
      0.913      -0.85       2.90       0.33                      K228500200399 
      0.913      -0.75       2.43       0.19                      K228500200400 
      0.913      -0.65       2.28       0.12                      K228500200401 
      0.913      -0.55       2.47       0.12                      K228500200402 
      0.913      -0.45       2.42       0.11                      K228500200403 
      0.913      -0.35       2.42       0.10                      K228500200404 
      0.913      -0.25       2.14       0.09                      K228500200405 
      0.913      -0.15       2.15       0.09                      K228500200406 
      0.913      -0.05       1.96       0.06                      K228500200407 
      0.913       0.05       1.88       0.07                      K228500200408 
      0.913       0.15       1.75       0.06                      K228500200409 
      0.913       0.25       1.57       0.05                      K228500200410 
      0.913       0.35       1.41       0.05                      K228500200411 
      0.913       0.45       1.23       0.04                      K228500200412 
      0.913       0.55       1.13       0.04                      K228500200413 
      0.913       0.65       1.12       0.04                      K228500200414 
      0.913       0.75       1.15       0.05                      K228500200415 
      0.913       0.85       1.30       0.16                      K228500200416 
      0.929      -0.85       2.40       0.37                      K228500200417 
      0.929      -0.75       1.94       0.20                      K228500200418 
      0.929      -0.65       2.39       0.15                      K228500200419 
      0.929      -0.55       2.18       0.14                      K228500200420 
      0.929      -0.45       2.38       0.13                      K228500200421 
      0.929      -0.35       2.30       0.11                      K228500200422 
      0.929      -0.25       2.33       0.11                      K228500200423 
      0.929      -0.15       1.92       0.09                      K228500200424 
      0.929      -0.05       1.95       0.07                      K228500200425 
      0.929       0.05       1.85       0.08                      K228500200426 
      0.929       0.15       1.49       0.06                      K228500200427 
      0.929       0.25       1.34       0.06                      K228500200428 
      0.929       0.35       1.28       0.05                      K228500200429 
      0.929       0.45       1.23       0.05                      K228500200430 
      0.929       0.55       1.16       0.05                      K228500200431 
      0.929       0.65       1.25       0.05                      K228500200432 
      0.929       0.75       1.27       0.07                      K228500200433 
      0.929       0.85       1.76       0.23                      K228500200434 
      0.943      -0.85       2.57       0.48                      K228500200435 
      0.943      -0.75       2.92       0.32                      K228500200436 
      0.943      -0.65       2.59       0.21                      K228500200437 
      0.943      -0.55       2.39       0.19                      K228500200438 
      0.943      -0.45       2.40       0.16                      K228500200439 
      0.943      -0.35       1.99       0.13                      K228500200440 
      0.943      -0.25       2.23       0.14                      K228500200441 
      0.943      -0.15       1.94       0.12                      K228500200442 
      0.943      -0.05       1.84       0.09                      K228500200443 
      0.943       0.05       1.72       0.09                      K228500200444 
      0.943       0.15       1.54       0.08                      K228500200445 
      0.943       0.25       1.25       0.07                      K228500200446 
      0.943       0.35       1.18       0.06                      K228500200447 
      0.943       0.45       1.17       0.06                      K228500200448 
      0.943       0.55       1.21       0.06                      K228500200449 
      0.943       0.65       1.37       0.07                      K228500200450 
      0.943       0.75       1.43       0.09                      K228500200451 
      0.943       0.85       1.74       0.28                      K228500200452 
      0.956      -0.85       2.30       0.40                      K228500200453 
      0.956      -0.75       2.51       0.26                      K228500200454 
      0.956      -0.65       3.02       0.19                      K228500200455 
      0.956      -0.55       2.55       0.16                      K228500200456 
      0.956      -0.45       2.53       0.14                      K228500200457 
      0.956      -0.35       2.52       0.13                      K228500200458 
      0.956      -0.25       1.90       0.11                      K228500200459 
