ENTRY            41151   19990820                             00004115100000001 
SUBENT        41151001   19990820                             00004115100100001 
BIB                 13         20                                 4115100100002 
TITLE       DETERMINATION OF THE PARAMETERS OF CROSS-SECTIONS     4115100100003 
            RESONANCE STRUCTURE FOR TH-232 IN THE ENERGY RANGE    4115100100004 
            4.65 - 46500 EV                                       4115100100005 
AUTHOR     (YU.V.GRIGOR'EV,G.N.MANTUROV,V.V.SINITSA,G.P.GEORGIEV, 4115100100006 
           B.I.IVANOV,I.A.SIRAKOV,N.B.YANEVA)                     4115100100007 
INSTITUTE  (4RUSFEI)  GRIGOR'EV, MANTUROV, SINITSA                4115100100008 
           (4ZZZDUB)  GEORGIEV, IVANOV, SIRAKOV, YANEVA           4115100100009 
REFERENCE  (R,FEI-2120,199009)   DATA TABLES ARE GIVEN            4115100100010 
FACILITY   (REAC,4ZZZDUB)      FAST PULSE REACTOR IBR-30          4115100100011 
METHOD     (TOF)    FLIGHT BASE IS 59.4 M                         4115100100012 
MONITOR      NOINFORMATION                                        4115100100013 
DETECTOR   (SCIN)   LIQUID SCINTILLATION DETECTOR                 4115100100014 
PART-DET   (G,N)                                                  4115100100015 
SAMPLE      .METALLIC THORIUM DISKS 47 MM IN DIAMETER             4115100100016 
INC-SPECT   .CADMIUM, INDIUM, MANGANESE, TITANUM FILTERS WERE     4115100100017 
            INSERTED IN THE NEUTRON BEAM FOR CORRECTION OF THE    4115100100018 
            NEUTRON SPECTRUM                                      4115100100019 
STATUS      .DATA ARE TAKEN FROM THE REFERENCE                    4115100100020 
HISTORY    (19940607C)  + + COMPILED AT THE CENTRE - CJD + +      4115100100021 
           (19990820A)  . . DATES CORRECTED. NEW SUBENTS ADDED    4115100100022 
ENDBIB              20          0                                 4115100100023 
NOCOMMON             0          0                                 4115100100024 
ENDSUBENT           23          0                                 4115100199999 
SUBENT        41151002   19990820                             00004115100200001 
BIB                  2          5                                 4115100200002 
REACTION   ((90-TH-232(N,TOT),,SIG,,RAW/AV)=                      4115100200003 
           (90-TH-232(N,TOT),,SIF,,AV))   TRANSMISSION = SELF-    4115100200004 
             INDICATION FUNCTION AVERAGED OVER ENERGY INTERVAL    4115100200005 
             GIVEN IN THE DATA TABLE                              4115100200006 
ERR-ANALYS (DATA-ERR)  ERROR IS NOT SPECIFIED                     4115100200007 
ENDBIB               5          0                                 4115100200008 
NOCOMMON             0          0                                 4115100200009 
DATA                 5         72                                 4115100200010 
EN-MAX     EN-MIN     THICKNESS  DATA       DATA-ERR              4115100200011 
   4.65E+04   2.15E+04   2.58E-02   0.675      0.012              4115100300012 
   4.65E+04   2.15E+04   1.3 E-02   0.819      0.01               4115100300013 
   4.65E+04   2.15E+04   6.5 E-03   0.905      0.01               4115100300014 
   2.15E+04   1.0 E+04   2.58E-02   0.541      0.012              4115100300015 
   2.15E+04   1.0 E+04   1.3 E-02   0.809      0.01               4115100300016 
   2.15E+04   1.0 E+04   6.5 E-03   0.908      0.01               4115100300017 
   1.0 E+04   4.65E+03   2.58E-02   0.530      0.012              4115100300018 
   1.0 E+04   4.65E+03   1.3 E-02   0.767      0.01               4115100300019 
   1.0 E+04   4.65E+03   6.5 E-03   0.808      0.01               4115100300020 
   4.65E+03   2.15E+03   2.58E-02   0.531      0.012              4115100300021 
   4.65E+03   2.15E+03   1.3 E-02   0.765      0.01               4115100300022 
   4.65E+03   2.15E+03   6.5 E-03   0.794      0.01               4115100300023 
   2.15E+03   1.0 E+03   2.58E-02   0.414      0.012              4115100300024 
   2.15E+03   1.0 E+03   1.3 E-02   0.612      0.01               4115100300025 
   2.15E+03   1.0 E+03   6.5 E-03   0.638      0.01               4115100300026 
   1.0 E+03   4.65E+02   1.49E-01   0.126      0.02               4115100300027 
   1.0 E+03   4.65E+02   9.76E-02   0.254      0.02               4115100300028 
   1.0 E+03   4.65E+02   5.17E-02   0.475      0.02               4115100300029 
   1.0 E+03   4.65E+02   2.58E-02   0.662      0.012              4115100300030 
   1.0 E+03   4.65E+02   1.3 E-02   0.780      0.01               4115100300031 
   1.0 E+03   4.65E+02   6.5 E-03   0.870      0.01               4115100300032 
   4.65E+02   2.15E+02   1.49E-01   0.137      0.02               4115100300033 
   4.65E+02   2.15E+02   9.76E-02   0.261      0.02               4115100300034 
   4.65E+02   2.15E+02   5.17E-02   0.500      0.02               4115100300035 
   4.65E+02   2.15E+02   2.58E-02   0.711      0.012              4115100300036 
   4.65E+02   2.15E+02   1.3 E-02   0.794      0.01               4115100300037 
   4.65E+02   2.15E+02   6.5 E-03   0.874      0.01               4115100300038 
   2.15E+02   1.0 E+02   1.49E-01   0.132      0.02               4115100300039 
   2.15E+02   1.0 E+02   9.76E-02   0.256      0.02               4115100300040 
   2.15E+02   1.0 E+02   5.17E-03   0.473      0.02               4115100300041 
   2.15E+02   1.0 E+02   2.58E-02   0.674      0.012              4115100300042 
   2.15E+02   1.0 E+02   1.3 E-02   0.785      0.01               4115100300043 
   2.15E+02   1.0 E+02   6.5 E-03   0.859      0.01               4115100300044 
   1.0 E+02   4.65E+01   1.49E-01   0.151      0.02               4115100300045 
   1.0 E+02   4.65E+01   9.76E-02   0.276      0.02               4115100300046 
   1.0 E+02   4.65E+01   5.17E-02   0.487      0.02               4115100300047 
   1.0 E+02   4.65E+01   2.58E-02   0.683      0.01               4115100300048 
   1.0 E+02   4.65E+01   1.3 E-02   0.790      0.01               4115100300049 
   1.0 E+02   4.65E+01   6.5 E-03   0.865      0.01               4115100300050 
   4.65E+01   2.15E+01   1.49E-01   0.121      0.02               4115100300051 
   4.65E+01   2.15E+01   9.76E-02   0.246      0.02               4115100300052 
   4.65E+01   2.15E+01   5.17E-02   0.489      0.02               4115100300053 
   4.65E+01   2.15E+01   2.58E-02   0.650      0.012              4115100300054 
   4.65E+01   2.15E+01   1.3 E-02   0.760      0.01               4115100300055 
   4.65E+01   2.15E+01   6.5 E-03   0.835      0.01               4115100300056 
   2.15E+01   1.0 E+01   1.49E-01   0.163      0.02               4115100300057 
   2.15E+01   1.0 E+01   9.76E-02   0.306      0.02               4115100300058 
   2.15E+01   1.0 E+01   5.17E-03   0.532      0.015              4115100300059 
   2.15E+01   1.0 E+01   2.58E-02   0.733      0.01               4115100300060 
   2.15E+01   1.0 E+01   1.3 E-02   0.850      0.01               4115100300061 
   2.15E+01   1.0 E+01   6.5 E-03   0.919      0.01               4115100300062 
   1.0 E+01   4.65E+00   1.49E-01   0.153      0.02               4115100300063 
   1.0 E+01   4.65E+00   9.76E-02   0.297      0.02               4115100300064 
   1.0 E+01   4.65E+00   5.17E-02   0.511      0.015              4115100300065 
   1.0 E+01   4.65E+00   2.58E-02   0.722      0.01               4115100300066 
   1.0 E+01   4.65E+00   1.3 E-02   0.840      0.01               4115100300067 
   1.0 E+01   4.65E+00   6.5 E-03   0.915      0.01               4115100300068 
ENDDATA             59          0                                 4115100300069 
ENDSUBENT           68          0                                 4115100399999 
SUBENT        41151004   19990820                             00004115100400001 
BIB                  2          3                                 4115100400002 
REACTION   (90-TH-232(N,TOT),,SIG,,AV)   AVERAGED OVER ENERGY     4115100400003 
                             INTERVAL GIVEN IN THE DATA TABLE     4115100400004 
ERR-ANALYS (ERR-T)  TOTAL ERROR                                   4115100400005 
ENDBIB               3          0                                 4115100400006 
NOCOMMON             0          0                                 4115100400007 
DATA                 4         12                                 4115100400008 
EN-MAX     EN-MIN     DATA       ERR-T                            4115100400009 
EV         EV         B          PER-CENT                         4115100400010 
   4.65E+04   2.15E+04   13.9        7.                           4115100400011 
   2.15E+04   1.0 E+04   14.6                                     4115100400012 
   1.0 E+04   4.65E+03   14.8                                     4115100400013 
   4.65E+03   2.15E+03   17.9                                     4115100400014 
   2.15E+03   1.0 E+03   18.5                                     4115100400015 
   1.0 E+03   4.65E+02   27.3       15.                           4115100400016 
   4.65E+02   2.15E+02   50.7                                     4115100400017 
   2.15E+02   1.0 E+02   48.1                                     4115100400018 
   1.0 E+02   4.65E+01   37.1                                     4115100400019 
   4.65E+01   2.15E+01   97.1                                     4115100400020 
   2.15E+01   1.0 E+01   12.3                                     4115100400021 
   1.0 E+01   4.65E+00   12.4       25.                           4115100400022 
ENDDATA             14          0                                 4115100400023 
ENDSUBENT           22          0                                 4115100499999 
ENDENTRY             4          0                                 4115199999999 
