        7.3        40.   1.06E-02   0.03E-02                      40899  2  186 
        7.5         3.   2.36E-02   0.05E-02                      40899  2  187 
        7.5        10.   2.44E-02   0.05E-02                      40899  2  188 
        7.5        20.   1.89E-02   0.04E-02                      40899  2  189 
        7.5        30.   1.23E-02   0.03E-02                      40899  2  190 
        7.5        40.   0.95E-02   0.03E-02                      40899  2  191 
        7.7         3.   2.08E-02   0.06E-02                      40899  2  192 
        7.7        10.   2.15E-02   0.05E-02                      40899  2  193 
        7.7        20.   1.66E-02   0.03E-02                      40899  2  194 
        7.7        30.   1.08E-02   0.02E-02                      40899  2  195 
        7.7        40.   0.84E-02   0.03E-02                      40899  2  196 
        7.9         3.   1.84E-02   0.04E-02                      40899  2  197 
        7.9        10.   1.89E-02   0.05E-02                      40899  2  198 
        7.9        20.   1.47E-02   0.04E-02                      40899  2  199 
        7.9        30.   0.95E-02   0.02E-02                      40899  2  200 
        7.9        40.   0.75E-02   0.03E-02                      40899  2  201 
        8.1         3.   1.62E-02   0.04E-02                      40899  2  202 
        8.1        10.   1.66E-02   0.04E-02                      40899  2  203 
        8.1        20.   1.28E-02   0.03E-02                      40899  2  204 
        8.1        30.   0.83E-02   0.02E-02                      40899  2  205 
        8.1        40.   0.67E-02   0.02E-02                      40899  2  206 
ENDDATA            192          0                                 40899  2  207 
ENDSUBENT          206          0                                 40899  299999 
SUBENT        40899003   20191103                             418440899  3    1 
BIB                  3          9                                 40899  3    2 
REACTION   (98-CF-252(0,F),PR,NU/DA/DE,N+FF/N)     Angular-Energy 40899  3    3 
                 neutron distribution for lab-system in the units 40899  3    4 
                 (NEUTRONS)/Fission/Sterad/MeV * 100.             40899  3    5 
             Divided by 100 by compiler.                          40899  3    6 
            ANG - angle between neutron and axis of fission       40899  3    7 
                  fragments directions.                           40899  3    8 
STATUS     (TABLE) Table of J,YK,,(1),58,1985                     40899  3    9 
HISTORY    (20010319A)  Data heading sequence is changed          40899  3   10 
           (20010328U) Last checking has been done.               40899  3   11 
ENDBIB               9          0                                 40899  3   12 
NOCOMMON             0          0                                 40899  3   13 
DATA                 4        125                                 40899  3   14 
E          ANG-RL     DATA       DATA-ERR                         40899  3   15 
MEV        ADEG       P/FS/MEVSR P/FS/MEVSR                       40899  3   16 
        0.7        50.  23.80E-02   1.69E-02                      40899  3   17 
        0.7        60.  16.77E-02   0.97E-02                      40899  3   18 
        0.7        70.  16.74E-02   0.97E-02                      40899  3   19 
        0.7        80.  16.18E-02   1.29E-02                      40899  3   20 
        0.7        90.  17.28E-02   1.35E-02                      40899  3   21 
        0.9        50.  22.02E-02   0.51E-02                      40899  3   22 
        0.9        60.  16.68E-02   0.50E-02                      40899  3   23 
        0.9        70.  15.96E-02   0.47E-02                      40899  3   24 
        0.9        80.  13.94E-02   0.35E-02                      40899  3   25 
        0.9        90.  14.80E-02   0.37E-02                      40899  3   26 
        1.1        50.  18.90E-02   0.27E-02                      40899  3   27 
        1.1        60.  16.05E-02   0.40E-02                      40899  3   28 
        1.1        70.  14.61E-02   0.35E-02                      40899  3   29 
        1.1        80.  12.32E-02   0.28E-02                      40899  3   30 
        1.1        90.  12.65E-02   0.29E-02                      40899  3   31 
        1.3        50.  16.78E-02   0.44E-02                      40899  3   32 
        1.3        60.  14.94E-02   0.44E-02                      40899  3   33 
        1.3        70.  12.96E-02   0.38E-02                      40899  3   34 
        1.3        80.  10.98E-02   0.28E-02                      40899  3   35 
        1.3        90.  10.74E-02   0.28E-02                      40899  3   36 
        1.5        50.  15.40E-02   0.43E-02                      40899  3   37 
        1.5        60.  13.59E-02   0.38E-02                      40899  3   38 
        1.5        70.  11.28E-02   0.32E-02                      40899  3   39 
        1.5        80.   9.63E-02   0.27E-02                      40899  3   40 
        1.5        90.   9.10E-02   0.26E-02                      40899  3   41 
        1.7        50.  14.08E-02   0.45E-02                      40899  3   42 
        1.7        60.  12.29E-02   0.38E-02                      40899  3   43 
        1.7        70.   9.83E-02   0.30E-02                      40899  3   44 
        1.7        80.   8.44E-02   0.27E-02                      40899  3   45 
        1.7        90.   7.72E-02   0.25E-02                      40899  3   46 
        1.9        50.  12.84E-02   0.43E-02                      40899  3   47 
        1.9        60.  11.02E-02   0.37E-02                      40899  3   48 
        1.9        70.   8.54E-02   0.29E-02                      40899  3   49 
        1.9        80.   7.35E-02   0.26E-02                      40899  3   50 
        1.9        90.   6.55E-02   0.24E-02                      40899  3   51 
        2.1        50.  11.65E-02   0.36E-02                      40899  3   52 
        2.1        60.   9.80E-02   0.34E-02                      40899  3   53 
        2.1        70.   7.38E-02   0.26E-02                      40899  3   54 
        2.1        80.   6.36E-02   0.23E-02                      40899  3   55 
        2.1        90.   5.58E-02   0.20E-02                      40899  3   56 
        2.3        50.  10.47E-02   0.31E-02                      40899  3   57 
        2.3        60.   8.68E-02   0.31E-02                      40899  3   58 
        2.3        70.   6.39E-02   0.23E-02                      40899  3   59 
        2.3        80.   5.50E-02   0.19E-02                      40899  3   60 
        2.3        90.   4.75E-02   0.17E-02                      40899  3   61 
        2.5        50.   9.44E-02   0.24E-02                      40899  3   62 
        2.5        60.   7.65E-02   0.28E-02                      40899  3   63 
        2.5        70.   5.52E-02   0.22E-02                      40899  3   64 
        2.5        80.   4.74E-02   0.15E-02                      40899  3   65 
        2.5        90.   4.06E-02   0.13E-02                      40899  3   66 
        2.7        50.   7.98E-02   0.23E-02                      40899  3   67 
        2.7        60.   6.77E-02   0.27E-02                      40899  3   68 
        2.7        70.   4.80E-02   0.19E-02                      40899  3   69 
        2.7        80.   4.12E-02   0.14E-02                      40899  3   70 
        2.7        90.   3.46E-02   0.12E-02                      40899  3   71 
        2.9        50.   7.71E-02   0.13E-02                      40899  3   72 
        2.9        60.   5.87E-02   0.19E-02                      40899  3   73 
        2.9        70.   4.10E-02   0.13E-02                      40899  3   74 
        2.9        80.   3.50E-02   0.08E-02                      40899  3   75 
        2.9        90.   2.97E-02   0.07E-02                      40899  3   76 
        3.1        50.   6.92E-02   0.08E-02                      40899  3   77 
        3.1        60.   5.12E-02   0.14E-02                      40899  3   78 
        3.1        70.   3.54E-02   0.10E-02                      40899  3   79 
        3.1        80.   2.99E-02   0.05E-02                      40899  3   80 
        3.1        90.   2.53E-02   0.04E-02                      40899  3   81 
        3.3        50.   6.23E-02   0.06E-02                      40899  3   82 
        3.3        60.   4.46E-02   0.11E-02                      40899  3   83 
        3.3        70.   3.03E-02   0.08E-02                      40899  3   84 
        3.3        80.   2.56E-02   0.04E-02                      40899  3   85 
        3.3        90.   2.16E-02   0.03E-02                      40899  3   86 
        3.5        50.   5.60E-02   0.05E-02                      40899  3   87 
        3.5        60.   3.88E-02   0.08E-02                      40899  3   88 
        3.5        70.   2.63E-02   0.06E-02                      40899  3   89 
        3.5        80.   2.19E-02   0.03E-02                      40899  3   90 
        3.5        90.   1.85E-02   0.02E-02                      40899  3   91 
        3.7        50.   5.02E-02   0.06E-02                      40899  3   92 
        3.7        60.   3.37E-02   0.07E-02                      40899  3   93 
