 1826.38     0.07        0.47 E-2   0.04 E-2                      41105  2  143 
 1856.33     0.03        0.95 E-2   0.08 E-2                      41105  2  144 
 1881.2      0.3         0.069E-2   0.007E-2                      41105  2  145 
 1890.2      0.4         0.027E-2   0.006E-2                      41105  2  146 
 1912.75     0.12        0.22 E-2   0.02 E-2                      41105  2  147 
 1942.2      0.3         0.068E-2   0.008E-2                      41105  2  148 
 1951.8      0.3         0.045E-2   0.007E-2                      41105  2  149 
 2011.96     0.08        0.37 E-2   0.03 E-2                      41105  2  150 
 2043.1      0.3         0.106E-2   0.010E-2                      41105  2  151 
 2070.00     0.15        0.146E-2   0.013E-2                      41105  2  152 
 2082.9      0.2         0.092E-2   0.009E-2                      41105  2  153 
 2096.22     0.16        0.178E-2   0.015E-2                      41105  2  154 
 2129.82     0.14        0.25 E-2   0.02 E-2                      41105  2  155 
 2135.37     0.08        0.33 E-2   0.03 E-2                      41105  2  156 
 2161.7      0.3         0.061E-2   0.007E-2                      41105  2  157 
 2198.65     0.09        0.24 E-2   0.02 E-2                      41105  2  158 
 2201.90     0.14        0.082E-2   0.010E-2                      41105  2  159 
 2215.0      0.2         0.075E-2   0.008E-2                      41105  2  160 
 2366.6      0.2         0.146E-2   0.013E-2                      41105  2  161 
 2368.9      0.2         0.071E-2   0.008E-2                      41105  2  162 
 2377.2      0.2         0.131E-2   0.012E-2                      41105  2  163 
 2422.0      0.3         0.137E-2   0.012E-2                      41105  2  164 
 2426.36     0.03        2.34 E-2   0.19 E-2                      41105  2  165 
 2452.3      0.3         0.079E-2   0.008E-2                      41105  2  166 
 2472.2      0.2         0.181E-2   0.015E-2                      41105  2  167 
 2565.4      0.6         0.040E-2   0.010E-2                      41105  2  168 
 2578.6      0.3         0.046E-2   0.006E-2                      41105  2  169 
 2592.6      0.3         0.104E-2   0.010E-2                      41105  2  170 
 2630.3      0.4         0.050E-2   0.006E-2                      41105  2  171 
 2638.7      0.4         0.050E-2   0.006E-2                      41105  2  172 
 2670.6      0.2         0.158E-2   0.014E-2                      41105  2  173 
 2698.9      0.4         0.131E-2   0.012E-2                      41105  2  174 
 2703.31     0.08        0.33 E-2   0.04 E-2                      41105  2  175 
 2718.7      0.3         0.120E-2   0.011E-2                      41105  2  176 
 2774.1      0.6         0.031E-2   0.005E-2                      41105  2  177 
 2781.0      0.5         0.033E-2   0.005E-2                      41105  2  178 
 2806.3      1.2         0.023E-2   0.005E-2                      41105  2  179 
 2831.9      0.3         0.069E-2   0.008E-2                      41105  2  180 
 2846.7      0.3         0.075E-2   0.008E-2                      41105  2  181 
 2875.8      0.4         0.114E-2   0.011E-2                      41105  2  182 
 2885.4      0.7         0.044E-2   0.006E-2                      41105  2  183 
 2898.1      0.5         0.070E-2   0.015E-2                      41105  2  184 
 2942.4      0.4         0.089E-2   0.009E-2                      41105  2  185 
 2952.2      0.5         0.071E-2   0.008E-2                      41105  2  186 
 2962.4      0.3         0.133E-2   0.012E-2                      41105  2  187 
 2985.5      0.4         0.050E-2   0.006E-2                      41105  2  188 
 3024.0      1.0         0.026E-2   0.005E-2                      41105  2  189 
 3034.9      1.1         0.015E-2   0.004E-2                      41105  2  190 
 3041.4      0.4         0.052E-2   0.006E-2                      41105  2  191 
 3070.5      0.5         0.044E-2   0.006E-2                      41105  2  192 
 3076.3      0.3         0.123E-2   0.011E-2                      41105  2  193 
 3103.4      0.5         0.042E-2   0.006E-2                      41105  2  194 
 3109.3      0.3         0.060E-2   0.007E-2                      41105  2  195 
 3129.0      0.4         0.080E-2   0.008E-2                      41105  2  196 
 3137.8      0.5         0.052E-2   0.006E-2                      41105  2  197 
 3154.4      0.5         0.076E-2   0.008E-2                      41105  2  198 
 3214.39     0.13        0.53 E-2   0.04 E-2                      41105  2  199 
 3227.8      0.2         0.119E-2   0.011E-2                      41105  2  200 
 3264.59     0.13        0.37 E-2   0.03 E-2                      41105  2  201 
 3270.9      0.4         0.031E-2   0.005E-2                      41105  2  202 
 3279.8      0.5         0.040E-2   0.006E-2                      41105  2  203 
 3333.7      0.4         0.087E-2   0.009E-2                      41105  2  204 
 3356.1      0.6         0.058E-2   0.006E-2                      41105  2  205 
 3378.2      0.7         0.035E-2   0.005E-2                      41105  2  206 
 3396.3      0.7         0.056E-2   0.006E-2                      41105  2  207 
 3410.4      0.2         0.199E-2   0.017E-2                      41105  2  208 
 3431.9      0.5         0.033E-2   0.005E-2                      41105  2  209 
 3475.9      0.7         0.045E-2   0.006E-2                      41105  2  210 
 3490.13     0.14        0.27 E-2   0.02 E-2                      41105  2  211 
 3583.6      0.4         0.107E-2   0.010E-2                      41105  2  212 
 3643.3      0.6         0.080E-2   0.009E-2                      41105  2  213 
 3697.3      0.4         0.23 E-2   0.02 E-2                      41105  2  214 
 3710.4      0.4         0.157E-2   0.014E-2                      41105  2  215 
 3751.8      0.4         0.085E-2   0.008E-2                      41105  2  216 
 3762.0      0.4         0.123E-2   0.011E-2                      41105  2  217 
 3774.1      0.8         0.022E-2   0.005E-2                      41105  2  218 
 3810.3      0.5         0.068E-2   0.007E-2                      41105  2  219 
 3864.0      0.7         0.063E-2   0.007E-2                      41105  2  220 
 3872.7      1.0         0.027E-2   0.005E-2                      41105  2  221 
 3963.0      0.6         0.065E-2   0.007E-2                      41105  2  222 
 4014.3      0.8         0.061E-2   0.007E-2                      41105  2  223 
 4043.9      0.8         0.024E-2   0.005E-2                      41105  2  224 
 4075.3      0.8         0.076E-2   0.008E-2                      41105  2  225 
ENDDATA            204          0                                 41105  2  226 
ENDSUBENT          225          0                                 41105  299999 
SUBENT        41105003   20210415                             419541105  3    1 
BIB                  4          8                                 41105  3    2 
REACTION   (50-SN-124(N,INL)50-SN-124,PAR,DA,G,LEG/RS/SPA)        41105  3    3 
ERR-ANALYS (DATA-ERR) Uncertainties for 68.% ( one sigma)         41105  3    4 
            confidence interval.                                  41105  3    5 
            Type of uncertainty is not explained in the article.  41105  3    6 
STATUS     (TABLE) Table 2 (col.3,8,9) of                         41105  3    7 
           Izv.Rossiiskoi Akademii Nauk,Ser.Fiz.,                 41105  3    8 
           v.54,iss.11,p.2126,1990                                41105  3    9 
HISTORY    (20210415A) NUMBER 1/2 were moved in DATA block.       41105  3   10 
ENDBIB               8          0                                 41105  3   11 
NOCOMMON             0          0                                 41105  3   12 
DATA                 5        178                                 41105  3   13 
NUMBER     E          E-ERR      DATA       DATA-ERR              41105  3   14 
NO-DIM     KEV        KEV        NO-DIM     NO-DIM                41105  3   15 
 2.          102.91      0.02    -0.053       0.005               41105  3   16 
 2.          120.39      0.03     0.08        0.02                41105  3   17 
 2.          133.52      0.13    -0.11        0.06                41105  3   18 
 2.          150.3       0.2     -0.30        0.15                41105  3   19 
 2.          234.95      0.07     0.04        0.04                41105  3   20 
 2.          243.13      0.03    -0.23        0.03                41105  3   21 
 2.          249.72      0.02    -0.21        0.02                41105  3   22 
 2.          253.42      0.04    -0.10        0.06                41105  3   23 
 2.          355.75      0.12     0.27        0.08                41105  3   24 
 2.          363.52      0.03    -0.240       0.012               41105  3   25 
 2.          373.75      0.13    -0.08        0.05                41105  3   26 
 2.          385.38      0.05     0.22        0.02                41105  3   27 
 2.          409.83      0.02    -0.165       0.006               41105  3   28 
 2.          497.16      0.02     0.394       0.009               41105  3   29 
 2.          531.1       0.2      0.24        0.08                41105  3   30 
 2.          548.43      0.02     0.280       0.008               41105  3   31 
