ENTRY            40857   20231226                             421640857  0    1 
SUBENT        40857001   20231226                             421640857  1    1 
BIB                  8         18                                 40857  1    2 
TITLE       Gamma-ray spectra from the U-238(n,g)U-239 reaction   40857  1    3 
            arising at capture of neutrons with average energy    40857  1    4 
            2., 24 and 55. keV                                    40857  1    5 
AUTHOR     (A.V.Murzin,V.A.Libman,I.V.Kononenko,N.A.Lubchenko,    40857  1    6 
           I.N.Kharakoz)                                          40857  1    7 
REFERENCE  ((C,83KIEV,2,313,1983)=                                40857  1    8 
           (R,INDC(CCP)-235,(2),313,1983))                        40857  1    9 
INSTITUTE  (4UKRIJD)                                              40857  1   10 
DETECTOR   (GELI)                                                 40857  1   11 
           (NAICR)                                                40857  1   12 
SAMPLE       Metallic U-238, U-235 content is 0.3 %.              40857  1   13 
ERR-ANALYS (DATA-ERR) Type of uncertainty is not explained in the 40857  1   14 
            article.                                              40857  1   15 
HISTORY    (19850504C)                                            40857  1   16 
           (19851225A) New SUBENT introduced                      40857  1   17 
           (20231226A) Ref. INDC(CCP)-235,(2),313,1983 was added. 40857  1   18 
            Upper -> lower case correction .                      40857  1   19 
            Dates were corrected for 4-digits year.               40857  1   20 
ENDBIB              18          0                                 40857  1   21 
NOCOMMON             0          0                                 40857  1   22 
ENDSUBENT           21          0                                 40857  199999 
SUBENT        40857002   20231226                             421640857  2    1 
BIB                  5          8                                 40857  2    2 
REACTION   (92-U-238(N,G)92-U-239,,SPC,,REL/AV) Averaged over     40857  2    3 
                    resonances, reference value - U-232+U-233     40857  2    4 
MONITOR    (92-U-232(N,G)92-U-233,,SPC)                           40857  2    5 
METHOD      Method of scandium, iron and silicon filters          40857  2    6 
STATUS     (TABLE) From author.                                   40857  2    7 
           (PRELM) Murzin, 1984-05                                40857  2    8 
EN-SEC     (E,G) Energy entry in table is difference between the  40857  2    9 
                 gamma-ray and incident neutron energies          40857  2   10 
ENDBIB               8          0                                 40857  2   11 
COMMON               1          3                                 40857  2   12 
E-NRM                                                             40857  2   13 
KEV                                                               40857  2   14 
 2615.                                                            40857  2   15 
ENDCOMMON            3          0                                 40857  2   16 
DATA                 5        112                                 40857  2   17 
EN         E          E-LVL-FIN  DATA       DATA-ERR              40857  2   18 
  2.        3440.     1366.         552.       55.                40857  2   61 
  2.        3370.     1437.         472.       44.                40857  2   62 
  2.        3362.     1444.         629.       44.                40857  2   63 
  24.       4806.       0.         398.       32.                 40857  2   64 
  24.       4673.      134.        652.       32.                 40857  2   65 
  24.       4661.      146.        614.       31.                 40857  2   66 
  24.       4613.      194.        327.       31.                 40857  2   67 
  24.       4268.      540.         31.       17.                 40857  2   68 
  24.       4119.      688.        317.       34.                 40857  2   69 
  24.       4091.      716.        175.       25.                 40857  2   70 
  24.       4080.      726.        213.       27.                 40857  2   71 
  24.       4069.      738.        290.       31.                 40857  2   72 
  24.       4061.      746.        263.       30.                 40857  2   73 
  24.       4050.      757.        150.       21.                 40857  2   74 
  24.       3992.      815.        202.       28.                 40857  2   75 
  24.       3983.      824.        239.       30.                 40857  2   76 
  24.       3953.      853.        221.       36.                 40857  2   77 
  24.       3918.      888.        110.       17.                 40857  2   78 
  24.       3913.      893.         59.       17.                 40857  2   79 
  24.       3874.      933.        130.       16.                 40857  2   80 
  24.       3869.      938.         24.       16.                 40857  2   81 
  24.       3845.      962.        125.       34.                 40857  2   82 
  24.       3841.      966.        209.       34.                 40857  2   83 
  24.       3826.      981.         84.       24.                 40857  2   84 
  24.       3818.      989.        175.       25.                 40857  2   85 
  24.       3801.     1006.         52.       25.                 40857  2   86 
  24.       3744.     1062.         90.       18.                 40857  2   87 
  24.       3740.     1067.         76.       18.                 40857  2   88 
  24.       3655.     1150.        276.       22.                 40857  2   89 
  24.       3639.     1168.         46.       19.                 40857  2   90 
  24.       3612.     1195.        181.       19.                 40857  2   91 
  24.       3602.     1206.         64.       23.                 40857  2   92 
  24.       3584.     1223.        307.       26.                 40857  2   93 
  24.       3573.     1233.        287.       26.                 40857  2   94 
  24.       3565.     1241.        225.       27.                 40857  2   95 
  24.       3546.     1260.         68.       26.                 40857  2   96 
  24.       3537.     1269.        141.       24.                 40857  2   97 
  24.       3530.     1277.         79.       29.                 40857  2   98 
  24.       3448.     1358.        212.       29.                 40857  2   99 
  24.       3440.     1366.        154.       26.                 40857  2  100 
  55.       4806.       0.         268.       34.                 40857  2  101 
  55.       4673.      134.          397.       26.               40857  2  102 
  55.       4661.      146.          287.       21.               40857  2  103 
  55.       4613.      194.          237.       26.               40857  2  104 
  55.       4268.      540.           51.       18.               40857  2  105 
  55.       4119.      688.          276.       84.               40857  2  106 
  55.       4091.      716.          116.       23.               40857  2  107 
  55.       4080.      726.          139.       22.               40857  2  108 
  55.       4069.      738.          200.       23.               40857  2  109 
  55.       4061.      746.           74.       21.               40857  2  110 
  55.       4050.      757.           33.       23.               40857  2  111 
  55.       3992.      815.           86.       26.               40857  2  112 
  55.       3983.      824.           78.       25.               40857  2  113 
  55.       3953.      853.          110.       25.               40857  2  114 
  55.       3918.      888.           84.       24.               40857  2  115 
  55.       3913.      893.           98.       27.               40857  2  116 
  55.       3869.      938.          174.       27.               40857  2  117 
  55.       3826.      981.          130.       27.               40857  2  118 
  55.       3818.      989.          115.       29.               40857  2  119 
  55.       3801.     1006.           88.       18.               40857  2  120 
  55.       3744.     1062.           27.       19.               40857  2  121 
  55.       3740.     1067.          175.       25.               40857  2  122 
  55.       3655.     1150.           32.       27.               40857  2  123 
  55.       3639.     1168.          166.       25.               40857  2  124 
  55.       3612.     1195.           40.       28.               40857  2  125 
  55.       3602.     1206.          185.       26.               40857  2  126 
  55.       3584.     1223.           97.       25.               40857  2  127 
  55.       3573.     1233.          151.       28.               40857  2  128 
  55.       3565.     1241.           71.       25.               40857  2  129 
  55.       3546.     1260.          165.       22.               40857  2  130 
  55.       3537.     1269.          105.       25.               40857  2  131 
ENDDATA            114          0                                 40857  2  132 
ENDSUBENT          131          0                                 40857  299999 
SUBENT        40857003   20231226                             421640857  3    1 
BIB                  5         16                                 40857  3    2 
REACTION   (92-U-238(N,G)92-U-239,,SIG,,RTE/AV) Averaged over     40857  3    3 
                                                resonances        40857  3    4 
MONITOR    (5-B-10(N,A)3-LI-7,,SIG)                               40857  3    5 
            Uranium activation cross-section was measured relative40857  3    6 
           to B10(n,alpha+gamma)Li7 reaction cross-section.       40857  3    7 
ASSUMED    (ASSUM1,92-U-238(N,G),,WID)  For s-wave gammas         40857  3    8 
           (ASSUM2,92-U-238(N,0),,STF)  For L=0                   40857  3    9 
           (ASSUM3,92-U-238(N,G),,WID)  For p-wave gammas         40857  3   10 
           (ASSUM4,92-U-238(N,0),,STF)  For L=1                   40857  3   11 
           (ASSUM,92-U-238(N,G),,WID)  For d-wave gammas          40857  3   12 
STATUS     (CURVE,,A.V.Murzin+,R,INDC(CCP)-235,(2),313,1983)      40857  3   13 
            Fig.2                                                 40857  3   14 
HISTORY    (20231226A) ASSUM1,2,3 : 2.3E-01 milli-eV -> 0.023 eV  40857  3   15 
            as given in the article, page 317.                    40857  3   16 
           MONITOR was corrected:                                 40857  3   17 
            5-B-10(N,A+G)3-LI-7,,SPC -> 5-B-10(N,A)3-LI-7,,SIG    40857  3   18 
ENDBIB              16          0                                 40857  3   19 
COMMON               5          3                                 40857  3   20 
ASSUM1     ASSUM2     ASSUM3     ASSUM4     ASSUM                 40857  3   21 
EV         NO-DIM     EV         NO-DIM     EV                    40857  3   22 
 0.023      1.1   E-04 0.023      2.2   E-04 0.023                40857  3   23 
ENDCOMMON            3          0                                 40857  3   24 
DATA                 3          3                                 40857  3   25 
EN         DATA       DATA-ERR                                    40857  3   26 
KEV        B*RT-EV    B*RT-EV                                     40857  3   27 
 2.         6.7000E+01 5.0000E+00                                 40857  3   28 
 24.        6.5000E+01 5.0000E+00                                 40857  3   29 
 55.        6.0000E+01 6.0000E+00                                 40857  3   30 
ENDDATA              5          0                                 40857  3   31 
ENDSUBENT           30          0                                 40857  399999 
SUBENT        40857004   20231226                             421640857  4    1 
BIB                  4          6                                 40857  4    2 
REACTION   (92-U-238(N,G)92-U-239,,SPC,,REL) Relative to H(n,g)   40857  4    3 
                and FE-56(n,g) intensity                          40857  4    4 
SAMPLE      U-235 content is .4 %.                                40857  4    5 
STATUS     (TABLE) From the author.                               40857  4    6 
           (APRVD)  Murzin, 1985-12                               40857  4    7 
EN-SEC     (E,G)                                                  40857  4    8 
ENDBIB               6          0                                 40857  4    9 
NOCOMMON             0          0                                 40857  4   10 
DATA                 7        112                                 40857  4   11 
EN         EN-RSL-FW  E          E-RSL      E-LVL-FIN  DATA       40857  4   12 
DATA-ERR                                                          40857  4   13 
KEV        KEV        KEV        KEV        KEV        ARB-UNITS  40857  4   14 
ARB-UNITS                                                         40857  4   15 
  2.         .7       4807.3      .2          0.0        1468.    40857  4   16 
  71.                                                             40857  4   17 
  2.         .7       4674.0      .1          133.3      2046.    40857  4   18 
  60.                                                             40857  4   19 
  2.         .7       4662.0      .1          145.3      1881.    40857  4   20 
  57.                                                             40857  4   21 
  2.         .7       4613.6      .2          193.7       834.    40857  4   22 
  52.                                                             40857  4   23 
  2.         .7       4267.6      .6          539.7       159.    40857  4   24 
  53.                                                             40857  4   25 
  2.         .7       4120.1      .2          687.2      1000.    40857  4   26 
  72.                                                             40857  4   27 
  2.         .7       4092.5      .3          714.8       816.    40857  4   28 
  56.                                                             40857  4   29 
  2.         .7       4080.9      .2          726.4      1057.    40857  4   30 
  63.                                                             40857  4   31 
  2.         .7       4069.2      .1          738.1      2334.    40857  4   32 
  82.                                                             40857  4   33 
  2.         .7       4061.5      .1          745.8      2685.    40857  4   34 
  89.                                                             40857  4   35 
  2.         .7       4050.9      .1          756.4       326.    40857  4   36 
  34.                                                             40857  4   37 
  2.         .7       4020.3      .12         787.0       102.    40857  4   38 
  34.                                                             40857  4   39 
  2.         .7       4009.4      .12         797.9        92.    40857  4   40 
  35.                                                             40857  4   41 
  2.         .7       3992.6      .1          814.7      2380.    40857  4   42 
  63.                                                             40857  4   43 
  2.         .7       3984.0      .1          823.3      2190.    40857  4   44 
  63.                                                             40857  4   45 
  2.         .7       3954.6      .2          852.7       963.    40857  4   46 
  66.                                                             40857  4   47 
  2.         .7       3920.4      .4          886.9       369.    40857  4   48 
  33.                                                             40857  4   49 
  2.         .7       3914.4      .6          892.9       213.    40857  4   50 
  32.                                                             40857  4   51 
  2.         .7       3875.3      .2          932.0      1314.    40857  4   52 
  46.                                                             40857  4   53 
  2.         .7       3868.9      .12         938.4       143.    40857  4   54 
  42.                                                             40857  4   55 
  2.         .7       3846.5      .4          960.8      1368.    40857  4   56 
 210.                                                             40857  4   57 
  2.         .7       3842.8      .4          964.5      1177.    40857  4   58 
 212.                                                             40857  4   59 
  2.         .7       3826.0      .2          981.3       135.    40857  4   60 
  35.                                                             40857  4   61 
  2.         .7       3817.3      .2          990.0      1110.    40857  4   62 
  48.                                                             40857  4   63 
  2.         .7       3801.7      .4         1005.6       340.    40857  4   64 
  35.                                                             40857  4   65 
  2.         .7       3746.7      .8         1060.6       243.    40857  4   66 
  66.                                                             40857  4   67 
  2.         .7       3741.3      .3         1066.0       690.    40857  4   68 
  78.                                                             40857  4   69 
  2.         .7       3655.2      .2         1152.1      1604.    40857  4   70 
  93.                                                             40857  4   71 
  2.         .7       3640.6      .4         1166.7       630.    40857  4   72 
  62.                                                             40857  4   73 
  2.         .7       3612.0      .2         1195.3      1804.    40857  4   74 
 100.                                                             40857  4   75 
  2.         .7       3601.6      .5         1205.7       498.    40857  4   76 
  59.                                                             40857  4   77 
  2.         .7       3584.0      .1         1223.3      3267.    40857  4   78 
 126.                                                             40857  4   79 
  2.         .7       3573.3      .3         1234.0      1377.    40857  4   80 
 105.                                                             40857  4   81 
  2.         .7       3565.8      .2         1241.5      2053.    40857  4   82 
 122.                                                             40857  4   83 
  2.         .7       3546.9      .4         1260.4       529.    40857  4   84 
  66.                                                             40857  4   85 
  2.         .7       3537.8      .4         1269.5       785.    40857  4   86 
  84.                                                             40857  4   87 
  2.         .7       3530.4      .4         1276.9       701.    40857  4   88 
  80.                                                             40857  4   89 
  2.         .7       3502.3      .2         1305.0       866.    40857  4   90 
  55.                                                             40857  4   91 
  2.         .7       3489.1      .2         1318.2      2199.    40857  4   92 
 104.                                                             40857  4   93 
  2.         .7       3483.6      .2         1323.7      2036.    40857  4   94 
 123.                                                             40857  4   95 
  2.         .7       3448.4      .2         1358.9      1167.    40857  4   96 
  76.                                                             40857  4   97 
  2.         .7       3440.8      .3         1366.5       552.    40857  4   98 
  55.                                                             40857  4   99 
  2.         .7       3370.1      .3         1437.2       472.    40857  4  100 
  44.                                                             40857  4  101 
  2.         .7       3362.5      .3         1444.8     629.      40857  4  102 
 44.                                                              40857  4  103 
 24.         2.       4807.3      .2          0.0        398.     40857  4  104 
      32.                                                         40857  4  105 
 24.         2.       4674.0      .1          133.3      652.     40857  4  106 
      32.                                                         40857  4  107 
 24.         2.       4662.0      .1          145.3      614.     40857  4  108 
      31.                                                         40857  4  109 
 24.         2.       4613.6      .2          193.7      327.     40857  4  110 
      31.                                                         40857  4  111 
 24.         2.       4267.6      .6          539.7       31.     40857  4  112 
      17.                                                         40857  4  113 
 24.         2.       4120.1      .2          687.2      317.     40857  4  114 
      34.                                                         40857  4  115 
 24.         2.       4092.5      .3          714.8      175.     40857  4  116 
      25.                                                         40857  4  117 
 24.         2.       4080.9      .2          726.4      213.     40857  4  118 
      27.                                                         40857  4  119 
 24.         2.       4069.2      .1          738.1      290.     40857  4  120 
      31.                                                         40857  4  121 
 24.         2.       4061.5      .1          745.8      263.     40857  4  122 
      30.                                                         40857  4  123 
 24.         2.       4050.9      .1          756.4      150.     40857  4  124 
      21.                                                         40857  4  125 
 24.         2.       3992.6      .1          814.7      202.     40857  4  126 
      28.                                                         40857  4  127 
 24.         2.       3984.0      .1          823.3      239.     40857  4  128 
      30.                                                         40857  4  129 
 24.         2.       3954.6      .2          852.7      221.     40857  4  130 
      36.                                                         40857  4  131 
 24.         2.       3920.4      .4          886.9      110.     40857  4  132 
      17.                                                         40857  4  133 
 24.         2.       3914.4      .6          892.9       50.     40857  4  134 
      17.                                                         40857  4  135 
 24.         2.       3875.3      .2          932.0      130.     40857  4  136 
      16.                                                         40857  4  137 
 24.         2.       3868.9      .12         938.4       24.     40857  4  138 
      16.                                                         40857  4  139 
 24.         2.       3846.5      .4          960.8      125.     40857  4  140 
      34.                                                         40857  4  141 
 24.         2.       3842.8      .4          964.5      209.     40857  4  142 
      34.                                                         40857  4  143 
 24.         2.       3826.0      .2          981.3       84.     40857  4  144 
      24.                                                         40857  4  145 
 24.         2.       3817.3      .2          990.0      175.     40857  4  146 
      25.                                                         40857  4  147 
 24.         2.       3801.7      .4         1005.6       52.     40857  4  148 
      25.                                                         40857  4  149 
 24.         2.       3746.7      .8         1060.6       90.     40857  4  150 
      18.                                                         40857  4  151 
 24.         2.       3741.3      .3         1066.0       76.     40857  4  152 
      18.                                                         40857  4  153 
 24.         2.       3655.2      .2         1152.1      276.     40857  4  154 
      22.                                                         40857  4  155 
 24.         2.       3640.6      .4         1166.7       46.     40857  4  156 
      19.                                                         40857  4  157 
 24.         2.       3612.0      .2         1195.3      181.     40857  4  158 
      19.                                                         40857  4  159 
 24.         2.       3601.6      .5         1205.7       64.     40857  4  160 
      23.                                                         40857  4  161 
 24.         2.       3584.0      .1         1223.3      307.     40857  4  162 
      26.                                                         40857  4  163 
 24.         2.       3573.3      .3         1234.0      287.     40857  4  164 
      26.                                                         40857  4  165 
 24.         2.       3565.8      .2         1241.5      225.     40857  4  166 
      27.                                                         40857  4  167 
 24.         2.       3546.9      .4         1260.4       68.     40857  4  168 
      26.                                                         40857  4  169 
 24.         2.       3537.8      .4         1269.5      141.     40857  4  170 
      24.                                                         40857  4  171 
 24.         2.       3530.4      .4         1276.9       79.     40857  4  172 
      29.                                                         40857  4  173 
 24.         2.       3448.4      .2         1358.9      212.     40857  4  174 
      29.                                                         40857  4  175 
 24.         2.       3440.8      .3         1366.5      154.     40857  4  176 
      25.                                                         40857  4  177 
 55.         2.       4807.3      .2          0.0          268.   40857  4  178 
      34.                                                         40857  4  179 
 55.         2.       4674.0      .1          133.3        397.   40857  4  180 
      26.                                                         40857  4  181 
 55.         2.       4662.0      .1          145.3        287.   40857  4  182 
      21.                                                         40857  4  183 
 55.         2.       4613.6      .2          193.7        237.   40857  4  184 
      26.                                                         40857  4  185 
 55.         2.       4267.6      .6          539.7         51.   40857  4  186 
      18.                                                         40857  4  187 
 55.         2.       4120.1      .2          687.2        276.   40857  4  188 
      84.                                                         40857  4  189 
 55.         2.       4092.5      .3          714.8        116.   40857  4  190 
      23.                                                         40857  4  191 
 55.         2.       4080.9      .2          726.4        139.   40857  4  192 
      22.                                                         40857  4  193 
 55.         2.       4069.2      .1          738.1        200.   40857  4  194 
      23.                                                         40857  4  195 
 55.         2.       4061.5      .1          745.8         74.   40857  4  196 
      21.                                                         40857  4  197 
 55.         2.       4050.9      .1          756.4         33.   40857  4  198 
      23.                                                         40857  4  199 
 55.         2.       3992.6      .1          814.7         86.   40857  4  200 
      26.                                                         40857  4  201 
 55.         2.       3984.0      .1          823.3         78.   40857  4  202 
      25.                                                         40857  4  203 
 55.         2.       3954.6      .2          852.7        110.   40857  4  204 
      25.                                                         40857  4  205 
 55.         2.       3920.4      .4          886.9         84.   40857  4  206 
      24.                                                         40857  4  207 
 55.         2.       3875.3      .2          932.0         98.   40857  4  208 
      27.                                                         40857  4  209 
 55.         2.       3846.5      .4          960.8        174.   40857  4  210 
      27.                                                         40857  4  211 
 55.         2.       3817.3      .2          990.0        130.   40857  4  212 
      27.                                                         40857  4  213 
 55.         2.       3801.7      .4         1005.6        115.   40857  4  214 
      29.                                                         40857  4  215 
 55.         2.       3746.7      .8         1060.6         88.   40857  4  216 
      18.                                                         40857  4  217 
 55.         2.       3741.3      .3         1066.0         27.   40857  4  218 
      19.                                                         40857  4  219 
 55.         2.       3655.2      .2         1152.1        175.   40857  4  220 
      25.                                                         40857  4  221 
 55.         2.       3640.6      .4         1166.7         32.   40857  4  222 
      27.                                                         40857  4  223 
 55.         2.       3612.0      .2         1195.3        166.   40857  4  224 
      25.                                                         40857  4  225 
 55.         2.       3601.6      .5         1205.7         40.   40857  4  226 
      28.                                                         40857  4  227 
 55.         2.       3584.0      .1         1223.3        185.   40857  4  228 
      26.                                                         40857  4  229 
 55.         2.       3573.3      .3         1234.0         97.   40857  4  230 
      25.                                                         40857  4  231 
 55.         2.       3565.8      .2         1241.5        151.   40857  4  232 
      28.                                                         40857  4  233 
 55.         2.       3546.9      .4         1260.4         71.   40857  4  234 
      25.                                                         40857  4  235 
 55.         2.       3537.8      .4         1269.5        165.   40857  4  236 
      22.                                                         40857  4  237 
 55.         2.       3530.4      .4         1276.9        105.   40857  4  238 
      25.                                                         40857  4  239 
ENDDATA            228          0                                 40857  4  240 
ENDSUBENT          239          0                                 40857  499999 
ENDENTRY             4          0                                 4085799999999 
