EN         EN-RSL     E          DATA       ERR-T                 4115500200015 
MEV        MEV        MEV        MB/MEV     MB/MEV                4115500200016 
  5.98      0.06        .6        1187.       72.                 4115500500035 
  5.98      0.06        .8        1061.       64.                 4115500500036 
  5.98      0.06       1.0         932.       56.                 4115500500037 
  5.98      0.06       1.2         828.       50.                 4115500500038 
  5.98      0.06       1.4         701.       42.                 4115500500039 
  5.98      0.06       1.6         591.       36.                 4115500500040 
  5.98      0.06       1.8         491.       30.                 4115500500041 
  5.98      0.06       2.0         406.       25.                 4115500500042 
  5.98      0.06       2.2         330.       20.                 4115500500043 
  5.98      0.06       2.4         275.       17.                 4115500500044 
  5.98      0.06       2.6         230.       14.                 4115500500045 
  5.98      0.06       2.8         212.       13.                 4115500500046 
  5.98      0.06       3.0         177.       11.                 4115500500047 
  5.98      0.06       3.2         151.        9.                 4115500500048 
  5.98      0.06       3.4         141.        9.                 4115500500049 
  5.98      0.06       3.6         124.        8.                 4115500500050 
  5.98      0.06       3.8         103.        7.                 4115500500051 
  5.98      0.06       4.0          83.        6.                 4115500500052 
  5.98      0.06       4.2          77.        5.                 4115500500053 
  5.98      0.06       4.4          74.        6.                 4115500500054 
  5.98      0.06       4.6          76.        6.                 4115500500055 
  5.98      0.06       4.8          94.        8.                 4115500500056 
  5.98      0.06       5.0         108.       10.                 4115500500057 
  5.98      0.06       5.2          98.       11.                 4115500500058 
  6.98      0.05        .6        1220.       75.                 4115500500059 
  6.98      0.05        .8        1034.       62.                 4115500500060 
  6.98      0.05       1.0         909.       55.                 4115500500061 
  6.98      0.05       1.2         799.       48.                 4115500500062 
  6.98      0.05       1.4         685.       41.                 4115500500063 
  6.98      0.05       1.6         573.       35.                 4115500500064 
  6.98      0.05       1.8         483.       29.                 4115500500065 
  6.98      0.05       2.0         402.       24.                 4115500500066 
  6.98      0.05       2.2         354.       22.                 4115500500067 
  6.98      0.05       2.4         295.       18.                 4115500500068 
  6.98      0.05       2.6         246.       15.                 4115500500069 
  6.98      0.05       2.8         205.       13.                 4115500500070 
  6.98      0.05       3.0         168.       11.                 4115500500071 
  6.98      0.05       3.2         140.        9.                 4115500500072 
  6.98      0.05       3.4         121.        8.                 4115500500073 
  6.98      0.05       3.6         112.        7.                 4115500500074 
  6.98      0.05       3.8         109.        8.                 4115500500075 
  6.98      0.05       4.0          95.        7.                 4115500500076 
  6.98      0.05       4.2          89.        6.                 4115500500077 
  6.98      0.05       4.4          94.        7.                 4115500500078 
  6.98      0.05       4.6          91.        6.                 4115500500079 
  6.98      0.05       4.8          83.        6.                 4115500500080 
  6.98      0.05       5.0          73.        5.                 4115500500081 
  6.98      0.05       5.2          67.        5.                 4115500500082 
  6.98      0.05       5.4          68.        5.                 4115500500083 
  6.98      0.05       5.6          80.        6.                 4115500500084 
  6.98      0.05       5.8         104.        7.                 4115500500085 
