ENTRY            V0039   20110211                             V028V003900000001 
SUBENT        V0039001   20110211                             V028V003900100001 
BIB                  6          8                                 V003900100002 
TITLE      Review of experimental data of Pu-239 fast neutron     V003900100003 
            scattering cross-sections                             V003900100004 
AUTHOR     (Shi Zhao-Min)                                         V003900100005 
INSTITUTE  (3CPRBJG)                                              V003900100006 
REFERENCE  (R,HSJ-77123,197908) in Chinese                        V003900100007 
METHOD     Evaluation                                             V003900100008 
HISTORY    (19840626C) KO.                                        V003900100009 
           (20110211A) On. Upper to lower cases, 4 digits year    V003900100010 
ENDBIB               8          0                                 V003900100011 
NOCOMMON             0          0                                 V003900100012 
ENDSUBENT           11          0                                 V003900199999 
SUBENT        V0039002   20110211                             V028V003900200001 
BIB                  5         17                                 V003900200002 
REACTION   (94-PU-239(N,EL)94-PU-239,,DA,,LEG/RSL,EVAL)           V003900200003 
ERR-ANALYS (DATA-ERR) Standard deviation                          V003900200004 
REL-REF    (E,20136001,H.H.Knitter+,J,ZP,228,286,196907)          V003900200005 
           (E,,R.C.Allen,J,PR,104,731,195611)  SUPERSEDED.        V003900200006 
           (E,12207015,R.C.Allen,J,NSE,2,787,195711)              V003900200007 
           (E,12373001,L.Cranberg,R,LA-2177,195906)               V003900200008 
           (E,,L.Cranberg,J,PR,103,343,1956)                      V003900200009 
           (E,,L.Cranberg,R,WASH-192,26,1957)                     V003900200010 
           (E,,L.Cranberg,R,WASH-745,20,1957)                     V003900200011 
           (E,20392002,M.Coppola+,J,ZP,232,286,197002)            V003900200012 
           (E,,J.I.Kammerdiener,R,UCRL-51232,197207)              V003900200013 
           (E,10212004,A.Smith+,J,JNE,27,217,197305)              V003900200014 
           (E,20036001,R.Batchelor+,R,AWRE-O-55/69,196908)        V003900200015 
            BNL-50388(1973), BNL-400(1970), KFK-750(1968),        V003900200016 
            GEAP-5272(1966), UNC-5099(1969) were referred.        V003900200017 
STATUS     (TABLE) Table 8 of report HSJ-77123                    V003900200018 
HISTORY    (20110211U) On. STATUS: TABLE added                    V003900200019 
ENDBIB              17          0                                 V003900200020 
NOCOMMON             0          0                                 V003900200021 
DATA                 4        132                                 V003900200022 
 4.5       5.           0.3081E+0  0.4455E-2                      V003900200104 
 4.5       6.           0.1899E+0  0.3806E-2                      V003900200105 
 4.5       7.           0.1093E+0  0.3325E-2                      V003900200106 
 4.5       8.           0.5973E-1  0.2984E-2                      V003900200107 
 4.5       9.           0.2623E-1  0.2967E-2                      V003900200108 
 4.5       10.          0.1095E-1  0.3131E-2                      V003900200109 
 4.5       11.          0.3694E-2  0.2928E-2                      V003900200110 
 4.5       12.          0.2946E-2  0.1790E-2                      V003900200111 
 4.5       13.          0.2558E-2  0.8367E-3                      V003900200112 
 5.0       1.           0.8034E+0  0.1610E-1                      V003900200113 
 5.0       2.           0.6642E+0  0.1429E-1                      V003900200114 
 5.0       3.           0.5479E+0  0.1218E-1                      V003900200115 
 5.0       4.           0.4372E+0  0.1016E-1                      V003900200116 
 5.0       5.           0.3229E+0  0.8487E-2                      V003900200117 
 5.0       6.           0.1982E+0  0.7201E-2                      V003900200118 
 5.0       7.           0.1155E+0  0.6238E-2                      V003900200119 
 5.0       8.           0.6309E-1  0.5587E-2                      V003900200120 
 5.0       9.           0.3306E-1  0.5552E-2                      V003900200121 
 5.0       10.          0.2151E-1  0.5886E-2                      V003900200122 
 5.0       11.          0.1167E-1  0.5481E-2                      V003900200123 
 5.0       12.          0.2217E-2  0.3404E-2                      V003900200124 
 5.0       13.          0.7457E-3  0.1146E-2                      V003900200125 
 5.5       1.           0.8205E+0  0.2170E-1                      V003900200126 
 5.5       2.           0.7038E+0  0.1964E-1                      V003900200127 
 5.5       3.           0.6001E+0  0.1713E-1                      V003900200128 
 5.5       4.           0.4944E+0  0.1461E-1                      V003900200129 
 5.5       5.           0.3761E+0  0.1247E-1                      V003900200130 
 5.5       6.           0.2598E+0  0.1065E-1                      V003900200131 
 5.5       7.           0.1714E+0  0.9066E-2                      V003900200132 
 5.5       8.           0.1041E+0  0.8018E-2                      V003900200133 
 5.5       9.           0.4884E-1  0.7388E-2                      V003900200134 
 5.5       10.          0.1588E-1  0.6981E-2                      V003900200135 
 5.5       11.          0.4315E-2  0.5975E-2                      V003900200136 
 5.5       12.          0.9364E-2  0.3538E-2                      V003900200137 
 5.5       13.          0.3628E-2  0.1733E-2                      V003900200138 
14.        1.           0.8815E+0  0.3049E-1                      V003900200139 
14.        2.           0.7690E+0  0.2909E-1                      V003900200140 
14.        3.           0.6733E+0  0.2742E-1                      V003900200141 
14.        4.           0.5884E+0  0.2549E-1                      V003900200142 
14.        5.           0.5133E+0  0.2334E-1                      V003900200143 
14.        6.           0.4463E+0  0.2097E-1                      V003900200144 
14.        7.           0.3847E+0  0.1857E-1                      V003900200145 
14.        8.           0.3311E+0  0.1619E-1                      V003900200146 
14.        9.           0.2789E+0  0.1395E-1                      V003900200147 
14.        10.          0.2314E+0  0.1188E-1                      V003900200148 
14.        11.          0.1822E+0  0.1001E-1                      V003900200149 
14.        12.          0.1337E+0  0.8381E-2                      V003900200150 
14.        13.          0.9161E-1  0.6917E-2                      V003900200151 
14.        14.          0.5749E-1  0.5615E-2                      V003900200152 
14.        15.          0.3263E-1  0.4391E-2                      V003900200153 
14.        16.          0.1498E-1  0.3039E-2                      V003900200154 
14.        17.          0.4953E-2  0.1705E-2                      V003900200155 
14.        18.          0.8023E-3  0.7461E-3                      V003900200156 
ENDDATA            134          0                                 V003900200157 
ENDSUBENT          156          0                                 V003900299999 
SUBENT        V0039003   20110211                             V028V003900300001 
BIB                  5          8                                 V003900300002 
REACTION   (94-PU-239(N,EL)94-PU-239,,SIG,,,EVAL)                 V003900300003 
REL-REF    (E,12207004,R.C.Allen,J,NSE,2,787,195711)              V003900300004 
           (E,12373012,L.Cranberg,R,LA-2177,195906)               V003900300005 
           (E,10212003,A.Smith+,J,JNE,27,217,197305)              V003900300006 
           (E,20136002,H.H.Knitter+,J,ZP,228,286,196910)          V003900300007 
ERR-ANALYS (DATA-ERR) No further information                      V003900300008 
STATUS     (TABLE) Table 8 of report HSJ-77123                    V003900300009 
HISTORY    (20110211U) On. STATUS: TABLE added                    V003900300010 
ENDBIB               8          0                                 V003900300011 
NOCOMMON             0          0                                 V003900300012 
DATA                 3         71                                 V003900300013 
EN         DATA       DATA-ERR                                    V003900300014 
MEV        B          B                                           V003900300015 
 0.19      8.196      0.675                                       V003900300016 
 0.20      8.318      0.591                                       V003900300017 
 0.25      8.441      0.394                                       V003900300018 
 0.30      8.170      0.357                                       V003900300019 
 0.35      7.771      0.350                                       V003900300020 
 0.40      7.348      0.345                                       V003900300021 
 0.45      6.944      0.339                                       V003900300022 
 0.50      6.574      0.333                                       V003900300023 
 0.55      6.243      0.328                                       V003900300024 
 0.60      5.950      0.325                                       V003900300025 
 0.65      5.692      0.323                                       V003900300026 
 0.70      5.467      0.321                                       V003900300027 
 0.75      5.271      0.320                                       V003900300028 
 0.80      5.099      0.319                                       V003900300029 
 0.85      4.950      0.319                                       V003900300030 
 0.90      4.821      0.319                                       V003900300031 
 0.95      4.709      0.319                                       V003900300032 
 1.00      4.612      0.319                                       V003900300033 
 1.20      4.339      0.319                                       V003900300034 
 1.50      4.149      0.320                                       V003900300035 
 1.80      4.094      0.322                                       V003900300036 
 2.00      4.092      0.325                                       V003900300037 
 2.20      4.103      0.328                                       V003900300038 
 2.50      4.131      0.333                                       V003900300039 
 2.80      4.159      0.338                                       V003900300040 
 3.00      4.174      0.341                                       V003900300041 
 3.20      4.185      0.344                                       V003900300042 
 3.50      4.194      0.347                                       V003900300043 
 3.80      4.192      0.349                                       V003900300044 
 4.00      4.185      0.350                                       V003900300045 
 4.20      4.174      0.351                                       V003900300046 
 4.50      4.150      0.351                                       V003900300047 
 4.80      4.119      0.351                                       V003900300048 
 5.00      4.094      0.350                                       V003900300049 
 5.20      4.067      0.350                                       V003900300050 
 5.50      4.022      0.349                                       V003900300051 
 5.80      3.973      0.348                                       V003900300052 
 6.00      3.938      0.347                                       V003900300053 
 6.20      3.902      0.347                                       V003900300054 
 6.50      3.847      0.346                                       V003900300055 
 6.80      3.790      0.345                                       V003900300056 
 7.00      3.752      0.345                                       V003900300057 
 7.20      3.714      0.345                                       V003900300058 
 7.50      3.656      0.345                                       V003900300059 
 7.80      3.600      0.345                                       V003900300060 
 8.00      3.562      0.346                                       V003900300061 
 8.20      3.526      0.346                                       V003900300062 
 8.50      3.472      0.347                                       V003900300063 
 8.80      3.420      0.347                                       V003900300064 
 9.00      3.387      0.348                                       V003900300065 
 9.20      3.354      0.348                                       V003900300066 
 9.50      3.308      0.349                                       V003900300067 
 9.80      3.264      0.350                                       V003900300068 
10.00      3.237      0.350                                       V003900300069 
10.50      3.174      0.351                                       V003900300070 
11.00      3.120      0.352                                       V003900300071 
11.50      3.076      0.352                                       V003900300072 
12.00      3.042      0.351                                       V003900300073 
12.50      3.019      0.349                                       V003900300074 
13.00      3.006      0.347                                       V003900300075 
13.50      3.004      0.345                                       V003900300076 
14.00      3.012      0.342                                       V003900300077 
14.50      3.032      0.340                                       V003900300078 
15.00      3.062      0.337                                       V003900300079 
15.50      3.104      0.336                                       V003900300080 
16.00      3.156      0.335                                       V003900300081 
16.50      3.219      0.336                                       V003900300082 
17.00      3.293      0.340                                       V003900300083 
17.50      3.377      0.346                                       V003900300084 
18.00      3.472      0.356                                       V003900300085 
18.40      3.556      0.366                                       V003900300086 
ENDDATA             73          0                                 V003900300087 
ENDSUBENT           86          0                                 V003900399999 
SUBENT        V0039004   20110211                             V028V003900400001 
BIB                  5         10                                 V003900400002 
REACTION   (94-PU-239(N,NON),,SIG,,,EVAL)                         V003900400003 
REL-REF    (E,12397007,H.A.Bethe+,R,LA-1939,195508)               V003900400004 
           (E,12402003,R.C.Allen,J,NSE,2,787,195711)              V003900400005 
           (E,40645002,Ju.G.Degtjarev,J,AE,11,397,196110)         V003900400006 
           (E,11120006,M.H.Macgregor+,J,PR,130,1471,196305)       V003900400007 
           (E,,M.H.Macgregor+,J,PR,108,726,1957)                  V003900400008 
           (E,40694001,Ju.G.Degtjarev,J,AE,19,456,196511)         V003900400009 
ERR-ANALYS (DATA-ERR) No further information                      V003900400010 
STATUS     (TABLE) Table 11 of report HSJ-77123                   V003900400011 
HISTORY    (20110211U) On. STATUS: TABLE added                    V003900400012 
ENDBIB              10          0                                 V003900400013 
NOCOMMON             0          0                                 V003900400014 
DATA                 3         69                                 V003900400015 
EN         DATA       DATA-ERR                                    V003900400016 
MEV        B          B                                           V003900400017 
 0.25      2.437      0.180                                       V003900400018 
 0.30      2.455      0.175                                       V003900400019 
 0.35      2.480      0.170                                       V003900400020 
 0.40      2.508      0.165                                       V003900400021 
 0.45      2.538      0.161                                       V003900400022 
 0.50      2.567      0.158                                       V003900400023 
 0.55      2.595      0.154                                       V003900400024 
 0.60      2.623      0.152                                       V003900400025 
 0.65      2.650      0.149                                       V003900400026 
 0.70      2.675      0.147                                       V003900400027 
 0.75      2.699      0.145                                       V003900400028 
 0.80      2.722      0.144                                       V003900400029 
 0.85      2.765      0.141                                       V003900400030 
 0.90      2.785      0.140                                       V003900400031 
 0.95      2.785      0.140                                       V003900400032 
 1.00      2.803      0.139                                       V003900400033 
 1.20      2.870      0.137                                       V003900400034 
 1.50      2.948      0.135                                       V003900400035 
 1.80      3.008      0.135                                       V003900400036 
 2.00      3.040      0.136                                       V003900400037 
 2.20      3.066      0.136                                       V003900400038 
 2.50      3.098      0.137                                       V003900400039 
 2.80      3.123      0.137                                       V003900400040 
 3.00      3.136      0.138                                       V003900400041 
 3.20      3.146      0.138                                       V003900400042 
 3.50      3.158      0.138                                       V003900400043 
 3.80      3.166      0.138                                       V003900400044 
 4.00      3.170      0.138                                       V003900400045 
 4.20      3.172      0.138                                       V003900400046 
 4.50      3.174      0.138                                       V003900400047 
 4.80      3.173      0.138                                       V003900400048 
 5.00      3.172      0.137                                       V003900400049 
 5.20      3.170      0.137                                       V003900400050 
 5.50      3.165      0.136                                       V003900400051 
 5.80      3.159      0.136                                       V003900400052 
 6.00      3.154      0.135                                       V003900400053 
 6.20      3.149      0.135                                       V003900400054 
 6.50      3.141      0.134                                       V003900400055 
 6.80      3.132      0.133                                       V003900400056 
 7.00      3.125      0.132                                       V003900400057 
 7.20      3.118      0.132                                       V003900400058 
 7.50      3.107      0.131                                       V003900400059 
 7.80      3.096      0.130                                       V003900400060 
 8.00      3.088      0.129                                       V003900400061 
 8.20      3.079      0.129                                       V003900400062 
 8.50      3.067      0.128                                       V003900400063 
 8.80      3.054      0.127                                       V003900400064 
 9.00      3.045      0.126                                       V003900400065 
 9.20      3.036      0.125                                       V003900400066 
 9.50      3.022      0.124                                       V003900400067 
 9.80      3.008      0.123                                       V003900400068 
10.00      2.998      0.123                                       V003900400069 
10.50      2.974      0.121                                       V003900400070 
11.00      2.949      0.120                                       V003900400071 
11.50      2.924      0.119                                       V003900400072 
12.00      2.898      0.118                                       V003900400073 
12.50      2.872      0.117                                       V003900400074 
13.00      2.846      0.116                                       V003900400075 
13.50      2.820      0.115                                       V003900400076 
14.00      2.793      0.114                                       V003900400077 
14.50      2.767      0.114                                       V003900400078 
15.00      2.740      0.114                                       V003900400079 
15.50      2.713      0.114                                       V003900400080 
16.00      2.686      0.114                                       V003900400081 
16.50      2.659      0.114                                       V003900400082 
17.00      2.632      0.115                                       V003900400083 
17.50      2.605      0.115                                       V003900400084 
18.00      2.579      0.116                                       V003900400085 
18.40      2.557      0.117                                       V003900400086 
ENDDATA             71          0                                 V003900400087 
ENDSUBENT           86          0                                 V003900499999 
SUBENT        V0039005   20110211                             V028V003900500001 
BIB                  5          6                                 V003900500002 
REACTION   (94-PU-239(N,INL)94-PU-239,,SIG,,,EVAL)                V003900500003 
REL-REF    (E,20036001,R.Batchelor+,R,AWRE-O-55/69,196908)        V003900500004 
           (E,12373001,L.Cranberg,R,LA-2177,195901)               V003900500005 
ERR-ANALYS (DATA-ERR) No further information                      V003900500006 
STATUS     (TABLE) Table 11 of report HSJ-77123                   V003900500007 
HISTORY    (20110211U) On. STATUS: TABLE added                    V003900500008 
ENDBIB               6          0                                 V003900500009 
NOCOMMON             0          0                                 V003900500010 
DATA                 3          3                                 V003900500011 
EN         DATA       DATA-ERR                                    V003900500012 
MEV        B          B                                           V003900500013 
2.00       1.47       0.49                                        V003900500014 
3.00       1.58       0.61                                        V003900500015 
4.00       1.81       0.69                                        V003900500016 
ENDDATA              5          0                                 V003900500017 
ENDSUBENT           16          0                                 V003900599999 
ENDENTRY             5          0                                 V003999999999 
