           Emin  Emax   Spectrum      Emin   Emax   Spectrum      2317000100049 
            keV   keV                  keV    keV                 2317000100050 
           ------------------------ ---------------------------   2317000100051 
                                       371    372   7.646E-01     2317000100198 
                                       372    373   7.882E-01     2317000100199 
                                       373    374   7.801E-01     2317000100200 
                                       374    375   7.844E-01     2317000100201 
                                       375    376   7.992E-01     2317000100202 
                                       376    377   7.852E-01     2317000100203 
                                       377    378   7.948E-01     2317000100204 
                                       378    379   8.167E-01     2317000100205 
                                       379    380   8.132E-01     2317000100206 
                                       380    381   8.117E-01     2317000100207 
                                       381    382   8.181E-01     2317000100208 
                                       382    383   8.250E-01     2317000100209 
                                       383    384   8.254E-01     2317000100210 
                                       384    385   8.402E-01     2317000100211 
                                       385    386   8.407E-01     2317000100212 
                                       386    387   8.557E-01     2317000100213 
                                       387    388   8.763E-01     2317000100214 
                                       388    389   8.551E-01     2317000100215 
                                       389    390   8.737E-01     2317000100216 
                                       390    391   8.778E-01     2317000100217 
                                       391    392   8.831E-01     2317000100218 
                                       392    393   8.892E-01     2317000100219 
                                       393    394   8.618E-01     2317000100220 
                                       394    395   9.062E-01     2317000100221 
                                       395    396   8.969E-01     2317000100222 
                                       396    397   8.957E-01     2317000100223 
                                       397    398   9.087E-01     2317000100224 
                                       398    399   9.151E-01     2317000100225 
                                       399    400   9.011E-01     2317000100226 
                                       400    401   8.991E-01     2317000100227 
                                       401    402   9.258E-01     2317000100228 
                                       402    403   9.215E-01     2317000100229 
                                       403    404   9.314E-01     2317000100230 
                                       404    405   9.178E-01     2317000100231 
                                       405    406   8.945E-01     2317000100232 
                                       406    407   9.340E-01     2317000100233 
                                       407    408   9.334E-01     2317000100234 
                                       408    409   9.431E-01     2317000100235 
                                       409    410   9.355E-01     2317000100236 
                                       410    411   9.324E-01     2317000100237 
                                       411    412   9.551E-01     2317000100238 
                                       412    413   9.551E-01     2317000100239 
                                       413    414   9.497E-01     2317000100240 
                                       414    415   9.261E-01     2317000100241 
                                       415    416   9.477E-01     2317000100242 
