ENTRY            C0765   20010302                             C089C076500000001 
SUBENT        C0765001   20010302                             C089C076500100001 
BIB                 11         17                                 C076500100002 
INSTITUTE  (1CANSFU,1CANTMF)                                      C076500100003 
REFERENCE  (J,PR/C,29,1806,198405)                                C076500100004 
AUTHOR     (R.E.L.Green,R.G.Korteling,K.P.Jackson)                C076500100005 
TITLE      Inclusive production of isotopically resolved Li       C076500100006 
            through Mg fragments by 480 MeV p+Ag reactions        C076500100007 
FACILITY   (MESON,1CANTMF)                                        C076500100008 
SAMPLE     Natural silver targets, either evaporated onto VYNS    C076500100009 
            films or in the form of thin free-standing foils.     C076500100010 
EN-SEC     Energy given is mid-point of energy bin. Resolution    C076500100011 
            is the bin width.                                     C076500100012 
CORRECTION Corrected for background and multiple scattering.      C076500100013 
ERR-ANALYS (ERR-S) Statistical uncertainties given.               C076500100014 
           Relative normalization uncertainty estimated at 10%.   C076500100015 
           Absolute normalization uncertainty 30%.                C076500100016 
STATUS     Data received from R. Korteling, September 1987.       C076500100017 
           No reply received from R. Korteling to author proof.   C076500100018 
HISTORY    (20001219C) VM                                         C076500100019 
ENDBIB              17          0                                 C076500100020 
COMMON               1          3                                 C076500100021 
EN                                                                C076500100022 
MEV                                                               C076500100023 
480.                                                              C076500100024 
ENDCOMMON            3          0                                 C076500100025 
ENDSUBENT           24          0                                 C076500199999 
SUBENT        C0765002   20010123                             0000C076500200001 
BIB                  3          4                                 C076500200002 
REACTION   (47-AG-0(P,X)5-B-10,,DA/DE)                            C076500200003 
METHOD     (TOF)                                                  C076500200004 
DETECTOR   (TELES,SOLST) Telescopes composed of silicon surface-  C076500200005 
            barrier detectors.                                    C076500200006 
ENDBIB               4          0                                 C076500200007 
NOCOMMON             0          0                                 C076500200008 
DATA                 5        134                                 C076500200009 
ANG        E-MEAN     E-RSL      DATA       ERR-S                 C076500200010 
 90.       104.         8.           1.1        0.5               C076500300113 
 90.       112.         8.           1.1        0.5               C076500300114 
 90.       120.         8.           0.53       0.37              C076500300115 
120.        13.         2.         417.        94.                C076500300116 
120.        15.         2.         862.       103.                C076500300117 
120.        17.         2.        1296.        97.                C076500300118 
120.        19.         2.        2012.       103.                C076500300119 
120.        21.         2.        2439.       105.                C076500300120 
120.        23.         2.        2737.       104.                C076500300121 
120.        25.         2.        2988.       104.                C076500300122 
120.        27.         2.        2492.        93.                C076500300123 
120.        29.         2.        1962.        80.                C076500300124 
120.        31.         2.        1650.        72.                C076500300125 
120.        33.         2.        1258.        61.                C076500300126 
120.        35.         2.         993.        54.                C076500300127 
120.        37.         2.         618.        42.                C076500300128 
120.        39.         2.         545.        39.                C076500300129 
120.        42.         4.         335.        10.                C076500300130 
120.        46.         4.         197.         8.                C076500300131 
120.        50.         4.         107.         6.                C076500300132 
120.        54.         4.          71.         5.                C076500300133 
120.        58.         4.          45.         4.                C076500300134 
120.        64.         8.          22.         2.                C076500300135 
120.        72.         8.           5.7        0.9               C076500300136 
120.        80.         8.           3.2        0.6               C076500300137 
120.        88.         8.           2.1        0.5               C076500300138 
160.        13.         2.         102.       201.                C076500300139 
160.        15.         2.        1062.       117.                C076500300140 
160.        17.         2.        1547.       124.                C076500300141 
160.        19.         2.        2169.       130.                C076500300142 
160.        21.         2.        2235.       122.                C076500300143 
160.        23.         2.        2322.       118.                C076500300144 
160.        25.         2.        1990.       105.                C076500300145 
160.        27.         2.        1569.        90.                C076500300146 
160.        29.         2.        1210.        77.                C076500300147 
160.        31.         2.         836.        63.                C076500300148 
160.        33.         2.         584.        51.                C076500300149 
160.        35.         2.         373.        40.                C076500300150 
160.        37.         2.         362.        39.                C076500300151 
160.        39.         2.         208.        29.                C076500300152 
160.        42.         4.         122.         6.                C076500300153 
160.        46.         4.          64.         5.                C076500300154 
160.        50.         4.          34.         3.                C076500300155 
160.        54.         4.          21.         3.                C076500300156 
160.        58.         4.          11.         2.                C076500300157 
160.        64.         8.           5.5        0.9               C076500300158 
160.        72.         8.           1.6        0.5               C076500300159 
160.        80.         8.           0.18       0.16              C076500300160 
ENDDATA            151          0                                 C076500300161 
ENDSUBENT          160          0                                 C076500399999 
SUBENT        C0765004   20010123                             0000C076500400001 
BIB                  3          4                                 C076500400002 
REACTION   (47-AG-0(P,X)5-B-12,,DA/DE)                            C076500400003 
METHOD     (TOF)                                                  C076500400004 
DETECTOR   (TELES,SOLST) Telescopes composed of silicon surface-  C076500400005 
            barrier detectors.                                    C076500400006 
ENDBIB               4          0                                 C076500400007 
NOCOMMON             0          0                                 C076500400008 
DATA                 5        140                                 C076500400009 
ANG        E-MEAN     E-RSL      DATA       ERR-S                 C076500400010 
ADEG       MEV        MEV        NB/SR/MEV  NB/SR/MEV             C076500400011 
 20.        21.         2.         345.        99.                C076500400012 
 20.        23.         2.         389.        76.                C076500400013 
 20.        25.         2.         438.        94.                C076500400014 
 20.        27.         2.         748.       110.                C076500400015 
 20.        29.         2.         615.        87.                C076500400016 
 20.        31.         2.         527.        90.                C076500400017 
 20.        33.         2.         636.        85.                C076500400018 
 20.        35.         2.         711.        98.                C076500400019 
 20.        37.         2.         575.        88.                C076500400020 
 20.        39.         2.         459.        69.                C076500400021 
 20.        42.         4.         392.        30.                C076500400022 
 20.        46.         4.         298.        20.                C076500400023 
 20.        50.         4.         178.        15.                C076500400024 
 20.        54.         4.         146.        14.                C076500400025 
 20.        58.         4.         106.        12.                C076500400026 
 20.        64.         8.          63.         6.                C076500400027 
 20.        72.         8.          34.         5.                C076500400028 
 20.        80.         8.          20.         3.                C076500400029 
 20.        88.         8.           5.2        1.7               C076500400030 
 20.        96.         8.           3.4        1.4               C076500400031 
 20.       104.         8.           3.9        1.7               C076500400032 
 20.       112.         8.           4.0        1.7               C076500400033 
 40.        17.         2.          70.        81.                C076500400034 
 40.        19.         2.         103.        61.                C076500400035 
 40.        21.         2.         214.        58.                C076500400036 
 40.        23.         2.         317.        52.                C076500400037 
 40.        25.         2.         484.        46.                C076500400038 
 40.        27.         2.         563.        50.                C076500400039 
 40.        29.         2.         523.        49.                C076500400040 
 40.        31.         2.         547.        45.                C076500400041 
 40.        33.         2.         500.        46.                C076500400042 
 40.        35.         2.         371.        38.                C076500400043 
 40.        37.         2.         442.        39.                C076500400044 
 40.        39.         2.         253.        29.                C076500400045 
 40.        42.         4.         268.        13.                C076500400046 
 40.        46.         4.         177.        12.                C076500400047 
 40.        50.         4.         137.         9.                C076500400048 
 40.        54.         4.         116.         8.                C076500400049 
 40.        58.         4.          80.         7.                C076500400050 
 40.        64.         8.          54.         4.                C076500400051 
 40.        72.         8.          29.         3.                C076500400052 
 40.        80.         8.          19.         2.                C076500400053 
 40.        88.         8.           4.7        1.1               C076500400054 
 40.        96.         8.           3.8        1.0               C076500400055 
 40.       104.         8.           0.80       0.56              C076500400056 
 40.       112.         8.           2.0        0.9               C076500400057 
 40.       120.         8.           0.39       0.39              C076500400058 
 60.        15.         2.         161.        75.                C076500400059 
 60.        17.         2.          36.        55.                C076500400060 
 60.        19.         2.         138.        54.                C076500400061 
 60.        21.         2.         343.        65.                C076500400062 
 60.        23.         2.         487.        74.                C076500400063 
 60.        25.         2.         518.        73.                C076500400064 
 60.        27.         2.         667.        80.                C076500400065 
 60.        29.         2.         616.        75.                C076500400066 
 60.        31.         2.         634.        74.                C076500400067 
 60.        33.         2.         434.        60.                C076500400068 
 60.        35.         2.         388.        56.                C076500400069 
 60.        37.         2.         338.        52.                C076500400070 
 60.        39.         2.         238.        43.                C076500400071 
 60.        42.         4.         208.        12.                C076500400072 
 60.        46.         4.         138.        10.                C076500400073 
 60.        50.         4.         102.         8.                C076500400074 
 60.        54.         4.          71.         7.                C076500400075 
 60.        58.         4.          38.         5.                C076500400076 
 60.        64.         8.          26.         3.                C076500400077 
 60.        72.         8.          13.         2.                C076500400078 
 60.        80.         8.           8.0        1.5               C076500400079 
 60.        88.         8.           2.6        0.8               C076500400080 
 60.        96.         8.           1.8        0.7               C076500400081 
 60.       104.         8.           0.32       0.32              C076500400082 
 60.       112.         8.           0.96       0.55              C076500400083 
 60.       120.         8.           1.1        0.6               C076500400084 
 90.        13.         2.          28.        27.                C076500400085 
 90.        15.         2.          86.        57.                C076500400086 
 90.        17.         2.         184.        60.                C076500400087 
 90.        19.         2.         332.        67.                C076500400088 
 90.        21.         2.         463.        71.                C076500400089 
 90.        23.         2.         479.        68.                C076500400090 
 90.        25.         2.         529.        66.                C076500400091 
 90.        27.         2.         396.        55.                C076500400092 
 90.        29.         2.         362.        52.                C076500400093 
 90.        31.         2.         318.        47.                C076500400094 
 90.        33.         2.         266.        43.                C076500400095 
 90.        35.         2.         257.        41.                C076500400096 
 90.        37.         2.         173.        33.                C076500400097 
 90.        39.         2.         150.        31.                C076500400098 
 90.        42.         4.          95.         7.                C076500400099 
 90.        46.         4.          57.         6.                C076500400100 
 90.        50.         4.          37.         4.                C076500400101 
 90.        54.         4.          30.         4.                C076500400102 
 90.        58.         4.          21.         3.                C076500400103 
 90.        64.         8.          11.         2.                C076500400104 
 90.        72.         8.           5.1        1.1               C076500400105 
 90.        80.         8.           2.3        0.7               C076500400106 
 90.        88.         8.           1.1        0.5               C076500400107 
 90.        96.         8.           0.44       0.31              C076500400108 
 90.       104.         8.           1.2        0.6               C076500400109 
120.        13.         2.          74.        29.                C076500400110 
120.        15.         2.          94.        28.                C076500400111 
120.        17.         2.         208.        37.                C076500400112 
120.        19.         2.         313.        40.                C076500400113 
120.        21.         2.         402.        42.                C076500400114 
120.        23.         2.         424.        41.                C076500400115 
120.        25.         2.         388.        37.                C076500400116 
120.        27.         2.         343.        34.                C076500400117 
120.        29.         2.         265.        29.                C076500400118 
120.        31.         2.         303.        31.                C076500400119 
120.        33.         2.         140.        20.                C076500400120 
120.        35.         2.         130.        19.                C076500400121 
120.        37.         2.          81.        15.                C076500400122 
120.        39.         2.          63.        13.                C076500400123 
120.        42.         4.          38.         4.                C076500400124 
120.        46.         4.          25.         3.                C076500400125 
120.        50.         4.           9.4        1.7               C076500400126 
120.        54.         4.           9.4        1.7               C076500400127 
120.        58.         4.           6.9        1.4               C076500400128 
120.        64.         8.           3.7        0.7               C076500400129 
120.        72.         8.           0.14       0.14              C076500400130 
120.        80.         8.           0.66       0.30              C076500400131 
160.        13.         2.         150.        52.                C076500400132 
160.        15.         2.         142.        43.                C076500400133 
160.        17.         2.         296.        54.                C076500400134 
160.        19.         2.         249.        44.                C076500400135 
160.        21.         2.         438.        54.                C076500400136 
160.        23.         2.         357.        46.                C076500400137 
160.        25.         2.         286.        40.                C076500400138 
160.        27.         2.         232.        35.                C076500400139 
160.        29.         2.         176.        29.                C076500400140 
160.        31.         2.          89.        20.                C076500400141 
160.        33.         2.          68.        18.                C076500400142 
160.        35.         2.          74.        18.                C076500400143 
160.        37.         2.          51.        15.                C076500400144 
160.        39.         2.          33.        12.                C076500400145 
160.        42.         4.          15.         2.                C076500400146 
160.        46.         4.           5.7        1.4               C076500400147 
160.        50.         4.           3.2        1.0               C076500400148 
160.        54.         4.           1.9        0.8               C076500400149 
160.        58.         4.           0.31       0.31              C076500400150 
160.        64.         8.           1.4        0.5               C076500400151 
ENDDATA            142          0                                 C076500400152 
ENDSUBENT          151          0                                 C076500499999 
SUBENT        C0765005   20010123                             0000C076500500001 
BIB                  3          4                                 C076500500002 
REACTION   (47-AG-0(P,X)5-B-13,,DA/DE)                            C076500500003 
METHOD     (TOF)                                                  C076500500004 
DETECTOR   (TELES,SOLST) Telescopes composed of silicon surface-  C076500500005 
            barrier detectors.                                    C076500500006 
ENDBIB               4          0                                 C076500500007 
NOCOMMON             0          0                                 C076500500008 
DATA                 5        119                                 C076500500009 
ANG        E-MEAN     E-RSL      DATA       ERR-S                 C076500500010 
ADEG       MEV        MEV        NB/SR/MEV  NB/SR/MEV             C076500500011 
 20.        19.         2.          21.        20.                C076500500012 
 20.        21.         2.          67.        33.                C076500500013 
 20.        23.         2.          60.        30.                C076500500014 
 20.        25.         2.         138.        44.                C076500500015 
 20.        27.         2.         117.        39.                C076500500016 
 20.        29.         2.         185.        48.                C076500500017 
 20.        31.         2.         165.        44.                C076500500018 
 20.        33.         2.          91.        32.                C076500500019 
 20.        35.         2.         121.        36.                C076500500020 
 20.        37.         2.         107.        34.                C076500500021 
 20.        39.         2.          73.        28.                C076500500022 
 20.        42.         4.          73.        10.                C076500500023 
 20.        46.         4.          66.        10.                C076500500024 
 20.        50.         4.          27.         6.                C076500500025 
 20.        54.         4.          26.         6.                C076500500026 
 20.        58.         4.          17.         5.                C076500500027 
 20.        64.         8.           8.1        2.2               C076500500028 
 20.        72.         8.           5.5        1.8               C076500500029 
 20.        80.         8.           4.1        1.5               C076500500030 
 20.        88.         8.           2.9        1.3               C076500500031 
 20.        96.         8.           1.7        1.0               C076500500032 
 20.       104.         8.           2.4        1.4               C076500500033 
 40.        17.         2.          16.        11.                C076500500034 
 40.        19.         2.          43.        16.                C076500500035 
 40.        21.         2.          58.        17.                C076500500036 
 40.        23.         2.          47.        15.                C076500500037 
 40.        25.         2.          91.        20.                C076500500038 
 40.        27.         2.          78.        18.                C076500500039 
 40.        29.         2.         116.        21.                C076500500040 
 40.        31.         2.          93.        19.                C076500500041 
 40.        33.         2.         100.        19.                C076500500042 
 40.        35.         2.          76.        16.                C076500500043 
 40.        37.         2.          67.        15.                C076500500044 
 40.        39.         2.          59.        14.                C076500500045 
 40.        42.         4.          43.         5.                C076500500046 
 40.        46.         4.          31.         4.                C076500500047 
 40.        50.         4.          25.         4.                C076500500048 
 40.        54.         4.          23.         4.                C076500500049 
 40.        58.         4.          14.         3.                C076500500050 
 40.        64.         8.           7.3        1.4               C076500500051 
 40.        72.         8.           2.3        0.8               C076500500052 
 40.        80.         8.           0.51       0.36              C076500500053 
 40.        88.         8.           0.25       0.25              C076500500054 
 40.        96.         8.           0.49       0.35              C076500500055 
 40.       104.         8.           1.3        0.7               C076500500056 
 60.        17.         2.          19.        19.                C076500500057 
 60.        19.         2.          29.        20.                C076500500058 
 60.        21.         2.          49.        25.                C076500500059 
 60.        23.         2.          44.        22.                C076500500060 
 60.        25.         2.          91.        30.                C076500500061 
 60.        27.         2.          95.        30.                C076500500062 
 60.        29.         2.          91.        29.                C076500500063 
