ENTRY            C0046   20001120                             0000C004600000001 
SUBENT        C0046001   20001120                             0000C004600100001 
BIB                 10         17                                 C004600100002 
INSTITUTE  (1USALAS)                                              C004600100003 
REFERENCE  (J,PR,107,820,195708)                                  C004600100004 
AUTHOR     (J.E.BROLLEY JR,T.M.PUTNAM,L.ROSEN)                    C004600100005 
TITLE      d-D Reactions at 6- to 14-MeV Input Energy             C004600100006 
FACILITY   (CYCLO)                                                C004600100007 
SAMPLE     Deuterium gas in a nuclear multiplate camera           C004600100008 
DETECTOR   (PLATE) Nuclear emulsions.                             C004600100009 
ERR-ANALYS (EN-ERR) From mean energy of the range measurements andC004600100010 
             corrections for gas absorption.                      C004600100011 
           (ANG-ERR) Since no misalignment trend in the data was  C004600100012 
             detectable, the authors concluded that the beam was  C004600100013 
             aligned to better than 0.1 degree.                   C004600100014 
REL-REF    (N,,PUTNAM+,J,PR,104,1303,1956)                        C004600100015 
            Discussion of uncertainty analysis.                   C004600100016 
HISTORY    (19790205C)TWB                                         C004600100017 
           (19800305A)TWB                                         C004600100018 
           (20001120A) Updated to new date formats, lower case.   C004600100019 
ENDBIB              17          0                                 C004600100020 
COMMON               1          3                                 C004600100021 
ANG-ERR                                                           C004600100022 
ADEG                                                              C004600100023 
 0.1                                                              C004600100024 
ENDCOMMON            3          0                                 C004600100025 
ENDSUBENT           24          0                                 C004600199999 
SUBENT        C0046002   20001120                             0000C004600200001 
BIB                  4          8                                 C004600200002 
REACTION   (1-H-2(D,P)1-H-3,,DA)                                  C004600200003 
ERR-ANALYS (DATA-ERR) Root-mean square error.  Uncertainties due  C004600200004 
             to current integration, gas pressure and temperature,C004600200005 
             geometry, number of tracks on plate area analyzed,   C004600200006 
             and swath width.                                     C004600200007 
STATUS     Data taken from Tables I-IV of reference.              C004600200008 
HISTORY    (19840319A) Data corrected.                            C004600200009 
           (20001120A) Data at 12.15 MeV added.                   C004600200010 
ENDBIB               8          0                                 C004600200011 
NOCOMMON             0          0                                 C004600200012 
DATA                 5        161                                 C004600200013 
EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR              C004600200014 
  8.1       0.1         35.0       5.80      3.0                  C004600200076 
  8.1       0.1         41.9       3.18      3.0                  C004600200077 
  8.1       0.1         45.3       2.64      3.0                  C004600200078 
  8.1       0.1         55.3       2.67      3.0                  C004600200079 
  8.1       0.1         65.2       4.02      3.0                  C004600200080 
  8.1       0.1         74.7       5.08      3.0                  C004600200081 
  8.1       0.1         83.9       5.59      3.0                  C004600200082 
  8.1       0.1         86.9       5.44      3.0                  C004600200083 
  8.1       0.1         92.7       5.44      3.0                  C004600200084 
  8.1       0.1        101.1       5.27      3.0                  C004600200085 
  8.1       0.1        109.1       4.81      3.0                  C004600200086 
  8.1       0.1        116.7       4.03      3.5                  C004600200087 
  8.1       0.1        123.8       2.89      3.5                  C004600200088 
  8.1       0.1        128.3       2.62      3.5                  C004600200089 
  8.1       0.1        130.5       2.34      3.5                  C004600200090 
  8.1       0.1        136.8       2.80      3.5                  C004600200091 
  8.1       0.1        140.8       3.72      3.5                  C004600200092 
  8.1       0.1        142.7       4.63      3.5                  C004600200093 
  8.1       0.1        144.6       5.30      3.5                  C004600200094 
  8.1       0.1        148.3       7.89      3.0                  C004600200095 
  8.1       0.1        151.8      11.58      3.0                  C004600200096 
  8.1       0.1        153.6      13.22      3.0                  C004600200097 
  8.1       0.1        155.3      14.31      3.0                  C004600200098 
  8.1       0.1        158.6      19.69      3.0                  C004600200099 
  8.1       0.1        163.4      25.41      3.0                  C004600200100 
  8.1       0.1        168.0      32.78      3.0                  C004600200101 
  8.1       0.1        169.6      33.80      3.0                  C004600200102 
  8.1       0.1        171.1      35.78      3.0                  C004600200103 
  8.1       0.1        172.6      36.07      3.0                  C004600200104 
  8.1       0.1        174.1      36.75      3.0                  C004600200105 
  8.1       0.1        175.6      38.81      3.0                  C004600200106 
 12.15      0.15        14.5      27.78      3.0                  C004600200107 
 12.15      0.15        18.1      20.78      3.0                  C004600200108 
 12.15      0.15        25.3      11.95      3.0                  C004600200109 
 12.15      0.15        36.0       3.72      3.0                  C004600200110 
 12.15      0.15        43.1       2.33      3.0                  C004600200111 
 12.15      0.15        46.6       2.10      3.0                  C004600200112 
 12.15      0.15        56.9       3.52      3.0                  C004600200113 
 12.15      0.15        66.9       4.11      3.0                  C004600200114 
 12.15      0.15        76.7       4.36      3.0                  C004600200115 
 12.15      0.15        86.1       3.99      3.0                  C004600200116 
 12.15      0.15        89.1       4.10      3.0                  C004600200117 
 12.15      0.15        95.1       4.18      3.0                  C004600200118 
 12.15      0.15       103.6       4.24      3.0                  C004600200119 
 12.15      0.15       111.6       4.56      3.5                  C004600200120 
 12.15      0.15       119.2       3.82      3.5                  C004600200121 
 12.15      0.15       126.3       3.18      4.0                  C004600200122 
 12.15      0.15       130.8       2.54      4.0                  C004600200123 
 12.15      0.15       132.9       2.44      4.0                  C004600200124 
 12.15      0.15       135.0       2.19      4.0                  C004600200125 
 12.15      0.15       139.0       2.41      3.5                  C004600200126 
 12.15      0.15       142.9       3.30      3.5                  C004600200127 
 12.15      0.15       144.8       3.80      3.5                  C004600200128 
 12.15      0.15       146.6       4.90      3.5                  C004600200129 
 12.15      0.15       150.1       7.24      3.0                  C004600200130 
 12.15      0.15       153.5      10.84      3.0                  C004600200131 
 12.15      0.15       155.2      13.01      3.0                  C004600200132 
 12.15      0.15       156.8      14.03      3.0                  C004600200133 
 12.15      0.15       159.9      19.01      3.0                  C004600200134 
 12.15      0.15       164.5      24.02      3.0                  C004600200135 
 12.15      0.15       167.4      31.19      3.0                  C004600200136 
 12.15      0.15       168.8      32.73      3.0                  C004600200137 
 12.15      0.15       170.3      35.21      3.0                  C004600200138 
 12.15      0.15       171.7      35.20      3.0                  C004600200139 
 12.15      0.15       173.1      38.86      3.0                  C004600200140 
 12.15      0.15       174.5      40.91      3.0                  C004600200141 
 12.15      0.15       175.9      42.12      3.0                  C004600200142 
 13.8       0.15        14.6      26.67      3.0                  C004600200143 
 13.8       0.15        18.3      19.50      3.0                  C004600200144 
 13.8       0.15        25.5      10.18      3.0                  C004600200145 
 13.8       0.15        29.1       7.33      3.0                  C004600200146 
 13.8       0.15        36.3       3.12      3.0                  C004600200147 
 13.8       0.15        43.4       2.23      3.0                  C004600200148 
 13.8       0.15        46.9       2.32      3.0                  C004600200149 
 13.8       0.15        57.3       3.59      3.0                  C004600200150 
 13.8       0.15        67.5       4.03      3.0                  C004600200151 
 13.8       0.15        77.3       4.16      3.0                  C004600200152 
 13.8       0.15        86.7       3.57      3.0                  C004600200153 
 13.8       0.15        89.8       3.78      3.0                  C004600200154 
 13.8       0.15        95.7       3.93      3.0                  C004600200155 
 13.8       0.15       104.3       3.97      3.0                  C004600200156 
 13.8       0.15       112.4       4.36      3.5                  C004600200157 
 13.8       0.15       120.0       3.79      3.5                  C004600200158 
 13.8       0.15       127.0       3.17      4.0                  C004600200159 
 13.8       0.15       131.4       2.66      4.0                  C004600200160 
 13.8       0.15       133.6       2.39      4.0                  C004600200161 
 13.8       0.15       143.5       3.24      4.0                  C004600200162 
 13.8       0.15       145.4       3.84      4.0                  C004600200163 
 13.8       0.15       147.2       4.52      4.0                  C004600200164 
 13.8       0.15       150.7       7.11      3.0                  C004600200165 
 13.8       0.15       154.0       9.75      3.0                  C004600200166 
 13.8       0.15       155.6      11.20      3.0                  C004600200167 
 13.8       0.15       157.2      14.13      3.0                  C004600200168 
 13.8       0.15       160.3      18.71      3.0                  C004600200169 
 13.8       0.15       164.8      25.82      3.0                  C004600200170 
 13.8       0.15       169.1      32.15      3.0                  C004600200171 
 13.8       0.15       170.5      33.72      3.0                  C004600200172 
 13.8       0.15       171.8      37.05      3.0                  C004600200173 
 13.8       0.15       173.2      37.92      3.0                  C004600200174 
 13.8       0.15       174.6      38.80      3.0                  C004600200175 
 13.8       0.15       176.0      40.12      3.0                  C004600200176 
ENDDATA            163          0                                 C004600200177 
ENDSUBENT          176          0                                 C004600299999 
SUBENT        C0046003   20001120                             0000C004600300001 
BIB                  4          7                                 C004600300002 
REACTION   (1-H-2(D,N)2-HE-3,,DA,HE3)                             C004600300003 
ERR-ANALYS (DATA-ERR) Root-mean square error.  Uncertainties due  C004600300004 
             to current integration, gas pressure and temperature,C004600300005 
             geometry, number of tracks on plate area analyzed,   C004600300006 
             and swath width.                                     C004600300007 
STATUS     Data taken from Tables V-IX of reference.              C004600300008 
HISTORY    (19840319A) Data corrected.                            C004600300009 
ENDBIB               7          0                                 C004600300010 
COMMON               1          3                                 C004600300011 
DATA-ERR                                                          C004600300012 
PER-CENT                                                          C004600300013 
 4.0                                                              C004600300014 
ENDCOMMON            3          0                                 C004600300015 
DATA                 4         71                                 C004600300016 
EN         EN-ERR     ANG-CM     DATA-CM                          C004600300017 
MEV        MEV        ADEG       MB/SR                            C004600300018 
  5.8       0.1        22.0       21.37                           C004600300019 
  5.8       0.1        27.4       15.09                           C004600300020 
  5.8       0.1        33.0       10.22                           C004600300021 
  5.8       0.1        38.5        5.72                           C004600300022 
  5.8       0.1        44.1        3.79                           C004600300023 
  5.8       0.1        49.6        2.73                           C004600300024 
  5.8       0.1        55.5        2.76                           C004600300025 
  5.8       0.1        61.0        3.33                           C004600300026 
  5.8       0.1        66.8        4.41                           C004600300027 
  5.8       0.1        72.4        4.83                           C004600300028 
  5.8       0.1        78.2        5.65                           C004600300029 
  5.8       0.1        84.1        6.04                           C004600300030 
  5.8       0.1        90.6        5.86                           C004600300031 
  5.8       0.1        97.3        5.79                           C004600300032 
  8.15      0.1        22.9       19.28                           C004600300033 
  8.15      0.1        28.7       11.20                           C004600300034 
  8.15      0.1        34.5        7.01                           C004600300035 
  8.15      0.1        40.3        3.49                           C004600300036 
  8.15      0.1        46.1        2.32                           C004600300037 
  8.15      0.1        52.0        2.41                           C004600300038 
  8.15      0.1        58.0        3.05                           C004600300039 
  8.15      0.1        64.0        4.14                           C004600300040 
  8.15      0.1        70.1        4.95                           C004600300041 
  8.15      0.1        76.3        5.42                           C004600300042 
  8.15      0.1        82.6        5.55                           C004600300043 
  8.15      0.1        89.1        5.57                           C004600300044 
  8.15      0.1        95.8        5.73                           C004600300045 
  8.15      0.1        102.9       5.41                           C004600300046 
  8.15      0.1        110.5       4.96                           C004600300047 
 10.4       0.1         23.6      16.60                           C004600300048 
 10.4       0.1         29.6       9.08                           C004600300049 
 10.4       0.1         35.3       4.39                           C004600300050 
 10.4       0.1         41.6       2.74                           C004600300051 
 10.4       0.1         47.6       2.29                           C004600300052 
 10.4       0.1         53.7       2.75                           C004600300053 
 10.4       0.1         59.9       3.75                           C004600300054 
 10.4       0.1         66.2       4.18                           C004600300055 
 10.4       0.1         72.6       4.66                           C004600300056 
 10.4       0.1         79.2       4.62                           C004600300057 
 10.4       0.1         86.0       4.66                           C004600300058 
 10.4       0.1         93.0       4.81                           C004600300059 
 10.4       0.1        100.5       4.66                           C004600300060 
 10.4       0.1        108.6       4.75                           C004600300061 
 12.2       0.15        24.0      13.67                           C004600300062 
 12.2       0.15        30.1       6.96                           C004600300063 
 12.2       0.15        36.2       3.64                           C004600300064 
 12.2       0.15        42.3       2.17                           C004600300065 
 12.2       0.15        48.5       2.36                           C004600300066 
 12.2       0.15        54.8       3.15                           C004600300067 
 12.2       0.15        61.1       3.67                           C004600300068 
 12.2       0.15        67.6       4.24                           C004600300069 
 12.2       0.15        74.2       4.34                           C004600300070 
 12.2       0.15        81.0       3.85                           C004600300071 
 12.2       0.15        88.1       4.16                           C004600300072 
 12.2       0.15        95.6       4.17                           C004600300073 
 12.2       0.15       103.6       4.35                           C004600300074 
 12.2       0.15       112.8       4.30                           C004600300075 
 13.8       0.15        24.3      13.07                           C004600300076 
 13.8       0.15        30.5       6.18                           C004600300077 
 13.8       0.15        36.6       3.24                           C004600300078 
 13.8       0.15        42.9       2.19                           C004600300079 
 13.8       0.15        49.2       2.79                           C004600300080 
 13.8       0.15        55.5       3.31                           C004600300081 
 13.8       0.15        62.0       3.92                           C004600300082 
 13.8       0.15        68.6       4.09                           C004600300083 
 13.8       0.15        75.4       4.01                           C004600300084 
 13.8       0.15        82.4       3.82                           C004600300085 
 13.8       0.15        89.7       3.66                           C004600300086 
 13.8       0.15        97.5       3.81                           C004600300087 
 13.8       0.15       106.2       4.20                           C004600300088 
 13.8       0.15       116.5       4.62                           C004600300089 
ENDDATA             73          0                                 C004600300090 
ENDSUBENT           89          0                                 C004600399999 
SUBENT        C0046004   20001120                             0000C004600400001 
BIB                  3          4                                 C004600400002 
REACTION   (1-H-2(D,P)1-H-3,,DA,,LEG)                             C004600400003 
STATUS     (DEP,C0046002)                                         C004600400004 
           Data taken from Table X of reference.                  C004600400005 
HISTORY    (19960223A) Data from other references removed.        C004600400006 
ENDBIB               4          0                                 C004600400007 
NOCOMMON             0          0                                 C004600400008 
DATA                 4         25                                 C004600400009 
NUMBER     EN         EN-ERR     DATA-CM                          C004600400010 
NO-DIM     MEV        MEV        MB/SR                            C004600400011 
  0.         6.1       0.1        6.96                            C004600400012 
  0.         8.1       0.1        6.64                            C004600400013 
  0.        12.15      0.1        5.92                            C004600400014 
  0.        13.80      0.15       5.65                            C004600400015 
  2.         6.1       0.1        9.45                            C004600400016 
  2.         8.1       0.1        9.36                            C004600400017 
  2.        12.15      0.1        8.70                            C004600400018 
  2.        13.80      0.15       8.42                            C004600400019 
  4.         6.1       0.1        13.58                           C004600400020 
  4.         8.1       0.1        14.53                           C004600400021 
  4.        12.15      0.1        13.50                           C004600400022 
  4.        13.80      0.15       12.44                           C004600400023 
  6.         6.1       0.1         5.14                           C004600400024 
  6.         8.1       0.1         7.32                           C004600400025 
  6.        12.15      0.1         9.72                           C004600400026 
  6.        13.80      0.15       10.03                           C004600400027 
  8.         6.1       0.1         0.85                           C004600400028 
  8.         8.1       0.1         1.73                           C004600400029 
  8.        12.15      0.1         3.53                           C004600400030 
  8.        13.80      0.15        3.58                           C004600400031 
 10.         6.1       0.1         0.39                           C004600400032 
 10.         8.1       0.1         0.18                           C004600400033 
 10.        12.15      0.1         1.55                           C004600400034 
 10.        13.80      0.1         1.17                           C004600400035 
 12.        13.80      0.15        0.39                           C004600400036 
ENDDATA             27          0                                 C004600400037 
ENDSUBENT           36          0                                 C004600499999 
SUBENT        C0046005   20001120                             0000C004600500001 
BIB                  3          3                                 C004600500002 
REACTION   (1-H-2(D,P)1-H-3,,SIG)                                 C004600500003 
ANALYSIS   From Legendre fit to angular distribution data.        C004600500004 
STATUS     (DEP,C0046002)                                         C004600500005 
ENDBIB               3          0                                 C004600500006 
NOCOMMON             0          0                                 C004600500007 
DATA                 3          4                                 C004600500008 
EN         EN-ERR     DATA                                        C004600500009 
MEV        MEV        MB                                          C004600500010 
  6.1       0.1        87.                                        C004600500011 
  8.1       0.1        84.                                        C004600500012 
 12.15      0.1        74.                                        C004600500013 
 13.80      0.15       72.                                        C004600500014 
ENDDATA              6          0                                 C004600500015 
ENDSUBENT           14          0                                 C004600599999 
SUBENT        C0046006   20001120                             0000C004600600001 
BIB                  4          4                                 C004600600002 
REACTION   (1-H-2(D,N)2-HE-3,,DA,HE3,LEG)                         C004600600003 
ANALYSIS   From Legendre fit to angular distribution data.        C004600600004 
STATUS     (DEP,C0046003)                                         C004600600005 
HISTORY    (20001120A) Reaction corrected.                        C004600600006 
ENDBIB               4          0                                 C004600600007 
NOCOMMON             0          0                                 C004600600008 
DATA                 4         31                                 C004600600009 
NUMBER     EN         EN-ERR     DATA-CM                          C004600600010 
NO-DIM     MEV        MEV        MB/SR                            C004600600011 
  0.         5.8       0.1         7.40                           C004600600012 
  0.         8.15      0.1         7.03                           C004600600013 
  0.        10.4       0.1         6.43                           C004600600014 
  0.        12.2       0.15        6.04                           C004600600015 
  0.        13.8       0.15        5.93                           C004600600016 
  2.         5.8       0.1        11.14                           C004600600017 
  2.         8.15      0.1        10.45                           C004600600018 
  2.        10.4       0.15        9.85                           C004600600019 
  2.        12.2       0.15        9.71                           C004600600020 
  2.        13.8       0.15        9.56                           C004600600021 
  4.         5.8       0.1        15.16                           C004600600022 
  4.         8.15      0.1        16.06                           C004600600023 
  4.        10.4       0.15       14.77                           C004600600024 
  4.        12.2       0.15       14.55                           C004600600025 
  4.        13.8       0.15       13.77                           C004600600026 
  6.         5.8       0.1         5.28                           C004600600027 
  6.         8.15      0.1         8.02                           C004600600028 
  6.        10.4       0.15        9.22                           C004600600029 
  6.        12.2       0.15       10.94                           C004600600030 
  6.        13.8       0.15       11.26                           C004600600031 
  8.         5.8       0.1         0.64                           C004600600032 
  8.         8.15      0.1         1.59                           C004600600033 
  8.        10.4       0.15        2.11                           C004600600034 
  8.        12.2       0.15        4.02                           C004600600035 
  8.        13.8       0.15        3.97                           C004600600036 
 10.         5.8       0.1         0.34                           C004600600037 
 10.         8.15      0.1         0.61                           C004600600038 
 10.        10.4       0.15        0.0                            C004600600039 
 10.        12.2       0.15        1.48                           C004600600040 
 10.        13.8       0.15        1.13                           C004600600041 
 12.        13.8       0.15        0.26                           C004600600042 
ENDDATA             33          0                                 C004600600043 
ENDSUBENT           42          0                                 C004600699999 
ENDENTRY             6          0                                 C004699999999 
