ENTRY            C0734   20001215                             0000C073400000001 
SUBENT        C0734001   20001215                             0000C073400100001 
BIB                 12         24                                 C073400100002 
INSTITUTE  (1USADKE,1USATNL)                                      C073400100003 
REFERENCE  (J,NP/A,155,659,1970)                                  C073400100004 
           (T,THOMASON,1969) Duke University.                     C073400100005 
AUTHOR     (R.S.THOMASON,G.SPALEK,R.L.WALTER)                     C073400100006 
TITLE      Neutron polarizasions in the 6Li(d,n) and 7Li(d,n)     C073400100007 
            reactions for deuteron energies from 2.5 to 3.7 MeV   C073400100008 
FACILITY   (VDG,1USATNL)                                          C073400100009 
INC-SPECT  Energy spreads given are due to target thickness.      C073400100010 
METHOD     Polarization determined using a 4He polarization       C073400100011 
            analyzer.                                             C073400100012 
DETECTOR   (SCIN) Two 5.1x7.6x15.2 cm3 organic scintillators      C073400100013 
            mounted symmetrically above and bellow the He cell at C073400100014 
            25 cm separation for neutron scattered by 120 degr.   C073400100015 
            (lab).                                                C073400100016 
MONITOR    (2-HE-4(N,EL)2-HE-4,,POL/DA,,ANA) Emitted neutrons     C073400100017 
            scattered by 4He analyzer.                            C073400100018 
ERR-ANALYS (ERR-S) Indicated errors include statistical           C073400100019 
            uncertainties from the accidental coincidence         C073400100020 
            background substraction and also from the tails of    C073400100021 
            the adjacent peaks.                                   C073400100022 
STATUS     (COREL,C0736001) 9Be(3He,n) data                       C073400100023 
           (COREL,C0745001) 11B(3He,n) data                       C073400100024 
            No reply to author proof from R.L. Walter.            C073400100025 
HISTORY    (20001102C) SD                                         C073400100026 
ENDBIB              24          0                                 C073400100027 
NOCOMMON             0          0                                 C073400100028 
ENDSUBENT           27          0                                 C073400199999 
SUBENT        C0734002   20001113                             0000C073400200001 
BIB                  3          3                                 C073400200002 
REACTION   (3-LI-6(D,N)4-BE-7,PAR,POL/DA)                         C073400200003 
SAMPLE     99.3% enriched 6Li.                                    C073400200004 
STATUS     Data taken from Table 3 in Thomason's thesis.          C073400200005 
ENDBIB               3          0                                 C073400200006 
NOCOMMON             0          0                                 C073400200007 
DATA                 6         92                                 C073400200008 
EN         EN-RSL     E-LVL      ANG-CM     DATA       ERR-S      C073400200009 
ENDBIB               3          0                                 C073400300006 
NOCOMMON             0          0                                 C073400300007 
DATA                 6        135                                 C073400300008 
EN         EN-RSL     E-LVL      ANG-CM     DATA       ERR-S      C073400300009 
MEV        MEV        MEV        ADEG       NO-DIM     NO-DIM     C073400300010 
  2.50       0.13       0.0         10.64      0.013     0.106    C073400300011 
  2.50       0.13       0.0         10.64      0.029     0.183    C073400300012 
  2.50       0.13       0.0         21.26     -0.006     0.113    C073400300013 
  2.50       0.13       0.0         21.26      0.022     0.184    C073400300014 
  2.50       0.13       0.0         31.84     -0.016     0.132    C073400300015 
  2.50       0.13       0.0         31.84     -0.032     0.239    C073400300016 
  2.50       0.13       0.0         47.60      0.243     0.164    C073400300017 
  2.50       0.13       0.0         47.60      0.329     0.289    C073400300018 
  2.50       0.13       0.0         63.18     -0.022     0.144    C073400300019 
  2.50       0.13       0.0         63.18     -0.052     0.246    C073400300020 
  2.50       0.13       0.0         83.62      0.162     0.099    C073400300021 
  2.50       0.13       0.0         83.62      0.248     0.160    C073400300022 
  2.50       0.13       0.0        103.62      0.012     0.064    C073400300023 
  2.50       0.13       0.0        103.62      0.024     0.115    C073400300024 
  2.50       0.13       0.0        123.18     -0.185     0.086    C073400300025 
  2.50       0.13       0.0        123.18     -0.243     0.154    C073400300026 
  2.50       0.13       0.0        137.60     -0.277     0.093    C073400300027 
  2.50       0.13       0.0        137.60     -0.399     0.162    C073400300028 
  2.50       0.13       2.9         10.70      0.013     0.098    C073400300029 
  2.50       0.13       2.9         21.38      0.083     0.078    C073400300030 
  2.50       0.13       2.9         32.02     -0.028     0.081    C073400300031 
  2.50       0.13       2.9         47.86      0.118     0.085    C073400300032 
  2.50       0.13       2.9         63.49      0.008     0.054    C073400300033 
  2.50       0.13       2.9         83.97     -0.074     0.061    C073400300034 
  2.50       0.13       2.9        103.97     -0.085     0.046    C073400300035 
  2.50       0.13       2.9        123.49     -0.190     0.071    C073400300036 
  2.50       0.13       2.9        137.86     -0.295     0.109    C073400300037 
  2.85       0.12       0.0         10.68     -0.128     0.076    C073400300038 
  2.85       0.12       0.0         10.68     -0.184     0.132    C073400300039 
  2.85       0.12       0.0         21.34     -0.040     0.076    C073400300040 
  2.85       0.12       0.0         21.34     -0.081     0.127    C073400300041 
  2.85       0.12       0.0         31.95      0.079     0.087    C073400300042 
  2.85       0.12       0.0         31.95      0.101     0.144    C073400300043 
  2.85       0.12       0.0         47.76      0.175     0.096    C073400300044 
