ENTRY            C0213   19990624                             0000C021300000001 
SUBENT        C0213001   19990624                             0000C021300100001 
BIB                  8         16                                 C021300100002 
INSTITUTE  (1USAGEO,1USARUT,1CANSFU,1CANTMF,1USALAS,2FR SAC,      C021300100003 
           1CANQU,1USACLU,1USASCA,1USACBF,1CANALA)                C021300100004 
            + Inst.Phys.Nucl., Orsay, France                      C021300100005 
REFERENCE  (J,PR/C,44,93,199107)                                  C021300100006 
AUTHOR     (F.T.BAKER,L.BIMBOT,R.W.FERGERSON,C.GLASHAUSSER,       C021300100007 
           A.GREEN,O.HAUSSER,K.HICKS,K.JONES,C.A.MILLER,          C021300100008 
           M.VETTERLI,R.ABEGG,D.BEATTY,B.BONIN,B.CASTEL,X.Y.CHEN, C021300100009 
           V.CUPPS,C.DJALALI,R.HENDERSON,K.P.JACKSON,R.JEPPESEN,  C021300100010 
           K.NAKAYAMA,S.K.NANDA,R.SAWAFTA,S.YEN)                  C021300100011 
TITLE      Spin decomposition of the resonances of 44Ca and       C021300100012 
            48Ca to 300 MeV protons                               C021300100013 
METHOD     (EXTB,SITA)                                            C021300100014 
ERR-ANALYS (ERR-S) Statistical errors are given.                  C021300100015 
STATUS     Data received by e-mail from F.T.Baker, Oct.1998.      C021300100016 
           (APRVD) Apprved by F.T. Baker, 24 June 1999.           C021300100017 
HISTORY    (19990203C) VV                                         C021300100018 
ENDBIB              16          0                                 C021300100019 
NOCOMMON             0          0                                 C021300100020 
ENDSUBENT           19          0                                 C021300199999 
SUBENT        C0213002   19990203                             0000C021300200001 
BIB                  5          7                                 C021300200002 
REACTION   (20-CA-44(P,INL)20-CA-44,,DA/DE)                       C021300200003 
FACILITY   (MESON,1CANTMF) The TRIUMF facility.                   C021300200004 
INC-SOURCE (POLIS) The TRIUMF facility 290-MeV polarized proton   C021300200005 
            beam.                                                 C021300200006 
SAMPLE     Target enriched to 98.78% 44Ca, thickness 53.5         C021300200007 
            mg/cm**2.                                             C021300200008 
DETECTOR   (MAGSP) Medium-resolution spectrometer (MRS).          C021300200009 
ENDBIB               7          0                                 C021300200010 
COMMON               1          3                                 C021300200011 
EN                                                                C021300200012 
MEV                                                               C021300200013 
   290.0                                                          C021300200014 
ENDCOMMON            3          0                                 C021300200015 
DATA                 5        124                                 C021300200016 
ANG        E-EXC-MIN  E-EXC-MAX  DATA       ERR-S                 C021300200017 
   9.0      31.        33.        1.236      0.008                C021300200108 
   9.0      33.        35.        1.180      0.008                C021300200109 
   9.0      35.        37.        1.131      0.008                C021300200110 
   9.0      37.        39.        1.060      0.008                C021300200111 
   9.0      39.        41.        0.988      0.007                C021300200112 
   9.0      41.        43.        0.934      0.007                C021300200113 
   9.0      43.        45.        0.880      0.007                C021300200114 
   9.0      45.        47.        0.825      0.007                C021300200115 
   9.0      47.        49.        0.767      0.006                C021300200116 
   9.0      49.        51.        0.728      0.006                C021300200117 
  12.0       1.         3.        0.925      0.006                C021300200118 
  12.0       3.         5.        3.592      0.014                C021300200119 
  12.0       5.         7.        2.169      0.010                C021300200120 
  12.0       7.         9.        1.490      0.008                C021300200121 
  12.0       9.        11.        1.312      0.008                C021300200122 
  12.0      11.        13.        1.546      0.009                C021300200123 
  12.0      13.        15.        1.708      0.009                C021300200124 
  12.0      15.        17.        1.899      0.009                C021300200125 
  12.0      17.        19.        1.962      0.010                C021300200126 
  12.0      19.        21.        1.894      0.009                C021300200127 
  12.0      21.        23.        1.695      0.009                C021300200128 
  12.0      23.        25.        1.508      0.008                C021300200129 
  12.0      25.        27.        1.360      0.008                C021300200130 
  12.0      27.        29.        1.350      0.008                C021300200131 
  12.0      29.        31.        1.409      0.008                C021300200132 
  12.0      31.        33.        1.395      0.008                C021300200133 
  12.0      33.        35.        1.369      0.008                C021300200134 
  12.0      35.        37.        1.329      0.008                C021300200135 
  12.0      37.        39.        1.287      0.008                C021300200136 
  12.0      39.        41.        1.217      0.007                C021300200137 
  12.0      41.        43.        1.160      0.007                C021300200138 
  12.0      43.        45.        1.124      0.007                C021300200139 
  12.0      45.        47.        1.070      0.007                C021300200140 
  12.0      47.        49.        1.011      0.007                C021300200141 
  12.0      49.        51.        0.955      0.007                C021300200142 
ENDDATA            126          0                                 C021300200143 
ENDSUBENT          142          0                                 C021300299999 
SUBENT        C0213003   19990203                             0000C021300300001 
BIB                  5          7                                 C021300300002 
REACTION   (20-CA-44(P,INL)20-CA-44,PAR,POL/DA,,ANA)              C021300300003 
FACILITY   (MESON,1CANTMF) The TRIUMF facility.                   C021300300004 
INC-SOURCE (POLIS) The TRIUMF facility 290-MeV polarized proton   C021300300005 
            beam.                                                 C021300300006 
SAMPLE     Target enriched to 98.78% 44Ca, thickness 53.5         C021300300007 
            mg/cm**2.                                             C021300300008 
DETECTOR   (MAGSP) Medium-resolution spectrometer (MRS).          C021300300009 
ENDBIB               7          0                                 C021300300010 
COMMON               1          3                                 C021300300011 
EN                                                                C021300300012 
MEV                                                               C021300300013 
   290.0                                                          C021300300014 
ENDCOMMON            3          0                                 C021300300015 
DATA                 5        140                                 C021300300016 
ANG        E-EXC-MIN  E-EXC-MAX  DATA       DATA-ERR              C021300300017 
ADEG       MEV        MEV        NO-DIM     NO-DIM                C021300300018 
   3.0       3.         5.         0.723      0.062               C021300300019 
   3.0       5.         7.         0.586      0.038               C021300300020 
   3.0       7.         9.         0.329      0.031               C021300300021 
   3.0       9.        11.         0.232      0.026               C021300300022 
   3.0      11.        13.         0.189      0.023               C021300300023 
   3.0      13.        15.         0.168      0.020               C021300300024 
   3.0      15.        17.         0.126      0.017               C021300300025 
   3.0      17.        19.         0.147      0.016               C021300300026 
   3.0      19.        21.         0.140      0.016               C021300300027 
   3.0      21.        23.         0.137      0.017               C021300300028 
   3.0      23.        25.         0.151      0.019               C021300300029 
   3.0      25.        27.         0.102      0.020               C021300300030 
   3.0      27.        29.         0.104      0.021               C021300300031 
   3.0      29.        31.         0.152      0.022               C021300300032 
   3.0      31.        33.         0.124      0.022               C021300300033 
   3.0      33.        35.         0.122      0.023               C021300300034 
   3.0      35.        37.         0.149      0.023               C021300300035 
   3.0      37.        39.         0.075      0.024               C021300300036 
   3.0      39.        41.         0.056      0.025               C021300300037 
   3.0      41.        43.         0.087      0.025               C021300300038 
   3.0      43.        45.         0.089      0.026               C021300300039 
   3.0      45.        47.         0.036      0.027               C021300300040 
   3.0      47.        49.         0.053      0.028               C021300300041 
   3.0      49.        51.         0.071      0.029               C021300300042 
   3.0      51.        53.         0.100      0.029               C021300300043 
   3.0      53.        55.         0.063      0.030               C021300300044 
   3.0      55.        57.         0.034      0.032               C021300300045 
   3.0      57.        59.         0.021      0.034               C021300300046 
   5.0       3.         5.         0.403      0.017               C021300300047 
   5.0       5.         7.         0.385      0.015               C021300300048 
   5.0       7.         9.         0.302      0.016               C021300300049 
   5.0       9.        11.         0.156      0.013               C021300300050 
   5.0      11.        13.         0.152      0.011               C021300300051 
   5.0      13.        15.         0.125      0.010               C021300300052 
   5.0      15.        17.         0.119      0.008               C021300300053 
   5.0      17.        19.         0.113      0.008               C021300300054 
   5.0      19.        21.         0.122      0.007               C021300300055 
   5.0      21.        23.         0.102      0.008               C021300300056 
   5.0      23.        25.         0.091      0.008               C021300300057 
   5.0      25.        27.         0.088      0.009               C021300300058 
   5.0      27.        29.         0.087      0.010               C021300300059 
   5.0      29.        31.         0.086      0.010               C021300300060 
   5.0      31.        33.         0.063      0.010               C021300300061 
   5.0      33.        35.         0.063      0.010               C021300300062 
   5.0      35.        37.         0.085      0.011               C021300300063 
   5.0      37.        39.         0.064      0.011               C021300300064 
   5.0      39.        41.         0.066      0.012               C021300300065 
   5.0      41.        43.         0.057      0.012               C021300300066 
   5.0      43.        45.         0.079      0.012               C021300300067 
   5.0      45.        47.         0.050      0.012               C021300300068 
   5.0      47.        49.         0.041      0.013               C021300300069 
   5.0      49.        51.         0.060      0.013               C021300300070 
   5.0      51.        53.         0.047      0.013               C021300300071 
   5.0      53.        55.         0.020      0.014               C021300300072 
   5.0      55.        57.         0.024      0.014               C021300300073 
   5.0      57.        59.         0.033      0.015               C021300300074 
   7.0       3.         5.         0.525      0.007               C021300300075 
   7.0       5.         7.         0.470      0.009               C021300300076 
   7.0       7.         9.         0.394      0.009               C021300300077 
   7.0       9.        11.         0.320      0.008               C021300300078 
   7.0      11.        13.         0.301      0.007               C021300300079 
   7.0      13.        15.         0.272      0.006               C021300300080 
   7.0      15.        17.         0.255      0.006               C021300300081 
   7.0      17.        19.         0.234      0.005               C021300300082 
   7.0      19.        21.         0.211      0.006               C021300300083 
   7.0      21.        23.         0.169      0.006               C021300300084 
   7.0      23.        25.         0.144      0.007               C021300300085 
   7.0      25.        27.         0.123      0.007               C021300300086 
   7.0      27.        29.         0.127      0.007               C021300300087 
   7.0      29.        31.         0.126      0.007               C021300300088 
   7.0      31.        33.         0.108      0.008               C021300300089 
   7.0      33.        35.         0.110      0.008               C021300300090 
   7.0      35.        37.         0.108      0.008               C021300300091 
   7.0      37.        39.         0.094      0.008               C021300300092 
   7.0      39.        41.         0.108      0.009               C021300300093 
   7.0      41.        43.         0.087      0.009               C021300300094 
   7.0      43.        45.         0.116      0.009               C021300300095 
   7.0      45.        47.         0.098      0.009               C021300300096 
   7.0      47.        49.         0.067      0.010               C021300300097 
   7.0      49.        51.         0.090      0.010               C021300300098 
   7.0      51.        53.         0.077      0.010               C021300300099 
   7.0      53.        55.         0.086      0.011               C021300300100 
   7.0      55.        57.         0.082      0.011               C021300300101 
   7.0      57.        59.         0.068      0.012               C021300300102 
   9.0       3.         5.         0.658      0.006               C021300300103 
   9.0       5.         7.         0.608      0.007               C021300300104 
   9.0       7.         9.         0.527      0.007               C021300300105 
   9.0       9.        11.         0.479      0.008               C021300300106 
   9.0      11.        13.         0.461      0.007               C021300300107 
   9.0      13.        15.         0.422      0.006               C021300300108 
   9.0      15.        17.         0.409      0.006               C021300300109 
   9.0      17.        19.         0.396      0.006               C021300300110 
   9.0      19.        21.         0.358      0.006               C021300300111 
   9.0      21.        23.         0.309      0.007               C021300300112 
   9.0      23.        25.         0.255      0.007               C021300300113 
   9.0      25.        27.         0.222      0.008               C021300300114 
   9.0      27.        29.         0.195      0.008               C021300300115 
   9.0      29.        31.         0.194      0.008               C021300300116 
   9.0      31.        33.         0.178      0.008               C021300300117 
   9.0      33.        35.         0.173      0.008               C021300300118 
   9.0      35.        37.         0.174      0.008               C021300300119 
   9.0      37.        39.         0.167      0.009               C021300300120 
   9.0      39.        41.         0.161      0.009               C021300300121 
   9.0      41.        43.         0.154      0.009               C021300300122 
   9.0      43.        45.         0.152      0.010               C021300300123 
   9.0      45.        47.         0.124      0.010               C021300300124 
   9.0      47.        49.         0.133      0.010               C021300300125 
   9.0      49.        51.         0.119      0.011               C021300300126 
   9.0      51.        53.         0.123      0.011               C021300300127 
   9.0      53.        55.         0.123      0.011               C021300300128 
   9.0      55.        57.         0.119      0.011               C021300300129 
   9.0      57.        59.         0.122      0.012               C021300300130 
  12.0       3.         5.         0.808      0.003               C021300300131 
  12.0       5.         7.         0.776      0.005               C021300300132 
  12.0       7.         9.         0.706      0.006               C021300300133 
  12.0       9.        11.         0.640      0.006               C021300300134 
  12.0      11.        13.         0.592      0.006               C021300300135 
  12.0      13.        15.         0.558      0.006               C021300300136 
  12.0      15.        17.         0.531      0.005               C021300300137 
  12.0      17.        19.         0.523      0.005               C021300300138 
  12.0      19.        21.         0.502      0.005               C021300300139 
  12.0      21.        23.         0.461      0.006               C021300300140 
  12.0      23.        25.         0.394      0.006               C021300300141 
  12.0      25.        27.         0.349      0.007               C021300300142 
  12.0      27.        29.         0.317      0.007               C021300300143 
  12.0      29.        31.         0.293      0.007               C021300300144 
  12.0      31.        33.         0.285      0.007               C021300300145 
  12.0      33.        35.         0.281      0.007               C021300300146 
  12.0      35.        37.         0.243      0.007               C021300300147 
  12.0      37.        39.         0.217      0.007               C021300300148 
  12.0      39.        41.         0.209      0.007               C021300300149 
  12.0      41.        43.         0.208      0.008               C021300300150 
  12.0      43.        45.         0.206      0.008               C021300300151 
  12.0      45.        47.         0.197      0.008               C021300300152 
  12.0      47.        49.         0.172      0.008               C021300300153 
  12.0      49.        51.         0.163      0.009               C021300300154 
  12.0      51.        53.         0.167      0.009               C021300300155 
  12.0      53.        55.         0.166      0.009               C021300300156 
  12.0      55.        57.         0.153      0.010               C021300300157 
  12.0      57.        59.         0.158      0.011               C021300300158 
ENDDATA            142          0                                 C021300300159 
ENDSUBENT          158          0                                 C021300399999 
SUBENT        C0213004   19990203                             0000C021300400001 
BIB                  5          7                                 C021300400002 
REACTION   (20-CA-44(P,INL)20-CA-44,NN/PAR,POL/DA,,SF)            C021300400003 
FACILITY   (MESON,1CANTMF) The TRIUMF facility.                   C021300400004 
INC-SOURCE (POLIS) The TRIUMF facility 290-MeV polarized proton   C021300400005 
            beam.                                                 C021300400006 
SAMPLE     Target enriched to 98.78% 44Ca, thickness 53.5         C021300400007 
            mg/cm**2.                                             C021300400008 
DETECTOR   (MAGSP) Medium-resolution spectrometer (MRS).          C021300400009 
ENDBIB               7          0                                 C021300400010 
COMMON               1          3                                 C021300400011 
EN                                                                C021300400012 
MEV                                                               C021300400013 
   290.0                                                          C021300400014 
ENDCOMMON            3          0                                 C021300400015 
DATA                 5        145                                 C021300400016 
ANG        E-EXC-MIN  E-EXC-MAX  DATA       DATA-ERR              C021300400017 
ADEG       MEV        MEV        NO-DIM     NO-DIM                C021300400018 
    3.0       1.         3.        -0.068      0.097              C021300400019 
    3.0       3.         5.         0.031      0.054              C021300400020 
    3.0       5.         7.         0.229      0.053              C021300400021 
    3.0       7.         9.         0.414      0.037              C021300400022 
    3.0       9.        11.         0.346      0.029              C021300400023 
    3.0      11.        13.         0.346      0.027              C021300400024 
    3.0      13.        15.         0.306      0.022              C021300400025 
    3.0      15.        17.         0.287      0.019              C021300400026 
    3.0      17.        19.         0.289      0.019              C021300400027 
    3.0      19.        21.         0.297      0.020              C021300400028 
    3.0      21.        23.         0.330      0.021              C021300400029 
    3.0      23.        25.         0.400      0.023              C021300400030 
    3.0      25.        27.         0.394      0.024              C021300400031 
    3.0      27.        29.         0.407      0.026              C021300400032 
    3.0      29.        31.         0.420      0.027              C021300400033 
    3.0      31.        33.         0.375      0.027              C021300400034 
    3.0      33.        35.         0.364      0.028              C021300400035 
    3.0      35.        37.         0.402      0.029              C021300400036 
    3.0      37.        39.         0.427      0.031              C021300400037 
    3.0      39.        41.         0.393      0.032              C021300400038 
    3.0      41.        43.         0.355      0.034              C021300400039 
    3.0      43.        45.         0.404      0.036              C021300400040 
    3.0      45.        47.         0.338      0.040              C021300400041 
    3.0      47.        49.         0.348      0.045              C021300400042 
    3.0      49.        51.         0.444      0.050              C021300400043 
    3.0      51.        53.         0.354      0.055              C021300400044 
    3.0      53.        53.         0.450      0.068              C021300400045 
    3.0      55.        57.         0.438      0.078              C021300400046 
    3.0      57.        59.         0.416      0.096              C021300400047 
    3.0      59.        61.         0.334      0.102              C021300400048 
    5.0       1.         3.         0.112      0.044              C021300400049 
    5.0       3.         5.         0.013      0.032              C021300400050 
    5.0       5.         7.         0.187      0.039              C021300400051 
    5.0       7.         9.         0.246      0.031              C021300400052 
    5.0       9.        11.         0.255      0.026              C021300400053 
    5.0      11.        13.         0.308      0.023              C021300400054 
    5.0      13.        15.         0.325      0.019              C021300400055 
    5.0      15.        17.         0.311      0.017              C021300400056 
    5.0      17.        19.         0.345      0.016              C021300400057 
    5.0      19.        21.         0.331      0.017              C021300400058 
    5.0      21.        23.         0.377      0.018              C021300400059 
    5.0      23.        25.         0.390      0.019              C021300400060 
    5.0      25.        27.         0.437      0.020              C021300400061 
    5.0      27.        29.         0.457      0.021              C021300400062 
    5.0      29.        31.         0.409      0.022              C021300400063 
    5.0      31.        33.         0.474      0.022              C021300400064 
    5.0      33.        35.         0.470      0.023              C021300400065 
    5.0      35.        37.         0.419      0.024              C021300400066 
    5.0      37.        39.         0.448      0.025              C021300400067 
    5.0      39.        41.         0.416      0.026              C021300400068 
    5.0      41.        43.         0.420      0.028              C021300400069 
    5.0      43.        45.         0.441      0.030              C021300400070 
    5.0      45.        47.         0.416      0.034              C021300400071 
    5.0      47.        49.         0.420      0.038              C021300400072 
    5.0      49.        51.         0.425      0.042              C021300400073 
    5.0      51.        53.         0.383      0.047              C021300400074 
    5.0      53.        55.         0.495      0.057              C021300400075 
    5.0      55.        57.         0.420      0.071              C021300400076 
    5.0      57.        59.         0.374      0.082              C021300400077 
    5.0      59.        61.         0.367      0.090              C021300400078 
    7.0       1.         3.         0.016      0.067              C021300400079 
    7.0       3.         5.         0.032      0.023              C021300400080 
    7.0       5.         7.         0.094      0.032              C021300400081 
    7.0       7.         9.         0.114      0.030              C021300400082 
    7.0       9.        11.         0.171      0.026              C021300400083 
    7.0      11.        13.         0.164      0.022              C021300400084 
    7.0      13.        15.         0.183      0.019              C021300400085 
    7.0      15.        17.         0.241      0.017              C021300400086 
    7.0      17.        19.         0.245      0.017              C021300400087 
    7.0      19.        21.         0.262      0.018              C021300400088 
    7.0      21.        23.         0.318      0.020              C021300400089 
    7.0      23.        25.         0.325      0.021              C021300400090 
    7.0      25.        27.         0.351      0.021              C021300400091 
    7.0      27.        29.         0.364      0.022              C021300400092 
    7.0      29.        31.         0.377      0.023              C021300400093 
    7.0      31.        33.         0.385      0.023              C021300400094 
    7.0      33.        35.         0.384      0.024              C021300400095 
    7.0      35.        37.         0.413      0.025              C021300400096 
    7.0      37.        39.         0.408      0.026              C021300400097 
    7.0      39.        41.         0.382      0.027              C021300400098 
    7.0      41.        43.         0.465      0.029              C021300400099 
    7.0      43.        45.         0.435      0.031              C021300400100 
    7.0      45.        47.         0.461      0.035              C021300400101 
    7.0      47.        49.         0.481      0.039              C021300400102 
    7.0      49.        51.         0.432      0.164              C021300400103 
    7.0      51.        53.         0.316      0.275              C021300400104 
    7.0      53.        55.         0.261      0.336              C021300400105 
    7.0      55.        57.         0.519      0.406              C021300400106 
    7.0      57.        59.         0.528      0.392              C021300400107 
    7.0      59.        61.         0.482      0.577              C021300400108 
    9.0       1.         3.        -0.057      0.047              C021300400109 
    9.0       3.         5.        -0.005      0.015              C021300400110 
    9.0       5.         7.        -0.015      0.021              C021300400111 
    9.0       7.         9.         0.047      0.020              C021300400112 
    9.0       9.        11.         0.086      0.020              C021300400113 
    9.0      11.        13.         0.089      0.018              C021300400114 
    9.0      13.        15.         0.075      0.016              C021300400115 
    9.0      15.        17.         0.118      0.014              C021300400116 
    9.0      17.        19.         0.147      0.014              C021300400117 
    9.0      19.        21.         0.168      0.015              C021300400118 
    9.0      21.        23.         0.183      0.016              C021300400119 
    9.0      23.        25.         0.239      0.017              C021300400120 
    9.0      25.        27.         0.279      0.017              C021300400121 
    9.0      27.        29.         0.254      0.018              C021300400122 
    9.0      29.        31.         0.303      0.018              C021300400123 
    9.0      31.        33.         0.317      0.018              C021300400124 
    9.0      33.        35.         0.312      0.019              C021300400125 
    9.0      35.        37.         0.312      0.020              C021300400126 
    9.0      37.        39.         0.335      0.021              C021300400127 
    9.0      39.        41.         0.382      0.023              C021300400128 
    9.0      41.        43.         0.341      0.025              C021300400129 
    9.0      43.        45.         0.325      0.028              C021300400130 
    9.0      45.        47.         0.384      0.033              C021300400131 
    9.0      47.        49.         0.334      0.040              C021300400132 
    9.0      49.        51.         0.287      0.187              C021300400133 
    9.0      51.        53.         1.147      0.495              C021300400134 
    9.0      53.        55.         0.210      1.039              C021300400135 
    9.0      55.        57.         2.547      2.127              C021300400136 
    9.0      57.        59.         0.500      0.592              C021300400137 
    9.0      59.        61.         0.500      0.599              C021300400138 
   12.0       1.         3.        -0.087      0.041              C021300400139 
   12.0       3.         5.        -0.007      0.023              C021300400140 
   12.0       5.         7.         0.048      0.034              C021300400141 
   12.0       7.         9.        -0.010      0.040              C021300400142 
   12.0       9.        11.        -0.001      0.038              C021300400143 
   12.0      11.        13.         0.072      0.035              C021300400144 
   12.0      13.        15.         0.103      0.033              C021300400145 
   12.0      15.        17.         0.058      0.032              C021300400146 
   12.0      17.        19.         0.084      0.031              C021300400147 
   12.0      19.        21.         0.117      0.033              C021300400148 
   12.0      21.        23.         0.159      0.034              C021300400149 
   12.0      23.        25.         0.121      0.035              C021300400150 
   12.0      25.        27.         0.155      0.035              C021300400151 
   12.0      27.        29.         0.199      0.035              C021300400152 
   12.0      29.        31.         0.239      0.036              C021300400153 
   12.0      31.        33.         0.216      0.035              C021300400154 
   12.0      33.        35.         0.245      0.036              C021300400155 
   12.0      35.        37.         0.274      0.037              C021300400156 
   12.0      37.        39.         0.253      0.039              C021300400157 
   12.0      39.        41.         0.274      0.042              C021300400158 
