ENTRY            C1739   20130426                             C130C173900000001 
SUBENT        C1739001   20130426                             C130C173900100001 
BIB                  8         29                                 C173900100002 
TITLE      Systematic study of the alpha-optical potential via    C173900100003 
            elastic scattering near the Z = 50 region for         C173900100004 
            p-process nuclei                                      C173900100005 
AUTHOR     (A.Palumbo, W.P.Tan, J.Gorres, A.Best, M.Couder,       C173900100006 
            R.Crowter, R.J.Deboer, S.Falahat, P.J.Leblanc,        C173900100007 
            H.Y.Lee, S.O'Brien, E.Strandberg, M.Wiescher,         C173900100008 
            J.P.Greene, Zs.Fulop, G.G.Kiss,  E.Somorjai,          C173900100009 
            N.Ozkan, G.Efe, R.T.Guray)                            C173900100010 
INSTITUTE  (1USANOT,1USAANL,3HUNDEB,2TUKKOC)                      C173900100011 
REFERENCE  (J,PR/C,85,035808,2012) Main reference                 C173900100012 
           (C,2008MACKIN,,(046),2008) preliminary data on 120Te   C173900100013 
FACILITY   (VDGT,1USANOT) FN tandem accelerator                   C173900100014 
DETECTOR   (SI) Thirty Si pin diode detectors were mounted on a   C173900100015 
            rotatable table which spanned an angular range from   C173900100016 
            22.5deg to 167.5deg in 2.5deg increments.             C173900100017 
           Two monitor detectors were placed at 15deg on either   C173900100018 
            side of the beam axis to correct for deviations in    C173900100019 
            the beam spot.                                        C173900100020 
ERR-ANALYS (ERR-T) Quadrature sum of the uncertainties due to     C173900100021 
                    - counting statistics                         C173900100022 
                    - angular position                            C173900100023 
                    - beam energy,                                C173900100024 
           (ERR-1)  - solid angle (1%)                            C173900100025 
HISTORY    (20090918C) Compiled by S.H.                           C173900100026 
           (20120331A) Main reference compiled by S.H.            C173900100027 
                       All data replaced by data from author.     C173900100028 
                       Subentry 2 updated - differential cross    C173900100029 
                       section added, subentries 3,4 deleted      C173900100030 
                       and subentries 5-10 added                  C173900100031 
ENDBIB              29          0                                 C173900100032 
COMMON               2          3                                 C173900100033 
ANG-ERR    ERR-1                                                  C173900100034 
ADEG       PER-CENT                                               C173900100035 
 0.01       1.                                                    C173900100036 
ENDCOMMON            3          0                                 C173900100037 
ENDSUBENT           36          0                                 C173900199999 
SUBENT        C1739002   20130426                             C130C173900200001 
BIB                  4         11                                 C173900200002 
REACTION  1(52-TE-120(A,EL)52-TE-120,,DA)                         C173900200003 
          2(52-TE-120(A,EL)52-TE-120,,DA,,RTH)                    C173900200004 
SAMPLE     (52-TE-120,ENR=0.994) Target in oxide form TeO2 with   C173900200005 
                                 thickness of 130 - 210 mu-g/cm2  C173900200006 
STATUS     (TABLE) Data presented in fig. 4 of the main reference C173900200007 
                   sent by author (W.P.T)                         C173900200008 
HISTORY    (20120331A) S.H. Data in original subentry 2 contained C173900200009 
            only ratios to Rutherford cross sections. DifferentialC173900200010 
            cross sections from main reference were added for     C173900200011 
            several incident energies                             C173900200012 
           (20130426A) On. Uncertainty in Rutherford ratio revisedC173900200013 
ENDBIB              11          0                                 C173900200014 
NOCOMMON             0          0                                 C173900200015 
DATA                 6        296                                 C173900200016 
EN         ANG        DATA      1ERR-T     1DATA      2ERR-T     2C173900200017 
       27.0       92.8   1.23E+00   4.42E-02   1.75E-02   3.60    C173900200284 
       27.0       95.2   9.35E-01   1.20E-02   1.44E-02   1.28    C173900200285 
       27.0       97.7   8.48E-01   1.10E-02   1.40E-02   1.30    C173900200286 
       27.0      100.2   7.26E-01   9.73E-03   1.29E-02   1.34    C173900200287 
       27.0      102.7   5.96E-01   8.50E-03   1.14E-02   1.43    C173900200288 
       27.0      105.2   4.58E-01   6.89E-03   9.32E-03   1.51    C173900200289 
       27.0      107.7   3.49E-01   5.82E-03   7.56E-03   1.67    C173900200290 
       27.0      110.2   2.59E-01   4.77E-03   5.96E-03   1.84    C173900200291 
       27.0      112.7   2.30E-01   4.42E-03   5.60E-03   1.92    C173900200292 
       27.0      115.2   2.16E-01   4.32E-03   5.54E-03   2.00    C173900200293 
       27.0      117.7   1.98E-01   4.04E-03   5.37E-03   2.04    C173900200294 
       27.0      120.2   1.72E-01   3.68E-03   4.89E-03   2.14    C173900200295 
       27.0      122.7   1.45E-01   3.32E-03   4.31E-03   2.29    C173900200296 
       27.0      125.2   1.12E-01   2.87E-03   3.50E-03   2.55    C173900200297 
       27.0      127.7   8.44E-02   2.44E-03   2.74E-03   2.89    C173900200298 
       27.0      130.2   7.27E-02   2.26E-03   2.45E-03   3.11    C173900200299 
       27.0      132.7   6.63E-02   2.17E-03   2.32E-03   3.27    C173900200300 
       27.0      135.2   6.74E-02   2.21E-03   2.44E-03   3.28    C173900200301 
       27.0      137.7   6.51E-02   2.12E-03   2.44E-03   3.26    C173900200302 
       27.0      140.2   5.92E-02   2.07E-03   2.29E-03   3.50    C173900200303 
       27.0      142.7   5.33E-02   1.91E-03   2.12E-03   3.58    C173900200304 
       27.0      145.2   4.59E-02   1.76E-03   1.88E-03   3.82    C173900200305 
       27.0      147.7   4.07E-02   1.65E-03   1.71E-03   4.06    C173900200306 
       27.0      150.2   3.49E-02   1.53E-03   1.50E-03   4.39    C173900200307 
       27.0      152.7   3.40E-02   1.52E-03   1.49E-03   4.47    C173900200308 
       27.0      155.2   3.17E-02   1.46E-03   1.41E-03   4.61    C173900200309 
       27.0      157.7   2.85E-02   1.38E-03   1.29E-03   4.83    C173900200310 
       27.0      160.2   3.12E-02   1.45E-03   1.43E-03   4.64    C173900200311 
       27.0      162.7   2.93E-02   1.42E-03   1.37E-03   4.86    C173900200312 
       27.0      165.2   3.04E-02   1.46E-03   1.43E-03   4.79    C173900200313 
       27.0      167.5   2.56E-02   2.12E-03   1.22E-03   8.30    C173900200314 
ENDDATA            298          0                                 C173900200315 
ENDSUBENT          314          0                                 C173900299999 
NOSUBENT      C1739003   20120418                             C117C173900300001 
NOSUBENT      C1739004   20120418                             C117C173900400001 
SUBENT        C1739005   20130426                             C130C173900500001 
BIB                  4          8                                 C173900500002 
REACTION  1(52-TE-124(A,EL)52-TE-124,,DA)                         C173900500003 
          2(52-TE-124(A,EL)52-TE-124,,DA,,RTH)                    C173900500004 
SAMPLE     (52-TE-124,ENR=0.995) Target in oxide form TeO2 with   C173900500005 
                                 thickness of 190 - 230 mu-g/cm2  C173900500006 
STATUS     (TABLE) Data presented in fig. 5 of the main reference C173900500007 
                   sent by author (W.P.T)                         C173900500008 
HISTORY    (20120331C) S.H.                                       C173900500009 
           (20130426A) On. Uncertainty in Rutherford ratio revisedC173900500010 
ENDBIB               8          0                                 C173900500011 
NOCOMMON             0          0                                 C173900500012 
DATA                 6        296                                 C173900500013 
EN         ANG        DATA      1ERR-T     1DATA      2ERR-T     2C173900500014 
MEV        ADEG       MB/SR      MB/SR      NO-DIM     PER-CENT   C173900500015 
       17.0       15.2   1.48E+05   1.49E+03   1.00E+00   1.01    C173900500016 
       17.0       22.6   3.00E+04   3.00E+02   9.70E-01   1.00    C173900500017 
       17.0       25.1   2.03E+04   2.04E+02   9.94E-01   1.00    C173900500018 
       17.0       27.6   1.39E+04   1.40E+02   9.82E-01   1.01    C173900500019 
       17.0       30.1   9.80E+03   1.00E+02   9.75E-01   1.02    C173900500020 
       17.0       32.7   7.19E+03   7.20E+01   9.83E-01   1.00    C173900500021 
       17.0       35.2   5.43E+03   5.47E+01   9.88E-01   1.01    C173900500022 
       17.0       37.7   4.09E+03   4.16E+01   9.67E-01   1.02    C173900500023 
       17.0       40.2   3.22E+03   3.31E+01   9.72E-01   1.03    C173900500024 
       17.0       42.7   2.62E+03   2.71E+01   9.95E-01   1.04    C173900500025 
       17.0       45.2   2.14E+03   2.25E+01   1.01E+00   1.05    C173900500026 
       17.0       47.7   1.76E+03   1.87E+01   1.01E+00   1.06    C173900500027 
       17.0       50.2   1.50E+03   1.61E+01   1.04E+00   1.08    C173900500028 
       17.0       52.7   1.27E+03   1.39E+01   1.06E+00   1.10    C173900500029 
       17.0       55.2   1.06E+03   1.19E+01   1.05E+00   1.12    C173900500030 
       17.0       57.7   9.18E+02   1.04E+01   1.06E+00   1.14    C173900500031 
       17.0       60.2   7.78E+02   9.05E+00   1.05E+00   1.16    C173900500032 
       17.0       62.7   6.64E+02   7.94E+00   1.03E+00   1.20    C173900500033 
       17.0       65.2   5.61E+02   6.88E+00   1.00E+00   1.23    C173900500034 
       17.0       67.7   4.80E+02   6.10E+00   9.76E-01   1.27    C173900500035 
       17.0       70.2   4.14E+02   5.43E+00   9.56E-01   1.31    C173900500036 
       17.0       72.7   3.46E+02   4.74E+00   8.98E-01   1.37    C173900500037 
       17.0       75.2   2.99E+02   4.21E+00   8.69E-01   1.41    C173900500038 
       17.0       77.7   2.53E+02   3.77E+00   8.17E-01   1.49    C173900500039 
       17.0       80.2   2.21E+02   3.40E+00   7.93E-01   1.54    C173900500040 
       17.0       82.7   1.86E+02   3.01E+00   7.35E-01   1.62    C173900500041 
       17.0       85.2   1.63E+02   2.76E+00   7.09E-01   1.69    C173900500042 
       17.0       87.7   1.38E+02   2.47E+00   6.54E-01   1.80    C173900500043 
       17.0       90.2   1.23E+02   2.31E+00   6.37E-01   1.88    C173900500044 
       17.0       92.7   1.06E+02   2.11E+00   5.96E-01   1.99    C173900500045 
       17.0       95.2   9.04E+01   1.29E+00   5.51E-01   1.43    C173900500046 
       17.0       97.7   7.96E+01   1.22E+00   5.23E-01   1.53    C173900500047 
       17.0      100.2   6.74E+01   1.08E+00   4.76E-01   1.60    C173900500048 
       17.0      102.7   5.79E+01   9.90E-01   4.38E-01   1.71    C173900500049 
       17.0      105.2   5.23E+01   9.07E-01   4.22E-01   1.74    C173900500050 
       17.0      107.7   4.69E+01   9.30E-01   4.03E-01   1.99    C173900500051 
       17.0      110.2   4.25E+01   8.73E-01   3.88E-01   2.06    C173900500052 
       17.0      112.7   3.69E+01   8.03E-01   3.57E-01   2.17    C173900500053 
       17.0      115.2   3.35E+01   7.71E-01   3.42E-01   2.30    C173900500054 
       17.0      117.7   2.86E+01   6.90E-01   3.07E-01   2.41    C173900500055 
       17.0      120.2   2.63E+01   6.54E-01   2.97E-01   2.49    C173900500056 
       17.0      122.7   2.33E+01   6.09E-01   2.75E-01   2.62    C173900500057 
       17.0      125.2   2.06E+01   5.72E-01   2.55E-01   2.77    C173900500058 
       17.0      127.7   2.09E+01   5.74E-01   2.69E-01   2.76    C173900500059 
       17.0      130.2   1.75E+01   5.25E-01   2.35E-01   2.99    C173900500060 
       17.0      132.8   1.68E+01   5.18E-01   2.34E-01   3.08    C173900500061 
       17.0      135.2   1.48E+01   4.87E-01   2.12E-01   3.31    C173900500062 
       17.0      137.7   1.31E+01   4.47E-01   1.95E-01   3.41    C173900500063 
       17.0      140.2   1.31E+01   4.59E-01   2.01E-01   3.51    C173900500064 
       17.0      142.7   1.29E+01   4.44E-01   2.04E-01   3.44    C173900500065 
       17.0      145.2   1.18E+01   4.22E-01   1.92E-01   3.57    C173900500066 
       17.0      147.7   1.08E+01   4.03E-01   1.79E-01   3.75    C173900500067 
       17.0      150.2   9.82E+00   3.86E-01   1.67E-01   3.93    C173900500068 
       17.0      152.7   1.00E+01   3.91E-01   1.74E-01   3.91    C173900500069 
       17.0      155.2   9.49E+00   3.80E-01   1.68E-01   4.01    C173900500070 
       17.0      157.7   8.87E+00   3.65E-01   1.60E-01   4.12    C173900500071 
       17.0      160.2   7.96E+00   3.45E-01   1.46E-01   4.33    C173900500072 
       17.0      162.7   8.70E+00   3.66E-01   1.61E-01   4.20    C173900500073 
       17.0      165.2   7.86E+00   3.50E-01   1.47E-01   4.45    C173900500074 
       19.0       15.3   1.18E+05   1.18E+03   1.00E+00   1.01    C173900500075 
       19.0       22.6   2.47E+04   2.45E+02   9.98E-01    .993   C173900500076 
       19.0       25.1   1.64E+04   1.63E+02   1.00E+00    .993   C173900500077 
       19.0       27.6   1.09E+04   1.09E+02   9.64E-01    .996   C173900500078 
       19.0       30.1   7.66E+03   7.67E+01   9.51E-01   1.00    C173900500079 
       19.0       32.6   5.74E+03   5.68E+01   9.70E-01    .990   C173900500080 
       19.0       35.1   4.49E+03   4.45E+01   1.01E+00    .993   C173900500081 
       19.0       37.6   3.52E+03   3.50E+01   1.03E+00    .996   C173900500082 
       19.0       40.1   2.83E+03   2.83E+01   1.06E+00   1.00    C173900500083 
       19.0       42.6   2.31E+03   2.32E+01   1.09E+00   1.01    C173900500084 
       19.0       45.1   1.87E+03   1.89E+01   1.09E+00   1.01    C173900500085 
       19.0       47.6   1.51E+03   1.53E+01   1.08E+00   1.02    C173900500086 
       19.0       50.1   1.23E+03   1.26E+01   1.06E+00   1.03    C173900500087 
       19.0       52.6   9.95E+02   1.03E+01   1.03E+00   1.04    C173900500088 
       19.0       55.1   7.94E+02   8.34E+00   9.72E-01   1.05    C173900500089 
       19.0       57.6   6.45E+02   6.88E+00   9.28E-01   1.07    C173900500090 
       19.0       60.1   5.14E+02   5.59E+00   8.61E-01   1.09    C173900500091 
       19.0       62.6   4.18E+02   4.66E+00   8.09E-01   1.11    C173900500092 
       19.0       65.1   3.39E+02   3.86E+00   7.53E-01   1.14    C173900500093 
       19.0       67.6   2.73E+02   3.21E+00   6.91E-01   1.18    C173900500094 
       19.0       70.1   2.22E+02   2.70E+00   6.36E-01   1.22    C173900500095 
       19.0       72.6   1.80E+02   2.28E+00   5.81E-01   1.27    C173900500096 
       19.0       75.1   1.47E+02   1.94E+00   5.33E-01   1.32    C173900500097 
       19.0       77.6   1.21E+02   1.68E+00   4.86E-01   1.39    C173900500098 
       19.0       80.1   9.82E+01   1.43E+00   4.39E-01   1.46    C173900500099 
       19.0       82.6   8.13E+01   1.25E+00   4.01E-01   1.53    C173900500100 
       19.0       85.1   6.61E+01   1.08E+00   3.58E-01   1.64    C173900500101 
       19.0       87.6   5.73E+01   9.84E-01   3.40E-01   1.72    C173900500102 
       19.0       90.1   4.88E+01   8.90E-01   3.16E-01   1.82    C173900500103 
       19.0       92.6   3.96E+01   7.82E-01   2.78E-01   1.97    C173900500104 
       19.0       95.2   3.33E+01   4.05E-01   2.53E-01   1.22    C173900500105 
       19.0       97.7   2.87E+01   3.61E-01   2.35E-01   1.26    C173900500106 
       19.0      100.2   2.36E+01   3.08E-01   2.08E-01   1.30    C173900500107 
       19.0      102.7   2.04E+01   2.78E-01   1.92E-01   1.36    C173900500108 
       19.0      105.2   1.77E+01   2.46E-01   1.79E-01   1.39    C173900500109 
       19.0      107.8   1.56E+01   2.32E-01   1.68E-01   1.48    C173900500110 
       19.0      110.2   1.32E+01   2.06E-01   1.51E-01   1.55    C173900500111 
       19.0      112.7   1.17E+01   1.89E-01   1.41E-01   1.61    C173900500112 
       19.0      115.2   1.01E+01   1.73E-01   1.29E-01   1.71    C173900500113 
       19.0      117.7   8.96E+00   1.58E-01   1.20E-01   1.76    C173900500114 
       19.0      120.3   7.73E+00   1.42E-01   1.09E-01   1.84    C173900500115 
       19.0      122.8   7.24E+00   1.37E-01   1.07E-01   1.89    C173900500116 
       19.0      125.2   6.21E+00   1.24E-01   9.59E-02   2.00    C173900500117 
       19.0      127.8   5.47E+00   1.15E-01   8.81E-02   2.10    C173900500118 
       19.0      130.3   4.85E+00   1.07E-01   8.12E-02   2.21    C173900500119 
       19.0      132.8   4.35E+00   1.02E-01   7.56E-02   2.34    C173900500120 
       19.0      135.3   4.24E+00   1.01E-01   7.63E-02   2.38    C173900500121 
       19.0      137.8   3.82E+00   9.31E-02   7.12E-02   2.43    C173900500122 
       19.0      140.3   3.53E+00   9.12E-02   6.77E-02   2.58    C173900500123 
       19.0      142.8   3.26E+00   8.52E-02   6.45E-02   2.61    C173900500124 
       19.0      145.3   3.22E+00   8.43E-02   6.53E-02   2.62    C173900500125 
       19.0      147.8   2.85E+00   7.88E-02   5.92E-02   2.77    C173900500126 
       19.0      150.2   2.71E+00   7.71E-02   5.76E-02   2.85    C173900500127 
       19.0      152.8   2.56E+00   7.48E-02   5.55E-02   2.93    C173900500128 
       19.0      155.2   2.35E+00   7.14E-02   5.20E-02   3.04    C173900500129 
       19.0      157.7   2.16E+00   6.79E-02   4.87E-02   3.14    C173900500130 
       19.0      160.2   2.03E+00   6.56E-02   4.64E-02   3.23    C173900500131 
       19.0      162.7   2.02E+00   6.61E-02   4.68E-02   3.27    C173900500132 
       19.0      165.2   1.98E+00   6.59E-02   4.63E-02   3.33    C173900500133 
       22.0       15.3   8.74E+04   8.78E+02   1.00E+00   1.00    C173900500134 
       22.0       22.7   1.66E+04   1.64E+02   9.18E-01    .989   C173900500135 
       22.0       25.3   1.15E+04   1.13E+02   9.58E-01    .987   C173900500136 
       22.0       27.7   8.13E+03   8.02E+01   9.81E-01    .987   C173900500137 
       22.0       30.3   6.14E+03   6.06E+01   1.04E+00    .988   C173900500138 
       22.0       32.7   4.78E+03   4.70E+01   1.10E+00    .983   C173900500139 
       22.0       35.2   3.67E+03   3.61E+01   1.12E+00    .984   C173900500140 
       22.0       37.7   2.69E+03   2.65E+01   1.07E+00    .985   C173900500141 
       22.0       40.2   2.01E+03   1.98E+01   1.02E+00    .987   C173900500142 
       22.0       42.7   1.51E+03   1.49E+01   9.59E-01    .989   C173900500143 
       22.0       45.2   1.12E+03   1.11E+01   8.85E-01    .992   C173900500144 
       22.0       47.7   8.28E+02   8.25E+00   8.00E-01    .996   C173900500145 
       22.0       50.2   6.16E+02   6.16E+00   7.18E-01   1.00    C173900500146 
       22.0       52.7   4.64E+02   4.68E+00   6.47E-01   1.01    C173900500147 
       22.0       55.2   3.45E+02   3.50E+00   5.69E-01   1.02    C173900500148 
       22.0       57.7   2.60E+02   2.68E+00   5.05E-01   1.03    C173900500149 
       22.0       60.2   1.96E+02   2.04E+00   4.42E-01   1.04    C173900500150 
       22.0       62.7   1.49E+02   1.58E+00   3.88E-01   1.06    C173900500151 
       22.0       65.2   1.15E+02   1.24E+00   3.44E-01   1.08    C173900500152 
       22.0       67.7   8.78E+01   9.78E-01   3.00E-01   1.11    C173900500153 
       22.0       70.3   6.87E+01   7.88E-01   2.66E-01   1.15    C173900500154 
       22.0       72.7   5.43E+01   6.45E-01   2.36E-01   1.19    C173900500155 
       22.0       75.2   4.26E+01   5.24E-01   2.07E-01   1.23    C173900500156 
       22.0       77.7   3.29E+01   4.30E-01   1.78E-01   1.31    C173900500157 
       22.0       80.2   2.62E+01   3.58E-01   1.58E-01   1.37    C173900500158 
       22.0       82.7   2.11E+01   3.03E-01   1.40E-01   1.44    C173900500159 
       22.0       85.2   1.77E+01   2.68E-01   1.29E-01   1.51    C173900500160 
       22.0       87.7   1.41E+01   2.29E-01   1.13E-01   1.62    C173900500161 
       22.0       90.2   1.14E+01   1.99E-01   9.92E-02   1.75    C173900500162 
       22.0       92.7   9.04E+00   1.72E-01   8.54E-02   1.90    C173900500163 
       22.0       95.2   7.50E+00   9.07E-02   7.66E-02   1.21    C173900500164 
       22.0       97.7   6.12E+00   7.71E-02   6.74E-02   1.26    C173900500165 
       22.0      100.2   5.09E+00   6.63E-02   6.03E-02   1.30    C173900500166 
       22.0      102.7   4.33E+00   5.91E-02   5.48E-02   1.37    C173900500167 
       22.0      105.2   3.69E+00   5.17E-02   5.00E-02   1.40    C173900500168 
       22.0      107.7   3.14E+00   4.76E-02   4.53E-02   1.52    C173900500169 
       22.0      110.2   2.68E+00   4.25E-02   4.11E-02   1.58    C173900500170 
       22.0      112.7   2.23E+00   3.75E-02   3.62E-02   1.68    C173900500171 
       22.0      115.2   1.95E+00   3.47E-02   3.32E-02   1.78    C173900500172 
       22.0      117.7   1.57E+00   2.97E-02   2.83E-02   1.89    C173900500173 
       22.0      120.3   1.41E+00   2.77E-02   2.67E-02   1.96    C173900500174 
       22.0      122.8   1.28E+00   2.59E-02   2.53E-02   2.03    C173900500175 
       22.0      125.2   1.13E+00   2.42E-02   2.34E-02   2.14    C173900500176 
       22.0      127.8   1.01E+00   2.25E-02   2.18E-02   2.24    C173900500177 
       22.0      130.3   9.04E-01   2.13E-02   2.03E-02   2.35    C173900500178 
       22.0      132.8   8.02E-01   2.00E-02   1.87E-02   2.50    C173900500179 
       22.0      135.3   7.00E-01   1.87E-02   1.69E-02   2.67    C173900500180 
       22.0      137.8   6.10E-01   1.69E-02   1.52E-02   2.77    C173900500181 
       22.0      140.3   5.51E-01   1.64E-02   1.42E-02   2.98    C173900500182 
       22.0      142.8   5.11E-01   1.54E-02   1.35E-02   3.01    C173900500183 
       22.0      145.3   4.64E-01   1.45E-02   1.26E-02   3.13    C173900500184 
       22.0      147.8   4.49E-01   1.43E-02   1.25E-02   3.19    C173900500185 
       22.0      150.2   3.90E-01   1.33E-02   1.11E-02   3.42    C173900500186 
       22.0      152.7   3.87E-01   1.33E-02   1.13E-02   3.44    C173900500187 
       22.0      155.2   4.10E-01   1.37E-02   1.22E-02   3.35    C173900500188 
       22.0      157.7   3.79E-01   1.31E-02   1.14E-02   3.46    C173900500189 
       22.0      160.2   3.84E-01   1.32E-02   1.18E-02   3.44    C173900500190 
       22.0      162.7   3.35E-01   1.24E-02   1.04E-02   3.70    C173900500191 
       22.0      165.2   3.15E-01   1.21E-02   9.90E-03   3.84    C173900500192 
       24.5       15.3   6.99E+04   7.02E+02   1.00E+00   1.00    C173900500193 
       24.5       22.7   1.44E+04   1.44E+02   9.83E-01   1.01    C173900500194 
       24.5       25.2   1.03E+04   1.03E+02   1.06E+00   1.01    C173900500195 
       24.5       27.7   7.32E+03   7.45E+01   1.09E+00   1.02    C173900500196 
       24.5       30.2   5.25E+03   5.42E+01   1.10E+00   1.03    C173900500197 
       24.5       32.7   3.68E+03   3.63E+01   1.05E+00    .985   C173900500198 
       24.5       35.2   2.61E+03   2.58E+01   9.89E-01    .987   C173900500199 
       24.5       37.7   1.81E+03   1.80E+01   8.92E-01    .989   C173900500200 
       24.5       40.2   1.27E+03   1.26E+01   8.00E-01    .994   C173900500201 
       24.5       42.7   8.75E+02   8.74E+00   6.92E-01    .999   C173900500202 
       24.5       45.2   6.12E+02   6.17E+00   6.00E-01   1.01    C173900500203 
       24.5       47.7   4.31E+02   4.39E+00   5.16E-01   1.02    C173900500204 
       24.5       50.2   3.16E+02   3.26E+00   4.57E-01   1.03    C173900500205 
       24.5       52.7   2.29E+02   2.41E+00   3.96E-01   1.06    C173900500206 
       24.5       55.2   1.56E+02   1.69E+00   3.20E-01   1.08    C173900500207 
       24.5       57.7   1.14E+02   1.28E+00   2.75E-01   1.12    C173900500208 
       24.5       60.2   8.32E+01   9.68E-01   2.33E-01   1.16    C173900500209 
       24.5       62.7   6.49E+01   7.86E-01   2.10E-01   1.21    C173900500210 
       24.5       65.2   4.90E+01   6.25E-01   1.82E-01   1.28    C173900500211 
       24.5       67.7   3.65E+01   4.98E-01   1.54E-01   1.37    C173900500212 
       24.5       70.3   2.67E+01   3.98E-01   1.28E-01   1.49    C173900500213 
       24.5       72.7   2.01E+01   3.28E-01   1.08E-01   1.63    C173900500214 
       24.5       75.3   1.55E+01   2.72E-01   9.37E-02   1.75    C173900500215 
       24.5       77.7   1.27E+01   2.44E-01   8.57E-02   1.92    C173900500216 
       24.5       80.2   1.00E+01   2.07E-01   7.48E-02   2.06    C173900500217 
       24.5       82.7   7.81E+00   1.77E-01   6.43E-02   2.27    C173900500218 
       24.5       85.2   6.17E+00   1.55E-01   5.58E-02   2.52    C173900500219 
       24.5       87.7   4.80E+00   1.35E-01   4.75E-02   2.82    C173900500220 
       24.5       90.2   3.65E+00   1.16E-01   3.93E-02   3.19    C173900500221 
       24.5       92.7   3.08E+00   1.06E-01   3.61E-02   3.45    C173900500222 
       24.5       95.2   2.55E+00   3.76E-02   3.24E-02   1.47    C173900500223 
       24.5       97.8   2.10E+00   3.26E-02   2.87E-02   1.56    C173900500224 
       24.5      100.3   1.70E+00   2.81E-02   2.50E-02   1.65    C173900500225 
       24.5      102.8   1.37E+00   2.48E-02   2.15E-02   1.81    C173900500226 
       24.5      105.3   1.13E+00   2.15E-02   1.91E-02   1.89    C173900500227 
       24.5      107.8   9.28E-01   1.98E-02   1.66E-02   2.14    C173900500228 
       24.5      110.3   7.80E-01   1.78E-02   1.48E-02   2.28    C173900500229 
       24.5      112.8   6.45E-01   1.59E-02   1.30E-02   2.47    C173900500230 
       24.5      115.3   5.74E-01   1.52E-02   1.22E-02   2.65    C173900500231 
       24.5      117.8   4.72E-01   1.33E-02   1.05E-02   2.83    C173900500232 
       24.5      120.3   4.13E-01   1.23E-02   9.70E-03   2.98    C173900500233 
       24.5      122.8   3.88E-01   1.19E-02   9.55E-03   3.07    C173900500234 
       24.5      125.3   3.25E-01   1.08E-02   8.34E-03   3.34    C173900500235 
       24.5      127.8   2.95E-01   1.03E-02   7.91E-03   3.48    C173900500236 
       24.5      130.3   2.67E-01   9.82E-03   7.45E-03   3.68    C173900500237 
       24.5      132.8   2.21E-01   8.97E-03   6.39E-03   4.06    C173900500238 
       24.5      135.3   1.93E-01   8.46E-03   5.79E-03   4.37    C173900500239 
       24.5      137.8   1.75E-01   7.83E-03   5.41E-03   4.48    C173900500240 
       24.5      140.3   1.54E-01   7.53E-03   4.90E-03   4.91    C173900500241 
       24.5      142.8   1.46E-01   7.16E-03   4.81E-03   4.89    C173900500242 
       24.5      145.3   1.42E-01   7.02E-03   4.79E-03   4.94    C173900500243 
       24.5      147.8   1.30E-01   6.73E-03   4.49E-03   5.19    C173900500244 
       24.5      150.3   1.24E-01   6.62E-03   4.40E-03   5.33    C173900500245 
       24.5      152.8   1.16E-01   6.42E-03   4.20E-03   5.52    C173900500246 
       24.5      155.3   9.27E-02   5.71E-03   3.41E-03   6.16    C173900500247 
       24.5      157.8   9.17E-02   5.65E-03   3.43E-03   6.16    C173900500248 
       24.5      160.3   8.34E-02   5.39E-03   3.17E-03   6.46    C173900500249 
       24.5      162.8   7.08E-02   5.01E-03   2.73E-03   7.07    C173900500250 
       24.5      165.3   7.54E-02   5.22E-03   2.94E-03   6.92    C173900500251 
       27.0       15.1   6.11E+04   6.14E+02   1.00E+00   1.01    C173900500252 
       27.0       22.8   1.38E+04   1.40E+02   1.16E+00   1.01    C173900500253 
       27.0       25.3   9.66E+03   9.88E+01   1.22E+00   1.02    C173900500254 
       27.0       27.8   6.21E+03   6.46E+01   1.13E+00   1.04    C173900500255 
       27.0       30.3   4.00E+03   4.30E+01   1.02E+00   1.08    C173900500256 
       27.0       32.8   2.71E+03   2.66E+01   9.42E-01    .984   C173900500257 
       27.0       35.3   1.85E+03   1.82E+01   8.55E-01    .984   C173900500258 
       27.0       37.8   1.18E+03   1.16E+01   7.06E-01    .987   C173900500259 
       27.0       40.3   7.57E+02   7.50E+00   5.82E-01    .990   C173900500260 
       27.0       42.8   5.11E+02   5.08E+00   4.93E-01    .995   C173900500261 
       27.0       45.3   3.65E+02   3.65E+00   4.36E-01   1.00    C173900500262 
       27.0       47.8   2.48E+02   2.50E+00   3.62E-01   1.01    C173900500263 
       27.0       50.3   1.66E+02   1.70E+00   2.93E-01   1.03    C173900500264 
       27.0       52.8   1.13E+02   1.19E+00   2.39E-01   1.05    C173900500265 
       27.0       55.3   8.09E+01   8.65E-01   2.02E-01   1.07    C173900500266 
       27.0       57.8   6.12E+01   6.69E-01   1.80E-01   1.09    C173900500267 
       27.0       60.3   4.38E+01   4.98E-01   1.50E-01   1.14    C173900500268 
       27.0       62.8   3.04E+01   3.65E-01   1.20E-01   1.20    C173900500269 
       27.0       65.3   2.18E+01   2.78E-01   9.88E-02   1.27    C173900500270 
       27.0       67.8   1.67E+01   2.26E-01   8.59E-02   1.35    C173900500271 
       27.0       70.3   1.28E+01   1.86E-01   7.46E-02   1.46    C173900500272 
       27.0       72.8   9.64E+00   1.53E-01   6.34E-02   1.59    C173900500273 
       27.0       75.3   7.05E+00   1.22E-01   5.19E-02   1.73    C173900500274 
