ENTRY            C0292   20070501                             C079C029200000001 
SUBENT        C0292001   20070501                             C079C029200100001 
BIB                 10         15                                 C029200100002 
INSTITUTE  (1USABNL)                                              C029200100003 
REFERENCE  (J,PR,140,B1549,1965)                                  C029200100004 
AUTHOR     (S.KATCOFF,E.W.BAKER,N.T.PORILE)                       C029200100005 
TITLE      Emission of Li8 Fragments from Cu, Ag, and Au          C029200100006 
            Irradiated by High-Energy Protons                     C029200100007 
FACILITY   (SYNCH) Cosmotron                                      C029200100008 
SAMPLE     Thin targets.                                          C029200100009 
DETECTOR   (TRD) Nuclear emulsions.                               C029200100010 
CORRECTION In the interval 5-7.5 MeV, the observed number of      C029200100011 
            tracks was corrected for loss due to self-absorption  C029200100012 
            in the target.                                        C029200100013 
ERR-ANALYS No information on uncertainties.                       C029200100014 
HISTORY    (19870713C)                                            C029200100015 
           (19961010A) BIB update; converted to lower case.       C029200100016 
           (20061128A) DR Reference corrected to follow APS formatC029200100017 
ENDBIB              15          0                                 C029200100018 
NOCOMMON             0          0                                 C029200100019 
ENDSUBENT           18          0                                 C029200199999 
SUBENT        C0292002   19961010                             0000C029200200001 
BIB                  3          3                                 C029200200002 
REACTION   (29-CU-0(P,X)3-LI-8,,SIG)                              C029200200003 
MONITOR    (13-AL-27(P,N+3P)11-NA-24,,SIG)                        C029200200004 
STATUS     Data taken from reference Table III.                   C029200200005 
ENDBIB               3          0                                 C029200200006 
NOCOMMON             0          0                                 C029200200007 
DATA                 3          1                                 C029200200008 
EN         DATA       MONIT                                       C029200200009 
GEV        MB         MB                                          C029200200010 
 2.2        1.6        9.5                                        C029200200011 
ENDDATA              3          0                                 C029200200012 
ENDSUBENT           11          0                                 C029200299999 
SUBENT        C0292003   19961010                             0000C029200300001 
BIB                  3          3                                 C029200300002 
REACTION   (47-AG-0(P,X)3-LI-8,,SIG)                              C029200300003 
MONITOR    (13-AL-27(P,N+3P)11-NA-24,,SIG)                        C029200300004 
STATUS     Data taken from reference Table III.                   C029200300005 
ENDBIB               3          0                                 C029200300006 
NOCOMMON             0          0                                 C029200300007 
DATA                 3          1                                 C029200300008 
EN         DATA       MONIT                                       C029200300009 
GEV        MB         MB                                          C029200300010 
 2.0        2.8        9.5                                        C029200300011 
ENDDATA              3          0                                 C029200300012 
ENDSUBENT           11          0                                 C029200399999 
SUBENT        C0292004   19961010                             0000C029200400001 
BIB                  3          3                                 C029200400002 
REACTION   (79-AU-197(P,X)3-LI-8,,SIG)                            C029200400003 
MONITOR    (13-AL-27(P,N+3P)11-NA-24,,SIG)                        C029200400004 
STATUS     Data taken from reference Table III.                   C029200400005 
ENDBIB               3          0                                 C029200400006 
NOCOMMON             0          0                                 C029200400007 
DATA                 3          1                                 C029200400008 
EN         DATA       MONIT                                       C029200400009 
GEV        MB         MB                                          C029200400010 
 2.0        6.9        9.5                                        C029200400011 
ENDDATA              3          0                                 C029200400012 
ENDSUBENT           11          0                                 C029200499999 
SUBENT        C0292005   19961010                             0000C029200500001 
BIB                  2          3                                 C029200500002 
REACTION   (29-CU-0(P,X)3-LI-8,,DA/DE,,REL)                       C029200500003 
           Data correspond to number of tracks measured.          C029200500004 
STATUS     (CURVE) Read from curve in reference.                  C029200500005 
ENDBIB               3          0                                 C029200500006 
COMMON               1          3                                 C029200500007 
EN                                                                C029200500008 
GEV                                                               C029200500009 
 2.2                                                              C029200500010 
ENDCOMMON            3          0                                 C029200500011 
DATA                 5         80                                 C029200500012 
ANG        ANG-ERR    E-MIN      E-MAX      DATA                  C029200500013 
  45.       3.         67.5       70.         2.5                 C029200500084 
  45.       3.         70.        75.         0.3                 C029200500085 
  45.       3.         75.        77.5        1.5                 C029200500086 
  45.       3.         77.5       80.         1.                  C029200500087 
  45.       3.         80.        82.5        0.5                 C029200500088 
  45.       3.         82.5       85.         1.                  C029200500089 
  45.       3.         87.5       90.         0.3                 C029200500090 
  45.       3.         92.5       95.         1.                  C029200500091 
  45.       3.         97.5       100.        0.3                 C029200500092 
  45.       3.         102.5      105.        1.                  C029200500093 
  45.       3.         105.       107.5       0.3                 C029200500094 
ENDDATA             82          0                                 C029200500095 
ENDSUBENT           94          0                                 C029200599999 
SUBENT        C0292006   19961010                             0000C029200600001 
BIB                  2          4                                 C029200600002 
REACTION   ((47-AG-0(P,X)3-LI-8,,DE,,REL)+                        C029200600003 
           (35-BR-0(P,X)3-LI-8,,DE,,REL))                         C029200600004 
           Data correspond to number of tracks measured.          C029200600005 
STATUS     (CURVE) Read from curve in reference.                  C029200600006 
ENDBIB               4          0                                 C029200600007 
COMMON               2          3                                 C029200600008 
EN-MIN     EN-MAX                                                 C029200600009 
GEV        GEV                                                    C029200600010 
 1.0        3.0                                                   C029200600011 
ENDCOMMON            3          0                                 C029200600012 
DATA                 3         17                                 C029200600013 
E-MIN      E-MAX      DATA                                        C029200600014 
MEV        MEV        ARB-UNITS                                   C029200600015 
   2.5        5.        3.                                        C029200600016 
   5.         7.5       3.5                                       C029200600017 
   7.5       10.        9.                                        C029200600018 
  10.        12.5      10.5                                       C029200600019 
  12.5       17.5      18.                                        C029200600020 
  17.5       20.       19.                                        C029200600021 
  20.        25.       11.                                        C029200600022 
  25.        30.       13.                                        C029200600023 
  30.        35.        8.                                        C029200600024 
  35.        40.        8.2                                       C029200600025 
  40.        45.        5.                                        C029200600026 
  45.        50.        2.5                                       C029200600027 
  50.        55.        2.                                        C029200600028 
  55.        60.        1.                                        C029200600029 
  60.        70.        1.1                                       C029200600030 
  70.        85.        0.5                                       C029200600031 
 100.       110.        0.5                                       C029200600032 
ENDDATA             19          0                                 C029200600033 
ENDSUBENT           32          0                                 C029200699999 
SUBENT        C0292007   19961010                             0000C029200700001 
BIB                  2          3                                 C029200700002 
REACTION   (47-AG-0(P,X)3-LI-8,,DA/DE,,REL)                       C029200700003 
           Data correspond to number of tracks measured.          C029200700004 
STATUS     (CURVE) Read from curve in reference.                  C029200700005 
ENDBIB               3          0                                 C029200700006 
COMMON               2          3                                 C029200700007 
EN-MIN     EN-MAX                                                 C029200700008 
GEV        GEV                                                    C029200700009 
 2.0        2.2                                                   C029200700010 
ENDCOMMON            3          0                                 C029200700011 
DATA                 5         55                                 C029200700012 
ANG-MIN    ANG-MAX    E-MIN      E-MAX      DATA                  C029200700013 
ADEG       ADEG       MEV        MEV        ARB-UNITS             C029200700014 
  45.        55.        5.         7.5        0.5                 C029200700015 
  45.        55.        7.5       10.         2.5                 C029200700016 
  45.        55.       10.        12.5        3.5                 C029200700017 
  45.        55.       12.5       15.        11.                  C029200700018 
  45.        55.       15.        17.5       16.5                 C029200700019 
  45.        55.       17.5       20.        10.5                 C029200700020 
  45.        55.       20.        22.5       14.                  C029200700021 
  45.        55.       22.5       25.        13.5                 C029200700022 
  45.        55.       25.        27.5       16.5                 C029200700023 
  45.        55.       27.5       30.        15.5                 C029200700024 
  45.        55.       30.        32.5       12.5                 C029200700025 
  45.        55.       32.5       35.         9.                  C029200700026 
  45.        55.       35.        37.5       13.5                 C029200700027 
  45.        55.       37.5       40.        10.5                 C029200700028 
  45.        55.       40.        42.5        5.5                 C029200700029 
  45.        55.       42.5       45.         6.                  C029200700030 
  45.        55.       45.        47.5        5.                  C029200700031 
  45.        55.       47.5       50.         6.                  C029200700032 
  45.        55.       50.        52.5        3.5                 C029200700033 
  45.        55.       52.5       55.         4.                  C029200700034 
  45.        55.       55.        57.5        3.                  C029200700035 
  45.        55.       57.5       60.         3.5                 C029200700036 
  45.        55.       60.        62.5        1.5                 C029200700037 
  45.        55.       62.5       65.         3.5                 C029200700038 
  45.        55.       65.        67.5        1.5                 C029200700039 
  45.        55.       67.5       70.         1.                  C029200700040 
  45.        55.       70.        75.         0.5                 C029200700041 
  45.        55.       77.5       80.         1.                  C029200700042 
  45.        55.       80.        87.5        0.5                 C029200700043 
  45.        55.       87.5       90.         1.5                 C029200700044 
  45.        55.       90.        95.         0.5                 C029200700045 
  45.        55.       102.5      105.        0.5                 C029200700046 
 125.       135.        7.5       10.         4.5                 C029200700047 
 125.       135.       10.        12.5       12.                  C029200700048 
 125.       135.       12.5       15.        20.                  C029200700049 
 125.       135.       15.        17.5       26.                  C029200700050 
 125.       135.       17.5       20.        22.5                 C029200700051 
 125.       135.       20.        22.5       23.                  C029200700052 
 125.       135.       22.5       25.        20.                  C029200700053 
 125.       135.       25.        27.5       15.                  C029200700054 
 125.       135.       27.5       30.         9.5                 C029200700055 
 125.       135.       30.        32.5       10.                  C029200700056 
 125.       135.       32.5       35.         6.                  C029200700057 
 125.       135.       35.        37.5        5.5                 C029200700058 
 125.       135.       37.5       40.         8.                  C029200700059 
 125.       135.       40.        42.5        4.                  C029200700060 
 125.       135.       42.5       47.5        2.5                 C029200700061 
 125.       135.       47.5       50.         1.                  C029200700062 
 125.       135.       50.        52.5        0.5                 C029200700063 
 125.       135.       52.5       55.         1.                  C029200700064 
 125.       135.       55.        57.5        1.5                 C029200700065 
 125.       135.       57.5       60.         1.                  C029200700066 
 125.       135.       60.        62.5        0.5                 C029200700067 
 125.       135.       67.5       70.         0.5                 C029200700068 
 125.       135.       70.        72.5        1.0                 C029200700069 
ENDDATA             57          0                                 C029200700070 
ENDSUBENT           69          0                                 C029200799999 
SUBENT        C0292008   19961010                             0000C029200800001 
BIB                  2          3                                 C029200800002 
REACTION   (47-AG-0(P,X)3-LI-8,,DA/DE,,REL)                       C029200800003 
           Data correspond to number of tracks measured.          C029200800004 
STATUS     (CURVE) Read from curve in reference.                  C029200800005 
ENDBIB               3          0                                 C029200800006 
COMMON               1          3                                 C029200800007 
EN                                                                C029200800008 
GEV                                                               C029200800009 
 2.0                                                              C029200800010 
ENDCOMMON            3          0                                 C029200800011 
DATA                 5         20                                 C029200800012 
ANG        ANG-ERR    E-MIN      E-MAX      DATA                  C029200800013 
ADEG       ADEG       MEV        MEV        ARB-UNITS             C029200800014 
 90.        5.          5.         7.5        1.                  C029200800015 
 90.        5.          7.5       10.         3.                  C029200800016 
 90.        5.         10.        12.5       12.5                 C029200800017 
 90.        5.         12.5       15.        23.5                 C029200800018 
 90.        5.         15.        17.5       21.                  C029200800019 
 90.        5.         17.5       20.        17.5                 C029200800020 
 90.        5.         20.        22.5       25.                  C029200800021 
 90.        5.         22.5       25.        21.                  C029200800022 
 90.        5.         25.        27.5       18.                  C029200800023 
 90.        5.         27.5       30.        15.                  C029200800024 
 90.        5.         30.        32.5        8.5                 C029200800025 
 90.        5.         32.5       35.         8.                  C029200800026 
 90.        5.         35.        37.5        6.5                 C029200800027 
 90.        5.         37.5       40.         6.                  C029200800028 
 90.        5.         40.        42.5        3.                  C029200800029 
 90.        5.         42.5       50.         2.                  C029200800030 
 90.        5.         50.        55.         1.5                 C029200800031 
 90.        5.         57.5       60.         4.                  C029200800032 
 90.        5.         60.        62.5        1.5                 C029200800033 
 90.        5.         82.5       85.         1.5                 C029200800034 
ENDDATA             22          0                                 C029200800035 
ENDSUBENT           34          0                                 C029200899999 
SUBENT        C0292009   19961010                             0000C029200900001 
BIB                  2          3                                 C029200900002 
REACTION   (79-AU-197(P,X)3-LI-8,,DA/DE,,REL)                     C029200900003 
           Data correspond to number of tracks measured.          C029200900004 
STATUS     (CURVE) Read from curve in reference.                  C029200900005 
ENDBIB               3          0                                 C029200900006 
COMMON               2          3                                 C029200900007 
EN-MIN     EN-MAX                                                 C029200900008 
GEV        GEV                                                    C029200900009 
 2.0        2.2                                                   C029200900010 
ENDCOMMON            3          0                                 C029200900011 
DATA                 5         45                                 C029200900012 
ANG-MIN    ANG-MAX    E-MIN      E-MAX      DATA                  C029200900013 
ADEG       ADEG       MEV        MEV        ARB-UNITS             C029200900014 
  35.        55.        7.5       12.5        0.5                 C029200900015 
  35.        55.       12.5       17.5        2.                  C029200900016 
  35.        55.       17.5       20.         5.5                 C029200900017 
  35.        55.       20.        22.5       10.                  C029200900018 
  35.        55.       22.5       25.        12.                  C029200900019 
  35.        55.       25.        27.5       14.5                 C029200900020 
  35.        55.       27.5       30.        14.                  C029200900021 
  35.        55.       30.        32.5       23.                  C029200900022 
  35.        55.       32.5       35.        13.5                 C029200900023 
  35.        55.       35.        37.5       12.                  C029200900024 
  35.        55.       37.5       40.        16.                  C029200900025 
  35.        55.       40.        42.5       13.                  C029200900026 
  35.        55.       42.5       45.        12.5                 C029200900027 
  35.        55.       45.        47.5        8.5                 C029200900028 
  35.        55.       47.5       50.         6.5                 C029200900029 
  35.        55.       50.        52.5        6.                  C029200900030 
  35.        55.       52.5       55.         4.                  C029200900031 
  35.        55.       55.        57.5        3.                  C029200900032 
  35.        55.       57.5       60.         4.                  C029200900033 
  35.        55.       60.        62.5        6.                  C029200900034 
  35.        55.       62.5       65.         4.                  C029200900035 
  35.        55.       65.        67.5        2.                  C029200900036 
  35.        55.       67.5       70.         1.                  C029200900037 
  35.        55.       70.        72.5        1.5                 C029200900038 
  35.        55.       72.5       75.         0.5                 C029200900039 
  35.        55.       75.        77.5        1.                  C029200900040 
  35.        55.       80.        82.5        1.                  C029200900041 
 125.       145.        7.5       10.         0.5                 C029200900042 
 125.       145.       10.        15.         2.5                 C029200900043 
 125.       145.       15.        20.         9.                  C029200900044 
 125.       145.       20.        22.5       14.                  C029200900045 
 125.       145.       22.5       25.        31.                  C029200900046 
 125.       145.       25.        27.5       22.                  C029200900047 
 125.       145.       27.5       30.        21.                  C029200900048 
 125.       145.       30.        32.5       23.                  C029200900049 
 125.       145.       32.5       35.        13.                  C029200900050 
 125.       145.       35.        37.5       10.                  C029200900051 
 125.       145.       37.5       40.         7.                  C029200900052 
 125.       145.       40.        42.5        6.5                 C029200900053 
 125.       145.       42.5       50.         6.                  C029200900054 
 125.       145.       50.        52.5        2.5                 C029200900055 
 125.       145.       52.5       55.         3.                  C029200900056 
 125.       145.       55.        57.5        1.5                 C029200900057 
 125.       145.       57.5       60.         2.                  C029200900058 
 125.       145.       65.        67.5        1.5                 C029200900059 
ENDDATA             47          0                                 C029200900060 
ENDSUBENT           59          0                                 C029200999999 
ENDENTRY             9          0                                 C029299999999 
