ENTRY            C1017   20040412                             0000C101700000001 
SUBENT        C1017001   20040412                             0000C101700100001 
BIB                 10         11                                 C101700100002 
INSTITUTE  (1USAROC)                                              C101700100003 
REFERENCE  (J,PR,115,389,195907)                                  C101700100004 
AUTHOR     (C.A.Preskitt,W.P.Alford)                              C101700100005 
TITLE      Elastic Scattering of Protons by Vanadium, Chromium,   C101700100006 
            Iron, and Cobalt                                      C101700100007 
FACILITY   (CYCLO,1USAROC)                                        C101700100008 
DETECTOR   (CSICR)                                                C101700100009 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA)                         C101700100010 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       C101700100011 
STATUS     Data taken from tables in reference.                   C101700100012 
  6.11       95.       0.505                                      C101700200166 
  6.11      105.       0.690                                      C101700200167 
  6.11      110.       0.860                                      C101700200168 
  6.11      115.       1.005                                      C101700200169 
  6.11      125.       1.200                                      C101700200170 
  6.11      130.       1.260                                      C101700200171 
  6.11      135.       1.310                                      C101700200172 
  6.11      140.       1.335                                      C101700200173 
  6.11      145.       1.315                                      C101700200174 
  6.11      150.       1.290                                      C101700200175 
  6.11      155.       1.270                                      C101700200176 
  6.39       20.       1.000                                      C101700200177 
  6.39       30.       1.005                                      C101700200178 
  6.39       40.       1.130                                      C101700200179 
  6.39       50.       1.170                                      C101700200180 
  6.39       60.       1.085                                      C101700200181 
  6.39       70.       0.720                                      C101700200182 
  6.39       80.       0.500                                      C101700200183 
  6.39       90.       0.495                                      C101700200184 
  6.39      105.       0.835                                      C101700200185 
  6.39      115.       1.195                                      C101700200186 
  6.39      125.       1.400                                      C101700200187 
  6.39      130.       1.500                                      C101700200188 
  6.39      135.       1.520                                      C101700200189 
  6.39      140.       1.510                                      C101700200190 
  6.39      145.       1.435                                      C101700200191 
  6.39      150.       1.420                                      C101700200192 
  6.39      155.       1.385                                      C101700200193 
ENDDATA            186          0                                 C101700200194 
ENDSUBENT          193          0                                 C101700299999 
SUBENT        C1017003   20040412                             0000C101700300001 
BIB                  2          2                                 C101700300002 
REACTION   (24-CR-0(P,EL)24-CR-0,,DA,,RTH)                        C101700300003 
SAMPLE     Natural chromium sample, areal density 1.1 mg/cm2.     C101700300004 
ENDBIB               2          0                                 C101700300005 
NOCOMMON             0          0                                 C101700300006 
DATA                 3        249                                 C101700300007 
EN         ANG        DATA                                        C101700300008 
MEV        ADEG       NO-DIM                                      C101700300009 
  3.52      40.        1.015                                      C101700300010 
  3.52      50.        1.000                                      C101700300011 
  3.52      55.        1.020                                      C101700300012 
  3.52      60.        1.000                                      C101700300013 
  3.52      65.        0.995                                      C101700300014 
  3.52      70.        1.015                                      C101700300015 
  3.52      75.        1.000                                      C101700300016 
  3.52      85.        0.945                                      C101700300017 
  3.52      90.        0.955                                      C101700300018 
  3.52      95.        0.905                                      C101700300019 
  3.52     100.        0.905                                      C101700300020 
  3.52     105.        0.885                                      C101700300021 
  3.52     110.        0.900                                      C101700300022 
  3.52     115.        0.905                                      C101700300023 
  3.52     125.        0.955                                      C101700300024 
  3.52     135.        0.985                                      C101700300025 
  3.52     145.        1.040                                      C101700300026 
  3.52     150.        1.040                                      C101700300027 
  3.52     155.        1.060                                      C101700300028 
  3.52     160.        1.100                                      C101700300029 
  3.95      25.        1.015                                      C101700300030 
  3.95      30.        0.980                                      C101700300031 
  3.95      40.        1.000                                      C101700300032 
  3.95      50.        0.990                                      C101700300033 
  3.95      55.        1.000                                      C101700300034 
  3.95      60.        0.995                                      C101700300035 
  3.95      65.        0.965                                      C101700300036 
  3.95      70.        0.900                                      C101700300037 
  3.95      80.        0.855                                      C101700300038 
  3.95      85.        0.800                                      C101700300039 
  3.95      90.        0.785                                      C101700300040 
  3.95      95.        0.750                                      C101700300041 
  3.95     100.        0.765                                      C101700300042 
  3.95     105.        0.795                                      C101700300043 
  3.95     110.        0.845                                      C101700300044 
  3.95     115.        0.850                                      C101700300045 
  3.95     120.        0.925                                      C101700300046 
  3.95     125.        0.980                                      C101700300047 
  3.95     130.        1.000                                      C101700300048 
  3.95     135.        1.035                                      C101700300049 
  3.95     140.        1.065                                      C101700300050 
  3.95     150.        1.175                                      C101700300051 
  3.95     155.        1.215                                      C101700300052 
  3.95     160.        1.230                                      C101700300053 
  3.95     165.        1.280                                      C101700300054 
  4.43      25.        0.995                                      C101700300055 
  4.43      30.        0.980                                      C101700300056 
  4.43      35.        1.015                                      C101700300057 
  4.43      40.        1.000                                      C101700300058 
  4.43      45.        1.015                                      C101700300059 
  4.43      50.        1.000                                      C101700300060 
  4.43      55.        1.035                                      C101700300061 
  4.43      60.        0.980                                      C101700300062 
  4.43      65.        0.975                                      C101700300063 
  4.43      70.        0.920                                      C101700300064 
  4.43      75.        0.850                                      C101700300065 
  4.43      80.        0.850                                      C101700300066 
  4.43      85.        0.805                                      C101700300067 
