ENTRY            C1821   20101122                             C104C182100000001 
SUBENT        C1821001   20101122                             C104C182100100001 
BIB                 10         21                                 C182100100002 
TITLE      Spin assignments to excited states in 22Na through a   C182100100003 
           24Mg(p,3He) 22Na reaction measurement                  C182100100004 
AUTHOR     (K.Y.Chae,D.W.Bardayan,J.C.Blackmon,K.A.Chipps,        C182100100005 
           R.Hatarik,K.L.Jones,R.L.Kozub,J.F.Liang,C.Matei,       C182100100006 
           B.H.Moazen,C.D.Nesaraja,P.D.O'Malley,S.D.Pain,         C182100100007 
           S.T.Pittman,M.S.Smith)                                 C182100100008 
INSTITUTE  (1USAORL,1USATEN,1USACSM,1USARUT,1USATTU,1USAOAU)      C182100100009 
REFERENCE  (J,PR/C,82,047302,2010)                                C182100100010 
FACILITY   (VDGT,1USAORL)                                         C182100100011 
SAMPLE     Isotopically enriched (99.9%) 24Mg foils with          C182100100012 
           thickness of 500 mu-g/cm2                              C182100100013 
DETECTOR   (SI)Large area annular silicon detector array          C182100100014 
           SIDAR, configured with 100 mu-m dE detectors           C182100100015 
           backed by 1000-mu-m E detectors arranged in a          C182100100016 
           "lampshade" configuration to cover a large angular     C182100100017 
           range.The angles covered by SIDAR were between 18deg   C182100100018 
           and 48deg for E=41MeV and between 27deg and 69deg      C182100100019 
           for E=41.5 MeV                                         C182100100020 
METHOD     (EDE)                                                  C182100100021 
ERR-ANALYS (ERR-S) Statistical uncertainty                        C182100100022 
HISTORY    (20101122C) Compiled by S.H.                           C182100100023 
ENDBIB              21          0                                 C182100100024 
NOCOMMON             0          0                                 C182100100025 
ENDSUBENT           24          0                                 C182100199999 
SUBENT        C1821002   20101122                             C104C182100200001 
BIB                  3          4                                 C182100200002 
REACTION   (12-MG-24(P,HE3)11-NA-22,PAR,DA,,REL)                  C182100200003 
STATUS     (TABLE) Data presented in fig. 3 of the reference      C182100200004 
           sent by author (K.Y.Ch.)                               C182100200005 
EN-SEC     (E-LVL,11-NA-22)                                       C182100200006 
ENDBIB               4          0                                 C182100200007 
NOCOMMON             0          0                                 C182100200008 
DATA                 5        179                                 C182100200009 
E-LVL      EN         ANG-CM     DATA-CM    ERR-S                 C182100200010 
   2575.0     41.0       23.84      5.88E-02   2.20E-03           C182100200042 
   2575.0     41.0       25.92      5.99E-02   2.27E-03           C182100200043 
   2575.0     41.0       27.99      5.95E-02   2.05E-03           C182100200044 
   2575.0     41.0       30.07      5.71E-02   1.92E-03           C182100200045 
   2575.0     41.0       32.24      5.35E-02   1.86E-03           C182100200046 
   2575.0     41.0       34.42      4.98E-02   1.63E-03           C182100200047 
   2575.0     41.0       36.70      4.28E-02   1.58E-03           C182100200048 
   2575.0     41.0       38.86      3.88E-02   1.40E-03           C182100200049 
   2575.0     41.0       41.13      3.72E-02   1.29E-03           C182100200050 
   2575.0     41.0       43.40      3.32E-02   1.18E-03           C182100200051 
   2575.0     41.0       45.66      3.39E-02   1.18E-03           C182100200052 
   2575.0     41.5       38.74      3.95E-02   1.72E-03           C182100200053 
   2575.0     41.5       41.88      3.81E-02   1.50E-03           C182100200054 
   2575.0     41.5       45.00      3.36E-02   1.47E-03           C182100200055 
   2575.0     41.5       48.12      3.29E-02   1.30E-03           C182100200056 
   2575.0     41.5       51.22      3.38E-02   1.20E-03           C182100200057 
   2575.0     41.5       54.21      3.08E-02   1.16E-03           C182100200058 
   2575.0     41.5       57.29      2.86E-02   1.13E-03           C182100200059 
   2575.0     41.5       60.15      2.49E-02   1.15E-03           C182100200060 
   2575.0     41.5       63.00      1.83E-02   9.09E-04           C182100200061 
   2969.0     41.0       19.90      1.30E-01   3.61E-03           C182100200062 
   2969.0     41.0       25.92      1.18E-01   2.93E-03           C182100200063 
   2969.0     41.0       27.99      1.07E-01   2.79E-03           C182100200064 
   2969.0     41.0       30.07      9.45E-02   2.43E-03           C182100200065 
   2969.0     41.0       32.24      7.97E-02   2.20E-03           C182100200066 
   2969.0     41.0       34.42      6.51E-02   1.88E-03           C182100200067 
   2969.0     41.0       36.70      5.06E-02   1.65E-03           C182100200068 
   2969.0     41.0       38.86      5.21E-02   1.69E-03           C182100200069 
   2969.0     41.0       41.13      5.11E-02   1.57E-03           C182100200070 
   2969.0     41.0       43.40      5.34E-02   1.50E-03           C182100200071 
   2969.0     41.0       45.66      5.14E-02   1.44E-03           C182100200072 
   2969.0     41.0       47.92      4.29E-02   1.34E-03           C182100200073 
   2969.0     41.0       50.27      3.32E-02   1.33E-03           C182100200074 
   2969.0     41.5       38.74      4.81E-02   1.83E-03           C182100200075 
   2969.0     41.5       41.88      4.76E-02   1.70E-03           C182100200076 
   2969.0     41.5       45.00      5.05E-02   1.77E-03           C182100200077 
   2969.0     41.5       48.12      4.65E-02   1.65E-03           C182100200078 
   2969.0     41.5       51.22      3.70E-02   1.32E-03           C182100200079 
   2969.0     41.5       54.21      3.31E-02   1.24E-03           C182100200080 
   2969.0     41.5       57.29      2.45E-02   1.14E-03           C182100200081 
   2969.0     41.5       60.15      1.59E-02   1.07E-03           C182100200082 
   2969.0     41.5       63.00      1.49E-02   8.87E-04           C182100200083 
   2969.0     41.5       68.66      1.41E-02   8.81E-04           C182100200084 
   3944.0     41.0       23.84      8.98E-02   2.71E-03           C182100200085 
   3944.0     41.0       25.92      7.57E-02   2.36E-03           C182100200086 
   3944.0     41.0       27.99      7.28E-02   2.21E-03           C182100200087 
   3944.0     41.0       30.07      6.69E-02   2.03E-03           C182100200088 
   3944.0     41.0       32.24      5.85E-02   1.83E-03           C182100200089 
   3944.0     41.0       34.42      4.86E-02   1.56E-03           C182100200090 
   3944.0     41.0       36.70      3.97E-02   1.36E-03           C182100200091 
   3944.0     41.0       38.86      2.89E-02   1.19E-03           C182100200092 
   3944.0     41.0       41.13      1.98E-02   9.52E-04           C182100200093 
   3944.0     41.0       43.40      1.43E-02   7.83E-04           C182100200094 
   3944.0     41.0       45.66      8.84E-03   6.25E-04           C182100200095 
   3944.0     41.0       50.27      7.05E-03   7.65E-04           C182100200096 
   3944.0     41.5       38.74      3.56E-02   1.48E-03           C182100200097 
   3944.0     41.5       41.88      2.03E-02   1.11E-03           C182100200098 
   3944.0     41.5       45.00      1.31E-02   8.84E-04           C182100200099 
   3944.0     41.5       48.12      7.67E-03   6.71E-04           C182100200100 
   3944.0     41.5       51.22      7.06E-03   7.56E-04           C182100200101 
   3944.0     41.5       54.21      8.66E-03   7.38E-04           C182100200102 
   3944.0     41.5       57.29      1.36E-02   8.31E-04           C182100200103 
   3944.0     41.5       60.15      1.74E-02   8.86E-04           C182100200104 
   3944.0     41.5       65.84      1.36E-02   8.34E-04           C182100200105 
   5061.0     41.0       19.90      2.67E-02   1.98E-03           C182100200106 
   5061.0     41.0       25.92      1.73E-02   1.59E-03           C182100200107 
   5061.0     41.0       27.99      1.42E-02   1.66E-03           C182100200108 
   5061.0     41.0       30.07      1.25E-02   1.22E-03           C182100200109 
   5061.0     41.0       32.24      1.17E-02   1.21E-03           C182100200110 
   5061.0     41.0       36.70      8.06E-03   9.08E-04           C182100200111 
   5061.0     41.0       41.13      7.29E-03   8.58E-04           C182100200112 
   5061.0     41.0       43.40      7.60E-03   8.50E-04           C182100200113 
   5061.0     41.0       45.66      7.44E-03   8.33E-04           C182100200114 
   5061.0     41.0       47.92      7.08E-03   7.78E-04           C182100200115 
   5061.0     41.0       50.27      4.74E-03   7.21E-04           C182100200116 
   5061.0     41.5       38.74      8.09E-03   9.70E-04           C182100200117 
   5061.0     41.5       41.88      7.46E-03   8.71E-04           C182100200118 
   5061.0     41.5       48.12      5.96E-03   8.32E-04           C182100200119 
   5061.0     41.5       51.22      4.88E-03   7.12E-04           C182100200120 
   5061.0     41.5       57.29      3.48E-03   6.30E-04           C182100200121 
   5061.0     41.5       60.15      2.53E-03   5.46E-04           C182100200122 
   5061.0     41.5       63.00      1.86E-03   5.42E-04           C182100200123 
   5941.0     41.0       30.07      1.16E-02   1.29E-03           C182100200124 
   5941.0     41.0       32.24      1.08E-02   1.21E-03           C182100200125 
   5941.0     41.0       34.42      8.96E-03   1.01E-03           C182100200126 
   5941.0     41.0       36.70      7.14E-03   8.82E-04           C182100200127 
   5941.0     41.0       38.86      5.73E-03   8.95E-04           C182100200128 
   5941.0     41.0       41.13      4.67E-03   7.09E-04           C182100200129 
   5941.0     41.0       43.40      4.91E-03   6.65E-04           C182100200130 
   5941.0     41.5       38.74      6.15E-03   8.91E-04           C182100200131 
   5941.0     41.5       41.88      4.44E-03   7.82E-04           C182100200132 
   5941.0     41.5       45.00      4.91E-03   7.65E-04           C182100200133 
   5941.0     41.5       48.12      4.39E-03   7.32E-04           C182100200134 
   5941.0     41.5       51.22      4.45E-03   6.64E-04           C182100200135 
   6996.0     41.0       19.90      7.87E-03   1.58E-03           C182100200136 
   6996.0     41.0       25.92      4.77E-03   1.14E-03           C182100200137 
   6996.0     41.0       27.99      4.21E-03   1.06E-03           C182100200138 
   6996.0     41.0       34.42      3.65E-03   8.26E-04           C182100200139 
   6996.0     41.0       36.70      3.35E-03   6.89E-04           C182100200140 
   6996.0     41.0       41.13      3.12E-03   6.47E-04           C182100200141 
   6996.0     41.0       43.40      3.17E-03   7.26E-04           C182100200142 
   6996.0     41.5       38.74      3.61E-03   6.97E-04           C182100200143 
   6996.0     41.5       45.00      3.13E-03   8.26E-04           C182100200144 
   6996.0     41.5       48.12      3.94E-03   8.29E-04           C182100200145 
   6996.0     41.5       57.29      2.16E-03   6.12E-04           C182100200146 
   6996.0     41.5       60.15      1.26E-03   5.01E-04           C182100200147 
   6996.0     41.5       63.00      8.71E-04   3.27E-04           C182100200148 
   7215.0     41.0       30.07      1.24E-02   1.53E-03           C182100200149 
   7215.0     41.0       32.24      1.25E-02   1.32E-03           C182100200150 
   7215.0     41.0       34.42      1.13E-02   1.25E-03           C182100200151 
   7215.0     41.0       36.70      1.20E-02   1.26E-03           C182100200152 
   7215.0     41.0       38.86      1.27E-02   1.20E-03           C182100200153 
   7215.0     41.0       41.13      1.23E-02   1.13E-03           C182100200154 
   7215.0     41.0       43.40      1.18E-02   1.12E-03           C182100200155 
   7215.0     41.0       45.66      1.06E-02   9.87E-04           C182100200156 
   7215.0     41.0       47.92      8.67E-03   9.83E-04           C182100200157 
   7215.0     41.0       50.27      7.02E-03   9.33E-04           C182100200158 
   7215.0     41.5       38.74      1.29E-02   1.40E-03           C182100200159 
   7215.0     41.5       41.88      1.16E-02   1.23E-03           C182100200160 
   7215.0     41.5       45.00      1.07E-02   1.25E-03           C182100200161 
   7215.0     41.5       48.12      8.60E-03   8.78E-04           C182100200162 
   7215.0     41.5       51.22      6.59E-03   9.53E-04           C182100200163 
   7215.0     41.5       54.21      6.07E-03   8.64E-04           C182100200164 
   7215.0     41.5       57.29      4.91E-03   8.47E-04           C182100200165 
   7215.0     41.5       60.15      4.59E-03   7.89E-04           C182100200166 
   7215.0     41.5       63.00      5.03E-03   8.21E-04           C182100200167 
   7215.0     41.5       68.66      3.30E-03   6.64E-04           C182100200168 
   9715.0     41.0       19.90      2.36E-02   2.78E-03           C182100200169 
   9715.0     41.0       21.87      1.83E-02   2.32E-03           C182100200170 
   9715.0     41.0       23.84      1.93E-02   2.44E-03           C182100200171 
   9715.0     41.0       25.92      1.83E-02   2.01E-03           C182100200172 
   9715.0     41.0       27.99      1.65E-02   1.96E-03           C182100200173 
   9715.0     41.0       30.07      1.57E-02   1.69E-03           C182100200174 
   9715.0     41.0       32.24      1.00E-02   1.54E-03           C182100200175 
   9715.0     41.0       34.42      1.15E-02   1.41E-03           C182100200176 
   9715.0     41.0       36.70      7.12E-03   1.06E-03           C182100200177 
   9715.0     41.0       38.86      7.44E-03   1.15E-03           C182100200178 
   9715.0     41.0       41.13      7.90E-03   1.03E-03           C182100200179 
   9715.0     41.0       43.40      7.00E-03   1.05E-03           C182100200180 
   9715.0     41.0       50.27      9.94E-03   1.28E-03           C182100200181 
   9715.0     41.5       32.56      1.23E-02   1.77E-03           C182100200182 
   9715.0     41.5       35.60      1.19E-02   1.72E-03           C182100200183 
   9715.0     41.5       38.74      8.73E-03   1.48E-03           C182100200184 
   9715.0     41.5       41.88      7.45E-03   1.22E-03           C182100200185 
   9715.0     41.5       45.00      8.25E-03   1.22E-03           C182100200186 
   9715.0     41.5       51.22      8.17E-03   1.03E-03           C182100200187 
   9715.0     41.5       54.21      6.79E-03   1.08E-03           C182100200188 
   9715.0     41.5       57.29      5.36E-03   8.74E-04           C182100200189 
   9715.0     41.5       60.15      2.85E-03   8.54E-04           C182100200190 
ENDDATA            181          0                                 C182100200191 
ENDSUBENT          190          0                                 C182100299999 
ENDENTRY             2          0                                 C182199999999 
