ENTRY            C2201   20160111                             C160C2201  0    1 
SUBENT        C2201001   20160111                             C160C2201  1    1 
BIB                 12         39                                 C2201  1    2 
TITLE      Double-differential angle-dependent three-body         C2201  1    3 
           neutron production cross sections of the reaction      C2201  1    4 
           2H(t,n)X+Y at triton energies between 5.97 and 16.41   C2201  1    5 
           MeV                                                    C2201  1    6 
AUTHOR     (M.Drosg,G.Haouat,D.M.Drake)                           C2201  1    7 
INSTITUTE  (2AUSVIE,2FR BRC,1USALAS)                              C2201  1    8 
REFERENCE  (J,NSE,183,298,2016)                                   C2201  1    9 
           #doi:10.13182/NSE15-118                                C2201  1   10 
FACILITY   (VDGT,1USALAS) Experiment was performed at the HVEC    C2201  1   11 
           tandem accelerator of the former Ion Beam Facility at  C2201  1   12 
           Los Alamos National Laboratory                         C2201  1   13 
SAMPLE     Deuterium gas targets of 3.0 cm length with an         C2201  1   14 
           entrance foil of 5.3 mg/cm2 molybdenum and a           C2201  1   15 
           beam-stop made of gold 0.076 cm thick were used.       C2201  1   16 
DETECTOR   (SCIN) 2in x 2in liquid scintillator (NE213) was used  C2201  1   17 
           for neutron detection.The energy dependence of the     C2201  1   18 
           efficiency of the neutron detector was determined      C2201  1   19 
           pointwise by measuring neutron yields of the           C2201  1   20 
           reactions 2H(t,n)4He and 1H(t,n)3He and by comparison  C2201  1   21 
           with the well-known cross sections.                    C2201  1   22 
METHOD     (TOF) Time of flight method was used to determine      C2201  1   23 
           neutron energy. The distance between the center of the C2201  1   24 
           gas target and the center of the detector was 3.53 m,  C2201  1   25 
           the total time resolution was 2.1 ns                   C2201  1   26 
CORRECTION Correction for neutron interaction in air on the long  C2201  1   27 
           flight path and in the target structure was made using C2201  1   28 
           neutron transport code MCNPX.                          C2201  1   29 
MONITOR    (1-H-2(T,N)2-HE-4,,DA/DE)                              C2201  1   30 
           (1-H-1(T,N)2-HE-3,,DA/DE)                              C2201  1   31 
ERR-ANALYS (ERR-T) Total uncertainty                              C2201  1   32 
           (ERR-1) Syst. uncertainty in monitor cross section     C2201  1   33 
           (ERR-2) Syst. uncertainty in detector efficiency       C2201  1   34 
           (ERR-3,,1.6) Syst. uncertainty in background           C2201  1   35 
                          subtraction                             C2201  1   36 
           (ERR-4,,3.3) Total systematic uncertainty              C2201  1   37 
           (ERR-5) Uncertainty in target mass                     C2201  1   38 
           (ERR-6) Uncertainty in energy depencence of            C2201  1   39 
                   efficiency (1.5%/10 MeV)                       C2201  1   40 
HISTORY    (20160111C) Compiled by S.H.                           C2201  1   41 
ENDBIB              39          0                                 C2201  1   42 
COMMON               6          3                                 C2201  1   43 
EN-RSL     ANG-ERR    ERR-1      ERR-2      ERR-5      ERR-6      C2201  1   44 
MEV        ADEG       PER-CENT   PER-CENT   PER-CENT   PER-CENT   C2201  1   45 
0.03       0.03       1.5        2.5        0.2        1.5        C2201  1   46 
ENDCOMMON            3          0                                 C2201  1   47 
ENDSUBENT           46          0                                 C2201  199999 
SUBENT        C2201002   20160111                             C160C2201  2    1 
BIB                  2          3                                 C2201  2    2 
REACTION   (1-H-2(T,X)0-NN-1,,DA/DE)                              C2201  2    3 
STATUS     (TABLE) Data presented in figures 1-4 of the reference C2201  2    4 
                   sent by author (M.D.)                          C2201  2    5 
ENDBIB               3          0                                 C2201  2    6 
NOCOMMON             0          0                                 C2201  2    7 
DATA                 5        400                                 C2201  2    8 
EN         ANG-CM     E          DATA       ERR-T                 C2201  2    9 
       7.47       29.9     1.1750     5.5659  2.640E-01           C2201  2   59 
       7.47       29.9     1.3250     6.2271  2.532E-01           C2201  2   60 
       7.47       29.9     1.4750     6.5321  2.555E-01           C2201  2   61 
       7.47       29.9     1.6250     6.7724  2.457E-01           C2201  2   62 
       7.47       29.9     1.7750     5.7960  2.285E-01           C2201  2   63 
       7.47       29.9     1.9250     2.6636  1.986E-01           C2201  2   64 
       7.47       29.9     2.1000     0.8032  1.412E-01           C2201  2   65 
       7.47       29.9     2.3000     0.0618  1.280E-01           C2201  2   66 
       7.47       29.9     2.5000     0.0442  1.218E-01           C2201  2   67 
       7.47       29.9     2.7000     0.0001  1.261E-01           C2201  2   68 
      10.45        0.1     0.5750     7.4111  4.160E-01           C2201  2   69 
      10.45        0.1     0.7250     7.9722  3.844E-01           C2201  2   70 
      10.45        0.1     0.8750     9.8981  4.152E-01           C2201  2   71 
      10.45        0.1     1.0250    13.8371  4.181E-01           C2201  2   72 
      10.45        0.1     1.1750    16.9537  4.443E-01           C2201  2   73 
      10.45        0.1     1.3250    23.2158  4.601E-01           C2201  2   74 
      10.45        0.1     1.4750    28.3811  4.806E-01           C2201  2   75 
      10.45        0.1     1.6250    37.7893  5.221E-01           C2201  2   76 
      10.45        0.1     1.7750    49.7478  5.683E-01           C2201  2   77 
      10.45        0.1     1.9250    61.1596  6.176E-01           C2201  2   78 
      10.45        0.1     2.1000    80.1626  5.913E-01           C2201  2   79 
      10.45        0.1     2.3000   105.1684  6.675E-01           C2201  2   80 
      10.45        0.1     2.5000   131.5717  7.406E-01           C2201  2   81 
      10.45        0.1     2.7000   156.1605  8.044E-01           C2201  2   82 
      10.45        0.1     2.9000   171.3558  8.477E-01           C2201  2   83 
      10.45        0.1     3.1000   179.6792  8.740E-01           C2201  2   84 
      10.45        0.1     3.3000   174.1298  8.670E-01           C2201  2   85 
      10.45        0.1     3.5000   163.7754  8.497E-01           C2201  2   86 
      10.45        0.1     3.7000   146.9811  8.150E-01           C2201  2   87 
      10.45        0.1     3.9000   120.8030  7.519E-01           C2201  2   88 
      10.45        0.1     4.1250    89.4584  5.893E-01           C2201  2   89 
      10.45        0.1     4.3750    62.5324  5.037E-01           C2201  2   90 
      10.45        0.1     4.6250    55.8257  4.802E-01           C2201  2   91 
      10.45        0.1     4.8750    56.3873  4.872E-01           C2201  2   92 
      10.45        0.1     5.1250    58.7391  5.001E-01           C2201  2   93 
      10.45        0.1     5.3750    39.8055  4.211E-01           C2201  2   94 
      10.45        0.1     5.6250     9.2074  2.249E-01           C2201  2   95 
      10.45        0.1     5.8750     0.4577  1.199E-01           C2201  2   96 
      10.45        0.1     6.1250     0.0170  1.232E-01           C2201  2   97 
      10.45       15.2     0.5750     8.7762  4.267E-01           C2201  2   98 
      10.45       15.2     0.7250    10.4174  3.923E-01           C2201  2   99 
      10.45       15.2     0.8750    12.9439  4.136E-01           C2201  2  100 
      10.45       15.2     1.0250    16.5322  4.335E-01           C2201  2  101 
      10.45       15.2     1.1750    21.2932  4.552E-01           C2201  2  102 
      10.45       15.2     1.3250    24.7692  4.705E-01           C2201  2  103 
      10.45       15.2     1.4750    31.8873  4.984E-01           C2201  2  104 
      10.45       15.2     1.6250    37.1487  5.153E-01           C2201  2  105 
      10.45       15.2     1.7750    44.4521  5.419E-01           C2201  2  106 
      10.45       15.2     1.9250    53.0877  5.803E-01           C2201  2  107 
      10.45       15.2     2.1000    63.6492  5.394E-01           C2201  2  108 
      10.45       15.2     2.3000    74.2096  5.716E-01           C2201  2  109 
      10.45       15.2     2.5000    83.9065  6.028E-01           C2201  2  110 
      10.45       15.2     2.7000    90.5248  6.269E-01           C2201  2  111 
      10.45       15.2     2.9000    94.2156  6.418E-01           C2201  2  112 
      10.45       15.2     3.1000    94.6311  6.465E-01           C2201  2  113 
      10.45       15.2     3.3000    88.1171  6.297E-01           C2201  2  114 
      10.45       15.2     3.5000    77.6401  5.976E-01           C2201  2  115 
      10.45       15.2     3.7000    62.9151  5.481E-01           C2201  2  116 
      10.45       15.2     3.9000    46.0992  4.796E-01           C2201  2  117 
      10.45       15.2     4.1250    38.2288  3.981E-01           C2201  2  118 
      10.45       15.2     4.3750    35.2617  3.864E-01           C2201  2  119 
      10.45       15.2     4.6250    35.7008  3.904E-01           C2201  2  120 
      10.45       15.2     4.8750    33.9848  3.846E-01           C2201  2  121 
      10.45       15.2     5.1250    14.7523  2.672E-01           C2201  2  122 
      10.45       15.2     5.3750     1.4448  1.349E-01           C2201  2  123 
      10.45       15.2     5.6250     0.1621  1.176E-01           C2201  2  124 
      10.45       15.2     5.8750     0.0001  1.540E-01           C2201  2  125 
      10.45       29.9     0.5750    11.0685  4.611E-01           C2201  2  126 
      10.45       29.9     0.7250    13.7373  4.294E-01           C2201  2  127 
      10.45       29.9     0.8750    18.5518  4.559E-01           C2201  2  128 
      10.45       29.9     1.0250    23.5772  4.791E-01           C2201  2  129 
      10.45       29.9     1.1750    27.9193  5.001E-01           C2201  2  130 
      10.45       29.9     1.3250    31.3133  5.063E-01           C2201  2  131 
      10.45       29.9     1.4750    34.3941  5.183E-01           C2201  2  132 
      10.45       29.9     1.6250    36.3139  5.244E-01           C2201  2  133 
      10.45       29.9     1.7750    38.2757  5.287E-01           C2201  2  134 
      10.45       29.9     1.9250    38.4338  5.256E-01           C2201  2  135 
      10.45       29.9     2.1000    39.2449  4.569E-01           C2201  2  136 
      10.45       29.9     2.3000    39.6016  4.529E-01           C2201  2  137 
      10.45       29.9     2.5000    37.0639  4.400E-01           C2201  2  138 
      10.45       29.9     2.7000    31.4650  4.128E-01           C2201  2  139 
      10.45       29.9     2.9000    25.2553  3.762E-01           C2201  2  140 
      10.45       29.9     3.1000    17.7169  3.326E-01           C2201  2  141 
      10.45       29.9     3.3000    14.9539  3.089E-01           C2201  2  142 
      10.45       29.9     3.5000    12.6650  2.917E-01           C2201  2  143 
      10.45       29.9     3.7000    11.3830  2.795E-01           C2201  2  144 
      10.45       29.9     3.9000    10.4309  2.706E-01           C2201  2  145 
      10.45       29.9     4.1250     6.5602  2.078E-01           C2201  2  146 
      10.45       29.9     4.3750     1.2066  1.498E-01           C2201  2  147 
      10.45       29.9     4.6250     0.0021  1.582E-01           C2201  2  148 
      10.45       59.9     0.5750     3.8198  4.070E-01           C2201  2  149 
      10.45       59.9     0.7250     4.0316  3.660E-01           C2201  2  150 
      10.45       59.9     0.8750     5.6349  3.761E-01           C2201  2  151 
      10.45       59.9     1.0250     5.8895  3.710E-01           C2201  2  152 
      10.45       59.9     1.1750     7.4656  3.744E-01           C2201  2  153 
      10.45       59.9     1.3250     7.0415  3.649E-01           C2201  2  154 
      10.45       59.9     1.4750     6.3596  3.548E-01           C2201  2  155 
      10.45       59.9     1.6250     4.1659  3.358E-01           C2201  2  156 
      10.45       59.9     1.7750     1.1544  3.067E-01           C2201  2  157 
      10.45       59.9     1.9250     0.8275  2.935E-01           C2201  2  158 
      10.45       59.9     2.1000     0.3991  2.427E-01           C2201  2  159 
      10.45       59.9     2.3000     0.0012  2.300E-01           C2201  2  160 
      10.45       75.3     0.5750     4.7378  2.870E-01           C2201  2  161 
      10.45       75.3     0.7250     1.6464  2.455E-01           C2201  2  162 
      10.45       75.3     0.8750     0.0029  2.374E-01           C2201  2  163 
      16.41        0.0     0.5750     8.2127  2.125E+00           C2201  2  164 
      16.41        0.0     0.7250     8.8732  1.902E+00           C2201  2  165 
      16.41        0.0     0.8750    11.3211  1.956E+00           C2201  2  166 
      16.41        0.0     1.0250    12.1827  1.962E+00           C2201  2  167 
      16.41        0.0     1.1750    14.1660  1.935E+00           C2201  2  168 
      16.41        0.0     1.3250    12.7034  1.886E+00           C2201  2  169 
      16.41        0.0     1.4750    12.2181  1.840E+00           C2201  2  170 
      16.41        0.0     1.6250    15.4877  1.789E+00           C2201  2  171 
      16.41        0.0     1.7750    14.2337  1.730E+00           C2201  2  172 
      16.41        0.0     1.9250    14.0010  1.676E+00           C2201  2  173 
      16.41        0.0     2.1000    15.3835  1.399E+00           C2201  2  174 
      16.41        0.0     2.3000    17.5262  1.342E+00           C2201  2  175 
      16.41        0.0     2.5000    19.6773  1.296E+00           C2201  2  176 
      16.41        0.0     2.7000    20.3378  1.252E+00           C2201  2  177 
      16.41        0.0     2.9000    23.5569  1.202E+00           C2201  2  178 
      16.41        0.0     3.1000    28.3221  1.155E+00           C2201  2  179 
      16.41        0.0     3.3000    33.6651  1.124E+00           C2201  2  180 
      16.41        0.0     3.5000    36.3219  1.106E+00           C2201  2  181 
      16.41        0.0     3.7000    41.8257  1.103E+00           C2201  2  182 
      16.41        0.0     3.9000    49.3520  1.111E+00           C2201  2  183 
      16.41        0.0     4.1250    56.4300  9.860E-01           C2201  2  184 
      16.41        0.0     4.3750    65.2381  9.809E-01           C2201  2  185 
      16.41        0.0     4.6250    78.0013  1.014E+00           C2201  2  186 
      16.41        0.0     4.8750    88.2196  1.029E+00           C2201  2  187 
      16.41        0.0     5.1250    96.9027  1.037E+00           C2201  2  188 
      16.41        0.0     5.3750   109.1634  1.071E+00           C2201  2  189 
      16.41        0.0     5.6250   116.4274  1.090E+00           C2201  2  190 
      16.41        0.0     5.8750   120.1369  1.106E+00           C2201  2  191 
      16.41        0.0     6.1250   122.8581  1.119E+00           C2201  2  192 
      16.41        0.0     6.3750   126.0421  1.120E+00           C2201  2  193 
      16.41        0.0     6.6250   122.3682  1.113E+00           C2201  2  194 
      16.41        0.0     6.8750   121.6625  1.132E+00           C2201  2  195 
      16.41        0.0     7.1250   118.6102  1.128E+00           C2201  2  196 
      16.41        0.0     7.3750   111.4110  1.094E+00           C2201  2  197 
      16.41        0.0     7.6250   101.8236  1.035E+00           C2201  2  198 
      16.41        0.0     7.8750    91.9784  9.804E-01           C2201  2  199 
      16.41        0.0     8.1500    83.4642  8.715E-01           C2201  2  200 
      16.41        0.0     8.4500    75.8188  8.636E-01           C2201  2  201 
      16.41        0.0     8.7500    66.3907  8.330E-01           C2201  2  202 
      16.41        0.0     9.0500    56.4277  7.739E-01           C2201  2  203 
      16.41        0.0     9.3500    43.6345  6.933E-01           C2201  2  204 
      16.41        0.0     9.6500    36.2626  6.503E-01           C2201  2  205 
      16.41        0.0     9.9500    30.4454  6.173E-01           C2201  2  206 
      16.41        0.0    10.2500    23.5544  5.661E-01           C2201  2  207 
      16.41        0.0    10.5500    16.8942  5.057E-01           C2201  2  208 
      16.41        0.0    10.8500    11.8779  4.465E-01           C2201  2  209 
      16.41        0.0    11.1500     8.5791  4.057E-01           C2201  2  210 
      16.41        0.0    11.4500     6.0621  3.749E-01           C2201  2  211 
      16.41        0.0    11.7500     4.6124  3.419E-01           C2201  2  212 
      16.41        0.0    12.0500     2.7908  3.028E-01           C2201  2  213 
      16.41        0.0    12.3500     1.3941  2.734E-01           C2201  2  214 
      16.41        0.0    12.6500     0.8767  2.536E-01           C2201  2  215 
      16.41        0.0    12.9500     0.8162  2.415E-01           C2201  2  216 
      16.41        0.0    13.2500     0.7565  2.310E-01           C2201  2  217 
      16.41        0.0    13.5500     0.5578  2.241E-01           C2201  2  218 
      16.41        0.0    13.8500     0.4730  5.113E-01           C2201  2  219 
      16.41        0.0    14.2500     0.2286  1.542E-01           C2201  2  220 
      16.41        0.0    14.7500     0.0762  1.337E-01           C2201  2  221 
      16.41       15.0     0.5750     7.1687  2.090E+00           C2201  2  222 
      16.41       15.0     0.7250     8.0405  1.891E+00           C2201  2  223 
      16.41       15.0     0.8750     8.3562  1.928E+00           C2201  2  224 
      16.41       15.0     1.0250     9.9148  1.945E+00           C2201  2  225 
      16.41       15.0     1.1750    11.2954  1.920E+00           C2201  2  226 
      16.41       15.0     1.3250    11.5252  1.868E+00           C2201  2  227 
      16.41       15.0     1.4750    12.3500  1.816E+00           C2201  2  228 
      16.41       15.0     1.6250    12.6902  1.758E+00           C2201  2  229 
      16.41       15.0     1.7750    14.5261  1.718E+00           C2201  2  230 
      16.41       15.0     1.9250    14.9838  1.686E+00           C2201  2  231 
      16.41       15.0     2.1000    14.3903  1.406E+00           C2201  2  232 
      16.41       15.0     2.3000    13.9145  1.331E+00           C2201  2  233 
      16.41       15.0     2.5000    19.6872  1.268E+00           C2201  2  234 
      16.41       15.0     2.7000    19.0605  1.220E+00           C2201  2  235 
      16.41       15.0     2.9000    21.5059  1.179E+00           C2201  2  236 
      16.41       15.0     3.1000    27.0719  1.136E+00           C2201  2  237 
      16.41       15.0     3.3000    29.8597  1.103E+00           C2201  2  238 
      16.41       15.0     3.5000    32.3100  1.066E+00           C2201  2  239 
      16.41       15.0     3.7000    34.2297  1.044E+00           C2201  2  240 
      16.41       15.0     3.9000    41.1359  1.035E+00           C2201  2  241 
      16.41       15.0     4.1250    44.4090  9.150E-01           C2201  2  242 
      16.41       15.0     4.3750    47.7876  9.067E-01           C2201  2  243 
      16.41       15.0     4.6250    53.6109  9.023E-01           C2201  2  244 
      16.41       15.0     4.8750    57.2395  8.956E-01           C2201  2  245 
      16.41       15.0     5.1250    62.9242  8.977E-01           C2201  2  246 
      16.41       15.0     5.3750    65.6452  9.048E-01           C2201  2  247 
      16.41       15.0     5.6250    69.4267  9.091E-01           C2201  2  248 
      16.41       15.0     5.8750    70.5593  9.072E-01           C2201  2  249 
      16.41       15.0     6.1250    71.5991  8.981E-01           C2201  2  250 
      16.41       15.0     6.3750    70.9182  8.870E-01           C2201  2  251 
      16.41       15.0     6.6250    69.6710  8.858E-01           C2201  2  252 
      16.41       15.0     6.8750    69.7656  8.950E-01           C2201  2  253 
      16.41       15.0     7.1250    67.2256  8.896E-01           C2201  2  254 
      16.41       15.0     7.3750    62.3824  8.600E-01           C2201  2  255 
      16.41       15.0     7.6250    55.9706  8.072E-01           C2201  2  256 
      16.41       15.0     7.8750    48.4891  7.568E-01           C2201  2  257 
      16.41       15.0     8.1500    42.1433  6.642E-01           C2201  2  258 
      16.41       15.0     8.4500    36.9765  6.539E-01           C2201  2  259 
      16.41       15.0     8.7500    31.1205  6.237E-01           C2201  2  260 
      16.41       15.0     9.0500    23.6794  5.565E-01           C2201  2  261 
      16.41       15.0     9.3500    18.1468  5.026E-01           C2201  2  262 
      16.41       15.0     9.6500    14.6012  4.777E-01           C2201  2  263 
      16.41       15.0     9.9500    10.1625  4.463E-01           C2201  2  264 
      16.41       15.0    10.2500     6.1138  4.057E-01           C2201  2  265 
      16.41       15.0    10.5500     3.9292  3.620E-01           C2201  2  266 
      16.41       15.0    10.8500     2.4703  3.296E-01           C2201  2  267 
      16.41       15.0    11.1500     1.4232  3.016E-01           C2201  2  268 
      16.41       15.0    11.4500     1.1805  2.694E-01           C2201  2  269 
      16.41       15.0    11.7500     1.1286  2.551E-01           C2201  2  270 
      16.41       15.0    12.0500     0.4876  2.347E-01           C2201  2  271 
      16.41       15.0    12.3500     0.4936  2.187E-01           C2201  2  272 
      16.41       15.0    12.6500     0.4440  2.135E-01           C2201  2  273 
      16.41       15.0    12.9500     0.3075  2.066E-01           C2201  2  274 
      16.41       15.0    13.2500     0.2743  2.019E-01           C2201  2  275 
      16.41       15.0    13.5500     0.0344  2.044E-01           C2201  2  276 
      16.41       30.0     0.5750     6.2913  2.141E+00           C2201  2  277 
      16.41       30.0     0.7250     7.1551  1.932E+00           C2201  2  278 
      16.41       30.0     0.8750     7.0031  1.922E+00           C2201  2  279 
      16.41       30.0     1.0250     6.6217  1.979E+00           C2201  2  280 
      16.41       30.0     1.1750     5.1928  1.919E+00           C2201  2  281 
      16.41       30.0     1.3250     5.2507  1.881E+00           C2201  2  282 
      16.41       30.0     1.4750     5.0419  1.877E+00           C2201  2  283 
      16.41       30.0     1.6250     7.9505  1.803E+00           C2201  2  284 
      16.41       30.0     1.7750     8.2411  1.754E+00           C2201  2  285 
      16.41       30.0     1.9250     9.1978  1.703E+00           C2201  2  286 
      16.41       30.0     2.1000    11.2092  1.426E+00           C2201  2  287 
      16.41       30.0     2.3000    12.5301  1.355E+00           C2201  2  288 
      16.41       30.0     2.5000    15.2003  1.295E+00           C2201  2  289 
      16.41       30.0     2.7000    14.8435  1.238E+00           C2201  2  290 
      16.41       30.0     2.9000    19.5742  1.183E+00           C2201  2  291 
      16.41       30.0     3.1000    20.9129  1.126E+00           C2201  2  292 
      16.41       30.0     3.3000    22.5800  1.079E+00           C2201  2  293 
      16.41       30.0     3.5000    26.4718  1.038E+00           C2201  2  294 
      16.41       30.0     3.7000    25.4932  1.002E+00           C2201  2  295 
      16.41       30.0     3.9000    26.7236  9.787E-01           C2201  2  296 
      16.41       30.0     4.1250    29.8594  8.488E-01           C2201  2  297 
      16.41       30.0     4.3750    29.7432  8.224E-01           C2201  2  298 
      16.41       30.0     4.6250    31.3053  7.928E-01           C2201  2  299 
      16.41       30.0     4.8750    29.4719  7.673E-01           C2201  2  300 
      16.41       30.0     5.1250    29.1008  7.454E-01           C2201  2  301 
      16.41       30.0     5.3750    29.7838  7.248E-01           C2201  2  302 
      16.41       30.0     5.6250    28.5634  6.990E-01           C2201  2  303 
      16.41       30.0     5.8750    27.0643  6.817E-01           C2201  2  304 
      16.41       30.0     6.1250    24.0188  6.563E-01           C2201  2  305 
      16.41       30.0     6.3750    21.5068  6.188E-01           C2201  2  306 
      16.41       30.0     6.6250    18.0569  6.036E-01           C2201  2  307 
      16.41       30.0     6.8750    16.1333  5.800E-01           C2201  2  308 
      16.41       30.0     7.1250    13.6333  5.570E-01           C2201  2  309 
