ENTRY            C1087   20041222                             0000C108700000001 
SUBENT        C1087001   20041222                             0000C108700100001 
BIB                 11         12                                 C108700100002 
INSTITUTE  (1USARIC)                                              C108700100003 
3.40        5.81                                                  C108700200047 
3.42        5.94                                                  C108700200048 
3.43        6.30                                                  C108700200049 
3.45        6.85                                                  C108700200050 
3.47        7.16                                                  C108700200051 
3.48        7.35                                                  C108700200052 
3.50        7.46                                                  C108700200053 
3.52        7.50                                                  C108700200054 
3.54        7.46                                                  C108700200055 
3.55        7.44                                                  C108700200056 
3.57        7.59                                                  C108700200057 
3.58        7.46                                                  C108700200058 
3.60        7.83                                                  C108700200059 
3.62        8.42                                                  C108700200060 
3.63        8.64                                                  C108700200061 
3.65        8.77                                                  C108700200062 
3.66        8.83                                                  C108700200063 
3.68        9.07                                                  C108700200064 
3.70        9.44                                                  C108700200065 
3.72        9.63                                                  C108700200066 
3.74        9.60                                                  C108700200067 
3.75        9.57                                                  C108700200068 
3.77        9.60                                                  C108700200069 
3.78        9.54                                                  C108700200070 
3.80        9.30                                                  C108700200071 
3.82        9.23                                                  C108700200072 
3.84        9.12                                                  C108700200073 
3.85        8.93                                                  C108700200074 
3.87        8.94                                                  C108700200075 
3.88        8.91                                                  C108700200076 
3.90        9.00                                                  C108700200077 
3.92        9.06                                                  C108700200078 
3.94        9.58                                                  C108700200079 
3.95        9.78                                                  C108700200080 
3.97        9.98                                                  C108700200081 
3.99       10.0                                                   C108700200082 
4.01       10.2                                                   C108700200083 
4.02       10.2                                                   C108700200084 
4.04       10.2                                                   C108700200085 
4.06       10.4                                                   C108700200086 
4.08       10.6                                                   C108700200087 
4.09       10.8                                                   C108700200088 
4.11       11.0                                                   C108700200089 
4.13       11.2                                                   C108700200090 
4.16       11.8                                                   C108700200091 
4.18       11.8                                                   C108700200092 
4.20       12.3                                                   C108700200093 
4.22       12.8                                                   C108700200094 
4.23       13.0                                                   C108700200095 
4.26       13.1                                                   C108700200096 
4.29       13.2                                                   C108700200097 
4.31       13.3                                                   C108700200098 
4.33       13.3                                                   C108700200099 
4.35       13.5                                                   C108700200100 
4.38       13.5                                                   C108700200101 
4.39       13.8                                                   C108700200102 
4.41       14.0                                                   C108700200103 
4.43       14.1                                                   C108700200104 
4.44       14.3                                                   C108700200105 
4.46       14.6                                                   C108700200106 
4.48       14.5                                                   C108700200107 
4.50       14.7                                                   C108700200108 
4.52       14.8                                                   C108700200109 
4.54       14.6                                                   C108700200110 
4.56       14.6                                                   C108700200111 
4.58       14.8                                                   C108700200112 
4.60       14.8                                                   C108700200113 
4.62       15.2                                                   C108700200114 
4.64       15.5                                                   C108700200115 
4.66       15.4                                                   C108700200116 
4.68       15.7                                                   C108700200117 
4.69       16.0                                                   C108700200118 
4.72       16.4                                                   C108700200119 
4.73       16.4                                                   C108700200120 
4.75       16.5                                                   C108700200121 
4.78       16.7                                                   C108700200122 
4.79       17.1                                                   C108700200123 
4.81       17.5                                                   C108700200124 
4.83       17.2                                                   C108700200125 
4.86       16.9                                                   C108700200126 
4.88       16.9                                                   C108700200127 
4.90       17.1                                                   C108700200128 
4.91       17.4                                                   C108700200129 
4.93       17.7                                                   C108700200130 
4.96       18.4                                                   C108700200131 
4.98       18.8                                                   C108700200132 
5.00       19.0                                                   C108700200133 
5.02       19.2                                                   C108700200134 
5.04       19.2                                                   C108700200135 
5.06       19.6                                                   C108700200136 
5.08       19.9                                                   C108700200137 
5.11       19.8                                                   C108700200138 
5.12       20.1                                                   C108700200139 
5.15       20.2                                                   C108700200140 
5.17       20.5                                                   C108700200141 
5.19       20.4                                                   C108700200142 
5.21       20.8                                                   C108700200143 
5.23       21.1                                                   C108700200144 
5.25       21.3                                                   C108700200145 
5.27       21.6                                                   C108700200146 
5.30       21.9                                                   C108700200147 
5.32       22.0                                                   C108700200148 
5.38       22.5                                                   C108700200149 
5.40       23.0                                                   C108700200150 
5.43       23.4                                                   C108700200151 
5.45       23.5                                                   C108700200152 
5.47       23.4                                                   C108700200153 
5.50       23.9                                                   C108700200154 
5.52       24.2                                                   C108700200155 
5.54       24.5                                                   C108700200156 
ENDDATA            149          0                                 C108700200157 
ENDSUBENT          156          0                                 C108700299999 
SUBENT        C1087003   20041222                             0000C108700300001 
BIB                  2          2                                 C108700300002 
REACTION   (27-CO-59(P,N)28-NI-59,,DA)                            C108700300003 
SAMPLE     59Co, 1.6 mg/cm2                                       C108700300004 
ENDBIB               2          0                                 C108700300005 
NOCOMMON             0          0                                 C108700300006 
DATA                 2        184                                 C108700300007 
EN         DATA                                                   C108700300008 
MEV        MB/SR                                                  C108700300009 
2.40        0.44                                                  C108700300010 
2.42        0.48                                                  C108700300011 
2.44        0.52                                                  C108700300012 
2.47        0.58                                                  C108700300013 
2.49        0.60                                                  C108700300014 
2.52        0.62                                                  C108700300015 
2.54        0.64                                                  C108700300016 
2.56        0.74                                                  C108700300017 
2.58        0.82                                                  C108700300018 
2.61        0.82                                                  C108700300019 
2.64        0.96                                                  C108700300020 
2.66        1.12                                                  C108700300021 
2.68        1.24                                                  C108700300022 
2.71        1.34                                                  C108700300023 
2.74        1.38                                                  C108700300024 
2.76        1.38                                                  C108700300025 
2.79        1.44                                                  C108700300026 
2.81        1.54                                                  C108700300027 
2.84        1.54                                                  C108700300028 
2.86        1.52                                                  C108700300029 
2.89        1.54                                                  C108700300030 
2.91        1.66                                                  C108700300031 
2.94        1.88                                                  C108700300032 
3.00        2.24                                                  C108700300033 
3.01        2.44                                                  C108700300034 
3.04        2.64                                                  C108700300035 
3.06        2.86                                                  C108700300036 
3.09        3.06                                                  C108700300037 
3.11        3.18                                                  C108700300038 
3.14        3.26                                                  C108700300039 
3.21        3.20                                                  C108700300040 
3.24        3.40                                                  C108700300041 
3.26        3.62                                                  C108700300042 
3.29        3.74                                                  C108700300043 
3.31        3.70                                                  C108700300044 
3.34        3.92                                                  C108700300045 
3.37        3.94                                                  C108700300046 
3.39        4.16                                                  C108700300047 
3.40        4.36                                                  C108700300048 
3.41        4.56                                                  C108700300049 
3.42        4.74                                                  C108700300050 
3.44        4.98                                                  C108700300051 
3.45        5.22                                                  C108700300052 
3.46        5.42                                                  C108700300053 
3.47        5.68                                                  C108700300054 
3.49        5.94                                                  C108700300055 
3.50        6.16                                                  C108700300056 
3.51        6.36                                                  C108700300057 
3.52        6.56                                                  C108700300058 
3.54        6.66                                                  C108700300059 
3.56        6.58                                                  C108700300060 
3.57        6.46                                                  C108700300061 
3.58        6.38                                                  C108700300062 
3.59        6.26                                                  C108700300063 
3.60        6.26                                                  C108700300064 
3.62        6.38                                                  C108700300065 
3.63        6.56                                                  C108700300066 
3.65        6.80                                                  C108700300067 
3.67        7.18                                                  C108700300068 
3.68        7.52                                                  C108700300069 
3.70        7.66                                                  C108700300070 
3.73        7.64                                                  C108700300071 
3.75        7.70                                                  C108700300072 
3.77        7.94                                                  C108700300073 
3.79        8.18                                                  C108700300074 
3.81        8.38                                                  C108700300075 
3.83        8.64                                                  C108700300076 
3.85        8.78                                                  C108700300077 
3.87        8.88                                                  C108700300078 
3.89        9.00                                                  C108700300079 
3.91        9.12                                                  C108700300080 
3.93        9.40                                                  C108700300081 
3.94        9.72                                                  C108700300082 
3.95       10.0                                                   C108700300083 
3.96       10.5                                                   C108700300084 
3.97       10.8                                                   C108700300085 
3.99       11.3                                                   C108700300086 
4.02       11.4                                                   C108700300087 
4.04       11.4                                                   C108700300088 
4.06       11.4                                                   C108700300089 
4.09       11.4                                                   C108700300090 
4.11       11.3                                                   C108700300091 
4.13       11.3                                                   C108700300092 
4.15       11.6                                                   C108700300093 
4.17       11.9                                                   C108700300094 
4.19       12.2                                                   C108700300095 
4.20       12.6                                                   C108700300096 
4.23       12.9                                                   C108700300097 
4.24       13.2                                                   C108700300098 
4.26       13.4                                                   C108700300099 
4.27       13.7                                                   C108700300100 
4.28       14.2                                                   C108700300101 
4.30       14.3                                                   C108700300102 
4.31       14.0                                                   C108700300103 
4.32       13.8                                                   C108700300104 
4.34       13.9                                                   C108700300105 
4.35       14.1                                                   C108700300106 
4.37       14.4                                                   C108700300107 
4.39       14.8                                                   C108700300108 
4.41       15.1                                                   C108700300109 
4.42       15.3                                                   C108700300110 
4.44       15.7                                                   C108700300111 
4.45       16.3                                                   C108700300112 
4.46       16.7                                                   C108700300113 
4.48       17.2                                                   C108700300114 
4.49       17.7                                                   C108700300115 
4.51       18.0                                                   C108700300116 
4.53       18.1                                                   C108700300117 
4.54       18.0                                                   C108700300118 
4.55       17.6                                                   C108700300119 
4.58       17.7                                                   C108700300120 
4.59       17.9                                                   C108700300121 
4.61       18.1                                                   C108700300122 
4.62       18.1                                                   C108700300123 
4.64       17.9                                                   C108700300124 
4.66       17.7                                                   C108700300125 
4.67       17.6                                                   C108700300126 
4.69       17.8                                                   C108700300127 
4.70       18.2                                                   C108700300128 
4.71       18.7                                                   C108700300129 
4.72       19.2                                                   C108700300130 
4.73       19.5                                                   C108700300131 
4.74       19.7                                                   C108700300132 
4.75       19.4                                                   C108700300133 
4.76       19.0                                                   C108700300134 
4.76       18.6                                                   C108700300135 
4.78       18.5                                                   C108700300136 
4.79       19.1                                                   C108700300137 
4.80       19.4                                                   C108700300138 
4.82       19.6                                                   C108700300139 
4.84       19.9                                                   C108700300140 
4.85       20.2                                                   C108700300141 
4.86       20.6                                                   C108700300142 
4.87       20.9                                                   C108700300143 
4.88       21.5                                                   C108700300144 
4.89       21.9                                                   C108700300145 
4.90       22.2                                                   C108700300146 
4.91       22.7                                                   C108700300147 
4.93       23.1                                                   C108700300148 
4.95       23.0                                                   C108700300149 
4.96       22.5                                                   C108700300150 
4.97       22.0                                                   C108700300151 
4.98       21.4                                                   C108700300152 
5.00       21.8                                                   C108700300153 
5.01       22.4                                                   C108700300154 
5.02       22.8                                                   C108700300155 
5.05       22.9                                                   C108700300156 
5.07       22.7                                                   C108700300157 
5.09       22.4                                                   C108700300158 
5.11       22.6                                                   C108700300159 
5.12       23.0                                                   C108700300160 
5.14       23.4                                                   C108700300161 
5.15       23.6                                                   C108700300162 
5.17       23.9                                                   C108700300163 
5.19       24.1                                                   C108700300164 
5.21       24.5                                                   C108700300165 
5.23       25.0                                                   C108700300166 
5.24       25.5                                                   C108700300167 
5.25       26.0                                                   C108700300168 
5.27       26.4                                                   C108700300169 
5.29       26.6                                                   C108700300170 
5.31       26.5                                                   C108700300171 
5.33       26.4                                                   C108700300172 
5.35       26.6                                                   C108700300173 
5.37       26.9                                                   C108700300174 
5.39       27.0                                                   C108700300175 
5.42       27.2                                                   C108700300176 
5.44       27.3                                                   C108700300177 
5.47       27.4                                                   C108700300178 
5.48       27.9                                                   C108700300179 
5.50       28.3                                                   C108700300180 
5.51       28.8                                                   C108700300181 
5.52       29.5                                                   C108700300182 
5.54       29.9                                                   C108700300183 
5.56       30.0                                                   C108700300184 
5.58       30.0                                                   C108700300185 
5.60       29.9                                                   C108700300186 
5.63       30.0                                                   C108700300187 
5.65       30.0                                                   C108700300188 
5.67       30.2                                                   C108700300189 
5.69       30.4                                                   C108700300190 
5.71       30.6                                                   C108700300191 
5.72       30.9                                                   C108700300192 
5.74       31.2                                                   C108700300193 
ENDDATA            186          0                                 C108700300194 
ENDSUBENT          193          0                                 C108700399999 
ENDENTRY             3          0                                 C108799999999 
