ENTRY            C0030   20020213                             0000C003000000001 
SUBENT        C0030001   20020213                             0000C003000100001 
BIB                  7         13                                 C003000100002 
INSTITUTE  (1USAKTY)                                              C003000100003 
REFERENCE  (J,NP/A,192,609,1972)                                  C003000100004 
           (W,WEIL,19781122) Preprint of article                  C003000100005 
AUTHOR     (R.L.Schulte,M.Cosack,A.W.Obst,J.L.Weil)               C003000100006 
TITLE      2H+d Reactions from 1.96 to 6.20 MeV                   C003000100007 
FACILITY   (VDG)                                                  C003000100008 
ERR-ANALYS (EN-ERR) Repeated calibrations of the analyzing        C003000100009 
           magnet showed an uncertainty in beam energy of         C003000100010 
           +-4 keV at 2.5 MeV and +-9.5 keV at 6.2 MeV.           C003000100011 
HISTORY    (19781122C)TWB                                         C003000100012 
           (19800305A)TWB                                         C003000100013 
           (19960222A) STATUS added, converted to lower case.     C003000100014 
           (20020213A) Converted to new date formats.             C003000100015 
ENDBIB              13          0                                 C003000100016 
NOCOMMON             0          0                                 C003000100017 
ENDSUBENT           16          0                                 C003000199999 
SUBENT        C0030002   20020213                             0000C003000200001 
BIB                  6         17                                 C003000200002 
REACTION  1(1-H-2(D,P)1-H-3,,DA,T)                                C003000200003 
          2(1-H-2(D,P)1-H-3,,DA)                                  C003000200004 
SAMPLE     38 cm diameter scattering chamber with 10 to 15 Torr ofC003000200005 
           D2 gas (99.5% PURE)                                    C003000200006 
METHOD     (EDE)                                                  C003000200007 
DETECTOR   (SOLST) Except at angles where the He3 particles and   C003000200008 
           the elastically scattered deuterons had about the same C003000200009 
           energy, two silicon surface-barrier detectors of 700   C003000200010 
           micrometer depletion depth each were used.  at these   C003000200011 
           angles a 10 micrometer silicon transmission detector   C003000200012 
           was employed to separate the He3 and D groups.         C003000200013 
ERR-ANALYS (DATA-ERR) Includes uncertainties due to statistics,   C003000200014 
           calculation of the geometry factor, the energy         C003000200015 
           uncertainty, uncertainty of the angular position,      C003000200016 
           charge collection and integration, gas pressure, and   C003000200017 
           in and out scattering between target and detector.     C003000200018 
STATUS     Data taken from tables in preprint                     C003000200019 
ENDBIB              17          0                                 C003000200020 
COMMON               2          3                                 C003000200021 
DATA-ERR  1DATA-ERR  2                                            C003000200022 
PER-CENT   PER-CENT                                               C003000200023 
 2.8        3.0                                                   C003000200024 
ENDCOMMON            3          0                                 C003000200025 
DATA                 5        190                                 C003000200026 
EN         EN-ERR     ANG        DATA      1DATA      2           C003000200027 
MEV        KEV        ADEG       MB/SR      MB/SR                 C003000200028 
 4.5        6.4        17.5       30.73      31.65                C003000200132 
 4.5        6.4        20.0       21.23      25.49                C003000200133 
 4.5        6.4        22.5       15.11      20.11                C003000200134 
 4.5        6.4        25.0       12.04      16.23                C003000200135 
 4.5        6.4        27.5       11.30      12.62                C003000200136 
 4.5        6.4        30.0       13.34       9.62                C003000200137 
 4.5        6.4        32.5       14.30       7.46                C003000200138 
 4.5        6.4        35.0       16.04       6.20                C003000200139 
 4.5        6.4        37.5       17.52       5.23                C003000200140 
 4.5        6.4        40.0       17.70       4.96                C003000200141 
 4.5        6.4        42.5       18.88       4.89                C003000200142 
 4.5        6.4        45.0       18.00       5.25                C003000200143 
 4.5        6.4        47.5       16.46       5.63                C003000200144 
 4.5        6.4        50.0       14.36       5.79                C003000200145 
 4.5        6.4        52.5       12.90       6.10                C003000200146 
 4.5        6.4        55.0       10.55       6.61                C003000200147 
 5.0        7.2        12.5       62.02      45.13                C003000200148 
 5.0        7.2        15.0       44.11      37.96                C003000200149 
 5.0        7.2        17.5       29.01      31.23                C003000200150 
 5.0        7.2        20.0       19.55      25.70                C003000200151 
 5.0        7.2        22.5       13.81      20.43                C003000200152 
 5.0        7.2        25.0       11.21      15.37                C003000200153 
 5.0        7.2        27.5       11.91      11.66                C003000200154 
 5.0        7.2        30.0       13.72       8.96                C003000200155 
 5.0        7.2        32.5       15.93       6.86                C003000200156 
 5.0        7.2        35.0       17.10       5.77                C003000200157 
 5.0        7.2        37.5       18.15       5.00                C003000200158 
 5.0        7.2        40.0       19.23       4.57                C003000200159 
 5.0        7.2        42.5       19.04       4.98                C003000200160 
 5.0        7.2        45.0       18.83       5.38                C003000200161 
 5.0        7.2        47.5       16.98       5.55                C003000200162 
 5.0        7.2        50.0       14.92       6.16                C003000200163 
 5.0        7.2        52.5       13.20       6.42                C003000200164 
 5.0        7.2        55.0       11.45       6.83                C003000200165 
 5.5        8.1        12.5       61.51      45.99                C003000200166 
 5.5        8.1        15.0       41.62      38.47                C003000200167 
 5.5        8.1        17.5       26.21      31.44                C003000200168 
 5.5        8.1        20.0       17.36      25.23                C003000200169 
 5.5        8.1        22.5       12.19      19.46                C003000200170 
 5.5        8.1        25.0       10.88      14.72                C003000200171 
 5.5        8.1        27.5       12.56      10.96                C003000200172 
 5.5        8.1        30.0       14.16       8.12                C003000200173 
 5.5        8.1        32.5       16.96       6.29                C003000200174 
 5.5        8.1        35.0       18.09       5.20                C003000200175 
 5.5        8.1        37.5       19.91       4.66                C003000200176 
 5.5        8.1        40.0       19.70       4.55                C003000200177 
 5.5        8.1        42.5       19.17       4.76                C003000200178 
 5.5        8.1        45.0       18.16       5.18                C003000200179 
 5.5        8.1        47.5       16.98       5.86                C003000200180 
 5.5        8.1        50.0       14.66       5.98                C003000200181 
 5.5        8.1        52.5       13.34       6.72                C003000200182 
 5.5        8.1        55.0                   7.31                C003000200183 
 5.8        8.7        12.5       60.90      45.05                C003000200184 
 5.8        8.7        15.0       41.20      37.49                C003000200185 
 5.8        8.7        17.5       25.93      30.94                C003000200186 
 5.8        8.7        20.0       16.40      24.62                C003000200187 
 5.8        8.7        22.5       11.78      18.73                C003000200188 
 5.8        8.7        25.0       10.72      13.91                C003000200189 
 5.8        8.7        27.5       12.45      10.34                C003000200190 
 5.8        8.7        30.0       15.15       7.64                C003000200191 
 5.8        8.7        32.5       16.76       5.93                C003000200192 
 5.8        8.7        35.0       18.51       4.86                C003000200193 
 5.8        8.7        37.5       19.89       4.46                C003000200194 
 5.8        8.7        40.0       20.05       4.48                C003000200195 
 5.8        8.7        42.5       19.31       4.69                C003000200196 
 5.8        8.7        45.0       18.25       5.22                C003000200197 
 5.8        8.7        47.5       17.09       5.74                C003000200198 
 5.8        8.7        50.0       14.37       6.27                C003000200199 
 5.8        8.7        52.5                   6.79                C003000200200 
 5.8        8.7        55.0                   7.16                C003000200201 
 6.2        9.4        12.5       60.69      44.57                C003000200202 
 6.2        9.4        15.0       38.22      37.37                C003000200203 
 6.2        9.4        17.5       23.92      30.87                C003000200204 
 6.2        9.4        20.0       15.26      24.07                C003000200205 
 6.2        9.4        22.5       11.22      18.37                C003000200206 
 6.2        9.4        25.0       11.04      13.44                C003000200207 
 6.2        9.4        27.5       12.56       9.88                C003000200208 
 6.2        9.4        30.0       15.48       7.27                C003000200209 
 6.2        9.4        32.5       17.53       5.54                C003000200210 
 6.2        9.4        35.0       19.77       4.61                C003000200211 
 6.2        9.4        37.5       20.44       4.27                C003000200212 
 6.2        9.4        40.0       20.76       4.37                C003000200213 
 6.2        9.4        42.5       20.47       4.78                C003000200214 
 6.2        9.4        45.0       18.14       5.19                C003000200215 
 6.2        9.4        47.5       15.93       5.79                C003000200216 
 6.2        9.4        50.0                   6.54                C003000200217 
 6.2        9.4        52.5                   6.62                C003000200218 
ENDDATA            192          0                                 C003000200219 
ENDSUBENT          218          0                                 C003000299999 
SUBENT        C0030003   20020213                             0000C003000300001 
BIB                  6         10                                 C003000300002 
REACTION   (1-H-2(D,N)2-HE-3,,DA)                                 C003000300003 
SAMPLE     1 atm. of D2 gas in cell 3cm long by 1cm dia.          C003000300004 
METHOD     (TOF) A distance of 3.7m. Complete shielding.          C003000300005 
DETECTOR   (SCIN) 12.5cm by 12.5cm NE213 cylindrical liquid       C003000300006 
           scintillator coupled to an XP1040 photomultiplier      C003000300007 
ERR-ANALYS (DATA-ERR) Almost entirely due to uncertainty in       C003000300008 
           detector efficiency.                                   C003000300009 
STATUS     (DEP,C0030009) efficiency curve and normalization basedC003000300010 
           on absolute measurement of D(D,He3)n reaction.         C003000300011 
           Data taken from tables in article.                     C003000300012 
ENDBIB              10          0                                 C003000300013 
COMMON               1          3                                 C003000300014 
DATA-ERR                                                          C003000300015 
PER-CENT                                                          C003000300016 
 2.5                                                              C003000300017 
ENDCOMMON            3          0                                 C003000300018 
DATA                 4         40                                 C003000300019 
ANG        EN         EN-ERR     DATA                             C003000300020 
ADEG       MEV        KEV        MB/SR                            C003000300021 
  0.0       1.96       3.6        41.1                            C003000300022 
  0.0       2.51       4.0        48.4                            C003000300023 
  0.0       3.02       4.5        52.4                            C003000300024 
  0.0       3.50       5.0        61.7                            C003000300025 
  0.0       4.00       5.7        66.4                            C003000300026 
  0.0       4.50       6.4        70.7                            C003000300027 
  0.0       5.00       7.2        77.4                            C003000300028 
  0.0       5.50       8.1        80.7                            C003000300029 
  0.0       5.80       8.7        82.9                            C003000300030 
  0.0       6.20       9.5        85.7                            C003000300031 
  5.0       1.96       3.6        40.8                            C003000300032 
  5.0       2.51       4.0        47.0                            C003000300033 
  5.0       3.02       4.5        49.2                            C003000300034 
  5.0       3.50       5.0        60.0                            C003000300035 
  5.0       4.00       5.7        62.2                            C003000300036 
  5.0       4.50       6.4        66.2                            C003000300037 
  5.0       5.00       7.2        74.9                            C003000300038 
  5.0       5.50       8.1        76.1                            C003000300039 
  5.0       5.80       8.7        78.6                            C003000300040 
  5.0       6.20       9.5        81.6                            C003000300041 
 10.0       1.96       3.6        38.0                            C003000300042 
 10.0       2.51       4.0        43.2                            C003000300043 
 10.0       3.02       4.5        43.7                            C003000300044 
 10.0       3.50       5.0        50.6                            C003000300045 
 10.0       4.00       5.7        53.4                            C003000300046 
 10.0       4.50       6.4        56.6                            C003000300047 
 10.0       5.00       7.2        59.7                            C003000300048 
 10.0       5.50       8.1        61.5                            C003000300049 
 10.0       5.80       8.7        65.7                            C003000300050 
 10.0       6.20       9.5        66.6                            C003000300051 
 15.0       1.96       3.6        32.2                            C003000300052 
 15.0       2.51       4.0        35.4                            C003000300053 
 15.0       3.02       4.5        35.5                            C003000300054 
 15.0       3.50       5.0        37.7                            C003000300055 
 15.0       4.00       5.7        42.5                            C003000300056 
 15.0       4.50       6.4        45.1                            C003000300057 
 15.0       5.00       7.2        46.3                            C003000300058 
 15.0       5.50       8.1        47.1                            C003000300059 
 15.0       5.80       8.7        46.4                            C003000300060 
 15.0       6.20       9.5        46.1                            C003000300061 
ENDDATA             42          0                                 C003000300062 
ENDSUBENT           61          0                                 C003000399999 
SUBENT        C0030004   20020213                             0000C003000400001 
BIB                  3          6                                 C003000400002 
REACTION   (1-H-2(D,N)2-HE-3,,DA,,LEG)                            C003000400003 
ANALYSIS   Least-squares fitting procedure assuming only even     C003000400004 
           polynomials contribute.                                C003000400005 
STATUS     (DEP,C0030009)                                         C003000400006 
           (DEP,C0030003)                                         C003000400007 
           Data taken from tables in article.                     C003000400008 
ENDBIB               6          0                                 C003000400009 
NOCOMMON             0          0                                 C003000400010 
DATA                 5         47                                 C003000400011 
EN         EN-ERR     NUMBER-CM  DATA-CM    DATA-ERR              C003000400012 
MEV        KEV        NO-DIM     MB/SR      MB/SR                 C003000400013 
 1.96       3.6        0.          8.30      0.02                 C003000400014 
 1.96       3.6        2.          9.98      0.06                 C003000400015 
 1.96       3.6        4.          6.77      0.08                 C003000400016 
 1.96       3.6        6.          0.75      0.07                 C003000400017 
 2.51       4.0        0.          8.33      0.02                 C003000400018 
 2.51       4.0        2.         10.42      0.08                 C003000400019 
 2.51       4.0        4.         18.74      0.10                 C003000400020 
 2.51       4.0        6.         11.11      0.09                 C003000400021 
 3.02       4.5        0.         18.26      0.02                 C003000400022 
 3.02       4.5        2.         10.51      0.08                 C003000400023 
 3.02       4.5        4.         10.27      0.10                 C003000400024 
 3.02       4.5        6.          1.66      0.19                 C003000400025 
 3.50       5.0        0.          8.07      0.05                 C003000400026 
 3.50       5.0        2.         10.72      0.19                 C003000400027 
 3.50       5.0        4.         12.32      0.25                 C003000400028 
 3.50       5.0        6.          2.91      0.24                 C003000400029 
 3.50       5.0        8.          0.41      0.18                 C003000400030 
 4.00       5.7        0.          7.95      0.03                 C003000400031 
 4.00       5.7        2.         10.78      0.12                 C003000400032 
 4.00       5.7        4.         13.07      0.16                 C003000400033 
 4.00       5.7        6.          3.10      0.15                 C003000400034 
 4.00       5.7        8.          0.21      0.11                 C003000400035 
 4.50       6.4        0.          7.84      0.05                 C003000400036 
 4.50       6.4        2.         10.91      0.21                 C003000400037 
 4.50       6.4        4.         14.15      0.28                 C003000400038 
 4.50       6.4        6.          4.20      0.25                 C003000400039 
 4.50       6.4        8.          0.75      0.18                 C003000400040 
 5.00       7.2        0.          7.75      0.05                 C003000400041 
 5.00       7.2        2.         11.14      0.22                 C003000400042 
 5.00       7.2        4.         15.02      0.29                 C003000400043 
 5.00       7.2        6.          5.03      0.24                 C003000400044 
 5.00       7.2        8.          0.88      0.17                 C003000400045 
 5.50       8.1        0.          7.55      0.05                 C003000400046 
 5.50       8.1        2.         11.27      0.19                 C003000400047 
 5.50       8.1        4.         15.51      0.25                 C003000400048 
 5.50       8.1        6.          5.71      0.21                 C003000400049 
 5.50       8.1        8.          1.05      0.13                 C003000400050 
 5.80       8.7        0.          7.45      0.04                 C003000400051 
 5.80       8.7        2.         11.39      0.16                 C003000400052 
 5.80       8.7        4.         15.75      0.21                 C003000400053 
 5.80       8.7        6.          6.03      0.17                 C003000400054 
 5.80       8.7        8.          1.19      0.11                 C003000400055 
 6.20       9.5        0.          7.44      0.06                 C003000400056 
 6.20       9.5        2.         11.00      0.25                 C003000400057 
 6.20       9.5        4.         16.15      0.33                 C003000400058 
 6.20       9.5        6.          6.46      0.27                 C003000400059 
 6.20       9.5        8.          1.58      0.18                 C003000400060 
ENDDATA             49          0                                 C003000400061 
ENDSUBENT           60          0                                 C003000499999 
SUBENT        C0030005   20020213                             0000C003000500001 
BIB                  3          4                                 C003000500002 
REACTION   (1-H-2(D,N)2-HE-3,,SIG)                                C003000500003 
ANALYSIS   (INTAD)                                                C003000500004 
STATUS     (DEP,C0030004)                                         C003000500005 
           Data taken from tables in article.                     C003000500006 
ENDBIB               4          0                                 C003000500007 
NOCOMMON             0          0                                 C003000500008 
DATA                 4         10                                 C003000500009 
EN         EN-ERR     DATA       DATA-ERR                         C003000500010 
MEV        KEV        MB         MB                               C003000500011 
 1.96       3.6        104.3      0.25                            C003000500012 
 2.51       4.0        104.6      0.25                            C003000500013 
 3.02       4.5        103.8      0.25                            C003000500014 
 3.50       5.0        101.4      0.63                            C003000500015 
 4.00       5.7         99.8      0.38                            C003000500016 
 4.50       6.4         98.6      0.63                            C003000500017 
 5.00       7.2         97.3      0.63                            C003000500018 
 5.50       8.1         94.9      0.63                            C003000500019 
 5.80       8.7         93.7      0.50                            C003000500020 
 6.20       9.5         93.4      0.75                            C003000500021 
ENDDATA             12          0                                 C003000500022 
ENDSUBENT           21          0                                 C003000599999 
SUBENT        C0030006   20020213                             0000C003000600001 
BIB                  3          5                                 C003000600002 
REACTION   (1-H-2(D,P)1-H-3,,DA,,LEG)                             C003000600003 
ANALYSIS   Least-squares fitting procedure assuming only even-    C003000600004 
           order polynomials contribute.                          C003000600005 
STATUS     (DEP,C0030002)                                         C003000600006 
           Data taken from tables in article.                     C003000600007 
ENDBIB               5          0                                 C003000600008 
NOCOMMON             0          0                                 C003000600009 
DATA                 5         47                                 C003000600010 
EN         EN-ERR     NUMBER-CM  DATA-CM    DATA-ERR              C003000600011 
MEV        KEV        NO-DIM     MB/SR      MB/SR                 C003000600012 
 1.96       3.6        0.          6.93      0.01                 C003000600013 
 1.96       3.6        2.          7.64      0.04                 C003000600014 
 1.96       3.6        4.          5.71      0.05                 C003000600015 
 1.96       3.6        6.          0.63      0.06                 C003000600016 
 2.51       4.0        0.          7.13      0.02                 C003000600017 
 2.51       4.0        2.          8.68      0.08                 C003000600018 
 2.51       4.0        4.          7.88      0.10                 C003000600019 
 2.51       4.0        6.          1.32      0.10                 C003000600020 
 3.02       4.5        0.          7.24      0.13                 C003000600021 
 3.02       4.5        2.          8.93      0.19                 C003000600022 
 3.02       4.5        4.          9.06      0.11                 C003000600023 
 3.02       4.5        6.          1.63      0.11                 C003000600024 
 3.50       5.0        0.          7.16      0.03                 C003000600025 
 3.50       5.0        2.          8.96      0.09                 C003000600026 
 3.50       5.0        4.         10.55      0.13                 C003000600027 
 3.50       5.0        6.          2.60      0.12                 C003000600028 
 3.50       5.0        8.          0.43      0.11                 C003000600029 
 4.0        5.7        0.          7.21      0.03                 C003000600030 
 4.0        5.7        2.          9.55      0.10                 C003000600031 
 4.0        5.7        4.         12.19      0.15                 C003000600032 
 4.0        5.7        6.          3.46      0.14                 C003000600033 
 4.0        5.7        8.          0.85      0.12                 C003000600034 
 4.5        6.4        0.          7.17      0.03                 C003000600035 
 4.5        6.4        2.          9.73      0.10                 C003000600036 
 4.5        6.4        4.         12.74      0.14                 C003000600037 
 4.5        6.4        6.          3.79      0.13                 C003000600038 
 4.5        6.4        8.          0.64      0.11                 C003000600039 
 5.0        7.2        0.          7.11      0.03                 C003000600040 
 5.0        7.2        2.          9.62      0.10                 C003000600041 
 5.0        7.2        4.         13.06      0.14                 C003000600042 
 5.0        7.2        6.          4.07      0.12                 C003000600043 
 5.0        7.2        8.          0.52      0.11                 C003000600044 
 5.5        8.1        0.          6.98      0.03                 C003000600045 
 5.5        8.1        2.          9.57      0.09                 C003000600046 
 5.5        8.1        4.         13.38      0.13                 C003000600047 
 5.5        8.1        6.          4.54      0.11                 C003000600048 
 5.5        8.1        8.          0.56      0.10                 C003000600049 
 5.8        8.7        0.          6.84      0.02                 C003000600050 
 5.8        8.7        2.          9.22      0.06                 C003000600051 
 5.8        8.7        4.         13.23      0.09                 C003000600052 
 5.8        8.7        6.          4.56      0.07                 C003000600053 
 5.8        8.7        8.          0.44      0.06                 C003000600054 
 6.2        9.5        0.          6.74      0.02                 C003000600055 
 6.2        9.5        2.          9.13      0.08                 C003000600056 
 6.2        9.5        4.         13.35      0.11                 C003000600057 
 6.2        9.5        6.          4.79      0.09                 C003000600058 
 6.2        9.5        8.          0.61      0.08                 C003000600059 
ENDDATA             49          0                                 C003000600060 
ENDSUBENT           59          0                                 C003000699999 
SUBENT        C0030007   20020213                             0000C003000700001 
BIB                  3          5                                 C003000700002 
REACTION   (1-H-2(D,EL)1-H-2,,DA,,LEG)                            C003000700003 
ANALYSIS   Least-squares fitting procedure assuming only even-    C003000700004 
           order polynomials contribute.                          C003000700005 
STATUS     (DEP,C0030009)                                         C003000700006 
           Data taken from tables in preprint.                    C003000700007 
ENDBIB               5          0                                 C003000700008 
NOCOMMON             0          0                                 C003000700009 
DATA                 5         56                                 C003000700010 
EN         EN-ERR     NUMBER-CM  DATA-CM    DATA-ERR              C003000700011 
MEV        KEV        NO-DIM     B/SR       B/SR                  C003000700012 
 1.96       3.6         0.        0.541      0.006                C003000700013 
 1.96       3.6         2.        1.068      0.027                C003000700014 
 1.96       3.6         4.        0.960      0.039                C003000700015 
 1.96       3.6         6.        0.664      0.039                C003000700016 
 1.96       3.6         8.        0.334      0.030                C003000700017 
 1.96       3.6        10.        0.099      0.015                C003000700018 
 2.51       4.0         0.        0.445      0.004                C003000700019 
 2.51       4.0         2.        0.768      0.020                C003000700020 
 2.51       4.0         4.        0.612      0.029                C003000700021 
 2.51       4.0         6.        0.401      0.029                C003000700022 
 2.51       4.0         8.        0.187      0.023                C003000700023 
