ENTRY            C0727   20000815                             0000C072700000001 
SUBENT        C0727001   20000815                             0000C072700100001 
BIB                 11         15                                 C072700100002 
INSTITUTE  (1USAYAL)                                              C072700100003 
REFERENCE  (J,PR,153,1186,1967)                                   C072700100004 
AUTHOR     (M.KAPLAN,V.SUBRAHMANYAM)                              C072700100005 
TITLE      Energetics of Nucleon and Photon Emission from         C072700100006 
            Compound Nuclei: Angular Distributions of Cu61        C072700100007 
            Recoil Products                                       C072700100008 
FACILITY   (LINAC,1USAYAL)                                        C072700100009 
METHOD     (RCHEM)                                                C072700100010 
DETECTOR   (PROPC)                                                C072700100011 
DECAY-DATA (29-CU-61,3.3HR,B)                                     C072700100012 
CORRECTION Not corrected for contribution of 55Mn(11B,5n)61Zn     C072700100013 
            reaction; estimated small.                            C072700100014 
ERR-ANALYS No information on uncertainties.                       C072700100015 
HISTORY    (19830620T) Converted to EXFOR format by IAEA-NDS.     C072700100016 
           (20000815A) Converted to new date formats; BIB updated.C072700100017 
ENDBIB              15          0                                 C072700100018 
NOCOMMON             0          0                                 C072700100019 
ENDSUBENT           18          0                                 C072700199999 
SUBENT        C0727002   20000822                             0000C072700200001 
BIB                  4          5                                 C072700200002 
REACTION   (25-MN-55(5-B-11,4N+P)29-CU-61,,SIG)                   C072700200003 
SAMPLE     Thin Mn metal disks evaporated onto aluminum backings. C072700200004 
METHOD     (STTA) Targets interspersed with aluminum recoil-      C072700200005 
            catcher foils.                                        C072700200006 
STATUS     Data taken from Table I in reference.                  C072700200007 
ENDBIB               5          0                                 C072700200008 
NOCOMMON             0          0                                 C072700200009 
DATA                 2         27                                 C072700200010 
EN         DATA                                                   C072700200011 
MEV        MB                                                     C072700200012 
   36.1        0.6                                                C072700200013 
   41.3       24.3                                                C072700200014 
   45.7       19.5                                                C072700200015 
   49.4       61.2                                                C072700200016 
   56.2       55.2                                                C072700200017 
   57.1       91.2                                                C072700200018 
   58.5      112.2                                                C072700200019 
   60.4       93.0                                                C072700200020 
   68.6      133.2                                                C072700200021 
   69.3      101.4                                                C072700200022 
   74.6      136.8                                                C072700200023 
   77.4      130.5                                                C072700200024 
   79.5       67.2                                                C072700200025 
   80.5      106.8                                                C072700200026 
   83.6       65.1                                                C072700200027 
   86.5       61.2                                                C072700200028 
   89.1       37.4                                                C072700200029 
   89.5       58.5                                                C072700200030 
   91.7       73.1                                                C072700200031 
   94.6       32.9                                                C072700200032 
   97.5       31.4                                                C072700200033 
  102.7       22.1                                                C072700200034 
  102.8       26.0                                                C072700200035 
  109.5       10.4                                                C072700200036 
  110.0       10.2                                                C072700200037 
  113.9        6.7                                                C072700200038 
  114.0        4.9                                                C072700200039 
ENDDATA             29          0                                 C072700200040 
ENDSUBENT           39          0                                 C072700299999 
SUBENT        C0727003   20000822                             0000C072700300001 
BIB                  4          6                                 C072700300002 
REACTION   (25-MN-55(5-B-11,4N+P)29-CU-61,,DA,,RS)                C072700300003 
SAMPLE     Thin Mn metal target.                                  C072700300004 
METHOD     Aluminum catcher plate located a known distance from   C072700300005 
            target. After run, foil cut into a series of rings,   C072700300006 
            each ring corresponding to an angular interval.       C072700300007 
MISC-COL   (MISC) Target areal density in microg/cm2.             C072700300008 
ENDBIB               6          0                                 C072700300009 
NOCOMMON             0          0                                 C072700300010 
DATA                 5        320                                 C072700300011 
EN         ANG-MIN    ANG-MAX    DATA       MISC                  C072700300012 
 57.9        9.39      10.71       0.083     215.                 C072700300084 
 57.9        9.39      10.71       0.076      97.                 C072700300085 
 57.9       10.71      12.00       0.066     405.                 C072700300086 
 57.9       10.71      12.00       0.065     215.                 C072700300087 
 57.9       10.71      12.00       0.058      97.                 C072700300088 
 57.9       12.00      13.30       0.053     405.                 C072700300089 
 57.9       12.00      13.30       0.049     215.                 C072700300090 
 57.9       12.00      13.30       0.044      97.                 C072700300091 
 57.9       13.30      14.58       0.041     405.                 C072700300092 
 57.9       13.30      14.58       0.036     215.                 C072700300093 
 57.9       13.30      14.58       0.036      97.                 C072700300094 
 57.9       14.58      15.84       0.032     405.                 C072700300095 
 57.9       14.58      15.84       0.027     215.                 C072700300096 
 57.9       14.58      15.84       0.027      97.                 C072700300097 
 57.9       15.84      17.10       0.025     405.                 C072700300098 
 57.9       15.84      17.10       0.019     215.                 C072700300099 
 57.9       15.84      17.10       0.020      97.                 C072700300100 
 57.9       17.10      18.30       0.019     405.                 C072700300101 
 57.9       17.10      18.30       0.014     215.                 C072700300102 
 57.9       17.10      18.30       0.015      97.                 C072700300103 
 57.9       18.30      19.54       0.015     405.                 C072700300104 
 57.9       18.30      19.54       0.011     215.                 C072700300105 
 57.9       18.30      19.54       0.011      97.                 C072700300106 
 57.9       19.54      20.70       0.012     405.                 C072700300107 
 57.9       19.54      20.70       0.008     215.                 C072700300108 
 57.9       19.54      20.70       0.009      97.                 C072700300109 
 64.5        0.00       1.35       0.042     427.                 C072700300110 
 64.5        1.35       2.71       0.058     427.                 C072700300111 
 64.5        2.71       4.06       0.077     427.                 C072700300112 
 64.5        4.06       5.40       0.100     427.                 C072700300113 
 64.5        5.40       6.74       0.119     427.                 C072700300114 
 64.5        6.74       8.07       0.126     427.                 C072700300115 
 64.5        8.07       9.39       0.111     427.                 C072700300116 
 64.5        9.39      10.71       0.093     427.                 C072700300117 
 64.5       10.71      12.00       0.077     427.                 C072700300118 
 64.5       12.00      13.30       0.060     427.                 C072700300119 
 64.5       13.30      14.58       0.045     427.                 C072700300120 
 64.5       14.58      15.84       0.032     427.                 C072700300121 
 64.5       15.84      17.10       0.024     427.                 C072700300122 
 64.5       17.10      18.30       0.017     427.                 C072700300123 
 64.5       18.30      19.54       0.012     427.                 C072700300124 
 64.5       19.54      20.70       0.008     427.                 C072700300125 
 69.9        0.00       1.35       0.046     427.                 C072700300126 
 69.9        0.00       1.35       0.028      95.                 C072700300127 
 69.9        0.00       1.35       0.042      47.                 C072700300128 
 69.9        1.35       2.71       0.062     427.                 C072700300129 
 69.9        1.35       2.71       0.052      95.                 C072700300130 
 69.9        1.35       2.71       0.056      47.                 C072700300131 
 69.9        2.71       4.06       0.086     427.                 C072700300132 
 69.9        2.71       4.06       0.092      95.                 C072700300133 
 69.9        2.71       4.06       0.084      47.                 C072700300134 
 69.9        4.06       5.40       0.106     427.                 C072700300135 
 69.9        4.06       5.40       0.135      95.                 C072700300136 
 69.9        4.06       5.40       0.112      47.                 C072700300137 
 69.9        5.40       6.74       0.115     427.                 C072700300138 
 69.9        5.40       6.74       0.153      95.                 C072700300139 
 69.9        5.40       6.74       0.133      47.                 C072700300140 
 69.9        6.74       8.07       0.115     427.                 C072700300141 
 69.9        6.74       8.07       0.147      95.                 C072700300142 
 69.9        6.74       8.07       0.147      47.                 C072700300143 
 69.9        8.07       9.39       0.109     427.                 C072700300144 
 69.9        8.07       9.39       0.123      95.                 C072700300145 
 69.9        8.07       9.39       0.140      47.                 C072700300146 
 69.9        9.39      10.71       0.096     427.                 C072700300147 
 69.9        9.39      10.71       0.092      95.                 C072700300148 
 69.9        9.39      10.71       0.110      47.                 C072700300149 
 69.9       10.71      12.00       0.078     427.                 C072700300150 
 69.9       10.71      12.00       0.065      95.                 C072700300151 
 69.9       10.71      12.00       0.073      47.                 C072700300152 
 69.9       12.00      13.30       0.062     427.                 C072700300153 
 69.9       12.00      13.30       0.040      95.                 C072700300154 
 69.9       12.00      13.30       0.046      47.                 C072700300155 
 69.9       13.30      14.58       0.045     427.                 C072700300156 
 69.9       13.30      14.58       0.026      95.                 C072700300157 
 69.9       13.30      14.58       0.024      47.                 C072700300158 
 69.9       14.58      15.84       0.029     427.                 C072700300159 
 69.9       14.58      15.84       0.019      95.                 C072700300160 
 69.9       14.58      15.84       0.015      47.                 C072700300161 
 69.9       15.84      17.10       0.020     427.                 C072700300162 
 69.9       15.84      17.10       0.013      95.                 C072700300163 
 69.9       15.84      17.10       0.008      47.                 C072700300164 
 69.9       17.10      18.30       0.013     427.                 C072700300165 
 69.9       17.10      18.30       0.008      95.                 C072700300166 
 69.9       17.10      18.30       0.004      47.                 C072700300167 
 69.9       18.30      19.54       0.009     427.                 C072700300168 
 69.9       18.30      19.54       0.006      95.                 C072700300169 
 69.9       18.30      19.54       0.003      47.                 C072700300170 
 69.9       19.54      20.70       0.007     427.                 C072700300171 
 69.9       19.54      20.70       0.004      95.                 C072700300172 
 69.9       19.54      20.70       0.001      47.                 C072700300173 
 74.3        0.00       1.35       0.027     427.                 C072700300174 
 74.3        1.35       2.71       0.040     427.                 C072700300175 
 74.3        2.71       4.06       0.061     427.                 C072700300176 
 74.3        4.06       5.40       0.085     427.                 C072700300177 
 74.3        5.40       6.74       0.110     427.                 C072700300178 
 74.3        6.74       8.07       0.121     427.                 C072700300179 
 74.3        8.07       9.39       0.113     427.                 C072700300180 
 74.3        9.39      10.71       0.102     427.                 C072700300181 
 74.3       10.71      12.00       0.085     427.                 C072700300182 
 74.3       12.00      13.30       0.071     427.                 C072700300183 
 74.3       13.30      14.58       0.056     427.                 C072700300184 
 74.3       14.58      15.84       0.044     427.                 C072700300185 
 74.3       15.84      17.10       0.032     427.                 C072700300186 
 74.3       17.10      18.30       0.023     427.                 C072700300187 
 74.3       18.30      19.54       0.017     427.                 C072700300188 
 74.3       19.54      20.70       0.013     427.                 C072700300189 
 77.3        0.00       1.35       0.043     405.                 C072700300190 
 77.3        1.35       2.71       0.063     405.                 C072700300191 
 77.3        2.71       4.06       0.088     405.                 C072700300192 
 77.3        4.06       5.40       0.107     405.                 C072700300193 
 77.3        5.40       6.74       0.120     405.                 C072700300194 
 77.3        6.74       8.07       0.122     405.                 C072700300195 
 77.3        8.07       9.39       0.112     405.                 C072700300196 
 77.3        9.39      10.71       0.089     405.                 C072700300197 
 77.3       10.71      12.00       0.071     405.                 C072700300198 
 77.3       12.00      13.30       0.054     405.                 C072700300199 
 77.3       13.30      14.58       0.041     405.                 C072700300200 
 77.3       14.58      15.84       0.030     405.                 C072700300201 
 77.3       15.84      17.10       0.022     405.                 C072700300202 
 77.3       17.10      18.30       0.016     405.                 C072700300203 
 77.3       18.30      19.54       0.012     405.                 C072700300204 
 77.3       19.54      20.70       0.008     405.                 C072700300205 
 84.2        0.00       1.35       0.039     427.                 C072700300206 
 84.2        1.35       2.71       0.053     427.                 C072700300207 
 84.2        2.71       4.06       0.071     427.                 C072700300208 
 84.2        4.06       5.40       0.092     427.                 C072700300209 
 84.2        5.40       6.74       0.111     427.                 C072700300210 
 84.2        6.74       8.07       0.120     427.                 C072700300211 
 84.2        8.07       9.39       0.114     427.                 C072700300212 
 84.2        9.39      10.71       0.099     427.                 C072700300213 
 84.2       10.71      12.00       0.083     427.                 C072700300214 
 84.2       12.00      13.30       0.063     427.                 C072700300215 
 84.2       13.30      14.58       0.050     427.                 C072700300216 
 84.2       14.58      15.84       0.038     427.                 C072700300217 
 84.2       15.84      17.10       0.026     427.                 C072700300218 
 84.2       17.10      18.30       0.019     427.                 C072700300219 
 84.2       18.30      19.54       0.014     427.                 C072700300220 
 84.2       19.54      20.70       0.010     427.                 C072700300221 
 96.8        0.00       1.35       0.055     427.                 C072700300222 
 96.8        1.35       2.71       0.067     427.                 C072700300223 
 96.8        2.71       4.06       0.084     427.                 C072700300224 
 96.8        4.06       5.40       0.101     427.                 C072700300225 
 96.8        5.40       6.74       0.110     427.                 C072700300226 
 96.8        6.74       8.07       0.110     427.                 C072700300227 
 96.8        8.07       9.39       0.101     427.                 C072700300228 
 96.8        9.39      10.71       0.089     427.                 C072700300229 
 96.8       10.71      12.00       0.072     427.                 C072700300230 
 96.8       12.00      13.30       0.055     427.                 C072700300231 
 96.8       13.30      14.58       0.044     427.                 C072700300232 
 96.8       14.58      15.84       0.035     427.                 C072700300233 
 96.8       15.84      17.10       0.027     427.                 C072700300234 
 96.8       17.10      18.30       0.021     427.                 C072700300235 
 96.8       18.30      19.54       0.017     427.                 C072700300236 
 96.8       19.54      20.70       0.014     427.                 C072700300237 
104.3        0.00       1.35       0.041     405.                 C072700300238 
104.3        0.00       1.35       0.043     215.                 C072700300239 
104.3        0.00       1.35       0.041      95.                 C072700300240 
104.3        1.35       2.71       0.054     405.                 C072700300241 
104.3        1.35       2.71       0.060     215.                 C072700300242 
104.3        1.35       2.71       0.055      95.                 C072700300243 
104.3        2.71       4.06       0.072     405.                 C072700300244 
104.3        2.71       4.06       0.080     215.                 C072700300245 
104.3        2.71       4.06       0.072      95.                 C072700300246 
104.3        4.06       5.40       0.095     405.                 C072700300247 
104.3        4.06       5.40       0.097     215.                 C072700300248 
104.3        4.06       5.40       0.088      95.                 C072700300249 
104.3        5.40       6.74       0.110     405.                 C072700300250 
104.3        5.40       6.74       0.107     215.                 C072700300251 
104.3        5.40       6.74       0.105      95.                 C072700300252 
104.3        6.74       8.07       0.112     405.                 C072700300253 
104.3        6.74       8.07       0.122     215.                 C072700300254 
104.3        6.74       8.07       0.117      95.                 C072700300255 
104.3        8.07       9.39       0.107     405.                 C072700300256 
104.3        8.07       9.39       0.109     215.                 C072700300257 
104.3        8.07       9.39       0.114      95.                 C072700300258 
104.3        9.39      10.71       0.096     405.                 C072700300259 
104.3        9.39      10.71       0.098     215.                 C072700300260 
104.3        9.39      10.71       0.099      95.                 C072700300261 
104.3       10.71      12.00       0.081     405.                 C072700300262 
104.3       10.71      12.00       0.080     215.                 C072700300263 
104.3       10.71      12.00       0.083      95.                 C072700300264 
104.3       12.00      13.30       0.066     405.                 C072700300265 
104.3       12.00      13.30       0.063     215.                 C072700300266 
104.3       12.00      13.30       0.063      95.                 C072700300267 
104.3       13.30      14.58       0.051     405.                 C072700300268 
104.3       13.30      14.58       0.049     215.                 C072700300269 
104.3       13.30      14.58       0.048      95.                 C072700300270 
104.3       14.58      15.84       0.038     405.                 C072700300271 
104.3       14.58      15.84       0.037     215.                 C072700300272 
104.3       14.58      15.84       0.037      95.                 C072700300273 
104.3       15.84      17.10       0.028     405.                 C072700300274 
104.3       15.84      17.10       0.026     215.                 C072700300275 
104.3       15.84      17.10       0.027      95.                 C072700300276 
104.3       17.10      18.30       0.021     405.                 C072700300277 
104.3       17.10      18.30       0.018     215.                 C072700300278 
104.3       17.10      18.30       0.021      95.                 C072700300279 
104.3       18.30      19.54       0.016     405.                 C072700300280 
104.3       18.30      19.54       0.012     215.                 C072700300281 
104.3       18.30      19.54       0.015      95.                 C072700300282 
104.3       19.54      20.70       0.011     405.                 C072700300283 
104.3       19.54      20.70       0.008     215.                 C072700300284 
104.3       19.54      20.70       0.012      95.                 C072700300285 
114.0        0.00       1.35       0.039     427.                 C072700300286 
114.0        0.00       1.35       0.046      97.                 C072700300287 
114.0        0.00       1.35       0.031      47.                 C072700300288 
114.0        1.35       2.71       0.051     427.                 C072700300289 
114.0        1.35       2.71       0.057      97.                 C072700300290 
114.0        1.35       2.71       0.045      47.                 C072700300291 
114.0        2.71       4.06       0.068     427.                 C072700300292 
114.0        2.71       4.06       0.062      97.                 C072700300293 
114.0        2.71       4.06       0.063      47.                 C072700300294 
114.0        4.06       5.40       0.087     427.                 C072700300295 
114.0        4.06       5.40       0.081      97.                 C072700300296 
114.0        4.06       5.40       0.085      47.                 C072700300297 
114.0        5.40       6.74       0.102     427.                 C072700300298 
114.0        5.40       6.74       0.095      97.                 C072700300299 
114.0        5.40       6.74       0.106      47.                 C072700300300 
114.0        6.74       8.07       0.105     427.                 C072700300301 
114.0        6.74       8.07       0.110      97.                 C072700300302 
114.0        6.74       8.07       0.113      47.                 C072700300303 
114.0        8.07       9.39       0.102     427.                 C072700300304 
114.0        8.07       9.39       0.116      97.                 C072700300305 
114.0        8.07       9.39       0.113      47.                 C072700300306 
114.0        9.39      10.71       0.094     427.                 C072700300307 
114.0        9.39      10.71       0.107      97.                 C072700300308 
114.0        9.39      10.71       0.100      47.                 C072700300309 
114.0       10.71      12.00       0.082     427.                 C072700300310 
114.0       10.71      12.00       0.087      97.                 C072700300311 
114.0       10.71      12.00       0.085      47.                 C072700300312 
114.0       12.00      13.30       0.068     427.                 C072700300313 
114.0       12.00      13.30       0.064      97.                 C072700300314 
114.0       12.00      13.30       0.070      47.                 C072700300315 
114.0       13.30      14.58       0.057     427.                 C072700300316 
114.0       13.30      14.58       0.049      97.                 C072700300317 
114.0       13.30      14.58       0.053      47.                 C072700300318 
114.0       14.58      15.84       0.048     427.                 C072700300319 
114.0       14.58      15.84       0.039      97.                 C072700300320 
114.0       14.58      15.84       0.041      47.                 C072700300321 
114.0       15.84      17.10       0.036     427.                 C072700300322 
114.0       15.84      17.10       0.031      97.                 C072700300323 
114.0       15.84      17.10       0.031      47.                 C072700300324 
114.0       17.10      18.30       0.027     427.                 C072700300325 
114.0       17.10      18.30       0.024      97.                 C072700300326 
114.0       17.10      18.30       0.023      47.                 C072700300327 
114.0       18.30      19.54       0.020     427.                 C072700300328 
114.0       18.30      19.54       0.018      97.                 C072700300329 
114.0       18.30      19.54       0.017      47.                 C072700300330 
114.0       19.54      20.70       0.015     427.                 C072700300331 
114.0       19.54      20.70       0.015      97.                 C072700300332 
114.0       19.54      20.70       0.013      47.                 C072700300333 
ENDDATA            322          0                                 C072700300334 
ENDSUBENT          333          0                                 C072700399999 
ENDENTRY             3          0                                 C072799999999 
