ENTRY            C0957   20040512                             0000C095700000001 
SUBENT        C0957001   20040512                             0000C095700100001 
BIB                 12         17                                 C095700100002 
INSTITUTE  (1USAANL,1USAOHO)                                      C095700100003 
REFERENCE  (J,NIM/A,505,5,2003)                                   C095700100004 
AUTHOR     (C.L.Fink,D.L.Smith,B.J.Micklich,T.N.Massey)           C095700100005 
TITLE      Gamma rays produced by 1.75- to 4-MeV proton           C095700100006 
            bombardment of thick aluminum targets                 C095700100007 
FACILITY   (VDGT,1USAOHO)                                         C095700100008 
SAMPLE     Pure aluminum sheet, sufficiently thick to stop a      C095700100009 
            4-MeV proton beam.                                    C095700100010 
DETECTOR   (NAICR) 2 NaI scintillators.                           C095700100011 
MONITOR    Detectors calibrated using standard 137Cs and 60Co     C095700100012 
            sources, as well as 4.439-MeV gammas from Am-Be       C095700100013 
            source.                                               C095700100014 
CORRECTION Corrected for deadtime.                                C095700100015 
ERR-ANALYS No information on uncertainties.                       C095700100016 
STATUS     (APRVD) Approved by B.Micklich, 5/5/2004.              C095700100017 
HISTORY    (20040121C) VM                                         C095700100018 
           (20040512A) Added author approval.                     C095700100019 
ENDBIB              17          0                                 C095700100020 
NOCOMMON             0          0                                 C095700100021 
ENDSUBENT           20          0                                 C095700199999 
SUBENT        C0957002   20040121                             0000C095700200001 
BIB                  2          2                                 C095700200002 
REACTION   (13-AL-27(P,X)0-G-0,,TTY/PY/DA/DE)                     C095700200003 
STATUS     Data taken from Table 1 in reference.                  C095700200004 
ENDBIB               2          0                                 C095700200005 
NOCOMMON             0          0                                 C095700200006 
DATA                 5        119                                 C095700200007 
EN         ANG        E-MIN      E-MAX      DATA                  C095700200008 
  3.0        0.        13.5       14.5        417.                C095700200078 
  3.0       90.         4.5        5.5       7021.                C095700200079 
  3.0       90.         5.5        6.5       3931.                C095700200080 
  3.0       90.         6.5        7.5       6405.                C095700200081 
  3.0       90.         7.5        8.5       3085.                C095700200082 
  3.0       90.         8.5        9.5       4278.                C095700200083 
  3.0       90.         9.5       10.5       2839.                C095700200084 
  3.0       90.        10.5       11.5       7279.                C095700200085 
  3.0       90.        11.5       12.5       8718.                C095700200086 
  3.0       90.        12.5       13.5        999.                C095700200087 
  3.0       90.        13.5       14.5        479.                C095700200088 
  3.5        0.         4.5        5.5       7563.                C095700200089 
  3.5        0.         5.5        6.5       5607.                C095700200090 
  3.5        0.         6.5        7.5       8910.                C095700200091 
  3.5        0.         7.5        8.5       4331.                C095700200092 
  3.5        0.         8.5        9.5       3809.                C095700200093 
  3.5        0.         9.5       10.5       3218.                C095700200094 
  3.5        0.        10.5       11.5       5292.                C095700200095 
  3.5        0.        11.5       12.5       9435.                C095700200096 
  3.5        0.        12.5       13.5       5146.                C095700200097 
  3.5        0.        13.5       14.5        920.                C095700200098 
  3.5       90.         4.5        5.5       8956.                C095700200099 
  3.5       90.         5.5        6.5       5580.                C095700200100 
  3.5       90.         6.5        7.5       7552.                C095700200101 
  3.5       90.         7.5        8.5       6011.                C095700200102 
  3.5       90.         8.5        9.5       3902.                C095700200103 
  3.5       90.         9.5       10.5       4712.                C095700200104 
  3.5       90.        10.5       11.5       6275.                C095700200105 
  3.5       90.        11.5       12.5       9278.                C095700200106 
  3.5       90.        12.5       13.5       5032.                C095700200107 
  3.5       90.        13.5       14.5        756.                C095700200108 
  4.0        0.         4.5        5.5      14167.                C095700200109 
  4.0        0.         5.5        6.5      11371.                C095700200110 
  4.0        0.         6.5        7.5      16000.                C095700200111 
  4.0        0.         7.5        8.5       9119.                C095700200112 
  4.0        0.         8.5        9.5       5762.                C095700200113 
  4.0        0.         9.5       10.5       7529.                C095700200114 
  4.0        0.        10.5       11.5      10882.                C095700200115 
  4.0        0.        11.5       12.5       9923.                C095700200116 
  4.0        0.        12.5       13.5       7817.                C095700200117 
  4.0        0.        13.5       14.5       3420.                C095700200118 
  4.0       90.         4.5        5.5      36954.                C095700200119 
  4.0       90.         5.5        6.5       8963.                C095700200120 
  4.0       90.         6.5        7.5      11819.                C095700200121 
  4.0       90.         7.5        8.5      10368.                C095700200122 
  4.0       90.         8.5        9.5       6220.                C095700200123 
  4.0       90.         9.5       10.5       5724.                C095700200124 
  4.0       90.        10.5       11.5       8072.                C095700200125 
  4.0       90.        11.5       12.5      10723.                C095700200126 
  4.0       90.        12.5       13.5       7386.                C095700200127 
  4.0       90.        13.5       14.5       6601.                C095700200128 
ENDDATA            121          0                                 C095700200129 
ENDSUBENT          128          0                                 C095700299999 
ENDENTRY             2          0                                 C095799999999 
