ENTRY            C0838   20120123                             C114C083800000001 
SUBENT        C0838001   20120123                             C114C083800100001 
BIB                 12         23                                 C083800100002 
INSTITUTE  (1USAMIT,1USAOHO)                                      C083800100003 
REFERENCE  (J,NSE,138,145,200106)                                 C083800100004 
           (C,97TRIEST,2,1655,1997) prelim.results                C083800100005 
AUTHOR     (W.B.Howard,S.M.Grimes,T.N.Massey,S.I.Al-Quraishi,     C083800100006 
           D.K.Jacobs,C.E.Brient,J.C.Yanch)                       C083800100007 
TITLE      Measurement of the Thick-Target 9Be(p,n) Neutron EnergyC083800100008 
            Spectra                                               C083800100009 
FACILITY   (VDGT,1USAOHO) Beam swinger facility at tandem Van de  C083800100010 
            Graaff.                                               C083800100011 
SAMPLE     Beryllium targets, 99.9% pure, 0.25 or 0.5 mm thick    C083800100012 
            (thick enough to stop 4-MeV protons).                 C083800100013 
METHOD     (TOF,PSD) Neutron time-of-flight; 10-m flight path.    C083800100014 
DETECTOR   (GLASD) Four Li-loaded (95% 6Li) glass scintillators   C083800100015 
            used to detect neutrons.                              C083800100016 
CORRECTION Corrected for background.                              C083800100017 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       C083800100018 
STATUS     (APRVD) Approved by T. Massey, 16 August 2002.         C083800100019 
           (TABLE) Data received by email from T. Massey,         C083800100020 
            2 August 2001.                                        C083800100021 
HISTORY    (20020814C) VM                                         C083800100022 
           (20100610A) VM: subentry 003 updated.                  C083800100023 
           (20110121A) OS. Reaction in Sub.3 modified             C083800100024 
           (20120123U) SD: ref. added.                            C083800100025 
ENDBIB              23          0                                 C083800100026 
NOCOMMON             0          0                                 C083800100027 
ENDSUBENT           26          0                                 C083800199999 
SUBENT        C0838003   20110123                             C104C083800300001 
BIB                  2          5                                 C083800300002 
REACTION   (4-BE-9(P,X)0-NN-1,,TTY/PY/DA/DE,,AV)                  C083800300003 
HISTORY    (20030127A) Comment added.                             C083800300004 
           (20040504A) Reaction updated.                          C083800300005 
           (20100610A) Reaction updated.                          C083800300006 
           (20110121A) OS. REACTION SF6 corrected                 C083800300007 
ENDBIB               5          0                                 C083800300008 
NOCOMMON             0          0                                 C083800300009 
DATA                 6       1734                                 C083800300010 
EN         ANG        E-MEAN     E-RSL      DATA       ERR-S      C083800300011 
MEV        ADEG       MEV        MEV        P/MEVMUCSR P/MEVMUCSR C083800300012 
 3.0         0.         0.725      0.025     3.5708E+07 1.4860E+06C083800300044 
 3.0         0.         0.775      0.025     3.1822E+07 1.2769E+06C083800300045 
 3.0         0.         0.825      0.025     3.2076E+07 1.3474E+06C083800300046 
 3.0         0.         0.875      0.025     3.0306E+07 1.2090E+06C083800300047 
 3.0         0.         0.925      0.025     3.2996E+07 1.2823E+06C083800300048 
 3.0         0.         0.975      0.025     3.0004E+07 1.1518E+06C083800300049 
 3.0         0.         1.025      0.025     2.7864E+07 1.1503E+06C083800300050 
 3.0         0.         1.075      0.025     1.8875E+07 8.7395E+05C083800300051 
 3.0         0.         1.125      0.025     5.7237E+05 3.6979E+05C083800300052 
 3.0        40.         0.090      0.010     4.2633E+06 1.1634E+06C083800300053 
 3.0        40.         0.110      0.010     7.6317E+06 1.0930E+06C083800300054 
 3.0        40.         0.130      0.010     8.2971E+06 9.9063E+05C083800300055 
 3.0        40.         0.150      0.010     6.7614E+06 7.7733E+05C083800300056 
 3.0        40.         0.170      0.010     6.9653E+06 6.3017E+05C083800300057 
 3.0        40.         0.190      0.010     6.8196E+06 5.4164E+05C083800300058 
 3.0        40.         0.210      0.010     7.4048E+06 5.3740E+05C083800300059 
 3.0        40.         0.230      0.010     7.2811E+06 4.1380E+05C083800300060 
 3.0        40.         0.250      0.010     8.9280E+06 4.3217E+05C083800300061 
 3.0        40.         0.270      0.010     8.1944E+06 4.3170E+05C083800300062 
 3.0        40.         0.290      0.010     8.0912E+06 4.2517E+05C083800300063 
 3.0        40.         0.310      0.010     1.3552E+07 5.8709E+05C083800300064 
 3.0        40.         0.330      0.010     1.3606E+07 6.0725E+05C083800300065 
 3.0        40.         0.350      0.010     1.7991E+07 7.8069E+05C083800300066 
 3.0        40.         0.370      0.010     1.4573E+07 6.7527E+05C083800300067 
 3.0        40.         0.390      0.010     1.7044E+07 7.2462E+05C083800300068 
 3.0        40.         0.410      0.010     1.9691E+07 8.1398E+05C083800300069 
 3.0        40.         0.430      0.010     2.6453E+07 1.1106E+06C083800300070 
 3.0        40.         0.450      0.010     2.4058E+07 1.0392E+06C083800300071 
 3.0        40.         0.470      0.010     3.3645E+07 1.5976E+06C083800300072 
 3.0        40.         0.490      0.010     3.3661E+07 1.6882E+06C083800300073 
 3.0        40.         0.510      0.010     4.4561E+07 2.3654E+06C083800300074 
 3.0        40.         0.530      0.010     5.0831E+07 2.6438E+06C083800300075 
 3.0        40.         0.550      0.010     5.9981E+07 3.0585E+06C083800300076 
 3.0        40.         0.570      0.010     6.2127E+07 3.3577E+06C083800300077 
 3.0        40.         0.590      0.010     5.7067E+07 3.1201E+06C083800300078 
 3.0        40.         0.610      0.010     5.2217E+07 3.2100E+06C083800300079 
 3.0        40.         0.630      0.010     5.3255E+07 3.3098E+06C083800300080 
 3.0        40.         0.650      0.010     3.5880E+07 2.1525E+06C083800300081 
 3.0        40.         0.670      0.010     4.4785E+07 2.9755E+06C083800300082 
 3.0        40.         0.690      0.010     4.0829E+07 2.7091E+06C083800300083 
 3.0        40.         0.725      0.025     4.2115E+07 1.6861E+06C083800300084 
 3.0        40.         0.775      0.025     3.5889E+07 1.3927E+06C083800300085 
 3.0        40.         0.825      0.025     3.7215E+07 1.5041E+06C083800300086 
 3.0        40.         0.875      0.025     3.4779E+07 1.3359E+06C083800300087 
 3.0        40.         0.925      0.025     3.4654E+07 1.3147E+06C083800300088 
 3.0        40.         0.975      0.025     2.4195E+07 9.6572E+05C083800300089 
 3.0        40.         1.025      0.025     1.4135E+06 3.8301E+05C083800300090 
  3.4        0.         0.090      0.010     9.7001E+06 1.5757E+06C083800300091 
  3.4        0.         0.110      0.010     1.3936E+07 1.5457E+06C083800300092 
  3.4        0.         0.130      0.010     1.5531E+07 1.4741E+06C083800300093 
  3.4        0.         0.150      0.010     1.4238E+07 1.2489E+06C083800300094 
  3.4        0.         0.170      0.010     1.4661E+07 1.1205E+06C083800300095 
  3.4        0.         0.190      0.010     1.4566E+07 1.0379E+06C083800300096 
  3.4        0.         0.210      0.010     1.5815E+07 1.0807E+06C083800300097 
  3.4        0.         0.230      0.010     1.4906E+07 8.0621E+05C083800300098 
  3.4        0.         0.250      0.010     1.8807E+07 8.6190E+05C083800300099 
  3.4        0.         0.270      0.010     1.6495E+07 8.3749E+05C083800300100 
  3.4        0.         0.290      0.010     1.6760E+07 8.4115E+05C083800300101 
  3.4        0.         0.310      0.010     2.6524E+07 1.0784E+06C083800300102 
  3.4        0.         0.330      0.010     2.7377E+07 1.1381E+06C083800300103 
  3.4        0.         0.350      0.010     3.4814E+07 1.4089E+06C083800300104 
  3.4        0.         0.370      0.010     2.5267E+07 1.1242E+06C083800300105 
  3.4        0.         0.390      0.010     2.9266E+07 1.1935E+06C083800300106 
  3.4        0.         0.410      0.010     3.2398E+07 1.2947E+06C083800300107 
  3.4        0.         0.430      0.010     4.1850E+07 1.7110E+06C083800300108 
  3.4        0.         0.450      0.010     3.6738E+07 1.5591E+06C083800300109 
  3.4        0.         0.470      0.010     4.5987E+07 2.1850E+06C083800300110 
  3.4        0.         0.490      0.010     4.3433E+07 2.1943E+06C083800300111 
  3.4        0.         0.510      0.010     5.4051E+07 2.8979E+06C083800300112 
  3.4        0.         0.530      0.010     5.8322E+07 3.0925E+06C083800300113 
  3.4        0.         0.550      0.010     6.8433E+07 3.5578E+06C083800300114 
  3.4        0.         0.570      0.010     6.7364E+07 3.7222E+06C083800300115 
  3.4        0.         0.590      0.010     7.0605E+07 3.8935E+06C083800300116 
  3.4        0.         0.610      0.010     7.5012E+07 4.5804E+06C083800300117 
  3.4        0.         0.630      0.010     8.0432E+07 4.9422E+06C083800300118 
  3.4        0.         0.650      0.010     4.9459E+07 2.9814E+06C083800300119 
  3.4        0.         0.670      0.010     5.0143E+07 3.4303E+06C083800300120 
  3.4        0.         0.690      0.010     4.8433E+07 3.2799E+06C083800300121 
  3.4        0.         0.725      0.025     4.5278E+07 1.8813E+06C083800300122 
  3.4        0.         0.775      0.025     3.9338E+07 1.5815E+06C083800300123 
  3.4        0.         0.825      0.025     3.9237E+07 1.6583E+06C083800300124 
  3.4        0.         0.875      0.025     3.6833E+07 1.4844E+06C083800300125 
  3.4        0.         0.925      0.025     4.1821E+07 1.6225E+06C083800300126 
  3.4        0.         0.975      0.025     3.7077E+07 1.4291E+06C083800300127 
  3.4        0.         1.025      0.025     3.7630E+07 1.5308E+06C083800300128 
  3.4        0.         1.075      0.025     3.4156E+07 1.4418E+06C083800300129 
  3.4        0.         1.125      0.025     3.3299E+07 1.4146E+06C083800300130 
  3.4        0.         1.175      0.025     3.9068E+07 1.6280E+06C083800300131 
  3.4        0.         1.225      0.025     3.6284E+07 1.5252E+06C083800300132 
  3.4        0.         1.275      0.025     2.9124E+07 1.1968E+06C083800300133 
  3.4        0.         1.325      0.025     3.0503E+07 1.2516E+06C083800300134 
  3.4        0.         1.375      0.025     2.8870E+07 1.3161E+06C083800300135 
  3.4        0.         1.425      0.025     2.7779E+07 1.2484E+06C083800300136 
  3.4        0.         1.475      0.025     2.2158E+07 1.0588E+06C083800300137 
  3.4        0.         1.525      0.025     3.0144E+06 4.3386E+05C083800300138 
  3.4       40.         0.090      0.010     9.5351E+06 1.4735E+06C083800300139 
  3.4       40.         0.110      0.010     1.2871E+07 1.4240E+06C083800300140 
  3.4       40.         0.130      0.010     1.4936E+07 1.3888E+06C083800300141 
  3.4       40.         0.150      0.010     1.3118E+07 1.1486E+06C083800300142 
  3.4       40.         0.170      0.010     1.3671E+07 1.0374E+06C083800300143 
  3.4       40.         0.190      0.010     1.4602E+07 1.0266E+06C083800300144 
  3.4       40.         0.210      0.010     1.4439E+07 9.8576E+05C083800300145 
  3.4       40.         0.230      0.010     1.4311E+07 7.6972E+05C083800300146 
  3.4       40.         0.250      0.010     1.7204E+07 7.8637E+05C083800300147 
  3.4       40.         0.270      0.010     1.5128E+07 7.6650E+05C083800300148 
  3.4       40.         0.290      0.010     1.4909E+07 7.4807E+05C083800300149 
  3.4       40.         0.310      0.010     2.3155E+07 9.4398E+05C083800300150 
  3.4       40.         0.330      0.010     2.3506E+07 9.8286E+05C083800300151 
  3.4       40.         0.350      0.010     3.0022E+07 1.2212E+06C083800300152 
  3.4       40.         0.370      0.010     2.2521E+07 1.0010E+06C083800300153 
  3.4       40.         0.390      0.010     2.5216E+07 1.0329E+06C083800300154 
  3.4       40.         0.410      0.010     2.7156E+07 1.0951E+06C083800300155 
  3.4       40.         0.430      0.010     3.7069E+07 1.5161E+06C083800300156 
  3.4       40.         0.450      0.010     3.2010E+07 1.3613E+06C083800300157 
  3.4       40.         0.470      0.010     4.3256E+07 2.0385E+06C083800300158 
  3.4       40.         0.490      0.010     3.9307E+07 1.9805E+06C083800300159 
  3.4       40.         0.510      0.010     5.3030E+07 2.8187E+06C083800300160 
  3.4       40.         0.530      0.010     5.8220E+07 3.0400E+06C083800300161 
  3.4       40.         0.550      0.010     7.0554E+07 3.6035E+06C083800300162 
  3.4       40.         0.570      0.010     6.9046E+07 3.7572E+06C083800300163 
  3.4       40.         0.590      0.010     6.6572E+07 3.6521E+06C083800300164 
  3.4       40.         0.610      0.010     6.2815E+07 3.8538E+06C083800300165 
  3.4       40.         0.630      0.010     6.0425E+07 3.7802E+06C083800300166 
  3.4       40.         0.650      0.010     4.0776E+07 2.4843E+06C083800300167 
  3.4       40.         0.670      0.010     5.4623E+07 3.5956E+06C083800300168 
  3.4       40.         0.690      0.010     4.6498E+07 3.1195E+06C083800300169 
  3.4       40.         0.725      0.025     4.9225E+07 1.9829E+06C083800300170 
  3.4       40.         0.775      0.025     4.3619E+07 1.6904E+06C083800300171 
  3.4       40.         0.825      0.025     4.3454E+07 1.7676E+06C083800300172 
  3.4       40.         0.875      0.025     4.2384E+07 1.6213E+06C083800300173 
  3.4       40.         0.925      0.025     4.4524E+07 1.6722E+06C083800300174 
  3.4       40.         0.975      0.025     4.4144E+07 1.6056E+06C083800300175 
  3.4       40.         1.025      0.025     4.2957E+07 1.6674E+06C083800300176 
  3.4       40.         1.075      0.025     3.7827E+07 1.5356E+06C083800300177 
  3.4       40.         1.125      0.025     3.9702E+07 1.5895E+06C083800300178 
  3.4       40.         1.175      0.025     4.4513E+07 1.7703E+06C083800300179 
  3.4       40.         1.225      0.025     3.9708E+07 1.6027E+06C083800300180 
  3.4       40.         1.275      0.025     3.2611E+07 1.2756E+06C083800300181 
  3.4       40.         1.325      0.025     3.1100E+07 1.2317E+06C083800300182 
  3.4       40.         1.375      0.025     1.6247E+07 8.5259E+05C083800300183 
  3.4       40.         1.425      0.025     5.7384E+05 3.9556E+05C083800300184 
  3.7        0.         0.090      0.010     1.3707E+07 2.0157E+06C083800300185 
  3.7        0.         0.110      0.010     1.9827E+07 2.0350E+06C083800300186 
  3.7        0.         0.130      0.010     2.3198E+07 2.0342E+06C083800300187 
  3.7        0.         0.150      0.010     2.4594E+07 1.9386E+06C083800300188 
  3.7        0.         0.170      0.010     2.3488E+07 1.7082E+06C083800300189 
  3.7        0.         0.190      0.010     2.4236E+07 1.6750E+06C083800300190 
  3.7        0.         0.210      0.010     2.5578E+07 1.7228E+06C083800300191 
  3.7        0.         0.230      0.010     2.5885E+07 1.3751E+06C083800300192 
  3.7        0.         0.250      0.010     3.1441E+07 1.4169E+06C083800300193 
  3.7        0.         0.270      0.010     2.7580E+07 1.3827E+06C083800300194 
  3.7        0.         0.290      0.010     2.6264E+07 1.3038E+06C083800300195 
  3.7        0.         0.310      0.010     4.2491E+07 1.6920E+06C083800300196 
  3.7        0.         0.330      0.010     4.2437E+07 1.7326E+06C083800300197 
  3.7        0.         0.350      0.010     5.4530E+07 2.1589E+06C083800300198 
  3.7        0.         0.370      0.010     3.8826E+07 1.6954E+06C083800300199 
  3.7        0.         0.390      0.010     4.3404E+07 1.7439E+06C083800300200 
  3.7        0.         0.410      0.010     4.8526E+07 1.9104E+06C083800300201 
  3.7        0.         0.430      0.010     6.2377E+07 2.5143E+06C083800300202 
  3.7        0.         0.450      0.010     5.2798E+07 2.2191E+06C083800300203 
  3.7        0.         0.470      0.010     6.1553E+07 2.9339E+06C083800300204 
  3.7        0.         0.490      0.010     5.6631E+07 2.8691E+06C083800300205 
  3.7        0.         0.510      0.010     6.9602E+07 3.7576E+06C083800300206 
  3.7        0.         0.530      0.010     7.4713E+07 3.9836E+06C083800300207 
  3.7        0.         0.550      0.010     8.4948E+07 4.4525E+06C083800300208 
  3.7        0.         0.570      0.010     8.2658E+07 4.6147E+06C083800300209 
  3.7        0.         0.590      0.010     8.6577E+07 4.8243E+06C083800300210 
  3.7        0.         0.610      0.010     8.8688E+07 5.4907E+06C083800300211 
  3.7        0.         0.630      0.010     9.0596E+07 5.6771E+06C083800300212 
  3.7        0.         0.650      0.010     6.2481E+07 3.7850E+06C083800300213 
  3.7        0.         0.670      0.010     6.7213E+07 4.5481E+06C083800300214 
  3.7        0.         0.690      0.010     5.6700E+07 3.9106E+06C083800300215 
  3.7        0.         0.725      0.025     5.3600E+07 2.2690E+06C083800300216 
  3.7        0.         0.775      0.025     4.7044E+07 1.9321E+06C083800300217 
  3.7        0.         0.825      0.025     4.6490E+07 2.0033E+06C083800300218 
  3.7        0.         0.875      0.025     4.3549E+07 1.7910E+06C083800300219 
  3.7        0.         0.925      0.025     4.6372E+07 1.8773E+06C083800300220 
  3.7        0.         0.975      0.025     4.4497E+07 1.7619E+06C083800300221 
  3.7        0.         1.025      0.025     4.5074E+07 1.8814E+06C083800300222 
  3.7        0.         1.075      0.025     4.2375E+07 1.8179E+06C083800300223 
  3.7        0.         1.125      0.025     4.0300E+07 1.7512E+06C083800300224 
  3.7        0.         1.175      0.025     4.3444E+07 1.8926E+06C083800300225 
  3.7        0.         1.225      0.025     3.9504E+07 1.7459E+06C083800300226 
  3.7        0.         1.275      0.025     3.3947E+07 1.4468E+06C083800300227 
  3.7        0.         1.325      0.025     3.5103E+07 1.5028E+06C083800300228 
  3.7        0.         1.375      0.025     3.6255E+07 1.6819E+06C083800300229 
  3.7        0.         1.425      0.025     3.8256E+07 1.7095E+06C083800300230 
  3.7        0.         1.475      0.025     3.6144E+07 1.6446E+06C083800300231 
  3.7        0.         1.525      0.025     3.8161E+07 1.6098E+06C083800300232 
  3.7        0.         1.575      0.025     3.7858E+07 1.6712E+06C083800300233 
  3.7        0.         1.625      0.025     4.3247E+07 1.8593E+06C083800300234 
  3.7        0.         1.675      0.025     4.1832E+07 1.8110E+06C083800300235 
  3.7        0.         1.725      0.025     3.8068E+07 1.6080E+06C083800300236 
  3.7        0.         1.775      0.025     3.6903E+07 1.7373E+06C083800300237 
  3.7        0.         1.825      0.025     8.5177E+06 6.8186E+05C083800300238 
  3.7       10.         0.090      0.010     1.2372E+07 2.7473E+06C083800300239 
  3.7       10.         0.110      0.010     1.8082E+07 3.2391E+06C083800300240 
  3.7       10.         0.130      0.010     2.5027E+07 4.0746E+06C083800300241 
  3.7       10.         0.150      0.010     2.2823E+07 3.3440E+06C083800300242 
  3.7       10.         0.170      0.010     2.3475E+07 2.6097E+06C083800300243 
  3.7       10.         0.190      0.010     2.4926E+07 2.3281E+06C083800300244 
  3.7       10.         0.210      0.010     2.6262E+07 2.0437E+06C083800300245 
  3.7       10.         0.230      0.010     2.5718E+07 1.2794E+06C083800300246 
  3.7       10.         0.250      0.010     3.2938E+07 1.3696E+06C083800300247 
  3.7       10.         0.270      0.010     2.7048E+07 1.2761E+06C083800300248 
  3.7       10.         0.290      0.010     2.6435E+07 1.2133E+06C083800300249 
  3.7       10.         0.310      0.010     4.1612E+07 1.3944E+06C083800300250 
  3.7       10.         0.330      0.010     4.2195E+07 1.4241E+06C083800300251 
  3.7       10.         0.350      0.010     5.2390E+07 1.6247E+06C083800300252 
  3.7       10.         0.370      0.010     3.9443E+07 1.4126E+06C083800300253 
  3.7       10.         0.390      0.010     4.5418E+07 1.5106E+06C083800300254 
  3.7       10.         0.410      0.010     4.8037E+07 1.5711E+06C083800300255 
  3.7       10.         0.430      0.010     6.0943E+07 1.9140E+06C083800300256 
  3.7       10.         0.450      0.010     5.2283E+07 1.7387E+06C083800300257 
  3.7       10.         0.470      0.010     5.9801E+07 2.0456E+06C083800300258 
  3.7       10.         0.490      0.010     5.6486E+07 2.0711E+06C083800300259 
  3.7       10.         0.510      0.010     6.7025E+07 2.4503E+06C083800300260 
  3.7       10.         0.530      0.010     6.8433E+07 2.4427E+06C083800300261 
  3.7       10.         0.550      0.010     8.3323E+07 3.0577E+06C083800300262 
  3.7       10.         0.570      0.010     7.6153E+07 2.8254E+06C083800300263 
  3.7       10.         0.590      0.010     7.7314E+07 2.9783E+06C083800300264 
  3.7       10.         0.610      0.010     7.9176E+07 3.0897E+06C083800300265 
  3.7       10.         0.630      0.010     7.8704E+07 3.1371E+06C083800300266 
  3.7       10.         0.650      0.010     5.5681E+07 2.3458E+06C083800300267 
  3.7       10.         0.670      0.010     5.6953E+07 2.4005E+06C083800300268 
  3.7       10.         0.690      0.010     5.0766E+07 2.2140E+06C083800300269 
  3.7       10.         0.725      0.025     5.2820E+07 1.5844E+06C083800300270 
  3.7       10.         0.775      0.025     4.9431E+07 1.5402E+06C083800300271 
  3.7       10.         0.825      0.025     4.6087E+07 1.4399E+06C083800300272 
  3.7       10.         0.875      0.025     4.8922E+07 1.5130E+06C083800300273 
  3.7       10.         0.925      0.025     5.1320E+07 1.5661E+06C083800300274 
  3.7       10.         0.975      0.025     4.7060E+07 1.4598E+06C083800300275 
  3.7       10.         1.025      0.025     4.7908E+07 1.5161E+06C083800300276 
  3.7       10.         1.075      0.025     4.1732E+07 1.3343E+06C083800300277 
  3.7       10.         1.125      0.025     4.2458E+07 1.3790E+06C083800300278 
  3.7       10.         1.175      0.025     4.6264E+07 1.5395E+06C083800300279 
  3.7       10.         1.225      0.025     3.7706E+07 1.2578E+06C083800300280 
  3.7       10.         1.275      0.025     3.3639E+07 1.1264E+06C083800300281 
  3.7       10.         1.325      0.025     3.9383E+07 1.3318E+06C083800300282 
  3.7       10.         1.375      0.025     3.4955E+07 1.2165E+06C083800300283 
  3.7       10.         1.425      0.025     3.6274E+07 1.2747E+06C083800300284 
  3.7       10.         1.475      0.025     3.3384E+07 1.1776E+06C083800300285 
  3.7       10.         1.525      0.025     3.6481E+07 1.2442E+06C083800300286 
  3.7       10.         1.575      0.025     3.5833E+07 1.2163E+06C083800300287 
  3.7       10.         1.625      0.025     3.9453E+07 1.3244E+06C083800300288 
  3.7       10.         1.675      0.025     3.7013E+07 1.2417E+06C083800300289 
  3.7       10.         1.725      0.025     3.5521E+07 1.2414E+06C083800300290 
  3.7       10.         1.775      0.025     2.5640E+07 1.0432E+06C083800300291 
  3.7       10.         1.825      0.025     3.2729E+06 4.7832E+05C083800300292 
  3.7       20.         0.090      0.010     1.1981E+07 2.9042E+06C083800300293 
  3.7       20.         0.110      0.010     2.1791E+07 2.7996E+06C083800300294 
  3.7       20.         0.130      0.010     2.4836E+07 2.6362E+06C083800300295 
  3.7       20.         0.150      0.010     2.1787E+07 2.1399E+06C083800300296 
  3.7       20.         0.170      0.010     2.1654E+07 1.7924E+06C083800300297 
  3.7       20.         0.190      0.010     2.3715E+07 1.7400E+06C083800300298 
  3.7       20.         0.210      0.010     2.4606E+07 1.7178E+06C083800300299 
  3.7       20.         0.230      0.010     2.4564E+07 1.3466E+06C083800300300 
  3.7       20.         0.250      0.010     3.0372E+07 1.4142E+06C083800300301 
  3.7       20.         0.270      0.010     2.6007E+07 1.3401E+06C083800300302 
  3.7       20.         0.290      0.010     2.5956E+07 1.3271E+06C083800300303 
  3.7       20.         0.310      0.010     4.0853E+07 1.7158E+06C083800300304 
  3.7       20.         0.330      0.010     4.0106E+07 1.7393E+06C083800300305 
  3.7       20.         0.350      0.010     5.1387E+07 2.1761E+06C083800300306 
  3.7       20.         0.370      0.010     3.5162E+07 1.6504E+06C083800300307 
  3.7       20.         0.390      0.010     4.1297E+07 1.7777E+06C083800300308 
  3.7       20.         0.410      0.010     4.4051E+07 1.8778E+06C083800300309 
  3.7       20.         0.430      0.010     5.4665E+07 2.4021E+06C083800300310 
  3.7       20.         0.450      0.010     4.8887E+07 2.2138E+06C083800300311 
  3.7       20.         0.470      0.010     6.0642E+07 3.0677E+06C083800300312 
  3.7       20.         0.490      0.010     5.2262E+07 2.8361E+06C083800300313 
  3.7       20.         0.510      0.010     6.6118E+07 3.7866E+06C083800300314 
  3.7       20.         0.530      0.010     7.2847E+07 4.1098E+06C083800300315 
  3.7       20.         0.550      0.010     8.1614E+07 4.5374E+06C083800300316 
  3.7       20.         0.570      0.010     8.3844E+07 4.9063E+06C083800300317 
