ENTRY            C0480   20010307                             0000C048000000001 
SUBENT        C0480001   20010307                             0000C048000100001 
BIB                 11         28                                 C048000100002 
INSTITUTE  (1USAANL)                                              C048000100003 
REFERENCE  (J,PR/C,22,167,198007)                                 C048000100004 
AUTHOR     (S.B.KAUFMAN,E.P.STEINBERG)                            C048000100005 
TITLE      Cross-section measurements of nuclides formed by       C048000100006 
            reaction of 0.20 - 6.0 GeV protons with 197Au.        C048000100007 
FACILITY   (SYNCH,1USABNL) The USA BNL AGS for bombardment at     C048000100008 
            200 MeV.                                              C048000100009 
           (SYNCH,1USAANL) The USA ANL IPNS synchrotron for       C048000100010 
            bombardment at 490 MeV.                               C048000100011 
           (SYNCH,1USAANL) The USA ANL ZGS accelerator for        C048000100012 
            bombardment at 1.0, 3.0, and 6.0 GeV.                 C048000100013 
SAMPLE     Targets consisted of three gold foils, each 24         C048000100014 
            mg/cm**2 thick.                                       C048000100015 
METHOD     (ACTIV)                                                C048000100016 
DETECTOR   (GELI)                                                 C048000100017 
ERR-ANALYS (DATA-ERR) The errors given include the estimated      C048000100018 
            errors in the extrapolated decay rates, obtained      C048000100019 
            from the least-squares decay curve analysis and       C048000100020 
            the statistical uncertainties in the photopeak        C048000100021 
            intensities.  In addition, a 5 % uncertainty in the   C048000100022 
            efficiency calibration of the detectors was folded    C048000100023 
            in.  Possible systematic errors in the gamma-ray      C048000100024 
            abundances and monitor cross sections are not         C048000100025 
            included.                                             C048000100026 
STATUS     Data taken from the Table 1 of reference.              C048000100027 
HISTORY    (19990415C) VV                                         C048000100028 
           (20000209A) Reference corrected.                       C048000100029 
           (20010307A) Date on subentry records corrected.        C048000100030 
ENDBIB              28          0                                 C048000100031 
NOCOMMON             0          0                                 C048000100032 
ENDSUBENT           31          0                                 C048000199999 
SUBENT        C0480002   20010329                             0000C048000200001 
BIB                  3          7                                 C048000200002 
REACTION   (79-AU-197(P,X)ELEM/MASS,CUM,SIG)                      C048000200003 
CORRECTION Cross sections corrected for the effect of possibility C048000200004 
            of significant errors for nuclei with half-lifes not  C048000200005 
            much longer that of any of its precursors.            C048000200006 
           This correction is < 5% for all nuclides, except for   C048000200007 
            170Lu, 171Lu, and 181Re.                              C048000200008 
HISTORY    (20010329A) Data fields reorded and data sorted.       C048000200009 
ENDBIB               7          0                                 C048000200010 
NOCOMMON             0          0                                 C048000200011 
DATA                 5        127                                 C048000200012 
ELEMENT    MASS       EN         DATA       DATA-ERR              C048000200013 
   47.       105.         3.0       3.5        0.4                C048000200061 
   47.       107.         6.0       4.0        0.5                C048000200062 
   52.       121.         1.0       0.50       0.10               C048000200063 
   52.       121.         3.0       6.9        0.8                C048000200064 
   52.       121.         6.0       6.0        0.7                C048000200065 
   54.       127.         1.0       0.88       0.12               C048000200066 
   54.       127.         3.0      10.4        0.9                C048000200067 
   54.       127.         6.0       8.6        0.9                C048000200068 
   56.       131.         1.0       1.4        0.3                C048000200069 
   56.       131.         3.0      11.4        1.3                C048000200070 
   56.       131.         6.0       8.4        1.0                C048000200071 
   58.       139.         1.0       1.9        0.24               C048000200072 
   58.       139.         3.0      12.8        1.4                C048000200073 
   58.       139.         6.0       9.6        1.0                C048000200074 
   63.       145.         1.0       5.9        0.6                C048000200075 
   63.       145.         3.0      18.5        1.7                C048000200076 
   63.       145.         6.0      13.8        1.2                C048000200077 
   64.       146.         1.0       6.8        0.6                C048000200078 
   64.       146.         3.0      17.3        1.5                C048000200079 
   64.       146.         6.0      12.3        1.0                C048000200080 
   64.       149.         1.0      11.4        1.2                C048000200081 
   64.       149.         3.0      22.0        2.0                C048000200082 
   64.       149.         6.0      15.4        1.4                C048000200083 
   69.       167.         0.49      9.6        0.7                C048000200084 
   69.       167.         1.0      32.0        2.5                C048000200085 
   69.       167.         3.0      18.2        1.7                C048000200086 
   69.       167.         6.0      14.0        1.3                C048000200087 
   71.       170.         0.49     15.7        1.5                C048000200088 
   71.       170.         1.0      32.9        2.6                C048000200089 
   71.       170.         3.0      17.3        1.5                C048000200090 
   71.       170.         6.0      13.3        1.2                C048000200091 
   71.       171.         0.49     20.6        1.6                C048000200092 
   71.       171.         1.0      40.1        2.7                C048000200093 
   71.       171.         3.0      20.6        1.5                C048000200094 
   71.       171.         6.0      15.7        1.3                C048000200095 
   71.       173.         0.49     31.2        2.7                C048000200096 
   71.       173.         1.0      47.9        3.6                C048000200097 
   71.       173.         3.0      25.4        2.3                C048000200098 
   71.       173.         6.0      19.8        2.0                C048000200099 
   72.       172.         0.49     23.1        2.0                C048000200100 
   72.       172.         1.0      37.0        2.8                C048000200101 
   72.       172.         3.0      18.8        1.5                C048000200102 
   72.       172.         6.0      14.7        1.6                C048000200103 
   72.       175.         0.2       0.52       0.06               C048000200104 
   72.       175.         0.49     35.9        2.5                C048000200105 
   72.       175.         1.0      41.3        2.8                C048000200106 
   72.       175.         3.0      21.7        1.9                C048000200107 
   72.       175.         6.0      17.2        1.6                C048000200108 
   75.       181.         0.2      19.7        1.8                C048000200109 
   75.       181.         0.49     60.         5.                 C048000200110 
   75.       181.         1.0      39.9        3.1                C048000200111 
   75.       181.         3.0      22.4        2.1                C048000200112 
   75.       181.         6.0      17.7        2.5                C048000200113 
   75.       183.         0.2      33.5        2.9                C048000200114 
   75.       183.         0.49     60.         5.                 C048000200115 
   75.       183.         1.0      37.0        3.1                C048000200116 
   75.       183.         3.0      20.7        1.8                C048000200117 
   75.       183.         6.0      17.7        2.1                C048000200118 
   76.       182.         0.2      24.1        2.2                C048000200119 
   76.       182.         0.49     55.         5.                 C048000200120 
   76.       182.         1.0      35.8        3.4                C048000200121 
   76.       182.         3.0      22.5        3.0                C048000200122 
   76.       185.         0.2      71.         6.                 C048000200123 
   76.       185.         0.49     70.         6.                 C048000200124 
   76.       185.         1.0      42.2        3.3                C048000200125 
   76.       185.         3.0      26.1        2.2                C048000200126 
   76.       185.         6.0      22.1        2.3                C048000200127 
   77.       189.         0.2      85.         7.                 C048000200128 
   77.       189.         0.49     57.         4.                 C048000200129 
   77.       189.         1.0      37.6        3.1                C048000200130 
   78.       188.         0.2      98.         7.                 C048000200131 
   78.       188.         0.49     57.         3.                 C048000200132 
   78.       188.         1.0      33.8        2.5                C048000200133 
   78.       188.         3.0      21.8        1.7                C048000200134 
   78.       188.         6.0      18.9        2.0                C048000200135 
   78.       191.         0.2     101.         9.                 C048000200136 
   78.       191.         0.49     56.         5.                 C048000200137 
   78.       191.         1.0      38.5        4.0                C048000200138 
   79.       193.         0.2     103.        10.                 C048000200139 
   79.       193.         0.49     60.         8.                 C048000200140 
   79.       193.         1.0      35.         4.                 C048000200141 
ENDDATA            129          0                                 C048000200142 
ENDSUBENT          141          0                                 C048000299999 
SUBENT        C0480003   20010329                             0000C048000300001 
BIB                  4          5                                 C048000300002 
REACTION   (79-AU-197(P,X)ELEM/MASS,IND,SIG)                      C048000300003 
MONITOR    (79-AU-197(P,X)79-AU-196,IND,SIG)                      C048000300004 
MONIT-REF  (,H.P.YULE+,J,PR,118,1591,1960)                        C048000300005 
HISTORY    (20010329A) Data fields reorded and data sorted;       C048000300006 
            isomer field corrected; data ine for 193Au deleted.   C048000300007 
ENDBIB               5          0                                 C048000300008 
COMMON               3          3                                 C048000300009 
EN-NRM     MONIT      MONIT-ERR                                   C048000300010 
GEV        NO-DIM     NO-DIM                                      C048000300011 
   0.2       73.6        6.0                                      C048000300012 
ENDCOMMON            3          0                                 C048000300013 
DATA                 6         60                                 C048000300014 
ELEMENT    MASS       ISOMER     EN         DATA       DATA-ERR   C048000300015 
NO-DIM     NO-DIM     NO-DIM     GEV        MB         MB         C048000300016 
   21.        46.          0.        1.0           0.38       0.05C048000300017 
   21.        46.          0.        3.0           2.19       0.2 C048000300018 
   21.        46.          0.        6.0           3.6        0.32C048000300019 
   25.        52.          0.        3.0           0.61       0.10C048000300020 
   25.        52.          0.        6.0           0.99       0.12C048000300021 
   25.        54.                    0.49          0.12       0.03C048000300022 
   25.        54.                    1.0           0.44       0.04C048000300023 
   25.        54.                    3.0           1.95       0.20C048000300024 
   25.        54.                    6.0           3.31       0.35C048000300025 
   27.        58.          0.        1.0           0.41       0.06C048000300026 
   27.        58.          0.        3.0           1.55       0.16C048000300027 
   27.        58.          0.        6.0           2.78       0.35C048000300028 
   33.        74.                    0.49          0.83       0.09C048000300029 
   33.        74.                    1.0           1.38       0.13C048000300030 
   33.        74.                    3.0           1.98       0.20C048000300031 
   33.        74.                    6.0           2.26       0.25C048000300032 
   37.        84.          0.        0.49          1.11       0.20C048000300033 
   37.        84.          0.        1.0           1.44       0.25C048000300034 
   37.        84.          0.        3.0           1.44       0.30C048000300035 
   37.        84.          0.        6.0           1.6        0.30C048000300036 
   41.        95.          0.        0.2           0.79       0.11C048000300037 
   41.        95.          0.        0.49          1.42       0.17C048000300038 
   41.        95.          0.        1.0           1.03       0.1 C048000300039 
   41.        95.          0.        3.0           0.82       0.08C048000300040 
   41.        95.          0.        6.0           0.75       0.10C048000300041 
   43.        96.          0.        1.0           0.86       0.1 C048000300042 
   43.        96.          0.        3.0           2.         0.18C048000300043 
   43.        96.          0.        6.0           2.44       0.22C048000300044 
   77.       188.                    0.2           6.4        1.3 C048000300045 
   77.       188.                    0.49         11.3        1.5 C048000300046 
   77.       188.                    1.0           8.6        1.1 C048000300047 
   77.       188.                    3.0           6.5        1.0 C048000300048 
   77.       188.                    6.0           6.3        1.2 C048000300049 
   77.       190.          0.        0.2           2.74       0.25C048000300050 
   77.       190.          0.        0.49          4.5        0.4 C048000300051 
   77.       190.          0.        1.0           4.3        0.4 C048000300052 
   77.       190.          0.        3.0           3.69       0.35C048000300053 
   77.       190.          0.        6.0           3.8        0.42C048000300054 
   77.       192.          0.        0.2           1.22       0.15C048000300055 
   77.       192.          0.        0.49          2.18       0.22C048000300056 
   77.       192.          0.        1.0           2.37       0.25C048000300057 
   77.       192.          0.        3.0           2.13       0.2 C048000300058 
   77.       192.          0.        6.0           2.16       0.2 C048000300059 
   79.       194.          0.        0.2          64.         5.  C048000300060 
   79.       194.          0.        0.49         41.         3.  C048000300061 
   79.       194.          0.        1.0          32.6        2.5 C048000300062 
   79.       194.          0.        3.0          30.3        2.5 C048000300063 
   79.       194.          0.        6.0          28.8        2.3 C048000300064 
   79.       196.          0.        0.49         70.         6.  C048000300065 
   79.       196.          0.        1.0          69.         6.  C048000300066 
   79.       196.          0.        3.0          76.         7.  C048000300067 
   79.       196.          0.        6.0          73.         7.  C048000300068 
   79.       196.          1.        0.2           2.7        0.5 C048000300069 
   79.       196.          1.        0.49          3.2        0.4 C048000300070 
   80.       193.          1.        0.2          15.6        1.5 C048000300071 
   80.       193.          1.        0.49          5.9        1.  C048000300072 
   80.       193.          1.        1.0           2.4        0.3 C048000300073 
   80.       193.          1.        3.0           1.5        0.3 C048000300074 
   80.       195.          1.        0.2           9.7        1.  C048000300075 
   80.       195.          1.        0.49          3.8        0.8 C048000300076 
ENDDATA             62          0                                 C048000300077 
ENDSUBENT           76          0                                 C048000399999 
ENDENTRY             3          0                                 C048099999999 
