EN         ANG        E          DATA       DATA-ERR              C0897  2   11 
MEV/A      ADEG       MEV        P/IN/MEVSR P/IN/MEVSR            C0897  2   12 
 272.       20.        195.         1.42E-06   1.09E-07           C0897  2  187 
 272.       20.        210.         1.39E-06   8.80E-08           C0897  2  188 
 272.       20.        230.         9.46E-07   6.66E-08           C0897  2  189 
 272.       20.        250.         7.29E-07   5.59E-08           C0897  2  190 
 272.       20.        270.         6.19E-07   5.04E-08           C0897  2  191 
 272.       20.        290.         5.20E-07   4.51E-08           C0897  2  192 
 272.       20.        310.         3.79E-07   3.71E-08           C0897  2  193 
 272.       20.        340.         2.77E-07   2.35E-08           C0897  2  194 
 272.       20.        380.         1.77E-07   1.77E-08           C0897  2  195 
 272.       20.        420.         9.74E-08   1.25E-08           C0897  2  196 
 272.       20.        460.         5.63E-08   9.34E-09           C0897  2  197 
 272.       20.        500.         3.90E-08   7.71E-09           C0897  2  198 
 272.       20.        560.         1.40E-08   3.24E-09           C0897  2  199 
 272.       20.        640.         3.69E-09   1.64E-09           C0897  2  200 
 272.       24.         25.         3.48E-06   2.04E-07           C0897  2  201 
 272.       24.         35.         3.89E-06   2.09E-07           C0897  2  202 
 272.       24.         45.         3.66E-06   1.87E-07           C0897  2  203 
 272.       24.         55.         3.49E-06   1.74E-07           C0897  2  204 
 272.       24.         65.         3.40E-06   1.70E-07           C0897  2  205 
 272.       24.         75.         3.44E-06   1.71E-07           C0897  2  206 
 272.       24.         85.         3.30E-06   1.67E-07           C0897  2  207 
 272.       24.         95.         3.07E-06   1.59E-07           C0897  2  208 
 272.       24.        105.         2.85E-06   1.52E-07           C0897  2  209 
 272.       24.        115.         2.52E-06   1.41E-07           C0897  2  210 
 272.       24.        125.         2.40E-06   1.37E-07           C0897  2  211 
 272.       24.        135.         2.13E-06   1.27E-07           C0897  2  212 
 272.       24.        145.         1.90E-06   1.18E-07           C0897  2  213 
 272.       24.        155.         1.69E-06   1.10E-07           C0897  2  214 
 272.       24.        165.         1.46E-06   1.00E-07           C0897  2  215 
 272.       24.        175.         1.40E-06   9.84E-08           C0897  2  216 
 272.       24.        185.         1.27E-06   9.31E-08           C0897  2  217 
 272.       24.        195.         1.13E-06   8.67E-08           C0897  2  218 
 272.       24.        210.         9.06E-07   5.77E-08           C0897  2  219 
 272.       24.        230.         6.94E-07   4.92E-08           C0897  2  220 
 272.       24.        250.         6.93E-07   4.93E-08           C0897  2  221 
 272.       24.        270.         4.07E-07   3.64E-08           C0897  2  222 
 272.       24.        290.         3.97E-07   3.59E-08           C0897  2  223 
 272.       24.        310.         3.16E-07   3.16E-08           C0897  2  224 
 272.       24.        340.         2.08E-07   1.84E-08           C0897  2  225 
 272.       24.        380.         1.48E-07   1.52E-08           C0897  2  226 
 272.       24.        420.         7.67E-08   1.07E-08           C0897  2  227 
 272.       24.        460.         4.15E-08   7.82E-09           C0897  2  228 
 272.       24.        500.         4.03E-08   7.73E-09           C0897  2  229 
 272.       24.        560.         1.68E-08   3.53E-09           C0897  2  230 
 272.       24.        640.         4.61E-09   1.83E-09           C0897  2  231 
 272.       28.         25.         3.53E-06   2.17E-07           C0897  2  232 
 272.       28.         35.         4.35E-06   2.40E-07           C0897  2  233 
 272.       28.         45.         3.61E-06   1.97E-07           C0897  2  234 
 272.       28.         55.         3.21E-06   1.75E-07           C0897  2  235 
 272.       28.         65.         3.13E-06   1.70E-07           C0897  2  236 
 272.       28.         75.         2.84E-06   1.58E-07           C0897  2  237 
 272.       28.         85.         2.83E-06   1.59E-07           C0897  2  238 
 272.       28.         95.         2.51E-06   1.46E-07           C0897  2  239 
 272.       28.        105.         1.99E-06   1.26E-07           C0897  2  240 
 272.       28.        115.         1.78E-06   1.17E-07           C0897  2  241 
 272.       28.        125.         1.90E-06   1.23E-07           C0897  2  242 
 272.       28.        135.         1.55E-06   1.08E-07           C0897  2  243 
 272.       28.        145.         1.46E-06   1.04E-07           C0897  2  244 
 272.       28.        155.         1.17E-06   9.04E-08           C0897  2  245 
 272.       28.        165.         1.03E-06   8.40E-08           C0897  2  246 
 272.       28.        175.         9.21E-07   7.90E-08           C0897  2  247 
 272.       28.        185.         7.55E-07   7.06E-08           C0897  2  248 
 272.       28.        195.         6.35E-07   6.37E-08           C0897  2  249 
 272.       28.        210.         6.13E-07   4.69E-08           C0897  2  250 
 272.       28.        230.         5.00E-07   4.16E-08           C0897  2  251 
 272.       28.        250.         3.64E-07   3.47E-08           C0897  2  252 
 272.       28.        270.         3.04E-07   3.15E-08           C0897  2  253 
 272.       28.        290.         2.20E-07   2.63E-08           C0897  2  254 
 272.       28.        310.         1.72E-07   2.30E-08           C0897  2  255 
 272.       28.        340.         1.08E-07   1.30E-08           C0897  2  256 
 272.       28.        380.         5.18E-08   8.76E-09           C0897  2  257 
 272.       28.        420.         5.01E-08   8.60E-09           C0897  2  258 
 272.       28.        460.         2.57E-08   6.13E-09           C0897  2  259 
 272.       28.        500.         1.43E-08   4.56E-09           C0897  2  260 
 272.       28.        560.         8.47E-09   2.49E-09           C0897  2  261 
 272.       28.        640.         2.01E-09   1.18E-09           C0897  2  262 
 272.       32.         25.         3.06E-06   2.07E-07           C0897  2  263 
 272.       32.         35.         3.13E-06   2.03E-07           C0897  2  264 
 272.       32.         45.         3.06E-06   1.88E-07           C0897  2  265 
 272.       32.         55.         2.73E-06   1.67E-07           C0897  2  266 
 272.       32.         65.         2.45E-06   1.53E-07           C0897  2  267 
 272.       32.         75.         2.45E-06   1.53E-07           C0897  2  268 
 272.       32.         85.         1.97E-06   1.32E-07           C0897  2  269 
 272.       32.         95.         1.82E-06   1.25E-07           C0897  2  270 
 272.       32.        105.         1.74E-06   1.21E-07           C0897  2  271 
 272.       32.        115.         1.48E-06   1.09E-07           C0897  2  272 
 272.       32.        125.         1.18E-06   9.48E-08           C0897  2  273 
 272.       32.        135.         9.88E-07   8.50E-08           C0897  2  274 
 272.       32.        145.         1.06E-06   8.85E-08           C0897  2  275 
 272.       32.        155.         8.76E-07   7.84E-08           C0897  2  276 
 272.       32.        165.         7.48E-07   7.14E-08           C0897  2  277 
 272.       32.        175.         6.48E-07   6.61E-08           C0897  2  278 
 272.       32.        185.         6.27E-07   6.50E-08           C0897  2  279 
 272.       32.        195.         5.08E-07   5.73E-08           C0897  2  280 
 272.       32.        210.         4.29E-07   3.91E-08           C0897  2  281 
 272.       32.        230.         3.81E-07   3.65E-08           C0897  2  282 
 272.       32.        250.         2.71E-07   2.99E-08           C0897  2  283 
 272.       32.        270.         2.65E-07   2.97E-08           C0897  2  284 
 272.       32.        290.         1.74E-07   2.35E-08           C0897  2  285 
 272.       32.        310.         1.45E-07   2.12E-08           C0897  2  286 
 272.       32.        340.         9.81E-08   1.26E-08           C0897  2  287 
 272.       32.        380.         4.92E-08   8.60E-09           C0897  2  288 
 272.       32.        420.         3.81E-08   7.50E-09           C0897  2  289 
 272.       32.        460.         1.99E-08   5.40E-09           C0897  2  290 
 272.       32.        500.         5.14E-09   2.69E-09           C0897  2  291 
 272.       32.        560.         5.22E-09   1.94E-09           C0897  2  292 
 272.       32.        720.         2.86E-09   1.44E-09           C0897  2  293 
 272.       36.         25.         1.88E-06   1.44E-07           C0897  2  294 
 272.       36.         35.         2.62E-06   1.70E-07           C0897  2  295 
 272.       36.         45.         2.30E-06   1.45E-07           C0897  2  296 
 272.       36.         55.         1.94E-06   1.24E-07           C0897  2  297 
 272.       36.         65.         1.89E-06   1.21E-07           C0897  2  298 
 272.       36.         75.         1.84E-06   1.19E-07           C0897  2  299 
 272.       36.         85.         1.51E-06   1.05E-07           C0897  2  300 
 272.       36.         95.         1.26E-06   9.35E-08           C0897  2  301 
 272.       36.        105.         1.29E-06   9.54E-08           C0897  2  302 
 272.       36.        115.         1.27E-06   9.54E-08           C0897  2  303 
 272.       36.        125.         1.06E-06   8.57E-08           C0897  2  304 
 272.       36.        135.         9.05E-07   7.82E-08           C0897  2  305 
 272.       36.        145.         8.00E-07   7.26E-08           C0897  2  306 
 272.       36.        155.         6.29E-07   6.29E-08           C0897  2  307 
 272.       36.        165.         6.21E-07   6.26E-08           C0897  2  308 
 272.       36.        175.         5.77E-07   6.06E-08           C0897  2  309 
 272.       36.        185.         4.23E-07   5.11E-08           C0897  2  310 
 272.       36.        195.         4.33E-07   5.16E-08           C0897  2  311 
 272.       36.        210.         2.89E-07   3.03E-08           C0897  2  312 
 272.       36.        230.         3.23E-07   3.24E-08           C0897  2  313 
 272.       36.        250.         1.61E-07   2.22E-08           C0897  2  314 
 272.       36.        270.         1.63E-07   2.24E-08           C0897  2  315 
 272.       36.        290.         1.30E-07   1.99E-08           C0897  2  316 
 272.       36.        310.         7.15E-08   1.45E-08           C0897  2  317 
 272.       36.        340.         5.87E-08   9.42E-09           C0897  2  318 
 272.       36.        380.         2.18E-08   5.59E-09           C0897  2  319 
 272.       36.        420.         2.67E-08   6.21E-09           C0897  2  320 
 272.       36.        460.         1.08E-08   3.95E-09           C0897  2  321 
 272.       36.        500.         6.23E-09   2.99E-09           C0897  2  322 
 272.       36.        560.         8.97E-10   7.48E-10           C0897  2  323 
 272.       36.        720.         3.45E-11   6.94E-11           C0897  2  324 
 272.       48.         25.         1.77E-06   1.01E-07           C0897  2  325 
 272.       48.         35.         1.96E-06   1.06E-07           C0897  2  326 
 272.       48.         45.         1.50E-06   8.21E-08           C0897  2  327 
 272.       48.         55.         1.17E-06   6.65E-08           C0897  2  328 
 272.       48.         65.         1.08E-06   6.23E-08           C0897  2  329 
 272.       48.         75.         9.93E-07   5.89E-08           C0897  2  330 
 272.       48.         85.         7.74E-07   5.01E-08           C0897  2  331 
 272.       48.         95.         7.36E-07   4.88E-08           C0897  2  332 
 272.       48.        105.         6.43E-07   4.50E-08           C0897  2  333 
 272.       48.        115.         4.68E-07   3.73E-08           C0897  2  334 
 272.       48.        125.         3.97E-07   3.40E-08           C0897  2  335 
 272.       48.        135.         4.11E-07   3.46E-08           C0897  2  336 
 272.       48.        145.         3.17E-07   2.96E-08           C0897  2  337 
 272.       48.        155.         2.65E-07   2.69E-08           C0897  2  338 
 272.       48.        165.         2.53E-07   2.64E-08           C0897  2  339 
 272.       48.        175.         1.89E-07   2.25E-08           C0897  2  340 
 272.       48.        185.         1.68E-07   2.11E-08           C0897  2  341 
 272.       48.        195.         1.40E-07   1.91E-08           C0897  2  342 
 272.       48.        210.         1.32E-07   1.36E-08           C0897  2  343 
 272.       48.        230.         7.62E-08   1.01E-08           C0897  2  344 
 272.       48.        250.         4.79E-08   7.92E-09           C0897  2  345 
 272.       48.        270.         4.21E-08   7.37E-09           C0897  2  346 
 272.       48.        290.         3.20E-08   6.41E-09           C0897  2  347 
 272.       48.        310.         1.53E-08   4.41E-09           C0897  2  348 
 272.       48.        340.         1.48E-08   3.08E-09           C0897  2  349 
 272.       48.        380.         3.09E-09   1.37E-09           C0897  2  350 
 272.       48.        420.         4.38E-09   1.65E-09           C0897  2  351 
 272.       48.        460.         4.75E-09   1.73E-09           C0897  2  352 
 272.       48.        500.         7.36E-11   1.11E-10           C0897  2  353 
 272.       48.        560.         8.79E-10   5.06E-10           C0897  2  354 
 272.       48.        640.         4.47E-10   3.48E-10           C0897  2  355 
 272.       56.         25.         1.64E-06   9.42E-08           C0897  2  356 
 272.       56.         35.         1.46E-06   8.37E-08           C0897  2  357 
 272.       56.         45.         1.13E-06   6.54E-08           C0897  2  358 
 272.       56.         55.         8.70E-07   5.28E-08           C0897  2  359 
 272.       56.         65.         8.23E-07   5.04E-08           C0897  2  360 
 272.       56.         75.         6.85E-07   4.46E-08           C0897  2  361 
 272.       56.         85.         5.62E-07   3.94E-08           C0897  2  362 
 272.       56.         95.         5.29E-07   3.81E-08           C0897  2  363 
 272.       56.        105.         4.68E-07   3.55E-08           C0897  2  364 
 272.       56.        115.         3.63E-07   3.06E-08           C0897  2  365 
 272.       56.        125.         2.99E-07   2.75E-08           C0897  2  366 
 272.       56.        135.         2.24E-07   2.32E-08           C0897  2  367 
 272.       56.        145.         1.97E-07   2.15E-08           C0897  2  368 
 272.       56.        155.         1.36E-07   1.76E-08           C0897  2  369 
 272.       56.        165.         1.28E-07   1.72E-08           C0897  2  370 
 272.       56.        175.         1.29E-07   1.73E-08           C0897  2  371 
 272.       56.        185.         8.52E-08   1.38E-08           C0897  2  372 
 272.       56.        195.         6.87E-08   1.24E-08           C0897  2  373 
 272.       56.        210.         3.98E-08   6.71E-09           C0897  2  374 
 272.       56.        230.         3.35E-08   6.16E-09           C0897  2  375 
 272.       56.        250.         1.90E-08   4.61E-09           C0897  2  376 
 272.       56.        270.         1.84E-08   4.52E-09           C0897  2  377 
 272.       56.        290.         1.70E-08   4.34E-09           C0897  2  378 
 272.       56.        310.         9.68E-09   3.27E-09           C0897  2  379 
 272.       56.        340.         4.83E-09   1.62E-09           C0897  2  380 
 272.       56.        380.         4.42E-09   1.56E-09           C0897  2  381 
 272.       56.        420.         2.38E-09   1.13E-09           C0897  2  382 
 272.       72.         25.         8.45E-07   4.60E-08           C0897  2  383 
