EN         ELEMENT    MASS       DATA       DATA-ERR              C030600200013 
MEV        NO-DIM     NO-DIM     MB         MB                    C030600200014 
 103.1      28.        57.                     4.3       0.6      C030600300112 
 113.8      21.        46.                     0.6       0.2      C030600300113 
 113.8      21.        47.                     0.6       0.2      C030600300114 
 113.8      23.        48.                     3.4       0.3      C030600300115 
 113.8      24.        51.                    44.        2.       C030600300116 
 113.8      25.        52.        0.          18.4       0.5      C030600300117 
 113.8      25.        54.                    96.        8.       C030600300118 
 113.8      26.        59.                     2.9       0.4      C030600300119 
 113.8      27.        56.                    43.4       0.8      C030600300120 
 113.8      27.        57.                   159.        8.       C030600300121 
 113.8      27.        58.                   220.       15.       C030600300122 
 113.8      27.        60.                    27.        8.       C030600300123 
 113.8      28.        57.                     4.0       0.6      C030600300124 
 123.9      21.        44.        1.           0.5       0.2      C030600300125 
 123.9      21.        46.                     1.1       0.2      C030600300126 
 123.9      21.        47.                     1.0       0.3      C030600300127 
 123.9      21.        48.                     0.11      0.06     C030600300128 
 123.9      23.        48.                     4.0       0.3      C030600300129 
 123.9      24.        51.                    45.        2.       C030600300130 
 123.9      25.        52.        0.          26.8       0.8      C030600300131 
 123.9      25.        54.                    92.        8.       C030600300132 
 123.9      26.        59.                     3.0       0.4      C030600300133 
 123.9      27.        55.                     4.4       0.5      C030600300134 
 123.9      27.        56.                    41.0       1.2      C030600300135 
 123.9      27.        57.                   149.       10.       C030600300136 
 123.9      27.        58.                   208.       15.       C030600300137 
 123.9      27.        60.                    27.        8.       C030600300138 
 123.9      28.        58.                     3.5       0.7      C030600300139 
 134.0      21.        44.        1.           0.6       0.2      C030600300140 
 134.0      21.        46.                     2.1       0.3      C030600300141 
 134.0      21.        47.                     1.2       0.5      C030600300142 
 134.0      21.        48.                     0.2       0.1      C030600300143 
 134.0      23.        48.                     6.0       0.4      C030600300144 
 134.0      24.        48.                     0.06      0.03     C030600300145 
 134.0      24.        51.                    54.        5.       C030600300146 
 134.0      25.        52.        0.          31.4       1.0      C030600300147 
 134.0      25.        54.                    95.        8.       C030600300148 
 134.0      26.        59.                     3.1       0.5      C030600300149 
 134.0      27.        55.                     4.8       0.1      C030600300150 
 134.0      27.        56.                    40.        2.       C030600300151 
 134.0      27.        57.                   146.       10.       C030600300152 
 134.0      27.        58.                   205.       15.       C030600300153 
 134.0      27.        60.                    27.        8.       C030600300154 
 134.0      28.        57.                     3.5       0.7      C030600300155 
 138.2      21.        44.        1.             0.43      0.15   C030600300156 
 138.2      21.        47.                     1.0       0.5      C030600300157 
 138.2      24.        48.                     0.07      0.03     C030600300158 
 138.2      24.        49.                     2.3       0.4      C030600300159 
 138.2      25.        52.        0.          32.2       1.5      C030600300160 
 138.2      25.        52.        1.           4.5       0.4      C030600300161 
 138.2      25.        56.                     9.3       0.6      C030600300162 
 138.2      26.        52.                     0.23      0.05     C030600300163 
 138.2      27.        55.                     4.6       0.3      C030600300164 
 138.2      27.        61.                     0.7       0.1      C030600300165 
 138.2      29.        60.                     1.2       0.6      C030600300166 
 138.2      29.        61.                     1.0       0.4      C030600300167 
