ANG        EN         DATA       ERR-S                            C082700200017 
ADEG       MEV        MB/SR      MB/SR                            C082700200018 
       98.8     5.5632     29.784     1.3636                      C082700200149 
       98.8     5.5859     31.595     1.3636                      C082700200150 
       98.8     5.6037     30.453     1.8181                      C082700200151 
       98.8     5.6263     31.583     1.3636                      C082700200152 
       98.8     5.6488     31.576     1.3636                      C082700200153 
       98.8     5.6806     34.975     1.5936                      C082700200154 
       98.8     5.6942     35.653     1.8181                      C082700200155 
       98.8     5.7124     37.238     2.2726                      C082700200156 
       98.8      5.726     38.371     2.0453                      C082700200157 
       98.8     5.7486     39.727     2.0467                      C082700200158 
       98.8     5.7714     43.129     1.3649                      C082700200159 
       98.8     5.7942      45.85     2.9571                      C082700200160 
       98.8     5.8124     47.208     2.0453                      C082700200161 
       98.8     5.8264     52.204     1.8195                      C082700200162 
       98.8     5.8537     54.695     2.0467                      C082700200163 
       98.8     5.8584     56.285     2.9558                      C082700200164 
       98.8     5.8715     53.781     2.2713                      C082700200165 
       98.8     5.8851     54.686     2.0467                      C082700200166 
       98.8     5.9117      51.95     2.0467                      C082700200167 
       98.8     5.9388     53.079     2.4999                      C082700200168 
       98.8     5.9659     53.752     2.2726                      C082700200169 
       98.8     5.9841     55.792     2.7271                      C082700200170 
       98.8     6.0024     59.195     2.7258                      C082700200171 
       98.8     6.0291     56.233     2.2726                      C082700200172 
       98.8     6.0514      55.09     3.1817                      C082700200173 
       98.8     6.0781     53.491     2.7258                      C082700200174 
       98.8     6.0957     49.622     3.6348                      C082700200175 
       98.8     6.1226     49.614     2.7271                      C082700200176 
       98.8     6.1398     43.472     2.0453                      C082700200177 
       98.8     6.1578     43.467     2.0453                      C082700200178 
       98.8     6.1847     43.231      2.274                      C082700200179 
       98.8     6.2027     42.771     2.0453                      C082700200180 
       98.8     6.2251     42.765      2.274                      C082700200181 
       98.8      6.243     42.305     2.0454                      C082700200182 
       98.8     6.2608     40.481      2.044                      C082700200183 
       98.8     6.2831     39.338     1.8181                      C082700200184 
       98.8     6.3058     41.377     2.7271                      C082700200185 
       98.8     6.3153     45.919     2.2726                      C082700200186 
       98.8     6.3161     52.282     2.4999                      C082700200187 
       98.8     6.3346     57.049      2.274                      C082700200188 
       98.8      6.357     56.815     2.0454                      C082700200189 
       98.8     6.3753     58.855     3.1817                      C082700200190 
       98.8     6.3889     60.215     2.7285                      C082700200191 
       98.8     6.4068     59.755     2.5012                      C082700200192 
       98.8      6.425     62.022     2.4999                      C082700200193 
       98.8     6.4474     61.106      2.953                      C082700200194 
       98.8     6.4654     61.782     3.4089                      C082700200195 
       98.8     6.4792     64.278     2.7285                      C082700200196 
       98.8     6.5012     60.181     2.9558                      C082700200197 
       98.8     6.5239     62.219     2.7285                      C082700200198 
       98.8     6.5464     62.212     2.7285                      C082700200199 
       98.8     6.5638     58.116      2.274                      C082700200200 
       98.8     6.5911     60.835      3.183                      C082700200201 
       98.8     6.6137      61.51     2.2726                      C082700200202 
       98.8     6.6356     57.185     2.7258                      C082700200203 
       98.8     6.6537     57.862     2.7285                      C082700200204 
       98.8     6.6761     57.628     2.7271                      C082700200205 
       98.8      6.694     57.168     2.5012                      C082700200206 
       98.8      6.712     57.162     2.7271                      C082700200207 
       98.8     6.7345     57.837     3.1817                      C082700200208 
       98.8     6.7568     56.012     2.9544                      C082700200209 
       98.8     6.7789     53.278     2.4999                      C082700200210 
       98.8     6.7965     50.319     2.4999                      C082700200211 
       98.8     6.8148     52.813     2.2726                      C082700200212 
       98.8     6.8379      58.26     2.7271                      C082700200213 
       98.8     6.8549     50.074     2.7285                      C082700200214 
       98.8     6.8731     52.568     2.7258                      C082700200215 
       98.8     6.8952     49.152     2.4985                      C082700200216 
       98.8     6.9134     50.965     2.2712                      C082700200217 
       98.8     6.9356     48.913     2.0467                      C082700200218 
       98.8     6.9584     52.088     3.4089                      C082700200219 
      156.6     2.6859      111.2     2.6011                      C082700200220 
      156.6      2.854     99.847     1.7353                      C082700200221 
      156.6     2.8718     91.163     2.1691                      C082700200222 
      156.6     2.8901     90.722     1.7353                      C082700200223 
      156.6     2.8989     84.211     1.7353                      C082700200224 
      156.6     2.9124     81.168     1.7372                      C082700200225 
      156.6     2.9258     74.221     1.7353                      C082700200226 
      156.6     2.9301     68.579      2.603                      C082700200227 
      156.6     2.9432      56.86     2.6049                      C082700200228 
      156.6     2.9565     48.612      2.603                      C082700200229 
      156.6     2.9652     40.799     2.6049                      C082700200230 
      156.6     2.9788     38.624     1.3015                      C082700200231 
      156.6     2.9836     44.262     7.3751                      C082700200232 
      156.6      2.998     59.874     3.0368                      C082700200233 
      156.6     3.0031      69.85     3.0349                      C082700200234 
      156.6     3.0217     77.652      2.603                      C082700200235 
      156.6     3.0266     85.458     2.1691                      C082700200236 
      156.6      3.036     91.962      2.603                      C082700200237 
      156.6     3.0544     96.727     1.7353                      C082700200238 
      156.6     3.0728     100.19      2.603                      C082700200239 
      156.6     3.0868     107.12     3.4725                      C082700200240 
      156.6     3.0923     126.65     2.1672                      C082700200241 
      156.6     3.1013     124.91     1.7334                      C082700200242 
      156.6     3.1106     127.51     3.4706                      C082700200243 
      156.6     3.1149     123.17     3.0368                      C082700200244 
      156.6     3.1291     133.57      2.603                      C082700200245 
      156.6      3.143     138.77     3.0368                      C082700200246 
      156.6     3.1523     143.11     2.1691                      C082700200247 
      156.6     3.1663     148.74     2.1711                      C082700200248 
      156.6     3.1757     156.54     3.9025                      C082700200249 
      156.6     3.1854     169.12     3.9025                      C082700200250 
      156.6     3.1953     184.74     3.0349                      C082700200251 
      156.6     3.2098     203.38     3.9044                      C082700200252 
      156.6     3.2196      217.7     3.4706                      C082700200253 
      156.6     3.2247     228.97     3.9044                      C082700200254 
      156.6      3.243     230.27     4.7721                      C082700200255 
      156.6     3.2515     218.12     6.0736                      C082700200256 
      156.6     3.2628     165.19     3.4706                      C082700200257 
      156.6     3.2641     194.69      4.774                      C082700200258 
      156.6     3.2797     137.41     3.4706                      C082700200259 
      156.6      3.292     107.47     4.3402                      C082700200260 
