ENTRY            C1559   20120705                             C120C155900000001 
SUBENT        C1559001   20120705                             C120C155900100001 
BIB                 11         27                                 C155900100002 
INSTITUTE  (1USAMRY,1USAMHD,3SAFNAC,1USAOBR,1USAIOW,1USAMSU)      C155900100003 
REFERENCE  (J,PR/C,31,1662,1985)                                  C155900100004 
AUTHOR     (C.W.Wang,P.G.Roos,N.S.Chant,G.Ciangaru,F.Khazaie,     C155900100005 
            D.J.Mack,A.Nadasen,S.J.Mills,R.E.Warner,E.Norbeck,    C155900100006 
            F.D.Becchetti,J.W.Janecke,P.M.Lister)                 C155900100007 
TITLE      9Be(p,p+alpha)5He cluster knockout reaction with       C155900100008 
            150 MeV polarized protons                             C155900100009 
FACILITY   (CYCLO,1USAINU) Indiana University  cyclotron facility C155900100010 
INC-SPECT  Polarized proton beam  at En = 150.5 MeV               C155900100011 
DETECTOR   (TELES,SIBAR,CSICR,SILI) Two detector telescopes       C155900100012 
           consisting of a 1000 microm solicon surface barrier    C155900100013 
           detector followed by a sodium iodide scintillator. A   C155900100014 
           150 microm silicon surface barrier dE-detector and a   C155900100015 
           5 mm Si(Li) E-detector formed another telescope for    C155900100016 
           alpha detection                                        C155900100017 
METHOD     (EDE,COINC)                                            C155900100018 
SAMPLE     Besides the 2.5 mg/cm2 thick 9Be target, a 3.1 mg/cm2  C155900100019 
           CH2 target, a 3.32 mg/cm2 CD2 target, and a blank      C155900100020 
           target were mounted on a target ladder.                C155900100021 
MONITOR    The angular separation between the two detectors was   C155900100022 
            calibrated by using a coincident measurement of p-d   C155900100023 
            scattering on CD2 target                              C155900100024 
HISTORY    (20070615C) DR                                         C155900100025 
           (20120705A) SD: BIB updated. Subents 2,3 deleted (data C155900100026 
           of the quasifree peak (zero recoil momentum) as a      C155900100027 
           function of the two-body p-alpha c.m. scattering angle C155900100028 
           are presented). Subents 4,5 added.                     C155900100029 
ENDBIB              27          0                                 C155900100030 
COMMON               1          3                                 C155900100031 
EN                                                                C155900100032 
MEV                                                               C155900100033 
150.5                                                             C155900100034 
ENDCOMMON            3          0                                 C155900100035 
ENDSUBENT           34          0                                 C155900199999 
NOSUBENT      C1559002   20120705                             C120C155900200001 
NOSUBENT      C1559003   20120705                             C120C155900300001 
SUBENT        C1559004   20120705                             C120C155900400001 
BIB                  3          7                                 C155900400002 
REACTION   (4-BE-9(P,P+A)2-HE-5,,DA/DA/DE,P/A/P)                  C155900400003 
           ANG1 Proton detector angle                             C155900400004 
           ANG2 Alpha detector angle                              C155900400005 
ERR-ANALYS (ERR-S) Statistical error                              C155900400006 
           (E-ERR-DIG) Digitizing error                           C155900400007 
           (ERR-DIG)    Digitizing error                          C155900400008 
STATUS     (CURVE)SD:Digitized data from figs.3-10 of PR/C,31,1662C155900400009 
ENDBIB               7          0                                 C155900400010 
COMMON               2          3                                 C155900400011 
E-ERR-DIG  ERR-DIG                                                C155900400012 
MEV        PER-CENT                                               C155900400013 
 0.07        0.4                                                  C155900400014 
ENDCOMMON            3          0                                 C155900400015 
DATA                 5        220                                 C155900400016 
ANG1       ANG2       E          DATA       ERR-S                 C155900400017 
        30.      -69.8     139.91   178.5900    10.8260           C155900400069 
        30.      -69.8     141.91   111.7600     6.7738           C155900400070 
        30.      -69.8     144.17    35.3740     3.2676           C155900400071 
        30.      -69.8     146.06     6.1818     1.2921           C155900400072 
        40.      -63.9      86.01     1.0577     0.4438           C155900400073 
        40.      -63.9      87.90     1.6076     0.5029           C155900400074 
        40.      -63.9      89.99     1.9875     0.5099           C155900400075 
        40.      -63.9      91.89     3.4993     0.5670           C155900400076 
        40.      -63.9      93.94     1.8765     0.5336           C155900400077 
        40.      -63.9      95.93     3.9859     0.7336           C155900400078 
        40.      -63.9      97.90     4.7761     0.7912           C155900400079 
        40.      -63.9      99.89     4.4978     0.7616           C155900400080 
        40.      -63.9     101.90     5.9198     0.9806           C155900400081 
        40.      -63.9     103.84     9.2255     1.2297           C155900400082 
        40.      -63.9     105.87     7.6899     1.1624           C155900400083 
        40.      -63.9     107.82     7.9545     0.9762           C155900400084 
        40.      -63.9     109.89    15.1440     1.3864           C155900400085 
        40.      -63.9     112.15    15.7130     1.6002           C155900400086 
        40.      -63.9     114.34    26.8940     2.0967           C155900400087 
        40.      -63.9     115.84    33.2550     1.8169           C155900400088 
        40.      -63.9     118.33    52.4690     3.2140           C155900400089 
        40.      -63.9     120.43    72.3730     3.4762           C155900400090 
        40.      -63.9     122.44    91.4570     3.7962           C155900400091 
        40.      -63.9     124.40   117.0300     4.8577           C155900400092 
        40.      -63.9     126.71   146.0400     6.0598           C155900400093 
        40.      -63.9     128.84   172.2700     8.4147           C155900400094 
        40.      -63.9     130.76   189.1100     7.8496           C155900400095 
        40.      -63.9     132.51   235.2900     7.4801           C155900400096 
        40.      -63.9     134.55   230.0500     6.5694           C155900400097 
        40.      -63.9     136.47   273.9400     8.4408           C155900400098 
        40.      -63.9     138.79   208.5200     6.6348           C155900400099 
        40.      -63.9     140.77   317.9200     9.0826           C155900400100 
        40.      -63.9     142.77   180.9200     7.5122           C155900400101 
        40.      -63.9     144.94    17.6890     1.6853           C155900400102 
        40.      -63.9     147.06     3.6991     0.6945           C155900400103 
        50.      -58.1      91.06     1.5124     0.2890           C155900400104 
        50.      -58.1      93.23     2.3130     0.3739           C155900400105 
        50.      -58.1      95.11     2.5406     0.4292           C155900400106 
        50.      -58.1      97.20     2.4707     0.4084           C155900400107 
        50.      -58.1      99.15     4.3620     0.5037           C155900400108 
        50.      -58.1     101.07     6.1891     0.6077           C155900400109 
        50.      -58.1     103.20     7.6545     0.7254           C155900400110 
        50.      -58.1     105.20    10.7600     0.8735           C155900400111 
        50.      -58.1     107.20    13.8150     0.7986           C155900400112 
        50.      -58.1     109.24    18.6470     0.9551           C155900400113 
        50.      -58.1     111.16    25.6450     1.3137           C155900400114 
        50.      -58.1     113.24    39.3410     1.2480           C155900400115 
        50.      -58.1     115.37    53.6020     2.2201           C155900400116 
        50.      -58.1     117.37    67.1260     2.9994           C155900400117 
        50.      -58.1     119.76    77.9960     2.7252           C155900400118 
        50.      -58.1     121.98    88.6670     3.3850           C155900400119 
        50.      -58.1     124.07    78.5180     3.2521           C155900400120 
        50.      -58.1     125.74    65.3190     2.4936           C155900400121 
        50.      -58.1     127.84    55.3680     2.2933           C155900400122 
        50.      -58.1     129.85    32.9810     1.3662           C155900400123 
        50.      -58.1     131.93     7.7481     0.8141           C155900400124 
        50.      -58.1     133.86     4.3223     0.4542           C155900400125 
        50.      -58.1     136.01     1.4862     0.3118           C155900400126 
        60.      -52.4      87.16     1.9966     0.2934           C155900400127 
        60.      -52.4      89.23     1.5595     0.2292           C155900400128 
        60.      -52.4      91.16     2.8874     0.3936           C155900400129 
        60.      -52.4      93.33     4.4204     0.4790           C155900400130 
        60.      -52.4      95.45     6.7462     0.6382           C155900400131 
        60.      -52.4      97.26     8.4619     0.4880           C155900400132 
        60.      -52.4      99.25    11.7630     0.8739           C155900400133 
        60.      -52.4     101.24    17.1860     0.8223           C155900400134 
        60.      -52.4     103.28    24.8000     1.3484           C155900400135 
        60.      -52.4     105.48    34.1490     1.3002           C155900400136 
        60.      -52.4     107.76    44.3180     1.8300           C155900400137 
        60.      -52.4     109.93    45.2480     2.0174           C155900400138 
        60.      -52.4     111.68    44.3740     1.9775           C155900400139 
        60.      -52.4     113.64    44.0580     1.3934           C155900400140 
        60.      -52.4     116.21    33.5560     2.9457           C155900400141 
        60.      -52.4     118.28    27.2920     1.1287           C155900400142 
        60.      -52.4     120.10    21.5190     1.0305           C155900400143 
        60.      -52.4     121.95    10.8660     1.0642           C155900400144 
        60.      -52.4     124.10     7.9246     0.9687           C155900400145 
        60.      -52.4     125.91     1.4673     0.3016           C155900400146 
        70.      -46.9      68.50     0.2688     0.0937           C155900400147 
        70.      -46.9      70.57     0.2506     0.0916           C155900400148 
        70.      -46.9      72.50     0.4107     0.1180           C155900400149 
        70.      -46.9      74.58     0.4126     0.1286           C155900400150 
        70.      -46.9      76.53     0.4006     0.1008           C155900400151 
        70.      -46.9      78.49     0.6131     0.1376           C155900400152 
        70.      -46.9      80.19     0.8363     0.0905           C155900400153 
        70.      -46.9      82.63     1.4048     0.1571           C155900400154 
        70.      -46.9      84.88     1.8916     0.1854           C155900400155 
        70.      -46.9      86.93     2.8857     0.2145           C155900400156 
        70.      -46.9      88.77     3.3157     0.2023           C155900400157 
        70.      -46.9      90.85     4.6789     0.2701           C155900400158 
        70.      -46.9      92.47     6.6670     0.2759           C155900400159 
        70.      -46.9      94.80     8.9768     0.3714           C155900400160 
        70.      -46.9      97.06    10.1830     0.5875           C155900400161 
        70.      -46.9      98.58    13.5080     0.5580           C155900400162 
        70.      -46.9     100.60    15.8110     0.5005           C155900400163 
        70.      -46.9     102.78    18.3900     0.5821           C155900400164 
        70.      -46.9     104.68    17.8010     0.5640           C155900400165 
        70.      -46.9     106.79    16.7510     0.5302           C155900400166 
        70.      -46.9     108.85    13.8300     0.3934           C155900400167 
        70.      -46.9     110.84    10.3030     0.6285           C155900400168 
        70.      -46.9     112.90     9.1669     0.4687           C155900400169 
        70.      -46.9     114.86     7.1560     0.4597           C155900400170 
        70.      -46.9     117.13     6.0942     0.3715           C155900400171 
        70.      -46.9     119.32     5.4217     0.3130           C155900400172 
        70.      -46.9     120.83     3.7143     0.2510           C155900400173 
        70.      -46.9     122.98     3.2738     0.2325           C155900400174 
        70.      -46.9     124.92     2.2074     0.1789           C155900400175 
        70.      -46.9     127.05     0.3789     0.0695           C155900400176 
        80.      -41.6      60.22     0.1499     0.0600           C155900400177 
        80.      -41.6      64.07     0.3925     0.0852           C155900400178 
        80.      -41.6      66.01     0.1563     0.0717           C155900400179 
        80.      -41.6      68.04     0.5238     0.0980           C155900400180 
        80.      -41.6      69.92     0.5452     0.1020           C155900400181 
        80.      -41.6      71.53     1.0073     0.1482           C155900400182 
        80.      -41.6      74.18     1.0779     0.1432           C155900400183 
        80.      -41.6      76.16     1.6362     0.1945           C155900400184 
        80.      -41.6      78.19     2.4758     0.2429           C155900400185 
        80.      -41.6      80.23     2.4818     0.2435           C155900400186 
        80.      -41.6      82.01     3.9111     0.3969           C155900400187 
        80.      -41.6      84.18     4.4001     0.3273           C155900400188 
        80.      -41.6      86.30     7.0203     0.3822           C155900400189 
        80.      -41.6      88.35     7.6320     0.4166           C155900400190 
        80.      -41.6      90.37    10.0050     0.7440           C155900400191 
        80.      -41.6      92.32     9.0204     0.3733           C155900400192 
        80.      -41.6      94.37    10.0230     0.6786           C155900400193 
        80.      -41.6      96.27     8.3329     0.3991           C155900400194 
        80.      -41.6      98.40     7.8479     0.4794           C155900400195 
        80.      -41.6     100.39     6.6270     0.3610           C155900400196 
        80.      -41.6     102.46     5.0644     0.2925           C155900400197 
        80.      -41.6     104.39     3.2501     0.2309           C155900400198 
        80.      -41.6     106.57     3.5552     0.2884           C155900400199 
        80.      -41.6     108.84     2.2460     0.2126           C155900400200 
        80.      -41.6     110.84     2.4647     0.1916           C155900400201 
        80.      -41.6     112.62     1.8720     0.2160           C155900400202 
        80.      -41.6     114.58     1.0872     0.1561           C155900400203 
        80.      -41.6     116.62     2.0338     0.2488           C155900400204 
        80.      -41.6     118.76     0.6059     0.1455           C155900400205 
        90.      -36.6      50.29     0.0853     0.0307           C155900400206 
        90.      -36.6      52.19     0.1272     0.0435           C155900400207 
        90.      -36.6      54.29     0.0641     0.0298           C155900400208 
        90.      -36.6      56.34     0.2479     0.0549           C155900400209 
        90.      -36.6      58.58     0.3515     0.0556           C155900400210 
        90.      -36.6      60.47     0.3895     0.0602           C155900400211 
        90.      -36.6      62.33     0.5541     0.0757           C155900400212 
        90.      -36.6      64.47     0.6119     0.0665           C155900400213 
        90.      -36.6      66.50     0.8897     0.0905           C155900400214 
        90.      -36.6      68.87     1.2694     0.0989           C155900400215 
        90.      -36.6      70.45     2.2546     0.1082           C155900400216 
        90.      -36.6      72.42     2.4823     0.1766           C155900400217 
        90.      -36.6      74.49     3.5533     0.2056           C155900400218 
        90.      -36.6      76.60     4.5593     0.1741           C155900400219 
        90.      -36.6      78.54     5.6000     0.3799           C155900400220 
        90.      -36.6      80.47     6.2044     0.2775           C155900400221 
        90.      -36.6      82.65     6.6620     0.3644           C155900400222 
        90.      -36.6      84.75     6.6368     0.3629           C155900400223 
        90.      -36.6      87.05     5.7260     0.2002           C155900400224 
        90.      -36.6      89.09     5.1940     0.1985           C155900400225 
        90.      -36.6      90.87     4.1194     0.4190           C155900400226 
        90.      -36.6      93.03     2.9192     0.2175           C155900400227 
        90.      -36.6      94.81     2.1146     0.1576           C155900400228 
        90.      -36.6      97.26     1.4120     0.1147           C155900400229 
        90.      -36.6      99.47     1.1734     0.0835           C155900400230 
        90.      -36.6     101.17     0.9754     0.1025           C155900400231 
        90.      -36.6     103.22     0.9301     0.0978           C155900400232 
        90.      -36.6     105.09     0.7803     0.1011           C155900400233 
        90.      -36.6     107.48     0.3730     0.0563           C155900400234 
        90.      -36.6     109.45     0.3931     0.0622           C155900400235 
        90.      -36.6     111.47     0.2368     0.0418           C155900400236 
        90.      -36.6     113.70     0.0321     0.0186           C155900400237 
        90.      -36.6     116.50     0.0211     0.0151           C155900400238 
ENDDATA            222          0                                 C155900400239 
ENDSUBENT          238          0                                 C155900499999 
SUBENT        C1559005   20120705                             C120C155900500001 
BIB                  3          7                                 C155900500002 
REACTION   (4-BE-9(P,P+A)2-HE-5,,POL/DA/DA/DE,P/A/P,ANA)          C155900500003 
           ANG1 Proton detector angle                             C155900500004 
           ANG2 Alpha detector angle                              C155900500005 
ERR-ANALYS (ERR-S) Statistical error                              C155900500006 
           (E-ERR-DIG) Digitizing error                           C155900500007 
           (ERR-DIG)    Digitizing error                          C155900500008 
STATUS     (CURVE)SD:Digitized data from figs.3-10 of PR/C,31,1662C155900500009 
ENDBIB               7          0                                 C155900500010 
COMMON               2          3                                 C155900500011 
E-ERR-DIG  ERR-DIG                                                C155900500012 
MEV        NO-DIM                                                 C155900500013 
 0.07        0.0031                                               C155900500014 
ENDCOMMON            3          0                                 C155900500015 
DATA                 5        176                                 C155900500016 
ANG1       ANG2       E          DATA       ERR-S                 C155900500017 
ADEG       ADEG       MEV        NO-DIM     NO-DIM                C155900500018 
        25.      -72.8     100.00     0.3450     0.4400           C155900500019 
        25.      -72.8     102.08     0.4960     0.2850           C155900500020 
        25.      -72.8     104.10     0.2760     0.2850           C155900500021 
        25.      -72.8     106.22     0.4490     0.2340           C155900500022 
        25.      -72.8     108.42     0.3890     0.2110           C155900500023 
        25.      -72.8     110.33     0.3120     0.1730           C155900500024 
        25.      -72.8     112.24     0.6360     0.0910           C155900500025 
        25.      -72.8     114.77     0.3470     0.1690           C155900500026 
        25.      -72.8     116.85     0.5390     0.1200           C155900500027 
        25.      -72.8     119.31     0.4460     0.1090           C155900500028 
        25.      -72.8     120.66     0.4970     0.0980           C155900500029 
        25.      -72.8     122.65     0.5370     0.0910           C155900500030 
        25.      -72.8     124.68     0.5080     0.0800           C155900500031 
        25.      -72.8     126.89     0.6310     0.0640           C155900500032 
        25.      -72.8     128.96     0.6460     0.0580           C155900500033 
        25.      -72.8     130.78     0.7040     0.0490           C155900500034 
        25.      -72.8     132.94     0.7200     0.0380           C155900500035 
        25.      -72.8     134.76     0.7670     0.0330           C155900500036 
        25.      -72.8     136.92     0.8040     0.0240           C155900500037 
        25.      -72.8     138.83     0.8600     0.0510           C155900500038 
        25.      -72.8     141.12     0.9140     0.0550           C155900500039 
        25.      -72.8     142.89     0.9530     0.0850           C155900500040 
        30.      -69.8     105.59     0.1202     0.1674           C155900500041 
        30.      -69.8     107.72     0.0079     0.1944           C155900500042 
        30.      -69.8     108.60     0.2452     0.1746           C155900500043 
        30.      -69.8     111.63     0.2227     0.0936           C155900500044 
        30.      -69.8     113.68     0.1680     0.1278           C155900500045 
        30.      -69.8     116.01     0.4931     0.1206           C155900500046 
        30.      -69.8     117.77     0.1811     0.1008           C155900500047 
        30.      -69.8     119.59     0.4919     0.1044           C155900500048 
        30.      -69.8     121.65     0.1907     0.0648           C155900500049 
        30.      -69.8     123.77     0.4960     0.0522           C155900500050 
        30.      -69.8     125.75     0.5116     0.0594           C155900500051 
        30.      -69.8     127.87     0.6027     0.0504           C155900500052 
        30.      -69.8     129.58     0.5302     0.0432           C155900500053 
        30.      -69.8     131.65     0.5547     0.0360           C155900500054 
        30.      -69.8     133.81     0.5792     0.0378           C155900500055 
        30.      -69.8     135.74     0.5444     0.0288           C155900500056 
        30.      -69.8     137.97     0.5599     0.0288           C155900500057 
        30.      -69.8     139.87     0.5719     0.0576           C155900500058 
        30.      -69.8     142.45     0.6089     0.0522           C155900500059 
        30.      -69.8     145.62     0.7159     0.0846           C155900500060 
        40.      -63.9      97.74    -0.1973     0.1711           C155900500061 
        40.      -63.9      99.70     0.1520     0.2233           C155900500062 
        40.      -63.9     101.73    -0.2262     0.2990           C155900500063 
        40.      -63.9     103.73    -0.0065     0.1639           C155900500064 
        40.      -63.9     105.77    -0.2137     0.2215           C155900500065 
        40.      -63.9     107.72     0.0024     0.1621           C155900500066 
        40.      -63.9     109.98     0.0563     0.1243           C155900500067 
        40.      -63.9     111.89     0.0383     0.1279           C155900500068 
        40.      -63.9     113.97     0.0220     0.0954           C155900500069 
        40.      -63.9     115.97     0.1949     0.0954           C155900500070 
        40.      -63.9     118.21    -0.0537     0.0648           C155900500071 
        40.      -63.9     120.42    -0.1600     0.0558           C155900500072 
        40.      -63.9     122.55    -0.1313     0.0504           C155900500073 
        40.      -63.9     124.59    -0.0521     0.0522           C155900500074 
        40.      -63.9     126.58    -0.0035     0.0468           C155900500075 
        40.      -63.9     128.58    -0.0270     0.0270           C155900500076 
        40.      -63.9     130.71     0.0720     0.0306           C155900500077 
        40.      -63.9     132.79    -0.0379     0.0378           C155900500078 
        40.      -63.9     135.12    -0.1262     0.0378           C155900500079 
        40.      -63.9     136.86    -0.0956     0.0306           C155900500080 
        40.      -63.9     138.82    -0.1587     0.0342           C155900500081 
        40.      -63.9     140.90    -0.1947     0.0306           C155900500082 
        50.      -58.1      87.00    -0.3372     0.2487           C155900500083 
        50.      -58.1      90.95    -0.1831     0.2469           C155900500084 
        50.      -58.1      93.31    -0.5765     0.1789           C155900500085 
        50.      -58.1      95.23    -0.6443     0.1646           C155900500086 
        50.      -58.1      97.19    -0.7873     0.1735           C155900500087 
        50.      -58.1      99.01    -0.4651     0.1628           C155900500088 
        50.      -58.1     101.23    -0.5276     0.1181           C155900500089 
        50.      -58.1     103.13    -0.3557     0.0984           C155900500090 
        50.      -58.1     105.18    -0.5130     0.0626           C155900500091 
        50.      -58.1     107.74    -0.4824     0.0733           C155900500092 
        50.      -58.1     109.52    -0.3749     0.0662           C155900500093 
        50.      -58.1     111.57    -0.5322     0.0680           C155900500094 
        50.      -58.1     113.95    -0.5069     0.0680           C155900500095 
        50.      -58.1     116.08    -0.4495     0.0358           C155900500096 
        50.      -58.1     117.87    -0.5263     0.0322           C155900500097 
        50.      -58.1     119.96    -0.5566     0.0376           C155900500098 
        50.      -58.1     121.95    -0.4545     0.0465           C155900500099 
        50.      -58.1     124.08    -0.5277     0.0358           C155900500100 
        50.      -58.1     125.96    -0.5293     0.0322           C155900500101 
        50.      -58.1     128.13    -0.5667     0.0376           C155900500102 
        50.      -58.1     130.00    -0.5254     0.0465           C155900500103 
        50.      -58.1     132.01    -0.6326     0.0984           C155900500104 
        50.      -58.1     133.14    -0.3570     0.1592           C155900500105 
        50.      -58.1     136.13    -0.5894     0.2075           C155900500106 
        60.      -52.4      81.83    -0.5372     0.2463           C155900500107 
        60.      -52.4      83.93    -0.0501     0.2642           C155900500108 
        60.      -52.4      85.86    -0.9374     0.2428           C155900500109 
        60.      -52.4      87.97    -0.4200     0.2017           C155900500110 
        60.      -52.4      89.92    -0.8397     0.1571           C155900500111 
        60.      -52.4      91.86    -0.2723     0.1696           C155900500112 
        60.      -52.4      93.99    -0.6831     0.1410           C155900500113 
        60.      -52.4      95.97    -0.8350     0.1017           C155900500114 
        60.      -52.4      98.01    -0.6193     0.1125           C155900500115 
        60.      -52.4      99.94    -0.7516     0.0768           C155900500116 
        60.      -52.4     101.89    -0.6786     0.0714           C155900500117 
        60.      -52.4     103.96    -0.7520     0.1214           C155900500118 
        60.      -52.4     105.94    -0.8487     0.0446           C155900500119 
        60.      -52.4     108.01    -0.8453     0.0482           C155900500120 
        60.      -52.4     110.29    -0.7867     0.0268           C155900500121 
        60.      -52.4     112.19    -0.8030     0.0446           C155900500122 
        60.      -52.4     114.18    -0.7336     0.0428           C155900500123 
        60.      -52.4     116.93    -0.6982     0.0482           C155900500124 
        60.      -52.4     119.00    -0.7448     0.0553           C155900500125 
        60.      -52.4     120.86    -0.6933     0.0464           C155900500126 
        60.      -52.4     122.95    -0.4132     0.1089           C155900500127 
        60.      -52.4     124.88    -0.5295     0.1214           C155900500128 
        70.      -46.9      86.99    -0.3141     0.3079           C155900500129 
        70.      -46.9      89.90    -0.4116     0.3061           C155900500130 
        70.      -46.9      92.00    -0.6693     0.2233           C155900500131 
        70.      -46.9      94.03    -0.6983     0.2053           C155900500132 
        70.      -46.9      96.22    -0.7489     0.2305           C155900500133 
        70.      -46.9      98.64    -0.5133     0.1854           C155900500134 
        70.      -46.9     100.32    -0.7079     0.1476           C155900500135 
        70.      -46.9     102.18    -0.6667     0.1224           C155900500136 
        70.      -46.9     104.63    -0.6093     0.0882           C155900500137 
        70.      -46.9     106.78    -0.7445     0.0810           C155900500138 
