ENTRY            C0545   20000510                             0000C054500000001 
SUBENT        C0545001   20000510                             0000C054500100001 
BIB                  9         19                                 C054500100002 
INSTITUTE  (1USAGEO,2FR PAR,1USARUT,1USALAS,1USAMIN,1USATEX,      C054500100003 
           2FR GRE)                                               C054500100004 
REFERENCE  (J,PR/C,61,037302,200003)                              C054500100005 
           (J,PR/C,40,1877,198911)                                C054500100006 
           (J,PR/C,37,1350,198803)                                C054500100007 
           (J,PRL,58,2404,198706)                                 C054500100008 
AUTHOR     (F.T.BAKER,L.BIMBOT,G.EDWARDS,C.GLASHAUSSER,A.GREEN,   C054500100009 
           K.JONES,D.MIHAILIDIS,D.READ,A.SETHI,B.H.STORM JR,      C054500100010 
           R.DESWINARSKI)                                         C054500100011 
TITLE      Spin excitations in the 40Ca(p(pol),p'(pol)) reaction  C054500100012 
            revisited                                             C054500100013 
FACILITY   (MESON,1USALAS)                                        C054500100014 
INC-SOURCE (POLIS) Transversely polarized beam.                   C054500100015 
DETECTOR   (MAGSP)                                                C054500100016 
STATUS     (APRVD) Approved by F.T. Baker, 4 August 1999.         C054500100017 
           Updated data received by email from T. Baker,          C054500100018 
            31 March 2000.                                        C054500100019 
HISTORY    (19990723C) VM                                         C054500100020 
           (20000412A) Data replaced, reference updated.          C054500100021 
ENDBIB              19          0                                 C054500100022 
COMMON               2          3                                 C054500100023 
EN         E-ERR                                                  C054500100024 
MEV        KEV                                                    C054500100025 
319.       250.                                                   C054500100026 
ENDCOMMON            3          0                                 C054500100027 
ENDSUBENT           26          0                                 C054500199999 
SUBENT        C0545002   20000412                             0000C054500200001 
BIB                  3          6                                 C054500200002 
REACTION   (20-CA-40(P,INL)20-CA-40,,DA/DE)                       C054500200003 
MONITOR    (1-H-1(P,EL)1-H-1,,DA)                                 C054500200004 
            Data taken from private communication, Arndt and      C054500200005 
            Roper.                                                C054500200006 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       C054500200007 
  7.0       44.3       9.1112E-01 2.6322E-02                      C054500200081 
  7.0       46.1       8.5832E-01 2.4869E-02                      C054500200082 
  9.0        6.9       3.6084E+00 1.0000E-01                      C054500200083 
  9.0        8.7       2.1196E+00 5.5560E-02                      C054500200084 
  9.0       10.5       1.3293E+00 2.7780E-02                      C054500200085 
  9.0       12.3       2.1256E+00 5.0000E-02                      C054500200086 
  9.0       14.1       2.9299E+00 7.2220E-02                      C054500200087 
  9.0       14.8       2.7867E+00 7.7780E-02                      C054500200088 
  9.0       16.6       3.1161E+00 8.3330E-02                      C054500200089 
  9.0       18.4       3.3602E+00 8.8880E-02                      C054500200090 
  9.0       20.2       2.6746E+00 6.6660E-02                      C054500200091 
  9.0       22.0       2.1699E+00 5.0000E-02                      C054500200092 
  9.0       22.7       1.9829E+00 5.5550E-02                      C054500200093 
  9.0       24.5       1.8479E+00 5.0000E-02                      C054500200094 
  9.0       26.3       1.8199E+00 4.4440E-02                      C054500200095 
  9.0       28.1       1.8129E+00 4.4440E-02                      C054500200096 
  9.0       29.9       1.6979E+00 3.8890E-02                      C054500200097 
  9.0       30.9       1.6016E+00 4.4440E-02                      C054500200098 
  9.0       32.7       1.5882E+00 3.8890E-02                      C054500200099 
  9.0       34.5       1.5031E+00 3.8890E-02                      C054500200100 
  9.0       36.3       1.4043E+00 3.3340E-02                      C054500200101 
  9.0       38.1       1.3177E+00 2.7770E-02                      C054500200102 
 10.5        6.9       3.9731E+00 1.1331E-01                      C054500200103 
 10.5        8.7       2.1028E+00 6.1758E-02                      C054500200104 
 10.5       10.5       1.6814E+00 5.0083E-02                      C054500200105 
 10.5       12.3       2.4371E+00 7.0927E-02                      C054500200106 
 10.5       14.1       2.9314E+00 8.4529E-02                      C054500200107 
 10.5       14.8       2.4460E+00 7.0303E-02                      C054500200108 
 10.5       16.6       2.5792E+00 7.3966E-02                      C054500200109 
 10.5       18.4       2.9506E+00 8.4193E-02                      C054500200110 
 10.5       20.2       2.4942E+00 7.1613E-02                      C054500200111 
 10.5       22.0       2.0023E+00 5.8059E-02                      C054500200112 
 10.5       22.7       1.7303E+00 4.9846E-02                      C054500200113 
 10.5       24.5       1.6788E+00 4.8419E-02                      C054500200114 
 10.5       26.3       1.7361E+00 4.9989E-02                      C054500200115 
 10.5       28.1       1.7178E+00 4.9486E-02                      C054500200116 
 10.5       29.9       1.6821E+00 4.8504E-02                      C054500200117 
 10.5       30.9       1.5729E+00 4.5116E-02                      C054500200118 
 10.5       32.7       1.5784E+00 4.5267E-02                      C054500200119 
 10.5       34.5       1.5348E+00 4.4063E-02                      C054500200120 
 10.5       36.3       1.4801E+00 4.2557E-02                      C054500200121 
 10.5       38.1       1.3921E+00 4.0133E-02                      C054500200122 
 10.5       38.9       1.4502E+00 4.1521E-02                      C054500200123 
 10.5       40.7       1.4227E+00 4.0765E-02                      C054500200124 
 10.5       42.5       1.3721E+00 3.9372E-02                      C054500200125 
 10.5       44.3       1.3234E+00 3.8033E-02                      C054500200126 
 10.5       46.1       1.2340E+00 3.5570E-02                      C054500200127 
 12.0        6.9       4.2600E+00 1.2128E-01                      C054500200128 
 12.0        8.7       1.7764E+00 5.2820E-02                      C054500200129 
 12.0       10.5       1.5782E+00 4.7328E-02                      C054500200130 
 12.0       12.3       2.2600E+00 6.6133E-02                      C054500200131 
 12.0       14.1       2.8558E+00 8.2541E-02                      C054500200132 
 12.0       14.8       2.6330E+00 7.5608E-02                      C054500200133 
 12.0       16.6       2.8401E+00 8.1310E-02                      C054500200134 
 12.0       18.4       3.0743E+00 8.7760E-02                      C054500200135 
 12.0       20.2       2.6145E+00 7.5082E-02                      C054500200136 
 12.0       22.0       2.1581E+00 6.2496E-02                      C054500200137 
 12.0       22.7       1.9668E+00 5.6710E-02                      C054500200138 
 12.0       24.5       1.9861E+00 5.7237E-02                      C054500200139 
 12.0       26.3       2.0074E+00 5.7821E-02                      C054500200140 
 12.0       28.1       2.0650E+00 5.9395E-02                      C054500200141 
 12.0       29.9       2.0545E+00 5.9109E-02                      C054500200142 
 12.0       30.9       1.8938E+00 5.4292E-02                      C054500200143 
 12.0       32.7       1.8968E+00 5.4373E-02                      C054500200144 
 12.0       34.5       1.8790E+00 5.3882E-02                      C054500200145 
 12.0       36.3       1.7900E+00 5.1431E-02                      C054500200146 
 12.0       38.1       1.7078E+00 4.9165E-02                      C054500200147 
 12.0       38.9       1.6375E+00 4.6946E-02                      C054500200148 
 12.0       40.7       1.6312E+00 4.6772E-02                      C054500200149 
 12.0       42.5       1.5884E+00 4.5597E-02                      C054500200150 
 12.0       44.3       1.5272E+00 4.3912E-02                      C054500200151 
 12.0       46.1       1.4751E+00 4.2477E-02                      C054500200152 
 14.0        6.9       3.2911E+00 9.3452E-02                      C054500200153 
 14.0        8.7       1.5174E+00 4.4616E-02                      C054500200154 
 14.0       10.5       1.5465E+00 4.5401E-02                      C054500200155 
 14.0       12.3       2.0323E+00 5.8788E-02                      C054500200156 
 14.0       14.1       2.2172E+00 6.3865E-02                      C054500200157 
 14.0       14.8       2.0897E+00 6.0289E-02                      C054500200158 
 14.0       16.6       2.2421E+00 6.4484E-02                      C054500200159 
 14.0       18.4       2.5438E+00 7.2788E-02                      C054500200160 
 14.0       20.2       2.4427E+00 7.0006E-02                      C054500200161 
 14.0       22.0       2.1337E+00 6.1496E-02                      C054500200162 
 14.0       22.7       1.9094E+00 5.5212E-02                      C054500200163 
 14.0       24.5       1.9643E+00 5.6717E-02                      C054500200164 
 14.0       26.3       1.9216E+00 5.5538E-02                      C054500200165 
 14.0       28.1       2.0010E+00 5.7720E-02                      C054500200166 
 14.0       29.9       1.9834E+00 5.7229E-02                      C054500200167 
 14.0       30.9       1.8785E+00 5.4042E-02                      C054500200168 
 14.0       32.7       1.9350E+00 5.5594E-02                      C054500200169 
 14.0       34.5       1.9158E+00 5.5063E-02                      C054500200170 
 14.0       36.3       1.8593E+00 5.3506E-02                      C054500200171 
 14.0       38.1       1.8869E+00 5.4265E-02                      C054500200172 
 14.0       38.9       1.7661E+00 5.0679E-02                      C054500200173 
 14.0       40.7       1.7685E+00 5.0745E-02                      C054500200174 
 14.0       42.5       1.7541E+00 5.0349E-02                      C054500200175 
 14.0       44.3       1.7223E+00 4.9475E-02                      C054500200176 
 14.0       46.1       1.6771E+00 4.8230E-02                      C054500200177 
 16.0        6.9       2.0130E+00 5.7941E-02                      C054500200178 
 16.0        8.7       1.3800E+00 4.0564E-02                      C054500200179 
 16.0       10.5       1.3079E+00 3.8539E-02                      C054500200180 
 16.0       12.3       1.6499E+00 4.7950E-02                      C054500200181 
 16.0       14.1       1.8085E+00 5.2302E-02                      C054500200182 
 16.0       14.8       1.7227E+00 3.5811E-02                      C054500200183 
 16.0       16.6       1.9008E+00 3.9270E-02                      C054500200184 
 16.0       18.4       2.0158E+00 4.1514E-02                      C054500200185 
 16.0       20.2       2.0178E+00 4.1514E-02                      C054500200186 
 16.0       22.0       1.7969E+00 3.7213E-02                      C054500200187 
 16.0       22.7       1.6369E+00 4.7435E-02                      C054500200188 
 16.0       24.5       1.7469E+00 5.0466E-02                      C054500200189 
 16.0       26.3       1.8249E+00 5.2617E-02                      C054500200190 
 16.0       28.1       1.8342E+00 5.2871E-02                      C054500200191 
 16.0       29.9       1.8863E+00 5.4306E-02                      C054500200192 
 16.0       30.9       1.7182E+00 4.9605E-02                      C054500200193 
 16.0       32.7       1.7019E+00 4.9156E-02                      C054500200194 
 16.0       34.5       1.7494E+00 5.0464E-02                      C054500200195 
 16.0       36.3       1.7274E+00 4.9856E-02                      C054500200196 
 16.0       38.1       1.6710E+00 4.8301E-02                      C054500200197 
 16.0       38.9       1.6682E+00 4.8023E-02                      C054500200198 
 16.0       40.7       1.7313E+00 4.9755E-02                      C054500200199 
 16.0       42.5       1.7414E+00 5.0036E-02                      C054500200200 
 16.0       44.3       1.7653E+00 5.0690E-02                      C054500200201 
 16.0       46.1       1.7146E+00 4.9294E-02                      C054500200202 
 18.0        6.9       1.0639E+00 3.1147E-02                      C054500200203 
 18.0        8.7       1.3498E+00 3.9083E-02                      C054500200204 
 18.0       10.5       1.0824E+00 3.1689E-02                      C054500200205 
 18.0       12.3       1.2995E+00 3.7669E-02                      C054500200206 
 18.0       14.1       1.5018E+00 4.3232E-02                      C054500200207 
 18.0       14.8       1.3766E+00 4.0635E-02                      C054500200208 
 18.0       16.6       1.5263E+00 4.4772E-02                      C054500200209 
 18.0       18.4       1.6485E+00 4.8141E-02                      C054500200210 
 18.0       20.2       1.5958E+00 4.6665E-02                      C054500200211 
 18.0       22.0       1.4917E+00 4.3787E-02                      C054500200212 
 18.0       22.7       1.4057E+00 4.0964E-02                      C054500200213 
 18.0       24.5       1.4374E+00 4.1829E-02                      C054500200214 
 18.0       26.3       1.4514E+00 4.2209E-02                      C054500200215 
 18.0       28.1       1.5328E+00 4.4444E-02                      C054500200216 
 18.0       29.9       1.5529E+00 4.4996E-02                      C054500200217 
 18.0       30.9       1.6276E+00 3.3099E-02                      C054500200218 
 18.0       32.7       1.7071E+00 3.4688E-02                      C054500200219 
 18.0       34.5       1.7055E+00 3.4688E-02                      C054500200220 
 18.0       36.3       1.7354E+00 3.5250E-02                      C054500200221 
 18.0       38.1       1.6982E+00 3.4502E-02                      C054500200222 
 18.0       38.9       1.6064E+00 4.6174E-02                      C054500200223 
 18.0       40.7       1.6257E+00 4.6702E-02                      C054500200224 
 18.0       42.5       1.6482E+00 4.7321E-02                      C054500200225 
 18.0       44.3       1.6555E+00 4.7521E-02                      C054500200226 
 18.0       46.1       1.6254E+00 4.6693E-02                      C054500200227 
 20.0        6.9       6.0398E-01 1.8138E-02                      C054500200228 
 20.0        8.7       1.2365E+00 3.5512E-02                      C054500200229 
 20.0       10.5       8.2054E-01 2.4086E-02                      C054500200230 
 20.0       12.3       1.0210E+00 2.9617E-02                      C054500200231 
 20.0       14.1       1.2679E+00 3.6413E-02                      C054500200232 
 20.0       14.8       1.1800E+00 3.4040E-02                      C054500200233 
 20.0       16.6       1.2726E+00 3.6592E-02                      C054500200234 
 20.0       18.4       1.4009E+00 4.0129E-02                      C054500200235 
 20.0       20.2       1.3781E+00 3.9488E-02                      C054500200236 
 20.0       22.0       1.2981E+00 3.7283E-02                      C054500200237 
 20.0       22.7       1.1720E+00 3.3652E-02                      C054500200238 
 20.0       24.5       1.1981E+00 3.4357E-02                      C054500200239 
 20.0       26.3       1.2698E+00 3.6332E-02                      C054500200240 
 20.0       28.1       1.2944E+00 3.7008E-02                      C054500200241 
 20.0       29.9       1.3326E+00 3.8053E-02                      C054500200242 
 20.0       30.9       1.3176E+00 3.8054E-02                      C054500200243 
 20.0       32.7       1.3858E+00 3.9932E-02                      C054500200244 
 20.0       34.5       1.4332E+00 4.1234E-02                      C054500200245 
 20.0       36.3       1.4822E+00 4.2583E-02                      C054500200246 
 20.0       38.1       1.5390E+00 4.4145E-02                      C054500200247 
 20.0       38.9       1.5130E+00 4.3495E-02                      C054500200248 
 20.0       40.7       1.5568E+00 4.4703E-02                      C054500200249 
 20.0       42.5       1.6072E+00 4.6087E-02                      C054500200250 
 20.0       44.3       1.5989E+00 4.5860E-02                      C054500200251 
 20.0       46.1       1.6153E+00 4.6312E-02                      C054500200252 
 23.0        6.9       6.1198E-01 1.7940E-02                      C054500200253 
 23.0        8.7       9.0944E-01 2.6098E-02                      C054500200254 
 23.0       10.5       5.3892E-01 1.5883E-02                      C054500200255 
 23.0       12.3       6.6837E-01 1.9447E-02                      C054500200256 
 23.0       14.1       9.3602E-01 2.6827E-02                      C054500200257 
 23.0       14.8       9.1384E-01 2.6378E-02                      C054500200258 
 23.0       16.6       8.9510E-01 2.5860E-02                      C054500200259 
 23.0       18.4       1.0331E+00 2.9662E-02                      C054500200260 
 23.0       20.2       1.0040E+00 2.8853E-02                      C054500200261 
 23.0       22.0       9.5872E-01 2.7605E-02                      C054500200262 
 23.0       22.7       9.0706E-01 2.6215E-02                      C054500200263 
 23.0       24.5       9.5574E-01 2.7555E-02                      C054500200264 
 23.0       26.3       1.0020E+00 2.8830E-02                      C054500200265 
 23.0       28.1       1.0496E+00 3.0138E-02                      C054500200266 
 23.0       29.9       1.0834E+00 3.1070E-02                      C054500200267 
 23.0       30.9       1.0458E+00 3.0159E-02                      C054500200268 
 23.0       32.7       1.1071E+00 3.1847E-02                      C054500200269 
 23.0       34.5       1.1821E+00 3.3911E-02                      C054500200270 
 23.0       36.3       1.2000E+00 3.4404E-02                      C054500200271 
 23.0       38.1       1.2154E+00 3.4827E-02                      C054500200272 
 23.0       38.9       1.1519E+00 3.3182E-02                      C054500200273 
 23.0       40.7       1.2210E+00 3.5084E-02                      C054500200274 
 23.0       42.5       1.2346E+00 3.5460E-02                      C054500200275 
 23.0       44.3       1.2829E+00 3.6789E-02                      C054500200276 
 23.0       46.1       1.2888E+00 3.6951E-02                      C054500200277 
ENDDATA            262          0                                 C054500200278 
ENDSUBENT          277          0                                 C054500299999 
SUBENT        C0545003   20000412                             0000C054500300001 
BIB                  2          2                                 C054500300002 
REACTION   (20-CA-40(P,INL)20-CA-40,NN,POL/DA/DE,,SF)             C054500300003 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       C054500300004 
ENDBIB               2          0                                 C054500300005 
NOCOMMON             0          0                                 C054500300006 
DATA                 4        260                                 C054500300007 
ANG        E-EXC      DATA       ERR-S                            C054500300008 
ADEG       MEV        NO-DIM     NO-DIM                           C054500300009 
  3.5        6.9        0.0400     0.0380                         C054500300010 
  3.5        8.7        0.2700     0.0310                         C054500300011 
  3.5       10.5        0.3400     0.0340                         C054500300012 
  3.5       12.3        0.2700     0.0280                         C054500300013 
  3.5       14.1        0.2500     0.0320                         C054500300014 
  3.5       14.8        0.3800     0.0350                         C054500300015 
  3.5       16.6        0.2700     0.0270                         C054500300016 
  3.5       18.4        0.3200     0.0230                         C054500300017 
  3.5       20.2        0.2300     0.0230                         C054500300018 
  3.5       22.0        0.2800     0.0310                         C054500300019 
  3.5       22.7        0.3700     0.0270                         C054500300020 
  3.5       24.5        0.4300     0.0250                         C054500300021 
  3.5       26.3        0.3800     0.0270                         C054500300022 
  3.5       28.1        0.3300     0.0380                         C054500300023 
  3.5       29.9        0.3500     0.0350                         C054500300024 
  3.5       30.9        0.3800     0.0340                         C054500300025 
  3.5       32.7        0.3300     0.0300                         C054500300026 
  3.5       34.5        0.3800     0.0300                         C054500300027 
  3.5       36.3        0.3500     0.0310                         C054500300028 
  3.5       38.1        0.4200     0.0410                         C054500300029 
  5.0        6.9        0.0400     0.0230                         C054500300030 
  5.0        8.7        0.2000     0.0170                         C054500300031 
  5.0       10.5        0.2000     0.0210                         C054500300032 
  5.0       12.3        0.2600     0.0170                         C054500300033 
  5.0       14.1        0.2800     0.0170                         C054500300034 
  5.0       14.8        0.3100     0.0210                         C054500300035 
  5.0       16.6        0.3100     0.0160                         C054500300036 
  5.0       18.4        0.3100     0.0150                         C054500300037 
  5.0       20.2        0.3200     0.0160                         C054500300038 
  5.0       22.0        0.3600     0.0210                         C054500300039 
  5.0       22.7        0.3800     0.0160                         C054500300040 
  5.0       24.5        0.4100     0.0140                         C054500300041 
  5.0       26.3        0.3800     0.0150                         C054500300042 
  5.0       28.1        0.4200     0.0150                         C054500300043 
  5.0       29.9        0.4000     0.0190                         C054500300044 
  5.0       30.9        0.4100     0.0190                         C054500300045 
  5.0       32.7        0.3900     0.0160                         C054500300046 
  5.0       34.5        0.4200     0.0160                         C054500300047 
  5.0       36.3        0.4000     0.0160                         C054500300048 
  5.0       38.1        0.4400     0.0210                         C054500300049 
  7.0        6.9        0.0800     0.0240                         C054500300050 
  7.0        8.7        0.1300     0.0180                         C054500300051 
  7.0       10.5        0.1600     0.0250                         C054500300052 
  7.0       12.3        0.1500     0.0200                         C054500300053 
  7.0       14.1        0.1800     0.0190                         C054500300054 
  7.0       14.8        0.1900     0.0210                         C054500300055 
  7.0       16.6        0.1900     0.0170                         C054500300056 
  7.0       18.4        0.2100     0.0160                         C054500300057 
  7.0       20.2        0.2800     0.0180                         C054500300058 
  7.0       22.0        0.3000     0.0240                         C054500300059 
  7.0       22.7        0.3200     0.0190                         C054500300060 
  7.0       24.5        0.3500     0.0160                         C054500300061 
  7.0       26.3        0.3500     0.0170                         C054500300062 
  7.0       28.1        0.3700     0.0170                         C054500300063 
  7.0       29.9        0.3400     0.0210                         C054500300064 
  7.0       30.9        0.3500     0.0200                         C054500300065 
  7.0       32.7        0.4000     0.0160                         C054500300066 
  7.0       34.5        0.4100     0.0160                         C054500300067 
  7.0       36.3        0.4200     0.0170                         C054500300068 
  7.0       38.1        0.4200     0.0210                         C054500300069 
  7.0       38.9        0.3563     0.0474                         C054500300070 
  7.0       40.7        0.3641     0.0321                         C054500300071 
  7.0       42.5        0.4506     0.0312                         C054500300072 
  7.0       44.3        0.3727     0.0319                         C054500300073 
  7.0       46.1        0.4357     0.0358                         C054500300074 
  9.0        6.9        0.0500     0.0180                         C054500300075 
  9.0        8.7        0.1100     0.0180                         C054500300076 
  9.0       10.5        0.1500     0.0220                         C054500300077 
  9.0       12.3        0.0700     0.0190                         C054500300078 
  9.0       14.1        0.0900     0.0220                         C054500300079 
  9.0       14.8        0.1200     0.0240                         C054500300080 
  9.0       16.6        0.1600     0.0190                         C054500300081 
  9.0       18.4        0.1400     0.0180                         C054500300082 
  9.0       20.2        0.1400     0.0190                         C054500300083 
  9.0       22.0        0.1400     0.0250                         C054500300084 
  9.0       22.7        0.2200     0.0210                         C054500300085 
  9.0       24.5        0.2100     0.0180                         C054500300086 
  9.0       26.3        0.2300     0.0180                         C054500300087 
  9.0       28.1        0.2900     0.0180                         C054500300088 
  9.0       29.9        0.2400     0.0230                         C054500300089 
  9.0       30.9        0.3000     0.0240                         C054500300090 
  9.0       32.7        0.3000     0.0200                         C054500300091 
  9.0       34.5        0.3100     0.0200                         C054500300092 
  9.0       36.3        0.3000     0.0210                         C054500300093 
  9.0       38.1        0.2800     0.0270                         C054500300094 
 10.5        6.9        0.0380     0.0160                         C054500300095 
 10.5        8.7        0.0890     0.0170                         C054500300096 
 10.5       10.5        0.1630     0.0170                         C054500300097 
 10.5       12.3        0.1040     0.0150                         C054500300098 
 10.5       14.1        0.1350     0.0140                         C054500300099 
 10.5       14.8        0.0770     0.0200                         C054500300100 
 10.5       16.6        0.0900     0.0140                         C054500300101 
 10.5       18.4        0.0900     0.0140                         C054500300102 
 10.5       20.2        0.1440     0.0150                         C054500300103 
 10.5       22.0        0.1510     0.0170                         C054500300104 
 10.5       22.7        0.1930     0.0220                         C054500300105 
 10.5       24.5        0.2010     0.0150                         C054500300106 
 10.5       26.3        0.2120     0.0150                         C054500300107 
 10.5       28.1        0.2170     0.0150                         C054500300108 
 10.5       29.9        0.2260     0.0150                         C054500300109 
 10.5       30.9        0.2230     0.0230                         C054500300110 
 10.5       32.7        0.2570     0.0160                         C054500300111 
 10.5       34.5        0.2710     0.0160                         C054500300112 
 10.5       36.3        0.2280     0.0160                         C054500300113 
 10.5       38.1        0.2810     0.0180                         C054500300114 
 10.5       38.9        0.3250     0.0340                         C054500300115 
 10.5       40.7        0.3000     0.0230                         C054500300116 
 10.5       42.5        0.3090     0.0230                         C054500300117 
