ENTRY            C0740   20001229                             0000C074000000001 
SUBENT        C0740001   20001229                             0000C074000100001 
BIB                 11         15                                 C074000100002 
INSTITUTE  (1CANMNA)                                              C074000100003 
REFERENCE  (J,NP/A,436,1,1985)                                    C074000100004 
AUTHOR     (R.ARYAEINEJAD,W.R.FALK,N.E.DAVISON,J.N.KNUDSON,       C074000100005 
           J.R.CAMPBELL)                                          C074000100006 
TITLE      T=1/2 and 3/2 negative-parity states in 11B with the   C074000100007 
            14C(p,alpha)11B reaction                              C074000100008 
FACILITY   (CYCLO,1CANMNA)                                        C074000100009 
SAMPLE     Self-supporting target enriched to >95% 14C.  Areal    C074000100010 
            density 524 microg/cm2.                               C074000100011 
METHOD     (EDE)                                                  C074000100012 
DETECTOR   (TELES,SOLST) 4 surface-barrier detector telescopes.   C074000100013 
ERR-ANALYS (ERR-S) Statistical uncertainty given.                 C074000100014 
STATUS     Tabulated data received from W. Falk, 13 November 2000.C074000100015 
           (APRVD) Approved by W. Falk, 29 December 2000.         C074000100016 
HISTORY    (20001114C) VM                                         C074000100017 
ENDBIB              15          0                                 C074000100018 
NOCOMMON             0          0                                 C074000100019 
ENDSUBENT           18          0                                 C074000199999 
SUBENT        C0740002   20001229                             0000C074000200001 
BIB                  2          2                                 C074000200002 
REACTION   (6-C-14(P,A)5-B-11,PAR,DA)                             C074000200003 
MISC-COL   (MISC) Detector number                                 C074000200004 
ENDBIB               2          0                                 C074000200005 
COMMON               1          3                                 C074000200006 
EN                                                                C074000200007 
MEV                                                               C074000200008 
 41.9                                                             C074000200009 
ENDCOMMON            3          0                                 C074000200010 
DATA                 5        436                                 C074000200011 
E-EXC      ANG-CM     DATA-CM    ERR-S      MISC                  C074000200012 
MEV        ADEG       MU-B/SR    MU-B/SR    NO-DIM                C074000200013 
 11.6       91.26       3.805      0.291      3.                  C074000200309 
 11.6       96.39       5.016      0.373      4.                  C074000200310 
 11.6      101.44       6.259      0.282      3.                  C074000200311 
 11.6      106.39       5.480      0.342      4.                  C074000200312 
 11.6      111.26       5.741      0.375      3.                  C074000200313 
 11.6      111.26       5.727      0.428      4.                  C074000200314 
 11.6      116.04       4.520      0.369      4.                  C074000200315 
 11.6      120.74       4.119      0.369      4.                  C074000200316 
 11.6      129.88       3.720      0.478      4.                  C074000200317 
 11.6      134.34       4.055      0.751      4.                  C074000200318 
 11.6      138.73       2.092      0.351      4.                  C074000200319 
 11.6      143.06       3.928      0.743      4.                  C074000200320 
 12.9       12.03     191.009      4.143      1.                  C074000200321 
 12.9       18.02      91.904      2.624      2.                  C074000200322 
 12.9       23.99      54.880      2.039      1.                  C074000200323 
 12.9       29.93      52.059      3.318      2.                  C074000200324 
 12.9       35.84      62.862      2.095      1.                  C074000200325 
 12.9       41.70      55.056      1.828      2.                  C074000200326 
 12.9       47.52      46.333      2.264      1.                  C074000200327 
 12.9       47.52      42.378      2.177      2.                  C074000200328 
 12.9       47.52      41.642      1.692      3.                  C074000200329 
 12.9       53.27      29.392      1.623      2.                  C074000200330 
 12.9       53.27      25.867      2.635      3.                  C074000200331 
 12.9       58.97      13.640      1.438      2.                  C074000200332 
 12.9       58.97      21.102      1.722      3.                  C074000200333 
 12.9       64.59       9.722      1.601      3.                  C074000200334 
 12.9       70.15       8.257      1.265      2.                  C074000200335 
 12.9       70.15      10.964      0.960      3.                  C074000200336 
 12.9       75.62       9.582      0.590      3.                  C074000200337 
 12.9       81.02       9.998      1.208      2.                  C074000200338 
 12.9       81.02      11.173      1.019      3.                  C074000200339 
 12.9       81.02       8.158      0.761      3.                  C074000200340 
 12.9       86.33       9.004      0.416      3.                  C074000200341 
 12.9       86.33       9.129      0.576      4.                  C074000200342 
 12.9       91.55       8.932      0.560      3.                  C074000200343 
 12.9       96.69       5.616      0.412      4.                  C074000200344 
 12.9      101.73       7.569      0.515      3.                  C074000200345 
 12.9      106.68       8.926      0.714      4.                  C074000200346 
 12.9      111.55       4.166      0.448      3.                  C074000200347 
 12.9      111.55       4.395      0.498      4.                  C074000200348 
 12.9      116.32       4.007      0.441      4.                  C074000200349 
 12.9      121.01       3.741      0.471      4.                  C074000200350 
 12.9      130.14       4.279      0.820      4.                  C074000200351 
 12.9      138.95       4.756      0.789      4.                  C074000200352 
 14.53      18.12      16.700      4.220      2.                  C074000200353 
 14.53      24.13      17.600      3.596      1.                  C074000200354 
 14.53      30.10      23.127      3.353      2.                  C074000200355 
 14.53      36.04      12.375      1.853      1.                  C074000200356 
 14.53      41.93      17.313      1.898      2.                  C074000200357 
 14.53      47.77      10.993      1.697      1.                  C074000200358 
 14.53      47.77      19.562      4.281      2.                  C074000200359 
 14.53      47.77      12.971      3.701      3.                  C074000200360 
 14.53      53.55      10.940      3.441      2.                  C074000200361 
 14.53      53.55      13.800      2.297      3.                  C074000200362 
 14.53      59.27      11.677      3.185      2.                  C074000200363 
 14.53      59.27       8.094      2.437      3.                  C074000200364 
 14.53      64.92       6.357      1.463      3.                  C074000200365 
 14.53      70.49      10.343      2.866      2.                  C074000200366 
 14.53      70.49       8.560      2.292      3.                  C074000200367 
 14.53      75.98       5.424      1.601      3.                  C074000200368 
 14.53      81.39       9.307      2.884      2.                  C074000200369 
 14.53      81.39       8.451      2.176      3.                  C074000200370 
 14.53      81.39       5.783      1.715      3.                  C074000200371 
 14.53      86.71       5.474      1.275      3.                  C074000200372 
 14.53      86.71       4.596      1.997      4.                  C074000200373 
 14.53      91.94       5.003      1.247      3.                  C074000200374 
 14.53      97.08       4.694      1.454      4.                  C074000200375 
 14.53     102.13       7.471      1.197      3.                  C074000200376 
 14.53     107.08       6.785      1.603      4.                  C074000200377 
 14.53     111.94       5.548      1.003      3.                  C074000200378 
 14.53     111.94       9.206      1.250      4.                  C074000200379 
 14.53     116.71       6.637      1.319      4.                  C074000200380 
 14.53     121.38       6.873      1.200      4.                  C074000200381 
 15.3       12.13     119.109      6.413      1.                  C074000200382 
 15.3       18.17     120.217      4.399      2.                  C074000200383 
 15.3       24.19     115.572      4.152      1.                  C074000200384 
 15.3       30.18      65.476      5.407      2.                  C074000200385 
 15.3       36.14      40.958      3.041      1.                  C074000200386 
 15.3       42.04      31.998      2.876      2.                  C074000200387 
 15.3       47.90      22.809      4.224      1.                  C074000200388 
 15.3       47.90      28.416      2.564      2.                  C074000200389 
 15.3       47.90      36.073      2.410      3.                  C074000200390 
 15.3       53.69      18.233      1.560      2.                  C074000200391 
 15.3       53.69      24.213      2.267      3.                  C074000200392 
 15.3       59.42      17.359      1.750      2.                  C074000200393 
 15.3       59.42      29.483      2.120      3.                  C074000200394 
 15.3       65.08      26.407      2.418      3.                  C074000200395 
 15.3       70.67      21.885      1.847      2.                  C074000200396 
 15.3       76.17      13.797      0.792      3.                  C074000200397 
 15.3       81.58      12.281      1.931      2.                  C074000200398 
 15.3       81.58       7.823      1.286      3.                  C074000200399 
 15.3       86.91       7.014      0.852      3.                  C074000200400 
 15.3       86.91       9.282      1.029      4.                  C074000200401 
 15.3       92.14       7.572      0.836      3.                  C074000200402 
 15.3       97.29       8.230      0.825      4.                  C074000200403 
 15.3      102.33       6.767      0.627      3.                  C074000200404 
 15.3      107.28       6.125      0.679      4.                  C074000200405 
 15.3      116.90       5.130      0.676      4.                  C074000200406 
 16.5       12.19      24.680     13.190      1.                  C074000200407 
 16.5       18.26      24.062      2.869      2.                  C074000200408 
 16.5       24.31      27.232     11.066      1.                  C074000200409 
 16.5       30.32      29.580      2.714      2.                  C074000200410 
 16.5       36.30      38.902     19.890      1.                  C074000200411 
 16.5       42.23      28.298      2.193      2.                  C074000200412 
 16.5       48.11      23.575      3.615      1.                  C074000200413 
 16.5       48.11      26.730      5.607      2.                  C074000200414 
 16.5       48.11      16.700      4.461      3.                  C074000200415 
