ENTRY            C2615   20211109                             C208C2615  0    1 
SUBENT        C2615001   20211107                             C208C2615  1    1 
BIB                 11         36                                 C2615  1    2 
TITLE      Polarization and angular distribution of the neutrons  C2615  1    3 
           from 14C(p,n) reaction and the tensor force            C2615  1    4 
AUTHOR     (C.Wong,J.D.Anderson,V.A.Madsen,F.A.Schmittroth,       C2615  1    5 
           M.J.Stomp)                                             C2615  1    6 
INSTITUTE  (1USALRL,1USAORU)                                      C2615  1    7 
REFERENCE  (J,PR/C,3,1904,1971)                                   C2615  1    8 
           #doi:10.1103/PhysRevC.3.1904                           C2615  1    9 
FACILITY   (ISOCY,1USALRL)                                        C2615  1   10 
REL-REF    (I,O0493001,B.D.Walker+,J,PR,137,B347,1965)            C2615  1   11 
COMMENT    The proton beam energy spread due to energy loss in    C2615  1   12 
           the gas targets varied between +-0.18 MeV at Ep = 7.2  C2615  1   13 
           MeV and +-0.14 MeV at Ep = 13.3 MeV.                   C2615  1   14 
SAMPLE     (6-C-14,ENR=0.91)                                      C2615  1   15 
           The cell filled with CO2 gas to a pressure of 1.5 atm. C2615  1   16 
           For the lower-energy measurements, Ep = 7.2, 8.8, and  C2615  1   17 
           10.4 MeV, the gas target is 2.5x2.5-cm gas cell lined  C2615  1   18 
           with Ta. The entrance window was 0.0013-cm Ta and was  C2615  1   19 
           supported by a gold grid whose transmission was        C2615  1   20 
           approximately 90%. The cell was filled with 14CO2 gas  C2615  1   21 
           to a pressure of 1.5 atm.                              C2615  1   22 
           For the measurements at Ep = 10.4, 11.7, 12.6, and     C2615  1   23 
           13.3 MeV, a 2.5x2.5-cm target with nickel entrance and C2615  1   24 
           windows (9-mg/cm2 unsupported Ni windows) was used. TheC2615  1   25 
           beam stopper was also nickel and was located some 30 cmC2615  1   26 
           from the gas cell. The cell was filled with 14CO2 gas  C2615  1   27 
           to a pressure of two atm.                              C2615  1   28 
METHOD     (TOF)                                                  C2615  1   29 
           (MAGFR) The method consists of precessing the neutron  C2615  1   30 
           magnetic moment plus and minus 90 degrees with a       C2615  1   31 
           suitably designed solenoid to obtain the equivalent    C2615  1   32 
           "left" and "right" scattering measurements.            C2615  1   33 
           (DSCAT) The analyzer was liquid helium, and the angle  C2615  1   34 
           of scattering from the helium was 60 degrees.          C2615  1   35 
DETECTOR   (SCIN) The neutron detector was a 5x5-cm stilbene      C2615  1   36 
           scintillator located 30 cm from the helium scatterer.  C2615  1   37 
HISTORY    (20210807C) OG                                         C2615  1   38 
ENDBIB              36          0                                 C2615  1   39 
NOCOMMON             0          0                                 C2615  1   40 
ENDSUBENT           39          0                                 C2615  199999 
SUBENT        C2615002   20210810                             C208C2615  2    1 
BIB                  5         16                                 C2615  2    2 
REACTION   (6-C-14(P,N)7-N-14,PAR,POL/DA)                         C2615  2    3 
LEVEL-PROP (7-N-14,E-LVL=0.,SPIN=1.,PARITY=+1.)                   C2615  2    4 
           (7-N-14,E-LVL=2.31,SPIN=0.,PARITY=+1.)                 C2615  2    5 
           (7-N-14,E-LVL=3.95,SPIN=1.,PARITY=+1.)                 C2615  2    6 
CORRECTION The values of polarization have been corrected for     C2615  2    7 
           multiple scattering; these corrections varied between  C2615  2    8 
           8 and 12%.                                             C2615  2    9 
ERR-ANALYS (DATA-ERR) The error on polarization was computed from C2615  2   10 
           the statistical counting error on the product P(He)*P, C2615  2   11 
           where P(He) is the polarization of the neutrons        C2615  2   12 
           scattered from the helium and P is the polarization of C2615  2   13 
           the neutrons from the (p,n) reaction, since the        C2615  2   14 
           statistical counting errors are much larger than the   C2615  2   15 
           uncertainties in the values of P(He).                  C2615  2   16 
STATUS     (CURVE) Fig.3 (p.1909) in Phys.Rev/C,3,1904,1971 was   C2615  2   17 
           digitized by GSYS2.4.7.                                C2615  2   18 
ENDBIB              16          0                                 C2615  2   19 
NOCOMMON             0          0                                 C2615  2   20 
DATA                 5        189                                 C2615  2   21 
E-LVL      EN         ANG        DATA       DATA-ERR              C2615  2   22 
       2.31        7.2     -0.009     -0.014      0.078           C2615  2   90 
       2.31        7.2      9.379     -0.466      0.070           C2615  2   91 
       2.31        7.2     18.294     -0.518      0.052           C2615  2   92 
       2.31        7.2     19.336     -0.558      0.069           C2615  2   93 
       2.31        7.2     29.152     -0.441      0.040           C2615  2   94 
       2.31        7.2     38.178     -0.341      0.065           C2615  2   95 
       2.31        7.2     39.166     -0.321      0.065           C2615  2   96 
       2.31        7.2     48.857     -0.138      0.046           C2615  2   97 
       2.31        7.2     58.638      0.001      0.033           C2615  2   98 
       2.31        7.2     68.954      0.210      0.053           C2615  2   99 
       2.31        7.2     78.727      0.352      0.075           C2615  2  100 
       2.31        7.2     88.553     -0.084      0.099           C2615  2  101 
       2.31        8.8      0.494      0.012      0.066           C2615  2  102 
       2.31        8.8      4.451     -0.381      0.060           C2615  2  103 
       2.31        8.8      9.707     -0.640      0.039           C2615  2  104 
       2.31        8.8     19.400     -0.751      0.055           C2615  2  105 
       2.31        8.8     29.504     -0.616      0.055           C2615  2  106 
       2.31        8.8     39.230     -0.420      0.045           C2615  2  107 
       2.31        8.8     39.338     -0.308      0.063           C2615  2  108 
       2.31        8.8     49.371      0.059      0.055           C2615  2  109 
       2.31        8.8     59.200      0.317      0.063           C2615  2  110 
       2.31        8.8     69.111      0.442      0.063           C2615  2  111 
       2.31        8.8     78.591      0.140      0.063           C2615  2  112 
       2.31        8.8     79.081      0.229      0.081           C2615  2  113 
       2.31       10.4     -0.009      0.018      0.066           C2615  2  114 
       2.31       10.4     10.030     -0.184      0.039           C2615  2  115 
       2.31       10.4     19.303     -0.521      0.055           C2615  2  116 
       2.31       10.4     29.659     -0.516      0.071           C2615  2  117 
       2.31       10.4     39.526     -0.539      0.102           C2615  2  118 
       2.31       10.4     49.109     -0.124      0.105           C2615  2  119 
       2.31       10.4     58.889      0.364      0.120           C2615  2  120 
       2.31       10.4     68.464      0.996      0.132           C2615  2  121 
       2.31       10.4     78.339      0.780      0.102           C2615  2  122 
       2.31       11.7     -0.136      0.059      0.063           C2615  2  123 
       2.31       11.7      9.692     -0.167      0.104           C2615  2  124 
       2.31       11.7     19.315     -0.292      0.165           C2615  2  125 
       2.31       11.7     29.527     -0.532      0.405           C2615  2  126 
       2.31       11.7     39.348      0.063      0.280           C2615  2  127 
       2.31       11.7     48.971     -0.164      0.232           C2615  2  128 
       2.31       11.7     59.409     -0.967      0.402           C2615  2  129 
       2.31       11.7     69.300      0.407      0.600           C2615  2  130 
       2.31       11.7     78.925      0.759      0.251           C2615  2  131 
       2.31       12.6     -0.005     -0.122      0.059           C2615  2  132 
       2.31       12.6     -0.003     -0.072      0.071           C2615  2  133 
       2.31       12.6     10.295     -0.538      0.187           C2615  2  134 
       2.31       12.6     20.068     -0.188      0.276           C2615  2  135 
       2.31       12.6     29.520      0.328      0.373           C2615  2  136 
       2.31       12.6     29.978      0.536      0.175           C2615  2  137 
       2.31       12.6     40.139      0.182      0.122           C2615  2  138 
       2.31       12.6     40.153      0.384      0.131           C2615  2  139 
       2.31       12.6     49.246      0.414      0.074           C2615  2  140 
       2.31       12.6     59.731      0.006      0.095           C2615  2  141 
       2.31       12.6     70.213     -0.440      0.169           C2615  2  142 
       2.31       12.6     79.337      0.020      0.392           C2615  2  143 
       2.31       12.6     89.699      0.922      0.071           C2615  2  144 
       2.31       13.3      0.417     -0.111      0.128           C2615  2  145 
       2.31       13.3     10.472      0.274      0.295           C2615  2  146 
       2.31       13.3     10.562      0.920      0.252           C2615  2  147 
       2.31       13.3     19.703     -0.043      0.157           C2615  2  148 
       2.31       13.3     19.959      0.011      0.155           C2615  2  149 
       2.31       13.3     30.149      0.073      0.136           C2615  2  150 
       2.31       13.3     30.292      0.001      0.158           C2615  2  151 
       2.31       13.3     39.906      0.382      0.122           C2615  2  152 
       2.31       13.3     40.242      0.236      0.138           C2615  2  153 
       2.31       13.3     49.430      0.067      0.115           C2615  2  154 
       2.31       13.3     49.778     -0.002      0.132           C2615  2  155 
       2.31       13.3     59.807     -0.152      0.142           C2615  2  156 
       2.31       13.3     70.496      0.101      0.320           C2615  2  157 
       3.95        8.8      0.258     -0.009      0.067           C2615  2  158 
       3.95        8.8      4.601     -0.027      0.071           C2615  2  159 
       3.95        8.8      9.764     -0.216      0.073           C2615  2  160 
       3.95        8.8     19.477     -0.113      0.076           C2615  2  161 
       3.95        8.8     29.342     -0.344      0.105           C2615  2  162 
       3.95        8.8     38.793     -0.360      0.071           C2615  2  163 
       3.95        8.8     39.609     -0.415      0.128           C2615  2  164 
       3.95        8.8     49.491     -0.500      0.118           C2615  2  165 
       3.95        8.8     59.101     -0.453      0.139           C2615  2  166 
       3.95        8.8     69.106     -0.320      0.157           C2615  2  167 
       3.95        8.8     78.918     -0.194      0.191           C2615  2  168 
       3.95       10.4      0.908      0.044      0.057           C2615  2  169 
       3.95       10.4     10.914      0.092      0.099           C2615  2  170 
       3.95       10.4     20.497      0.491      0.094           C2615  2  171 
       3.95       10.4     30.604      0.198      0.113           C2615  2  172 
       3.95       10.4     40.973      0.196      0.141           C2615  2  173 
       3.95       10.4     50.259      0.158      0.115           C2615  2  174 
       3.95       10.4     60.205      0.437      0.170           C2615  2  175 
       3.95       10.4     70.368     -0.028      0.194           C2615  2  176 
       3.95       10.4     80.058     -0.011      0.233           C2615  2  177 
       3.95       11.7      0.434      0.042      0.058           C2615  2  178 
       3.95       11.7     10.302     -0.166      0.088           C2615  2  179 
       3.95       11.7     19.703     -0.210      0.067           C2615  2  180 
       3.95       11.7     29.595     -0.248      0.088           C2615  2  181 
       3.95       11.7     39.775     -0.334      0.096           C2615  2  182 
       3.95       11.7     49.502     -0.111      0.133           C2615  2  183 
       3.95       11.7     59.425      0.120      0.200           C2615  2  184 
       3.95       11.7     69.704     -0.814      0.339           C2615  2  185 
       3.95       11.7     79.277     -0.218      0.240           C2615  2  186 
       3.95       12.6      0.560     -0.053      0.085           C2615  2  187 
       3.95       12.6      0.568      0.001      0.081           C2615  2  188 
       3.95       12.6     10.461      0.195      0.144           C2615  2  189 
       3.95       12.6     20.204     -0.006      0.171           C2615  2  190 
       3.95       12.6     30.246     -0.161      0.128           C2615  2  191 
       3.95       12.6     30.282     -0.599      0.184           C2615  2  192 
       3.95       12.6     40.000     -0.288      0.117           C2615  2  193 
       3.95       12.6     40.285     -0.344      0.133           C2615  2  194 
       3.95       12.6     49.722     -0.633      0.115           C2615  2  195 
       3.95       12.6     60.011     -0.442      0.131           C2615  2  196 
       3.95       12.6     70.125     -0.091      0.200           C2615  2  197 
       3.95       12.6     79.325      0.010      0.240           C2615  2  198 
       3.95       12.6     89.193     -0.007      0.170           C2615  2  199 
       3.95       13.3      0.540      0.045      0.094           C2615  2  200 
       3.95       13.3     10.419      0.005      0.171           C2615  2  201 
       3.95       13.3     10.764     -0.249      0.158           C2615  2  202 
       3.95       13.3     19.476     -0.058      0.188           C2615  2  203 
       3.95       13.3     19.814     -0.451      0.310           C2615  2  204 
       3.95       13.3     29.833     -0.336      0.267           C2615  2  205 
       3.95       13.3     29.945     -0.484      0.275           C2615  2  206 
       3.95       13.3     39.844     -0.379      0.201           C2615  2  207 
       3.95       13.3     40.183     -0.784      0.198           C2615  2  208 
       3.95       13.3     49.267     -0.270      0.129           C2615  2  209 
       3.95       13.3     49.621     -0.343      0.178           C2615  2  210 
       3.95       13.3     59.645     -0.119      0.152           C2615  2  211 
       3.95       13.3     70.113     -0.571      0.290           C2615  2  212 
ENDDATA            191          0                                 C2615  2  213 
ENDSUBENT          212          0                                 C2615  299999 
SUBENT        C2615003   20210810                             C208C2615  3    1 
BIB                  5         14                                 C2615  3    2 
REACTION   (6-C-14(P,N)7-N-14,PAR,POL/DA)                         C2615  3    3 
LEVEL-PROP (7-N-14,E-LVL=2.31,SPIN=0.,PARITY=+1.)                 C2615  3    4 
CORRECTION The values of polarization have been corrected for     C2615  3    5 
           multiple scattering; these corrections varied between  C2615  3    6 
           8 and 12%.                                             C2615  3    7 
ERR-ANALYS (DATA-ERR) The error on polarization was computed from C2615  3    8 
           the statistical counting error on the product P(He)*P, C2615  3    9 
           where P(He) is the polarization of the neutrons        C2615  3   10 
           scattered from the helium and P is the polarization of C2615  3   11 
           the neutrons from the (p,n) reaction, since the        C2615  3   12 
           statistical counting errors are much larger than the   C2615  3   13 
           uncertainties in the values of P(He).                  C2615  3   14 
STATUS     (CURVE) Figs.4-5 (p.1910) in Phys.Rev/C,3,1904,1971    C2615  3   15 
           were digitized by GSYS2.4.7.                           C2615  3   16 
ENDBIB              14          0                                 C2615  3   17 
COMMON               1          3                                 C2615  3   18 
E-LVL                                                             C2615  3   19 
MEV                                                               C2615  3   20 
2.31                                                              C2615  3   21 
ENDCOMMON            3          0                                 C2615  3   22 
DATA                 4         70                                 C2615  3   23 
EN         ANG-CM     DATA       DATA-ERR                         C2615  3   24 
MEV        ADEG       NO-DIM     NO-DIM                           C2615  3   25 
        7.2      1.570      0.069      0.082                      C2615  3   26 
        7.2      1.821     -0.014      0.043                      C2615  3   27 
        7.2     12.275     -0.484      0.070                      C2615  3   28 
        7.2     23.444     -0.575      0.029                      C2615  3   29 
        7.2     25.154     -0.553      0.043                      C2615  3   30 
        7.2     34.101     -0.463      0.034                      C2615  3   31 
        7.2     45.123     -0.322      0.034                      C2615  3   32 
        7.2     45.333     -0.351      0.046                      C2615  3   33 
        7.2     55.179     -0.170      0.031                      C2615  3   34 
        7.2     66.564      0.002      0.043                      C2615  3   35 
        7.2     75.631      0.202      0.053                      C2615  3   36 
        7.2     86.641      0.362      0.077                      C2615  3   37 
        7.2     96.999     -0.093      0.100                      C2615  3   38 
        8.8      1.622     -0.035      0.046                      C2615  3   39 
        8.8      8.049     -0.405      0.060                      C2615  3   40 
        8.8     12.914     -0.669      0.055                      C2615  3   41 
        8.8     23.681     -0.787      0.058                      C2615  3   42 
        8.8     34.954     -0.654      0.060                      C2615  3   43 
        8.8     45.634     -0.454      0.053                      C2615  3   44 
        8.8     45.789     -0.321      0.055                      C2615  3   45 
        8.8     56.998      0.047      0.051                      C2615  3   46 
        8.8     67.277      0.310      0.067                      C2615  3   47 
        8.8     77.598      0.421      0.058                      C2615  3   48 
        8.8     87.433      0.207      0.089                      C2615  3   49 
        8.8     88.219      0.138      0.046                      C2615  3   50 
       10.4      1.116     -0.018      0.038                      C2615  3   51 
       10.4     12.215     -0.214      0.034                      C2615  3   52 
       10.4     23.314     -0.569      0.055                      C2615  3   53 
       10.4     34.246     -0.575      0.070                      C2615  3   54 
       10.4     44.336     -0.581      0.102                      C2615  3   55 
       10.4     55.099     -0.163      0.130                      C2615  3   56 
       10.4     65.693      0.338      0.132                      C2615  3   57 
       10.4     76.728      0.983      0.101                      C2615  3   58 
       10.4     86.122      0.749      0.124                      C2615  3   59 
       11.7      4.430      0.016      0.065                      C2615  3   60 
       11.7     15.574     -0.187      0.111                      C2615  3   61 
       11.7     25.763     -0.335      0.157                      C2615  3   62 
       11.7     36.706     -0.594      0.440                      C2615  3   63 
       11.7     48.171      0.039      0.301                      C2615  3   64 
       11.7     57.193     -0.184      0.229                      C2615  3   65 
       11.7     67.650     -0.995      0.401                      C2615  3   66 
       11.7     79.630      0.381      0.780                      C2615  3   67 
       11.7     90.087      0.719      0.317                      C2615  3   68 
       12.6      1.759     -0.084      0.085                      C2615  3   69 
       12.6      2.356     -0.154      0.047                      C2615  3   70 
       12.6     12.307     -0.565      0.206                      C2615  3   71 
       12.6     23.411     -0.204      0.279                      C2615  3   72 
       12.6     33.070      0.521      0.173                      C2615  3   73 
       12.6     33.706      0.303      0.380                      C2615  3   74 
       12.6     44.748      0.153      0.111                      C2615  3   75 
       12.6     44.888      0.359      0.143                      C2615  3   76 
       12.6     55.881      0.403      0.070                      C2615  3   77 
       12.6     65.646     -0.033      0.099                      C2615  3   78 
       12.6     75.985     -0.449      0.165                      C2615  3   79 
       12.6     86.673      0.026      0.400                      C2615  3   80 
       12.6     96.876      0.890      0.288                      C2615  3   81 
       13.3      0.269     -0.096      0.102                      C2615  3   82 
       13.3      1.054     -0.196      0.102                      C2615  3   83 
       13.3     12.189      0.282      0.266                      C2615  3   84 
       13.3     12.690      0.889      0.229                      C2615  3   85 
       13.3     22.542     -0.050      0.169                      C2615  3   86 
       13.3     22.862      0.004      0.198                      C2615  3   87 
       13.3     32.296      0.053      0.137                      C2615  3   88 
       13.3     32.688      0.009      0.132                      C2615  3   89 
       13.3     44.435      0.236      0.178                      C2615  3   90 
       13.3     45.370      0.392      0.124                      C2615  3   91 
       13.3     54.246      0.017      0.120                      C2615  3   92 
       13.3     55.654      0.061      0.133                      C2615  3   93 
       13.3     64.371     -0.166      0.154                      C2615  3   94 
       13.3     74.569      0.095      0.339                      C2615  3   95 
ENDDATA             72          0                                 C2615  3   96 
ENDSUBENT           95          0                                 C2615  399999 
SUBENT        C2615004   20210810                             C208C2615  4    1 
BIB                  4          5                                 C2615  4    2 
REACTION   (6-C-14(P,N)7-N-14,PAR,DA)                             C2615  4    3 
LEVEL-PROP (7-N-14,E-LVL=2.31,SPIN=0.,PARITY=+1.)                 C2615  4    4 
ERR-ANALYS (DATA-ERR) No information on sources of uncertainties. C2615  4    5 
STATUS     (CURVE) Figs.4-6 (p.1910-1911) in                      C2615  4    6 
           Phys.Rev/C,3,1904,1971 were digitized by GSYS2.4.7.    C2615  4    7 
ENDBIB               5          0                                 C2615  4    8 
COMMON               1          3                                 C2615  4    9 
E-LVL                                                             C2615  4   10 
MEV                                                               C2615  4   11 
2.31                                                              C2615  4   12 
ENDCOMMON            3          0                                 C2615  4   13 
DATA                 4         69                                 C2615  4   14 
EN         ANG-CM     DATA-CM    DATA-ERR                         C2615  4   15 
MEV        ADEG       MB/SR      MB/SR                            C2615  4   16 
        7.2      7.087  5.167E+00  4.485E-01                      C2615  4   17 
        7.2     20.349  9.886E+00  8.583E-01                      C2615  4   18 
        7.2     36.336  1.955E+01  1.579E+00                      C2615  4   19 
        7.2     54.246  2.258E+01  1.687E+00                      C2615  4   20 
        7.2     69.611  1.868E+01  1.510E+00                      C2615  4   21 
        7.2     85.153  9.863E+00  1.036E+00                      C2615  4   22 
        7.2    100.113  5.691E+00  4.256E-01                      C2615  4   23 
        7.2    115.121  9.744E+00  8.453E-01                      C2615  4   24 
        7.2    129.946  2.190E+01  1.378E+00                      C2615  4   25 
        7.2    145.536  3.507E+01  2.834E+00                      C2615  4   26 
        8.8      4.984  6.566E+00  5.351E-01                      C2615  4   27 
        8.8     17.786  6.425E+00  5.629E-01                      C2615  4   28 
        8.8     34.259  7.606E+00  6.199E-01                      C2615  4   29 
        8.8     49.772  7.873E+00  6.892E-01                      C2615  4   30 
        8.8     66.064  7.706E+00  7.219E-01                      C2615  4   31 
        8.8     82.559  6.669E+00  5.436E-01                      C2615  4   32 
        8.8     98.081  6.002E+00  5.987E-01                      C2615  4   33 
        8.8    112.833  5.023E+00  3.790E-01                      C2615  4   34 
        8.8    126.412  4.807E+00  3.627E-01                      C2615  4   35 
        8.8    141.706  7.116E+00  5.798E-01                      C2615  4   36 
       10.4      4.734  2.100E+01  1.713E+00                      C2615  4   37 
       10.4     17.415  1.565E+01  9.480E-01                      C2615  4   38 
       10.4     33.140  6.604E+00  5.388E-01                      C2615  4   39 
       10.4     48.527  2.774E+00  2.263E-01                      C2615  4   40 
       10.4     64.420  2.007E+00  1.637E-01                      C2615  4   41 
       10.4     80.145  2.160E+00  1.877E-01                      C2615  4   42 
       10.4     96.039  4.506E+00  3.676E-01                      C2615  4   43 
       10.4    111.087  5.988E+00  4.568E-01                      C2615  4   44 
       10.4    124.952  4.419E+00  3.371E-01                      C2615  4   45 
       10.4    138.816  2.829E+00  2.308E-01                      C2615  4   46 
       11.7      7.033  3.039E+00  2.086E-01                      C2615  4   47 
