ENTRY            C0651   20040804                             0000C065100000001 
SUBENT        C0651001   20040804                             0000C065100100001 
BIB                 10         15                                 C065100100002 
INSTITUTE  (1USARIC)                                              C065100100003 
REFERENCE  (J,NP/A,337,365,1980)                                  C065100100004 
           (T,ANDRADE IBARRA,1972)                                C065100100005 
AUTHOR     (E.Andrade,D.Miljanic,G.C.Phillips)                    C065100100006 
TITLE      Analysis of the angular distribution of proton-neutron C065100100007 
            FSI in the reaction 2H(p,n)1H at E0 = 12.5 MeV        C065100100008 
FACILITY   (VDGT,1USARIC)                                         C065100100009 
SAMPLE     Deuterated polyethylene foils; 98.3% 2H, 1.7% 1H.      C065100100010 
DETECTOR   (SOLST) Protons detected using silicon surface barrier C065100100011 
            detector.                                             C065100100012 
           (SCIN) Neutrons detected by NE-218 liquid scintillator.C065100100013 
MONITOR    (1-H-2(P,P)1-H-2,,DA)                                  C065100100014 
CORRECTION Corrected for background due to accidental events.     C065100100015 
HISTORY    (20000508C) VM                                         C065100100016 
           (20040804A) Second angle added.                        C065100100017 
ENDBIB              15          0                                 C065100100018 
COMMON               1          3                                 C065100100019 
EN                                                                C065100100020 
MEV                                                               C065100100021 
 12.5                                                             C065100100022 
ENDCOMMON            3          0                                 C065100100023 
ENDSUBENT           22          0                                 C065100199999 
SUBENT        C0651002   20040804                             0000C065100200001 
BIB                  5          9                                 C065100200002 
REACTION   (1-H-2(P,N+P)1-H-1,,DA/DA/DE,N/P/P)                    C065100200003 
METHOD     (COINC) Proton-neutron coincidence spectra             C065100200004 
ERR-ANALYS (DATA-ERR) Error scanned from figure.                  C065100200005 
           Digitizing error in proton energy 0.05 MeV.            C065100200006 
           Digitizing error in data 0.05 mb/sr**2/MeV.            C065100200007 
STATUS     (CURVE) Data scanned from Fig.5,6 in main reference    C065100200008 
                   at RFNC-VNIIEF.                                C065100200009 
HISTORY    (20011102A) SD                                         C065100200010 
           (20040804A) Digitizing error added to COMMON           C065100200011 
ENDBIB               9          0                                 C065100200012 
COMMON               2          3                                 C065100200013 
E-ERR-DIG  ERR-DIG                                                C065100200014 
MEV        MB/SR2/MEV                                             C065100200015 
  0.05       0.05                                                 C065100200016 
ENDCOMMON            3          0                                 C065100200017 
DATA                 5        313                                 C065100200018 
ANG1       ANG2       E          DATA       DATA-ERR              C065100200019 
  22.5       22.5        0.74       0.48       0.15               C065100200094 
  22.5       22.5        0.92       0.34       0.15               C065100200095 
  22.5       22.5        1.14       0.51       0.18               C065100200096 
  22.5       22.5        1.35       1.12       0.24               C065100200097 
  22.5       22.5        1.59       2.44       0.33               C065100200098 
  22.5       22.5        1.77       0.99       0.24               C065100200099 
  22.5       22.5        1.93       0.89       0.23               C065100200100 
  22.5       22.5        2.17       1.24       0.25               C065100200101 
  22.5       22.5        2.37       1.28       0.21               C065100200102 
  22.5       22.5        2.57       2.04       0.28               C065100200103 
  22.5       22.5        2.79       2.05       0.27               C065100200104 
  22.5       22.5        3.03       3.16       0.34               C065100200105 
  22.5       22.5        3.26       4.43       0.38               C065100200106 
  22.5       22.5        3.47       4.64       0.42               C065100200107 
  22.5       22.5        3.65       5.83       0.46               C065100200108 
  22.5       22.5        3.87       7.90       0.51               C065100200109 
  22.5       22.5        4.12       7.86       0.50               C065100200110 
  22.5       22.5        4.29       6.67       0.48               C065100200111 
  22.5       22.5        4.51       5.96       0.49               C065100200112 
  22.5       22.5        4.68       5.05       0.45               C065100200113 
  22.5       22.5        4.86       4.63       0.41               C065100200114 
  22.5       22.5        5.05       3.11       0.33               C065100200115 
  22.5       22.5        5.24       2.60       0.32               C065100200116 
  22.5       22.5        5.41       2.21       0.24               C065100200117 
  22.5       22.5        5.60       2.55       0.33               C065100200118 
  22.5       22.5        5.76       1.61       0.26               C065100200119 
  22.5       22.5        5.95       1.56       0.23               C065100200120 
  22.5       22.5        6.19       1.77       0.25               C065100200121 
  22.5       22.5        6.37       1.35       0.24               C065100200122 
  22.5       22.5        6.55       1.29       0.23               C065100200123 
  22.5       22.5        6.76       1.25       0.26               C065100200124 
  22.5       22.5        6.98       1.08       0.28               C065100200125 
  22.5       22.5        7.16       1.18       0.37               C065100200126 
  22.5       22.5        7.38       0.72       0.41               C065100200127 
  25.0       25.0        0.72       0.41       0.14               C065100200128 
  25.0       25.0        0.95       0.43       0.14               C065100200129 
  25.0       25.0        1.14       0.41       0.12               C065100200130 
  25.0       25.0        1.32       0.46       0.12               C065100200131 
  25.0       25.0        1.51       0.95       0.16               C065100200132 
  25.0       25.0        1.70       0.70       0.16               C065100200133 
  25.0       25.0        1.92       1.04       0.18               C065100200134 
  25.0       25.0        2.10       1.35       0.23               C065100200135 
  25.0       25.0        2.32       1.71       0.23               C065100200136 
  25.0       25.0        2.51       1.57       0.23               C065100200137 
  25.0       25.0        2.69       2.13       0.25               C065100200138 
  25.0       25.0        2.90       3.83       0.34               C065100200139 
  25.0       25.0        3.09       4.09       0.33               C065100200140 
  25.0       25.0        3.30       5.59       0.44               C065100200141 
  25.0       25.0        3.50       6.07       0.45               C065100200142 
  25.0       25.0        3.70       5.24       0.40               C065100200143 
  25.0       25.0        3.92       5.48       0.39               C065100200144 
  25.0       25.0        4.12       4.65       0.34               C065100200145 
  25.0       25.0        4.34       3.91       0.35               C065100200146 
  25.0       25.0        4.49       3.33       0.29               C065100200147 
  25.0       25.0        4.71       2.52       0.25               C065100200148 
  25.0       25.0        4.92       1.92       0.22               C065100200149 
  25.0       25.0        5.13       1.79       0.21               C065100200150 
  25.0       25.0        5.32       1.63       0.23               C065100200151 
  25.0       25.0        5.53       1.26       0.18               C065100200152 
  25.0       25.0        5.71       1.05       0.17               C065100200153 
  25.0       25.0        5.92       1.14       0.19               C065100200154 
  25.0       25.0        6.15       0.80       0.15               C065100200155 
  25.0       25.0        6.34       0.53       0.14               C065100200156 
  27.5       27.5        0.70       0.49       0.12               C065100200157 
  27.5       27.5        0.91       0.52       0.12               C065100200158 
  27.5       27.5        1.13       0.48       0.11               C065100200159 
  27.5       27.5        1.32       0.71       0.14               C065100200160 
  27.5       27.5        1.54       0.70       0.14               C065100200161 
  27.5       27.5        1.73       1.04       0.18               C065100200162 
  27.5       27.5        1.91       1.13       0.19               C065100200163 
  27.5       27.5        2.16       1.44       0.20               C065100200164 
  27.5       27.5        2.36       2.39       0.23               C065100200165 
  27.5       27.5        2.56       2.45       0.22               C065100200166 
  27.5       27.5        2.76       2.66       0.23               C065100200167 
  27.5       27.5        2.96       3.56       0.30               C065100200168 
  27.5       27.5        3.19       3.92       0.29               C065100200169 
  27.5       27.5        3.39       4.97       0.30               C065100200170 
  27.5       27.5        3.58       5.14       0.34               C065100200171 
  27.5       27.5        3.78       4.72       0.32               C065100200172 
  27.5       27.5        4.00       4.35       0.28               C065100200173 
  27.5       27.5        4.20       3.18       0.26               C065100200174 
  27.5       27.5        4.35       2.35       0.21               C065100200175 
  27.5       27.5        4.55       2.19       0.20               C065100200176 
  27.5       27.5        4.77       1.90       0.19               C065100200177 
  27.5       27.5        4.94       1.68       0.18               C065100200178 
  27.5       27.5        5.16       1.51       0.18               C065100200179 
  27.5       27.5        5.35       1.17       0.14               C065100200180 
  27.5       27.5        5.56       0.99       0.14               C065100200181 
  27.5       27.5        5.73       0.78       0.13               C065100200182 
  27.5       27.5        5.94       1.11       0.17               C065100200183 
  27.5       27.5        6.16       0.80       0.19               C065100200184 
  27.5       27.5        6.37       1.02       0.23               C065100200185 
  30.0       30.0        0.75       0.57       0.14               C065100200186 
  30.0       30.0        0.94       0.32       0.12               C065100200187 
  30.0       30.0        1.13       0.63       0.14               C065100200188 
  30.0       30.0        1.34       0.69       0.14               C065100200189 
  30.0       30.0        1.54       0.95       0.17               C065100200190 
  30.0       30.0        1.74       0.55       0.14               C065100200191 
  30.0       30.0        1.97       1.08       0.16               C065100200192 
  30.0       30.0        2.14       0.96       0.18               C065100200193 
  30.0       30.0        2.36       1.68       0.23               C065100200194 
  30.0       30.0        2.54       2.60       0.25               C065100200195 
  30.0       30.0        2.76       3.23       0.29               C065100200196 
  30.0       30.0        2.96       3.61       0.32               C065100200197 
  30.0       30.0        3.20       4.51       0.34               C065100200198 
  30.0       30.0        3.36       4.80       0.36               C065100200199 
  30.0       30.0        3.58       4.13       0.32               C065100200200 
  30.0       30.0        3.77       3.73       0.30               C065100200201 
  30.0       30.0        3.95       2.66       0.23               C065100200202 
  30.0       30.0        4.14       2.10       0.22               C065100200203 
  30.0       30.0        4.37       1.42       0.19               C065100200204 
  30.0       30.0        4.51       1.34       0.18               C065100200205 
  30.0       30.0        4.73       0.97       0.16               C065100200206 
  30.0       30.0        4.93       0.72       0.14               C065100200207 
  30.0       30.0        5.14       0.63       0.16               C065100200208 
  30.0       30.0        5.32       0.31       0.11               C065100200209 
  30.0       30.0        5.50       0.34       0.13               C065100200210 
  30.0       30.0        5.70       0.30       0.13               C065100200211 
  30.0       30.0        5.91       0.42       0.18               C065100200212 
  32.5       32.5        0.72       0.60       0.20               C065100200213 
  32.5       32.5        0.92       0.21       0.13               C065100200214 
  32.5       32.5        1.13       0.48       0.16               C065100200215 
  32.5       32.5        1.36       0.44       0.15               C065100200216 
  32.5       32.5        1.50       1.03       0.21               C065100200217 
  32.5       32.5        1.75       1.17       0.22               C065100200218 
  32.5       32.5        1.93       2.05       0.28               C065100200219 
  32.5       32.5        2.13       1.52       0.23               C065100200220 
  32.5       32.5        2.35       2.29       0.28               C065100200221 
  32.5       32.5        2.54       3.48       0.33               C065100200222 
  32.5       32.5        2.73       4.50       0.40               C065100200223 
  32.5       32.5        2.92       4.71       0.41               C065100200224 
  32.5       32.5        3.13       5.03       0.14               C065100200225 
  32.5       32.5        3.13       4.89       0.39               C065100200226 
  32.5       32.5        3.31       4.71       0.38               C065100200227 
  32.5       32.5        3.54       3.18       0.38               C065100200228 
  32.5       32.5        3.74       3.05       0.33               C065100200229 
  32.5       32.5        3.96       2.11       0.27               C065100200230 
  32.5       32.5        4.16       1.74       0.27               C065100200231 
  32.5       32.5        4.33       1.05       0.17               C065100200232 
  32.5       32.5        4.54       1.08       0.22               C065100200233 
  32.5       32.5        4.74       0.89       0.18               C065100200234 
  32.5       32.5        4.95       0.85       0.19               C065100200235 
  32.5       32.5        5.13       0.47       0.14               C065100200236 
  32.5       32.5        5.33       8.77       0.10               C065100200237 
  32.5       32.5        5.55       0.76       0.30               C065100200238 
  35.0       35.0        0.72       1.11       0.17               C065100200239 
  35.0       35.0        0.92       1.27       0.18               C065100200240 
  35.0       35.0        1.18       1.11       0.19               C065100200241 
  35.0       35.0        1.34       0.92       0.16               C065100200242 
  35.0       35.0        1.54       1.41       0.19               C065100200243 
  35.0       35.0        1.75       1.67       0.21               C065100200244 
  35.0       35.0        1.95       1.93       0.21               C065100200245 
  35.0       35.0        2.16       3.05       0.27               C065100200246 
  35.0       35.0        2.38       4.15       0.33               C065100200247 
  35.0       35.0        2.61       5.12       0.36               C065100200248 
  35.0       35.0        2.81       5.67       0.37               C065100200249 
  35.0       35.0        3.02       5.72       0.38               C065100200250 
  35.0       35.0        3.21       5.14       0.36               C065100200251 
  35.0       35.0        3.41       3.89       0.32               C065100200252 
  35.0       35.0        3.58       2.33       0.23               C065100200253 
  35.0       35.0        3.77       2.48       0.24               C065100200254 
  35.0       35.0        3.97       1.82       0.23               C065100200255 
  35.0       35.0        4.17       1.43       0.18               C065100200256 
  35.0       35.0        4.38       1.12       0.19               C065100200257 
  35.0       35.0        4.57       0.85       0.17               C065100200258 
  35.0       35.0        4.77       0.52       0.16               C065100200259 
  35.0       35.0        4.95       0.39       0.18               C065100200260 
  35.0       35.0        5.16       0.23       0.17               C065100200261 
  37.5       37.5        0.72       0.83       0.13               C065100200262 
  37.5       37.5        0.93       0.70       0.14               C065100200263 
  37.5       37.5        1.10       0.72       0.12               C065100200264 
  37.5       37.5        1.34       1.28       0.16               C065100200265 
  37.5       37.5        1.54       1.70       0.19               C065100200266 
  37.5       37.5        1.71       1.79       0.20               C065100200267 
  37.5       37.5        1.93       2.23       0.21               C065100200268 
  37.5       37.5        2.17       3.22       0.26               C065100200269 
  37.5       37.5        2.34       3.87       0.25               C065100200270 
  37.5       37.5        2.54       3.96       0.26               C065100200271 
  37.5       37.5        2.73       4.08       0.30               C065100200272 
  37.5       37.5        2.92       3.27       0.24               C065100200273 
  37.5       37.5        3.10       2.44       0.19               C065100200274 
  37.5       37.5        3.36       2.02       0.19               C065100200275 
  37.5       37.5        3.53       1.29       0.15               C065100200276 
  37.5       37.5        3.73       1.07       0.12               C065100200277 
  37.5       37.5        3.91       1.03       0.16               C065100200278 
  37.5       37.5        4.12       0.86       0.16               C065100200279 
  37.5       37.5        4.33       0.68       0.16               C065100200280 
  37.5       37.5        4.51       0.76       0.23               C065100200281 
  37.5       37.5        4.68       0.47       0.49               C065100200282 
  40.0       40.0        0.52       1.07       0.13               C065100200283 
  40.0       40.0        0.69       1.11       0.15               C065100200284 
  40.0       40.0        0.92       0.92       0.16               C065100200285 
  40.0       40.0        1.12       1.54       0.16               C065100200286 
  40.0       40.0        1.33       1.76       0.15               C065100200287 
  40.0       40.0        1.54       1.74       0.17               C065100200288 
  40.0       40.0        1.74       2.19       0.18               C065100200289 
  40.0       40.0        1.91       3.04       0.19               C065100200290 
  40.0       40.0        2.12       3.92       0.23               C065100200291 
  40.0       40.0        2.35       4.45       0.25               C065100200292 
  40.0       40.0        2.54       4.41       0.22               C065100200293 
  40.0       40.0        2.72       3.52       0.19               C065100200294 
  40.0       40.0        2.93       2.63       0.20               C065100200295 
  40.0       40.0        3.12       1.90       0.17               C065100200296 
  40.0       40.0        3.33       1.55       0.18               C065100200297 
  40.0       40.0        3.55       1.42       0.15               C065100200298 
  40.0       40.0        3.76       0.99       0.16               C065100200299 
  40.0       40.0        3.93       1.20       0.22               C065100200300 
  40.0       40.0        4.15       1.36       0.37               C065100200301 
  40.0       40.0        4.37       1.00       0.58               C065100200302 
  42.5       42.5        0.59       0.84       0.12               C065100200303 
  42.5       42.5        0.80       1.12       0.18               C065100200304 
  42.5       42.5        0.99       0.86       0.13               C065100200305 
  42.5       42.5        1.19       1.14       0.16               C065100200306 
  42.5       42.5        1.39       1.37       0.18               C065100200307 
  42.5       42.5        1.61       2.55       0.26               C065100200308 
  42.5       42.5        1.80       3.28       0.22               C065100200309 
  42.5       42.5        2.02       3.77       0.30               C065100200310 
  42.5       42.5        2.19       4.44       0.30               C065100200311 
  42.5       42.5        2.42       4.06       0.29               C065100200312 
  42.5       42.5        2.61       3.06       0.25               C065100200313 
  42.5       42.5        2.83       2.35       0.22               C065100200314 
  42.5       42.5        2.99       2.06       0.20               C065100200315 
  42.5       42.5        3.22       1.33       0.20               C065100200316 
  42.5       42.5        3.41       1.37       0.24               C065100200317 
  42.5       42.5        3.61       0.95       0.36               C065100200318 
  42.5       42.5        3.82       0.75       0.51               C065100200319 
  45.0       45.0        0.52       1.36       0.18               C065100200320 
  45.0       45.0        0.71       1.34       0.17               C065100200321 
  45.0       45.0        0.91       1.58       0.20               C065100200322 
  45.0       45.0        1.11       1.63       0.18               C065100200323 
  45.0       45.0        1.30       2.06       0.21               C065100200324 
  45.0       45.0        1.51       2.58       0.26               C065100200325 
  45.0       45.0        1.71       3.16       0.23               C065100200326 
  45.0       45.0        1.92       3.34       0.25               C065100200327 
  45.0       45.0        2.09       2.63       0.23               C065100200328 
  45.0       45.0        2.31       2.30       0.21               C065100200329 
  45.0       45.0        2.54       1.68       0.22               C065100200330 
  45.0       45.0        2.72       0.95       0.20               C065100200331 
  45.0       45.0        2.90       0.67       0.22               C065100200332 
  45.0       45.0        3.14       1.11       0.38               C065100200333 
ENDDATA            315          0                                 C065100200334 
ENDSUBENT          333          0                                 C065100299999 
SUBENT        C0651003   20040804                             0000C065100300001 
BIB                  4          5                                 C065100300002 
REACTION   (1-H-2(P,N+P)1-H-1,,DA/DA,N/P)                         C065100300003 
MISC-COL   (MISC) Normalization; exact meaning unknown (given in  C065100300004 
            table with no units)                                  C065100300005 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       C065100300006 
STATUS     Data taken from Table 2 (Part 2) in thesis.            C065100300007 
ENDBIB               5          0                                 C065100300008 
NOCOMMON             0          0                                 C065100300009 
DATA                 5         17                                 C065100300010 
ANG1       ANG2       DATA       ERR-S      MISC                  C065100300011 
ADEG       ADEG       MB/SR2     MB/SR2     NO-DIM                C065100300012 
 15.0       15.0        39.3        0.3        0.16               C065100300013 
 17.5       17.5        63.0        0.3        0.27               C065100300014 
 20.0       20.0        59.9        0.4        0.29               C065100300015 
 22.5       22.5        64.6        0.4        0.32               C065100300016 
 25.0       25.0        53.6        0.3        0.30               C065100300017 
 27.5       27.5        55.2        0.3        0.31               C065100300018 
 30.0       30.0        51.0        0.3        0.29               C065100300019 
 32.5       32.5        58.5        0.4        0.36               C065100300020 
 35.0       35.0        65.2        0.4        0.37               C065100300021 
 37.5       37.5        53.5        0.3        0.33               C065100300022 
 40.0       40.0        55.9        0.2        0.40               C065100300023 
 42.5       42.5        57.8        0.3        0.46               C065100300024 
 45.0       45.0        55.0        0.3        0.50               C065100300025 
 47.5       47.5        32.8        0.2        0.37               C065100300026 
 50.0       50.0        20.3        0.1        0.25               C065100300027 
 55.0       55.0        11.8        0.1        0.37               C065100300028 
 60.0       60.0        11.1        0.1        1.01               C065100300029 
ENDDATA             19          0                                 C065100300030 
ENDSUBENT           29          0                                 C065100399999 
ENDENTRY             3          0                                 C065199999999 
