ELEMENT    MASS       DATA       -DATA-ERR  +DATA-ERR             C203000200013 
NO-DIM     NO-DIM     MB         MB         MB                    C203000200014 
       20.0       52.0   8.43E-06   4.98E-06   1.31E-05           C203000200142 
       20.0       53.0   3.99E-07   2.43E-07   6.14E-07           C203000200143 
       20.0       54.0   4.85E-08   2.29E-08   4.16E-08           C203000200144 
       20.0       55.0   2.58E-09   1.54E-09   2.10E-09           C203000200145 
       20.0       56.0   6.22E-10   3.16E-10   2.58E-10           C203000200146 
       20.0       57.0   6.32E-11   3.56E-11   4.16E-11           C203000200147 
       20.0       58.0   1.45E-11   1.10E-11   2.56E-11           C203000200148 
       21.0       43.0   1.35E+00   1.28E+00   1.41E+00           C203000200149 
       21.0       44.0   4.66E+00   4.20E+00   2.98E+00           C203000200150 
       21.0       45.0   7.23E+00   2.32E+00   2.75E+00           C203000200151 
       21.0       46.0   4.26E+00   8.03E-01   9.09E-01           C203000200152 
       21.0       47.0   2.07E+00   5.16E-01   5.06E-01           C203000200153 
       21.0       48.0   6.90E-01   1.74E-01   1.76E-01           C203000200154 
       21.0       49.0   1.77E-01   3.81E-02   4.45E-02           C203000200155 
       21.0       50.0   2.79E-02   1.00E-02   1.13E-02           C203000200156 
       21.0       51.0   6.65E-03   3.00E-03   2.78E-03           C203000200157 
       21.0       52.0   1.22E-03   4.32E-04   8.55E-04           C203000200158 
       21.0       53.0   2.14E-04   6.39E-05   2.77E-04           C203000200159 
       21.0       54.0   2.71E-05   1.21E-05   5.41E-05           C203000200160 
       21.0       55.0   7.31E-06   3.96E-06   1.02E-05           C203000200161 
       21.0       56.0   7.48E-07   4.17E-07   9.26E-07           C203000200162 
       21.0       57.0   1.13E-07   5.53E-08   1.31E-07           C203000200163 
       21.0       58.0   6.34E-09   3.37E-09   3.42E-09           C203000200164 
       21.0       59.0   1.73E-09   7.58E-10   1.27E-09           C203000200165 
       21.0       60.0   1.11E-10   5.03E-11   4.43E-11           C203000200166 
       21.0       61.0   2.54E-11   1.38E-11   1.84E-11           C203000200167 
       22.0       46.0   3.91E+00   3.71E+00   2.69E+00           C203000200168 
       22.0       47.0   7.09E+00   2.79E+00   3.10E+00           C203000200169 
       22.0       48.0   5.83E+00   1.05E+00   1.21E+00           C203000200170 
       22.0       49.0   3.00E+00   7.17E-01   7.15E-01           C203000200171 
       22.0       50.0   1.28E+00   3.28E-01   3.48E-01           C203000200172 
       22.0       51.0   3.39E-01   8.92E-02   9.93E-02           C203000200173 
       22.0       52.0   8.72E-02   3.73E-02   3.81E-02           C203000200174 
       22.0       53.0   1.20E-02   1.06E-02   1.86E-02           C203000200175 
       22.0       54.0   2.95E-03   1.35E-03   2.46E-03           C203000200176 
       22.0       55.0   5.60E-04   1.64E-04   3.81E-04           C203000200177 
